time	Mid
5.207612E-04	0.000000E+00
7.317259E-04	0.000000E+00
9.426906E-04	0.000000E+00
1.153655E-03	0.000000E+00
1.364620E-03	0.000000E+00
1.575585E-03	0.000000E+00
1.786550E-03	0.000000E+00
1.997514E-03	0.000000E+00
2.208479E-03	0.000000E+00
2.419444E-03	0.000000E+00
2.630408E-03	0.000000E+00
2.841373E-03	0.000000E+00
3.052338E-03	0.000000E+00
3.263303E-03	0.000000E+00
3.474267E-03	0.000000E+00
3.685232E-03	0.000000E+00
3.896197E-03	0.000000E+00
4.107161E-03	0.000000E+00
4.318126E-03	0.000000E+00
4.529091E-03	0.000000E+00
4.740056E-03	0.000000E+00
4.951020E-03	0.000000E+00
5.161985E-03	0.000000E+00
5.372950E-03	0.000000E+00
5.583914E-03	0.000000E+00
5.794879E-03	0.000000E+00
6.005844E-03	0.000000E+00
6.216809E-03	0.000000E+00
6.427773E-03	0.000000E+00
6.638738E-03	0.000000E+00
6.849703E-03	0.000000E+00
7.060667E-03	0.000000E+00
7.271632E-03	0.000000E+00
7.482597E-03	0.000000E+00
7.693562E-03	-3.527127E-01
7.904526E-03	-3.268683E-01
8.115491E-03	-2.821758E-01
8.326456E-03	-2.187542E-01
8.537420E-03	-1.371704E-01
8.748385E-03	-3.839930E-02
8.959350E-03	7.622253E-02
9.170315E-03	2.050487E-01
9.381279E-03	3.461775E-01
9.592244E-03	4.975083E-01
9.803209E-03	6.567977E-01
1.001417E-02	8.217148E-01
1.022514E-02	9.898940E-01
1.043610E-02	1.158984E+00
1.064707E-02	1.326696E+00
1.085803E-02	1.490838E+00
1.106900E-02	1.649359E+00
1.127996E-02	1.800375E+00
1.149093E-02	1.942192E+00
1.170189E-02	2.073331E+00
1.191286E-02	2.192535E+00
1.212382E-02	2.298784E+00
1.233479E-02	2.391297E+00
1.254575E-02	2.469526E+00
1.275671E-02	2.533157E+00
1.296768E-02	2.582099E+00
1.317864E-02	2.616470E+00
1.338961E-02	2.636580E+00
1.360057E-02	2.642920E+00
1.381154E-02	2.636133E+00
1.402250E-02	2.617000E+00
1.423347E-02	2.586416E+00
1.444443E-02	2.545367E+00
1.465540E-02	2.494906E+00
1.486636E-02	2.436135E+00
1.507733E-02	2.370180E+00
1.528829E-02	2.298176E+00
1.549926E-02	2.221239E+00
1.571022E-02	2.140461E+00
1.592119E-02	2.056883E+00
1.613215E-02	1.971491E+00
1.634312E-02	1.885198E+00
1.655408E-02	1.798837E+00
1.676504E-02	1.713157E+00
1.697601E-02	1.628814E+00
1.718697E-02	1.546366E+00
1.739794E-02	1.466281E+00
1.760890E-02	1.388926E+00
1.781987E-02	1.314581E+00
1.803083E-02	1.243434E+00
1.824180E-02	1.175590E+00
1.845276E-02	1.111082E+00
1.866373E-02	1.049869E+00
1.887469E-02	9.918538E-01
1.908566E-02	9.368861E-01
1.929662E-02	8.847746E-01
1.950759E-02	8.352952E-01
1.971855E-02	7.882014E-01
1.992952E-02	7.432329E-01
2.014048E-02	7.001247E-01
2.035144E-02	6.586155E-01
2.056241E-02	6.184551E-01
2.077337E-02	5.794117E-01
2.098434E-02	5.412774E-01
2.119530E-02	5.038734E-01
2.140627E-02	4.670540E-01
2.161723E-02	4.307093E-01
2.182820E-02	3.947672E-01
2.203916E-02	3.591944E-01
2.225013E-02	3.239953E-01
2.246109E-02	2.892117E-01
2.267206E-02	2.549199E-01
2.288302E-02	2.212279E-01
2.309399E-02	1.882715E-01
2.330495E-02	1.562099E-01
2.351592E-02	1.252206E-01
2.372688E-02	9.549409E-02
2.393784E-02	6.722803E-02
2.414881E-02	4.062139E-02
2.435977E-02	1.586866E-02
2.457074E-02	-6.845979E-03
2.478170E-02	-2.735415E-02
2.499267E-02	-4.550843E-02
2.520363E-02	-6.118705E-02
2.541460E-02	-7.429800E-02
2.562556E-02	-8.478243E-02
2.583653E-02	-9.261738E-02
2.604749E-02	-9.781763E-02
2.625846E-02	-1.004367E-01
2.646942E-02	-1.005672E-01
2.668039E-02	-9.833977E-02
2.689135E-02	-9.392169E-02
2.710232E-02	-8.751435E-02
2.731328E-02	-7.934998E-02
