         time	         Dpar	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.207612E-04	 1.250000E-04	 7.403016E+02	 7.393016E+02	 7.383016E+02
 1.028640E-03	 1.250000E-04	 7.444253E+02	 7.434253E+02	 7.424253E+02
 1.536452E-03	 1.250000E-04	 7.562887E+02	 7.552887E+02	 7.542887E+02
 2.005202E-03	 1.250000E-04	 7.682730E+02	 7.672730E+02	 7.662730E+02
 2.513015E-03	 1.250000E-04	 7.782600E+02	 7.772600E+02	 7.762600E+02
 3.020827E-03	 1.250000E-04	 7.683016E+02	 7.673016E+02	 7.663016E+02
 3.528640E-03	 1.250000E-04	 7.682652E+02	 7.672652E+02	 7.662652E+02
 4.036452E-03	 1.250000E-04	 7.584521E+02	 7.574521E+02	 7.564521E+02
 4.505202E-03	 1.250000E-04	 1.068806E+02	 1.058806E+02	 1.048806E+02
 5.013015E-03	 1.250000E-04	 1.168694E+02	 1.158694E+02	 1.148694E+02
 5.520827E-03	 1.250000E-04	 1.288559E+02	 1.278559E+02	 1.268559E+02
 6.028640E-03	 1.250000E-04	 1.388446E+02	 1.378446E+02	 1.368446E+02
 6.536452E-03	 1.250000E-04	 1.468356E+02	 1.458356E+02	 1.448356E+02
 7.005202E-03	 1.250000E-04	 1.568243E+02	 1.558243E+02	 1.548243E+02
 7.513015E-03	 1.250000E-04	 1.668131E+02	 1.658131E+02	 1.648131E+02
 8.020827E-03	 1.250000E-04	 6.993243E+00	 5.993243E+00	 4.993243E+00
 8.528639E-03	 1.250000E-04	 4.460201E+00	 3.460201E+00	 2.460201E+00
 9.009225E-03	 1.250000E-04	 3.825242E+00	 2.825242E+00	 1.825242E+00
 9.503816E-03	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.000329E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.050052E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.100146E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.150116E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.200115E-02	 1.250000E-04	 4.460201E+00	 3.460201E+00	 2.460201E+00
 1.250001E-02	 1.250000E-04	 4.460201E+00	 3.460201E+00	 2.460201E+00
 1.300137E-02	 1.250000E-04	 4.995495E+00	 3.995495E+00	 2.995495E+00
 1.350016E-02	 1.250000E-04	 4.460201E+00	 3.460201E+00	 2.460201E+00
 1.400123E-02	 1.250000E-04	 4.460201E+00	 3.460201E+00	 2.460201E+00
 1.450053E-02	 1.250000E-04	 3.825242E+00	 2.825242E+00	 1.825242E+00
 1.500113E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.550030E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.600130E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.650029E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.700170E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.750138E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.800053E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.850007E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 1.900182E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
 1.950090E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.000215E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.050305E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.100275E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.150259E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.200445E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.251082E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.301719E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.351876E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.401555E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.450699E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.500562E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.550550E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.600679E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 2.650889E-02	 1.250000E-04	 1.000000E+00	 0.000000E+00	 -1.000000E+00
