time	rfrp
5.000686E-04	0.000000E+00
7.035862E-04	0.000000E+00
9.071038E-04	0.000000E+00
1.110621E-03	0.000000E+00
1.314139E-03	0.000000E+00
1.517657E-03	0.000000E+00
1.721174E-03	0.000000E+00
1.924692E-03	0.000000E+00
2.128209E-03	0.000000E+00
2.331727E-03	0.000000E+00
2.535245E-03	0.000000E+00
2.738762E-03	0.000000E+00
2.942280E-03	0.000000E+00
3.145797E-03	0.000000E+00
3.349315E-03	0.000000E+00
3.552833E-03	0.000000E+00
3.756350E-03	0.000000E+00
3.959868E-03	0.000000E+00
4.163385E-03	0.000000E+00
4.366903E-03	0.000000E+00
4.570420E-03	0.000000E+00
4.773938E-03	0.000000E+00
4.977456E-03	0.000000E+00
5.180973E-03	0.000000E+00
5.384491E-03	0.000000E+00
5.588008E-03	0.000000E+00
5.791526E-03	0.000000E+00
5.995044E-03	0.000000E+00
6.198561E-03	0.000000E+00
6.402079E-03	0.000000E+00
6.605596E-03	0.000000E+00
6.809114E-03	0.000000E+00
7.012632E-03	1.455559E+00
7.216149E-03	1.690067E+00
7.419667E-03	1.933189E+00
7.623184E-03	2.182638E+00
7.826702E-03	2.436077E+00
8.030220E-03	2.691169E+00
8.233737E-03	2.945612E+00
8.437255E-03	3.197190E+00
8.640772E-03	3.443801E+00
8.844290E-03	3.683494E+00
9.047808E-03	3.914489E+00
9.251325E-03	4.135208E+00
9.454843E-03	4.344283E+00
9.658360E-03	4.540570E+00
9.861878E-03	4.723158E+00
1.006540E-02	4.891367E+00
1.026891E-02	5.044747E+00
1.047243E-02	5.183068E+00
1.067595E-02	5.306313E+00
1.087947E-02	5.414662E+00
1.108298E-02	5.508472E+00
1.128650E-02	5.588264E+00
1.149002E-02	5.654696E+00
1.169354E-02	5.708542E+00
1.189705E-02	5.750670E+00
1.210057E-02	5.782019E+00
1.230409E-02	5.803572E+00
1.250761E-02	5.816334E+00
1.271112E-02	5.821314E+00
1.291464E-02	5.819496E+00
1.311816E-02	5.811829E+00
1.332168E-02	5.799201E+00
1.352519E-02	5.782431E+00
1.372871E-02	5.762248E+00
1.393223E-02	5.739289E+00
1.413575E-02	5.714082E+00
1.433927E-02	5.687049E+00
1.454278E-02	5.658493E+00
1.474630E-02	5.628606E+00
1.494982E-02	5.597465E+00
1.515334E-02	5.565038E+00
1.535685E-02	5.531188E+00
1.556037E-02	5.495684E+00
1.576389E-02	5.458206E+00
1.596741E-02	5.418362E+00
1.617092E-02	5.375693E+00
1.637444E-02	5.329692E+00
1.657796E-02	5.279817E+00
1.678148E-02	5.225503E+00
1.698499E-02	5.166180E+00
1.718851E-02	5.101284E+00
1.739203E-02	5.030275E+00
1.759555E-02	4.952651E+00
1.779906E-02	4.867957E+00
1.800258E-02	4.775803E+00
1.820610E-02	4.675869E+00
1.840962E-02	4.567921E+00
1.861313E-02	4.451814E+00
1.881665E-02	4.327502E+00
1.902017E-02	4.195044E+00
1.922369E-02	4.054602E+00
1.942720E-02	3.906449E+00
1.963072E-02	3.750963E+00
1.983424E-02	3.588632E+00
2.003776E-02	3.420041E+00
2.024128E-02	3.245876E+00
2.044479E-02	3.066909E+00
2.064831E-02	2.883996E+00
2.085183E-02	2.698062E+00
2.105535E-02	2.510093E+00
2.125886E-02	2.321122E+00
2.146238E-02	2.132218E+00
2.166590E-02	1.944471E+00
2.186942E-02	1.758980E+00
2.207293E-02	1.576835E+00
2.227645E-02	1.399105E+00
2.247997E-02	1.226825E+00
2.268349E-02	1.060982E+00
2.288700E-02	9.024992E-01
2.309052E-02	7.522265E-01
2.329404E-02	6.109288E-01
2.349756E-02	4.792753E-01
2.370107E-02	3.578309E-01
2.390459E-02	2.470493E-01
2.410811E-02	1.472668E-01
2.431163E-02	5.869838E-02
2.451514E-02	-1.856452E-02
2.471866E-02	-8.455472E-02
2.492218E-02	-1.394280E-01
2.512570E-02	-1.834599E-01
2.532922E-02	-2.170413E-01
2.553273E-02	-2.406715E-01
2.573625E-02	-2.549504E-01
2.593977E-02	-2.605688E-01
2.614329E-02	-2.582974E-01
2.634680E-02	-2.489747E-01
2.655032E-02	-2.334938E-01
2.675384E-02	-2.127883E-01
2.695736E-02	-1.878176E-01
2.716087E-02	-1.595523E-01
2.736439E-02	-1.289586E-01
2.756791E-02	-9.698337E-02
2.777143E-02	-6.453959E-02
2.797494E-02	-3.249209E-02
2.817846E-02	-1.644330E-03
2.838198E-02	2.727378E-02
2.858550E-02	5.361677E-02
2.878901E-02	7.683301E-02
2.899253E-02	9.647241E-02
2.919605E-02	1.121922E-01
2.939957E-02	1.237608E-01
2.960308E-02	1.310596E-01
2.980660E-02	1.340824E-01
3.001012E-02	1.329329E-01
3.021364E-02	1.278199E-01
3.041716E-02	1.190500E-01
3.062067E-02	1.070190E-01
3.082419E-02	9.220015E-02
3.102771E-02	7.513233E-02
3.123123E-02	5.640492E-02
3.143474E-02	3.664247E-02
3.163826E-02	1.648814E-02
3.184178E-02	-3.413913E-03
3.204530E-02	-2.243583E-02
3.224881E-02	-3.998372E-02
3.245233E-02	-5.551474E-02
3.265585E-02	-6.855314E-02
3.285937E-02	-7.870517E-02
3.306288E-02	-8.567167E-02
3.326640E-02	-8.925928E-02
3.346992E-02	-8.938824E-02
3.367344E-02	-8.609753E-02
3.387695E-02	-7.954673E-02
3.408047E-02	-7.001407E-02
3.428399E-02	-5.789086E-02
3.448751E-02	-4.367174E-02
3.469102E-02	-2.794103E-02
3.489454E-02	-1.135543E-02
3.509806E-02	5.377692E-03
3.530158E-02	2.152498E-02
3.550509E-02	3.635431E-02
3.570861E-02	4.916587E-02
3.591213E-02	5.932289E-02
3.611565E-02	6.628437E-02
3.631917E-02	6.963732E-02
3.652268E-02	6.912603E-02
3.672620E-02	6.468015E-02
3.692972E-02	5.643526E-02
3.713324E-02	4.474969E-02
3.733675E-02	3.021031E-02
3.754027E-02	1.362914E-02
3.774379E-02	-3.973450E-03
3.794731E-02	-2.140037E-02
3.815082E-02	-3.732721E-02
3.835434E-02	-5.037050E-02
3.855786E-02	-5.917759E-02
3.876138E-02	-6.254150E-02
3.896489E-02	-5.953826E-02
3.916841E-02	-4.969350E-02
3.937193E-02	-3.317509E-02
3.957545E-02	-1.101369E-02
3.977896E-02	1.464905E-02
3.998248E-02	4.029003E-02
4.018600E-02	6.070422E-02
4.038952E-02	6.869449E-02
4.059303E-02	5.474047E-02
4.079655E-02	6.665817E-03
4.100007E-02	-9.069236E-02
