Reactions	Percentage
R500: HNO+N=NH+NO	0.0013080353522958244
R555: N2H2+O=NO+NH2	0.0013662221670436424
R507: HNO+NO=OH+N2O	0.001643619303535543
R457: N+O(+M)=NO(+M)	0.00279646632370667
R505: NH2+HNO=NO+NH3	0.0030188743299993477
R639: CH+N2O=NO+HCN	0.005841071805854154
R506: HNO+NH=NO+NH2	0.011503991675821203
R618: NCO+HNO=NO+HNCO	0.017271391038483047
R606: H2CN+O2=NO+CH2O	0.024732807567289888
R642: NCN+OH=NO+HCN	0.03017915969190532
R622: NCO+OH=NO+CO+H	0.13650857938025598
R494: NH2+NO=H2O+N2	0.20464163897110357
R558: N2O+O=NO+NO	0.2608934222511144
R647: NCN+O=NO+CN	0.9765827426474062
R623: NCO+O2=CO2+NO	1.1508016936534498
R503: HNO+O2=HO2+NO	1.731487693265106
R464: NH+O2=OH+NO	2.2439244529270597
R585: CN+O2=CO+NO	2.9455273952546115
R499: HNO+O=OH+NO	5.1969341829877225
R455: N+O2=O+NO	11.02483306885414
R498: HNO+H=H2+NO	12.476927706641888
R456: N+OH=H+NO	14.002603238371067
R501: HNO+OH=H2O+NO	15.356805570039247
R466: NH+O=H+NO	32.19080189790907
