Reactions	Percentage
R756: N+O(+M)=NO(+M)	-0.005874800142836747
R826: N+NO2=O+N2O	0.01539619359372624
R865: TXCH2+N=H+HCN	-0.032004658607271266
R942: NCN+H=N+HNC	0.03720825873200712
R864: HCCO+N=CO+HCN	-0.11296888159822299
R866: CH3+N=H+H2CN	-0.2745009959264661
R940: NCN+H=N+HCN	0.9834607020895256
R913: NCO(+M)=CO+N(+M)	1.7694965690875624
R759: NH+O=OH+N	4.111800813973126
R886: CN+O=N+CO	5.7823778580048595
R796: N+NO=O+N2	7.1826160969152735
R764: NH+OH=H2O+N	12.143897243672393
R757: NH+H=H2+N	12.830753823652799
R755: N+OH=H+NO	-17.74804137820597
R754: N+O2=O+NO	-36.96699284306273
