Reactions	Percentage
R844: NNH+O=NO+NH	-0.01242977683797508
R876: CH+NO=OH+CN	-0.021002409279323956
R878: C2H3+NO=CH2O+HCN	-0.10648683614934626
R796: N+NO=O+N2	-0.15354199593838488
R872: CH3+NO=OH+H2CN	-0.15472576915833083
R879: CH3+NO=H2O+HCN	-0.15509520735530521
R874: TXCH2+NO=OH+HCN	-0.21870692457951096
R875: CH+NO=H+NCO	-0.3436760586302936
R792: NH+NO=OH+N2	-0.6226166544230772
R877: SXCH2+NO=OH+HCN	-0.6307788286409386
R871: CH+NO=O+HCN	-1.5083096981356614
R795: NH+NO=H+N2O	-2.4593563751606573
R794: NH2+NO=OH+NNH	-15.24384222037354
R873: HCCO+NO=CO2+HCN	-15.392110176383895
R920: NCO+NO=CO2+N2	-26.37600951305452
R791: NH2+NO=H2O+N2	-36.60047944946047
