Reactions	Percentage
R787: NH3+HO2=H2O2+NH2	0.0014854100081476893
R854: N2H2+O=NO+NH2	0.0016225568471771687
R771: NH2(+M)=H+NH(+M)	0.0036015964429457824
R919: NCO+NH3=NH2+HNCO	0.02440043501842515
R869: CH3+NH2=CH3NH2	0.030337549008290186
R890: HCN+OH=CO+NH2	0.05032518831795427
R810: H2NO+H=OH+NH2	0.05765475264815164
R926: HNCO+H=CO+NH2	0.16279070216984187
R793: NH2+NO=H2O+N2	0.22477569342397746
R784: NH3+H=H2+NH2	0.7989455739748148
R785: NH3+O=OH+NH2	6.198505978900422
R783: NH3+OH=NH2+H2O	92.44538216099602
