Reactions	Percentage
R506: HNO+NH=NO+NH2	-0.0013323510897572718
R462: NH+NH=N+NH2	-0.0018401506752042727
R463: NH+NH=N2+H2	-0.0024202665798701817
R545: NNH+O=NO+NH	0.0044378954991446005
R480: NH2+NH=H+N2H2	-0.006382159053083582
R640: NCN+OH=NH+NCO	0.007189959122580717
R472: NH2(+M)=H+NH(+M)	-0.01617658958761148
R461: NH+N=H+N2	-0.01937337461803951
R628: HNCO(+M)=NH+CO(+M)	0.02152125491281734
R459: NH+NH=N2+H+H	-0.02178237596953166
R493: NH+NO=OH+N2	-0.08111919538559363
R496: NH+NO=H+N2O	-0.1876773977903131
R464: NH+O2=OH+NO	-0.30465452263592835
R460: NH+O=OH+N	-0.5801042800159205
R479: NH2+O=OH+NH	0.6275419631810935
R626: HNCO+O=CO2+NH	0.8422615014778633
R468: NH+O2=O+HNO	-1.2758040795173384
R601: HNC+O=CO+NH	1.7686125791751346
R481: NH2+OH=H2O+NH	4.118974797609154
R483: NH2+H=H2+NH	7.3488366699503676
R593: HCN+O=CO+NH	7.674672467330317
R465: NH+OH=H2O+N	-8.472365374932055
R467: NH+OH=H+HNO	-12.641687474180527
R466: NH+O=H+NO	-12.668970841883231
R458: NH+H=H2+N	-14.834501753859797
R624: NCO+H=NH+CO	26.467860804444527
