Reactions	Percentage
R512: H2NO+HO2=H2O2+HNO	0.0013908929532340426
R633: HNCO+O2=CO2+HNO	0.003111884009638483
R510: H2NO+O2=HO2+HNO	0.0035356059190115334
R537: NNH+NO=HNO+N2	0.0047519596889455005
R482: NH2+O2=OH+HNO	0.010363432693866215
R516: H2NO+OH=H2O+HNO	0.060123189657308965
R513: H2NO+O=OH+HNO	0.06121937590009525
R517: H2NO+H=H2+HNO	0.1276283004428993
R532: HONO+H=OH+HNO	0.46981003072735755
R507: HNO+NO=OH+N2O	0.6779986265522093
R508: HNO=NO+H	4.177183840997614
R474: NH2+O=H+HNO	4.926360572248096
R468: NH+O2=O+HNO	7.16328012206018
R475: NH2+O=H+HNO	11.332878631563318
R467: NH+OH=H+HNO	70.97951013556377
