Reactions	Percentage
R938: CH+N2O=NO+HCN	0.0012373996216297934
R959: C5H4NO2=CO+CO+C2H3+HCN	0.0016813012207352828
R979: C2H3+HCN=H+CH2CHCN	-0.0022701614304077486
R878: C2H3+NO=CH2O+HCN	0.004662337028480604
R888: CH2O+CN=HCN+HCO	0.0077322310314836456
R906: H2CN+OH=H2O+HCN	0.009639046143256185
R934: HCN+N2=N2+CN+H	0.031763223330074954
R910: C2H2+NCO=HCN+HCCO	0.0698603943411605
R897: HCN+O=OH+CN	-0.07071151997177794
R895: HCN(+M)=CN+H(+M)	0.10434540933256754
R903: H2CN+O=OH+HCN	0.11674865291397762
R879: CH3+NO=H2O+HCN	0.12953331842958546
R904: H2CN+OH=H2O+HCN	0.14483898082391702
R874: TXCH2+NO=OH+HCN	0.15164215918654722
R865: TXCH2+N=H+HCN	0.23014062080163292
R864: HCCO+N=CO+HCN	0.23367812648559919
R941: NCN+OH=NO+HCN	0.24234934779687126
R890: HCN+OH=CO+NH2	-0.3736870671838231
R882: CH4+CN=HCN+CH3	0.5092541839031339
R880: C2H6+CN=HCN+C2H5	0.5330079121264917
R902: H2CN+H=H2+HCN	0.5835372881251523
R877: SXCH2+NO=OH+HCN	0.7944388919628889
R873: HCCO+NO=CO2+HCN	1.010075373948824
R891: HCN+OH=H+HNCO	-1.9071711629129189
R940: NCN+H=N+HCN	2.3823970921160833
R907: H2CN=H+HCN	3.36860714935009
R889: CN+H2=H+HCN	-5.136284957696806
R871: CH+NO=O+HCN	7.617195982186104
R892: HCN+O=CO+NH	-12.284600719228738
R896: HCN+OH=H2O+CN	-14.324844705817771
R894: HCN+O=H+NCO	-47.619861963738664
