Reactions	Percentage
R827: NH+NO2=OH+N2O	0.00928423619704465
R939: NCN+OH=NH+NCO	0.0934212543951238
R927: HNCO(+M)=NH+CO(+M)	0.1304191476798619
R844: NNH+O=NO+NH	0.8299194530522487
R778: NH2+O=OH+NH	1.1423772609483445
R792: NH+NO=OH+N2	2.190071806136898
R900: HNC+O=CO+NH	2.3966809503263478
R782: NH2+H=H2+NH	5.858437246154366
R780: NH2+OH=H2O+NH	6.875176976419367
R925: HNCO+O=CO2+NH	7.210395583874406
R795: NH+NO=H+N2O	10.408133831144069
R892: HCN+O=CO+NH	12.143603883759459
R923: NCO+H=NH+CO	50.7116097678974
