Reactions	Percentage
R772: NH2+NH2=H2+N2H2	-0.0014642365818520854
R804: NH2+HNO=NO+NH3	-0.0014986486157776923
R779: NH2+NH=H+N2H2	-0.0015900433781292787
R825: NH2+NO2=H2O+N2O	-0.002600487605358459
R769: NH2+NH2=NH+NH3	-0.0026178274544078582
R933: HNCO+NH=NCO+NH2	-0.0034434277475006727
R777: NH2+N=H+H+N2	-0.00449581954692235
R822: NH2+NO2=NO+H2NO	-0.010026093531264704
R786: NH3(+M)=H+NH2(+M)	-0.06798646824662244
R794: NH2+NO=OH+NNH	-0.12497634210868276
R781: NH2+O2=OH+HNO	-0.4714157036768092
R791: NH2+NO=H2O+N2	-0.5771009519503164
R770: NH2+O2=O+H2NO	-1.515394814272698
R776: NH2+HO2=O2+NH3	-1.6335223910818077
R768: NH2+HO2=OH+H2NO	-2.021299799832745
R782: NH2+H=H2+NH	-6.576976085444731
R778: NH2+O=OH+NH	-13.662699495050537
R773: NH2+O=H+HNO	-15.721152858825208
R780: NH2+OH=H2O+NH	-17.919282117190114
R774: NH2+O=H+HNO	-39.678567933006
