Reactions	Percentage
R779: NH2+NH=H+N2H2	-0.0023032428004791596
R769: NH2+NH2=NH+NH3	0.002352686993103856
R933: HNCO+NH=NCO+NH2	0.005626758157094891
R771: NH2(+M)=H+NH(+M)	-0.012903759542476688
R792: NH+NO=OH+N2	-0.018803511241016417
R795: NH+NO=H+N2O	-0.07364771228077069
R759: NH+O=OH+N	-0.3823306457737959
R900: HNC+O=CO+NH	0.848682155976308
R757: NH+H=H2+N	-1.409248347780252
R782: NH2+H=H2+NH	1.5616988904330231
R764: NH+OH=H2O+N	-1.6642899423765327
R925: HNCO+O=CO2+NH	2.0193618978255476
R766: NH+OH=H+HNO	-4.983166611411268
R892: HCN+O=CO+NH	6.017006575688551
R765: NH+O=H+NO	-9.318200883938687
R923: NCO+H=NH+CO	9.325226688343019
R778: NH2+O=OH+NH	11.545779987971903
R763: NH+O2=OH+NO	-15.267355358249715
R780: NH2+OH=H2O+NH	16.81625531143105
R767: NH+O2=O+HNO	-18.722936635307576
