Reactions	Percentage
R808: H2NO+NH2=NH3+HNO	-0.0025192875978126764
R779: NH2+NH=H+N2H2	-0.0026950154461976928
R772: NH2+NH2=H2+N2H2	-0.003016900254711437
R804: NH2+HNO=NO+NH3	-0.0031899279053323737
R769: NH2+NH2=NH+NH3	-0.005505738045269727
R825: NH2+NO2=H2O+N2O	-0.005736076501297431
R933: HNCO+NH=NCO+NH2	-0.006583847843672792
R822: NH2+NO2=NO+H2NO	-0.02222312543219447
R786: NH3(+M)=H+NH2(+M)	-0.05366886466006389
R794: NH2+NO=OH+NNH	-0.27791643405899724
R781: NH2+O2=OH+HNO	-0.5335201325984753
R791: NH2+NO=H2O+N2	-0.6564709878120234
R770: NH2+O2=O+H2NO	-0.9427355663337014
R782: NH2+H=H2+NH	-1.8273378000579055
R776: NH2+HO2=O2+NH3	-3.621385056169829
R768: NH2+HO2=OH+H2NO	-4.3560146317991295
R778: NH2+O=OH+NH	-13.5096722757632
R773: NH2+O=H+HNO	-15.385668705687205
R780: NH2+OH=H2O+NH	-19.676634960970002
R774: NH2+O=H+HNO	-39.10728274269806
