Reactions	Percentage
R808: H2NO+NH2=NH3+HNO	0.002825259062293041
R814: H2NO(+M)=H+HNO(+M)	0.0037501059091330697
R932: HNCO+O2=CO2+HNO	0.004692146806688803
R816: H2NO+H=H2+HNO	0.08351241489298539
R831: HONO+H=OH+HNO	0.10004238918654768
R811: H2NO+HO2=H2O2+HNO	0.16542172825563406
R781: NH2+O2=OH+HNO	0.5983169967765253
R815: H2NO+OH=H2O+HNO	1.3041520225938894
R812: H2NO+O=OH+HNO	2.453659860764428
R809: H2NO+O2=HO2+HNO	3.0639105692442707
R766: NH+OH=H+HNO	6.538941805056971
R773: NH2+O=H+HNO	17.25428251142185
R767: NH+O2=O+HNO	24.56835233999388
R774: NH2+O=H+HNO	43.856924102827016
