           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.39991E+03  	        2.51200E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        4.41924E-17  	        3.66986E-19  	        1.43923E-18  	        3.14575E-19  	        1.24579E-14  	        4.91121E-21  	        2.35086E-17  	        2.20952E-11  	        5.27022E-14  	        1.21395E-13  	        1.53335E-15  	        2.62512E-19  	        0.00000E+00  	        2.02413E-12  	        2.61892E-16  	        0.00000E+00  	        1.12795E-14  	        2.39720E-11  	        3.66832E-16  	        1.51723E-17  	        3.54663E-18  	        2.04377E-13  	        0.00000E+00  	        3.47257E-17  	        1.04767E-12  	        0.00000E+00  	        1.04917E-11  	        1.62687E-15  	        1.02285E-17  	        1.90621E-13  	        3.49864E-11  	        3.15117E-11  	        4.27694E-16  	        7.93972E-13  	        6.31387E-21  	        2.07221E-15  	        7.41084E-12  	        5.26915E-12  	        3.21182E-12  	        1.52829E-10  	        0.00000E+00  	        2.89853E-14  	        1.19859E-14  	        3.04134E-12  	        2.75838E-12  	        1.18948E-15  	        7.57583E-18  	        4.75659E-11  	        5.90831E-20  	        8.75840E-11  	        2.92347E-13  	        2.32920E-01  	        4.18709E-07  	        9.97530E-13  	        0.00000E+00  	        6.63447E-13  	        4.96674E-10  	        1.27793E-10  	        0.00000E+00  	        2.38534E-12  	        7.67080E-01  	        6.99358E-12  	        8.65105E-12  	        1.09614E-11  	        1.41960E-11  	        5.39207E-12  	        1.74829E-10  	        1.82890E-11  	        1.87152E-17  	        0.00000E+00  	        0.00000E+00  	        1.10945E-15  	        1.01463E-20  	        1.39393E-18  	        2.68794E-19  	        0.00000E+00  	        8.66568E-17  	        2.91143E-12  	        5.90478E-12  	        2.09477E-12  	        3.43786E-17  	        2.37344E-12  	        1.19462E-14  	        0.00000E+00  	        1.02134E-18  	        2.94989E-17  	        0.00000E+00  	        7.63789E-21  	        0.00000E+00  	        3.61432E-12  	        5.53521E-17  	        0.00000E+00  	        2.01155E-21  	        0.00000E+00  	        8.70158E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.61630E-18  	        7.77272E-20  	        0.00000E+00
        2.00000E-03  	        1.39980E+03  	        2.51218E-01  	        1.01325E+05  	        3.65132E-19  	        0.00000E+00  	        3.26653E-13  	        1.29101E-16  	        4.26667E-15  	        8.86584E-16  	        2.69319E-11  	        1.21144E-16  	        2.44496E-13  	        1.09736E-09  	        6.85356E-12  	        1.84745E-11  	        4.36781E-12  	        1.16007E-15  	        0.00000E+00  	        4.50225E-10  	        2.60600E-14  	        1.16686E-19  	        2.20983E-12  	        2.26945E-09  	        2.79601E-14  	        7.34158E-14  	        6.09658E-15  	        4.17517E-11  	        1.60484E-19  	        6.54401E-13  	        1.88684E-10  	        0.00000E+00  	        7.06251E-10  	        4.42996E-13  	        7.26285E-15  	        3.11288E-11  	        3.04481E-09  	        3.25696E-09  	        2.23536E-13  	        9.13159E-10  	        2.44021E-15  	        3.60212E-13  	        7.68446E-10  	        1.09216E-09  	        1.54135E-10  	        9.07495E-10  	        5.66722E-21  	        1.42830E-11  	        2.51279E-12  	        2.47740E-10  	        2.88498E-09  	        2.63651E-13  	        8.35300E-15  	        4.19707E-09  	        3.79951E-14  	        1.05363E-08  	        1.16400E-10  	        2.32918E-01  	        8.58422E-06  	        3.11930E-10  	        0.00000E+00  	        4.63350E-10  	        2.25918E-08  	        9.30409E-09  	        0.00000E+00  	        5.36053E-10  	        7.67073E-01  	        6.07333E-09  	        2.21006E-09  	        1.80989E-09  	        5.85275E-10  	        9.09807E-10  	        1.27198E-08  	        7.47502E-10  	        1.32429E-14  	        1.27703E-22  	        3.50422E-18  	        2.82051E-13  	        8.87360E-17  	        2.05445E-15  	        1.49890E-16  	        9.58399E-22  	        3.02400E-14  	        6.06759E-12  	        6.10970E-11  	        2.18029E-11  	        2.82204E-14  	        2.47236E-11  	        1.57253E-13  	        1.11682E-18  	        4.02751E-15  	        1.02087E-14  	        1.44949E-21  	        7.67090E-16  	        2.13099E-20  	        3.73278E-11  	        1.80161E-14  	        0.00000E+00  	        4.71229E-18  	        3.03976E-19  	        4.09451E-16  	        1.97093E-19  	        3.69945E-18  	        0.00000E+00  	        4.42134E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.16734E-15  	        1.21216E-16  	        3.58472E-19
        3.10000E-03  	        1.39967E+03  	        2.51239E-01  	        1.01325E+05  	        5.29090E-16  	        6.05278E-17  	        7.33561E-10  	        3.31556E-14  	        1.91404E-12  	        1.43106E-14  	        3.82959E-09  	        4.89096E-14  	        1.88869E-10  	        1.70184E-08  	        9.66917E-09  	        6.35263E-10  	        6.51746E-10  	        1.47954E-12  	        1.16902E-16  	        8.46368E-08  	        4.10088E-12  	        8.27165E-14  	        2.46083E-10  	        2.88909E-08  	        5.70114E-11  	        2.98236E-11  	        7.65487E-13  	        2.28428E-09  	        7.17234E-17  	        1.66176E-10  	        1.92351E-08  	        2.26008E-23  	        3.01713E-08  	        7.38482E-11  	        5.00802E-12  	        5.67133E-09  	        4.54144E-08  	        5.95375E-08  	        2.20488E-10  	        6.79138E-08  	        2.86789E-12  	        5.44534E-11  	        1.79736E-08  	        7.46551E-08  	        1.32272E-09  	        4.76658E-09  	        6.13119E-16  	        1.41158E-09  	        1.58904E-10  	        6.21314E-09  	        1.97282E-07  	        4.90568E-11  	        3.11759E-12  	        8.15349E-08  	        1.18802E-10  	        6.96152E-07  	        5.00581E-09  	        2.32914E-01  	        2.17930E-05  	        1.36569E-08  	        0.00000E+00  	        3.27077E-08  	        8.95932E-07  	        1.47889E-07  	        2.60613E-17  	        1.56971E-08  	        7.67061E-01  	        2.69490E-07  	        1.11635E-07  	        6.34698E-08  	        6.25236E-09  	        2.15079E-08  	        1.22519E-07  	        8.36892E-09  	        2.90205E-12  	        9.18822E-18  	        8.81664E-16  	        7.99441E-12  	        2.52267E-14  	        7.87936E-13  	        4.94577E-15  	        3.95604E-17  	        7.28544E-12  	        2.71225E-11  	        2.58593E-10  	        1.11419E-10  	        9.40950E-12  	        1.18953E-10  	        8.18629E-13  	        1.53127E-16  	        1.07296E-12  	        7.17574E-13  	        1.76104E-16  	        2.88313E-13  	        7.69020E-18  	        1.47516E-10  	        9.43965E-13  	        0.00000E+00  	        3.77695E-16  	        1.49674E-17  	        2.83609E-14  	        3.50076E-17  	        3.38248E-16  	        4.22390E-19  	        4.83217E-14  	        3.87008E-19  	        0.00000E+00  	        2.12166E-16  	        2.02279E-13  	        1.18227E-14  	        6.71120E-16
        4.10000E-03  	        1.39964E+03  	        2.51244E-01  	        1.01325E+05  	        3.13676E-15  	        5.83839E-15  	        9.25004E-09  	        1.72683E-13  	        3.42439E-11  	        3.25135E-13  	        4.43034E-08  	        1.10876E-12  	        3.60633E-09  	        8.66621E-08  	        1.97003E-07  	        6.61618E-09  	        4.67265E-09  	        5.49820E-11  	        9.51615E-14  	        8.54101E-07  	        3.85276E-11  	        5.10914E-12  	        1.88081E-09  	        5.23922E-08  	        2.32516E-09  	        8.71885E-10  	        1.96371E-12  	        1.26099E-08  	        2.22231E-15  	        4.66170E-10  	        1.28427E-07  	        4.50545E-17  	        3.97084E-07  	        6.57541E-10  	        2.62431E-11  	        2.17814E-08  	        2.51014E-07  	        1.23869E-07  	        1.67801E-09  	        4.47102E-07  	        9.10316E-11  	        7.75280E-10  	        9.29189E-08  	        3.11915E-07  	        6.53943E-09  	        5.43100E-08  	        1.02712E-13  	        9.60623E-09  	        3.94860E-10  	        3.04122E-08  	        9.66120E-07  	        9.26017E-10  	        1.34129E-10  	        3.70828E-07  	        3.04547E-09  	        1.11901E-05  	        3.63542E-08  	        2.32899E-01  	        2.61543E-05  	        1.23724E-07  	        0.00000E+00  	        1.88909E-07  	        9.84405E-06  	        3.41458E-07  	        5.26860E-15  	        1.12033E-07  	        7.67047E-01  	        5.68516E-07  	        5.23969E-07  	        6.66311E-07  	        2.94180E-08  	        8.40417E-08  	        1.19356E-07  	        3.97460E-08  	        3.81393E-11  	        5.34172E-17  	        1.69105E-14  	        2.99493E-11  	        4.16689E-13  	        7.05209E-12  	        9.32965E-14  	        2.24750E-15  	        2.05639E-11  	        3.38079E-10  	        4.34320E-10  	        7.15101E-10  	        1.01924E-10  	        3.60762E-10  	        2.50348E-12  	        2.72826E-15  	        3.04426E-11  	        9.87179E-12  	        5.62488E-15  	        4.32637E-12  	        1.36180E-16  	        1.78873E-10  	        4.19794E-12  	        0.00000E+00  	        1.40023E-15  	        5.19153E-17  	        1.11437E-13  	        1.99802E-16  	        2.12177E-15  	        4.73814E-15  	        2.28724E-12  	        3.17943E-15  	        1.79461E-18  	        7.42514E-15  	        2.76289E-12  	        1.30077E-13  	        1.04430E-14
        5.07445E-03  	        1.39993E+03  	        2.51188E-01  	        1.01325E+05  	        7.00014E-15  	        7.45104E-14  	        1.52340E-08  	        5.98760E-13  	        8.42395E-11  	        5.01429E-13  	        8.94651E-08  	        2.93576E-12  	        7.85753E-09  	        2.21037E-07  	        6.42627E-07  	        1.09640E-08  	        5.66901E-09  	        1.09455E-10  	        1.47197E-12  	        7.91317E-07  	        5.10326E-11  	        1.62252E-11  	        2.62078E-09  	        9.70999E-08  	        8.08927E-09  	        3.21701E-09  	        2.84488E-12  	        2.39556E-08  	        1.46629E-14  	        4.25156E-10  	        1.22170E-07  	        4.73721E-16  	        2.79676E-06  	        1.26226E-09  	        7.35782E-11  	        3.15352E-08  	        1.08533E-06  	        1.46577E-07  	        2.98346E-09  	        5.77634E-07  	        3.12534E-10  	        1.59258E-09  	        1.79221E-07  	        2.36007E-07  	        9.90245E-09  	        1.29602E-07  	        1.06122E-12  	        1.44643E-08  	        4.37225E-10  	        2.07488E-08  	        8.51669E-07  	        5.13247E-09  	        8.16940E-10  	        3.68105E-07  	        5.60492E-09  	        4.60772E-05  	        6.43773E-08  	        2.32831E-01  	        5.85257E-05  	        3.71098E-07  	        0.00000E+00  	        2.06619E-07  	        4.89688E-05  	        3.39939E-07  	        8.99130E-14  	        2.81761E-07  	        7.67001E-01  	        6.01800E-07  	        4.82831E-07  	        2.50954E-06  	        5.81324E-08  	        1.31367E-07  	        2.29084E-07  	        7.85351E-08  	        7.01797E-11  	        1.51519E-17  	        1.00064E-13  	        1.79836E-11  	        8.32115E-13  	        6.82909E-12  	        5.47830E-13  	        1.78312E-14  	        5.82017E-12  	        2.94925E-09  	        2.90604E-10  	        3.00599E-09  	        1.16226E-10  	        5.95248E-10  	        4.31239E-12  	        1.05646E-14  	        1.65601E-10  	        6.91905E-11  	        2.64620E-14  	        9.73439E-12  	        4.86079E-16  	        1.09437E-10  	        3.40419E-12  	        0.00000E+00  	        1.02382E-15  	        2.74055E-17  	        1.31611E-13  	        1.96620E-16  	        2.99161E-15  	        2.42546E-14  	        9.69634E-12  	        1.04467E-14  	        2.99666E-17  	        3.29474E-14  	        6.83589E-12  	        1.17609E-13  	        1.27542E-14
        6.00206E-03  	        1.40084E+03  	        2.51029E-01  	        1.01325E+05  	        3.06881E-15  	        2.52643E-11  	        4.71998E-09  	        6.74652E-13  	        4.64803E-10  	        6.34496E-14  	        5.99188E-09  	        4.37020E-11  	        7.60795E-09  	        1.57896E-08  	        5.28599E-07  	        5.98281E-09  	        2.13514E-11  	        2.15368E-10  	        2.62572E-12  	        3.40733E-07  	        2.70226E-12  	        2.11064E-13  	        1.35822E-09  	        7.59972E-09  	        7.38311E-09  	        1.13829E-09  	        2.91595E-12  	        1.98807E-09  	        1.93812E-17  	        5.18660E-11  	        7.54475E-08  	        3.75606E-19  	        1.05117E-05  	        2.46380E-09  	        1.62900E-11  	        3.23018E-08  	        1.38762E-06  	        9.32483E-09  	        2.29502E-10  	        2.00818E-07  	        5.28663E-10  	        3.35991E-09  	        2.49739E-08  	        1.21326E-07  	        1.18599E-09  	        2.63473E-08  	        7.89284E-13  	        8.61561E-11  	        7.11071E-11  	        6.07725E-09  	        9.42088E-08  	        4.08679E-08  	        6.95454E-10  	        7.49037E-08  	        9.25539E-10  	        7.72470E-05  	        2.49616E-09  	        2.32670E-01  	        1.24506E-04  	        1.92583E-08  	        0.00000E+00  	        9.44546E-08  	        1.79063E-04  	        4.24450E-08  	        5.10706E-13  	        1.21875E-08  	        7.66922E-01  	        2.58143E-08  	        5.99900E-08  	        7.10487E-06  	        4.82580E-09  	        1.21359E-08  	        1.37468E-08  	        6.78196E-09  	        2.18268E-10  	        4.77033E-17  	        9.59007E-13  	        6.78999E-12  	        1.94240E-12  	        2.87952E-12  	        1.87893E-12  	        9.47299E-13  	        9.57033E-13  	        1.40510E-08  	        7.51735E-11  	        8.83751E-09  	        6.04087E-11  	        4.09935E-10  	        4.05076E-12  	        5.04128E-13  	        2.20948E-10  	        8.53206E-11  	        1.89437E-12  	        8.09266E-12  	        1.74255E-14  	        2.32023E-11  	        4.86087E-13  	        4.23483E-21  	        5.94386E-18  	        4.97670E-19  	        6.05831E-14  	        8.16131E-18  	        2.73616E-15  	        2.24297E-16  	        7.61639E-12  	        4.38714E-16  	        8.86302E-17  	        2.93777E-13  	        4.87274E-12  	        1.95345E-14  	        3.00830E-14
        7.00144E-03  	        1.40267E+03  	        2.50719E-01  	        1.01325E+05  	        1.62606E-15  	        3.00444E-11  	        1.09010E-08  	        2.80767E-13  	        2.25723E-10  	        6.08471E-16  	        1.70539E-08  	        3.04092E-11  	        2.65907E-09  	        3.07914E-08  	        7.53854E-08  	        2.89644E-09  	        1.37302E-12  	        8.88299E-11  	        1.48400E-12  	        1.80410E-07  	        5.08815E-13  	        3.22734E-15  	        4.72271E-10  	        1.00276E-09  	        1.58862E-09  	        8.94989E-11  	        1.13674E-12  	        2.58896E-09  	        1.82272E-18  	        2.41024E-11  	        3.02227E-08  	        1.35707E-95  	        2.57485E-05  	        7.55432E-10  	        6.53850E-12  	        1.11283E-08  	        3.73864E-07  	        2.46213E-09  	        2.13835E-10  	        9.14112E-08  	        1.87280E-11  	        1.47321E-09  	        1.84213E-08  	        1.36889E-07  	        4.12522E-11  	        5.05055E-09  	        2.51567E-13  	        1.38611E-11  	        1.06667E-11  	        1.57358E-09  	        3.02096E-08  	        1.20479E-07  	        3.22447E-10  	        3.23528E-08  	        7.48052E-10  	        6.31068E-05  	        9.68931E-10  	        2.32356E-01  	        2.37339E-04  	        4.11128E-08  	        0.00000E+00  	        1.38890E-07  	        5.04295E-04  	        9.18160E-09  	        3.44930E-13  	        1.65760E-08  	        7.66790E-01  	        4.69421E-09  	        1.70494E-08  	        1.61834E-05  	        1.42357E-10  	        6.90878E-10  	        2.64540E-08  	        2.17886E-10  	        1.90472E-12  	        1.34821E-16  	        2.92149E-12  	        4.21984E-12  	        2.69753E-12  	        4.11771E-12  	        2.05819E-11  	        2.54382E-12  	        3.01688E-13  	        4.53197E-08  	        4.67232E-11  	        8.00205E-08  	        2.32315E-10  	        2.68417E-10  	        3.84099E-12  	        7.96172E-13  	        1.13928E-10  	        4.19245E-11  	        1.29611E-12  	        2.87216E-12  	        1.04063E-14  	        1.50428E-11  	        3.74605E-13  	        2.17800E-20  	        3.09300E-18  	        2.69816E-19  	        1.42925E-14  	        6.03871E-18  	        3.70974E-15  	        3.30393E-15  	        2.84097E-12  	        2.07704E-16  	        1.35434E-16  	        1.86484E-13  	        2.76719E-12  	        4.62501E-15  	        5.68649E-15
        8.00240E-03  	        1.40405E+03  	        2.50479E-01  	        1.01325E+05  	        1.09396E-15  	        8.58424E-12  	        1.23303E-08  	        1.66356E-13  	        1.06933E-10  	        7.16865E-16  	        9.72573E-09  	        1.24239E-11  	        1.45271E-09  	        2.44287E-08  	        1.87297E-08  	        1.22001E-09  	        1.52956E-13  	        4.26140E-11  	        1.14197E-12  	        8.29607E-08  	        2.94766E-13  	        2.78141E-16  	        3.17480E-10  	        8.50613E-09  	        4.87378E-10  	        2.34803E-11  	        7.73074E-13  	        2.21336E-09  	        7.28608E-19  	        1.47479E-11  	        1.25864E-08  	        1.15145E-95  	        2.80477E-05  	        4.31132E-10  	        4.31826E-12  	        5.09999E-09  	        1.19811E-07  	        1.67225E-09  	        1.16308E-10  	        4.96523E-08  	        9.58298E-12  	        8.43265E-10  	        1.26270E-08  	        1.45813E-07  	        2.20017E-11  	        2.12901E-09  	        1.54977E-13  	        1.26934E-11  	        9.18621E-12  	        7.78290E-10  	        1.46473E-08  	        9.50921E-08  	        2.13949E-10  	        1.80398E-08  	        4.11464E-10  	        5.28448E-05  	        7.16814E-10  	        2.32157E-01  	        3.17770E-04  	        3.32843E-08  	        0.00000E+00  	        1.06975E-07  	        7.30479E-04  	        7.03053E-09  	        2.16740E-13  	        1.24404E-08  	        7.66688E-01  	        3.94301E-09  	        1.06291E-08  	        1.89099E-05  	        1.47968E-11  	        4.09440E-10  	        2.08806E-08  	        6.35815E-11  	        1.02112E-12  	        9.56104E-17  	        2.25501E-12  	        4.60253E-12  	        2.72716E-12  	        5.45386E-12  	        2.70979E-11  	        1.56322E-12  	        1.27947E-13  	        8.52794E-08  	        5.47139E-11  	        1.30217E-07  	        4.77415E-10  	        2.16759E-10  	        3.08193E-12  	        3.79464E-13  	        8.94694E-11  	        3.55821E-11  	        3.89327E-13  	        1.25998E-12  	        3.88165E-15  	        2.14016E-11  	        7.84508E-13  	        4.90836E-20  	        1.08650E-17  	        1.08475E-18  	        1.04419E-14  	        1.63214E-17  	        6.96043E-15  	        5.12032E-16  	        1.71705E-12  	        1.14105E-16  	        8.96654E-17  	        5.75696E-14  	        2.10695E-12  	        1.65961E-15  	        9.51234E-16
        9.00243E-03  	        1.40483E+03  	        2.50336E-01  	        1.01325E+05  	        3.16861E-15  	        8.57598E-13  	        1.09271E-08  	        3.49263E-14  	        4.17588E-11  	        2.80725E-16  	        4.76676E-09  	        2.76768E-12  	        7.96433E-10  	        6.06309E-09  	        7.51463E-09  	        5.18750E-10  	        6.91440E-14  	        2.29027E-11  	        9.73195E-13  	        4.20458E-08  	        2.64218E-13  	        3.24314E-16  	        2.39539E-10  	        3.10047E-08  	        1.84881E-10  	        1.43186E-11  	        2.30843E-13  	        1.40958E-09  	        7.44776E-19  	        1.01786E-11  	        5.78352E-09  	        1.48646E-95  	        2.43152E-05  	        2.10468E-10  	        1.23735E-12  	        1.85195E-09  	        4.27389E-08  	        1.02283E-09  	        2.35659E-11  	        2.80497E-08  	        3.39708E-12  	        4.85432E-10  	        4.96094E-09  	        1.43295E-07  	        2.78101E-11  	        1.44111E-09  	        1.17106E-13  	        3.61900E-11  	        1.09766E-11  	        6.46460E-10  	        5.88882E-09  	        4.40997E-08  	        1.54695E-10  	        1.11408E-08  	        1.37449E-10  	        4.16990E-05  	        1.18290E-09  	        2.32074E-01  	        3.57095E-04  	        1.09085E-08  	        0.00000E+00  	        5.49841E-08  	        8.26337E-04  	        1.39249E-08  	        1.42999E-13  	        1.07774E-08  	        7.66653E-01  	        6.36801E-09  	        1.71642E-08  	        1.77771E-05  	        4.74555E-11  	        3.14355E-10  	        5.23842E-09  	        8.99585E-11  	        5.83135E-13  	        6.88006E-17  	        9.69203E-13  	        9.39607E-12  	        4.10390E-12  	        1.13252E-11  	        3.17175E-11  	        7.90560E-13  	        1.42851E-13  	        1.25627E-07  	        1.34396E-10  	        1.79678E-07  	        7.82875E-10  	        3.94811E-10  	        4.33015E-12  	        2.12563E-13  	        1.77393E-10  	        8.30487E-11  	        5.73075E-14  	        1.26575E-12  	        2.84999E-15  	        5.82505E-11  	        4.24118E-12  	        1.16962E-19  	        1.54500E-16  	        1.24759E-17  	        4.68127E-14  	        1.11165E-16  	        1.96374E-14  	        5.25971E-16  	        3.28943E-12  	        6.77897E-17  	        3.10693E-16  	        1.05072E-14  	        3.94039E-12  	        3.11296E-15  	        6.61327E-16
        1.00032E-02  	        1.40515E+03  	        2.50273E-01  	        1.01325E+05  	        1.92591E-16  	        2.24686E-14  	        8.67766E-09  	        6.88123E-16  	        7.29560E-12  	        1.73057E-14  	        1.54930E-09  	        2.84983E-13  	        3.32500E-10  	        8.39646E-10  	        5.78430E-09  	        2.66353E-10  	        2.87513E-13  	        6.20967E-12  	        8.90240E-13  	        2.67285E-08  	        1.29250E-13  	        5.55589E-16  	        7.32229E-11  	        3.37434E-08  	        1.01602E-10  	        1.08484E-11  	        7.97598E-15  	        3.00000E-09  	        2.28191E-20  	        1.01552E-11  	        2.83955E-09  	        3.09407E-26  	        2.00635E-05  	        5.65986E-11  	        5.37518E-14  	        1.10859E-09  	        2.19787E-08  	        3.38932E-10  	        3.04329E-12  	        1.71220E-08  	        1.51934E-12  	        1.24023E-10  	        1.60599E-09  	        1.32462E-07  	        4.69155E-11  	        2.09214E-09  	        9.42632E-14  	        6.90535E-11  	        2.07262E-12  	        3.73593E-10  	        4.82970E-09  	        2.00690E-08  	        1.17734E-10  	        6.34641E-09  	        6.83810E-11  	        3.41319E-05  	        2.79432E-09  	        2.32056E-01  	        3.68506E-04  	        1.01946E-08  	        0.00000E+00  	        2.77230E-08  	        8.51448E-04  	        2.52138E-08  	        1.00533E-13  	        2.86528E-08  	        7.66649E-01  	        1.74879E-08  	        2.43129E-08  	        1.58575E-05  	        2.07440E-10  	        1.69363E-10  	        6.14433E-10  	        2.55563E-10  	        2.03527E-13  	        2.16636E-16  	        4.09316E-13  	        1.69798E-11  	        5.97871E-12  	        2.17703E-11  	        3.44263E-11  	        3.51801E-13  	        2.51233E-13  	        1.61588E-07  	        4.46245E-10  	        2.32737E-07  	        1.17491E-09  	        1.17787E-09  	        9.27297E-12  	        1.19895E-13  	        6.42580E-10  	        3.31286E-10  	        2.96359E-15  	        4.97698E-12  	        1.97532E-15  	        2.18178E-10  	        1.05994E-11  	        7.64852E-20  	        6.58447E-16  	        5.56576E-17  	        2.39443E-13  	        2.87041E-16  	        2.23665E-14  	        6.68748E-16  	        1.65307E-11  	        8.90316E-17  	        2.26469E-15  	        6.46391E-16  	        1.31679E-11  	        5.79958E-15  	        4.33775E-16
