           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.39991E+03  	        2.51200E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        3.74807E-17  	        1.85530E-19  	        2.96014E-18  	        8.46952E-20  	        1.12149E-14  	        1.00994E-20  	        1.65315E-17  	        8.60113E-12  	        2.30070E-14  	        8.74302E-14  	        5.52052E-16  	        2.44000E-19  	        0.00000E+00  	        1.38939E-12  	        2.43472E-16  	        0.00000E+00  	        7.56066E-15  	        2.29982E-11  	        2.57732E-16  	        1.04022E-17  	        1.79294E-18  	        1.01573E-13  	        0.00000E+00  	        1.49379E-17  	        1.16107E-12  	        0.00000E+00  	        1.89201E-11  	        1.73573E-15  	        5.17113E-18  	        1.40832E-13  	        1.55076E-11  	        1.62165E-11  	        2.20122E-16  	        4.97139E-13  	        4.04150E-21  	        2.06044E-15  	        4.85354E-12  	        4.60599E-12  	        9.95097E-13  	        4.68508E-11  	        0.00000E+00  	        9.49636E-15  	        1.19003E-14  	        5.83642E-12  	        1.32495E-12  	        3.40477E-14  	        2.37216E-18  	        4.57007E-11  	        2.50360E-20  	        9.02061E-11  	        5.85237E-14  	        2.10035E-01  	        6.70450E-07  	        2.28174E-13  	        0.00000E+00  	        9.49298E-12  	        3.25560E-10  	        1.31415E-10  	        0.00000E+00  	        4.24328E-13  	        7.89964E-01  	        2.09961E-12  	        1.55563E-11  	        1.85946E-11  	        3.78580E-12  	        1.99135E-12  	        8.68349E-11  	        3.46640E-12  	        7.00245E-18  	        0.00000E+00  	        0.00000E+00  	        1.99744E-15  	        1.94871E-20  	        1.29660E-18  	        1.64899E-19  	        0.00000E+00  	        7.80751E-17  	        1.90850E-12  	        1.00003E-11  	        2.01371E-12  	        2.15586E-17  	        2.53332E-12  	        1.27528E-14  	        0.00000E+00  	        6.84763E-19  	        2.02543E-17  	        0.00000E+00  	        7.09267E-21  	        0.00000E+00  	        1.31819E-12  	        2.04491E-17  	        0.00000E+00  	        6.16585E-22  	        0.00000E+00  	        3.79858E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.08365E-18  	        5.46154E-20  	        0.00000E+00
        2.00000E-03  	        1.39980E+03  	        2.51218E-01  	        1.01325E+05  	        2.32572E-19  	        0.00000E+00  	        2.76293E-13  	        6.51759E-17  	        8.75203E-15  	        2.37384E-16  	        2.41705E-11  	        2.48438E-16  	        1.71435E-13  	        4.23924E-10  	        2.98520E-12  	        1.32955E-11  	        1.56696E-12  	        1.07525E-15  	        0.00000E+00  	        3.08754E-10  	        2.41868E-14  	        4.18139E-20  	        1.47787E-12  	        2.17177E-09  	        1.96211E-14  	        5.02358E-14  	        3.07291E-15  	        2.06560E-11  	        6.22498E-20  	        2.80380E-13  	        2.08952E-10  	        0.00000E+00  	        1.27239E-09  	        4.71702E-13  	        3.65791E-15  	        2.29601E-11  	        1.34755E-09  	        1.67327E-09  	        1.14782E-13  	        5.70034E-10  	        1.55748E-15  	        3.57590E-13  	        5.02447E-10  	        9.53714E-10  	        4.75366E-11  	        2.77771E-10  	        2.90187E-21  	        4.67100E-12  	        2.48899E-12  	        4.74669E-10  	        1.38149E-09  	        7.53157E-12  	        2.61066E-15  	        4.02509E-09  	        1.60495E-14  	        1.08274E-08  	        2.32694E-11  	        2.10032E-01  	        1.37199E-05  	        7.11230E-11  	        0.00000E+00  	        6.60977E-09  	        1.47713E-08  	        9.54551E-09  	        0.00000E+00  	        9.49255E-11  	        7.89955E-01  	        1.81791E-09  	        3.96276E-09  	        3.06677E-09  	        1.54934E-10  	        3.35126E-10  	        6.30158E-09  	        1.40589E-10  	        4.93658E-15  	        1.21841E-22  	        3.47532E-18  	        5.06913E-13  	        1.69922E-16  	        1.90621E-15  	        9.15859E-17  	        1.96125E-21  	        2.72096E-14  	        3.97725E-12  	        1.03293E-10  	        2.09227E-11  	        1.76630E-14  	        2.63429E-11  	        1.67726E-13  	        1.23534E-18  	        2.69564E-15  	        6.99850E-15  	        1.03872E-21  	        7.10688E-16  	        2.18194E-20  	        1.35901E-11  	        6.63646E-15  	        0.00000E+00  	        1.43913E-18  	        7.93212E-20  	        1.78187E-16  	        6.01965E-20  	        1.36335E-18  	        0.00000E+00  	        1.89388E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.45068E-15  	        8.50238E-17  	        2.57359E-19
        3.10000E-03  	        1.39967E+03  	        2.51239E-01  	        1.01325E+05  	        3.37494E-16  	        1.33738E-16  	        6.20233E-10  	        1.67055E-14  	        3.92789E-12  	        3.83060E-15  	        3.43880E-09  	        1.00366E-13  	        1.32484E-10  	        6.57565E-09  	        4.21107E-09  	        4.56870E-10  	        2.33833E-10  	        1.37215E-12  	        6.10795E-17  	        5.80038E-08  	        3.80078E-12  	        2.96662E-14  	        1.64489E-10  	        2.76538E-08  	        3.99891E-11  	        2.04035E-11  	        3.86054E-13  	        1.13161E-09  	        2.78306E-17  	        7.12655E-11  	        2.12847E-08  	        7.52351E-24  	        5.43514E-08  	        7.85988E-11  	        2.52237E-12  	        4.17949E-09  	        2.01026E-08  	        3.05900E-08  	        1.13197E-10  	        4.24250E-08  	        1.83155E-12  	        5.40120E-11  	        1.17492E-08  	        6.51673E-08  	        4.08063E-10  	        1.45863E-09  	        3.14514E-16  	        4.61333E-10  	        1.57358E-10  	        1.19046E-08  	        9.45289E-08  	        1.40081E-09  	        9.74355E-13  	        7.82137E-08  	        5.02123E-11  	        7.15643E-07  	        1.00043E-09  	        2.10027E-01  	        3.48729E-05  	        3.11281E-09  	        0.00000E+00  	        4.66882E-07  	        5.85948E-07  	        1.51812E-07  	        1.10135E-17  	        2.77935E-09  	        7.89935E-01  	        8.06833E-08  	        2.00267E-07  	        1.07568E-07  	        1.65522E-09  	        7.92500E-09  	        6.07250E-08  	        1.57441E-09  	        1.08323E-12  	        8.80939E-18  	        8.74411E-16  	        1.43775E-11  	        4.83636E-14  	        7.31248E-13  	        3.02571E-15  	        8.12923E-17  	        6.55303E-12  	        1.77696E-11  	        4.37328E-10  	        1.06960E-10  	        5.89029E-12  	        1.26787E-10  	        8.73117E-13  	        1.69510E-16  	        7.18336E-13  	        4.92086E-13  	        1.26679E-16  	        2.67322E-13  	        7.88548E-18  	        5.37238E-11  	        3.47942E-13  	        0.00000E+00  	        1.15413E-16  	        3.91112E-18  	        1.23463E-14  	        1.07021E-17  	        1.24734E-16  	        2.33323E-19  	        2.07250E-14  	        2.09598E-19  	        0.00000E+00  	        1.48781E-16  	        1.35455E-13  	        8.29430E-15  	        4.82743E-16
        4.10000E-03  	        1.39964E+03  	        2.51244E-01  	        1.01325E+05  	        2.00334E-15  	        1.29241E-14  	        7.82368E-09  	        8.70861E-14  	        7.03756E-11  	        8.72767E-14  	        3.97529E-08  	        2.27847E-12  	        2.53314E-09  	        3.34460E-08  	        8.58929E-08  	        4.75712E-09  	        1.67795E-09  	        5.10698E-11  	        4.97963E-14  	        5.85827E-07  	        3.57341E-11  	        1.83369E-12  	        1.25893E-09  	        5.00180E-08  	        1.63237E-09  	        5.96754E-10  	        9.91396E-13  	        6.24291E-09  	        8.62052E-16  	        2.00079E-10  	        1.42186E-07  	        1.50582E-17  	        7.15820E-07  	        7.00600E-10  	        1.32299E-11  	        1.60639E-08  	        1.11202E-07  	        6.36189E-08  	        8.62050E-10  	        2.79523E-07  	        5.82273E-11  	        7.69979E-10  	        6.06929E-08  	        2.72430E-07  	        2.02055E-09  	        1.66261E-08  	        5.27254E-14  	        3.13956E-09  	        3.91335E-10  	        5.83118E-08  	        4.63044E-07  	        2.64834E-08  	        4.19525E-11  	        3.55787E-07  	        1.28813E-09  	        1.15162E-05  	        7.26752E-09  	        2.10013E-01  	        4.18716E-05  	        2.81460E-08  	        0.00000E+00  	        2.69794E-06  	        6.44561E-06  	        3.50464E-07  	        2.22936E-15  	        1.98072E-08  	        7.89919E-01  	        1.69759E-07  	        9.40036E-07  	        1.12996E-06  	        7.77913E-09  	        3.09305E-08  	        5.90556E-08  	        7.46858E-09  	        1.42521E-11  	        5.12830E-17  	        1.67945E-14  	        5.38999E-11  	        8.00049E-13  	        6.55435E-12  	        5.71971E-14  	        4.62530E-15  	        1.85127E-11  	        2.21532E-10  	        7.34627E-10  	        6.87060E-10  	        6.38578E-11  	        3.84748E-10  	        2.67118E-12  	        3.02007E-15  	        2.04010E-11  	        6.77580E-12  	        4.05004E-15  	        4.01591E-12  	        1.39906E-16  	        6.51288E-11  	        1.54938E-12  	        0.00000E+00  	        4.28453E-16  	        1.35884E-17  	        4.85774E-14  	        6.11595E-17  	        7.83235E-16  	        2.61248E-15  	        9.82600E-13  	        1.71577E-15  	        9.92593E-19  	        5.21013E-15  	        1.85178E-12  	        9.13078E-14  	        7.51265E-15
        5.07445E-03  	        1.39993E+03  	        2.51188E-01  	        1.01325E+05  	        4.44398E-15  	        1.64470E-13  	        1.28081E-08  	        3.00184E-13  	        1.72689E-10  	        1.34843E-13  	        7.94654E-08  	        6.01495E-12  	        5.50438E-09  	        8.44987E-08  	        2.79755E-07  	        7.85372E-09  	        2.02293E-09  	        1.01411E-10  	        7.69643E-13  	        5.42146E-07  	        4.70549E-11  	        5.78546E-12  	        1.74814E-09  	        9.17870E-08  	        5.67246E-09  	        2.19261E-09  	        1.42927E-12  	        1.17439E-08  	        5.64379E-15  	        1.81486E-10  	        1.34851E-07  	        1.57253E-16  	        5.03997E-06  	        1.33977E-09  	        3.68569E-11  	        2.31830E-08  	        4.80563E-07  	        7.47278E-08  	        1.52337E-09  	        3.60459E-07  	        1.99564E-10  	        1.57728E-09  	        1.16187E-07  	        2.05695E-07  	        3.04212E-09  	        3.95651E-08  	        5.43238E-13  	        4.69518E-09  	        4.30736E-10  	        3.96528E-08  	        4.06008E-07  	        1.46653E-07  	        2.55142E-10  	        3.51205E-07  	        2.35777E-09  	        4.73897E-05  	        1.28204E-08  	        2.09949E-01  	        9.36282E-05  	        8.36350E-08  	        0.00000E+00  	        2.93966E-06  	        3.20532E-05  	        3.46169E-07  	        3.79905E-14  	        4.93498E-08  	        7.89861E-01  	        1.78119E-07  	        8.60491E-07  	        4.25412E-06  	        1.52271E-08  	        4.79001E-08  	        1.12100E-07  	        1.46176E-08  	        2.61006E-11  	        1.44956E-17  	        9.92814E-14  	        3.23414E-11  	        1.59526E-12  	        6.33528E-12  	        3.35637E-13  	        3.66375E-14  	        5.22440E-12  	        1.93202E-09  	        4.89636E-10  	        2.88698E-09  	        7.26543E-11  	        6.34231E-10  	        4.59792E-12  	        1.16677E-14  	        1.10916E-10  	        4.74723E-11  	        1.89850E-14  	        9.02964E-12  	        4.97982E-16  	        3.96167E-11  	        1.25295E-12  	        0.00000E+00  	        3.11500E-16  	        7.14864E-18  	        5.72364E-14  	        5.98955E-17  	        1.10120E-15  	        1.33330E-14  	        4.16211E-12  	        5.58578E-15  	        1.65606E-17  	        2.29987E-14  	        4.57985E-12  	        8.21828E-14  	        9.12328E-15
        6.00206E-03  	        1.40084E+03  	        2.51029E-01  	        1.01325E+05  	        1.95342E-15  	        5.55718E-11  	        3.99597E-09  	        3.39253E-13  	        9.49949E-10  	        1.70999E-14  	        5.36888E-09  	        8.92929E-11  	        5.32326E-09  	        6.11102E-09  	        2.30334E-07  	        4.30263E-09  	        7.67441E-12  	        1.98990E-10  	        1.37420E-12  	        2.33810E-07  	        2.49823E-12  	        7.56939E-14  	        9.06265E-10  	        7.24981E-09  	        5.17864E-09  	        7.77813E-10  	        1.46662E-12  	        9.83966E-10  	        7.48907E-18  	        2.21907E-11  	        8.33899E-08  	        1.24718E-19  	        1.89289E-05  	        2.61378E-09  	        8.19162E-12  	        2.37826E-08  	        6.14485E-07  	        4.78338E-09  	        1.17575E-10  	        1.25717E-07  	        3.36691E-10  	        3.32219E-09  	        1.63138E-08  	        1.05958E-07  	        3.65708E-10  	        8.05876E-09  	        4.05479E-13  	        2.80552E-11  	        7.01637E-11  	        1.16087E-08  	        4.51854E-08  	        1.16580E-06  	        2.17649E-10  	        7.18372E-08  	        3.90230E-10  	        7.94583E-05  	        4.97104E-10  	        2.09801E-01  	        1.99130E-04  	        4.37850E-09  	        0.00000E+00  	        1.34740E-06  	        1.17211E-04  	        4.35052E-08  	        2.15946E-13  	        2.15505E-09  	        7.89768E-01  	        7.71733E-09  	        1.07651E-07  	        1.20338E-05  	        1.27950E-09  	        4.45784E-09  	        6.79058E-09  	        1.27801E-09  	        8.10316E-11  	        4.56169E-17  	        9.49811E-13  	        1.22068E-11  	        3.71249E-12  	        2.66891E-12  	        1.15033E-12  	        1.93772E-12  	        8.61976E-13  	        9.20300E-09  	        1.27235E-10  	        8.48213E-09  	        3.78632E-11  	        4.36980E-10  	        4.31407E-12  	        5.55156E-13  	        1.47987E-10  	        5.85079E-11  	        1.35432E-12  	        7.51146E-12  	        1.77620E-14  	        8.45543E-12  	        1.78861E-13  	        1.27087E-21  	        1.81158E-18  	        1.29647E-19  	        2.64189E-14  	        2.48807E-18  	        1.00527E-15  	        1.23842E-16  	        3.27324E-12  	        2.36408E-16  	        4.87508E-17  	        2.04855E-13  	        3.26414E-12  	        1.36295E-14  	        2.14540E-14
        7.00144E-03  	        1.40267E+03  	        2.50719E-01  	        1.01325E+05  	        1.01738E-15  	        6.47018E-11  	        9.23209E-09  	        1.39511E-13  	        4.52338E-10  	        1.59926E-16  	        1.49484E-08  	        6.08761E-11  	        1.83131E-09  	        1.16652E-08  	        3.28935E-08  	        2.07765E-09  	        4.94378E-13  	        8.06601E-11  	        7.77057E-13  	        1.23796E-07  	        4.64922E-13  	        1.15807E-15  	        3.10321E-10  	        9.40165E-10  	        1.11570E-09  	        6.12632E-11  	        5.65432E-13  	        1.25436E-09  	        6.90468E-19  	        1.01610E-11  	        3.32410E-08  	        4.54657E-96  	        4.63702E-05  	        7.87727E-10  	        3.25074E-12  	        8.10507E-09  	        1.65696E-07  	        1.25502E-09  	        1.07626E-10  	        5.72501E-08  	        1.18678E-11  	        1.43031E-09  	        1.18550E-08  	        1.19551E-07  	        1.27154E-11  	        1.54729E-09  	        1.29342E-13  	        4.49093E-12  	        1.04122E-11  	        2.97989E-09  	        1.43858E-08  	        3.42777E-06  	        1.00968E-10  	        3.08311E-08  	        3.09942E-10  	        6.48557E-05  	        1.90306E-10  	        2.09517E-01  	        3.79591E-04  	        9.14996E-09  	        0.00000E+00  	        1.97198E-06  	        3.30179E-04  	        9.37622E-09  	        1.46032E-13  	        2.86925E-09  	        7.89628E-01  	        1.39300E-09  	        3.05572E-08  	        2.74048E-05  	        3.69461E-11  	        2.54522E-10  	        1.27872E-08  	        4.01908E-11  	        6.93432E-13  	        1.28363E-16  	        2.88420E-12  	        7.50435E-12  	        5.07655E-12  	        3.78284E-12  	        1.26084E-11  	        5.10828E-12  	        2.71568E-13  	        2.96926E-08  	        7.84065E-11  	        7.67937E-08  	        1.45590E-10  	        2.83895E-10  	        4.03627E-12  	        8.58686E-13  	        7.61445E-11  	        2.86117E-11  	        9.07520E-13  	        2.66728E-12  	        1.03968E-14  	        5.41731E-12  	        1.36007E-13  	        6.42254E-21  	        9.31134E-19  	        6.92927E-20  	        6.23130E-15  	        1.81466E-18  	        1.33916E-15  	        1.78163E-15  	        1.22138E-12  	        1.09609E-16  	        7.28966E-17  	        1.27377E-13  	        1.84488E-12  	        3.15197E-15  	        3.96960E-15
        8.00240E-03  	        1.40405E+03  	        2.50479E-01  	        1.01325E+05  	        6.89082E-16  	        1.86136E-11  	        1.04494E-08  	        8.29799E-14  	        2.15725E-10  	        1.89967E-16  	        8.57691E-09  	        2.50377E-11  	        1.00478E-09  	        9.31452E-09  	        8.17232E-09  	        8.75336E-10  	        5.50611E-14  	        3.89312E-11  	        5.98012E-13  	        5.69223E-08  	        2.70070E-13  	        9.88589E-17  	        2.09522E-10  	        7.99180E-09  	        3.42277E-10  	        1.60574E-11  	        3.85823E-13  	        1.07791E-09  	        2.78262E-19  	        6.25091E-12  	        1.38606E-08  	        3.85769E-96  	        5.05382E-05  	        4.52104E-10  	        2.15455E-12  	        3.72121E-09  	        5.31043E-08  	        8.50103E-10  	        5.88386E-11  	        3.10982E-08  	        6.08937E-12  	        8.23595E-10  	        8.14690E-09  	        1.27392E-07  	        6.76221E-12  	        6.51451E-10  	        7.96937E-14  	        4.11519E-12  	        9.00171E-12  	        1.47657E-09  	        6.95844E-09  	        2.70973E-06  	        6.69993E-11  	        1.71726E-08  	        1.71420E-10  	        5.43455E-05  	        1.41472E-10  	        2.09340E-01  	        5.08584E-04  	        7.45543E-09  	        0.00000E+00  	        1.52268E-06  	        4.78618E-04  	        7.14097E-09  	        9.17946E-14  	        2.16726E-09  	        7.89531E-01  	        1.16713E-09  	        1.89472E-08  	        3.20470E-05  	        3.86506E-12  	        1.49996E-10  	        1.01563E-08  	        1.18039E-11  	        3.74512E-13  	        9.11272E-17  	        2.22996E-12  	        8.16391E-12  	        5.15801E-12  	        5.01450E-12  	        1.66107E-11  	        3.16039E-12  	        1.14960E-13  	        5.58882E-08  	        9.13099E-11  	        1.25078E-07  	        2.99311E-10  	        2.29269E-10  	        3.24748E-12  	        4.12226E-13  	        5.97710E-11  	        2.42795E-11  	        2.74521E-13  	        1.16980E-12  	        3.91156E-15  	        7.67162E-12  	        2.85578E-13  	        1.45954E-20  	        3.28576E-18  	        2.80214E-19  	        4.53796E-15  	        4.93040E-18  	        2.52839E-15  	        2.78827E-16  	        7.37568E-13  	        6.06949E-17  	        4.86302E-17  	        3.96068E-14  	        1.40358E-12  	        1.14001E-15  	        6.69072E-16
        9.00243E-03  	        1.40483E+03  	        2.50336E-01  	        1.01325E+05  	        2.00534E-15  	        1.87502E-12  	        9.26380E-09  	        1.74857E-14  	        8.48738E-11  	        7.47019E-17  	        4.23272E-09  	        5.62050E-12  	        5.54042E-10  	        2.32797E-09  	        3.27512E-09  	        3.72864E-10  	        2.47070E-14  	        2.10519E-11  	        5.09648E-13  	        2.88392E-08  	        2.43124E-13  	        1.15360E-16  	        1.58913E-10  	        2.93296E-08  	        1.29741E-10  	        9.76643E-12  	        1.15627E-13  	        6.91097E-10  	        2.86485E-19  	        4.33524E-12  	        6.38389E-09  	        4.98007E-96  	        4.38316E-05  	        2.22037E-10  	        6.19592E-13  	        1.35776E-09  	        1.89391E-08  	        5.21070E-10  	        1.20100E-11  	        1.75686E-08  	        2.17181E-12  	        4.77151E-10  	        3.22325E-09  	        1.25214E-07  	        8.54524E-12  	        4.39834E-10  	        6.02212E-14  	        1.17624E-11  	        1.08064E-11  	        1.22963E-09  	        2.80730E-09  	        1.25935E-06  	        4.84453E-11  	        1.06320E-08  	        5.76317E-11  	        4.29202E-05  	        2.34519E-10  	        2.09266E-01  	        5.71736E-04  	        2.46089E-09  	        0.00000E+00  	        7.84602E-07  	        5.41629E-04  	        1.41472E-08  	        6.05692E-14  	        1.89073E-09  	        7.89501E-01  	        1.88843E-09  	        3.05296E-08  	        3.01445E-05  	        1.24824E-11  	        1.15165E-10  	        2.56588E-09  	        1.68175E-11  	        2.15539E-13  	        6.54270E-17  	        9.60758E-13  	        1.67354E-11  	        7.80828E-12  	        1.04386E-11  	        1.94462E-11  	        1.60989E-12  	        1.27789E-13  	        8.23369E-08  	        2.24896E-10  	        1.72655E-07  	        4.90857E-10  	        4.18517E-10  	        4.58582E-12  	        2.32926E-13  	        1.18527E-10  	        5.67556E-11  	        4.07502E-14  	        1.17223E-12  	        2.89831E-15  	        2.09657E-11  	        1.55133E-12  	        3.50362E-20  	        4.69011E-17  	        3.23865E-18  	        2.03186E-14  	        3.37420E-17  	        7.17577E-15  	        2.87799E-16  	        1.40940E-12  	        3.63530E-17  	        1.70198E-16  	        7.28984E-15  	        2.62738E-12  	        2.15870E-15  	        4.69823E-16
        1.00032E-02  	        1.40515E+03  	        2.50273E-01  	        1.01325E+05  	        1.22733E-16  	        4.95222E-14  	        7.35938E-09  	        3.46511E-16  	        1.49425E-11  	        4.63536E-15  	        1.38528E-09  	        5.83334E-13  	        2.32909E-10  	        3.24614E-10  	        2.52137E-09  	        1.91689E-10  	        1.03056E-13  	        5.74878E-12  	        4.66213E-13  	        1.83356E-08  	        1.19706E-13  	        1.98990E-16  	        4.89002E-11  	        3.21401E-08  	        7.13076E-11  	        7.41803E-12  	        4.01882E-15  	        1.48058E-09  	        8.83113E-21  	        4.35099E-12  	        3.14331E-09  	        1.03080E-26  	        3.61777E-05  	        6.01316E-11  	        2.70630E-14  	        8.16534E-10  	        9.73802E-09  	        1.73575E-10  	        1.56399E-12  	        1.07244E-08  	        9.72865E-13  	        1.22773E-10  	        1.05012E-09  	        1.15776E-07  	        1.44824E-11  	        6.38787E-10  	        4.84750E-14  	        2.25612E-11  	        2.05334E-12  	        7.14661E-10  	        2.30925E-09  	        5.74138E-07  	        3.68709E-11  	        6.08327E-09  	        2.88538E-11  	        3.51515E-05  	        5.57159E-10  	        2.09251E-01  	        5.90135E-04  	        2.31615E-09  	        0.00000E+00  	        3.96429E-07  	        5.58183E-04  	        2.57524E-08  	        4.25847E-14  	        5.06117E-09  	        7.89501E-01  	        5.21482E-09  	        4.34499E-08  	        2.68989E-05  	        5.49401E-11  	        6.23221E-11  	        3.03032E-10  	        4.81066E-11  	        7.57668E-14  	        2.06969E-16  	        4.06596E-13  	        3.04450E-11  	        1.14449E-11  	        2.01755E-11  	        2.11167E-11  	        7.21331E-13  	        2.25510E-13  	        1.05911E-07  	        7.51090E-10  	        2.23717E-07  	        7.36712E-10  	        1.25378E-09  	        9.87379E-12  	        1.32347E-13  	        4.30371E-10  	        2.27108E-10  	        2.12480E-15  	        4.61503E-12  	        2.02350E-15  	        7.90198E-11  	        3.89895E-12  	        2.30614E-20  	        2.01011E-16  	        1.45255E-17  	        1.04267E-13  	        8.76214E-17  	        8.22418E-15  	        3.68409E-16  	        7.09579E-12  	        4.81049E-17  	        1.25089E-15  	        4.52129E-16  	        8.81163E-12  	        4.05369E-15  	        3.10734E-16
