       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolC_AR  	        VolC_N2  	      VolC_A1CO  	      VolC_H2O2  	        VolC_CH  	     VolC_T-CH2  	VolC_CVCCVCCJVO  	    VolC_CH2CHO  	     VolC_CH2OH  	       VolC_A1-  	   VolC_TXC5H5O  	    VolC_OC6H4O  	   VolC_C2H3CHO  	    VolC_N-C4H5  	   VolC_C5H4CH2  	      VolC_C3H3  	     VolC_S-CH2  	     VolC_A1CHO  	    VolC_A1CH2O  	VolC_C6H5CYCH2O  	  VolC_C6H5OCH2  	   VolC_C5H4CH3  	      VolC_C5H6  	 VolC_C5H5CH3-1  	      VolC_C3H2  	    VolC_A-C3H4  	      VolC_A1OH  	  VolC_C6H6O-24  	     VolC_CH2CO  	      VolC_HCCO  	      VolC_C2H3  	       VolC_CH4  	      VolC_C2H6  	    VolC_A-C3H5  	      VolC_C3H6  	      VolC_CH3O  	      VolC_C2H2  	      VolC_C5H5  	         VolC_O  	        VolC_A1  	       VolC_HCO  	      VolC_CH2O  	       VolC_HO2  	         VolC_H  	      VolC_C2H4  	      VolC_C2H5  	       VolC_A1O  	       VolC_CH3  	        VolC_OH  	        VolC_CO  	  VolC_C6H5OCH3  	       VolC_CO2  	        VolC_O2  	        VolC_H2  	       VolC_H2O  	  VolC_OC8H7OOH  	      VolC_N2H2  	       VolC_NNH  	       VolC_NH2  	        VolC_NH  	       VolC_HNO  	      VolC_HONO  	         VolC_N  	      VolC_H2NO  	       VolC_N2O  	       VolC_NH3  	        VolC_NO  	       VolC_NO2  	       VolC_HCN  	       VolC_HNC  	        VolC_CN  	      VolC_HNCO  	       VolC_NCO  	       VolC_NCN  	    VolC_CH3NH2  	      VolC_H2CN  	     VolC_C5H5N  	     VolC_C5H4N  	    VolC_C5H5NO  	    VolC_C5H4NO  	   VolC_C5H4NO2  	    VolC_PYRLYL  	  VolC_BNC4H4CO  	    VolC_C4H4CN  	    VolC_CHCHCN  	     VolC_C4H5N  	   VolC_CH2CHCN  	      VolC_C2N2  	      VolC_HNCN  	      VolC_HOCN  	     VolC_CH3CN  	     VolC_CH2CN
    1.00000E-03  	    1.83662E+03  	    1.89328E-01  	    1.01325E+05  	    0.00000E+00  	    3.95954E-03  	    0.00000E+00  	    1.13632E-10  	    2.33630E-21  	    8.81294E-18  	    3.10745E-20  	    6.49098E-18  	    4.73753E-18  	    1.48245E-19  	    1.75293E-19  	    5.48932E-16  	    1.14076E-15  	    1.88995E-16  	    1.75201E-19  	    1.15690E-15  	    4.16759E-19  	    4.41487E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.20511E-21  	    2.14628E-17  	    1.53753E-21  	    2.01800E-18  	    3.16982E-15  	    9.01499E-18  	    2.01176E-20  	    1.20383E-14  	    1.15997E-16  	    4.51583E-17  	    7.65463E-14  	    4.30233E-20  	    4.02334E-16  	    1.44146E-14  	    3.65932E-13  	    5.31147E-14  	    8.30528E-16  	    1.02155E-07  	    5.98745E-17  	    1.07876E-16  	    4.38050E-14  	    1.44411E-08  	    1.66604E-09  	    3.07175E-14  	    1.92642E-20  	    4.76981E-19  	    7.21119E-15  	    3.25195E-06  	    3.66504E-08  	    7.09045E-15  	    4.47794E-04  	    1.32564E-03  	    3.17584E-08  	    8.98951E-04  	    8.23701E-15  	    0.00000E+00  	    3.59376E-15  	    3.29641E-15  	    9.15817E-16  	    1.50749E-15  	    3.54697E-16  	    2.21706E-14  	    4.00972E-16  	    1.38851E-10  	    2.38335E-14  	    5.51079E-11  	    1.90063E-13  	    3.31091E-15  	    5.56558E-17  	    1.09351E-18  	    3.57706E-15  	    1.52190E-16  	    5.93717E-20  	    3.34958E-22  	    0.00000E+00  	    5.13626E-15  	    2.74219E-17  	    0.00000E+00  	    1.24474E-21  	    9.93168E-23  	    2.53239E-19  	    4.82072E-22  	    6.63369E-20  	    2.55486E-23  	    9.70765E-21  	    0.00000E+00  	    0.00000E+00  	    1.02358E-20  	    3.42726E-17  	    2.91492E-23  	    1.56618E-22
    2.00000E-03  	    1.83524E+03  	    1.89456E-01  	    1.01325E+05  	    0.00000E+00  	    3.96218E-03  	    3.85928E-21  	    1.97553E-10  	    8.22604E-18  	    4.47181E-15  	    4.09953E-18  	    2.66627E-15  	    2.76645E-15  	    4.76058E-17  	    2.38937E-17  	    2.71516E-13  	    1.69612E-13  	    3.91413E-14  	    4.61215E-15  	    1.61400E-13  	    2.29240E-16  	    2.55857E-15  	    1.51764E-25  	    0.00000E+00  	    6.53459E-25  	    1.72073E-17  	    1.76706E-14  	    1.71522E-17  	    2.22231E-16  	    2.48008E-13  	    3.22576E-14  	    1.60913E-16  	    3.87924E-12  	    1.18799E-13  	    1.52266E-14  	    1.92199E-11  	    9.70539E-16  	    2.33441E-14  	    3.92547E-12  	    7.89179E-12  	    2.36415E-11  	    4.01522E-14  	    2.15771E-07  	    8.43020E-15  	    1.65578E-14  	    6.39116E-12  	    1.19957E-08  	    4.53314E-09  	    7.56733E-12  	    2.06538E-17  	    1.05106E-15  	    2.03329E-12  	    4.72084E-06  	    1.01227E-07  	    1.97936E-12  	    4.48029E-04  	    1.32615E-03  	    6.01453E-08  	    8.98895E-04  	    2.33358E-12  	    4.65521E-19  	    5.56163E-15  	    8.76749E-14  	    4.93259E-15  	    8.70616E-15  	    2.45859E-15  	    4.57036E-14  	    9.88041E-15  	    3.88236E-10  	    1.00572E-12  	    2.57636E-10  	    7.02034E-13  	    1.63031E-12  	    3.20472E-14  	    3.09772E-16  	    2.04829E-12  	    7.28687E-14  	    5.24583E-17  	    5.47797E-17  	    1.49065E-20  	    1.20405E-12  	    9.25527E-15  	    0.00000E+00  	    5.16773E-19  	    4.63631E-20  	    1.02239E-16  	    1.93835E-19  	    1.92410E-17  	    2.94711E-20  	    1.35326E-16  	    1.53147E-21  	    1.62103E-18  	    8.98262E-18  	    2.66654E-14  	    8.06455E-18  	    2.78140E-17
    3.10000E-03  	    1.83412E+03  	    1.89557E-01  	    1.01325E+05  	    0.00000E+00  	    3.96406E-03  	    9.26692E-19  	    2.70145E-10  	    3.33705E-16  	    8.27779E-14  	    3.79179E-16  	    9.36212E-14  	    4.15444E-14  	    5.31294E-15  	    2.24654E-15  	    9.54764E-12  	    2.70898E-12  	    1.09124E-12  	    4.85755E-13  	    1.34529E-12  	    3.12849E-15  	    3.91565E-13  	    2.97525E-20  	    6.21687E-23  	    6.77428E-20  	    1.63826E-14  	    2.77600E-12  	    2.38091E-14  	    1.47126E-15  	    2.97201E-12  	    1.45364E-11  	    4.10889E-13  	    3.31579E-11  	    4.03901E-12  	    2.65348E-13  	    6.15137E-10  	    5.58112E-13  	    1.01719E-12  	    1.83549E-10  	    6.19292E-11  	    1.98372E-10  	    1.77821E-12  	    3.08631E-07  	    6.42130E-13  	    3.64528E-13  	    2.10738E-10  	    1.11505E-08  	    7.70956E-09  	    2.83870E-10  	    1.22556E-14  	    4.00037E-13  	    1.13448E-11  	    5.63262E-06  	    1.75166E-07  	    8.96783E-11  	    4.48192E-04  	    1.32652E-03  	    8.56397E-08  	    8.99450E-04  	    1.07017E-10  	    6.64352E-17  	    8.00999E-15  	    1.35573E-12  	    2.26584E-13  	    2.66024E-13  	    1.64944E-14  	    7.30388E-14  	    1.96033E-13  	    6.39263E-10  	    2.24768E-11  	    8.05859E-10  	    2.20019E-12  	    8.09284E-11  	    1.54950E-12  	    8.21216E-15  	    1.63796E-10  	    8.79905E-12  	    1.09486E-15  	    3.96596E-14  	    1.96790E-17  	    4.80385E-11  	    3.04063E-13  	    6.57630E-22  	    4.90184E-17  	    1.88732E-18  	    7.17165E-15  	    1.21424E-17  	    2.64681E-16  	    3.79934E-18  	    2.86603E-13  	    1.76629E-18  	    3.72601E-15  	    1.84148E-16  	    1.58604E-12  	    3.41521E-15  	    1.84757E-15
    4.00162E-03  	    1.83365E+03  	    1.89593E-01  	    1.01325E+05  	    0.00000E+00  	    3.96441E-03  	    4.56082E-18  	    3.32854E-10  	    1.03923E-13  	    3.81493E-12  	    5.44708E-15  	    1.23475E-12  	    7.73893E-13  	    4.37090E-13  	    2.06720E-14  	    8.94026E-12  	    1.18972E-12  	    1.00898E-11  	    1.93195E-13  	    1.98360E-11  	    2.97831E-13  	    9.37459E-14  	    1.00873E-19  	    3.99022E-22  	    1.36527E-19  	    2.19057E-14  	    1.86125E-11  	    4.47679E-15  	    2.58272E-13  	    7.62248E-12  	    7.04546E-11  	    3.77859E-12  	    3.20467E-11  	    3.05951E-11  	    8.43032E-12  	    4.87854E-10  	    4.20676E-13  	    7.06542E-12  	    1.10652E-10  	    1.16722E-11  	    2.98339E-10  	    1.46737E-11  	    3.88071E-07  	    6.75280E-12  	    1.09060E-11  	    1.80579E-10  	    1.11011E-08  	    1.38928E-08  	    2.20763E-10  	    7.09192E-14  	    2.71346E-12  	    5.06337E-11  	    6.22267E-06  	    2.73585E-07  	    5.05569E-11  	    4.48423E-04  	    1.32614E-03  	    1.10792E-07  	    9.00112E-04  	    6.11688E-11  	    8.61118E-16  	    1.28858E-14  	    4.64797E-12  	    4.30626E-12  	    2.75429E-12  	    2.58241E-13  	    8.80761E-13  	    1.49081E-13  	    8.23997E-10  	    1.95758E-11  	    5.52627E-09  	    9.59170E-12  	    2.23991E-10  	    5.14200E-12  	    3.59819E-13  	    6.54447E-10  	    5.82348E-11  	    4.06397E-14  	    1.18383E-13  	    5.72929E-15  	    3.37546E-11  	    1.24099E-12  	    4.31633E-20  	    2.54138E-17  	    1.52796E-18  	    1.34707E-14  	    3.65264E-17  	    9.48350E-15  	    1.67268E-16  	    1.59992E-12  	    2.18324E-16  	    3.19163E-14  	    3.03200E-15  	    4.06797E-12  	    1.91274E-14  	    4.61753E-14
    5.00148E-03  	    1.83751E+03  	    1.89186E-01  	    1.01325E+05  	    7.7855E-159  	    3.95421E-03  	    7.00616E-16  	    4.89345E-10  	    1.49871E-11  	    7.48013E-11  	    3.17328E-16  	    1.14940E-13  	    6.08971E-12  	    2.99782E-11  	    1.07289E-15  	    2.33812E-12  	    4.14786E-13  	    1.38226E-12  	    2.06236E-11  	    5.88772E-10  	    7.17545E-12  	    7.83476E-13  	    1.45694E-18  	    6.72133E-21  	    1.15604E-18  	    2.27576E-12  	    8.54736E-11  	    3.68700E-13  	    1.39517E-10  	    1.12338E-10  	    6.15670E-11  	    4.98567E-13  	    8.31342E-11  	    4.96021E-11  	    2.02719E-11  	    6.41686E-09  	    1.09167E-10  	    4.04434E-11  	    7.00176E-10  	    8.21151E-12  	    7.59715E-09  	    5.81213E-11  	    8.13429E-07  	    4.96636E-10  	    4.02188E-11  	    7.20724E-10  	    1.12549E-08  	    1.54473E-07  	    2.33127E-09  	    2.51123E-12  	    1.27559E-12  	    1.63382E-09  	    7.73986E-06  	    1.11012E-06  	    1.14738E-10  	    4.50177E-04  	    1.31776E-03  	    3.92468E-07  	    9.00731E-04  	    1.68113E-10  	    5.82963E-15  	    1.47169E-13  	    2.03185E-11  	    2.56226E-11  	    4.28281E-12  	    2.04049E-12  	    3.12675E-11  	    1.02856E-13  	    1.02010E-09  	    1.74535E-10  	    6.62444E-08  	    5.95324E-11  	    1.45851E-09  	    8.98621E-11  	    6.65752E-12  	    2.07724E-10  	    2.71349E-11  	    6.26498E-13  	    2.74379E-13  	    6.98509E-13  	    3.12954E-10  	    5.77890E-13  	    9.71641E-21  	    7.08442E-19  	    2.87120E-20  	    1.53706E-16  	    1.47033E-18  	    1.08997E-14  	    1.07374E-15  	    2.82129E-15  	    5.89221E-14  	    2.63044E-13  	    2.04046E-13  	    5.50156E-12  	    7.63588E-12  	    2.25610E-11
    6.00046E-03  	    1.84652E+03  	    1.88289E-01  	    1.01325E+05  	    1.79522E-28  	    3.93347E-03  	    2.10006E-16  	    6.04209E-10  	    1.40051E-11  	    7.62771E-11  	    1.66196E-17  	    4.35444E-14  	    5.46519E-12  	    1.16493E-11  	    5.16252E-17  	    4.84246E-13  	    5.50668E-14  	    8.35860E-14  	    3.44515E-12  	    4.08486E-10  	    6.93579E-12  	    5.19236E-14  	    1.53980E-19  	    8.28069E-22  	    1.15861E-19  	    9.78027E-14  	    4.08908E-12  	    1.07923E-14  	    1.09390E-10  	    9.06313E-11  	    2.35814E-12  	    2.35578E-14  	    6.17671E-11  	    3.48010E-11  	    1.58470E-11  	    7.27360E-09  	    6.61671E-11  	    2.28194E-11  	    6.69286E-10  	    1.91239E-12  	    8.00324E-09  	    3.52622E-12  	    1.19926E-06  	    2.27755E-10  	    2.79183E-11  	    3.25004E-10  	    1.15556E-08  	    2.54243E-07  	    2.09404E-09  	    2.31981E-12  	    1.16967E-13  	    1.72598E-09  	    9.42167E-06  	    1.73959E-06  	    2.87405E-13  	    4.52231E-04  	    1.30287E-03  	    6.27368E-07  	    9.01524E-04  	    1.39989E-10  	    3.04359E-15  	    2.53022E-13  	    2.28300E-11  	    3.22305E-11  	    5.38272E-12  	    3.76728E-12  	    4.65988E-11  	    3.78093E-14  	    1.24399E-09  	    1.36227E-10  	    1.61358E-07  	    1.54604E-10  	    2.26052E-09  	    1.59577E-10  	    1.02924E-11  	    1.40420E-10  	    2.58348E-11  	    6.90539E-13  	    1.08877E-13  	    7.02032E-13  	    4.87978E-10  	    5.19897E-13  	    5.64268E-21  	    1.63757E-19  	    1.15439E-20  	    3.81262E-17  	    4.99750E-19  	    1.33518E-14  	    1.12950E-15  	    6.95177E-16  	    6.72366E-14  	    4.95936E-13  	    2.90705E-13  	    7.64154E-12  	    1.31729E-11  	    4.17027E-11
    7.00429E-03  	    1.85139E+03  	    1.87802E-01  	    1.01325E+05  	    1.2903E-241  	    3.92271E-03  	    1.27187E-22  	    5.66900E-10  	    2.73983E-14  	    2.34931E-13  	    1.85216E-19  	    2.87009E-15  	    2.95888E-14  	    4.61715E-17  	    5.44893E-19  	    1.19244E-14  	    4.16185E-18  	    4.61825E-16  	    6.30188E-18  	    3.07926E-13  	    2.98394E-14  	    7.15670E-20  	    1.14466E-21  	    5.57701E-24  	    1.48807E-21  	    6.51174E-20  	    3.71181E-16  	    4.40262E-23  	    1.30289E-14  	    2.21166E-15  	    1.45209E-15  	    2.95340E-17  	    5.39797E-13  	    1.20991E-12  	    3.03299E-14  	    3.81168E-10  	    1.17554E-18  	    4.09833E-16  	    1.52227E-10  	    1.68765E-11  	    5.92286E-12  	    6.46964E-16  	    9.42523E-07  	    2.09833E-16  	    4.92306E-13  	    4.43666E-12  	    1.15244E-08  	    7.34419E-08  	    2.13456E-10  	    1.16274E-17  	    9.29405E-17  	    7.72797E-13  	    9.24859E-06  	    8.17643E-07  	    1.06974E-12  	    4.53735E-04  	    1.29607E-03  	    3.00519E-07  	    9.01322E-04  	    2.04920E-12  	    1.52910E-18  	    6.97010E-14  	    1.93578E-13  	    4.98932E-13  	    1.38250E-12  	    5.67487E-12  	    8.80559E-13  	    1.36284E-15  	    1.36366E-09  	    1.52925E-13  	    2.80041E-07  	    3.42004E-10  	    1.23385E-11  	    5.75615E-13  	    4.94272E-14  	    1.10309E-11  	    2.20452E-12  	    9.19806E-16  	    1.38245E-17  	    8.42167E-17  	    6.56183E-12  	    2.80525E-17  	    2.90099E-24  	    2.02800E-23  	    7.82631E-46  	    2.78106E-18  	    3.24107E-22  	    1.43553E-18  	    2.34878E-19  	    1.67101E-16  	    6.81589E-20  	    6.67360E-17  	    5.72131E-17  	    1.69193E-13  	    4.53800E-18  	    7.56338E-18
    8.00021E-03  	    1.85306E+03  	    1.87617E-01  	    1.01325E+05  	    2.28551E-69  	    3.91853E-03  	    3.06133E-19  	    5.40701E-10  	    4.42208E-12  	    1.77082E-11  	    5.47074E-19  	    2.63860E-14  	    1.64264E-12  	    4.09709E-14  	    1.48145E-18  	    1.12533E-14  	    2.49684E-16  	    1.09186E-15  	    4.07317E-15  	    1.79183E-11  	    1.89442E-12  	    3.60553E-18  	    2.96659E-22  	    1.33819E-26  	    2.56940E-22  	    3.94627E-17  	    4.76693E-15  	    1.61261E-19  	    5.61601E-12  	    5.60887E-13  	    4.62065E-15  	    9.87558E-17  	    1.21956E-11  	    1.55695E-11  	    1.91866E-12  	    8.24915E-10  	    2.04815E-13  	    3.75421E-14  	    3.57092E-10  	    4.09543E-11  	    7.79912E-10  	    1.00314E-14  	    9.01860E-07  	    1.84155E-13  	    1.08177E-11  	    3.91887E-11  	    1.15389E-08  	    9.54974E-08  	    4.40594E-10  	    6.67918E-14  	    9.89824E-16  	    1.67903E-10  	    9.04635E-06  	    8.78320E-07  	    2.59074E-13  	    4.54198E-04  	    1.29311E-03  	    3.22049E-07  	    9.01868E-04  	    3.83416E-12  	    2.91791E-17  	    9.18355E-14  	    1.31854E-12  	    3.09056E-12  	    1.56061E-12  	    4.97548E-12  	    4.63403E-12  	    2.89175E-15  	    1.33796E-09  	    1.39343E-12  	    2.74059E-07  	    4.00933E-10  	    1.16837E-10  	    7.84571E-12  	    7.94753E-13  	    1.53893E-11  	    4.39981E-12  	    1.31414E-13  	    5.63575E-16  	    6.50813E-14  	    1.79561E-11  	    2.64545E-15  	    7.74424E-22  	    6.10046E-22  	    5.88488E-23  	    4.40689E-19  	    6.83840E-21  	    2.37057E-16  	    3.02434E-17  	    1.41564E-17  	    2.24326E-16  	    4.00432E-15  	    2.79761E-14  	    7.19142E-13  	    1.20477E-13  	    6.10528E-13
    9.00010E-03  	    1.85513E+03  	    1.87407E-01  	    1.01325E+05  	    2.5041E-242  	    3.91346E-03  	    1.02429E-19  	    5.33607E-10  	    1.54007E-12  	    4.92609E-12  	    4.66658E-18  	    3.56456E-14  	    5.37687E-13  	    1.50822E-14  	    1.29868E-17  	    4.63838E-14  	    6.13743E-17  	    8.39906E-15  	    1.57098E-15  	    3.66898E-12  	    7.48143E-13  	    1.10544E-18  	    4.48492E-22  	    1.87388E-24  	    5.39780E-22  	    2.16121E-17  	    1.35853E-14  	    3.55956E-20  	    5.02878E-13  	    5.54100E-14  	    1.87541E-14  	    4.31629E-16  	    3.55393E-12  	    9.89487E-12  	    4.90459E-13  	    4.32202E-10  	    2.31536E-15  	    5.07072E-15  	    1.43434E-10  	    5.38729E-11  	    1.06180E-10  	    2.54168E-14  	    8.62310E-07  	    5.45306E-14  	    6.53368E-12  	    2.32232E-11  	    1.16251E-08  	    7.20360E-08  	    1.94296E-10  	    1.50493E-15  	    2.47783E-15  	    1.94462E-11  	    9.02565E-06  	    7.70757E-07  	    3.20392E-17  	    4.55067E-04  	    1.28958E-03  	    2.83942E-07  	    9.02426E-04  	    8.34359E-12  	    3.04574E-17  	    6.78757E-14  	    1.26041E-12  	    3.42232E-12  	    1.83795E-12  	    4.93298E-12  	    3.84285E-12  	    3.47192E-15  	    1.33736E-09  	    2.04380E-12  	    2.83258E-07  	    4.30856E-10  	    1.14041E-10  	    5.92319E-12  	    6.98676E-13  	    2.32041E-11  	    7.36875E-12  	    3.66284E-14  	    2.89057E-16  	    1.02456E-14  	    2.11667E-11  	    2.79354E-15  	    2.24835E-21  	    1.98250E-21  	    1.71315E-22  	    5.04805E-18  	    1.99629E-20  	    2.03793E-16  	    6.07284E-18  	    2.27074E-16  	    3.08136E-17  	    4.09315E-15  	    3.26334E-15  	    8.96401E-13  	    5.18152E-15  	    1.95702E-14
    1.00019E-02  	    1.85813E+03  	    1.87111E-01  	    1.01325E+05  	    2.74553E-55  	    3.90630E-03  	    4.85081E-18  	    5.53693E-10  	    8.78832E-12  	    3.67836E-11  	    1.70554E-18  	    4.20398E-14  	    3.18772E-12  	    4.55777E-13  	    4.76841E-18  	    3.28142E-14  	    2.19130E-15  	    6.81739E-15  	    6.97667E-14  	    8.44979E-11  	    3.89405E-12  	    7.49063E-17  	    4.88569E-21  	    3.03236E-23  	    3.65802E-21  	    8.18116E-16  	    5.66384E-14  	    1.56880E-17  	    2.27440E-11  	    1.23548E-11  	    3.57978E-14  	    4.51344E-16  	    2.47344E-11  	    2.65383E-11  	    6.55574E-12  	    1.85421E-09  	    5.03992E-12  	    1.89396E-12  	    3.64730E-10  	    3.39455E-11  	    2.00178E-09  	    9.88817E-14  	    9.74250E-07  	    3.45404E-12  	    1.89799E-11  	    8.79890E-11  	    1.18060E-08  	    1.19937E-07  	    7.12327E-10  	    6.52833E-13  	    5.05142E-15  	    5.78927E-10  	    9.36213E-06  	    1.05728E-06  	    4.37415E-17  	    4.56133E-04  	    1.28431E-03  	    3.75427E-07  	    9.02973E-04  	    1.03617E-11  	    2.94088E-16  	    1.16544E-13  	    4.69019E-12  	    8.77198E-12  	    2.60440E-12  	    5.29329E-12  	    1.23134E-11  	    1.00379E-14  	    1.33551E-09  	    1.43095E-11  	    3.06717E-07  	    4.59988E-10  	    3.95081E-10  	    2.70045E-11  	    2.34556E-12  	    3.52633E-11  	    1.00554E-11  	    3.12483E-13  	    7.05311E-15  	    1.81636E-13  	    1.52412E-11  	    7.96228E-15  	    5.78828E-22  	    2.03059E-21  	    1.87439E-22  	    6.89652E-19  	    1.65221E-20  	    5.00530E-16  	    8.23895E-17  	    9.37422E-18  	    2.72291E-15  	    2.44141E-14  	    7.85708E-14  	    1.98625E-12  	    8.47260E-13  	    2.86006E-12
