       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolX_AR  	        VolX_N2  	      VolX_A1CO  	      VolX_H2O2  	        VolX_CH  	     VolX_T-CH2  	VolX_CVCCVCCJVO  	    VolX_CH2CHO  	     VolX_CH2OH  	       VolX_A1-  	   VolX_TXC5H5O  	    VolX_OC6H4O  	   VolX_C2H3CHO  	    VolX_N-C4H5  	   VolX_C5H4CH2  	      VolX_C3H3  	     VolX_S-CH2  	     VolX_A1CHO  	    VolX_A1CH2O  	VolX_C6H5CYCH2O  	  VolX_C6H5OCH2  	   VolX_C5H4CH3  	      VolX_C5H6  	 VolX_C5H5CH3-1  	      VolX_C3H2  	    VolX_A-C3H4  	      VolX_A1OH  	  VolX_C6H6O-24  	     VolX_CH2CO  	      VolX_HCCO  	      VolX_C2H3  	       VolX_CH4  	      VolX_C2H6  	    VolX_A-C3H5  	      VolX_C3H6  	      VolX_CH3O  	      VolX_C2H2  	      VolX_C5H5  	         VolX_O  	        VolX_A1  	       VolX_HCO  	      VolX_CH2O  	       VolX_HO2  	         VolX_H  	      VolX_C2H4  	      VolX_C2H5  	       VolX_A1O  	       VolX_CH3  	        VolX_OH  	        VolX_CO  	  VolX_C6H5OCH3  	       VolX_CO2  	        VolX_O2  	        VolX_H2  	       VolX_H2O  	  VolX_OC8H7OOH  	      VolX_N2H2  	       VolX_NNH  	       VolX_NH2  	        VolX_NH  	       VolX_HNO  	      VolX_HONO  	         VolX_N  	      VolX_H2NO  	       VolX_N2O  	       VolX_NH3  	        VolX_NO  	       VolX_NO2  	       VolX_HCN  	       VolX_HNC  	        VolX_CN  	      VolX_HNCO  	       VolX_NCO  	       VolX_NCN  	    VolX_CH3NH2  	      VolX_H2CN  	     VolX_C5H5N  	     VolX_C5H4N  	    VolX_C5H5NO  	    VolX_C5H4NO  	   VolX_C5H4NO2  	    VolX_PYRLYL  	  VolX_BNC4H4CO  	    VolX_C4H4CN  	    VolX_CHCHCN  	     VolX_C4H5N  	   VolX_CH2CHCN  	      VolX_C2N2  	      VolX_HNCN  	      VolX_HOCN  	     VolX_CH3CN  	     VolX_CH2CN
    1.00000E-03  	    1.83662E+03  	    1.89328E-01  	    1.01325E+05  	    0.00000E+00  	    5.96738E-01  	    0.00000E+00  	    1.71256E-08  	    3.38780E-19  	    1.28404E-15  	    4.34760E-18  	    9.16990E-16  	    6.88067E-16  	    2.14518E-17  	    2.45053E-17  	    7.94206E-14  	    1.60263E-13  	    2.68723E-14  	    2.50977E-17  	    1.66676E-13  	    6.05363E-17  	    6.13883E-16  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.07584E-19  	    3.04364E-15  	    2.13753E-19  	    2.92642E-16  	    4.55437E-13  	    1.26970E-15  	    2.82770E-18  	    1.74188E-12  	    1.69621E-14  	    6.46975E-15  	    1.07101E-11  	    6.06240E-18  	    5.69337E-14  	    1.96580E-12  	    4.97059E-11  	    7.73648E-12  	    1.16623E-13  	    1.53962E-05  	    8.63459E-15  	    1.57904E-14  	    6.17623E-12  	    2.17641E-06  	    2.51094E-07  	    4.26440E-12  	    2.71204E-18  	    6.81753E-17  	    1.04432E-12  	    4.90108E-04  	    5.52368E-06  	    9.63151E-13  	    6.74867E-02  	    1.99786E-01  	    4.78635E-06  	    1.35480E-01  	    1.11890E-12  	    0.00000E+00  	    5.41624E-13  	    4.96023E-13  	    1.38011E-13  	    2.27172E-13  	    5.34576E-14  	    3.34143E-12  	    6.03429E-14  	    2.09267E-08  	    3.56325E-12  	    8.30552E-09  	    2.86450E-11  	    4.73106E-13  	    8.12259E-15  	    1.58263E-16  	    5.26315E-13  	    2.21950E-14  	    8.73084E-18  	    4.67694E-20  	    0.00000E+00  	    7.10612E-13  	    3.87894E-15  	    0.00000E+00  	    1.74323E-19  	    1.38498E-20  	    3.55280E-17  	    6.79733E-20  	    9.53176E-18  	    3.56426E-21  	    1.35513E-18  	    0.00000E+00  	    0.00000E+00  	    1.50188E-18  	    5.01669E-15  	    4.07096E-21  	    2.23903E-20
    2.00000E-03  	    1.83524E+03  	    1.89456E-01  	    1.01325E+05  	    0.00000E+00  	    5.96685E-01  	    5.29447E-19  	    2.97505E-08  	    1.20063E-15  	    6.46320E-13  	    5.67359E-16  	    3.71954E-13  	    3.97976E-13  	    6.79640E-15  	    3.29976E-15  	    3.92602E-11  	    2.36687E-11  	    5.56418E-12  	    6.47760E-13  	    2.30434E-11  	    3.30277E-14  	    3.51903E-13  	    2.03079E-23  	    0.00000E+00  	    8.74404E-23  	    2.36601E-15  	    2.45794E-12  	    2.34928E-15  	    3.23015E-14  	    3.52130E-11  	    4.45634E-12  	    2.21404E-14  	    5.58515E-10  	    1.71772E-11  	    2.15588E-12  	    2.64982E-09  	    1.35514E-13  	    3.26384E-12  	    5.27363E-10  	    1.05982E-09  	    3.42589E-09  	    5.59626E-12  	    3.24955E-05  	    1.20796E-12  	    2.38216E-12  	    8.78633E-10  	    1.80648E-06  	    6.82703E-07  	    1.03258E-09  	    2.86800E-15  	    1.44872E-13  	    2.92509E-10  	    7.10953E-04  	    1.52440E-05  	    2.65821E-10  	    6.74710E-02  	    1.99712E-01  	    9.05718E-06  	    1.35369E-01  	    3.13392E-10  	    6.56586E-17  	    8.37596E-13  	    1.26832E-11  	    7.22783E-13  	    1.27864E-12  	    3.70087E-13  	    6.88298E-12  	    1.43200E-12  	    5.84691E-08  	    1.41969E-10  	    3.87952E-08  	    1.05711E-10  	    2.33574E-10  	    4.66729E-12  	    4.46010E-14  	    2.98588E-10  	    1.05507E-11  	    7.65467E-15  	    7.63259E-15  	    2.08049E-18  	    1.63408E-10  	    1.29182E-12  	    0.00000E+00  	    7.14589E-17  	    6.41720E-18  	    1.41396E-14  	    2.70929E-17  	    2.73329E-15  	    4.14501E-18  	    1.88591E-14  	    2.13494E-19  	    2.32686E-16  	    1.31662E-15  	    3.88271E-12  	    1.14183E-15  	    3.97799E-15
    3.10000E-03  	    1.83412E+03  	    1.89557E-01  	    1.01325E+05  	    0.00000E+00  	    5.96604E-01  	    1.24977E-16  	    4.06314E-08  	    4.83653E-14  	    1.18524E-11  	    5.16116E-14  	    1.27061E-11  	    5.94068E-12  	    7.27983E-13  	    3.05480E-13  	    1.38023E-09  	    3.67001E-10  	    1.50070E-10  	    6.67948E-11  	    1.83494E-10  	    4.46193E-13  	    5.28002E-11  	    4.03446E-18  	    8.41980E-21  	    9.18632E-18  	    2.21059E-12  	    3.75812E-10  	    3.20934E-12  	    2.03949E-13  	    4.03031E-10  	    1.97282E-09  	    5.57642E-11  	    4.74397E-09  	    5.80903E-10  	    3.62086E-11  	    8.16989E-08  	    7.52519E-11  	    1.38601E-10  	    2.42599E-08  	    8.18216E-09  	    2.87915E-08  	    2.41844E-10  	    4.64390E-05  	    8.72070E-11  	    5.16727E-11  	    2.80053E-08  	    1.67794E-06  	    1.15920E-06  	    3.76490E-08  	    1.65163E-12  	    5.44057E-11  	    1.59185E-09  	    8.47663E-04  	    2.63029E-05  	    1.18488E-08  	    6.74543E-02  	    1.99646E-01  	    1.28733E-05  	    1.35367E-01  	    1.41398E-08  	    9.11174E-15  	    1.20480E-12  	    1.95659E-10  	    3.24301E-11  	    3.80739E-11  	    2.40042E-12  	    1.09187E-11  	    2.73967E-11  	    9.62115E-08  	    3.05196E-09  	    1.20378E-07  	    3.26618E-10  	    1.15597E-08  	    2.25765E-10  	    1.18215E-12  	    2.39039E-08  	    1.27085E-09  	    1.58242E-13  	    5.44907E-12  	    2.73133E-15  	    6.36106E-09  	    4.10795E-11  	    8.89541E-20  	    6.60739E-15  	    2.54625E-16  	    9.71739E-13  	    1.63827E-15  	    3.59539E-14  	    5.18198E-16  	    4.00138E-11  	    2.39760E-16  	    5.36873E-13  	    2.59919E-14  	    2.30717E-10  	    4.61273E-13  	    2.51401E-13
    4.00162E-03  	    1.83365E+03  	    1.89593E-01  	    1.01325E+05  	    0.00000E+00  	    5.96502E-01  	    6.34731E-16  	    5.00093E-08  	    1.47539E-11  	    5.42024E-10  	    7.69541E-13  	    1.74958E-10  	    1.09860E-10  	    6.13074E-11  	    2.91791E-12  	    1.29613E-09  	    1.68737E-10  	    1.43551E-09  	    2.71058E-11  	    2.82698E-09  	    4.23264E-11  	    1.29978E-11  	    1.39548E-17  	    5.51210E-20  	    1.88759E-17  	    3.03125E-12  	    2.61124E-09  	    6.17630E-13  	    3.65981E-11  	    1.08063E-09  	    9.92110E-09  	    5.28151E-10  	    4.58363E-09  	    4.37027E-09  	    1.19357E-09  	    6.87809E-08  	    5.80175E-11  	    1.00665E-09  	    1.56110E-08  	    1.64729E-09  	    4.22946E-08  	    2.07011E-09  	    5.83111E-05  	    9.43391E-10  	    1.55149E-09  	    2.55198E-08  	    1.66986E-06  	    2.07342E-06  	    3.11028E-08  	    9.85302E-12  	    3.82985E-10  	    7.12906E-09  	    9.35967E-04  	    4.09139E-05  	    7.13511E-09  	    6.74712E-02  	    1.99538E-01  	    1.66236E-05  	    1.35432E-01  	    8.63278E-09  	    1.20315E-13  	    1.92582E-12  	    6.69449E-10  	    6.21899E-10  	    3.98850E-10  	    3.79288E-11  	    1.26945E-10  	    2.11763E-11  	    1.23907E-07  	    2.78450E-09  	    8.20350E-07  	    1.42726E-09  	    3.26346E-08  	    7.52147E-10  	    5.12317E-11  	    9.73065E-08  	    8.59473E-09  	    5.69277E-12  	    1.69011E-11  	    7.99551E-13  	    4.75502E-09  	    1.73223E-10  	    6.08965E-18  	    3.52669E-15  	    2.12980E-16  	    1.93202E-12  	    5.08409E-15  	    1.33043E-12  	    2.31821E-14  	    2.34072E-10  	    3.04001E-14  	    4.61045E-12  	    4.21025E-13  	    6.00131E-10  	    2.65133E-12  	    6.37876E-12
    5.00148E-03  	    1.83751E+03  	    1.89186E-01  	    1.01325E+05  	    1.4594E-156  	    5.96083E-01  	    1.09798E-13  	    7.52446E-08  	    2.80446E-09  	    1.36738E-08  	    4.89098E-14  	    1.93502E-11  	    1.10601E-09  	    4.93433E-09  	    1.64645E-13  	    3.99229E-10  	    6.24909E-11  	    2.12246E-10  	    3.15242E-09  	    9.99843E-08  	    1.32719E-09  	    1.17947E-10  	    2.22307E-16  	    1.03443E-18  	    1.76030E-16  	    3.42963E-10  	    1.29071E-08  	    5.54846E-11  	    2.44769E-08  	    1.75226E-08  	    9.30682E-09  	    7.53162E-11  	    1.43913E-08  	    9.22675E-09  	    3.44268E-09  	    1.02798E-06  	    1.66143E-08  	    6.13320E-09  	    1.10927E-07  	    1.35725E-09  	    1.31032E-06  	    8.81008E-09  	    1.28820E-04  	    7.76114E-08  	    7.23592E-09  	    1.17327E-07  	    1.70264E-06  	    2.68876E-05  	    3.67705E-07  	    4.07692E-10  	    1.96286E-10  	    2.82005E-07  	    1.18207E-03  	    1.87602E-04  	    1.89590E-08  	    6.78991E-02  	    1.98578E-01  	    6.56028E-05  	    1.35833E-01  	    2.77786E-08  	    9.75777E-13  	    2.56751E-11  	    3.66569E-09  	    4.77240E-09  	    7.90051E-10  	    3.33649E-10  	    5.90842E-09  	    1.65517E-11  	    1.54252E-07  	    2.85586E-08  	    1.08678E-05  	    9.32809E-09  	    2.59657E-07  	    1.64086E-08  	    1.25160E-09  	    3.43405E-08  	    4.89374E-09  	    1.15753E-10  	    4.25797E-11  	    1.25925E-10  	    4.93837E-08  	    8.92311E-11  	    1.65047E-18  	    1.07010E-16  	    4.36180E-18  	    2.33966E-14  	    2.25180E-16  	    1.80390E-12  	    1.76534E-13  	    4.34205E-13  	    9.13422E-12  	    4.49415E-11  	    3.62979E-11  	    1.01491E-09  	    1.26406E-09  	    3.86333E-09
    6.00046E-03  	    1.84652E+03  	    1.88289E-01  	    1.01325E+05  	    3.44761E-26  	    5.95562E-01  	    3.50082E-14  	    9.44609E-08  	    2.70536E-09  	    1.44234E-08  	    2.77303E-15  	    7.65762E-12  	    1.02837E-09  	    1.99621E-09  	    8.56864E-15  	    8.73702E-11  	    8.73367E-12  	    1.40982E-11  	    5.67294E-10  	    7.15889E-08  	    1.32346E-09  	    8.19200E-12  	    2.52213E-17  	    1.36999E-19  	    1.89181E-17  	    1.56431E-11  	    6.57369E-10  	    1.70713E-12  	    1.97703E-08  	    1.49853E-08  	    3.82073E-10  	    3.79405E-12  	    1.13104E-08  	    6.69825E-09  	    2.76474E-09  	    1.23694E-06  	    1.07410E-08  	    3.67949E-09  	    1.13531E-07  	    3.30765E-10  	    1.44142E-06  	    5.73007E-10  	    1.95925E-04  	    3.76251E-08  	    5.27238E-09  	    5.69998E-08  	    1.76398E-06  	    4.59001E-05  	    3.51298E-07  	    3.96835E-10  	    1.94046E-11  	    3.09858E-07  	    1.46776E-03  	    3.04551E-04  	    4.96393E-11  	    6.85663E-02  	    1.97073E-01  	    1.09248E-04  	    1.36643E-01  	    2.41809E-08  	    5.57269E-13  	    4.58322E-11  	    4.35816E-09  	    6.29472E-09  	    1.03228E-09  	    6.24536E-10  	    9.14600E-09  	    6.97241E-12  	    1.89776E-07  	    2.38707E-08  	    2.69111E-05  	    2.46274E-08  	    4.19796E-07  	    3.02694E-08  	    2.01023E-09  	    2.61051E-08  	    5.03213E-09  	    1.32573E-10  	    1.80079E-11  	    1.32290E-10  	    8.18339E-08  	    8.50863E-11  	    9.71187E-19  	    2.62352E-17  	    1.86102E-18  	    6.16432E-15  	    8.16155E-17  	    2.26817E-12  	    1.94527E-13  	    1.12754E-13  	    1.10511E-11  	    8.86481E-11  	    5.41273E-11  	    1.47753E-09  	    2.28183E-09  	    7.47024E-09
    7.00429E-03  	    1.85139E+03  	    1.87802E-01  	    1.01325E+05  	    1.9450E-239  	    5.95607E-01  	    2.12240E-20  	    8.77353E-08  	    4.64075E-12  	    4.00104E-11  	    3.10674E-17  	    4.90159E-13  	    5.04993E-12  	    7.74655E-15  	    9.13937E-17  	    2.02845E-12  	    7.05722E-16  	    7.78954E-14  	    1.05874E-15  	    5.28277E-11  	    5.07136E-12  	    1.22338E-17  	    1.95352E-19  	    9.51155E-22  	    2.53925E-19  	    1.09040E-17  	    6.23118E-14  	    7.35856E-21  	    2.22703E-12  	    3.77504E-13  	    2.43777E-13  	    5.00660E-15  	    9.26195E-11  	    2.06988E-10  	    5.19204E-12  	    6.42906E-08  	    1.98114E-16  	    6.98774E-14  	    2.56745E-08  	    2.84637E-09  	    1.01124E-09  	    1.08658E-13  	    1.48276E-04  	    3.51744E-14  	    8.39171E-11  	    7.51267E-10  	    1.75965E-06  	    1.19674E-05  	    3.60015E-08  	    1.97373E-15  	    1.56739E-14  	    1.31997E-10  	    1.42612E-03  	    1.30747E-04  	    1.80421E-10  	    6.89769E-02  	    1.96652E-01  	    4.76753E-05  	    1.36952E-01  	    3.45615E-10  	    2.58729E-16  	    1.13740E-11  	    3.29218E-11  	    8.48061E-11  	    2.28239E-10  	    9.18612E-10  	    1.46109E-10  	    2.24384E-13  	    2.08882E-07  	    2.56144E-11  	    4.51965E-05  	    5.45309E-08  	    2.10267E-09  	    9.81559E-11  	    8.41076E-12  	    1.81471E-09  	    3.73880E-10  	    1.56465E-13  	    2.32034E-15  	    1.42593E-14  	    1.10671E-09  	    4.74629E-15  	    4.82717E-22  	    3.38636E-21  	    1.35511E-43  	    4.68536E-16  	    5.46770E-20  	    2.43254E-16  	    3.99812E-17  	    2.81945E-14  	    1.14878E-17  	    1.12164E-14  	    9.72446E-15  	    2.88274E-11  	    7.63470E-16  	    1.27289E-15
    8.00021E-03  	    1.85306E+03  	    1.87617E-01  	    1.01325E+05  	    4.18513E-67  	    5.95540E-01  	    5.51840E-17  	    8.37020E-08  	    8.03979E-10  	    3.20829E-09  	    9.86376E-17  	    4.77129E-12  	    2.97245E-10  	    7.38560E-12  	    2.67105E-16  	    2.06085E-12  	    4.50110E-14  	    1.96871E-13  	    7.34240E-13  	    3.23335E-09  	    3.44350E-10  	    6.49959E-16  	    5.40564E-20  	    2.48796E-24  	    4.70890E-20  	    7.11362E-15  	    8.59357E-13  	    2.90685E-17  	    1.01305E-09  	    1.01134E-10  	    8.32982E-13  	    1.78948E-14  	    2.20813E-09  	    2.83766E-09  	    3.46148E-10  	    1.50768E-07  	    3.69197E-11  	    6.76753E-12  	    6.54022E-08  	    7.50087E-09  	    1.40877E-07  	    1.80840E-12  	    1.42300E-04  	    3.31961E-11  	    1.96659E-09  	    7.10513E-09  	    1.76236E-06  	    1.61310E-05  	    8.06372E-08  	    1.20400E-11  	    1.78551E-13  	    3.02985E-08  	    1.39443E-03  	    1.43353E-04  	    4.74502E-11  	    6.91038E-02  	    1.96399E-01  	    5.20863E-05  	    1.37162E-01  	    7.02236E-10  	    5.29740E-15  	    1.55391E-11  	    2.41483E-10  	    5.67715E-10  	    2.65227E-10  	    7.92293E-10  	    8.42358E-10  	    5.18312E-13  	    2.04767E-07  	    2.53307E-10  	    4.33756E-05  	    6.29115E-08  	    2.13776E-08  	    1.43715E-09  	    1.46357E-10  	    2.77745E-09  	    8.04873E-10  	    2.38459E-11  	    1.01703E-13  	    1.17405E-11  	    3.28678E-09  	    4.76882E-13  	    1.39597E-19  	    1.09965E-19  	    1.06079E-20  	    7.98453E-17  	    1.23268E-18  	    4.27340E-14  	    5.45615E-15  	    2.56671E-15  	    4.04439E-14  	    7.27367E-13  	    5.05768E-12  	    1.32042E-10  	    2.17185E-11  	    1.10061E-10
    9.00010E-03  	    1.85513E+03  	    1.87407E-01  	    1.01325E+05  	    3.7738E-240  	    5.95440E-01  	    1.78623E-17  	    8.24963E-08  	    2.69353E-10  	    8.62033E-10  	    8.15942E-16  	    6.24710E-12  	    9.40909E-11  	    2.63130E-12  	    2.27070E-15  	    8.13958E-12  	    1.07162E-14  	    1.47001E-12  	    2.74119E-13  	    6.42748E-10  	    1.30965E-10  	    1.92639E-16  	    7.91254E-20  	    3.31311E-22  	    9.52647E-20  	    3.76979E-15  	    2.37376E-12  	    6.20518E-18  	    8.79812E-11  	    9.68964E-12  	    3.28056E-12  	    7.54143E-14  	    6.22238E-10  	    1.73380E-09  	    8.58449E-11  	    7.58506E-08  	    4.03469E-13  	    8.86727E-13  	    2.51753E-08  	    9.45568E-09  	    1.85691E-08  	    4.44081E-12  	    1.35117E-04  	    9.51212E-12  	    1.14434E-09  	    4.06980E-09  	    1.77689E-06  	    1.18139E-05  	    3.41010E-08  	    2.62509E-13  	    4.32895E-13  	    3.39920E-09  	    1.39001E-03  	    1.23345E-04  	    5.63341E-15  	    6.93163E-02  	    1.96090E-01  	    4.50271E-05  	    1.37401E-01  	    1.46445E-09  	    5.32820E-15  	    1.11354E-11  	    2.20657E-10  	    5.99584E-10  	    3.07648E-10  	    7.83462E-10  	    6.67605E-10  	    5.99326E-13  	    2.04919E-07  	    3.57997E-10  	    4.47113E-05  	    6.75282E-08  	    1.99898E-08  	    1.03832E-09  	    1.22523E-10  	    4.03312E-09  	    1.28665E-09  	    6.40813E-12  	    5.05353E-14  	    1.78829E-12  	    3.71494E-09  	    4.88160E-13  	    3.93227E-19  	    3.46951E-19  	    2.99416E-20  	    8.85585E-16  	    3.49388E-18  	    3.56143E-14  	    1.06039E-15  	    3.98392E-14  	    5.37823E-15  	    7.16121E-13  	    5.70375E-13  	    1.56985E-10  	    9.03403E-13  	    3.41151E-12
    1.00019E-02  	    1.85813E+03  	    1.87111E-01  	    1.01325E+05  	    5.17930E-53  	    5.95230E-01  	    8.64648E-16  	    8.61507E-08  	    1.66495E-09  	    6.86137E-09  	    3.04755E-16  	    7.66933E-12  	    5.92116E-10  	    8.14320E-11  	    8.51623E-16  	    6.10576E-12  	    3.89916E-13  	    1.21700E-12  	    1.24159E-11  	    1.52012E-08  	    7.32200E-10  	    1.33129E-14  	    8.79029E-19  	    5.45010E-21  	    6.61061E-19  	    1.45255E-13  	    1.00671E-11  	    2.77922E-15  	    4.11702E-09  	    2.19601E-09  	    6.37636E-12  	    8.14875E-14  	    4.57843E-09  	    5.02456E-09  	    1.18118E-09  	    3.39266E-07  	    8.95705E-10  	    3.36033E-10  	    6.76304E-08  	    6.29758E-09  	    3.65837E-07  	    1.75939E-11  	    1.55127E-04  	    6.15001E-10  	    3.56373E-09  	    1.62472E-08  	    1.80955E-06  	    2.06612E-05  	    1.30649E-07  	    1.16701E-10  	    9.03641E-13  	    1.05045E-07  	    1.45069E-03  	    1.76057E-04  	    8.33500E-15  	    6.96011E-02  	    1.95539E-01  	    6.18800E-05  	    1.37714E-01  	    1.92231E-09  	    5.40800E-14  	    2.01182E-11  	    8.80691E-10  	    1.66269E-09  	    4.63566E-10  	    8.45866E-10  	    2.33233E-09  	    1.85833E-12  	    2.05010E-07  	    2.62724E-09  	    4.86664E-05  	    7.21794E-08  	    7.39072E-08  	    5.07908E-09  	    4.46924E-10  	    6.62056E-09  	    1.90075E-09  	    5.88170E-11  	    1.26102E-12  	    3.36199E-11  	    2.79952E-09  	    1.41771E-12  	    1.03740E-19  	    3.60919E-19  	    3.33043E-20  	    1.22923E-16  	    2.94224E-18  	    8.94159E-14  	    1.50033E-14  	    1.67430E-15  	    4.86198E-13  	    4.53535E-12  	    1.45774E-11  	    3.75823E-10  	    1.52067E-10  	    5.17943E-10
