           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.83662E+03  	        1.89327E-01  	        1.01325E+05  	        0.00000E+00  	        3.99244E-17  	        1.71258E-08  	        4.41984E-18  	        2.34791E-14  	        0.00000E+00  	        1.41138E-12  	        8.69163E-16  	        5.14301E-13  	        2.79525E-11  	        1.62930E-13  	        8.60578E-14  	        4.07130E-17  	        1.09210E-14  	        0.00000E+00  	        3.12022E-11  	        7.37081E-16  	        0.00000E+00  	        3.61705E-14  	        2.27667E-11  	        9.91926E-15  	        8.85805E-16  	        4.13824E-16  	        2.93500E-13  	        0.00000E+00  	        7.65386E-17  	        2.49644E-10  	        0.00000E+00  	        1.53964E-05  	        2.44025E-13  	        1.66445E-17  	        9.36808E-13  	        3.28324E-12  	        1.68171E-12  	        3.74374E-15  	        1.91030E-13  	        8.54674E-17  	        8.58836E-14  	        5.85087E-13  	        2.17645E-06  	        2.03370E-14  	        7.96194E-12  	        0.00000E+00  	        3.32934E-16  	        3.37357E-14  	        1.11733E-11  	        3.54908E-13  	        2.51101E-07  	        1.49287E-17  	        3.26563E-11  	        2.28889E-16  	        5.52448E-06  	        4.98485E-15  	        1.99785E-01  	        1.35483E-01  	        1.63680E-13  	        0.00000E+00  	        4.78625E-06  	        6.74865E-02  	        2.00729E-10  	        0.00000E+00  	        4.42880E-13  	        5.96737E-01  	        7.29065E-13  	        4.56491E-11  	        4.90116E-04  	        5.62037E-12  	        2.67534E-12  	        9.17814E-11  	        5.62037E-12  	        2.19357E-15  	        8.04088E-20  	        5.41641E-13  	        1.02843E-12  	        1.50304E-13  	        2.47934E-13  	        5.34963E-14  	        3.34161E-12  	        1.32763E-13  	        2.09270E-08  	        1.24487E-11  	        8.31073E-09  	        2.86612E-11  	        2.88882E-12  	        5.71528E-14  	        2.00237E-16  	        9.89403E-13  	        3.30800E-14  	        3.29542E-16  	        8.94769E-18  	        0.00000E+00  	        5.47285E-13  	        2.92220E-15  	        0.00000E+00  	        1.19219E-19  	        9.00222E-21  	        2.48157E-17  	        4.82558E-20  	        7.95428E-18  	        2.00834E-21  	        9.81678E-19  	        0.00000E+00  	        0.00000E+00  	        7.62010E-17  	        3.35836E-14  	        7.45144E-19  	        1.52748E-18
        2.00000E-03  	        1.83518E+03  	        1.89458E-01  	        1.01325E+05  	        9.60483E-19  	        4.70775E-15  	        2.97749E-08  	        1.00019E-16  	        1.76439E-12  	        2.84417E-19  	        9.56496E-11  	        6.51477E-14  	        6.56502E-11  	        9.04672E-10  	        2.00394E-11  	        1.64780E-12  	        3.77590E-13  	        1.02911E-12  	        8.88614E-19  	        1.67418E-09  	        3.33490E-14  	        2.83339E-18  	        3.40680E-12  	        8.58922E-10  	        7.81678E-13  	        9.65165E-14  	        1.48060E-14  	        2.40532E-11  	        4.51946E-22  	        1.17270E-14  	        1.41933E-08  	        0.00000E+00  	        3.24971E-05  	        1.20646E-11  	        5.65947E-15  	        2.10157E-11  	        1.97780E-10  	        6.29210E-11  	        3.23663E-13  	        1.34979E-10  	        1.30203E-13  	        6.42289E-12  	        1.99829E-11  	        1.80666E-06  	        1.94106E-12  	        2.66678E-11  	        1.81122E-19  	        4.36325E-13  	        1.39515E-12  	        4.52772E-10  	        1.48370E-10  	        6.82917E-07  	        9.61485E-15  	        1.03986E-09  	        5.50653E-14  	        1.52913E-05  	        1.66453E-12  	        1.99698E-01  	        1.35431E-01  	        2.49806E-11  	        0.00000E+00  	        9.05598E-06  	        6.74665E-02  	        5.62094E-09  	        1.04650E-19  	        6.28379E-11  	        5.96645E-01  	        1.92640E-10  	        1.99679E-09  	        7.11039E-04  	        1.73449E-10  	        1.51236E-10  	        2.79727E-09  	        1.73447E-10  	        1.46049E-13  	        4.95695E-18  	        8.37615E-13  	        5.24825E-12  	        4.32382E-13  	        8.20929E-13  	        3.68577E-13  	        6.87807E-12  	        6.48054E-13  	        5.84701E-08  	        5.32599E-11  	        3.86985E-08  	        1.05514E-10  	        2.32800E-11  	        5.08267E-13  	        1.42533E-15  	        1.50350E-11  	        4.64844E-13  	        2.48661E-14  	        3.61471E-15  	        3.27338E-19  	        2.00299E-12  	        3.34825E-14  	        0.00000E+00  	        3.38383E-18  	        2.33145E-19  	        6.41124E-16  	        6.14015E-19  	        4.24796E-17  	        7.27514E-20  	        8.79701E-16  	        1.84408E-20  	        9.05766E-20  	        4.64468E-15  	        4.14604E-13  	        9.70672E-17  	        2.72405E-16
        3.10000E-03  	        1.83393E+03  	        1.89565E-01  	        1.01325E+05  	        4.04741E-18  	        4.11541E-14  	        4.04586E-08  	        3.17899E-16  	        1.15854E-11  	        8.26408E-16  	        4.49943E-10  	        3.81825E-13  	        6.34400E-10  	        6.53422E-09  	        5.85094E-10  	        4.62212E-12  	        5.44419E-12  	        7.17375E-12  	        6.45633E-16  	        6.20792E-09  	        1.18792E-13  	        4.23092E-16  	        1.50425E-11  	        6.63697E-09  	        2.42672E-11  	        4.46416E-12  	        1.16411E-14  	        2.81271E-10  	        4.56736E-20  	        8.29420E-14  	        3.95189E-08  	        7.41371E-20  	        4.62260E-05  	        2.53955E-11  	        2.75946E-14  	        6.67653E-11  	        1.32114E-09  	        5.06294E-10  	        2.21081E-12  	        3.69262E-09  	        6.44350E-12  	        5.12916E-11  	        3.08343E-10  	        1.67714E-06  	        1.02815E-11  	        9.13954E-11  	        8.12148E-17  	        1.14299E-12  	        1.36638E-12  	        1.10577E-09  	        4.67762E-09  	        1.14486E-06  	        3.02515E-13  	        4.64259E-09  	        6.10960E-13  	        2.57196E-05  	        1.86363E-11  	        1.99612E-01  	        1.35525E-01  	        5.45979E-10  	        0.00000E+00  	        1.27627E-05  	        6.74414E-02  	        2.22914E-08  	        4.93656E-17  	        1.15051E-09  	        5.96496E-01  	        5.99218E-09  	        1.57992E-08  	        8.46378E-04  	        1.20665E-09  	        1.34578E-09  	        1.64719E-08  	        1.20662E-09  	        2.75416E-13  	        5.18866E-18  	        1.19376E-12  	        6.22178E-12  	        8.11580E-13  	        1.54748E-12  	        1.08282E-12  	        9.59647E-12  	        6.93051E-13  	        9.60994E-08  	        5.88742E-11  	        9.36659E-08  	        2.27128E-10  	        5.85487E-11  	        1.26352E-12  	        4.51126E-15  	        8.15209E-11  	        3.16750E-12  	        9.34554E-14  	        4.34794E-14  	        6.48793E-18  	        3.69551E-12  	        4.18426E-14  	        0.00000E+00  	        6.10700E-18  	        2.92093E-19  	        9.13596E-16  	        1.13533E-18  	        2.88655E-17  	        3.73891E-19  	        3.56347E-14  	        3.08800E-19  	        1.27431E-18  	        1.30505E-14  	        1.22789E-12  	        3.56813E-16  	        3.46278E-16
        4.00036E-03  	        1.83339E+03  	        1.89613E-01  	        1.01325E+05  	        2.64779E-17  	        3.23720E-13  	        4.78511E-08  	        4.67252E-16  	        3.75660E-11  	        2.29607E-16  	        9.81356E-10  	        2.13306E-12  	        9.80803E-10  	        7.57069E-09  	        2.72614E-09  	        1.83316E-11  	        2.18598E-13  	        1.76003E-11  	        1.90228E-14  	        3.59411E-09  	        1.04514E-13  	        6.07393E-16  	        4.55636E-11  	        8.65941E-09  	        9.62325E-11  	        1.87625E-11  	        8.64188E-15  	        5.05163E-10  	        4.02526E-20  	        1.06351E-13  	        1.02057E-08  	        1.05112E-20  	        5.53913E-05  	        7.73120E-11  	        1.15233E-14  	        6.71046E-10  	        4.75974E-09  	        1.00263E-09  	        3.31870E-12  	        1.18157E-08  	        1.00320E-10  	        1.70056E-10  	        1.36951E-09  	        1.65822E-06  	        1.24932E-11  	        2.23079E-10  	        1.06542E-15  	        6.95115E-15  	        3.16736E-13  	        8.16830E-10  	        1.44928E-08  	        1.60215E-06  	        9.86680E-13  	        5.85816E-09  	        2.88029E-12  	        3.49695E-05  	        8.15191E-12  	        1.99560E-01  	        1.35515E-01  	        1.57464E-09  	        0.00000E+00  	        1.54028E-05  	        6.74438E-02  	        1.95591E-08  	        8.97356E-16  	        2.29524E-09  	        5.96450E-01  	        1.74193E-08  	        3.62385E-08  	        9.22062E-04  	        1.60709E-09  	        2.64139E-09  	        1.07079E-08  	        1.60626E-09  	        5.68363E-13  	        4.19572E-18  	        1.55292E-12  	        1.46055E-12  	        9.42247E-13  	        1.67255E-12  	        1.93377E-12  	        1.12580E-11  	        6.30516E-14  	        1.19903E-07  	        1.76900E-11  	        1.51231E-07  	        3.46350E-10  	        4.56191E-11  	        1.03858E-12  	        1.20343E-14  	        1.74625E-10  	        1.05980E-11  	        3.74754E-14  	        2.64655E-14  	        4.67356E-17  	        1.76714E-12  	        7.06889E-15  	        0.00000E+00  	        4.18953E-19  	        1.30265E-20  	        3.69970E-16  	        2.32267E-19  	        3.14447E-17  	        3.48576E-16  	        6.11211E-14  	        2.95944E-17  	        9.52517E-19  	        3.61813E-15  	        1.08191E-12  	        5.13451E-17  	        2.85311E-17
        5.00135E-03  	        1.83382E+03  	        1.89563E-01  	        1.01325E+05  	        3.31964E-16  	        4.51210E-10  	        6.03493E-08  	        1.00273E-15  	        1.80227E-09  	        4.11018E-18  	        3.22197E-09  	        2.37365E-10  	        3.36260E-09  	        8.00865E-09  	        9.47389E-10  	        5.64991E-10  	        5.02427E-14  	        2.75256E-10  	        3.38779E-14  	        1.82432E-09  	        1.23577E-12  	        2.50664E-15  	        9.91725E-11  	        1.20061E-08  	        7.84520E-11  	        3.29343E-11  	        3.85934E-15  	        6.57783E-10  	        7.87834E-19  	        7.87571E-13  	        5.79721E-08  	        3.43974E-20  	        7.72985E-05  	        1.02965E-09  	        1.17078E-14  	        1.01413E-08  	        1.60991E-09  	        1.75762E-09  	        4.30937E-11  	        7.29368E-09  	        5.19911E-10  	        2.68247E-09  	        3.17636E-09  	        1.65466E-06  	        4.30354E-11  	        4.48810E-10  	        4.97750E-15  	        1.78972E-16  	        1.19116E-11  	        1.38435E-08  	        1.50028E-08  	        6.20493E-06  	        5.38175E-12  	        1.30918E-08  	        1.50478E-10  	        6.58426E-05  	        1.02746E-13  	        1.99316E-01  	        1.35551E-01  	        4.02970E-09  	        0.00000E+00  	        2.44924E-05  	        6.75815E-02  	        2.25891E-08  	        5.75358E-15  	        2.87696E-09  	        5.96351E-01  	        1.63822E-08  	        5.71668E-08  	        1.02406E-03  	        1.61082E-09  	        5.97060E-09  	        5.32502E-09  	        1.60793E-09  	        1.99896E-10  	        1.49601E-16  	        5.45040E-12  	        6.06889E-12  	        1.90447E-11  	        6.76414E-12  	        5.00362E-12  	        4.73989E-11  	        4.75367E-14  	        1.43877E-07  	        1.06323E-11  	        2.61566E-07  	        5.26117E-10  	        6.95937E-10  	        2.82464E-11  	        4.43397E-12  	        1.83594E-10  	        3.90459E-11  	        7.17200E-12  	        1.44102E-14  	        4.94121E-13  	        6.38621E-13  	        2.11621E-15  	        0.00000E+00  	        1.71982E-21  	        2.22444E-82  	        3.39876E-18  	        1.08663E-20  	        6.87915E-17  	        4.33774E-16  	        1.46341E-16  	        2.17494E-15  	        9.60739E-16  	        9.90258E-13  	        4.27675E-12  	        1.80070E-13  	        4.93028E-13
        6.00154E-03  	        1.83793E+03  	        1.89145E-01  	        1.01325E+05  	        5.83360E-16  	        1.61265E-09  	        7.88263E-08  	        1.54818E-13  	        6.16920E-09  	        3.03873E-17  	        1.42581E-08  	        6.47049E-10  	        5.88263E-09  	        2.01516E-08  	        2.31589E-09  	        5.61894E-09  	        3.98054E-12  	        6.25958E-10  	        2.21483E-12  	        8.35177E-09  	        3.54496E-12  	        2.86600E-13  	        6.11118E-11  	        4.69900E-08  	        5.45792E-10  	        9.05693E-10  	        2.97739E-13  	        2.21019E-09  	        2.82935E-17  	        8.64572E-12  	        4.67165E-07  	        8.54435E-18  	        1.27614E-04  	        2.18106E-09  	        2.35116E-12  	        5.51589E-08  	        2.12588E-09  	        6.35123E-09  	        2.53966E-10  	        8.04371E-09  	        4.32813E-10  	        4.10187E-09  	        1.30054E-08  	        1.68991E-06  	        6.53389E-11  	        1.04159E-09  	        6.41531E-13  	        7.09539E-14  	        2.38748E-10  	        9.59443E-08  	        2.00109E-08  	        2.02657E-05  	        3.03153E-10  	        3.63265E-08  	        4.63988E-10  	        1.57362E-04  	        4.66332E-11  	        1.98424E-01  	        1.35934E-01  	        1.41174E-08  	        0.00000E+00  	        5.22974E-05  	        6.80927E-02  	        1.36214E-07  	        9.46112E-13  	        7.58030E-09  	        5.95970E-01  	        1.81860E-08  	        2.50677E-07  	        1.21812E-03  	        3.98113E-09  	        4.08636E-08  	        1.92059E-08  	        3.96443E-09  	        1.94296E-09  	        8.84252E-16  	        1.88214E-11  	        7.29408E-11  	        1.80319E-10  	        4.12298E-11  	        3.34080E-11  	        4.29514E-10  	        2.13938E-13  	        1.71276E-07  	        1.14328E-10  	        1.22128E-06  	        1.43986E-09  	        7.66899E-09  	        4.58882E-10  	        4.62915E-11  	        6.82082E-10  	        1.94945E-10  	        3.91905E-11  	        3.16735E-13  	        6.16086E-12  	        2.65849E-12  	        6.60644E-15  	        0.00000E+00  	        6.84936E-21  	        1.62373E-82  	        2.26356E-17  	        1.98714E-20  	        1.40907E-16  	        2.35872E-15  	        3.14326E-16  	        7.75416E-14  	        3.88359E-14  	        9.08692E-12  	        3.57694E-11  	        9.60217E-12  	        1.96797E-11
        7.00220E-03  	        1.84215E+03  	        1.88725E-01  	        1.01325E+05  	        5.10868E-17  	        3.25025E-10  	        8.33676E-08  	        1.26614E-16  	        9.06221E-10  	        2.86926E-19  	        2.79355E-08  	        1.33478E-10  	        1.64739E-09  	        2.48731E-08  	        1.96776E-11  	        1.35963E-10  	        1.44167E-16  	        7.75980E-11  	        5.83418E-13  	        6.48596E-10  	        3.42575E-13  	        1.68860E-17  	        1.63385E-11  	        1.67628E-09  	        2.27317E-12  	        8.34356E-13  	        4.24563E-16  	        3.03212E-09  	        3.15570E-20  	        2.08957E-13  	        2.71786E-08  	        1.40750E-25  	        1.31823E-04  	        2.39421E-10  	        1.16010E-15  	        3.04895E-09  	        3.59566E-11  	        1.44939E-10  	        7.55707E-11  	        4.72116E-11  	        5.80470E-12  	        1.05920E-09  	        1.30966E-08  	        1.70136E-06  	        1.25673E-12  	        1.65568E-11  	        7.63590E-15  	        1.19833E-16  	        1.51238E-12  	        3.27910E-09  	        6.57747E-09  	        1.43080E-05  	        7.08492E-14  	        1.45546E-08  	        5.25806E-11  	        1.31821E-04  	        5.70712E-16  	        1.97772E-01  	        1.36296E-01  	        2.01101E-08  	        0.00000E+00  	        4.50559E-05  	        6.85580E-02  	        2.70439E-09  	        3.94193E-14  	        8.75052E-09  	        5.95750E-01  	        2.55082E-09  	        8.30453E-09  	        1.29675E-03  	        3.37225E-10  	        3.18425E-10  	        2.68209E-08  	        3.40575E-10  	        6.51018E-12  	        2.85430E-16  	        1.31316E-11  	        1.01399E-11  	        3.27630E-11  	        2.04178E-11  	        5.46503E-11  	        1.12909E-10  	        5.23649E-14  	        1.93747E-07  	        2.86579E-11  	        2.32016E-06  	        3.16877E-09  	        9.72476E-10  	        4.69046E-11  	        6.45932E-12  	        1.27998E-10  	        4.38814E-11  	        4.48060E-12  	        6.45517E-15  	        2.14706E-13  	        2.64688E-12  	        1.86345E-15  	        8.69222E-86  	        4.22856E-22  	        8.53678E-83  	        2.78649E-18  	        6.01388E-21  	        8.16732E-17  	        2.17376E-16  	        1.16348E-16  	        8.08871E-16  	        1.70975E-15  	        5.72538E-13  	        5.83680E-12  	        6.57925E-14  	        1.92121E-13
        8.00049E-03  	        1.84460E+03  	        1.88481E-01  	        1.01325E+05  	        3.08834E-17  	        2.31217E-10  	        8.21894E-08  	        5.90935E-17  	        6.38224E-10  	        8.33859E-20  	        2.31989E-08  	        1.02390E-10  	        1.32709E-09  	        2.03221E-08  	        1.73657E-12  	        7.72695E-11  	        4.48366E-18  	        5.19322E-11  	        3.71198E-13  	        4.61656E-10  	        2.35813E-13  	        1.27416E-18  	        1.34828E-11  	        7.77489E-09  	        3.69682E-13  	        1.23096E-13  	        2.27576E-16  	        3.14825E-09  	        8.03591E-21  	        1.38309E-13  	        1.62889E-08  	        4.68525E-26  	        1.26944E-04  	        1.65176E-10  	        5.71604E-16  	        2.01695E-09  	        3.65894E-12  	        1.28117E-10  	        5.45550E-11  	        1.48949E-12  	        3.39843E-12  	        8.22951E-10  	        1.06975E-08  	        1.70672E-06  	        1.29821E-13  	        9.52798E-12  	        3.08760E-15  	        8.95318E-17  	        8.62519E-13  	        1.72890E-09  	        5.82030E-09  	        1.23372E-05  	        4.76450E-15  	        1.14617E-08  	        3.24284E-11  	        1.21210E-04  	        5.72194E-16  	        1.97390E-01  	        1.36545E-01  	        1.73136E-08  	        0.00000E+00  	        4.21959E-05  	        6.88712E-02  	        2.71558E-09  	        9.25968E-16  	        8.24742E-09  	        5.95583E-01  	        4.20850E-09  	        9.25697E-09  	        1.30316E-03  	        4.62677E-12  	        4.12952E-11  	        2.19312E-08  	        1.19568E-11  	        5.05956E-13  	        2.30663E-16  	        1.12415E-11  	        8.87598E-12  	        2.63705E-11  	        1.88454E-11  	        5.79448E-11  	        9.00869E-11  	        5.17847E-14  	        2.00574E-07  	        4.68508E-11  	        2.79150E-06  	        4.28500E-09  	        7.13690E-10  	        3.41214E-11  	        4.95516E-12  	        1.04140E-10  	        3.68847E-11  	        3.06319E-12  	        5.09318E-15  	        8.72856E-14  	        5.05258E-12  	        1.82272E-15  	        2.92860E-23  	        3.61655E-22  	        5.13295E-83  	        4.70100E-18  	        6.63208E-21  	        9.02202E-17  	        1.98354E-16  	        2.09437E-16  	        3.35355E-16  	        1.04276E-15  	        3.39076E-13  	        4.60937E-12  	        2.11358E-14  	        6.19751E-14
        9.00072E-03  	        1.84658E+03  	        1.88285E-01  	        1.01325E+05  	        1.03374E-17  	        1.23184E-10  	        8.00177E-08  	        5.16308E-17  	        3.99688E-10  	        8.73653E-20  	        5.25053E-09  	        6.74142E-11  	        1.04479E-09  	        5.00527E-09  	        8.19444E-13  	        3.14973E-11  	        4.62294E-19  	        3.47296E-11  	        2.53708E-13  	        3.47873E-10  	        1.64711E-13  	        9.37225E-20  	        9.33704E-12  	        3.98791E-08  	        1.79712E-13  	        2.97550E-14  	        2.24819E-16  	        2.51315E-09  	        4.84263E-22  	        4.37107E-14  	        8.42466E-09  	        1.68672E-22  	        1.20787E-04  	        9.67161E-11  	        2.97197E-16  	        1.09828E-09  	        2.22268E-12  	        1.65364E-10  	        1.15010E-11  	        3.91712E-13  	        9.16471E-13  	        5.99490E-10  	        2.64104E-09  	        1.71327E-06  	        6.26219E-14  	        1.53587E-11  	        1.79755E-15  	        1.81423E-17  	        1.97979E-13  	        8.88228E-10  	        2.77135E-09  	        9.86414E-06  	        4.93262E-15  	        4.09210E-09  	        1.03388E-11  	        1.06049E-04  	        1.19049E-15  	        1.97104E-01  	        1.36747E-01  	        6.51708E-09  	        0.00000E+00  	        3.86236E-05  	        6.90979E-02  	        1.16936E-08  	        6.54032E-16  	        7.92823E-09  	        5.95473E-01  	        6.80614E-09  	        2.42249E-08  	        1.29852E-03  	        1.12272E-11  	        5.10337E-11  	        5.39168E-09  	        1.47023E-11  	        1.26475E-13  	        1.59408E-16  	        9.04916E-12  	        9.45031E-12  	        2.36590E-11  	        1.91280E-11  	        6.09191E-11  	        7.29484E-11  	        5.83675E-14  	        2.01558E-07  	        8.27522E-11  	        3.20488E-06  	        5.18962E-09  	        5.59471E-10  	        2.74204E-11  	        3.93264E-12  	        1.15889E-10  	        4.05980E-11  	        1.90398E-12  	        4.48216E-15  	        2.96169E-14  	        9.70080E-12  	        8.98801E-16  	        1.3972E-254  	        3.66662E-28  	        3.18114E-83  	        5.25269E-18  	        2.82618E-21  	        5.53439E-17  	        3.81029E-17  	        2.59120E-16  	        1.12412E-16  	        7.68995E-16  	        1.68073E-13  	        4.46673E-12  	        5.00116E-15  	        1.57508E-14
        1.00053E-02  	        1.84827E+03  	        1.88116E-01  	        1.01325E+05  	        4.44627E-20  	        5.27825E-13  	        7.77826E-08  	        1.88023E-19  	        6.36002E-12  	        1.19864E-19  	        5.03074E-10  	        7.58432E-13  	        4.80523E-11  	        2.90399E-10  	        9.53613E-14  	        6.68220E-13  	        1.48083E-21  	        7.06474E-13  	        1.75011E-13  	        2.88093E-11  	        2.82407E-15  	        1.20399E-79  	        2.40332E-13  	        1.69708E-08  	        1.68179E-14  	        1.29872E-15  	        1.06113E-18  	        6.38644E-09  	        5.95334E-53  	        1.31806E-15  	        2.19922E-10  	        2.64258E-32  	        1.14900E-04  	        2.41165E-12  	        2.20005E-18  	        2.81188E-11  	        3.12730E-13  	        2.77568E-11  	        4.77934E-14  	        4.29247E-15  	        5.54444E-15  	        1.73031E-11  	        1.21252E-10  	        1.72000E-06  	        6.07290E-15  	        4.50696E-11  	        1.08096E-15  	        3.96953E-17  	        1.03246E-15  	        1.37033E-11  	        4.78505E-09  	        7.46651E-06  	        6.56635E-16  	        3.38848E-10  	        3.48595E-13  	        9.22126E-05  	        1.27232E-16  	        1.96882E-01  	        1.36911E-01  	        8.45227E-09  	        0.00000E+00  	        3.49280E-05  	        6.92577E-02  	        2.68895E-08  	        2.72315E-16  	        2.24222E-08  	        5.95404E-01  	        2.11243E-08  	        3.06132E-08  	        1.29023E-03  	        6.34794E-11  	        1.05354E-11  	        2.48704E-10  	        5.34009E-11  	        1.85937E-15  	        8.27260E-17  	        6.87307E-12  	        3.92697E-12  	        1.01068E-11  	        1.65417E-11  	        6.52536E-11  	        4.50533E-11  	        5.23921E-14  	        2.00582E-07  	        3.03153E-10  	        3.64201E-06  	        6.07588E-09  	        2.47104E-10  	        7.41853E-12  	        6.20208E-13  	        9.86386E-11  	        2.77864E-11  	        1.53075E-14  	        2.43772E-15  	        8.73800E-16  	        4.10454E-11  	        2.02648E-17  	        2.1853E-254  	        1.09478E-71  	        4.41888E-83  	        1.69334E-17  	        1.98810E-39  	        7.18532E-19  	        7.07208E-18  	        1.06960E-15  	        1.55750E-18  	        4.43655E-17  	        9.98034E-16  	        2.17564E-12  	        1.95286E-18  	        2.62708E-18
