            time[ms]	                  AR	                  N2	                A1CO	                H2O2	                  CH	               TXCH2	          CVCCVCCJVO	              CH2CHO	               CH2OH	                 A1X	             TXC5H5O	              OC6H4O	             C2H3CHO	              NXC4H5	             C5H4CH2	                C3H3	               SXCH2	               A1CHO	              A1CH2O	          C6H5CYCH2O	            C6H5OCH2	             C5H4CH3	                C5H6	           C5H5CH3X1	                C3H2	              AXC3H4	                A1OH	            C6H6OX24	               CH2CO	                HCCO	                C2H3	                 CH4	                C2H6	              AXC3H5	                C3H6	                CH3O	                C2H2	                C5H5	                   O	                  A1	                 HCO	                CH2O	                 HO2	                   H	                C2H4	                C2H5	                 A1O	                 CH3	                  OH	                  CO	            C6H5OCH3	                 CO2	                  O2	                  H2	                 H2O	            OC8H7OOH	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        0.000000E+00	        1.330950E-13	        6.138535E-21	        1.120471E-17	        1.029033E-21	        4.139335E-17	        3.286310E-26	        3.213840E-17	        6.415970E-19	        3.797000E-10	        2.197575E-18	        3.254226E-14	        3.609210E-17	        1.732966E-17	        7.475085E-25	        1.738277E-14	        8.154243E-19	       -1.182554E-29	        1.680324E-29	        0.000000E+00	        5.411993E-18	        6.634410E-22	        1.106832E-19	        1.999620E-21	        6.695112E-19	        1.133736E-15	        1.091730E-18	        1.818833E-19	        1.127152E-14	        1.523083E-19	        1.990604E-16	        1.937810E-19	        5.177450E-22	        2.543652E-15	        1.726224E-22	        4.073072E-15	        1.793591E-14	        2.907100E-13	        5.948069E-11	        1.795983E-23	        1.472030E-12	        3.187705E-08	        1.165951E-10	        3.138394E-08	        5.407353E-18	        2.232755E-18	        1.026381E-12	        1.029967E-12	        3.812940E-10	        3.810096E-10	        5.517586E-22	        1.107097E-15	        6.264274E-13	        6.682578E-15	        1.195757E-14	        0.000000E+00	        0.000000E+00	        1.511175E-15	        4.944755E-18	        6.508988E-21	        1.099235E-24	        9.282070E-28	        1.164250E-16	        0.000000E+00	        1.736926E-11	        0.000000E+00	        1.164353E-16	        1.997528E-24	        2.366920E-16	        7.414190E-16	        2.625773E-21	        7.634611E-22	        2.242190E-20	        4.164757E-40	        0.000000E+00	        1.179846E-25	        0.000000E+00	        1.788498E-17	        2.409420E-19	        0.000000E+00	        0.000000E+00	        4.162760E-30	        0.000000E+00	        0.000000E+00	        4.218420E-35	        0.000000E+00	        3.570020E-31	        0.000000E+00	        0.000000E+00	        2.306670E-21	        3.752605E-25	        0.000000E+00
        2.000000E-03	        0.000000E+00	        2.923247E-13	        1.083205E-17	        1.233809E-15	        5.569510E-20	        7.009285E-15	        1.514700E-14	        1.148665E-14	        2.667432E-16	        1.339430E-08	        2.251873E-15	        1.162984E-12	        2.267194E-14	        1.157974E-14	        4.841217E-19	        1.255841E-12	        9.744361E-16	        2.842688E-23	        1.067944E-23	        0.000000E+00	        8.771136E-16	        1.930954E-18	        1.268161E-16	        5.680620E-18	        4.993451E-17	        1.211170E-13	        3.750665E-15	        2.867592E-16	        1.000555E-12	        1.284061E-16	        1.676632E-14	        1.049825E-16	        1.267558E-18	        1.880150E-13	        3.530768E-19	        2.381116E-13	        1.298738E-12	        9.297535E-12	        1.978200E-10	        1.919001E-19	        2.362061E-11	        2.354247E-07	        9.024323E-10	        2.211899E-07	        4.709768E-15	        1.180494E-15	        3.372348E-11	        3.399457E-11	        1.353852E-08	        1.342469E-08	        9.897415E-19	        2.821703E-14	        1.171735E-11	        1.685521E-13	        1.410979E-12	        0.000000E+00	        2.943597E-26	        6.933203E-14	        4.938014E-16	        3.166275E-18	        1.703347E-18	        1.428640E-22	        4.767886E-16	        1.325701E-17	        1.755321E-11	        3.840436E-20	        4.842090E-16	        4.837827E-21	        3.767922E-14	        5.286191E-14	        1.270112E-18	        5.905456E-19	        1.159660E-17	        1.233739E-34	        5.769440E-23	        1.514026E-21	        3.289682E-22	        1.858458E-15	        1.238390E-16	        2.381902E-17	        1.349450E-15	        1.192060E-26	        0.000000E+00	        1.530160E-10	        1.706882E-31	        7.446864E-23	        2.176253E-26	        0.000000E+00	        0.000000E+00	        1.196133E-18	        8.949275E-22	        0.000000E+00
        3.100000E-03	        0.000000E+00	        5.412977E-13	        2.893711E-15	        5.725249E-14	        2.289363E-18	        7.447569E-13	        3.480601E-12	        1.878718E-12	        3.708258E-14	        3.032190E-07	        2.037548E-12	        2.219983E-11	        3.504248E-12	        2.575958E-12	        2.009651E-15	        4.025545E-11	        1.053627E-13	        3.593792E-14	        7.748448E-21	        3.042800E-13	        1.097685E-13	        1.361039E-15	        1.621669E-14	        3.896817E-15	        1.633116E-15	        5.575442E-12	        6.767185E-13	        2.754425E-14	        3.597326E-11	        3.035470E-14	        1.061035E-12	        1.895121E-14	        8.305603E-16	        7.461819E-12	        1.022628E-16	        6.373267E-12	        4.211832E-11	        1.652744E-10	        4.620174E-10	        8.809974E-15	        2.545543E-10	        1.499634E-06	        5.084211E-09	        1.191919E-06	        9.092027E-13	        2.051847E-13	        6.658123E-10	        6.772308E-10	        3.037428E-07	        3.036509E-07	        5.180270E-16	        1.019872E-12	        1.329260E-10	        3.716799E-12	        6.924557E-11	        0.000000E+00	        2.367154E-23	        3.198173E-13	        3.903538E-14	        5.997724E-16	        1.697756E-15	        3.639709E-20	        2.769237E-15	        3.659856E-15	        1.901858E-11	        4.612613E-17	        7.697581E-15	        4.842459E-19	        1.520399E-12	        1.744280E-12	        2.221758E-16	        1.256759E-16	        2.007818E-15	        3.019988E-28	        2.402220E-19	        5.849588E-20	        2.957604E-19	        1.608761E-09	        2.116200E-14	        3.403317E-15	        1.936170E-13	        3.614530E-15	        4.153710E-12	        2.179750E-08	        6.008650E-16	        9.812602E-20	        9.299988E-23	        0.000000E+00	        1.161390E-29	        2.091533E-16	        6.015335E-19	        0.000000E+00
        4.100000E-03	        0.000000E+00	        6.969892E-12	        1.475071E-13	        1.277383E-12	        1.133862E-16	        3.003579E-11	        1.539092E-10	        8.251370E-11	        1.862565E-12	        3.358851E-06	        1.047510E-10	        1.962020E-10	        1.573960E-10	        1.231027E-10	        2.697137E-13	        4.949924E-10	        5.525020E-12	        1.820070E-12	        5.698077E-19	        1.327735E-11	        4.461917E-12	        1.712989E-13	        1.003644E-12	        4.599659E-13	        2.040983E-14	        1.178675E-10	        1.745495E-11	        1.399878E-12	        5.023676E-10	        1.815751E-12	        4.193601E-11	        9.835922E-13	        1.035201E-13	        1.478169E-10	        1.772518E-14	        7.360454E-11	        5.319529E-10	        1.442796E-09	        3.435135E-09	        4.507898E-13	        2.064505E-09	        7.708366E-06	        1.947037E-08	        4.334928E-06	        4.165527E-11	        9.614824E-12	        6.717800E-09	        7.027158E-09	        3.363807E-06	        3.362992E-06	        5.320554E-14	        2.821119E-11	        1.067899E-09	        4.851555E-11	        1.440681E-09	        0.000000E+00	        1.679108E-20	        2.258472E-12	        1.493413E-12	        3.666253E-14	        1.361178E-13	        6.593969E-18	        1.325638E-14	        1.748802E-13	        2.557381E-11	        9.529278E-15	        4.100352E-13	        6.246586E-17	        2.880800E-11	        2.297443E-11	        1.110744E-14	        8.419900E-15	        2.338542E-13	        7.333366E-22	        1.158400E-16	        6.337425E-18	        6.079430E-17	        5.140435E-07	        9.894820E-13	        8.670525E-11	        8.081230E-12	        2.052341E-13	        2.293770E-10	        9.049230E-07	        2.768762E-13	        2.472645E-17	        4.489075E-20	        4.789925E-21	        7.382258E-26	        1.034004E-14	        7.746295E-17	        2.982386E-19
        5.000000E-03	        0.000000E+00	        1.632944E-10	        3.407022E-12	        2.569149E-11	        5.078991E-15	        6.345946E-10	        3.269325E-09	        1.752992E-09	        5.039657E-11	        2.102882E-05	        2.320599E-09	        1.062705E-09	        3.025386E-09	        2.471779E-09	        1.111626E-11	        3.185084E-09	        1.315263E-10	        3.045193E-11	        6.555922E-11	        2.201268E-10	        9.297372E-11	        7.213000E-12	        3.738975E-11	        1.775620E-11	        1.333645E-13	        1.672223E-09	        3.485033E-10	        4.054205E-11	        4.141052E-09	        4.813177E-11	        9.277938E-10	        2.702748E-11	        5.055382E-12	        2.072911E-09	        2.183605E-12	        5.680752E-10	        3.681464E-09	        7.902690E-09	        3.676821E-08	        7.687896E-12	        1.570845E-08	        3.264287E-05	        6.516854E-08	        1.159122E-05	        8.586803E-10	        2.000236E-10	        4.011146E-08	        4.521806E-08	        2.108031E-05	        2.106339E-05	        2.048547E-12	        5.369083E-10	        8.762494E-09	        4.579701E-10	        1.960058E-08	        0.000000E+00	        5.948866E-18	        1.828686E-11	        3.178878E-11	        1.303662E-12	        4.975335E-12	        7.373734E-16	        5.865025E-14	        4.241195E-12	        4.806136E-11	        8.410408E-13	        1.319865E-11	        8.718777E-15	        3.783850E-10	        1.706794E-10	        2.915809E-12	        3.591311E-13	        7.641228E-12	        4.976256E-19	        1.569400E-14	        4.935056E-16	        6.527154E-15	        1.337834E-05	        2.099850E-11	        2.853596E-09	        1.705250E-10	        4.745995E-12	        5.226860E-09	        1.918900E-05	        7.985427E-12	        3.597277E-15	        9.755432E-18	        9.315275E-19	        6.510168E-23	        2.498745E-13	        3.693811E-15	        7.151537E-17
        6.000000E-03	        0.000000E+00	        4.309065E-09	        9.835163E-11	        1.043347E-09	        4.555732E-13	        1.474371E-08	        5.860603E-08	        3.942920E-08	        1.986143E-09	        1.241595E-04	        4.411597E-08	        4.120451E-09	        4.571405E-08	        3.966452E-08	        3.590282E-10	        1.708505E-08	        3.802043E-09	        4.189916E-10	        1.686707E-09	        3.025795E-09	        2.151560E-09	        2.437044E-10	        1.442506E-09	        4.833710E-10	        7.209899E-13	        2.948559E-08	        9.932230E-09	        1.379832E-09	        4.042960E-08	        1.596167E-09	        2.435738E-08	        1.042851E-09	        2.781268E-10	        3.788746E-08	        3.991567E-10	        6.478253E-09	        2.507100E-08	        3.221835E-08	        5.403375E-07	        1.145065E-10	        1.890205E-07	        1.542303E-04	        3.608947E-07	        3.028229E-05	        1.731277E-08	        3.980461E-09	        2.312044E-07	        3.301834E-07	        1.248979E-04	        1.245656E-04	        5.702997E-11	        1.315221E-08	        1.449450E-07	        7.437524E-09	        3.723766E-07	        0.000000E+00	        1.818113E-15	        2.214286E-10	        8.278971E-10	        6.479106E-11	        2.424080E-10	        1.410889E-13	        5.883492E-13	        1.555559E-10	        1.501819E-10	        8.714508E-11	        5.077808E-10	        2.600907E-12	        6.575884E-09	        1.312567E-09	        1.900633E-10	        2.746635E-11	        2.158928E-10	        4.331115E-16	        1.840320E-12	        4.674046E-14	        3.757674E-11	        3.418334E-04	        4.553160E-10	        8.299008E-08	        3.929840E-09	        1.252091E-10	        1.368120E-07	        4.496370E-04	        2.151747E-10	        8.682909E-13	        1.683913E-15	        1.672201E-16	        5.386405E-17	        7.974109E-12	        2.068132E-13	        1.684507E-14
        7.000000E-03	        0.000000E+00	        7.491416E-08	        2.365890E-09	        2.465199E-08	        3.039318E-11	        2.468928E-07	        3.263315E-07	        5.699290E-07	        6.279355E-08	        5.662058E-04	        2.633545E-07	        1.259180E-08	        2.491411E-07	        2.222276E-07	        3.623432E-09	        1.280047E-07	        7.870886E-08	        2.170301E-09	        9.551757E-09	        1.566581E-08	        3.424047E-08	        2.804807E-09	        1.596045E-08	        3.555008E-09	        1.054546E-11	        3.198662E-07	        1.189480E-07	        2.637037E-08	        4.116813E-07	        5.309645E-08	        4.163874E-07	        2.545013E-08	        8.130181E-09	        4.507898E-07	        2.172154E-08	        8.266257E-08	        1.777388E-07	        1.189611E-07	        6.200584E-06	        1.058348E-09	        2.296071E-06	        6.349189E-04	        2.932139E-06	        7.241913E-05	        2.406837E-07	        5.210187E-08	        1.112222E-06	        2.532095E-06	        5.749322E-04	        5.703401E-04	        7.873966E-10	        2.867012E-07	        2.414102E-06	        1.509166E-07	        5.707615E-06	        0.000000E+00	        1.272868E-13	        2.220408E-09	        1.595160E-08	        1.927905E-09	        6.709096E-09	        1.565148E-11	        1.555387E-11	        3.830708E-09	        6.326577E-10	        2.953256E-09	        1.179145E-08	        3.352201E-10	        8.132735E-08	        9.952607E-09	        4.245435E-09	        1.431465E-09	        4.596507E-09	        9.261183E-14	        6.744320E-11	        2.721313E-12	        1.061863E-09	        5.693097E-03	        6.752000E-09	        1.574416E-06	        5.649260E-08	        2.210051E-09	        2.379230E-06	        6.691250E-03	        3.918550E-09	        9.057258E-11	        1.477975E-13	        1.929164E-14	        1.712104E-14	        2.338694E-10	        9.328841E-12	        2.487667E-12
        8.000000E-03	        0.000000E+00	        6.448214E-07	        2.704243E-08	        1.938750E-07	        8.206504E-10	        2.310525E-06	        1.013196E-06	        4.236906E-06	        8.894525E-07	        2.361874E-03	        8.408771E-07	        5.904213E-08	        6.657568E-07	        6.953946E-07	        1.397187E-08	        9.166034E-07	        7.570018E-07	        3.353279E-09	        1.542440E-08	        2.400129E-08	        2.985236E-07	        1.663571E-08	        8.131839E-08	        1.082187E-08	        2.994218E-10	        1.419820E-06	        5.844799E-07	        3.397926E-07	        2.520646E-06	        9.589788E-07	        3.232473E-06	        2.314820E-07	        7.706298E-08	        2.942948E-06	        2.582787E-07	        5.461349E-07	        1.080024E-06	        6.848787E-07	        4.575694E-05	        1.281788E-08	        1.847121E-05	        2.515824E-03	        1.904069E-05	        1.857120E-04	        1.755328E-06	        4.638815E-07	        4.930560E-06	        1.667465E-05	        2.427639E-03	        2.389567E-03	        7.823923E-09	        4.046256E-06	        2.225140E-05	        1.872300E-06	        4.778700E-05	        0.000000E+00	        2.868706E-12	        1.483776E-08	        1.625274E-07	        2.949382E-08	        7.864584E-08	        6.062086E-10	        3.952624E-10	        3.416266E-08	        2.740399E-09	        2.886661E-08	        1.370223E-07	        1.058471E-08	        5.171843E-07	        6.852263E-08	        4.300516E-08	        2.982814E-08	        6.170261E-08	        6.181371E-12	        7.041560E-10	        7.263593E-11	        1.035861E-08	        4.490329E-02	        5.644130E-08	        1.260990E-05	        3.869490E-07	        1.518292E-08	        1.557630E-05	        4.795730E-02	        3.587602E-08	        2.158710E-09	        4.567158E-12	        9.381695E-13	        1.019781E-12	        4.414553E-09	        2.136198E-10	        1.315418E-10
        9.000000E-03	        0.000000E+00	        2.742138E-06	        1.522207E-07	        6.843373E-07	        1.102394E-08	        1.280097E-05	        3.537032E-06	        2.122865E-05	        4.720044E-06	        9.126688E-03	        3.089559E-06	        2.822345E-07	        2.172268E-06	        3.199889E-06	        5.640695E-08	        3.049354E-06	        3.455372E-06	        6.136680E-09	        2.851877E-08	        4.527490E-08	        1.918117E-06	        1.072206E-07	        5.593185E-07	        3.481896E-08	        3.144236E-09	        3.807812E-06	        2.633419E-06	        3.219495E-06	        7.844070E-06	        7.027732E-06	        1.472036E-05	        9.621020E-07	        2.725979E-07	        1.806977E-05	        1.421275E-06	        1.587541E-06	        4.475797E-06	        3.666467E-06	        2.455703E-04	        1.405369E-07	        9.248756E-05	        9.460519E-03	        7.611035E-05	        5.365413E-04	        8.944630E-06	        3.367360E-06	        2.250636E-05	        8.449742E-05	        9.477351E-03	        9.239589E-03	        4.451526E-08	        3.342741E-05	        1.344086E-04	        1.339641E-05	        2.463906E-04	        0.000000E+00	        3.174545E-11	        7.427491E-08	        9.126377E-07	        3.019941E-07	        4.976329E-07	        1.170249E-08	        7.923307E-09	        1.099698E-07	        1.347388E-08	        1.025027E-07	        1.030605E-06	        1.175346E-07	        1.816449E-06	        3.346821E-07	        5.264185E-07	        3.257318E-07	        6.282979E-07	        2.103922E-10	        2.533700E-09	        1.034801E-09	        5.128804E-08	        1.782106E-01	        3.199920E-07	        4.972724E-05	        1.342270E-06	        6.225054E-08	        5.527040E-05	        1.766790E-01	        1.840340E-07	        1.966136E-08	        7.380388E-11	        2.123304E-11	        1.887504E-11	        4.749512E-08	        1.816713E-09	        2.120421E-09
        1.001150E-02	        0.000000E+00	        8.603347E-06	        6.179796E-07	        2.040816E-06	        2.017963E-07	        6.913456E-05	        9.085353E-06	        1.134737E-04	        1.236819E-05	        3.082934E-02	        9.580260E-06	        1.208597E-06	        4.803674E-06	        1.715402E-05	        2.792991E-07	        1.164457E-05	        1.217489E-05	        7.385156E-09	        4.290207E-08	        5.569420E-08	        9.622510E-06	        5.764005E-07	        5.289961E-06	        9.142201E-08	        3.600333E-08	        1.367491E-05	        1.506196E-05	        3.646572E-05	        1.801712E-05	        3.751606E-05	        6.463384E-05	        3.578539E-06	        7.038839E-07	        1.184320E-04	        1.000096E-05	        2.925691E-06	        1.615932E-05	        1.823385E-05	        1.559577E-03	        1.725611E-06	        3.595730E-04	        3.141349E-02	        1.957648E-04	        2.120544E-03	        5.790469E-05	        2.615232E-05	        1.242578E-04	        4.191819E-04	        3.301887E-02	        3.115225E-02	        1.650383E-07	        2.347097E-04	        1.004164E-03	        1.024149E-04	        1.108108E-03	        0.000000E+00	        3.077220E-10	        4.405249E-07	        3.837031E-06	        4.201789E-06	        2.884728E-06	        2.229003E-07	        2.574542E-07	        1.458210E-07	        1.503942E-07	        1.830709E-07	        8.786132E-06	        8.159639E-07	        3.776563E-06	        1.178257E-06	        3.087403E-06	        2.461560E-06	        6.753165E-06	        1.134407E-08	        4.423650E-09	        1.313077E-08	        2.393850E-07	        5.187131E-01	        1.770080E-06	        1.036179E-04	        2.489290E-06	        2.952309E-07	        1.044400E-04	        4.164760E-01	        1.705094E-06	        1.950955E-07	        4.742779E-10	        6.151340E-10	        3.374188E-10	        3.317971E-07	        6.919866E-09	        1.724387E-08
