            time[ms]	                  AR	                  N2	                A1CO	                H2O2	                  CH	               TXCH2	          CVCCVCCJVO	              CH2CHO	               CH2OH	                 A1X	             TXC5H5O	              OC6H4O	             C2H3CHO	              NXC4H5	             C5H4CH2	                C3H3	               SXCH2	               A1CHO	              A1CH2O	          C6H5CYCH2O	            C6H5OCH2	             C5H4CH3	                C5H6	           C5H5CH3X1	                C3H2	              AXC3H4	                A1OH	            C6H6OX24	               CH2CO	                HCCO	                C2H3	                 CH4	                C2H6	              AXC3H5	                C3H6	                CH3O	                C2H2	                C5H5	                   O	                  A1	                 HCO	                CH2O	                 HO2	                   H	                C2H4	                C2H5	                 A1O	                 CH3	                  OH	                  CO	            C6H5OCH3	                 CO2	                  O2	                  H2	                 H2O	            OC8H7OOH	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        0.000000E+00	        0.000000E+00	        3.947406E-20	       -2.029386E-16	        6.784863E-21	        1.098708E-16	        5.939943E-28	        3.326185E-18	        2.991966E-21	        1.186099E-09	        6.292177E-21	        5.576578E-14	        3.979222E-17	       -8.286689E-18	        2.204851E-24	        2.168853E-14	        1.651685E-21	       -4.050966E-20	        2.226131E-31	        0.000000E+00	        1.730693E-17	        1.529708E-24	       -7.059565E-20	        1.591698E-24	        1.510133E-18	        2.009287E-15	        1.360484E-17	       -2.844833E-17	        1.070561E-14	        1.374744E-20	        5.140147E-16	       -3.147781E-16	        7.598133E-25	        4.169305E-15	       -6.834607E-15	       -8.401584E-08	        3.394829E-14	        7.709051E-13	        4.131393E-10	        9.895912E-25	        1.190316E-12	        8.519973E-08	        9.568411E-11	        8.391969E-08	       -1.823784E-15	        7.830513E-20	        4.070321E-12	        4.862964E-12	        1.190172E-09	        1.468189E-09	       -4.929479E-12	       -2.801800E-10	       -1.642729E-10	       -3.681537E-14	       -2.422471E-18	       -1.186099E-09	        0.000000E+00	        0.000000E+00	        9.859602E-18	        2.776505E-22	        3.418731E-32	        3.410618E-31	        4.384184E-34	        0.000000E+00	        4.045960E-49	       -1.029284E-17	       -4.076014E-26	        4.104720E-26	       -1.746771E-15	        1.746770E-15	        5.529112E-22	        4.332400E-19	        1.061781E-21	        2.137888E-43	        0.000000E+00	        3.588590E-28	       -3.381117E-17	        3.380178E-17	        9.387825E-21	        0.000000E+00	        0.000000E+00	        9.317036E-33	        0.000000E+00	        0.000000E+00	        4.492828E-37	        0.000000E+00	        1.975202E-33	        0.000000E+00	        0.000000E+00	        4.417985E-24	        7.151072E-28	        0.000000E+00
        2.000000E-03	        0.000000E+00	        2.804748E-31	        4.198415E-17	       -2.119743E-14	        3.799614E-19	        9.859814E-15	        6.179773E-14	       -4.313974E-14	        1.131953E-18	        4.687000E-08	       -6.726337E-14	        2.228689E-12	        1.998358E-14	       -1.307120E-14	        3.510161E-18	        1.370621E-12	       -4.133113E-15	       -4.308525E-17	        1.971831E-27	        0.000000E+00	        6.614872E-16	       -3.320477E-18	       -6.763286E-17	       -4.819885E-17	        1.071216E-16	        1.827458E-13	        3.273281E-14	       -6.790758E-14	        8.735547E-13	        3.592421E-18	        3.065386E-14	       -2.019851E-14	       -3.191163E-20	        1.991480E-13	       -4.315758E-13	       -6.041907E-07	        2.331066E-12	        2.984927E-11	        4.725008E-10	        5.142119E-20	        1.097082E-11	        6.510327E-07	        6.733707E-10	        6.035008E-07	       -1.110493E-13	       -4.367554E-15	        1.537583E-10	        1.843327E-10	        4.694809E-08	        4.721160E-08	       -1.880363E-10	       -2.876340E-10	       -8.087653E-10	       -4.327447E-13	        5.837734E-15	       -4.687000E-08	        8.596461E-31	        1.963189E-32	        5.786756E-16	        4.558988E-20	        2.823294E-18	        5.528518E-27	        2.591709E-20	        2.450791E-17	        3.030179E-33	       -6.326071E-16	        1.024450E-17	        4.661766E-23	       -6.853515E-14	        6.856334E-14	        3.913855E-20	        2.660142E-17	       -1.010694E-17	        1.512672E-38	        7.589142E-26	        4.100793E-25	       -2.085329E-15	       -2.730597E-10	        1.426973E-18	        3.878300E-17	        1.865359E-15	       -2.844174E-17	        0.000000E+00	        2.730599E-10	        2.946181E-33	        1.497125E-25	        3.713720E-29	        0.000000E+00	        0.000000E+00	        3.940415E-21	        2.511241E-24	        0.000000E+00
        3.100000E-03	        0.000000E+00	        8.314000E-26	        9.708884E-15	       -8.077641E-13	        1.395123E-17	       -7.755394E-14	        6.487112E-12	       -7.179569E-12	       -4.261473E-14	        1.084119E-06	       -8.855716E-12	        3.859938E-11	        2.854467E-12	       -7.221260E-13	        7.846452E-15	        3.958395E-11	        2.851815E-14	        4.605982E-14	       -3.938353E-13	        5.699368E-13	       -3.078677E-13	       -7.736164E-15	       -1.406632E-14	       -3.734412E-14	        3.319662E-15	        8.721396E-12	        1.597166E-12	       -3.337626E-12	        3.134209E-11	       -2.807217E-14	        3.803047E-13	       -6.338319E-13	       -1.447923E-16	        2.482391E-12	       -1.316612E-11	       -3.247657E-06	        7.186894E-11	        4.871046E-10	        9.887580E-10	        1.532756E-14	        1.879802E-11	        4.331619E-06	        3.621109E-09	        3.243961E-06	       -2.630583E-12	       -9.121218E-13	        3.486180E-09	        3.986672E-09	        1.084899E-06	        1.085311E-06	       -4.078145E-09	       -3.558730E-10	       -4.429197E-09	       -3.765618E-13	        4.095753E-13	       -1.084119E-06	        5.151431E-26	        1.539910E-26	        1.127723E-14	       -4.728102E-16	        4.791687E-16	        1.499520E-22	        1.217593E-17	        4.482047E-15	        4.608118E-27	       -1.872607E-14	        6.999978E-15	        1.516213E-19	       -1.426377E-12	        1.629241E-12	        2.265517E-18	        7.831698E-16	       -4.815033E-15	        8.244203E-31	        4.767959E-22	        1.110424E-22	       -6.297438E-14	       -3.964767E-08	        1.316654E-16	       -1.293590E-11	        8.844632E-14	        4.271078E-15	        1.292755E-11	        3.964745E-08	        1.933173E-15	       -8.561873E-23	        2.341604E-25	        0.000000E+00	        5.629804E-32	        9.828928E-19	        1.947536E-21	        0.000000E+00
        4.100000E-03	        0.000000E+00	        2.299353E-22	        1.329522E-13	       -1.315611E-11	        4.296512E-16	       -2.729427E-11	        2.212917E-10	       -2.992030E-10	       -3.546441E-12	        1.125235E-05	       -3.258467E-10	        3.389205E-10	        1.242259E-10	       -3.684055E-11	        1.010306E-12	        4.392041E-10	       -3.514256E-12	        2.421650E-12	       -2.022144E-11	        2.489362E-11	       -1.095706E-11	       -9.998094E-13	       -6.415552E-13	       -4.359752E-12	        3.224670E-14	        2.157453E-10	        5.137781E-11	       -1.080688E-10	        4.826187E-10	       -2.132265E-12	        4.713926E-12	       -8.353996E-12	       -2.316463E-14	       -9.380906E-11	       -1.610601E-10	       -1.140054E-05	        8.694586E-10	        4.082068E-09	        6.110922E-09	        7.909000E-13	       -8.887377E-10	        2.265280E-05	        1.360756E-08	        1.138536E-05	       -5.702141E-12	       -3.846503E-11	        3.440900E-08	        3.864624E-08	        1.126012E-05	        1.126134E-05	       -3.956170E-08	       -1.023330E-09	       -2.133929E-08	        3.134481E-11	        1.117756E-11	       -1.125235E-05	        1.154382E-22	        5.082696E-23	       -9.156677E-14	       -7.424071E-14	       -1.049982E-13	       -2.754209E-17	        6.042112E-16	        1.766467E-13	        1.629007E-23	       -2.310933E-13	        5.908597E-13	        1.096815E-17	        7.737505E-12	        1.781021E-11	       -1.824431E-13	        9.460685E-15	       -9.219616E-14	        2.906642E-24	       -3.197380E-17	        1.358372E-20	       -7.999533E-13	       -1.323103E-06	        5.661781E-15	       -5.624328E-10	       -1.281410E-11	        2.883972E-13	        5.619274E-10	        1.323090E-06	        5.944758E-13	       -4.471084E-19	        1.237433E-22	        1.247389E-23	        4.429990E-28	        6.148334E-17	        2.550873E-19	        2.337823E-20
        5.000000E-03	        0.000000E+00	        1.349601E-19	       -1.301356E-11	       -1.902578E-10	        1.039613E-14	       -6.650798E-10	        3.868963E-09	       -5.629838E-09	       -1.048317E-10	        6.781048E-05	       -5.919323E-09	        1.775340E-09	        2.265209E-09	       -5.963854E-10	        3.976614E-11	        2.411491E-09	       -1.254670E-10	        3.863329E-11	       -2.544675E-10	        3.215681E-10	       -1.708433E-10	       -3.946919E-11	       -1.637129E-11	       -1.609917E-10	        1.646392E-13	        3.404009E-09	        1.214227E-09	       -2.548220E-09	        4.789038E-09	       -6.429691E-11	       -1.770970E-10	       -6.808578E-11	       -1.218410E-12	       -2.877378E-09	       -1.060192E-09	       -2.984503E-05	        5.842975E-09	        2.099269E-08	        5.341104E-08	        1.326182E-11	       -1.442607E-08	        9.766020E-05	        4.566388E-08	        2.978189E-05	        3.901895E-10	       -6.974319E-10	        2.006865E-07	        2.219562E-07	        6.787982E-05	        6.787564E-05	       -2.266125E-07	       -7.010342E-09	       -1.151046E-07	        2.452503E-10	        1.795497E-10	       -6.781043E-05	       -4.023248E-20	        1.223365E-19	       -4.744564E-12	       -3.240020E-12	       -7.045874E-12	       -9.363351E-15	        1.203863E-14	        2.573664E-12	        1.223844E-20	       -1.694054E-12	        2.099941E-11	        3.774685E-16	        4.749111E-10	        1.178718E-10	        3.004584E-12	        6.575419E-14	        3.965236E-13	        2.654872E-21	       -6.296587E-15	       -1.787575E-15	       -6.200322E-12	       -2.538743E-05	        1.294009E-13	       -1.106842E-08	       -3.225857E-10	        6.315772E-12	        1.105715E-08	        2.538716E-05	        5.625505E-12	       -6.873148E-17	        2.889344E-20	        3.600619E-21	        4.473380E-25	        1.761805E-15	        1.260942E-17	        2.415616E-18
        6.000000E-03	        0.000000E+00	        8.777950E-17	       -7.623005E-10	       -5.323575E-09	       -1.646535E-13	       -1.396782E-08	        4.633474E-08	       -8.524739E-08	       -3.778039E-09	        3.833204E-04	       -7.587639E-08	        6.520016E-09	        2.849733E-08	       -4.880273E-09	        9.619477E-10	        4.678681E-09	       -4.058841E-09	        3.808020E-10	       -1.993059E-09	        2.669745E-09	       -1.842867E-09	       -9.618882E-10	       -4.526212E-10	       -3.543463E-09	        5.512335E-13	        5.108573E-08	        3.060231E-08	       -6.429741E-08	        5.456453E-08	       -2.593095E-09	       -1.616881E-08	       -7.458639E-10	       -6.047967E-11	       -5.294819E-08	       -5.744968E-09	       -7.544041E-05	        4.222928E-08	        7.934283E-08	        6.742746E-07	        1.587526E-10	       -2.200471E-07	        4.588354E-04	        2.744101E-07	        7.493747E-05	        7.796052E-09	       -9.820813E-09	        1.135073E-06	        1.189178E-06	        3.841589E-04	        3.839290E-04	       -1.201244E-06	       -8.237437E-08	       -1.109174E-06	        5.349548E-10	        3.776748E-09	       -3.833193E-04	       -1.075528E-16	        1.416731E-16	       -8.958672E-11	       -1.320951E-10	       -3.181062E-10	       -1.395027E-12	       -1.479087E-13	       -2.318652E-11	        9.163829E-18	       -1.461329E-11	        7.487779E-10	        2.103092E-14	        1.095169E-08	        8.423882E-10	        2.750492E-10	        5.934855E-13	        3.852133E-11	       -2.328269E-17	       -7.172208E-13	       -2.027798E-13	       -1.284781E-11	       -4.943212E-04	       -1.820337E-10	       -2.585733E-07	       -5.870751E-09	        1.673292E-10	        2.582778E-07	        4.943152E-04	       -8.406475E-11	       -1.324720E-14	       -2.859194E-15	        7.923538E-19	       -1.340571E-18	        6.535247E-14	        7.408236E-16	        1.971405E-16
        7.000000E-03	        0.000000E+00	        1.848263E-13	       -9.173274E-09	       -8.904416E-08	       -2.577697E-11	       -1.803544E-07	        1.863175E-07	       -6.443438E-07	       -8.140341E-08	        1.730078E-03	       -3.256833E-07	        2.052897E-08	        1.229926E-07	       -1.774851E-08	        5.627207E-09	       -9.247451E-08	       -6.376112E-08	        4.955955E-10	       -6.545446E-09	        8.814281E-09	       -6.362294E-09	       -5.743721E-09	       -5.208142E-09	       -2.373398E-08	       -9.196601E-12	        3.157322E-07	        2.889484E-07	       -6.175480E-07	        4.643091E-07	       -7.876982E-08	       -3.184382E-07	       -9.779277E-09	       -1.256016E-09	       -3.455920E-07	       -2.026046E-08	       -1.684403E-04	        3.123326E-07	        2.935576E-07	        6.014656E-06	        7.067733E-10	       -2.145622E-06	        1.899176E-03	        2.219746E-06	        1.641384E-04	        7.422029E-08	       -8.566930E-08	        5.263660E-06	        5.283246E-06	        1.737400E-03	        1.734867E-03	       -5.247278E-06	       -6.625239E-07	       -9.464726E-06	       -1.341651E-08	        6.111875E-08	       -1.730070E-03	       -5.479799E-15	       -1.549675E-13	       -6.639278E-10	       -2.470112E-09	       -6.046668E-09	       -5.849472E-11	       -1.331000E-11	       -9.333954E-10	        3.478796E-15	       -1.498528E-10	        1.291040E-08	        1.042846E-12	        1.083551E-07	        5.758140E-09	        4.011895E-09	        1.220614E-11	        9.480628E-10	       -2.451256E-15	       -2.423320E-11	       -6.778823E-12	        3.475676E-10	       -4.730690E-03	       -3.983842E-09	       -2.970465E-06	       -4.479583E-08	        2.074949E-09	        2.966600E-06	        4.730621E-03	       -1.818215E-09	       -1.019752E-12	       -2.475858E-13	        9.777686E-17	       -7.984802E-16	        2.069191E-12	        1.767551E-14	        8.926002E-15
        8.000000E-03	        0.000000E+00	        2.235707E-11	       -4.959740E-08	       -6.163524E-07	       -6.717488E-10	       -1.357680E-06	        5.386512E-07	       -2.843931E-06	       -8.580882E-07	        6.541721E-03	       -9.903154E-07	        7.872828E-08	        3.876822E-07	       -1.456002E-08	        1.391006E-08	       -6.110041E-07	       -4.993091E-07	       -2.440639E-09	       -1.208082E-08	        1.586914E-08	       -1.017360E-08	       -1.466940E-08	       -2.321767E-08	       -8.694251E-08	       -2.713904E-10	        7.942214E-07	        1.186113E-06	       -2.627630E-06	        2.269721E-06	       -1.064488E-06	       -2.228971E-06	       -1.007926E-07	       -9.594651E-09	       -8.752184E-07	       -6.846262E-08	       -3.413433E-04	        1.677930E-06	        1.201472E-06	        3.611466E-05	        1.823983E-09	       -1.327246E-05	        6.886502E-03	        1.395986E-05	        3.132417E-04	        4.796281E-07	       -5.442647E-07	        1.929557E-05	        1.969767E-05	        6.584912E-03	        6.569075E-03	       -1.904220E-05	       -3.355649E-06	       -5.674960E-05	       -1.665598E-07	        5.937248E-07	       -6.541697E-03	       -6.666789E-14	       -2.059189E-11	       -2.335638E-09	       -2.708906E-08	       -4.967427E-08	       -1.076817E-09	       -3.442914E-10	       -4.500136E-09	        4.083714E-13	       -1.477551E-09	        1.088373E-07	        1.808553E-11	        5.466317E-07	        3.147781E-08	        2.880417E-08	        2.420925E-10	        8.632850E-09	       -6.166243E-14	       -2.905603E-10	       -1.161520E-10	        1.673687E-09	       -2.250503E-02	       -3.056674E-08	       -1.286120E-05	       -1.650254E-07	        1.040034E-08	        1.284129E-05	        2.250461E-02	       -1.884345E-08	       -2.198114E-11	       -6.023119E-12	        4.852199E-15	       -3.011112E-14	        3.747077E-11	       -7.994807E-13	        7.931571E-14
        9.000000E-03	        0.000000E+00	        4.216220E-10	       -2.991714E-07	       -2.119545E-06	       -1.007253E-08	       -5.939807E-06	        1.345670E-06	       -7.988949E-06	       -4.159620E-06	        2.092838E-02	       -2.809302E-06	        2.742286E-07	        1.610230E-06	       -2.717549E-07	        3.126264E-08	       -1.499719E-06	       -2.219938E-06	       -6.519860E-09	       -2.286744E-08	        2.885926E-08	       -7.135852E-09	       -3.249646E-08	       -6.284993E-08	       -2.674914E-07	       -2.635716E-09	        1.241339E-06	        3.924787E-06	       -8.913408E-06	        6.481043E-06	       -6.272239E-06	       -8.600746E-06	       -6.407587E-07	       -4.558714E-08	       -1.246745E-06	       -3.520028E-07	       -6.210407E-04	        6.053783E-06	        4.212491E-06	        1.594424E-04	        1.881072E-09	       -5.252937E-05	        2.156071E-02	        5.919637E-05	        4.830915E-04	        1.903017E-06	       -2.214729E-06	        5.897703E-05	        6.182607E-05	        2.111524E-02	        2.103628E-02	       -5.810815E-05	       -1.337932E-05	       -2.439616E-04	       -9.914523E-07	        3.343907E-06	       -2.092825E-02	       -4.236973E-13	       -3.595219E-10	       -1.573229E-09	       -2.021248E-07	       -1.840228E-07	       -1.311313E-08	       -6.118170E-09	       -8.016015E-09	        1.990428E-11	       -9.723207E-09	        5.643859E-07	       -4.441046E-11	        1.656170E-06	        1.215634E-07	        2.407750E-07	        2.629807E-09	        3.599580E-08	       -1.008785E-12	       -1.771719E-09	       -1.307902E-09	       -4.694010E-09	       -5.925977E-02	       -1.214099E-07	       -3.333864E-05	       -3.416991E-07	        4.035532E-08	        3.327250E-05	        5.925831E-02	       -2.448661E-07	       -2.356303E-10	       -1.826818E-10	        8.720157E-14	       -4.381954E-13	        2.846886E-10	       -2.752929E-11	       -5.013590E-12
        1.010000E-02	        0.000000E+00	        6.426747E-09	       -4.764189E-07	       -3.139597E-06	       -2.568403E-07	       -1.669905E-05	        1.009474E-06	       -7.146453E-06	       -1.012488E-05	        6.344230E-02	       -4.283206E-06	        6.778586E-07	        4.802703E-06	       -1.646267E-06	        6.390623E-08	       -1.749697E-06	       -7.521118E-06	       -9.098220E-09	       -1.726683E-08	        2.043385E-08	        8.694919E-08	       -6.116915E-08	       -1.341825E-07	       -5.614676E-07	       -1.339495E-08	        1.605676E-06	        1.141874E-05	       -2.581858E-05	        8.667174E-06	       -1.785684E-05	       -2.003723E-05	       -2.993501E-06	       -2.166381E-07	       -5.878039E-07	       -2.471470E-06	       -1.039169E-03	        1.493339E-05	        1.035587E-05	        7.838312E-04	       -2.217621E-08	       -1.200603E-04	        6.450572E-02	        1.898397E-04	        1.984583E-04	        3.189585E-06	       -4.550230E-06	        1.591533E-04	        1.630283E-04	        6.434225E-02	        6.374465E-02	       -1.544982E-04	       -8.192033E-05	       -1.040180E-03	       -4.169074E-06	        1.238250E-05	       -6.344287E-02	       -1.716306E-12	       -3.828150E-09	        2.361779E-08	       -1.789364E-06	        1.294955E-07	       -1.643264E-07	       -2.325106E-07	       -5.378415E-09	        9.351965E-10	       -3.925056E-08	        3.055080E-06	       -2.817147E-09	        2.027360E-06	        2.655648E-07	        1.606341E-06	        1.725293E-08	        3.584406E-07	       -1.668689E-11	       -7.386301E-09	       -1.347935E-08	       -1.081102E-07	        6.401638E-02	       -2.364553E-07	       -9.635515E-06	        3.049633E-07	        1.377829E-08	        9.559525E-06	       -6.401915E-02	       -2.353344E-06	       -2.292240E-09	       -1.080975E-09	        3.760257E-13	       -5.745567E-12	        4.648924E-10	       -2.318084E-10	       -2.056146E-10
