            time[ms]	                  AR	                  N2	                A1CO	                H2O2	                  CH	               TXCH2	          CVCCVCCJVO	              CH2CHO	               CH2OH	                 A1X	             TXC5H5O	              OC6H4O	             C2H3CHO	              NXC4H5	             C5H4CH2	                C3H3	               SXCH2	               A1CHO	              A1CH2O	          C6H5CYCH2O	            C6H5OCH2	             C5H4CH3	                C5H6	           C5H5CH3X1	                C3H2	              AXC3H4	                A1OH	            C6H6OX24	               CH2CO	                HCCO	                C2H3	                 CH4	                C2H6	              AXC3H5	                C3H6	                CH3O	                C2H2	                C5H5	                   O	                  A1	                 HCO	                CH2O	                 HO2	                   H	                C2H4	                C2H5	                 A1O	                 CH3	                  OH	                  CO	            C6H5OCH3	                 CO2	                  O2	                  H2	                 H2O	            OC8H7OOH	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -7.755757E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -8.195346E-18	       -0.000000E+00	        4.556988E-22	       -0.000000E+00	       -4.912080E-19	       -1.327561E-18	       -1.352699E-17	       -0.000000E+00	       -1.073503E-14	       -0.000000E+00	       -5.839493E-21	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -3.040126E-20	       -0.000000E+00	       -0.000000E+00	       -8.962264E-18	       -2.072662E-19	       -1.181646E-17	       -7.742862E-17	       -0.000000E+00	       -0.000000E+00	       -1.720142E-16	       -0.000000E+00	       -8.626333E-16	       -2.974070E-15	       -5.071574E-08	       -3.674328E-19	       -1.639747E-14	       -1.270496E-13	       -1.814987E-23	       -1.060057E-12	       -1.547212E-12	       -3.829421E-12	       -4.007859E-12	       -7.873025E-16	       -0.000000E+00	       -3.431300E-13	       -5.512314E-14	       -3.056525E-14	       -1.993619E-14	       -8.846262E-13	       -2.803327E-10	       -1.846961E-10	       -4.897764E-14	       -1.870393E-17	       -3.275700E-10	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -5.139320E-18	       -2.773391E-26	       -0.000000E+00	       -1.288401E-15	       -5.213805E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.840291E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00
        2.000000E-03	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -8.482051E-15	       -0.000000E+00	       -2.467179E-15	       -5.994670E-15	       -2.342049E-14	       -0.000000E+00	       -5.111903E-18	       -3.119858E-14	       -2.799720E-16	       -1.054742E-15	       -2.625374E-14	       -9.782849E-29	       -8.599613E-13	       -5.206620E-18	       -1.067548E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -8.854837E-19	       -3.212902E-17	       -1.610397E-17	       -0.000000E+00	       -1.511805E-15	       -3.079790E-16	       -2.038863E-14	       -8.432276E-15	       -0.000000E+00	       -3.915445E-15	       -2.385531E-14	       -6.103256E-21	       -9.913026E-14	       -2.155365E-13	       -3.451370E-07	       -2.009822E-16	       -1.103953E-12	       -1.872486E-12	       -4.527833E-20	       -2.104941E-11	       -2.280327E-11	       -5.661131E-11	       -7.121754E-11	       -6.356359E-14	       -2.173605E-15	       -1.172499E-11	       -3.063482E-12	       -2.674565E-12	       -7.057484E-14	       -2.551389E-11	       -2.861322E-10	       -9.978352E-10	       -2.260327E-12	       -6.380145E-16	       -1.088180E-08	       -0.000000E+00	       -0.000000E+00	       -1.784302E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -5.483593E-16	       -1.306585E-22	       -0.000000E+00	       -8.538246E-14	       -6.600145E-14	       -0.000000E+00	       -0.000000E+00	       -7.666354E-18	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.203050E-15	       -1.656416E-10	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -8.879990E-18	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -4.387100E-24	       -0.000000E+00	       -0.000000E+00
        3.100000E-03	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -3.278658E-13	       -0.000000E+00	       -6.515436E-13	       -4.057884E-12	       -3.949747E-12	       -4.862517E-14	       -6.073661E-14	       -6.044727E-12	       -5.088680E-14	       -1.912317E-13	       -4.309944E-12	       -1.613598E-17	       -2.841779E-11	       -2.206608E-15	       -3.311433E-15	       -2.676391E-13	       -0.000000E+00	       -1.548741E-13	       -2.499331E-15	       -7.721615E-15	       -1.358853E-14	       -0.000000E+00	       -9.276322E-14	       -2.521042E-14	       -9.118596E-13	       -3.730304E-13	       -3.188805E-14	       -1.187953E-12	       -2.808190E-12	       -5.461469E-17	       -5.038951E-12	       -9.936738E-12	       -1.834603E-06	       -4.286713E-14	       -3.635210E-11	       -7.421527E-11	       -5.687550E-17	       -2.606715E-10	       -2.225743E-10	       -4.710083E-10	       -6.488887E-10	       -3.850664E-12	       -4.854533E-13	       -1.773303E-10	       -7.949509E-11	       -1.219477E-10	       -1.021422E-12	       -5.003812E-10	       -3.406403E-10	       -5.599314E-09	       -8.628114E-11	       -2.612927E-14	       -2.397520E-07	       -0.000000E+00	       -0.000000E+00	       -5.382270E-15	       -4.310018E-16	       -1.489378E-15	       -0.000000E+00	       -0.000000E+00	       -1.221062E-15	       -0.000000E+00	       -5.004288E-14	       -8.039905E-19	       -0.000000E+00	       -2.703269E-12	       -2.358732E-12	       -0.000000E+00	       -4.033448E-20	       -4.012584E-15	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.304043E-13	       -2.471024E-08	       -0.000000E+00	       -4.680880E-12	       -6.850820E-14	       -3.784349E-15	       -0.000000E+00	       -2.563931E-09	       -0.000000E+00	       -1.107558E-22	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -2.317970E-19	       -0.000000E+00	       -0.000000E+00
        4.100000E-03	       -0.000000E+00	       -0.000000E+00	       -8.628010E-14	       -5.534620E-12	       -0.000000E+00	       -3.992425E-11	       -1.913889E-10	       -1.687494E-10	       -3.959764E-12	       -6.048753E-13	       -2.522542E-10	       -2.429630E-12	       -1.104066E-11	       -1.946388E-10	       -3.287959E-15	       -3.536929E-10	       -6.724437E-12	       -1.788248E-13	       -1.455840E-11	       -0.000000E+00	       -5.544507E-12	       -3.325873E-13	       -4.081846E-13	       -1.605734E-12	       -7.218861E-15	       -3.276232E-12	       -1.170085E-12	       -3.028773E-11	       -6.563562E-12	       -2.390044E-12	       -5.265632E-11	       -1.275313E-10	       -1.454713E-14	       -1.272717E-10	       -2.552888E-10	       -6.665180E-06	       -2.562727E-12	       -5.408451E-10	       -1.573646E-09	       -1.018928E-14	       -2.509117E-09	       -1.726762E-09	       -2.618376E-09	       -6.113560E-09	       -1.270321E-10	       -2.134296E-11	       -1.535165E-09	       -9.662300E-10	       -2.481692E-09	       -1.882049E-11	       -5.115693E-09	       -8.361893E-10	       -2.549866E-08	       -1.576455E-09	       -7.422897E-13	       -2.661870E-06	       -0.000000E+00	       -0.000000E+00	       -3.526338E-13	       -6.861675E-14	       -2.248523E-13	       -8.894656E-18	       -0.000000E+00	       -8.858981E-14	       -0.000000E+00	       -2.054095E-12	       -2.050950E-16	       -5.270136E-19	       -3.522011E-11	       -3.164542E-11	       -2.050495E-13	       -9.555705E-18	       -2.038833E-13	       -0.000000E+00	       -8.928770E-18	       -0.000000E+00	       -9.920848E-12	       -1.076630E-06	       -0.000000E+00	       -2.823670E-10	       -1.064620E-11	       -1.865304E-13	       -1.216340E-10	       -6.685503E-07	       -0.000000E+00	       -2.494424E-19	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -6.071657E-17	       -6.563211E-19	       -0.000000E+00
        5.000000E-03	       -0.000000E+00	       -1.212001E-25	       -6.663860E-12	       -8.294678E-11	       -0.000000E+00	       -8.416347E-10	       -3.878165E-09	       -3.334451E-09	       -1.161962E-10	       -1.586971E-11	       -4.923613E-09	       -5.105980E-11	       -3.141163E-10	       -3.595761E-09	       -1.743039E-13	       -2.275707E-09	       -1.990114E-10	       -4.583942E-12	       -2.435605E-10	       -8.473362E-11	       -8.960571E-11	       -1.394735E-11	       -1.357039E-11	       -6.069110E-11	       -7.318480E-14	       -1.175517E-10	       -2.766925E-11	       -7.363027E-10	       -7.966052E-11	       -7.223005E-11	       -1.247193E-09	       -2.874985E-09	       -1.593421E-12	       -2.108690E-09	       -4.246660E-09	       -1.775302E-05	       -7.241598E-11	       -5.195474E-09	       -2.236907E-08	       -6.517345E-13	       -2.218568E-08	       -1.402661E-08	       -1.560554E-08	       -5.564711E-08	       -2.454582E-09	       -4.008624E-10	       -8.300779E-09	       -8.529632E-09	       -3.351024E-08	       -2.819085E-10	       -3.038673E-08	       -5.285810E-09	       -1.260749E-07	       -1.814372E-08	       -1.570688E-11	       -1.661180E-05	       -2.639246E-19	       -0.000000E+00	       -1.379862E-11	       -3.022524E-12	       -1.002907E-11	       -3.619163E-15	       -1.580153E-15	       -2.913702E-12	       -2.290827E-23	       -4.496598E-11	       -3.031103E-14	       -3.298329E-16	       -2.662738E-10	       -2.401350E-10	       -7.994156E-12	       -1.309812E-15	       -5.008925E-12	       -0.000000E+00	       -2.367660E-15	       -1.293608E-15	       -2.157062E-10	       -2.325722E-05	       -0.000000E+00	       -6.584335E-09	       -2.732580E-10	       -4.185743E-12	       -3.893510E-09	       -1.718351E-05	       -3.170927E-12	       -6.332860E-17	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -5.470638E-15	       -1.619259E-16	       -3.019278E-17
        6.000000E-03	       -0.000000E+00	       -2.422178E-21	       -3.270031E-10	       -2.480564E-09	       -6.421896E-13	       -1.703883E-08	       -5.875070E-08	       -5.756427E-08	       -4.141857E-09	       -3.042444E-10	       -7.121801E-08	       -9.970870E-10	       -1.004009E-08	       -4.581622E-08	       -9.667482E-12	       -1.395355E-08	       -5.695304E-09	       -1.482324E-10	       -2.797342E-09	       -1.921399E-09	       -1.015422E-09	       -4.437833E-10	       -7.174744E-10	       -1.465183E-09	       -5.199590E-13	       -7.538906E-09	       -9.655113E-10	       -1.988706E-08	       -2.160549E-09	       -2.937636E-09	       -3.341404E-08	       -6.888482E-08	       -2.459901E-10	       -3.883728E-08	       -7.295204E-08	       -4.580607E-05	       -2.648929E-09	       -4.795084E-08	       -3.755736E-07	       -4.152526E-11	       -2.667633E-07	       -1.809351E-07	       -1.972613E-07	       -7.129978E-07	       -5.040556E-08	       -6.024342E-09	       -3.350170E-08	       -1.103831E-07	       -5.906581E-07	       -6.802281E-09	       -1.702114E-07	       -6.644403E-08	       -1.124793E-06	       -2.473350E-07	       -5.376802E-10	       -9.802480E-05	       -8.130732E-16	       -0.000000E+00	       -6.699292E-10	       -1.259389E-10	       -4.318758E-10	       -6.244221E-13	       -4.369509E-13	       -1.603690E-10	       -1.812548E-18	       -1.094533E-09	       -7.270257E-12	       -3.431657E-13	       -2.222313E-09	       -1.945754E-09	       -2.262402E-10	       -3.677616E-13	       -1.509763E-10	       -3.378433E-16	       -3.050140E-13	       -1.535586E-13	       -4.928575E-09	       -5.191498E-04	       -1.609849E-10	       -1.693102E-07	       -5.886910E-09	       -1.044747E-10	       -1.098690E-07	       -4.175482E-04	       -2.029598E-10	       -2.834981E-14	       -2.888979E-15	       -8.485008E-19	       -1.332703E-17	       -6.853876E-13	       -3.984195E-14	       -1.999230E-14
        7.000000E-03	       -0.000000E+00	       -3.463749E-18	       -4.606767E-09	       -4.647895E-08	       -4.158402E-11	       -2.178562E-07	       -2.906265E-07	       -5.319435E-07	       -8.758026E-08	       -4.212805E-09	       -3.413391E-07	       -1.152330E-08	       -1.404422E-07	       -2.076909E-07	       -3.680177E-10	       -1.368153E-07	       -8.436477E-08	       -3.030153E-09	       -1.030031E-08	       -7.696524E-09	       -3.691232E-09	       -4.589517E-09	       -1.905726E-08	       -1.155412E-08	       -1.615377E-11	       -2.003566E-07	       -2.598161E-08	       -2.153420E-07	       -7.257056E-08	       -8.982033E-08	       -4.471401E-07	       -9.885846E-07	       -1.456318E-08	       -3.676775E-07	       -6.795558E-07	       -1.025982E-04	       -7.525434E-08	       -2.025079E-07	       -4.422451E-06	       -1.309661E-09	       -2.465880E-06	       -1.935041E-06	       -2.250671E-06	       -6.619086E-06	       -6.532755E-07	       -5.666795E-08	       -1.423433E-07	       -1.251907E-06	       -7.234269E-06	       -1.460059E-07	       -7.754525E-07	       -6.493545E-07	       -9.307853E-06	       -2.382818E-06	       -1.703763E-08	       -4.454110E-04	       -1.015708E-13	       -1.796216E-13	       -1.342312E-08	       -2.451646E-09	       -8.441691E-09	       -3.200990E-11	       -1.706904E-11	       -4.436639E-09	       -1.146997E-15	       -1.617655E-08	       -5.903170E-10	       -1.128395E-10	       -1.911823E-08	       -1.533889E-08	       -3.854313E-09	       -5.169212E-11	       -3.390051E-09	       -9.995673E-14	       -1.197900E-11	       -5.401606E-12	       -6.628379E-08	       -6.406157E-03	       -3.647949E-09	       -2.317383E-06	       -6.315780E-08	       -1.580375E-09	       -1.671430E-06	       -5.703494E-03	       -3.779045E-09	       -5.555077E-12	       -2.495469E-13	       -5.317652E-16	       -1.489887E-14	       -5.170264E-11	       -5.072389E-12	       -3.502205E-12
        8.000000E-03	       -0.000000E+00	       -8.211057E-16	       -2.960381E-08	       -3.868313E-07	       -8.956076E-10	       -1.617401E-06	       -9.798980E-07	       -2.807034E-06	       -9.078138E-07	       -3.534752E-08	       -1.132330E-06	       -8.153901E-08	       -7.570181E-07	       -6.310341E-07	       -6.088584E-09	       -8.291098E-07	       -6.427618E-07	       -2.784140E-08	       -2.053303E-08	       -1.562362E-08	       -7.117461E-09	       -2.351475E-08	       -1.953830E-07	       -5.337371E-08	       -3.734346E-10	       -1.381414E-06	       -3.657457E-07	       -1.107992E-06	       -1.094697E-06	       -1.239426E-06	       -2.765407E-06	       -7.945396E-06	       -2.429615E-07	       -1.681934E-06	       -3.958707E-06	       -2.174973E-04	       -9.955236E-07	       -6.762682E-07	       -3.302989E-05	       -2.182397E-08	       -1.524950E-05	       -1.364327E-05	       -1.517017E-05	       -4.227248E-05	       -4.891161E-06	       -3.880427E-07	       -9.030741E-07	       -8.672289E-06	       -5.412329E-05	       -2.134663E-06	       -3.329719E-06	       -4.267640E-06	       -5.530504E-05	       -1.489732E-05	       -3.338892E-07	       -1.872700E-03	       -2.766006E-12	       -2.189398E-11	       -1.186415E-07	       -2.849884E-08	       -7.757181E-08	       -7.203995E-10	       -3.724989E-10	       -4.071172E-08	       -2.146883E-13	       -1.359533E-07	       -1.425215E-08	       -7.242988E-09	       -1.485938E-07	       -1.017088E-07	       -3.592663E-08	       -2.466667E-09	       -4.506753E-08	       -5.702182E-12	       -1.657900E-10	       -9.806101E-11	       -4.863932E-07	       -4.074225E-02	       -2.894053E-08	       -1.421927E-05	       -3.557680E-07	       -1.174427E-08	       -1.189750E-05	       -3.874273E-02	       -3.309101E-08	       -2.750682E-10	       -6.040007E-12	       -9.155888E-14	       -1.143056E-12	       -1.718554E-09	       -2.236526E-10	       -1.701928E-10
        9.000000E-03	       -0.000000E+00	       -7.329416E-14	       -1.656210E-07	       -1.792803E-06	       -1.153755E-08	       -6.939684E-06	       -3.458349E-06	       -9.594516E-06	       -4.311735E-06	       -1.945908E-07	       -3.905917E-06	       -4.156720E-07	       -2.704225E-06	       -2.537717E-06	       -4.276508E-08	       -2.548703E-06	       -2.799145E-06	       -1.383220E-07	       -4.401621E-08	       -3.338657E-08	       -1.479904E-08	       -1.174423E-07	       -1.206578E-06	       -2.421576E-07	       -4.037483E-09	       -4.783014E-06	       -3.077210E-06	       -5.089448E-06	       -6.573521E-06	       -7.815262E-06	       -1.031581E-05	       -4.223281E-05	       -1.914658E-06	       -5.669879E-06	       -2.211117E-05	       -4.181828E-04	       -6.315252E-06	       -3.165096E-06	       -1.768916E-04	       -2.417237E-07	       -6.083206E-05	       -6.523563E-05	       -6.404349E-05	       -2.017468E-04	       -2.518184E-05	       -1.743983E-06	       -5.751093E-06	       -3.775210E-05	       -2.863179E-04	       -2.095596E-05	       -1.318917E-05	       -2.016769E-05	       -2.359857E-04	       -7.023845E-05	       -4.415506E-06	       -6.936120E-03	       -3.553489E-11	       -3.737594E-10	       -5.649875E-07	       -2.360329E-07	       -4.187962E-07	       -1.029230E-08	       -6.285268E-09	       -1.755209E-07	       -2.032301E-11	       -7.268087E-07	       -1.565284E-07	       -1.375648E-07	       -9.212937E-07	       -4.810407E-07	       -2.312220E-07	       -5.523788E-08	       -4.257139E-07	       -1.527168E-10	       -1.175460E-09	       -1.165792E-09	       -2.383358E-06	       -1.515032E-01	       -1.185415E-07	       -5.496674E-05	       -1.203980E-06	       -5.457417E-08	       -4.993130E-05	       -1.512211E-01	       -2.202846E-07	       -6.201828E-09	       -1.653582E-10	       -6.279492E-12	       -2.667107E-11	       -2.645072E-08	       -3.455446E-09	       -2.828413E-09
        1.010000E-02	        8.237338E-33	       -8.237477E-12	       -4.485873E-07	       -6.435513E-06	       -2.417680E-07	       -1.872902E-05	       -9.807810E-06	       -1.890901E-05	       -9.587718E-06	       -1.112338E-06	       -1.074183E-05	       -2.103920E-06	       -8.361970E-06	       -1.153323E-05	       -1.635702E-07	       -5.205101E-06	       -8.687701E-06	       -6.926225E-07	       -6.195128E-08	       -5.118765E-08	       -2.082419E-08	       -9.404037E-07	       -9.068936E-06	       -1.592119E-06	       -3.195614E-08	       -2.079884E-05	       -2.544294E-05	       -3.312384E-05	       -2.177805E-05	       -3.045517E-05	       -2.538977E-05	       -3.080892E-04	       -1.967133E-05	       -2.536728E-05	       -2.637708E-04	       -8.740695E-04	       -3.705912E-05	       -1.864191E-05	       -1.355477E-03	       -3.615569E-06	       -1.405978E-04	       -3.439995E-04	       -1.967017E-04	       -1.124073E-03	       -2.171480E-04	       -5.214764E-06	       -4.387810E-05	       -1.374263E-04	       -1.907376E-03	       -2.152177E-04	       -9.469061E-05	       -1.132302E-04	       -9.911269E-04	       -4.474393E-04	       -8.712658E-05	       -3.816530E-02	       -3.949970E-10	       -3.773011E-09	       -1.572126E-06	       -3.043649E-06	       -2.099496E-06	       -1.759329E-07	       -2.352377E-07	       -4.484192E-07	       -3.971477E-09	       -4.106429E-06	       -1.345233E-06	       -1.693242E-06	       -6.659270E-06	       -1.933763E-06	       -2.232390E-06	       -1.179197E-06	       -5.634220E-06	       -7.492402E-09	       -7.413850E-09	       -1.340371E-08	       -1.781960E-05	       -3.383333E-01	       -2.549239E-07	       -1.055923E-04	       -2.002430E-06	       -2.746255E-07	       -1.024010E-04	       -4.122785E-01	       -2.706945E-06	       -1.506924E-07	       -9.575045E-10	       -4.659608E-10	       -6.197133E-10	       -2.958131E-07	       -3.335015E-08	       -4.111112E-08
