            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -1.826934E-09	        3.656215E-13	       -3.555063E-09	       -3.010089E-10	       -9.924772E-09	       -1.549144E-09	       -7.701051E-10	       -1.395553E-09	        2.105047E-08	       -1.593349E-05	       -7.538273E-11	        6.359389E-10	       -2.598276E-09	        3.244443E-08	        1.743143E-19	        9.991425E-08	       -6.579801E-09	       -4.489188E-15	       -3.538107E-08	       -1.971904E-08	        1.818987E-11	       -8.412806E-14	       -2.682524E-08	       -1.660906E-07	       -1.617202E-14	       -6.378908E-08	        5.517092E-08	        3.185031E-27	        5.059566E-07	       -1.162987E-08	       -2.912127E-09	        9.876243E-09	        1.090857E-07	        1.183480E-05	        1.876073E-10	       -1.088505E-12	       -4.476997E-10	        4.325068E-07	        4.008567E-06	        3.248858E-07	        1.335067E-06	       -2.852166E-10	       -1.092569E-19	        1.585794E-08	       -8.723780E-08	        1.560675E-06	       -1.797607E-08	        3.669271E-07	        3.608966E-15	        2.851778E-04	        3.130396E-15	        2.815980E-04	        1.212160E-07	       -9.709032E-07	        1.236001E-05	       -4.943277E-07	        0.000000E+00	        5.804830E-08	        2.598437E-08	        1.641538E-07	        1.711899E-21	       -3.321644E-07	       -1.021706E-10	        6.743441E-07	        1.266690E-08	        2.813380E-04	       -1.451236E-06	       -1.627523E-11	       -7.670816E-08	       -2.807769E-04	        2.807768E-04	       -5.366764E-18	        4.197249E-11	       -1.395220E-11	       -2.319814E-11	       -5.990654E-11	       -4.459097E-12	        4.294005E-14	        2.267991E-12	        6.010595E-11	       -7.941903E-12	        1.128434E-10	        1.447812E-13	        1.850011E-10	        1.408731E-10	        1.604429E-12	        7.771516E-15	        3.150708E-12	        1.052563E-16	       -8.331948E-14	       -6.826871E-14	       -2.042274E-12	       -1.408105E-05	        5.538997E-14	       -6.821184E-09	       -1.494530E-10	        5.128388E-12	        6.813447E-09	        1.408086E-05	        3.481711E-12	       -5.195838E-17	       -5.121760E-16	        5.493093E-21	        1.289450E-17	        3.158150E-15	        1.226600E-16	        1.574087E-17
        2.000000E-03	       -4.511346E-07	       -1.584684E-09	       -1.896131E-06	       -1.411369E-07	       -2.514670E-06	       -3.449537E-08	       -3.482325E-08	       -5.052270E-07	       -1.291512E-06	       -1.459347E-04	       -6.275481E-08	        1.329593E-08	       -2.579127E-07	       -3.954494E-06	        7.112404E-15	        7.823801E-06	       -1.749299E-06	       -2.463410E-10	       -7.525677E-06	       -2.033874E-07	        8.042521E-09	       -1.385616E-10	       -2.483602E-06	       -9.036006E-07	       -1.549151E-12	       -4.287718E-06	        3.782093E-06	       -3.262144E-15	        4.631707E-05	       -5.508331E-06	       -4.995268E-07	       -9.701796E-07	        1.640023E-06	        1.086242E-04	        3.130950E-08	       -8.614737E-10	       -1.197241E-07	       -1.700260E-05	        3.722810E-05	        3.214842E-05	        1.224691E-05	       -6.905965E-09	       -4.544458E-15	       -1.218552E-07	       -4.950901E-06	        1.861709E-05	       -2.852779E-07	       -1.201580E-05	        1.323825E-12	        2.632675E-03	       -2.061240E-11	        2.633116E-03	        8.866478E-07	       -9.291061E-05	        1.141702E-04	       -4.169627E-06	        0.000000E+00	        8.144962E-07	        4.568491E-06	        8.171837E-06	        1.655102E-15	       -3.098176E-06	       -2.585759E-09	        6.038510E-06	        1.428587E-07	        2.633989E-03	       -1.359497E-05	       -4.214593E-09	       -7.841756E-07	       -2.583029E-03	        2.582861E-03	       -1.122368E-14	        1.406548E-09	       -1.033318E-09	       -9.482533E-09	       -3.903423E-08	       -7.753023E-10	       -1.159236E-10	       -5.405431E-09	        1.176175E-09	       -8.107203E-10	        5.786363E-08	        4.189659E-11	        2.995023E-08	        2.356822E-09	        2.280136E-09	        1.974497E-11	        1.248032E-09	        6.532073E-13	       -7.603778E-11	       -2.490439E-11	       -2.323522E-11	       -1.140842E-03	       -8.843722E-10	       -1.010689E-06	       -7.796898E-09	        1.076853E-09	        1.008845E-06	        1.140816E-03	       -1.928273E-09	       -7.326709E-13	       -1.473700E-12	        3.568113E-17	        7.345401E-14	        2.588237E-12	        9.959364E-15	        1.984237E-14
        3.100000E-03	       -2.918790E-07	       -5.533858E-09	       -1.247034E-06	       -9.578340E-08	       -5.856986E-06	       -1.455399E-08	       -9.301737E-08	       -9.217533E-07	       -6.020561E-06	       -1.063249E-04	       -2.172566E-07	        5.284382E-08	       -2.464855E-07	       -7.809236E-06	        5.399024E-14	        7.693207E-06	       -1.081635E-06	       -3.695436E-10	       -8.050413E-06	       -1.615411E-07	        1.200006E-08	       -6.275117E-10	       -2.042487E-06	       -3.819912E-08	       -6.130360E-13	       -2.887599E-06	        3.955265E-06	       -2.297473E-14	        1.215460E-04	       -6.992910E-06	       -2.991556E-07	       -7.257543E-07	        8.646598E-07	        7.909693E-05	        1.809721E-08	       -6.954417E-09	       -3.484693E-07	       -3.547151E-05	        2.735877E-05	        5.369418E-05	        8.165891E-06	       -1.797332E-08	       -4.677992E-14	       -7.213157E-08	       -2.566035E-06	        1.416541E-05	       -3.562925E-07	       -8.481835E-05	       -1.839673E-13	        1.948186E-03	       -2.146262E-10	        1.976749E-03	        3.607385E-07	       -1.992329E-04	        8.474700E-05	       -2.203296E-06	        0.000000E+00	        3.229395E-07	        1.046836E-05	        4.854694E-06	        5.268132E-15	       -1.796920E-06	       -7.748111E-09	        3.359095E-06	       -1.017245E-08	        2.031546E-03	       -9.266364E-06	       -1.403103E-08	       -4.710562E-07	       -1.905723E-03	        1.905529E-03	       -7.661463E-14	        1.524932E-09	       -3.524121E-09	       -5.026363E-08	       -1.034063E-07	       -5.144474E-09	       -1.009661E-09	       -4.581774E-09	        6.212747E-09	       -4.822893E-09	        1.819154E-07	       -2.466888E-11	        3.731252E-08	        4.119424E-09	        3.216041E-09	        1.919494E-10	       -1.142538E-09	        2.174436E-12	       -4.878999E-10	       -6.184802E-11	       -7.098053E-10	       -1.050376E-03	       -1.134327E-09	       -6.418250E-07	       -5.532236E-09	        6.270503E-10	        6.405075E-07	        1.050337E-03	       -5.310126E-09	       -9.378892E-12	       -2.352333E-12	        2.517976E-16	        2.553688E-13	        1.782604E-11	       -9.708123E-13	       -6.263937E-14
        4.100000E-03	       -8.050691E-07	       -2.148895E-08	       -3.491692E-06	       -3.301772E-07	       -1.080411E-05	       -3.074310E-07	       -3.170508E-07	       -1.899971E-06	       -1.248687E-05	       -3.221565E-04	       -3.833402E-07	        7.719729E-08	       -4.828781E-07	       -1.321466E-05	        2.032409E-13	        1.353952E-05	       -2.919478E-06	       -1.406740E-09	       -1.292712E-05	       -5.793298E-07	        2.481068E-08	       -3.386094E-09	       -3.562553E-06	       -7.613353E-07	       -4.779599E-12	       -5.198037E-06	        7.620228E-06	       -7.887412E-14	        2.528273E-04	       -1.379219E-05	       -1.004106E-06	       -1.303377E-06	        1.847925E-06	        2.399689E-04	        6.071130E-08	       -1.932129E-08	       -7.582196E-07	       -6.443743E-05	        8.263201E-05	        1.023678E-04	        2.613577E-05	       -3.524808E-08	       -1.787164E-13	       -8.614374E-09	       -3.986722E-06	        3.817374E-05	       -5.716402E-07	       -1.831623E-04	       -2.916548E-12	        5.884683E-03	       -8.033776E-10	        5.908620E-03	        1.452036E-06	       -4.017917E-04	        2.539098E-04	       -6.083992E-06	        0.000000E+00	        5.227984E-07	        2.135803E-05	        8.424795E-06	        3.317528E-14	       -4.962815E-06	       -1.624342E-08	        8.822121E-06	       -2.691000E-07	        6.036240E-03	       -2.814478E-05	       -4.978655E-08	       -1.013416E-06	       -5.773836E-03	        5.773748E-03	       -1.310289E-13	        1.459678E-09	        6.111610E-10	       -8.927602E-08	       -1.626686E-07	       -1.237477E-08	       -2.967742E-09	       -4.657788E-09	        1.476102E-08	       -1.303537E-08	        3.069243E-07	       -6.501502E-10	        6.310713E-08	        7.645477E-09	        4.956488E-07	        5.264157E-10	       -3.429294E-09	        8.141961E-12	       -7.465872E-10	       -1.861384E-10	       -1.996087E-09	       -1.218993E-03	       -3.540959E-09	       -1.248674E-06	       -5.136564E-09	        1.894747E-09	        1.245294E-06	        1.218922E-03	       -5.015908E-07	       -2.409865E-11	       -6.707468E-11	        7.487108E-16	        9.249808E-13	        3.348436E-11	       -3.188067E-12	       -1.335443E-12
        5.013280E-03	       -1.150846E-06	       -2.987835E-07	       -4.203115E-06	       -7.205903E-07	       -2.154560E-05	       -2.432944E-07	       -9.619146E-07	       -6.754115E-06	       -2.815016E-05	       -4.048679E-04	       -9.674953E-07	        1.576507E-07	       -4.341955E-07	       -2.108679E-05	        1.544577E-12	        1.624499E-05	       -3.914029E-06	       -3.973977E-09	       -9.160438E-06	       -1.558223E-06	        8.557845E-08	       -2.405410E-08	       -3.266829E-06	        9.059804E-07	       -1.077962E-11	       -4.915117E-06	        1.190690E-05	       -3.939203E-13	        1.270960E-03	       -2.369642E-05	       -1.716770E-06	       -2.001087E-06	        1.083070E-06	        3.017560E-04	        1.014264E-07	       -5.965517E-08	       -3.066601E-06	       -1.246567E-04	        1.058292E-04	        2.157520E-04	        3.301483E-05	       -8.172126E-08	       -1.571602E-12	        1.527791E-07	       -2.019839E-06	        4.667361E-05	       -7.222327E-07	       -1.189144E-03	       -4.312066E-11	        7.390516E-03	       -3.874272E-09	        7.474160E-03	        1.880615E-06	       -1.581076E-03	        3.251667E-04	       -7.440188E-06	        0.000000E+00	       -1.172530E-06	        4.855524E-05	        6.798658E-06	        1.328472E-13	       -5.976364E-06	       -2.576623E-08	        1.019004E-05	       -1.126208E-06	        8.531968E-03	       -3.532889E-05	       -1.634464E-07	       -1.424728E-06	       -7.245040E-03	        7.244581E-03	       -3.716513E-13	       -2.548184E-08	        1.074239E-08	       -2.780642E-07	       -1.529068E-07	       -6.255869E-08	       -3.514800E-08	       -4.727557E-09	        5.116501E-08	       -3.081167E-08	        6.588881E-07	       -4.328622E-09	        5.686744E-08	        1.144680E-08	        1.286132E-06	        1.507053E-09	        9.574647E-09	        1.086691E-10	       -1.739483E-09	       -9.930795E-10	       -5.399933E-09	        7.825870E-03	       -8.210589E-09	        1.807788E-08	        2.422841E-08	        2.831696E-10	       -2.191914E-08	       -7.825984E-03	       -1.356657E-06	       -1.537740E-10	       -1.476302E-10	       -2.809513E-15	        1.259551E-11	       -1.911832E-11	       -1.237402E-11	       -1.982547E-11
        6.001400E-03	       -3.077679E-07	       -7.457648E-05	       -1.505890E-06	       -4.014534E-07	       -4.841636E-05	       -5.204616E-09	       -2.383617E-07	       -1.055043E-04	       -1.853229E-05	       -3.945413E-05	        3.928175E-06	        1.008391E-07	       -1.150541E-11	       -3.619125E-05	       -1.122997E-11	        6.433111E-06	        2.723304E-07	       -1.706014E-11	        1.743611E-06	       -2.878111E-07	        8.381129E-10	        2.419729E-08	       -1.704292E-06	        5.344612E-06	       -8.960727E-15	       -6.132570E-07	        7.243473E-06	        2.475735E-15	        1.197142E-02	       -2.459538E-05	       -2.109825E-07	       -2.528163E-06	       -6.473029E-06	        2.941553E-05	        1.225524E-08	       -6.993545E-08	       -7.925030E-06	       -1.933834E-04	        1.809919E-05	        7.067763E-04	        4.332922E-06	       -3.895207E-08	        1.077223E-11	        5.015511E-08	        1.620014E-06	        6.732811E-06	       -1.385605E-07	       -1.204208E-02	       -1.244712E-10	        7.738178E-04	       -3.330955E-09	        1.084767E-03	        1.401829E-07	       -1.286250E-02	        6.725424E-05	       -5.231354E-07	        0.000000E+00	       -2.844955E-06	        9.135473E-05	        3.870194E-07	       -3.256068E-13	       -4.023028E-07	        7.934199E-07	        5.792374E-07	       -5.044288E-07	        1.261833E-02	       -3.366741E-06	       -4.017986E-08	       -1.954762E-07	       -7.040838E-04	        7.028251E-04	       -8.954772E-14	       -1.007123E-06	       -4.385352E-09	       -2.415104E-07	        6.756785E-08	       -2.135589E-07	       -5.104925E-07	       -9.927071E-11	        1.823936E-07	       -1.365881E-08	        1.151893E-06	       -1.798007E-08	        2.218402E-10	       -3.382987E-09	       -5.466928E-07	       -3.563791E-09	        5.605417E-07	        2.720974E-08	       -1.250871E-09	       -6.997923E-09	        1.222234E-10	        1.574423E-02	       -9.472351E-09	        1.340478E-07	        8.367423E-09	       -1.301132E-09	       -1.338791E-07	       -1.574426E-02	       -1.823051E-07	       -2.578773E-10	       -9.855121E-11	       -1.461036E-14	        3.384517E-09	       -4.078435E-10	       -2.265445E-12	       -3.074361E-11
        7.001330E-03	       -1.510408E-07	       -7.672791E-05	       -2.319581E-06	       -1.944959E-07	       -3.022580E-05	        1.612390E-08	       -2.934130E-07	       -9.319119E-05	       -1.199991E-05	       -3.532547E-05	        2.369176E-06	        3.910518E-09	        3.746737E-11	       -2.387161E-05	       -1.245004E-11	        3.212083E-06	        1.867759E-07	       -2.868509E-12	        1.662302E-06	       -4.031209E-07	       -1.498659E-08	        1.284279E-08	       -7.792446E-07	        3.268875E-06	       -2.579955E-15	       -2.312610E-07	        3.324352E-06	        1.130545E-15	        1.808426E-02	       -1.560185E-05	       -8.071068E-08	       -2.234484E-06	       -3.177003E-06	        2.622815E-05	        4.298603E-09	       -6.437834E-08	       -6.555165E-06	       -1.174957E-04	        1.552094E-05	        8.445334E-04	        3.634938E-06	       -2.920217E-08	        1.213095E-11	        6.024090E-08	        1.192192E-06	        4.946057E-06	       -1.026123E-07	       -1.841695E-02	       -1.201288E-10	        6.775947E-04	       -3.467463E-09	        8.912498E-04	        1.430018E-07	       -1.905713E-02	        9.202355E-05	       -5.207185E-07	        0.000000E+00	       -6.063164E-06	        8.572476E-05	       -1.276019E-07	       -2.257005E-13	       -3.705566E-07	        1.395668E-06	        5.068932E-07	       -4.880335E-07	        1.857455E-02	       -3.034104E-06	       -4.668046E-08	       -2.455507E-07	       -6.273516E-04	        6.266151E-04	       -5.809301E-14	       -1.727378E-06	       -3.775500E-09	       -1.679929E-07	        4.872654E-08	       -3.346958E-07	       -5.004550E-07	       -5.067287E-11	        2.984374E-07	       -1.262654E-08	        1.166477E-06	       -3.089643E-08	       -3.081179E-09	       -4.656577E-09	       -6.053523E-07	       -3.495113E-09	        4.952229E-07	        2.804479E-08	       -4.880832E-10	       -3.894082E-09	       -8.789062E-10	        8.446870E-03	       -5.813110E-09	        5.085959E-08	        3.404492E-09	       -2.207063E-10	       -5.078854E-08	       -8.446884E-03	       -1.786456E-08	       -1.960543E-10	       -4.516397E-11	        1.017101E-15	        3.486448E-09	       -3.062006E-10	       -1.298430E-12	       -1.855788E-11
        8.002410E-03	       -8.647931E-08	       -2.244918E-05	       -2.523307E-06	       -1.092448E-07	       -1.690906E-05	        1.425407E-08	       -2.945999E-07	       -3.958837E-05	       -7.638079E-06	       -3.462588E-05	        6.544962E-07	       -6.069963E-09	       -9.121112E-12	       -1.145420E-05	       -8.084637E-12	        2.215572E-06	        1.101358E-07	       -1.918707E-12	        8.684384E-07	       -4.389002E-07	       -4.314554E-09	        2.215658E-09	       -4.430121E-07	        1.776974E-06	       -9.873808E-16	       -1.149350E-07	        2.021903E-06	        4.346431E-16	        1.508352E-02	       -9.240858E-06	       -4.767684E-08	       -1.463255E-06	       -9.453477E-07	        2.566838E-05	        2.538186E-09	       -4.437135E-08	       -4.472846E-06	       -8.290916E-05	        1.320674E-05	        6.479198E-04	        3.164508E-06	       -1.943515E-08	        7.897083E-12	        6.462581E-08	        9.965477E-07	        4.462383E-06	       -8.494858E-08	       -1.546571E-02	       -8.420920E-11	        6.417161E-04	       -2.542500E-09	        7.332012E-04	        1.433890E-07	       -1.578136E-02	        9.290014E-05	       -5.318844E-07	        0.000000E+00	       -5.144050E-06	        6.375139E-05	       -1.939338E-07	       -1.512284E-13	       -3.698521E-07	        1.012954E-06	        5.087500E-07	       -3.873717E-07	        1.556381E-02	       -2.989368E-06	       -4.348754E-08	       -2.564679E-07	       -6.127050E-04	        6.124565E-04	       -2.535898E-14	       -1.353614E-06	       -9.808766E-10	       -1.001261E-07	        2.057030E-08	       -3.711817E-07	       -2.155317E-07	        1.518969E-11	        3.293680E-07	       -9.621907E-09	        7.915392E-07	       -3.244437E-08	       -4.599018E-09	       -2.484873E-09	       -1.720056E-07	       -2.536705E-09	        2.185048E-07	        8.241776E-09	       -2.169088E-10	       -8.752044E-10	       -1.243948E-09	        5.071892E-03	       -3.210041E-09	        4.225731E-08	        2.384954E-09	       -9.181219E-11	       -4.220637E-08	       -5.071900E-03	       -1.032628E-07	       -1.215478E-10	       -1.265078E-11	       -1.802865E-15	        1.021290E-09	       -1.437898E-10	       -3.044313E-13	       -2.936074E-12
        9.008490E-03	       -4.603392E-08	       -6.329739E-07	       -2.075853E-06	       -5.741349E-08	       -6.798698E-06	        2.225728E-08	       -3.057143E-07	       -4.307099E-06	       -5.653301E-06	       -4.543138E-05	       -2.560809E-07	        9.106308E-09	       -5.200637E-10	       -4.127863E-06	       -1.921554E-12	        1.798196E-06	        4.193105E-08	       -7.194588E-12	        1.602248E-07	       -4.864410E-07	        8.471676E-09	       -3.857249E-09	       -3.771459E-07	        6.323710E-07	       -1.027118E-15	       -1.432133E-07	        1.431841E-06	        1.337356E-16	        5.125334E-03	       -4.830355E-06	       -4.777970E-08	       -7.015148E-07	       -5.930013E-08	        3.366727E-05	        2.574112E-09	       -3.011149E-08	       -1.433011E-06	       -3.415981E-05	        1.286886E-05	        2.243465E-04	        3.883579E-06	       -1.651027E-08	        1.857361E-12	        7.635218E-08	        9.405044E-07	        5.169899E-06	       -9.937960E-08	       -5.271485E-03	       -3.924424E-11	        8.218907E-04	       -1.245082E-09	        8.299129E-04	        1.707758E-07	       -5.371131E-03	        6.667286E-05	       -6.796200E-07	        0.000000E+00	       -1.968364E-06	        3.894969E-05	       -1.588775E-07	       -1.061447E-13	       -4.824840E-07	       -3.328104E-08	        7.059786E-07	       -3.506964E-07	        5.875564E-03	       -3.929382E-06	       -4.385607E-08	       -2.845269E-07	       -8.032024E-04	        8.031471E-04	       -4.273858E-14	       -2.408472E-07	        1.296504E-09	       -6.234737E-08	        9.370371E-11	       -3.018797E-07	       -2.894586E-08	        4.819204E-11	        2.720840E-07	       -8.397269E-09	        4.390284E-07	       -5.662585E-09	       -2.881557E-09	       -3.747736E-10	        7.116826E-08	       -1.523205E-09	        4.285744E-08	        2.300001E-10	       -1.129056E-10	       -1.579186E-10	       -1.699036E-09	        3.965636E-03	       -1.467873E-09	        1.034485E-07	        4.608309E-09	       -1.248203E-10	       -1.033525E-07	       -3.965648E-03	       -1.279975E-07	       -6.919425E-11	       -2.753447E-12	       -3.878830E-15	        2.851757E-11	       -3.601093E-11	       -2.052762E-13	       -6.843304E-13
        1.000700E-02	       -1.320976E-08	       -2.558300E-08	       -1.547894E-06	       -5.586385E-09	       -1.815834E-06	        1.947579E-08	       -3.834124E-07	       -4.285520E-07	       -2.601045E-06	       -7.075334E-05	       -2.963189E-07	        2.036324E-08	       -8.649229E-10	       -1.043921E-06	       -5.671571E-13	        9.545048E-07	        7.732285E-09	       -3.577453E-12	        4.079968E-07	       -6.452647E-07	        8.034620E-09	       -2.040026E-09	        9.262411E-08	       -4.179822E-07	       -1.058728E-16	        9.482638E-09	        7.484946E-07	        4.333568E-17	        2.317217E-03	       -1.336557E-06	       -7.046699E-09	       -1.935270E-07	       -1.606297E-07	        5.242170E-05	        4.347323E-10	       -2.626795E-08	       -4.507473E-07	       -7.269518E-06	        1.825616E-05	        9.557669E-05	        6.061389E-06	       -1.240857E-08	        5.338716E-13	        1.123484E-07	        8.122748E-07	        6.927933E-06	       -1.127729E-07	       -2.392560E-03	       -2.419537E-11	        1.271363E-03	       -3.397491E-10	        1.246700E-03	        2.831466E-07	       -2.426851E-03	        7.205910E-05	       -1.036353E-06	        0.000000E+00	       -9.312056E-07	        2.619906E-05	       -3.330037E-07	       -7.857136E-14	       -7.358320E-07	       -1.624207E-07	        1.120751E-06	       -3.689377E-07	        3.544373E-03	       -6.121246E-06	       -5.350721E-08	       -3.817834E-07	       -1.250935E-03	        1.250951E-03	       -1.507702E-14	       -6.136835E-08	        4.257491E-09	       -3.432563E-08	       -5.173107E-09	       -2.241050E-07	       -5.462232E-09	        6.127306E-11	        2.221281E-07	       -8.408558E-09	        2.970959E-07	       -8.447876E-11	       -3.767554E-09	        3.861030E-10	        6.270519E-08	       -1.142093E-09	        1.047528E-10	        9.185718E-12	       -7.840393E-11	       -4.386144E-11	       -2.401577E-09	        8.213352E-04	        1.168677E-10	        3.617394E-08	        1.758853E-09	       -1.455020E-10	       -3.613983E-08	       -8.213389E-04	       -7.430740E-08	       -5.285277E-11	       -2.037554E-12	       -3.028124E-15	        1.147616E-12	       -1.863871E-11	       -1.240561E-13	       -7.331182E-14
