            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -1.198779E-09	       -3.241255E-13	       -2.241280E-09	       -6.989980E-10	       -1.201951E-08	       -6.944158E-10	       -2.788648E-08	       -2.742039E-09	       -1.309207E-08	       -4.935000E-06	       -1.203966E-10	       -1.912456E-11	       -1.423102E-09	       -3.127283E-08	       -1.315652E-21	       -8.909919E-10	       -1.043751E-08	       -2.096940E-15	       -9.882777E-08	       -5.798183E-08	       -1.711315E-12	       -1.164743E-12	       -2.997980E-08	       -9.310864E-08	       -7.827605E-15	       -4.070235E-08	       -7.623485E-10	       -0.000000E+00	       -1.759573E-07	       -4.366946E-08	       -2.012146E-09	       -3.670062E-08	       -8.905499E-09	       -2.950636E-08	       -4.326217E-12	       -4.917005E-10	       -5.139311E-10	       -3.267449E-07	       -4.093994E-08	       -8.098320E-08	       -5.236123E-08	       -5.569507E-10	       -9.305575E-19	       -6.149903E-09	       -1.261741E-07	       -7.721269E-08	       -1.423171E-08	       -4.585737E-07	       -1.830471E-15	       -9.318787E-08	       -1.584787E-13	       -3.449997E-09	       -2.085146E-08	       -9.501568E-07	       -1.131753E-09	       -2.853381E-07	       -0.000000E+00	       -2.185969E-08	       -2.001600E-12	       -3.132226E-08	       -0.000000E+00	       -1.326348E-07	       -2.777657E-09	       -4.168238E-08	       -2.450021E-08	       -3.225736E-07	       -3.582647E-07	       -3.660953E-09	       -6.654182E-08	       -1.019750E-04	       -1.650463E-09	       -2.919459E-17	       -1.596983E-10	       -1.497073E-10	       -2.229588E-11	       -7.972902E-11	       -2.579888E-12	       -6.013111E-14	       -2.203473E-11	       -1.758355E-13	       -5.129461E-10	       -6.723308E-11	       -1.132600E-12	       -2.040679E-10	       -1.351137E-10	       -9.312165E-12	       -6.882932E-15	       -6.596421E-12	       -3.188223E-17	       -3.967630E-14	       -5.778619E-14	       -1.690723E-10	       -1.855536E-05	       -0.000000E+00	       -6.169886E-09	       -2.072470E-10	       -3.574531E-12	       -3.329190E-09	       -1.339891E-05	       -5.419675E-12	       -1.186508E-16	       -5.155302E-16	       -8.651099E-22	       -2.497482E-18	       -1.578606E-14	       -2.053573E-15	       -4.138840E-16
        2.000000E-03	       -3.219014E-07	       -1.890096E-09	       -1.429390E-06	       -1.394719E-07	       -3.089727E-06	       -1.653039E-08	       -3.753828E-06	       -8.519511E-07	       -3.888461E-06	       -4.402095E-05	       -4.984710E-07	       -3.764030E-08	       -1.561804E-07	       -4.733858E-06	       -7.468774E-14	       -2.700919E-06	       -1.691964E-06	       -1.267980E-10	       -8.337687E-06	       -5.697079E-06	       -1.201365E-08	       -1.337535E-08	       -2.633469E-06	       -3.808191E-06	       -7.393492E-13	       -3.011870E-06	       -1.354286E-06	       -1.392500E-15	       -3.901937E-05	       -6.173721E-06	       -3.569460E-07	       -4.071555E-06	       -8.842156E-07	       -2.798546E-06	       -2.455365E-08	       -1.332563E-07	       -1.328890E-07	       -3.192733E-05	       -3.839881E-06	       -2.833749E-05	       -8.916328E-07	       -1.183190E-07	       -3.327999E-13	       -5.535292E-07	       -6.793471E-06	       -8.680950E-06	       -1.342277E-06	       -4.770849E-05	       -1.618492E-11	       -2.006283E-05	       -4.805839E-09	       -2.614900E-06	       -3.973444E-07	       -9.173714E-05	       -4.471901E-07	       -5.033332E-06	       -0.000000E+00	       -6.311023E-06	       -2.282268E-09	       -7.576766E-06	       -4.774099E-16	       -1.984402E-06	       -7.551315E-07	       -6.099591E-06	       -4.964929E-06	       -7.814723E-05	       -3.272966E-06	       -5.207189E-07	       -4.651142E-06	       -9.001720E-04	       -2.089073E-07	       -5.296106E-13	       -1.451519E-08	       -9.626662E-08	       -9.877009E-09	       -5.504492E-08	       -5.389442E-10	       -1.178175E-10	       -3.900743E-08	       -4.661325E-12	       -1.226729E-07	       -2.662176E-08	       -1.273007E-08	       -9.360740E-09	       -4.869000E-09	       -3.026692E-09	       -1.470406E-10	       -3.712197E-09	       -4.826102E-13	       -5.032090E-11	       -2.188076E-11	       -2.999016E-08	       -2.673712E-03	       -8.449350E-10	       -1.370783E-06	       -2.247530E-08	       -9.850314E-10	       -1.065940E-06	       -2.517402E-03	       -2.976325E-09	       -1.261230E-11	       -1.474577E-12	       -6.726624E-16	       -2.577421E-13	       -1.109362E-10	       -1.633609E-11	       -1.104684E-11
        3.100000E-03	       -2.317378E-07	       -6.171474E-09	       -1.231375E-06	       -9.720688E-08	       -7.053856E-06	       -7.752396E-09	       -5.157928E-06	       -1.684612E-06	       -8.654501E-06	       -4.275970E-05	       -2.826551E-06	       -1.185790E-07	       -1.838397E-07	       -8.538435E-06	       -1.630911E-12	       -9.585269E-06	       -1.220931E-06	       -2.293680E-10	       -1.020912E-05	       -5.987993E-06	       -6.603636E-08	       -5.293229E-08	       -2.170312E-06	       -4.703124E-06	       -3.477327E-13	       -2.282735E-06	       -4.817711E-06	       -1.388153E-14	       -1.194149E-04	       -7.668941E-06	       -2.352975E-07	       -4.266206E-06	       -3.124736E-06	       -2.839143E-06	       -4.565669E-08	       -3.594517E-07	       -3.708399E-07	       -5.163002E-05	       -4.296571E-06	       -5.753594E-05	       -9.971276E-07	       -3.511643E-07	       -2.837835E-12	       -6.036269E-07	       -4.667679E-06	       -1.630267E-05	       -2.472758E-06	       -1.287118E-04	       -9.924440E-11	       -3.765319E-05	       -1.407523E-08	       -2.055978E-05	       -4.329728E-07	       -1.970862E-04	       -4.813905E-06	       -4.649444E-06	       -0.000000E+00	       -1.901810E-05	       -1.124964E-08	       -1.447275E-05	       -9.719865E-15	       -1.764374E-06	       -1.617796E-06	       -6.237497E-06	       -9.676275E-06	       -1.928125E-04	       -3.090026E-06	       -7.411713E-07	       -4.954493E-06	       -8.450790E-04	       -2.201573E-07	       -4.318289E-12	       -3.939893E-08	       -2.590100E-07	       -5.742035E-08	       -1.811198E-07	       -4.491350E-09	       -1.045093E-09	       -7.584342E-08	       -5.572063E-11	       -2.750662E-07	       -7.001064E-08	       -6.410855E-08	       -4.780578E-08	       -2.228101E-08	       -8.476625E-09	       -3.296928E-09	       -2.232464E-08	       -2.274928E-12	       -4.142490E-10	       -5.782965E-11	       -5.055032E-08	       -4.397373E-03	       -1.180075E-09	       -1.394499E-06	       -3.308500E-08	       -1.336549E-09	       -1.182750E-06	       -4.295514E-03	       -6.324439E-09	       -1.395530E-10	       -2.335358E-12	       -1.174937E-14	       -8.427047E-13	       -1.506828E-09	       -9.093050E-11	       -7.187103E-11
        4.100000E-03	       -6.694425E-07	       -2.273781E-08	       -4.074923E-06	       -3.364031E-07	       -1.310424E-05	       -2.241252E-07	       -1.599392E-05	       -3.319653E-06	       -1.868441E-05	       -1.490293E-04	       -7.666110E-06	       -4.025070E-07	       -4.033520E-07	       -1.500714E-05	       -6.186115E-12	       -1.916242E-05	       -3.095417E-06	       -9.634770E-10	       -1.924920E-05	       -2.289963E-05	       -1.713047E-07	       -2.240072E-07	       -3.877385E-06	       -1.432703E-05	       -3.072406E-12	       -4.365280E-06	       -1.098468E-05	       -5.654827E-14	       -2.956607E-04	       -1.523408E-05	       -8.262009E-07	       -8.647915E-06	       -7.824668E-06	       -8.037479E-06	       -1.528614E-07	       -8.918079E-07	       -7.966421E-07	       -9.770257E-05	       -1.482686E-05	       -1.156099E-04	       -2.026329E-06	       -8.975934E-07	       -1.303459E-11	       -1.648198E-06	       -8.676601E-06	       -3.386284E-05	       -6.150889E-06	       -2.877306E-04	       -3.001440E-10	       -8.941920E-05	       -5.239336E-08	       -4.936518E-05	       -8.912119E-07	       -3.979270E-04	       -1.482594E-05	       -1.570318E-05	       -0.000000E+00	       -4.944812E-05	       -4.614772E-08	       -3.640691E-05	       -1.911162E-14	       -6.098702E-06	       -3.120540E-06	       -1.958380E-05	       -2.542463E-05	       -4.901450E-04	       -1.129093E-05	       -2.349741E-06	       -1.656534E-05	       -2.852470E-03	       -4.326762E-07	       -9.071046E-12	       -8.263493E-08	       -4.664555E-07	       -1.106248E-07	       -3.323972E-07	       -1.167924E-08	       -3.076660E-09	       -1.363626E-07	       -2.459822E-10	       -6.557002E-07	       -1.814950E-07	       -1.875697E-07	       -1.062173E-07	       -3.919832E-08	       -2.178842E-08	       -1.057685E-08	       -6.443204E-08	       -9.554819E-12	       -6.689420E-10	       -1.769903E-10	       -1.401026E-07	       -8.224891E-03	       -3.781376E-09	       -3.386954E-06	       -5.859540E-08	       -3.336704E-09	       -2.954070E-06	       -8.435399E-03	       -2.815153E-07	       -5.008354E-10	       -2.410587E-11	       -5.786421E-14	       -4.420683E-12	       -3.780887E-09	       -2.426506E-10	       -2.129415E-10
        5.013280E-03	       -1.281777E-06	       -2.700195E-07	       -1.125634E-05	       -8.049970E-07	       -2.651313E-05	       -3.407779E-07	       -6.638717E-05	       -9.281048E-06	       -5.395073E-05	       -4.050370E-04	       -7.318757E-05	       -2.574435E-06	       -7.442316E-07	       -2.179269E-05	       -1.628431E-10	       -5.089742E-05	       -5.258868E-06	       -5.026570E-09	       -3.141101E-05	       -1.008284E-04	       -1.498442E-06	       -2.399148E-06	       -3.736831E-06	       -4.270847E-05	       -1.474414E-11	       -6.546502E-06	       -5.089025E-05	       -6.722034E-13	       -1.751355E-03	       -2.873634E-05	       -1.898123E-06	       -2.128960E-05	       -7.150821E-05	       -2.634358E-05	       -5.738032E-07	       -3.470581E-06	       -2.782446E-06	       -1.754757E-04	       -5.900056E-05	       -3.010632E-04	       -4.978142E-06	       -4.160200E-06	       -2.627547E-10	       -4.648639E-06	       -1.189363E-05	       -1.024582E-04	       -1.976309E-05	       -1.605601E-03	       -3.755000E-09	       -2.705743E-04	       -3.638459E-07	       -3.076960E-04	       -2.086767E-06	       -1.596877E-03	       -1.894047E-04	       -5.274840E-05	       -0.000000E+00	       -2.464066E-04	       -9.926476E-07	       -1.317275E-04	       -1.485244E-13	       -1.989711E-05	       -8.056703E-06	       -6.687595E-05	       -9.438656E-05	       -2.456349E-03	       -3.799634E-05	       -1.073693E-05	       -6.190420E-05	       -6.624150E-03	       -8.106398E-07	       -4.565926E-11	       -4.330277E-07	       -1.122162E-06	       -5.378766E-07	       -9.300851E-07	       -8.093612E-08	       -3.665361E-08	       -3.003901E-07	       -2.821068E-09	       -2.129543E-06	       -5.913349E-07	       -9.105944E-07	       -5.763464E-07	       -1.023450E-07	       -1.706498E-07	       -1.165716E-07	       -5.092412E-07	       -2.193048E-10	       -2.323350E-09	       -1.069950E-09	       -5.283558E-07	       -1.568170E-02	       -9.712690E-09	       -6.137046E-06	       -8.222720E-08	       -1.500515E-08	       -5.280610E-06	       -1.916454E-02	       -1.761447E-06	       -7.967758E-09	       -1.186453E-10	       -2.359275E-12	       -7.289068E-11	       -2.439969E-08	       -1.227901E-09	       -1.794733E-09
        6.001400E-03	       -1.450447E-06	       -2.804312E-05	       -1.318441E-05	       -6.229828E-07	       -9.855909E-05	       -2.083773E-07	       -8.009989E-05	       -7.715726E-05	       -1.473795E-04	       -1.247931E-03	       -1.738320E-04	       -6.881043E-06	       -6.442461E-09	       -2.250475E-05	       -6.670998E-11	       -5.435018E-05	       -4.143895E-07	       -2.992920E-10	       -6.072778E-05	       -1.218938E-04	       -6.078648E-06	       -3.088388E-06	       -1.164364E-06	       -3.217314E-05	       -3.506996E-13	       -6.999061E-06	       -1.315595E-04	       -6.425174E-15	       -1.695706E-02	       -8.075150E-05	       -8.558920E-07	       -5.391962E-05	       -1.855357E-04	       -1.345397E-05	       -2.492398E-07	       -5.541659E-06	       -4.310042E-06	       -3.354698E-04	       -6.008131E-05	       -4.338825E-04	       -7.017417E-06	       -5.728064E-06	       -7.347329E-11	       -5.025095E-07	       -4.001235E-06	       -1.390063E-04	       -2.473027E-05	       -1.620080E-02	       -2.277269E-09	       -2.771793E-04	       -1.237628E-06	       -1.489807E-03	       -2.420753E-06	       -1.393640E-02	       -4.208198E-03	       -1.423502E-04	       -0.000000E+00	       -2.076776E-03	       -1.555606E-04	       -9.695956E-05	       -4.768831E-13	       -4.110216E-05	       -5.256220E-05	       -5.473365E-05	       -1.001444E-04	       -2.255255E-02	       -2.829488E-04	       -1.120703E-05	       -1.097309E-04	       -1.130070E-02	       -1.819979E-06	       -8.598291E-11	       -4.157626E-06	       -1.700487E-06	       -1.972162E-06	       -1.421639E-06	       -6.102151E-07	       -5.781294E-07	       -1.938043E-08	       -9.801832E-08	       -2.197261E-06	       -1.598752E-06	       -7.174394E-07	       -1.188592E-06	       -2.822286E-07	       -2.542117E-06	       -2.289348E-07	       -1.092736E-06	       -7.316909E-08	       -2.679100E-09	       -1.314194E-08	       -5.729288E-07	       -5.513636E-03	       -1.410068E-08	       -1.753324E-07	       -7.732090E-09	       -6.034353E-09	       -1.839660E-07	       -6.209769E-03	       -5.828924E-06	       -5.569965E-09	       -6.529259E-11	       -4.696611E-11	       -3.222601E-09	       -4.490322E-08	       -7.058615E-10	       -3.704267E-09
        7.001330E-03	       -8.643419E-07	       -2.620451E-05	       -2.191715E-05	       -3.163712E-07	       -7.942523E-05	       -3.755271E-08	       -8.923907E-05	       -6.321326E-05	       -1.192751E-04	       -1.649717E-03	       -7.415531E-05	       -5.420590E-06	       -1.427898E-09	       -1.521914E-05	       -2.303598E-11	       -3.980756E-05	       -2.418410E-07	       -1.039600E-10	       -4.446545E-05	       -1.421928E-04	       -3.380397E-06	       -1.460691E-06	       -5.663200E-07	       -3.293703E-05	       -1.489908E-13	       -4.161677E-06	       -1.069537E-04	       -6.031301E-16	       -2.791081E-02	       -6.041251E-05	       -4.149813E-07	       -4.339872E-05	       -8.282700E-05	       -9.868525E-06	       -2.014488E-07	       -5.134040E-06	       -3.572695E-06	       -2.584684E-04	       -5.628666E-05	       -5.312162E-04	       -5.094673E-06	       -4.685428E-06	       -2.461106E-11	       -1.424461E-07	       -1.713700E-06	       -1.011983E-04	       -2.381071E-05	       -2.512461E-02	       -1.085009E-09	       -2.351883E-04	       -9.294615E-07	       -1.502969E-03	       -1.332268E-06	       -2.185123E-02	       -7.307760E-03	       -2.106285E-04	       -0.000000E+00	       -2.958899E-03	       -2.913655E-04	       -8.669636E-05	       -3.095480E-13	       -5.509093E-05	       -4.592803E-05	       -5.270606E-05	       -9.694432E-05	       -3.667438E-02	       -4.202389E-04	       -1.126040E-05	       -1.248020E-04	       -1.380880E-02	       -1.190881E-06	       -4.303789E-11	       -6.455592E-06	       -1.384399E-06	       -1.709801E-06	       -1.225074E-06	       -1.050924E-06	       -5.847329E-07	       -8.386524E-09	       -1.924076E-07	       -2.060808E-06	       -2.405452E-06	       -1.072300E-06	       -1.063254E-06	       -2.728126E-07	       -1.480948E-06	       -1.639843E-07	       -8.962114E-07	       -8.258697E-08	       -8.690940E-10	       -7.886866E-09	       -5.628748E-07	       -2.576142E-03	       -9.275182E-09	       -5.880114E-08	       -2.983290E-09	       -1.429455E-09	       -6.596590E-08	       -2.849955E-03	       -1.331006E-06	       -1.252052E-09	       -3.154666E-11	       -3.361383E-11	       -3.192184E-09	       -3.819408E-08	       -3.899129E-10	       -1.764807E-09
        8.002410E-03	       -4.383119E-07	       -9.177387E-06	       -2.027864E-05	       -1.792177E-07	       -3.763731E-05	       -7.529992E-08	       -7.149583E-05	       -2.821000E-05	       -6.617615E-05	       -1.279018E-03	       -4.927546E-05	       -2.673237E-06	       -8.164630E-10	       -7.691593E-06	       -1.242465E-11	       -2.350913E-05	       -1.234421E-07	       -5.506940E-11	       -2.542574E-05	       -1.190020E-04	       -2.020098E-06	       -9.097158E-07	       -3.969176E-07	       -2.778920E-05	       -4.255523E-14	       -2.204041E-06	       -5.582613E-05	        6.422911E-82	       -2.450179E-02	       -3.207506E-05	       -2.398112E-07	       -2.483143E-05	       -5.494422E-05	       -6.523628E-06	       -1.180712E-07	       -3.459359E-06	       -2.324543E-06	       -1.381909E-04	       -3.979219E-05	       -4.566558E-04	       -2.747932E-06	       -2.993063E-06	       -1.283375E-11	       -7.764512E-08	       -8.278786E-07	       -5.034253E-05	       -1.676102E-05	       -2.121423E-02	       -4.726780E-10	       -1.503123E-04	       -4.716529E-07	       -1.068609E-03	       -7.842859E-07	       -1.918361E-02	       -6.093992E-03	       -1.494230E-04	       -0.000000E+00	       -1.829806E-03	       -1.862635E-04	       -6.229168E-05	       -2.000970E-13	       -4.116920E-05	       -2.431024E-05	       -3.961982E-05	       -7.068070E-05	       -3.164887E-02	       -3.070999E-04	       -8.866457E-06	       -8.884196E-05	       -1.118930E-02	       -4.307207E-07	       -1.428242E-11	       -5.534427E-06	       -7.992844E-07	       -9.357852E-07	       -7.773857E-07	       -1.102826E-06	       -2.645950E-07	       -4.424999E-09	       -1.941655E-07	       -1.453178E-06	       -2.252369E-06	       -1.029014E-06	       -5.786421E-07	       -1.208501E-07	       -3.760183E-07	       -9.866867E-08	       -5.180016E-07	       -2.339854E-08	       -3.732860E-10	       -1.711496E-09	       -4.352710E-07	       -1.721137E-03	       -5.164131E-09	       -5.125713E-08	       -2.489390E-09	       -9.022012E-10	       -5.457670E-08	       -1.898525E-03	       -3.472875E-06	       -7.661687E-10	       -9.362038E-12	       -9.625499E-12	       -9.806961E-10	       -2.093039E-08	       -8.690374E-11	       -2.890850E-10
        9.008490E-03	       -1.170509E-07	       -4.259679E-07	       -8.242207E-06	       -8.344543E-08	       -8.744325E-06	       -4.070539E-09	       -2.378094E-05	       -4.256178E-06	       -1.917808E-05	       -3.580319E-04	       -2.995503E-05	       -4.494037E-07	       -3.433810E-09	       -3.589910E-06	       -8.696824E-12	       -1.005354E-05	       -7.183876E-08	       -4.705920E-11	       -7.687524E-06	       -4.072073E-05	       -5.867408E-07	       -3.709652E-07	       -4.685048E-07	       -1.296569E-05	       -8.860879E-15	       -9.431709E-07	       -1.387585E-05	       -2.670010E-16	       -8.308404E-03	       -8.516406E-06	       -1.266258E-07	       -6.732638E-06	       -3.171062E-05	       -2.467865E-06	       -3.346643E-08	       -1.110818E-06	       -9.110929E-07	       -4.393824E-05	       -1.378856E-05	       -2.087227E-04	       -8.344918E-07	       -9.469856E-07	       -8.985421E-12	       -9.031438E-08	       -6.111549E-07	       -1.473514E-05	       -5.681626E-06	       -6.959304E-03	       -2.051965E-10	       -5.368501E-05	       -8.001959E-08	       -3.413976E-04	       -4.544953E-07	       -6.761359E-03	       -1.738624E-03	       -2.684230E-05	       -0.000000E+00	       -2.076406E-04	       -1.647431E-05	       -2.436106E-05	       -1.301310E-13	       -9.761193E-06	       -5.594394E-06	       -1.514415E-05	       -2.470994E-05	       -1.036514E-02	       -5.567077E-05	       -3.231958E-06	       -2.270946E-05	       -4.198610E-03	       -8.115454E-08	       -4.840560E-12	       -1.973007E-06	       -2.581125E-07	       -2.531685E-07	       -2.709610E-07	       -6.439747E-07	       -3.397917E-08	       -3.894606E-09	       -8.824244E-08	       -5.177711E-07	       -1.203246E-06	       -5.428700E-07	       -1.780956E-07	       -2.571596E-08	       -6.376726E-08	       -4.869590E-08	       -1.898944E-07	       -4.773782E-10	       -2.193920E-10	       -2.310278E-10	       -1.597175E-07	       -2.382269E-03	       -2.209041E-09	       -1.499864E-07	       -6.882370E-09	       -1.134181E-09	       -1.589580E-07	       -2.748015E-03	       -9.629249E-07	       -8.581436E-10	       -2.318879E-12	       -1.336044E-12	       -3.171294E-11	       -7.358308E-09	       -1.964302E-11	       -3.854261E-11
        1.000700E-02	       -2.277035E-08	       -2.173390E-08	       -4.228909E-06	       -1.131632E-08	       -2.282018E-06	       -1.850686E-08	       -1.262380E-05	       -6.152618E-07	       -4.951281E-06	       -2.139840E-04	       -9.666967E-06	       -8.261723E-08	       -2.150222E-09	       -1.597525E-06	       -5.031670E-12	       -3.925950E-06	       -2.555293E-08	       -9.620890E-12	       -1.721466E-06	       -2.165308E-05	       -1.110357E-07	       -7.513335E-08	       -1.687061E-07	       -7.714828E-06	       -3.803457E-16	       -2.366754E-07	       -3.145461E-06	       -5.162584E-17	       -3.859899E-03	       -1.832662E-06	       -1.953913E-08	       -2.092505E-06	       -1.039084E-05	       -8.176866E-07	       -6.097209E-09	       -4.545160E-07	       -3.760901E-07	       -1.320610E-05	       -6.929204E-06	       -1.038145E-04	       -2.259606E-07	       -3.240055E-07	       -5.100191E-12	       -1.683658E-08	       -1.876983E-07	       -3.549144E-06	       -2.477425E-06	       -3.195129E-03	       -9.911160E-11	       -2.346142E-05	       -8.436836E-09	       -1.529430E-04	       -1.411433E-07	       -3.162879E-03	       -7.829255E-04	       -1.200886E-05	       -0.000000E+00	       -4.547548E-05	       -3.121779E-06	       -1.245337E-05	       -9.093610E-14	       -4.854167E-06	       -1.787522E-06	       -7.796942E-06	       -1.171723E-05	       -4.775925E-03	       -2.548956E-05	       -1.743052E-06	       -1.045462E-05	       -3.005740E-03	       -1.123957E-08	       -6.812179E-13	       -9.469600E-07	       -7.301580E-08	       -7.872278E-08	       -8.883007E-08	       -4.061073E-07	       -6.638243E-09	       -9.790144E-10	       -5.288607E-08	       -2.316593E-07	       -7.253796E-07	       -3.191620E-07	       -8.571810E-08	       -1.387966E-08	       -1.248469E-08	       -2.887368E-08	       -8.925550E-08	       -1.556550E-11	       -1.404610E-10	       -5.506591E-11	       -7.877607E-08	       -8.945004E-04	       -2.739315E-10	       -7.882750E-08	       -3.733860E-09	       -5.801371E-10	       -8.054680E-08	       -1.020524E-03	       -1.979272E-07	       -4.560622E-10	       -1.718591E-12	       -1.716089E-13	       -1.146613E-12	       -3.559701E-09	       -4.056151E-12	       -3.706643E-12
