            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        2.862388E-10	        5.824102E-13	        1.873305E-09	        5.329140E-10	        1.067689E-08	        1.201245E-09	        4.482110E-10	        2.099592E-09	        2.116096E-08	        9.934330E-09	        1.421091E-09	        5.420144E-10	        4.464840E-10	        4.071064E-08	        1.616621E-18	        8.272384E-08	        6.897949E-09	        6.961410E-16	        8.111002E-08	        2.716831E-10	        1.623196E-11	        1.137421E-11	        2.850664E-08	        1.698580E-08	        4.164920E-15	        2.084126E-08	        3.569670E-08	        6.103130E-24	        4.571333E-07	        3.730051E-08	        7.061051E-10	        4.778865E-08	        5.380508E-08	        3.719519E-06	        1.776674E-10	        1.252151E-14	        4.931560E-10	        4.413998E-07	        1.204161E-06	        3.579995E-07	        3.612427E-07	        2.301623E-10	        3.070409E-17	        1.511322E-08	        1.047414E-07	        4.872366E-07	        7.198474E-17	        5.537407E-07	        1.522356E-12	        1.034293E-04	        3.457622E-12	        1.026889E-04	        5.908440E-08	        8.340588E-08	        4.222351E-06	        7.928866E-08	        0.000000E+00	        3.265283E-08	        2.892644E-08	        1.269701E-07	        7.409186E-19	        0.000000E+00	        2.701260E-09	        2.853381E-07	        8.193446E-09	        1.026121E-04	        7.856883E-11	        8.501138E-12	        4.652811E-12	        0.000000E+00	        1.019771E-04	        3.230721E-16	        1.789352E-10	        5.168282E-10	        1.316202E-11	        5.722516E-11	        1.172605E-12	        8.973100E-14	        6.588724E-11	        5.732952E-11	        4.451277E-11	        1.002547E-10	        6.563378E-11	        3.453854E-10	        1.889269E-10	        6.709176E-12	        3.820242E-12	        1.746368E-11	        8.819813E-17	        7.859120E-13	        3.271853E-14	        5.597158E-14	        1.339905E-05	        2.223100E-11	        3.332184E-09	        1.526780E-10	        5.926025E-12	        6.163960E-09	        1.855520E-05	        9.664132E-12	        3.137052E-14	        6.942641E-16	        4.214821E-18	        2.254040E-17	        1.170657E-12	        6.686942E-14	        1.722766E-15
        2.000000E-03	        1.707134E-07	        1.291669E-09	        9.069651E-07	        1.518783E-07	        2.950351E-06	        1.515005E-07	        1.807604E-07	        7.381917E-07	        3.548302E-06	        8.859895E-08	        6.636930E-07	        4.374129E-08	        7.660620E-08	        5.319530E-06	        3.112387E-13	        7.750064E-06	        1.099539E-06	        5.861120E-11	        9.145372E-06	        9.138066E-08	        2.297988E-08	        1.293512E-08	        3.866268E-06	        2.054875E-06	        3.974070E-13	        3.051868E-06	        3.013674E-06	        6.677510E-16	        4.446331E-05	        5.927578E-06	        3.016266E-07	        4.728078E-06	        1.493040E-06	        3.271104E-05	        3.002579E-08	        2.734245E-11	        1.428031E-07	        3.457080E-05	        1.161916E-05	        3.462811E-05	        3.665825E-06	        5.002244E-08	        4.691705E-13	        8.473274E-07	        8.842786E-06	        1.447658E-05	        2.376736E-13	        4.969950E-05	        2.883242E-10	        9.287453E-04	        4.084837E-09	        9.665982E-04	        6.159461E-07	        2.776523E-05	        1.027377E-04	        9.184724E-07	        0.000000E+00	        4.752332E-06	        8.314869E-06	        6.839964E-06	        1.784617E-14	        0.000000E+00	        7.538266E-07	        5.033332E-06	        6.079964E-07	        9.765092E-04	        1.319635E-08	        1.237793E-08	        4.509958E-09	        0.000000E+00	        9.004470E-04	        6.582393E-13	        1.472088E-08	        1.357567E-07	        7.902504E-09	        4.469484E-08	        4.401507E-10	        8.434127E-11	        4.067677E-08	        1.135933E-09	        3.429382E-08	        7.444712E-08	        2.591682E-08	        2.870081E-08	        5.613679E-09	        3.481176E-09	        3.196389E-09	        4.436013E-09	        6.747971E-13	        4.039800E-10	        1.723758E-11	        3.377875E-10	        2.517427E-03	        2.725734E-09	        1.066698E-06	        2.081010E-08	        1.355538E-09	        1.369440E-06	        2.673690E-03	        2.593494E-09	        1.989194E-10	        1.126466E-12	        1.061759E-14	        2.766717E-13	        4.214118E-10	        2.803247E-11	        1.296434E-11
        3.100000E-03	        1.575302E-07	        4.817426E-09	        6.158168E-07	        1.446867E-07	        7.300272E-06	        2.087616E-07	        3.401332E-07	        1.587477E-06	        8.047877E-06	        5.900947E-08	        2.270384E-06	        8.355202E-08	        1.071370E-07	        1.001394E-05	        2.703180E-12	        9.187750E-06	        8.015590E-07	        1.071850E-10	        1.283076E-05	        5.738512E-08	        7.448350E-08	        3.599987E-08	        4.340223E-06	        2.407962E-06	        1.815460E-13	        3.124990E-06	        3.769826E-06	        8.356900E-15	        1.304863E-04	        8.203238E-06	        2.785968E-07	        5.055514E-06	        3.925734E-06	        3.127973E-05	        1.802334E-08	        5.675986E-11	        3.761839E-07	        5.735539E-05	        1.175750E-05	        5.719388E-05	        3.801938E-06	        5.550406E-08	        2.117886E-12	        9.579142E-07	        8.725996E-06	        2.121729E-05	        1.034097E-12	        1.269584E-04	        1.835031E-10	        8.857402E-04	        3.984302E-09	        9.418968E-04	        4.593978E-07	        8.267006E-05	        1.562799E-04	        7.800348E-07	        0.000000E+00	        7.566822E-06	        3.352581E-05	        4.702621E-06	        4.407864E-14	        0.000000E+00	        1.611811E-06	        4.649444E-06	        4.977635E-07	        1.040174E-03	        6.863417E-09	        1.205348E-08	        2.973616E-09	        0.000000E+00	        8.454184E-04	        3.813809E-12	        3.953559E-08	        3.111133E-07	        5.142336E-08	        1.657443E-07	        3.984377E-09	        8.623523E-10	        6.233937E-08	        6.227432E-09	        5.399354E-08	        2.877916E-07	        6.475026E-08	        5.645183E-08	        2.302234E-08	        9.207813E-09	        1.479662E-08	        2.555581E-08	        2.579997E-12	        5.684840E-10	        4.747959E-11	        4.782671E-10	        4.295555E-03	        5.173734E-09	        1.183712E-06	        3.223090E-08	        1.558879E-09	        1.393080E-06	        4.397340E-03	        5.392023E-09	        2.665887E-10	        1.800495E-12	        3.972850E-14	        5.931967E-13	        2.240756E-09	        6.138063E-11	        6.706355E-11
        4.100000E-03	        4.772999E-07	        1.670682E-08	        1.487869E-06	        7.348473E-07	        1.681776E-05	        8.401222E-07	        6.710727E-07	        3.194146E-06	        1.807494E-05	        1.784143E-07	        6.384455E-06	        2.029224E-07	        2.194740E-07	        2.491502E-05	        1.204940E-11	        1.831425E-05	        1.731681E-06	        3.884740E-10	        3.595196E-05	        1.574790E-07	        2.233617E-07	        1.226235E-07	        1.423200E-05	        5.123723E-06	        1.260370E-12	        9.815343E-06	        7.790751E-06	        3.198220E-14	        2.793585E-04	        2.134425E-05	        1.407268E-06	        1.343922E-05	        9.848962E-06	        1.081923E-04	        5.998045E-08	        2.997428E-10	        9.466825E-07	        1.374204E-04	        4.084412E-05	        1.078908E-04	        1.288669E-05	        2.055537E-07	        8.978480E-12	        3.575597E-06	        2.874316E-05	        5.423216E-05	        2.258227E-12	        3.065500E-04	        7.657120E-10	        2.952110E-03	        1.609200E-08	        3.064393E-03	        1.473825E-06	        1.858771E-04	        4.281073E-04	        1.940492E-06	        0.000000E+00	        2.528164E-05	        7.574927E-05	        8.912386E-06	        1.654926E-13	        0.000000E+00	        3.107098E-06	        1.570318E-05	        1.244069E-06	        3.292577E-03	        2.310320E-08	        5.312845E-08	        1.051578E-08	        0.000000E+00	        2.853735E-03	        7.548467E-12	        8.213405E-08	        7.241585E-07	        1.012277E-07	        3.055718E-07	        1.090431E-08	        2.491945E-09	        1.050911E-07	        1.507594E-08	        9.584013E-08	        6.116393E-07	        1.661432E-07	        1.024354E-07	        4.062953E-08	        2.885288E-07	        4.186053E-08	        6.735864E-08	        1.040447E-11	        1.080270E-09	        1.549611E-10	        1.637621E-09	        8.435515E-03	        1.460415E-08	        2.956249E-06	        5.855070E-08	        4.004698E-09	        3.383450E-06	        8.224830E-03	        1.411571E-08	        1.072494E-09	        3.116796E-11	        1.784477E-13	        2.404343E-12	        5.273208E-09	        1.510151E-10	        1.790671E-10
        5.013280E-03	        1.696778E-06	        1.886651E-07	        2.996950E-06	        4.942421E-06	        6.132219E-05	        3.320657E-06	        1.429463E-06	        9.393344E-06	        6.876822E-05	        4.978187E-07	        6.722043E-05	        9.498761E-07	        3.875480E-07	        8.463612E-05	        2.291457E-10	        3.800861E-05	        2.553869E-06	        1.713430E-09	        1.260533E-04	        3.085896E-07	        1.917244E-06	        1.130225E-06	        4.827427E-05	        9.720813E-06	        4.988200E-12	        3.361241E-05	        2.116633E-05	        3.069680E-13	        1.522446E-03	        7.072476E-05	        8.773456E-06	        4.229853E-05	        7.726410E-05	        2.860462E-04	        1.023925E-07	        3.333589E-09	        3.651591E-06	        4.000965E-04	        1.171092E-04	        2.106669E-04	        4.537850E-05	        1.093867E-06	        1.802710E-10	        1.253767E-05	        1.117865E-04	        1.755508E-04	        6.330337E-12	        1.704152E-03	        2.407074E-09	        6.894960E-03	        8.631570E-08	        7.147145E-03	        4.432031E-06	        1.053127E-03	        1.420327E-03	        5.014177E-06	        0.000000E+00	        1.514264E-04	        3.636610E-04	        1.312433E-05	        1.084250E-12	        0.000000E+00	        8.021300E-06	        5.274840E-05	        3.064884E-06	        8.919540E-03	        5.651464E-08	        3.650592E-07	        2.599884E-08	        0.000000E+00	        6.628470E-03	        2.881000E-11	        4.220184E-07	        2.310447E-06	        5.285088E-07	        9.460806E-07	        8.243618E-08	        3.027877E-08	        1.279395E-07	        5.724797E-08	        1.427827E-07	        2.377004E-06	        4.744137E-07	        2.076890E-07	        9.997044E-08	        1.805338E-06	        2.397504E-07	        5.059780E-07	        1.832309E-10	        1.508600E-09	        1.112892E-09	        7.359519E-09	        1.916497E-02	        6.122937E-08	        5.284695E-06	        8.876760E-08	        1.517077E-08	        6.129840E-06	        1.568160E-02	        1.138766E-07	        7.834583E-09	        1.186589E-10	        2.772292E-12	        2.433636E-11	        2.642072E-08	        3.918732E-10	        9.056530E-10
        6.001400E-03	        2.773406E-06	        2.495572E-05	        1.328881E-05	        2.833568E-05	        1.086867E-04	        4.823790E-06	        8.502197E-07	        7.245551E-05	        1.419453E-04	        2.193210E-06	        1.712792E-04	        5.695628E-06	        5.921130E-09	        1.314708E-04	        6.111118E-11	        5.050435E-05	        9.694562E-07	        3.052420E-10	        1.496736E-04	        6.819979E-08	        5.663718E-06	        3.075729E-06	        4.534761E-05	        2.446507E-06	        1.173230E-12	        2.818892E-05	        8.465308E-05	        1.139230E-14	        1.727004E-02	        9.782230E-05	        3.261146E-05	        4.998575E-05	        1.742353E-04	        8.318111E-04	        2.294771E-08	        7.508373E-08	        5.610992E-06	        5.585013E-04	        3.833498E-04	        4.306316E-04	        2.889229E-04	        2.618735E-06	        7.055409E-11	        1.384893E-05	        1.323858E-04	        4.555883E-04	        5.006622E-12	        1.618256E-02	        9.172470E-10	        1.184737E-02	        3.082080E-07	        1.226683E-02	        1.435493E-05	        1.224096E-02	        6.171468E-03	        1.531905E-05	        0.000000E+00	        1.965887E-03	        1.550448E-03	        9.449068E-06	        1.378018E-13	        0.000000E+00	        5.240383E-05	        1.423502E-04	        5.303130E-06	        3.387346E-02	        7.245392E-09	        1.993160E-06	        1.441958E-08	        0.000000E+00	        1.130535E-02	        7.407487E-11	        4.128612E-06	        2.282246E-06	        1.820481E-06	        1.419138E-06	        6.187557E-07	        5.287104E-07	        1.383826E-08	        2.455185E-07	        1.159500E-07	        4.450740E-06	        7.052584E-07	        5.226873E-07	        2.769286E-07	        6.009388E-06	        1.942022E-07	        1.048713E-06	        6.389750E-08	        1.911820E-10	        1.190975E-08	        2.243076E-08	        6.210094E-03	        3.926132E-08	        1.843519E-07	        8.803120E-09	        5.924246E-09	        1.749780E-07	        5.513610E-03	        2.305114E-06	        3.049383E-09	        5.122677E-11	        3.704570E-11	        2.722325E-09	        4.486907E-08	        3.965778E-10	        2.226321E-09
        7.001330E-03	        2.497482E-06	        2.317233E-05	        2.204323E-05	        3.393103E-05	        9.102561E-05	        5.356144E-06	        5.076042E-07	        5.917883E-05	        1.126963E-04	        3.202845E-06	        7.219935E-05	        4.380413E-06	        1.239450E-09	        1.613267E-04	        2.093655E-11	        3.894654E-05	        8.838885E-07	        1.040310E-10	        1.627262E-04	        2.030447E-08	        3.098818E-06	        1.454692E-06	        4.890897E-05	        1.164585E-06	        8.068530E-13	        2.699154E-05	        6.017266E-05	        2.090990E-15	        2.809042E-02	        8.388442E-05	        3.702609E-05	        4.297896E-05	        7.516769E-05	        1.085885E-03	        1.171335E-08	        6.393702E-08	        5.189153E-06	        5.612017E-04	        5.008199E-04	        5.301251E-04	        4.242558E-04	        2.332576E-06	        2.403159E-11	        1.583457E-05	        1.519889E-04	        5.778037E-04	        3.770221E-12	        2.508329E-02	        4.312070E-10	        1.443609E-02	        1.627503E-07	        1.476745E-02	        2.041746E-05	        2.040651E-02	        9.499999E-03	        2.017117E-05	        0.000000E+00	        2.869069E-03	        1.552055E-03	        5.761452E-06	        5.630873E-14	        0.000000E+00	        4.567224E-05	        2.106285E-04	        4.185496E-06	        5.043480E-02	        2.262469E-09	        1.721631E-06	        6.282474E-09	        0.000000E+00	        1.381318E-02	        3.737231E-11	        6.424477E-06	        2.128505E-06	        1.564356E-06	        1.200648E-06	        1.059102E-06	        5.108722E-07	        6.322940E-09	        4.128565E-07	        8.364596E-08	        4.870193E-06	        1.069579E-06	        4.740968E-07	        2.692220E-07	        1.511412E-06	        1.543839E-07	        8.585884E-07	        7.324271E-08	        5.523700E-11	        7.285340E-09	        1.213418E-08	        2.850337E-03	        3.637331E-08	        6.612013E-08	        3.395500E-09	        1.381361E-09	        5.867180E-08	        2.576130E-03	        1.257608E-06	        6.184781E-10	        2.187703E-11	        2.449005E-11	        2.651058E-09	        3.872976E-08	        1.863081E-10	        1.101209E-09
        8.002410E-03	        1.426673E-06	        7.943843E-06	        2.037008E-05	        2.192818E-05	        4.953342E-05	        4.475136E-06	        2.497377E-07	        2.594962E-05	        6.101271E-05	        2.347960E-06	        4.807022E-05	        2.064552E-06	        6.451340E-10	        1.188304E-04	        1.134608E-11	        2.360431E-05	        5.728635E-07	        5.368030E-11	        1.155770E-04	        5.248119E-09	        1.845510E-06	        9.119324E-07	        3.865715E-05	        8.217373E-07	        4.328380E-13	        2.012287E-05	        3.437547E-05	        5.234330E-16	        2.453686E-02	        5.149121E-05	        2.448749E-05	        2.969607E-05	        4.982779E-05	        8.487195E-04	        6.774462E-09	        2.586237E-08	        3.491702E-06	        3.664054E-04	        3.845130E-04	        4.570653E-04	        3.096743E-04	        1.474480E-06	        1.269088E-11	        1.230313E-05	        1.267885E-04	        4.123881E-04	        2.254385E-12	        2.114961E-02	        1.328667E-10	        1.164613E-02	        7.013832E-08	        1.178232E-02	        1.505507E-05	        1.825730E-02	        7.742310E-03	        1.459529E-05	        0.000000E+00	        1.772235E-03	        1.100355E-03	        2.982286E-06	        2.951755E-14	        0.000000E+00	        2.404715E-05	        1.494230E-04	        2.046359E-06	        4.272854E-02	        6.429787E-10	        9.281833E-07	        2.705561E-09	        0.000000E+00	        1.119249E-02	        1.214947E-11	        5.509800E-06	        1.486546E-06	        8.603264E-07	        7.511162E-07	        1.109722E-06	        2.264887E-07	        3.380616E-09	        4.438670E-07	        3.819635E-08	        3.729608E-06	        1.029117E-06	        1.812547E-07	        1.210317E-07	        3.553354E-06	        9.137897E-08	        4.888815E-07	        2.094498E-08	        1.555800E-11	        1.702974E-09	        6.217602E-09	        1.898854E-03	        3.130990E-08	        5.469523E-08	        2.746740E-09	        8.759606E-10	        5.114730E-08	        1.721130E-03	        2.755839E-07	        4.007651E-10	        9.530173E-12	        5.819838E-12	        8.154133E-10	        2.144459E-08	        3.453173E-11	        1.984760E-10
        9.008490E-03	        2.590618E-07	        3.313653E-07	        8.230422E-06	        3.018237E-06	        1.407585E-05	        1.774944E-06	        1.164025E-07	        3.653666E-06	        1.725721E-05	        4.387956E-07	        2.908817E-05	        2.974711E-07	        2.360500E-09	        3.093126E-05	        8.271167E-12	        8.596127E-06	        1.679849E-07	        3.980460E-11	        3.290491E-05	        2.099711E-09	        5.421932E-07	        3.566965E-07	        1.489726E-05	        8.107879E-07	        1.657510E-13	        7.617175E-06	        9.119695E-06	        6.254220E-16	        8.255922E-03	        1.410582E-05	        4.009429E-06	        1.096033E-05	        3.029789E-05	        2.475220E-04	        4.108873E-09	        1.587424E-09	        1.120459E-06	        1.027960E-04	        1.038705E-04	        2.104120E-04	        5.667876E-05	        3.349733E-07	        8.789646E-12	        4.136924E-06	        4.414367E-05	        8.930546E-05	        1.169853E-12	        6.921696E-03	        3.880230E-11	        4.327057E-03	        1.374063E-08	        4.353393E-03	        3.043209E-06	        6.469357E-03	        2.270440E-03	        3.035555E-06	        0.000000E+00	        1.800726E-04	        3.544802E-04	        1.109004E-06	        1.852974E-14	        0.000000E+00	        5.353435E-06	        2.684230E-05	        3.603362E-07	        1.450010E-02	        2.940824E-10	        1.345534E-07	        6.284722E-10	        0.000000E+00	        4.199663E-03	        3.273784E-12	        1.965993E-06	        5.264688E-07	        2.351493E-07	        2.650081E-07	        6.462881E-07	        3.006603E-08	        2.460065E-09	        3.259806E-07	        9.961156E-09	        1.679106E-06	        5.389309E-07	        4.046598E-08	        2.586538E-08	        9.796468E-07	        5.052024E-08	        1.810328E-07	        4.338160E-10	        1.177510E-11	        2.236191E-10	        2.357821E-09	        2.748134E-03	        1.566811E-08	        1.592102E-07	        7.565700E-09	        1.102398E-09	        1.497420E-07	        2.382260E-03	        4.090866E-08	        4.760303E-10	        3.132425E-12	        7.232091E-13	        2.767715E-11	        7.567633E-09	        7.694260E-12	        2.529517E-11
        1.000700E-02	        5.457054E-08	        1.540962E-08	        4.211162E-06	        6.568918E-07	        5.699305E-06	        1.005718E-06	        3.429977E-08	        5.236220E-07	        4.366128E-06	        2.033681E-07	        9.014897E-06	        6.551434E-08	        1.250590E-09	        1.541145E-05	        4.901082E-12	        3.374380E-06	        6.080930E-08	        7.299370E-12	        1.553997E-05	        2.195363E-10	        1.022309E-07	        6.891930E-08	        8.466643E-06	        2.993507E-07	        9.096700E-14	        3.902790E-06	        2.607729E-06	        2.076640E-16	        3.827936E-03	        4.771481E-06	        9.603414E-07	        5.428678E-06	        9.811235E-06	        1.514952E-04	        8.232844E-10	        1.212307E-10	        4.562492E-07	        4.514353E-05	        5.944192E-05	        1.062386E-04	        2.589400E-05	        1.121140E-07	        5.024842E-12	        2.210766E-06	        2.341154E-05	        4.010732E-05	        5.519333E-13	        3.162462E-03	        6.129340E-12	        3.074056E-03	        1.096219E-09	        3.059734E-03	        1.447131E-06	        3.033552E-03	        1.059842E-03	        1.337413E-06	        0.000000E+00	        3.462910E-05	        1.589736E-04	        3.023460E-07	        5.297225E-15	        0.000000E+00	        1.580264E-06	        1.200886E-05	        1.039404E-07	        7.763208E-03	        3.144682E-11	        2.390527E-08	        3.398754E-11	        0.000000E+00	        3.006275E-03	        4.072497E-13	        9.442407E-07	        2.339958E-07	        7.231847E-08	        8.601345E-08	        4.052822E-07	        5.633048E-09	        7.248663E-10	        2.565930E-07	        2.221087E-09	        9.009217E-07	        3.152771E-07	        1.753759E-08	        1.424235E-08	        2.050482E-07	        3.144672E-08	        8.459431E-08	        1.567836E-11	        1.815620E-12	        5.309277E-11	        2.322371E-10	        1.020589E-03	        9.469277E-09	        8.065658E-08	        4.124580E-09	        5.633277E-10	        7.872020E-08	        8.944960E-04	        4.150369E-09	        1.347601E-10	        4.578436E-13	        6.014220E-14	        1.194143E-12	        3.616660E-09	        1.403930E-12	        3.024359E-12
