            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -3.054862E-09	        1.783863E-12	       -7.968608E-09	       -7.938302E-10	       -1.615386E-08	       -1.865575E-09	       -8.114537E-10	       -2.837974E-09	        3.418551E-08	       -1.544006E-05	       -1.763109E-10	        6.918239E-10	       -4.948372E-09	        1.248911E-08	        6.161996E-19	        1.513636E-07	       -1.425034E-08	       -2.229868E-14	       -1.048893E-07	       -2.634535E-08	        3.600639E-11	       -1.738983E-13	       -4.467894E-08	       -1.640016E-07	       -2.648135E-14	       -1.082333E-07	        9.800085E-08	        7.189919E-26	        7.005678E-07	       -3.831690E-08	       -5.252510E-09	        1.206073E-08	        1.327368E-07	        1.146999E-05	        3.346401E-10	       -1.395076E-12	       -7.874621E-10	        3.704134E-07	        3.885222E-06	        3.615572E-07	        1.302729E-06	       -3.004121E-10	       -4.751550E-19	        1.510434E-08	       -1.726069E-07	        1.596020E-06	       -1.901361E-08	        4.251859E-07	        4.386977E-15	        2.767461E-04	        5.428425E-15	        2.735816E-04	        1.371203E-07	       -1.255832E-06	        1.205989E-05	       -5.137521E-07	        0.000000E+00	        5.977947E-08	       -5.557696E-08	        2.703668E-07	        3.445102E-21	       -3.753506E-07	        6.403716E-17	        7.175008E-07	        1.332140E-08	        2.732762E-04	       -1.440030E-06	       -1.845092E-11	       -7.976106E-08	       -2.724116E-04	        2.724108E-04	       -1.891783E-17	        5.967684E-17	       -2.475741E-11	       -4.822182E-11	       -1.395203E-10	       -7.569511E-12	       -8.023149E-14	       -1.115752E-11	        1.253781E-18	       -8.909011E-12	        2.487464E-10	        2.120623E-14	        2.911089E-10	        2.510578E-10	        5.858557E-12	        3.227171E-13	        5.428848E-12	        5.573385E-21	       -2.091145E-13	       -1.262626E-13	       -2.196054E-12	       -2.353105E-05	        6.255249E-14	       -1.301168E-08	       -2.486619E-10	        9.775102E-12	        1.299613E-08	        2.353074E-05	        2.636530E-12	       -2.074577E-16	       -1.330112E-15	        9.496646E-21	        7.328290E-24	        4.025389E-15	        1.430099E-16	        2.900630E-17
        2.000000E-03	       -4.501971E-07	       -3.005508E-09	       -2.201515E-06	       -1.756370E-07	       -3.470289E-06	       -4.889958E-08	       -3.082613E-08	       -7.077090E-07	       -2.947918E-06	       -1.411229E-04	       -8.335093E-08	        1.369831E-08	       -3.268987E-07	       -5.062662E-06	        1.710228E-14	        7.967348E-06	       -1.997030E-06	       -5.152786E-10	       -8.707377E-06	       -2.039037E-07	        1.047543E-08	       -2.241894E-10	       -2.448758E-06	       -7.785191E-07	       -2.253190E-12	       -4.401073E-06	        5.599138E-06	       -1.433731E-14	        5.745507E-05	       -7.287201E-06	       -6.556900E-07	       -6.846620E-07	        1.982609E-06	        1.052376E-04	        4.103280E-08	       -9.260729E-10	       -1.757572E-07	       -2.428776E-05	        3.613318E-05	        3.425750E-05	        1.195774E-05	       -7.387406E-09	       -1.064596E-14	       -1.271996E-07	       -5.448222E-06	        1.927028E-05	       -2.615895E-07	       -1.970884E-05	        1.011790E-12	        2.554654E-03	       -4.078505E-11	        2.571872E-03	        9.488380E-07	       -1.081082E-04	        1.106773E-04	       -3.677495E-06	        0.000000E+00	        7.674753E-07	       -1.360323E-06	        8.600700E-06	        8.293664E-15	       -3.207455E-06	        1.972785E-11	        5.609211E-06	        1.234125E-07	        2.574853E-03	       -1.353103E-05	       -3.918498E-09	       -6.233980E-07	       -2.504568E-03	        2.504380E-03	       -2.017375E-14	       -1.946706E-11	       -1.232128E-09	       -1.620281E-08	       -5.312110E-08	       -1.460075E-09	       -2.882573E-10	       -5.358646E-09	        3.835693E-14	       -8.622777E-10	        8.022681E-08	       -3.102590E-11	        3.489053E-08	        4.317439E-09	        4.563507E-09	        2.602156E-11	        1.519788E-09	       -2.234565E-16	       -1.256853E-10	       -4.471787E-11	        3.702828E-11	       -1.427702E-03	       -1.054843E-09	       -1.396529E-06	       -9.614340E-09	        1.652925E-09	        1.393983E-06	        1.427671E-03	       -4.340761E-09	       -1.736184E-12	       -2.446858E-12	        4.695326E-17	       -3.149567E-16	        2.777525E-12	       -5.419433E-14	        2.386429E-14
        3.100000E-03	       -2.388567E-07	       -8.300025E-09	       -1.220837E-06	       -1.004759E-07	       -5.348696E-06	       -5.352847E-08	       -6.034394E-08	       -8.704726E-07	       -6.565565E-06	       -1.068878E-04	       -2.529251E-07	        6.130294E-08	       -2.920118E-07	       -6.455762E-06	        9.237331E-14	        6.064306E-06	       -1.043973E-06	       -6.364600E-10	       -6.820216E-06	       -1.442929E-07	        1.841035E-08	       -7.492913E-10	       -1.377769E-06	       -2.544747E-07	       -8.700308E-13	       -2.402804E-06	        4.749561E-06	       -6.607531E-14	        1.349974E-04	       -6.122466E-06	       -3.503099E-07	       -1.616105E-07	        8.378847E-07	        7.965765E-05	        2.145022E-08	       -5.360102E-09	       -4.237975E-07	       -3.208398E-05	        2.758338E-05	        4.843526E-05	        8.191713E-06	       -1.571479E-08	       -7.556940E-14	       -4.580100E-08	       -2.271825E-06	        1.384629E-05	       -2.448530E-07	       -1.214591E-04	       -1.545852E-12	        1.964953E-03	       -2.313076E-10	        2.005610E-03	        4.326167E-07	       -2.034573E-04	        8.409739E-05	       -1.897547E-06	        0.000000E+00	        2.524308E-07	       -8.420575E-06	        3.933683E-06	        2.466123E-14	       -1.824813E-06	        1.287493E-10	        3.062761E-06	        3.062525E-09	        2.081660E-03	       -9.382641E-06	       -9.359656E-09	       -3.178448E-07	       -1.924662E-03	        1.924544E-03	       -6.373412E-14	       -1.225626E-10	       -1.787548E-09	       -5.609260E-08	       -9.318035E-08	       -1.067438E-08	       -1.783378E-09	       -1.755511E-09	        1.632273E-12	       -3.316133E-09	        1.828095E-07	       -2.931183E-10	        3.035808E-08	        7.289042E-09	        2.223837E-09	        1.732055E-10	       -4.651458E-09	       -4.704899E-15	       -7.035566E-10	       -1.101056E-10	       -3.124039E-10	       -1.114331E-03	       -1.182584E-09	       -8.226015E-07	       -5.650555E-09	        7.802414E-10	        8.209816E-07	        1.114296E-03	       -6.132722E-09	       -1.845107E-11	       -3.814535E-12	        1.798026E-16	       -1.075040E-15	        1.042307E-11	       -9.418029E-13	       -1.476629E-13
        4.100000E-03	       -7.630784E-07	       -3.584893E-08	       -3.204264E-06	       -3.820645E-07	       -1.037839E-05	       -3.668650E-07	       -2.183930E-07	       -2.160705E-06	       -1.385598E-05	       -3.134392E-04	       -4.074841E-07	        8.352967E-08	       -5.250604E-07	       -1.158885E-05	        3.241329E-13	        1.162562E-05	       -3.049006E-06	       -2.321497E-09	       -1.199048E-05	       -5.291436E-07	        3.410148E-08	       -3.718636E-09	       -2.559592E-06	       -1.093160E-06	       -6.521340E-12	       -4.873172E-06	        9.885854E-06	       -2.206540E-13	        2.532379E-04	       -1.370353E-05	       -1.298065E-06	       -4.406881E-07	        1.885174E-06	        2.338188E-04	        7.950871E-08	       -1.271020E-08	       -8.728640E-07	       -6.151858E-05	        8.059563E-05	        9.552747E-05	        2.543701E-05	       -2.852251E-08	       -2.617255E-13	        2.007111E-08	       -4.866485E-06	        3.694443E-05	       -4.283823E-07	       -2.189477E-04	       -4.502857E-12	        5.750992E-03	       -8.488537E-10	        5.804925E-03	        1.598633E-06	       -3.898994E-04	        2.450216E-04	       -5.506057E-06	        0.000000E+00	        6.050501E-07	       -1.393994E-05	        8.509154E-06	        1.104609E-13	       -5.075268E-06	        2.990939E-10	        8.318388E-06	       -1.314770E-07	        5.940186E-03	       -2.751604E-05	       -3.601748E-08	       -8.158270E-07	       -5.644180E-03	        5.644138E-03	       -1.222071E-13	       -2.815368E-10	        1.504266E-09	       -9.518051E-08	       -1.361972E-07	       -2.026449E-08	       -4.844910E-09	       -3.279164E-09	        5.414168E-12	       -8.284694E-09	        2.929009E-07	       -6.269171E-10	        5.658891E-08	        1.194555E-08	        3.188674E-07	        4.192959E-10	       -5.742288E-09	       -1.208495E-14	       -1.007356E-09	       -3.250980E-10	       -9.240646E-10	       -1.496024E-03	       -3.677916E-09	       -1.751423E-06	       -5.455962E-09	        2.833262E-09	        1.747037E-06	        1.495957E-03	       -3.266183E-07	       -3.846316E-11	       -8.013872E-10	        4.721219E-16	       -4.624111E-15	        1.814063E-11	       -2.849357E-12	       -1.406583E-12
        5.006760E-03	       -1.132405E-06	       -4.369370E-07	       -3.686449E-06	       -8.173193E-07	       -2.087589E-05	       -1.836427E-07	       -6.114766E-07	       -8.452654E-06	       -2.716545E-05	       -4.595803E-04	       -9.344499E-07	        1.688958E-07	       -5.198070E-07	       -1.878921E-05	        1.969616E-12	        1.501160E-05	       -4.295539E-06	       -6.475421E-09	       -9.120786E-06	       -1.299311E-06	        1.015769E-07	       -2.024145E-08	       -2.394033E-06	       -7.178949E-07	       -1.661919E-11	       -5.254644E-06	        1.620903E-05	       -9.469087E-13	        9.374512E-04	       -2.358036E-05	       -2.289165E-06	       -1.278192E-06	        1.171168E-06	        3.429886E-04	        1.388505E-07	       -3.293760E-08	       -2.994750E-06	       -1.068948E-04	        1.197254E-04	        2.246890E-04	        3.783578E-05	       -5.709632E-08	       -1.825478E-12	        1.835485E-07	       -5.368097E-06	        5.069282E-05	       -5.789465E-07	       -1.012319E-03	       -3.728204E-11	        8.431231E-03	       -3.552145E-09	        8.607154E-03	        2.405976E-06	       -1.241496E-03	        3.623370E-04	       -7.980283E-06	        0.000000E+00	       -1.907075E-07	       -8.861199E-05	        9.826828E-06	        4.040390E-13	       -7.057421E-06	        1.147110E-09	        1.140368E-05	       -6.262272E-07	        9.346757E-03	       -3.999803E-05	       -1.138295E-07	       -1.291749E-06	       -8.270498E-03	        8.269756E-03	       -2.573933E-13	       -1.044830E-09	        1.061118E-08	       -2.714197E-07	       -1.100503E-07	       -7.665288E-08	       -4.599074E-08	       -2.941685E-09	        4.238611E-11	       -1.918129E-08	        6.062262E-07	       -2.353504E-09	        5.503111E-08	        1.405332E-08	        8.115214E-07	        1.252520E-09	        2.400999E-08	       -1.123573E-13	       -2.364032E-09	       -1.613540E-09	       -2.965751E-09	        6.694647E-03	       -7.271688E-09	       -3.997073E-07	        2.575588E-08	        7.248877E-10	        3.949525E-07	       -6.694758E-03	       -8.903258E-07	       -1.561546E-10	       -2.070117E-10	       -4.746490E-16	       -3.633082E-14	        8.596932E-12	       -1.113754E-11	       -1.433497E-11
        6.007750E-03	       -2.820857E-07	       -1.147056E-05	       -1.184589E-06	       -5.455959E-07	       -5.215850E-05	        1.622984E-08	       -2.696424E-07	       -5.015887E-05	       -3.222451E-05	       -1.250589E-04	        5.850531E-07	        1.640103E-07	       -2.234164E-08	       -3.151282E-05	       -4.214856E-12	        1.012123E-05	       -7.443241E-07	       -9.607312E-10	        8.645273E-07	       -5.188301E-07	        5.148723E-08	       -9.951105E-09	       -1.418988E-06	        3.774242E-06	       -5.262870E-13	       -1.438121E-06	        1.516199E-05	       -7.730954E-14	        3.662931E-03	       -2.806965E-05	       -5.832781E-07	       -3.353980E-06	       -3.524881E-06	        9.326789E-05	        3.542716E-08	       -3.190438E-08	       -6.272053E-06	       -1.551824E-04	        3.797873E-05	        5.829484E-04	        1.189072E-05	       -3.028304E-08	        3.838415E-12	        1.057922E-07	       -9.268656E-07	        1.392944E-05	       -1.865654E-07	       -4.338603E-03	       -7.856429E-11	        2.352536E-03	       -3.969719E-09	        3.026418E-03	        4.823921E-07	       -4.376432E-03	        1.105949E-04	       -1.642437E-06	        0.000000E+00	       -1.671368E-06	       -4.472700E-04	        3.082776E-06	       -7.748232E-13	       -1.434726E-06	        2.335764E-09	        2.164234E-06	       -4.354406E-07	        6.406097E-03	       -1.068133E-05	       -6.117190E-08	       -3.805374E-07	       -2.246595E-03	        2.244664E-03	       -4.752383E-13	       -2.033274E-09	        3.899087E-09	       -3.635146E-07	        6.633484E-08	       -1.959130E-07	       -2.685487E-07	       -1.033995E-09	        6.578290E-11	       -1.132835E-08	        9.495193E-07	       -8.424681E-09	        1.812837E-08	       -8.099656E-09	        9.626425E-08	       -1.711722E-09	        3.233852E-07	       -3.843938E-13	       -2.529344E-09	       -5.602739E-09	       -8.215926E-10	        2.123439E-02	       -6.887295E-09	        8.985455E-07	        2.855628E-08	       -2.363525E-09	       -8.982741E-07	       -2.123446E-02	       -5.402239E-07	       -2.324723E-10	       -3.219865E-10	       -1.463610E-14	       -1.532787E-13	       -1.432899E-10	       -8.507391E-12	       -1.087494E-10
        7.000280E-03	       -1.264018E-07	       -1.769516E-05	       -1.609890E-06	       -8.868316E-08	       -5.062921E-05	        1.832812E-08	       -2.474292E-07	       -5.642195E-05	       -2.298412E-05	       -9.476016E-05	        6.764205E-07	        5.466803E-08	       -2.000326E-09	       -2.482885E-05	       -7.337559E-12	        4.757603E-06	        2.206706E-08	       -8.827211E-11	        1.643837E-06	       -4.648182E-07	        1.007049E-08	       -1.993180E-09	       -2.361556E-07	        2.459102E-06	       -3.209567E-14	       -3.859542E-07	        8.705893E-06	       -2.107861E-15	        5.349514E-03	       -1.865620E-05	       -7.574277E-08	       -1.979047E-06	       -1.965910E-06	        7.040591E-05	        4.484694E-09	       -2.883260E-08	       -5.713493E-06	       -1.157214E-04	        2.967995E-05	        7.419116E-04	        9.369282E-06	       -2.128283E-08	        7.118616E-12	        1.217028E-07	        2.624434E-07	        9.812263E-06	       -1.233203E-07	       -6.472451E-03	       -6.984107E-11	        1.789437E-03	       -3.110686E-09	        2.646596E-03	        3.896426E-07	       -6.205199E-03	        9.381351E-05	       -1.217529E-06	        0.000000E+00	       -2.173047E-06	       -6.788937E-04	        3.510777E-07	       -9.451627E-13	       -1.000314E-06	        2.084075E-09	        1.489752E-06	       -3.584718E-07	        7.754367E-03	       -8.112352E-06	       -4.676075E-08	       -3.418922E-07	       -1.698429E-03	        1.696789E-03	       -3.437672E-13	       -1.742543E-09	        7.796468E-10	       -2.687528E-07	        6.679682E-08	       -2.935392E-07	       -2.993374E-07	        3.138211E-10	        2.081319E-11	       -9.239519E-09	        9.580653E-07	       -2.022426E-08	        1.249251E-08	       -9.415423E-09	       -1.321526E-07	       -2.906287E-09	        3.372335E-07	       -1.510342E-12	       -1.222205E-09	       -7.496286E-09	       -8.685573E-10	        1.438665E-02	       -4.786103E-09	        2.341853E-07	        1.301210E-08	       -6.734043E-10	       -2.339313E-07	       -1.438669E-02	       -3.031789E-07	       -1.837803E-10	       -1.817677E-10	       -2.052301E-14	       -5.392114E-14	       -1.365412E-10	       -4.628225E-12	       -7.214208E-11
        8.006490E-03	       -9.343456E-08	       -1.872681E-05	       -1.753011E-06	       -5.336921E-08	       -4.638349E-05	        3.843063E-09	       -2.509265E-07	       -5.547943E-05	       -2.007394E-05	       -8.623580E-05	        1.986383E-07	        2.336369E-08	       -9.510072E-10	       -2.103686E-05	       -6.676277E-12	        3.580179E-06	        6.226365E-08	       -4.069464E-11	        1.493048E-06	       -4.819100E-07	        8.982334E-09	       -4.436709E-09	       -1.299160E-07	        1.920738E-06	       -1.326348E-14	       -2.196009E-07	        6.797223E-06	        2.978273E-16	        5.300265E-03	       -1.529252E-05	       -4.070246E-08	       -1.686048E-06	       -8.104485E-07	        6.402574E-05	        2.334979E-09	       -2.492775E-08	       -5.294012E-06	       -1.006437E-04	        2.708182E-05	        7.200750E-04	        8.416364E-06	       -1.764572E-08	        6.526441E-12	        1.209758E-07	        4.955720E-07	        8.831774E-06	       -1.114349E-07	       -6.425092E-03	       -5.839037E-11	        1.625699E-03	       -2.787382E-09	        2.454466E-03	        3.668452E-07	       -6.124494E-03	        9.037653E-05	       -1.140168E-06	        0.000000E+00	       -2.311597E-06	       -6.701669E-04	        5.592317E-08	       -8.008578E-13	       -9.175110E-07	        1.807535E-09	        1.349989E-06	       -3.350924E-07	        7.532882E-03	       -7.401109E-06	       -4.484939E-08	       -3.419215E-07	       -1.542780E-03	        1.541482E-03	       -2.437584E-13	       -1.443035E-09	        5.101850E-10	       -2.344130E-07	        5.861276E-08	       -3.255122E-07	       -2.873710E-07	        3.991179E-10	        9.233157E-12	       -8.519299E-09	        9.418325E-07	       -2.964174E-08	        1.094233E-08	       -9.418699E-09	       -8.087767E-08	       -2.861274E-09	        3.175459E-07	       -1.701552E-12	       -6.244863E-10	       -6.139030E-09	       -9.632185E-10	        1.147284E-02	       -4.057055E-09	        1.515009E-07	        9.108088E-09	       -3.400384E-10	       -1.513149E-07	       -1.147286E-02	       -3.226206E-07	       -1.440354E-10	       -1.290197E-10	       -1.323327E-14	       -3.226660E-14	       -9.203972E-11	       -3.428973E-12	       -4.955937E-11
        9.004150E-03	       -4.174825E-08	       -2.952879E-06	       -1.661623E-06	       -4.186140E-08	       -1.602142E-05	        1.876906E-08	       -1.988566E-07	       -1.414344E-05	       -1.072581E-05	       -6.728310E-05	       -1.471447E-07	        2.172382E-08	       -6.920133E-10	       -7.666034E-06	       -3.809850E-12	        2.100268E-06	        4.081698E-08	       -1.382909E-11	        2.244317E-07	       -3.833715E-07	        1.082291E-08	       -3.504780E-09	       -2.334453E-07	        5.792332E-07	       -1.458078E-15	       -1.458058E-07	        4.920041E-06	        5.441512E-16	        3.404362E-03	       -6.853051E-06	       -3.566228E-08	       -7.532067E-07	       -3.145439E-07	        4.994301E-05	        2.125259E-09	       -1.956209E-08	       -2.583888E-06	       -4.793553E-05	        1.956326E-05	        4.405113E-04	        5.834805E-06	       -1.260600E-08	        3.727165E-12	        9.573929E-08	        6.689452E-07	        7.045929E-06	       -8.596184E-08	       -4.182998E-03	       -4.069512E-11	        1.238736E-03	       -1.178061E-09	        1.723643E-03	        2.808150E-07	       -3.889502E-03	        6.854462E-05	       -8.975875E-07	        0.000000E+00	       -1.243825E-06	       -4.190327E-04	       -2.556792E-08	       -6.204665E-13	       -7.204720E-07	        7.612540E-10	        1.064176E-06	       -2.291373E-07	        5.044631E-03	       -5.785941E-06	       -2.982515E-08	       -2.684092E-07	       -1.202097E-03	        1.201865E-03	       -4.701988E-14	       -4.571265E-10	        1.630295E-09	       -1.177964E-07	        1.550667E-08	       -3.143897E-07	       -8.580694E-08	        2.560879E-10	       -4.181230E-12	       -5.975316E-09	        5.827333E-07	       -2.002275E-08	        1.673862E-09	       -3.592356E-09	        1.558328E-06	       -2.433181E-09	        1.081692E-07	       -5.901182E-13	       -3.075186E-10	       -6.563903E-10	       -8.752315E-10	        6.461912E-03	       -2.166728E-09	        1.280880E-07	        6.896255E-09	       -2.476880E-10	       -1.279449E-07	       -6.461930E-03	       -1.703264E-06	       -1.078829E-10	       -2.464408E-11	       -4.801853E-15	       -1.718004E-15	       -5.711290E-11	       -3.588845E-13	       -1.458315E-12
        1.002560E-02	       -1.307933E-08	       -1.478942E-07	       -1.303435E-06	       -1.079394E-08	       -4.077367E-06	        1.770732E-08	       -2.097456E-07	       -1.640896E-06	       -5.093713E-06	       -7.908871E-05	       -2.771009E-07	        2.849304E-08	       -1.434412E-09	       -2.460978E-06	       -1.397571E-12	        1.325539E-06	        9.536142E-09	       -9.373369E-12	        1.981841E-07	       -4.170210E-07	        1.170299E-08	       -2.490516E-09	       -3.375103E-08	       -3.001841E-07	       -2.747263E-16	       -4.978487E-08	        1.649973E-06	        1.404048E-16	        1.579738E-03	       -2.512298E-06	       -1.256137E-08	       -2.973011E-07	       -2.523017E-07	        5.869093E-05	        7.800820E-10	       -1.681322E-08	       -8.909410E-07	       -1.393331E-05	        2.083403E-05	        1.984165E-04	        6.714742E-06	       -9.602847E-09	        1.345893E-12	        1.093666E-07	        5.837842E-07	        7.644944E-06	       -8.717489E-08	       -1.953112E-03	       -2.758942E-11	        1.437695E-03	       -3.873217E-10	        1.628401E-03	        3.346791E-07	       -1.800693E-03	        7.073163E-05	       -1.049925E-06	        0.000000E+00	       -5.924413E-07	       -1.803035E-04	       -1.072442E-07	       -4.690785E-13	       -8.423541E-07	        4.192917E-10	        1.259559E-06	       -2.150837E-07	        3.192356E-03	       -6.807867E-06	       -3.010466E-08	       -2.941399E-07	       -1.412287E-03	        1.412259E-03	       -2.239993E-14	       -1.417727E-10	        2.951269E-09	       -6.270091E-08	       -2.395017E-10	       -2.498674E-07	       -1.735102E-08	        1.583770E-10	        2.367549E-12	       -5.508379E-09	        3.704516E-07	       -5.696984E-09	       -8.243484E-10	       -9.709723E-10	        5.632722E-08	       -1.868929E-09	        1.486679E-08	       -2.063904E-13	       -1.939898E-10	       -1.458840E-10	       -1.309815E-09	        2.170215E-03	       -4.495517E-10	        8.143444E-08	        3.890125E-09	       -2.810221E-10	       -8.135579E-08	       -2.170224E-03	       -9.213591E-08	       -8.506883E-11	       -2.995478E-12	       -3.415320E-15	       -2.912936E-16	       -2.955086E-11	       -1.483941E-13	       -1.462347E-13
