            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        9.589452E-12	        3.133496E-12	        6.121229E-12	        5.806859E-10	        1.530818E-09	        7.427589E-12	        1.416259E-12	        1.074665E-09	        5.532876E-08	        2.938129E-08	        3.151897E-11	        6.936081E-10	        6.009784E-13	        6.005936E-08	        6.167965E-19	        1.520020E-07	        6.732353E-09	        2.687498E-18	        1.065593E-07	        8.051782E-13	        3.997097E-11	        3.219664E-14	        1.561266E-09	        2.732493E-08	        1.309037E-17	        2.413656E-09	        9.800643E-08	        7.189919E-26	        7.011886E-07	        3.253816E-08	        8.183742E-11	        6.972012E-08	        1.454024E-07	        1.150197E-05	        3.346603E-10	        3.213854E-17	        1.402153E-12	        8.293454E-07	        3.915203E-06	        4.372878E-07	        1.442894E-06	        5.642770E-13	        1.404849E-19	        2.965423E-08	        9.703460E-08	        1.665190E-06	        1.374020E-15	        1.264781E-06	        4.397010E-15	        2.767598E-04	        7.422131E-15	        2.735816E-04	        1.728652E-07	        7.576798E-08	        1.205990E-05	        2.085760E-07	        0.000000E+00	        5.990902E-08	        3.967751E-08	        2.721802E-07	        3.801967E-21	        0.000000E+00	        6.403717E-17	        7.223281E-07	        1.359697E-08	        2.732773E-04	        1.317970E-13	        1.888483E-14	        8.522034E-15	        0.000000E+00	        2.724135E-04	        1.441103E-18	        5.967684E-17	        8.975396E-12	        5.757678E-14	        6.990636E-11	        2.581748E-15	        1.497066E-14	        2.999525E-11	        4.986358E-18	        1.448138E-13	        2.489516E-10	        2.016523E-13	        8.715874E-10	        5.804258E-10	        1.988377E-11	        3.228610E-13	        1.133394E-11	        5.573385E-21	        1.684481E-15	        6.356744E-17	        1.507975E-16	        1.773968E-05	        6.255249E-14	        6.502835E-09	        2.818134E-10	        2.141936E-11	        1.949310E-08	        4.127045E-05	        2.251496E-11	        7.418717E-17	        1.237312E-18	        9.504218E-21	        7.328290E-24	        4.109265E-15	        1.772702E-16	        3.174273E-17
        2.000000E-03	        7.939066E-10	        7.743207E-10	        3.321938E-09	        2.119135E-08	        3.180383E-07	        8.535749E-10	        1.140460E-09	        2.325576E-07	        2.239855E-06	        2.507096E-07	        3.718890E-09	        1.427453E-08	        2.297070E-10	        5.861785E-07	        1.804088E-14	        8.077415E-06	        2.145168E-07	        2.244852E-13	        2.840336E-06	        3.595477E-10	        1.657656E-08	        5.907799E-11	        3.188088E-08	        1.759787E-06	        1.469685E-15	        3.491152E-08	        5.617783E-06	        3.914732E-18	        5.778092E-05	        3.405079E-07	        1.500012E-09	        2.472835E-06	        2.215989E-06	        1.055154E-04	        4.123940E-08	        1.339062E-13	        1.006033E-09	        1.530392E-05	        3.637996E-05	        3.631148E-05	        1.376742E-05	        2.179301E-10	        2.793448E-15	        2.571276E-07	        2.910576E-06	        2.076832E-05	        2.113041E-14	        4.884461E-05	        1.168160E-12	        2.554999E-03	        1.156696E-11	        2.571904E-03	        1.475565E-06	        2.079875E-06	        1.106830E-04	        2.001489E-06	        0.000000E+00	        8.240307E-07	        6.943504E-06	        8.699563E-06	        9.713275E-15	        0.000000E+00	        1.972785E-11	        5.678984E-06	        1.649451E-07	        2.575445E-03	        3.574917E-11	        3.243632E-11	        1.073370E-11	        0.000000E+00	        2.504620E-03	        7.093239E-15	        1.042707E-13	        1.289312E-09	        9.234405E-11	        1.600413E-08	        3.792169E-12	        3.353854E-12	        1.882300E-09	        5.446906E-14	        2.020175E-10	        8.034621E-08	        1.141101E-10	        4.978517E-08	        1.485596E-08	        7.617776E-09	        2.812315E-11	        2.483538E-09	        5.126573E-16	        1.965825E-12	        7.225058E-14	        2.825622E-10	        2.575210E-03	        1.973569E-11	        1.443261E-06	        2.734012E-08	        3.118627E-09	        2.836674E-06	        4.002885E-03	        3.271719E-09	        5.054940E-13	        3.562718E-15	        5.303080E-17	        5.142417E-17	        4.062018E-12	        1.519455E-13	        1.599237E-13
        3.100000E-03	        1.036058E-09	        1.207638E-09	        4.282732E-09	        1.135502E-08	        5.005416E-07	        2.248907E-09	        3.014732E-09	        3.626919E-07	        1.338493E-06	        1.420711E-07	        3.025196E-08	        6.406289E-08	        7.388708E-10	        5.384603E-07	        1.317406E-13	        6.325563E-06	        1.628430E-07	        7.463599E-13	        2.325927E-06	        1.842103E-10	        4.540570E-08	        3.719810E-10	        4.304793E-08	        1.342861E-06	        5.697953E-16	        3.753926E-08	        4.851793E-06	        1.018017E-16	        1.371438E-04	        2.284091E-07	        1.229426E-09	        2.245890E-06	        1.909198E-06	        7.979067E-05	        2.205910E-08	        4.444681E-13	        5.570245E-09	        1.431006E-05	        2.773931E-05	        5.073141E-05	        9.569726E-06	        4.568990E-10	        3.592152E-14	        1.521309E-07	        1.675101E-06	        1.503483E-05	        3.216845E-14	        4.627950E-05	        7.382191E-13	        1.965563E-03	        1.393802E-11	        2.006148E-03	        8.369696E-07	        3.046750E-06	        8.424437E-05	        1.240065E-06	        0.000000E+00	        5.556904E-07	        1.098011E-05	        4.136019E-06	        4.458231E-14	        0.000000E+00	        1.287493E-10	        3.137612E-06	        1.336172E-07	        2.084951E-03	        1.934881E-11	        6.757120E-11	        6.163846E-12	        0.000000E+00	        1.924721E-03	        3.443198E-14	        1.238953E-12	        4.749629E-09	        8.729248E-10	        3.659160E-08	        1.042355E-10	        4.225458E-11	        3.462172E-09	        2.374675E-12	        3.786388E-10	        1.837525E-07	        8.190971E-10	        7.864657E-08	        4.766875E-08	        1.039676E-08	        2.772331E-10	        7.101954E-09	        7.278675E-15	        2.613772E-12	        4.761474E-13	        3.297410E-10	        3.300112E-03	        7.033668E-11	        1.225817E-06	        3.014915E-08	        2.267405E-09	        2.046171E-06	        4.414412E-03	        4.198610E-09	        1.076771E-12	        9.343059E-15	        4.561541E-16	        3.585333E-16	        4.845389E-11	        5.388387E-13	        1.061909E-12
        4.100000E-03	        3.737239E-09	        2.588038E-09	        8.666810E-09	        4.042266E-08	        1.051982E-06	        1.067207E-08	        6.445932E-09	        7.108312E-07	        2.786533E-06	        3.939074E-07	        8.023346E-08	        9.314780E-08	        1.465639E-09	        1.552330E-06	        4.527595E-13	        1.203623E-05	        2.860775E-07	        1.927845E-12	        5.642160E-06	        3.532776E-10	        7.213407E-08	        9.494517E-10	        1.593650E-07	        2.976530E-06	        2.040065E-15	        1.146556E-07	        1.015610E-05	        3.564811E-16	        2.592603E-04	        5.055247E-07	        4.787031E-09	        4.054858E-06	        3.483960E-06	        2.341023E-04	        8.174348E-08	        1.503666E-12	        1.343757E-08	        3.167329E-05	        8.104216E-05	        9.903096E-05	        2.796755E-05	        1.755703E-09	        1.258155E-13	        4.358267E-07	        3.494778E-06	        3.873129E-05	        6.153734E-14	        9.711179E-05	        1.790106E-12	        5.752317E-03	        5.290251E-11	        5.806360E-03	        2.322340E-06	        5.680226E-06	        2.455086E-04	        3.040809E-06	        0.000000E+00	        1.391332E-06	        2.300040E-05	        9.069772E-06	        1.485795E-13	        0.000000E+00	        2.990943E-10	        8.546866E-06	        2.302169E-07	        5.948976E-03	        4.835642E-11	        2.116434E-10	        1.886956E-11	        0.000000E+00	        5.644570E-03	        5.256635E-14	        2.556518E-12	        1.063110E-08	        1.796226E-09	        6.036422E-08	        3.225367E-10	        8.977050E-11	        3.754563E-09	        7.951313E-12	        5.377159E-10	        2.953572E-07	        2.065362E-09	        1.330177E-07	        7.469350E-08	        3.366609E-07	        7.810566E-10	        1.585981E-08	        2.775396E-14	        3.758705E-12	        1.362607E-12	        1.030278E-09	        7.130747E-03	        2.363920E-10	        3.364259E-06	        5.891004E-08	        5.656144E-09	        5.110068E-06	        8.626711E-03	        9.877160E-09	        3.730934E-12	        4.552151E-14	        1.554841E-15	        9.676500E-16	        1.194153E-10	        1.156022E-12	        2.797011E-12
        5.006760E-03	        9.978825E-09	        5.249047E-09	        2.322110E-08	        7.666404E-08	        3.006478E-06	        3.207801E-08	        1.264373E-08	        1.488118E-06	        3.587176E-06	        5.430801E-07	        6.207523E-07	        2.033973E-07	        3.168320E-09	        2.604916E-06	        3.659853E-12	        1.565484E-05	        4.019146E-07	        6.143439E-12	        9.732772E-06	        4.000772E-10	        1.805721E-07	        6.382660E-09	        4.173712E-07	        4.873379E-06	        3.011751E-15	        2.885888E-07	        1.699904E-05	        2.180471E-15	        9.593334E-04	        8.828394E-07	        2.017812E-08	        6.256339E-06	        5.141115E-06	        3.434214E-04	        1.447345E-07	        8.152152E-12	        3.472809E-08	        5.404841E-05	        1.206274E-04	        2.299350E-04	        4.104600E-05	        6.007777E-09	        1.670498E-12	        6.543435E-07	        4.438324E-06	        5.294002E-05	        1.017053E-13	        1.715585E-04	        2.444499E-12	        8.433862E-03	        2.042361E-10	        8.613270E-03	        3.208491E-06	        1.543956E-05	        3.650392E-04	        3.997102E-06	        0.000000E+00	        2.254670E-06	        4.812214E-05	        1.121395E-05	        6.367490E-13	        0.000000E+00	        1.147115E-09	        1.197738E-05	        2.780842E-07	        9.378198E-03	        6.029292E-11	        1.020626E-09	        3.605759E-11	        0.000000E+00	        8.270750E-03	        1.021279E-13	        5.782593E-12	        2.355086E-08	        5.491852E-09	        1.556091E-07	        1.688476E-09	        3.933460E-10	        3.212362E-09	        5.812302E-11	        5.910040E-10	        6.142563E-07	        5.991949E-09	        1.919543E-07	        1.300396E-07	        9.164432E-07	        3.262149E-09	        9.098363E-08	        4.511315E-13	        3.173252E-12	        6.898611E-12	        2.098115E-09	        1.969759E-02	        6.721781E-10	        5.615526E-06	        8.870625E-08	        6.788761E-09	        6.008629E-06	        1.300285E-02	        2.549245E-08	        2.844176E-11	        1.471550E-13	        1.593031E-14	        6.699994E-15	        4.142512E-10	        2.033470E-12	        8.940621E-12
        6.007750E-03	        6.885423E-09	        1.095988E-08	        1.000061E-07	        2.517506E-08	        1.274207E-05	        1.896532E-08	        1.718122E-08	        4.013639E-06	        2.302885E-06	        1.081046E-07	        2.529567E-06	        2.198287E-07	        2.046715E-09	        1.045599E-06	        4.268795E-12	        1.100096E-05	        4.001147E-07	        5.661362E-12	        8.788649E-06	        2.030747E-10	        1.455761E-07	        2.243513E-08	        1.867041E-07	        5.171523E-06	        1.947659E-16	        1.388008E-07	        1.663728E-05	        4.344231E-15	        3.737787E-03	        4.849384E-07	        1.494025E-08	        4.368922E-06	        2.611811E-06	        9.336947E-05	        3.737427E-08	        1.689394E-11	        3.251250E-08	        5.691460E-05	        3.831148E-05	        5.917384E-04	        1.259581E-05	        3.897344E-09	        8.435115E-12	        1.568215E-07	        2.216293E-06	        1.592225E-05	        1.001298E-13	        2.893722E-04	        4.034960E-13	        2.354210E-03	        2.164330E-10	        3.049329E-03	        6.419964E-07	        5.866998E-05	        1.237531E-04	        7.955126E-07	        0.000000E+00	        2.210880E-06	        9.717432E-05	        3.872704E-06	        5.511161E-14	        0.000000E+00	        2.335865E-09	        2.437950E-06	        7.314878E-08	        6.518087E-03	        7.991519E-12	        1.318459E-09	        2.333161E-11	        0.000000E+00	        2.246618E-03	        6.321911E-14	        7.418129E-12	        1.563878E-08	        1.141470E-08	        2.032406E-07	        9.515409E-09	        9.926624E-10	        1.581092E-09	        1.577212E-10	        4.172350E-10	        9.782183E-07	        1.799530E-08	        1.256185E-07	        9.637348E-08	        5.768033E-07	        4.265374E-09	        3.991184E-07	        2.121818E-12	        9.531146E-13	        1.830060E-11	        1.922878E-09	        2.663993E-02	        3.600814E-10	        1.349876E-06	        3.677306E-08	        7.844049E-10	        4.508346E-07	        5.405502E-03	        3.540999E-08	        5.568862E-11	        1.099557E-13	        5.383066E-14	        1.396987E-14	        6.810382E-10	        1.320796E-12	        6.955739E-12
        7.000280E-03	        2.659893E-09	        1.250938E-08	        2.431929E-07	        1.152926E-08	        1.401112E-05	        2.199099E-08	        1.412135E-08	        4.000080E-06	        1.686437E-06	        7.385595E-08	        1.690720E-06	        1.025137E-07	        4.863281E-10	        9.240228E-07	        2.221314E-12	        5.680215E-06	        2.553377E-07	        1.291278E-12	        5.936511E-06	        6.030658E-11	        5.959209E-08	        1.506684E-08	        1.987605E-07	        3.391806E-06	        5.833516E-17	        1.082008E-07	        1.006100E-05	        2.631130E-15	        5.512269E-03	        3.155909E-07	        1.430716E-08	        1.953715E-06	        1.387767E-06	        7.044485E-05	        5.604728E-09	        1.923187E-11	        2.920010E-08	        4.810924E-05	        2.992632E-05	        7.568646E-04	        9.723901E-06	        3.261453E-09	        9.517638E-12	        1.250268E-07	        9.762059E-07	        1.115529E-05	        1.103384E-13	        3.478988E-04	        1.064857E-13	        1.790875E-03	        9.915473E-11	        2.691211E-03	        4.408412E-07	        1.314685E-04	        1.251967E-04	        4.856449E-07	        0.000000E+00	        3.351483E-06	        1.110274E-04	        8.589894E-07	        3.260114E-15	        0.000000E+00	        2.084324E-09	        1.703174E-06	        4.066482E-08	        8.001176E-03	        2.097531E-12	        1.083378E-09	        5.547185E-12	        0.000000E+00	        1.698448E-03	        3.028141E-14	        7.968211E-12	        1.164609E-08	        1.014236E-08	        1.519470E-07	        2.497024E-08	        1.070812E-09	        1.059058E-09	        1.559554E-10	        3.909819E-10	        1.024269E-06	        3.950279E-08	        8.186793E-08	        5.921895E-08	        3.265221E-07	        3.518454E-09	        3.814711E-07	        1.102947E-12	        3.244041E-13	        1.584206E-11	        1.345121E-09	        1.665525E-02	        2.818366E-10	        2.956683E-07	        1.537830E-08	        2.757570E-10	        6.141525E-08	        2.268581E-03	        2.228189E-08	        2.424890E-11	        5.352589E-14	        3.136994E-14	        1.206458E-14	        6.510045E-10	        5.449954E-13	        3.689830E-12
        8.006490E-03	        1.839872E-09	        1.216578E-08	        3.571620E-07	        9.646133E-09	        1.362567E-05	        2.368625E-08	        1.241311E-08	        3.718107E-06	        1.284641E-06	        6.700701E-08	        9.183028E-07	        5.745779E-08	        1.913143E-10	        8.387987E-07	        1.684951E-12	        4.256853E-06	        2.056522E-07	        5.639767E-13	        4.962840E-06	        3.304509E-11	        3.943951E-08	        9.186262E-09	        2.119179E-07	        2.773184E-06	        3.721137E-17	        1.106026E-07	        7.891439E-06	        1.954742E-15	        5.526692E-03	        2.738769E-07	        1.276104E-08	        1.160549E-06	        1.023419E-06	        6.405727E-05	        3.316251E-09	        2.099124E-11	        2.526165E-08	        4.450288E-05	        2.732226E-05	        7.392904E-04	        8.695757E-06	        3.019357E-09	        8.324608E-12	        1.222858E-07	        8.986165E-07	        9.907603E-06	        9.593385E-14	        3.924196E-04	        5.938791E-14	        1.626979E-03	        6.621798E-11	        2.513946E-03	        4.010667E-07	        1.816867E-04	        1.376068E-04	        4.283800E-07	        0.000000E+00	        3.844151E-06	        1.203382E-04	        4.992693E-07	        1.149674E-15	        0.000000E+00	        1.807879E-09	        1.568548E-06	        3.299709E-08	        7.877120E-03	        1.234788E-12	        8.376731E-10	        3.365245E-12	        0.000000E+00	        1.542816E-03	        2.026769E-14	        8.126860E-12	        1.010821E-08	        8.427790E-09	        1.325850E-07	        4.017888E-08	        1.077218E-09	        8.372983E-10	        1.612110E-10	        3.749414E-10	        1.043790E-06	        5.966757E-08	        6.580964E-08	        4.582240E-08	        3.410976E-07	        3.285438E-09	        3.510893E-07	        7.534358E-13	        1.815842E-13	        1.244631E-11	        1.145852E-09	        1.305758E-02	        2.602536E-10	        1.863987E-07	        1.070863E-08	        1.961006E-10	        3.485939E-08	        1.584736E-03	        1.751676E-08	        1.355768E-11	        4.484445E-14	        2.220952E-14	        1.113805E-14	        6.075201E-10	        3.163941E-13	        2.693146E-12
        9.004150E-03	        8.430289E-10	        4.219208E-09	        4.029204E-07	        5.534030E-09	        3.674086E-06	        1.918208E-08	        4.464755E-09	        1.224096E-06	        6.205256E-07	        5.247373E-08	        4.179448E-07	        3.848114E-08	        4.469292E-11	        6.183661E-07	        1.174527E-12	        2.493121E-06	        8.969452E-08	        2.086079E-13	        2.471051E-06	        6.974346E-12	        2.877431E-08	        4.069260E-09	        1.713193E-07	        1.250332E-06	        1.767820E-17	        8.834044E-08	        5.394623E-06	        6.682927E-16	        3.650913E-03	        1.730185E-07	        6.604296E-09	        8.200358E-07	        7.422796E-07	        4.996869E-05	        2.613202E-09	        1.043873E-11	        1.973173E-08	        1.731085E-05	        1.974593E-05	        4.612328E-04	        6.029664E-06	        1.898586E-09	        4.951630E-12	        9.750666E-08	        8.474971E-07	        7.415912E-06	        7.089704E-14	        3.064205E-04	        1.336924E-14	        1.239592E-03	        3.149553E-11	        1.785974E-03	        3.142965E-07	        1.962743E-04	        1.239394E-04	        3.421503E-07	        0.000000E+00	        2.739997E-06	        8.535547E-05	        2.473741E-07	        9.832736E-17	        0.000000E+00	        7.613755E-10	        1.239738E-06	        2.223638E-08	        5.416345E-03	        2.797980E-13	        3.229850E-10	        1.673470E-12	        0.000000E+00	        1.202108E-03	        5.520842E-15	        4.967963E-12	        6.812004E-09	        5.152229E-09	        6.776921E-08	        5.008827E-08	        5.390308E-10	        4.488687E-10	        1.352402E-10	        2.219320E-10	        7.074754E-07	        7.330104E-08	        4.203685E-08	        3.360702E-08	        1.714297E-06	        2.860107E-09	        1.348577E-07	        2.249780E-13	        3.249494E-14	        5.540128E-12	        6.240326E-10	        7.810225E-03	        1.803598E-10	        1.712891E-07	        9.087526E-09	        1.624656E-10	        4.315341E-08	        1.348304E-03	        1.033003E-08	        6.846056E-12	        1.232911E-13	        5.991449E-15	        3.836310E-15	        4.715085E-10	        4.960105E-14	        2.999849E-13
        1.002560E-02	        4.869858E-10	        1.280415E-09	        3.599651E-07	        3.252643E-09	        6.124872E-07	        2.091155E-08	        2.321201E-09	        2.952252E-07	        3.377313E-07	        6.164619E-08	        2.052332E-07	        3.733120E-08	        2.474505E-11	        6.236926E-07	        9.326637E-13	        1.562224E-06	        3.589364E-08	        1.215372E-13	        1.350100E-06	        2.549164E-12	        2.469167E-08	        1.680935E-09	        1.858124E-07	        4.728435E-07	        1.664592E-17	        9.373197E-08	        1.905513E-06	        2.377094E-16	        1.795513E-03	        1.412675E-07	        3.796520E-09	        7.835206E-07	        5.993082E-07	        5.871483E-05	        1.009648E-09	        3.545433E-12	        1.689328E-08	        8.547687E-06	        2.101983E-05	        2.171853E-04	        6.855163E-06	        1.668617E-09	        2.299118E-12	        1.109444E-07	        7.026745E-07	        7.835576E-06	        5.481693E-14	        2.270315E-04	        7.048304E-15	        1.438384E-03	        9.967007E-12	        1.681659E-03	        3.687852E-07	        1.687400E-04	        1.229951E-04	        3.967306E-07	        0.000000E+00	        1.469119E-06	        6.090665E-05	        1.439415E-07	        7.774950E-17	        0.000000E+00	        4.193176E-10	        1.446656E-06	        2.265644E-08	        3.513762E-03	        1.133715E-13	        1.349553E-10	        3.578795E-13	        0.000000E+00	        1.412301E-03	        1.981382E-15	        3.336660E-12	        6.007674E-09	        3.293472E-09	        3.672565E-08	        4.991404E-08	        2.741746E-10	        2.879522E-10	        1.271551E-10	        1.456076E-10	        4.950746E-07	        7.389104E-08	        3.375922E-08	        2.924430E-08	        9.688326E-08	        2.786021E-09	        4.047906E-08	        5.844293E-14	        1.147135E-14	        2.426883E-12	        1.663301E-10	        3.154985E-03	        1.730916E-10	        1.362185E-07	        6.628245E-09	        1.491740E-10	        5.472347E-08	        9.847638E-04	        4.166754E-09	        3.523286E-12	        8.270093E-15	        1.352366E-15	        1.354505E-15	        3.873495E-10	        2.297849E-14	        1.222924E-13
