            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -1.244043E-09	        7.723405E-13	       -5.253685E-10	       -2.239722E-10	       -9.941495E-10	        1.255803E-09	       -4.748248E-08	       -1.016324E-09	        9.779270E-09	       -4.249403E-06	        2.932114E-09	        5.569741E-10	       -1.273779E-09	        9.902580E-09	        7.205252E-18	        1.199082E-07	       -6.481022E-09	       -4.612120E-15	       -2.176266E-08	       -9.680411E-08	        2.837650E-11	        2.036953E-11	        2.540900E-09	       -7.495285E-08	       -4.326774E-15	       -2.373367E-08	        5.743244E-08	        4.039050E-22	        3.042952E-07	       -1.099377E-08	       -1.735644E-09	        1.673294E-08	        4.531735E-08	        3.169041E-06	        3.031397E-10	       -9.596475E-10	        3.832881E-11	        1.002852E-07	        9.770930E-07	        2.866238E-07	        2.558959E-07	       -4.105178E-10	        9.966551E-17	        1.201472E-08	       -2.572621E-08	        3.718859E-07	       -1.856032E-08	        1.091209E-07	        2.842686E-12	        9.097765E-05	        9.906339E-12	        9.085385E-05	        3.770668E-08	       -1.089513E-06	        3.991375E-06	       -2.060806E-07	        0.000000E+00	       -8.388870E-10	       -2.389021E-08	        1.326158E-07	        2.591535E-18	       -1.376563E-07	        9.126180E-14	        2.100452E-07	       -3.512337E-08	        9.016125E-05	       -3.049209E-07	       -6.385669E-09	       -8.854523E-08	       -8.979910E-05	        8.979969E-05	        9.483360E-16	        5.052469E-14	        5.971524E-10	       -1.465959E-11	       -3.873719E-11	       -1.621949E-12	       -2.586108E-14	        9.774709E-11	        7.246983E-15	       -8.415790E-10	        7.942521E-11	        1.320295E-10	        2.179053E-10	        7.550556E-11	       -3.236897E-12	        9.212109E-12	        1.635313E-11	        4.887117E-18	        2.261754E-12	       -3.136034E-14	       -3.000204E-10	       -6.385289E-06	        3.725930E-11	       -4.225864E-09	       -6.798800E-11	        3.738347E-12	        4.221110E-09	        6.385285E-06	        5.448382E-12	        1.352500E-13	        3.098952E-16	        1.055121E-17	        5.526389E-21	        2.193818E-12	        1.258944E-13	        3.753498E-15
        2.000000E-03	       -1.170490E-07	       -1.001526E-09	       -6.617035E-07	        5.459081E-08	        6.343926E-08	        1.722841E-07	       -4.494469E-06	       -1.148078E-07	       -5.276574E-07	       -3.847833E-05	        1.179575E-07	       -1.396123E-08	       -8.026532E-08	        1.276800E-06	        6.529200E-13	        3.589251E-06	       -5.790754E-07	       -1.170650E-10	        2.255953E-06	       -6.700980E-06	        1.513990E-08	       -5.556971E-09	        2.096879E-06	       -2.195855E-06	       -4.125618E-13	        6.998405E-07	        1.417071E-06	       -2.623136E-15	        2.705239E-06	        5.369813E-07	        2.501736E-08	        1.034080E-06	        7.239925E-07	        2.504041E-05	       -9.183139E-09	       -2.040184E-07	        2.737953E-08	        5.676706E-06	        5.750413E-06	        3.307878E-06	        2.392113E-06	       -1.095501E-07	        8.401781E-14	        4.147273E-07	        3.441547E-06	        5.810868E-06	       -1.798271E-06	        3.278540E-06	        3.468632E-10	        7.995035E-04	       -4.253211E-09	        8.764448E-04	        2.008042E-07	       -7.139842E-05	        1.211381E-04	       -4.522365E-06	        0.000000E+00	       -2.922921E-06	        6.992730E-06	       -4.083019E-06	        3.612853E-14	       -2.218094E-06	        6.004094E-11	       -1.741135E-06	       -6.228561E-06	        7.869460E-04	       -2.848604E-06	       -6.532199E-07	       -5.532043E-06	       -7.956360E-04	        7.957572E-04	        2.000485E-13	        1.145842E-12	        5.628749E-08	       -2.755863E-09	       -1.204035E-08	       -1.338878E-10	       -7.060655E-11	        7.191913E-10	        1.663480E-11	       -1.298155E-07	        7.735392E-08	        1.222723E-08	        2.078917E-08	        1.010603E-09	        7.954295E-10	        4.781985E-09	        7.619850E-10	        1.511142E-16	        5.620674E-10	       -5.801881E-12	       -3.910635E-08	       -1.290599E-04	        2.478927E-09	       -3.196984E-07	       -1.498600E-09	        4.168148E-10	        3.190600E-07	        1.290676E-04	       -7.304485E-10	        3.538510E-10	       -4.321478E-13	        1.880136E-14	        2.861317E-15	        4.541118E-10	        9.434172E-12	        2.855984E-12
        3.100000E-03	       -3.543910E-08	       -2.040277E-09	       -7.154652E-07	        1.088346E-07	        1.176140E-06	        2.472043E-07	       -5.276765E-06	       -3.987112E-08	       -1.583093E-07	       -4.162709E-05	       -9.573609E-07	       -7.059274E-08	       -7.892036E-08	        2.998473E-06	        2.173572E-12	       -1.691548E-06	       -4.239499E-07	       -1.989470E-10	        4.980264E-06	       -7.237949E-06	        1.286602E-08	       -3.573248E-08	        3.302010E-06	       -3.009578E-06	       -2.313435E-13	        1.596809E-06	       -2.207784E-06	       -1.572003E-14	        1.614290E-07	        1.787023E-06	        1.548073E-07	        1.413468E-06	        1.060772E-06	        2.739709E-05	       -4.367913E-08	       -4.565209E-07	        3.369516E-08	        1.207148E-05	        6.755724E-06	       -3.097646E-06	        2.796282E-06	       -4.097923E-07	       -1.876438E-12	        5.804318E-07	        6.067860E-06	        5.489258E-06	       -2.622116E-06	        6.947324E-07	        4.241900E-12	        8.203819E-04	       -2.031354E-08	        8.879876E-04	        6.529511E-08	       -1.024483E-04	        1.582912E-04	       -4.408602E-06	        0.000000E+00	       -1.489694E-05	        3.453635E-05	       -1.114284E-05	        5.178851E-14	       -2.080544E-06	        5.585834E-10	       -1.525227E-06	       -1.001980E-05	        8.097128E-04	       -3.011637E-06	       -8.094567E-07	       -5.440756E-06	       -8.198600E-04	        8.200825E-04	       -1.192038E-12	       -6.913589E-12	        7.821038E-08	       -5.499943E-09	       -1.250058E-08	       -8.642246E-10	       -3.078096E-10	       -1.691772E-08	        2.547385E-10	       -2.515048E-07	        2.454136E-07	       -1.133355E-08	       -1.376001E-08	        9.016790E-10	        6.799139E-10	        1.723922E-08	        2.835108E-09	        1.433337E-14	       -6.612400E-11	       -1.528080E-11	       -5.257797E-08	       -7.542138E-05	        4.457893E-09	       -2.321316E-07	       -6.677000E-10	        2.709292E-10	        2.316200E-07	        7.543660E-05	       -9.826617E-10	        6.390955E-11	       -1.180685E-12	        4.179242E-14	       -1.549970E-14	        6.802115E-10	       -5.562397E-11	       -1.287397E-11
        4.100000E-03	       -1.166879E-07	       -1.125007E-08	       -2.582164E-06	        7.583387E-07	        5.654661E-06	        8.052304E-07	       -1.795035E-05	       -1.198156E-07	        4.990911E-07	       -1.415065E-04	       -1.526990E-06	       -3.271842E-07	       -1.677827E-07	        1.381651E-05	        1.204817E-11	       -1.422239E-06	       -1.361440E-06	       -8.641200E-10	        2.315004E-05	       -2.852020E-05	        8.693933E-08	       -1.834858E-07	        1.370898E-05	       -1.143673E-05	       -2.314192E-12	        7.669772E-06	       -5.977334E-06	       -6.763931E-14	       -4.141059E-05	        9.776450E-06	        1.227429E-06	        6.917518E-06	        2.140193E-06	        9.270056E-05	       -1.540056E-07	       -1.065044E-06	        2.490464E-07	        5.613673E-05	        2.191640E-05	       -7.416896E-06	        1.049100E-05	       -8.608825E-07	       -1.019475E-11	        2.772977E-06	        2.649054E-05	        2.354223E-05	       -6.870285E-06	        2.670959E-05	        4.517520E-10	        2.691233E-03	       -6.885070E-08	        2.858243E-03	        7.057659E-07	       -1.949315E-04	        4.422676E-04	       -1.615903E-05	        0.000000E+00	       -2.834565E-05	        7.067232E-05	       -3.242891E-05	        2.587744E-13	       -7.315740E-06	        1.263306E-09	       -4.768172E-06	       -2.778137E-05	        2.599999E-03	       -1.072292E-05	       -2.750618E-06	       -1.978774E-05	       -2.689570E-03	        2.690693E-03	       -2.445539E-12	       -3.580964E-11	        3.458696E-07	       -9.332965E-09	       -2.299386E-08	       -1.036028E-09	       -1.025687E-09	       -3.339646E-08	        6.090944E-10	       -6.442939E-07	        4.694186E-07	       -5.485151E-08	       -2.640864E-08	        1.832711E-09	        1.722294E-07	        4.149667E-08	       -3.831458E-09	        1.458820E-13	        4.163190E-10	       -3.213946E-11	       -1.554610E-07	        2.458644E-04	        1.233218E-08	       -5.197269E-07	        1.400000E-10	        9.281287E-10	        5.181700E-07	       -2.457876E-04	       -1.723762E-07	        7.355244E-10	       -6.457682E-10	        1.827726E-13	       -6.551189E-14	        1.587607E-09	       -1.651970E-10	       -5.659140E-11
        5.006760E-03	        5.918146E-07	       -1.453800E-07	       -7.237026E-06	        6.366398E-06	        4.141151E-05	        4.017570E-06	       -7.627363E-05	       -2.186963E-07	        2.615933E-05	       -4.406093E-04	       -3.929216E-06	       -2.173042E-06	       -3.999240E-07	        7.644011E-05	        1.360580E-10	       -7.203024E-06	       -2.627889E-06	       -4.872980E-09	        1.165874E-04	       -1.268011E-04	        7.186695E-07	       -1.794606E-06	        5.598895E-05	       -4.198402E-05	       -1.357688E-11	        3.535524E-05	       -4.037313E-05	       -9.254897E-13	       -3.375673E-04	        5.848252E-05	        1.068702E-05	        2.926870E-05	        3.607606E-06	        2.771448E-04	       -6.472810E-07	       -3.662985E-06	        1.361505E-06	        2.812521E-04	        5.760419E-05	       -5.416397E-05	        4.396096E-05	       -3.286583E-06	       -1.748957E-10	        1.132692E-05	        1.272394E-04	        9.945604E-05	       -2.229673E-05	        1.254351E-04	       -2.398260E-09	        7.164428E-03	       -4.166941E-07	        7.464327E-03	        3.119682E-06	       -4.625128E-04	        1.400931E-03	       -5.921058E-05	        0.000000E+00	       -9.596952E-05	        3.054553E-04	       -1.371090E-04	        1.786430E-12	       -2.551379E-05	        8.037378E-09	       -1.842126E-05	       -1.058375E-04	        6.804939E-03	       -4.090179E-05	       -1.276465E-05	       -7.829340E-05	       -7.178540E-03	        7.183172E-03	       -1.691278E-11	       -1.931668E-10	        1.604657E-06	       -1.180256E-08	        3.307575E-09	        3.179073E-09	       -1.123064E-08	       -1.566856E-07	        4.609940E-09	       -2.271789E-06	        1.759842E-06	       -5.812100E-07	       -3.453387E-07	       -2.032920E-09	        9.471391E-07	        1.717281E-07	       -5.673928E-08	        3.890997E-12	       -1.077600E-09	        5.926157E-11	       -5.985126E-07	        3.238452E-03	        5.701697E-08	       -1.006706E-06	        6.299800E-09	        2.891583E-10	        1.003270E-06	       -3.238031E-03	       -9.611241E-07	       -1.369043E-10	       -4.749005E-11	        9.102613E-13	       -1.863594E-12	        4.027140E-09	       -1.333636E-09	       -1.108584E-09
        6.007750E-03	        1.371071E-06	       -1.222412E-06	       -5.427469E-07	        1.705492E-05	        3.235093E-05	        5.031344E-06	       -7.417542E-05	       -8.161426E-07	        3.640220E-05	       -9.338417E-04	       -4.615921E-06	       -2.508517E-06	       -8.717575E-08	        8.578577E-05	        1.394329E-10	       -8.211828E-06	       -2.464557E-07	       -2.055990E-09	        9.460307E-05	       -1.240282E-04	        2.291433E-07	       -1.708899E-06	        4.747160E-05	       -3.891962E-05	        4.516470E-13	        3.003958E-05	       -7.800968E-05	       -4.773506E-13	       -1.629666E-04	        5.350677E-05	        2.286940E-05	        1.252092E-05	       -7.037820E-06	        6.241867E-04	       -2.601238E-07	       -4.505068E-06	        1.612274E-06	        2.492469E-04	        2.180809E-04	       -1.924436E-05	        1.469843E-04	       -3.339653E-06	       -2.446827E-10	        1.298194E-05	        1.286161E-04	        1.764450E-04	       -2.311672E-05	        5.853588E-05	       -5.217940E-09	        1.109318E-02	       -7.225056E-07	        1.079848E-02	        6.991115E-06	       -9.887160E-04	        1.785599E-03	       -7.572504E-05	        0.000000E+00	       -1.290082E-04	        8.125112E-04	       -1.155198E-04	        8.887419E-13	       -3.251262E-05	        2.477165E-08	        1.522028E-05	       -1.041229E-04	        1.064952E-02	       -1.459586E-04	       -1.140505E-05	       -9.205022E-05	       -1.091360E-02	        1.091782E-02	       -1.067598E-10	       -6.166333E-11	        1.264070E-06	       -7.001978E-08	        8.003519E-08	        1.512225E-08	       -2.628253E-08	       -1.527627E-07	        2.640568E-09	       -2.263880E-06	        2.177395E-06	       -1.585961E-07	       -6.763578E-07	       -8.988629E-09	        1.228721E-06	       -1.418270E-08	       -5.817459E-09	       -7.380809E-11	       -5.910320E-09	        8.958734E-10	       -5.912965E-07	        1.526722E-03	        3.519688E-08	       -1.888807E-08	        2.563600E-09	       -8.421657E-10	        1.838000E-08	       -1.526332E-03	       -1.261403E-06	       -4.471686E-09	       -5.427693E-11	       -9.604398E-12	       -1.333666E-11	        2.620784E-09	       -1.394467E-09	       -7.998269E-09
        7.000280E-03	        1.113879E-06	       -1.040848E-06	        6.002722E-08	        2.116456E-05	        1.792846E-05	        5.578728E-06	       -7.294469E-05	       -2.368921E-06	        1.407318E-05	       -1.112094E-03	       -2.192555E-06	       -1.424695E-06	       -5.166420E-09	        8.979355E-05	        6.338909E-12	        7.496022E-07	        4.394809E-07	       -1.759460E-10	        8.584265E-05	       -1.224689E-04	       -2.045979E-07	       -4.597955E-07	        5.014561E-05	       -3.890519E-05	        1.237997E-12	        2.565422E-05	       -6.266190E-05	       -1.105187E-14	       -8.262874E-05	        2.968060E-05	        2.697499E-05	        1.365213E-05	       -6.054152E-06	        7.497842E-04	       -1.480402E-07	       -3.865435E-06	        1.483714E-06	        2.256564E-04	        2.820600E-04	        4.100527E-06	        1.932781E-04	       -2.167736E-06	       -3.554832E-11	        1.572641E-05	        1.316552E-04	        2.309134E-04	       -1.969509E-05	       -2.020600E-05	       -2.113601E-09	        1.228114E-02	       -5.888386E-07	        1.174570E-02	        9.860016E-06	       -9.433144E-04	        1.730194E-03	       -8.955362E-05	        0.000000E+00	       -8.717818E-05	        8.569513E-04	       -8.166751E-05	       -8.477546E-13	       -3.660643E-05	        2.194769E-08	        4.452965E-05	       -8.534067E-05	        1.182299E-02	       -1.943835E-04	       -9.225769E-06	       -1.015029E-04	       -1.203850E-02	        1.204190E-02	       -6.511526E-11	       -8.408132E-11	        9.173689E-07	       -1.057505E-07	        8.129047E-08	        1.359134E-08	       -2.207827E-08	       -2.749701E-08	        1.947024E-10	       -1.830575E-06	        1.637964E-06	       -1.331473E-08	       -5.173695E-07	       -6.029255E-09	        1.049240E-06	       -6.292438E-09	       -6.512122E-10	       -9.318617E-11	       -3.113552E-09	       -2.044906E-09	       -5.011810E-07	        1.082568E-03	        2.781013E-08	        3.392348E-08	        1.555070E-09	       -1.362980E-10	       -3.389000E-08	       -1.082219E-03	       -1.080652E-06	       -1.716672E-09	       -3.210800E-11	       -9.845774E-12	       -4.716944E-12	        2.391067E-09	       -7.407164E-10	       -4.743034E-09
        8.006490E-03	        1.085347E-06	       -1.262939E-06	        8.945362E-08	        2.189474E-05	        1.438456E-05	        5.484817E-06	       -7.251492E-05	       -3.555192E-06	        7.652861E-06	       -1.175481E-03	       -1.334082E-06	       -1.107111E-06	       -1.528255E-09	        9.204738E-05	       -1.968160E-12	        2.147089E-06	        4.908221E-07	       -6.711900E-11	        8.581899E-05	       -1.229660E-04	       -2.491386E-07	       -2.566271E-07	        4.987351E-05	       -3.850591E-05	        1.211310E-12	        2.512242E-05	       -5.449763E-05	        2.893716E-15	       -5.546485E-05	        2.698015E-05	        2.740477E-05	        1.485559E-05	       -5.783024E-06	        7.921938E-04	       -1.247473E-07	       -3.670284E-06	        1.468485E-06	        2.245922E-04	        3.030555E-04	        6.494214E-06	        2.129143E-04	       -1.847469E-06	       -1.703561E-11	        1.597619E-05	        1.326538E-04	        2.580863E-04	       -1.875299E-05	       -4.810013E-05	       -1.603422E-09	        1.264946E-02	       -4.992094E-07	        1.210117E-02	        1.109024E-05	       -8.890713E-04	        1.718068E-03	       -9.624833E-05	        0.000000E+00	       -6.482025E-05	        8.099107E-04	       -7.348862E-05	       -7.429296E-13	       -3.854236E-05	        1.937852E-08	        5.413823E-05	       -8.047109E-05	        1.218245E-02	       -2.144209E-04	       -8.706575E-06	       -1.025032E-04	       -1.238780E-02	        1.239125E-02	       -4.109974E-11	       -8.495253E-11	        8.941504E-07	       -1.041822E-07	        5.721075E-08	        1.181669E-08	       -2.750770E-08	       -1.382360E-08	        3.415215E-11	       -1.719972E-06	        1.494164E-06	       -4.271502E-09	       -4.737850E-07	       -4.938993E-09	        2.352930E-06	        4.092564E-11	       -3.357667E-09	       -7.448513E-11	       -1.813919E-09	       -1.901175E-09	       -4.761673E-07	        8.624889E-04	        2.592322E-08	        2.602552E-08	        1.121660E-09	       -9.398746E-11	       -2.598200E-08	       -8.621451E-04	       -2.385154E-06	       -1.089559E-09	       -2.126937E-11	       -9.126430E-12	       -2.851764E-12	        2.140047E-09	       -5.649897E-10	       -3.070845E-09
        9.004150E-03	        4.097787E-07	       -3.573358E-07	        4.483610E-08	        8.577646E-06	        7.448831E-06	        3.533198E-06	       -4.261352E-05	       -1.723127E-06	       -2.734216E-06	       -6.302649E-04	       -7.218576E-07	       -2.741905E-07	       -1.223871E-09	        5.025257E-05	       -1.919282E-12	        1.012052E-06	        2.410650E-07	       -1.255630E-11	        4.847126E-05	       -7.594549E-05	       -1.221406E-07	       -3.436702E-08	        2.970680E-05	       -2.474454E-05	        4.099241E-13	        1.472155E-05	       -2.214813E-06	        1.513493E-15	       -3.023738E-05	        1.364686E-05	        1.116360E-05	        1.148819E-05	       -3.282059E-06	        4.276937E-04	       -4.828342E-08	       -1.943492E-06	        6.635350E-07	        1.209185E-04	        1.590060E-04	        5.730020E-06	        1.020405E-04	       -1.016198E-06	       -1.079111E-12	        9.298537E-06	        8.201193E-05	        1.388105E-04	       -1.038796E-05	       -5.862593E-05	       -4.236709E-10	        7.256483E-03	       -1.571462E-07	        6.813045E-03	        5.420913E-06	       -5.207554E-04	        9.412723E-04	       -4.817887E-05	        0.000000E+00	       -3.230855E-05	        5.792430E-04	       -3.930338E-05	       -6.959965E-13	       -2.040042E-05	        8.118644E-09	        2.248806E-05	       -4.429807E-05	        6.980907E-03	       -1.028395E-04	       -5.228782E-06	       -5.132964E-05	       -7.127900E-03	        7.129963E-03	       -3.615665E-12	       -3.101596E-11	        5.752660E-07	       -3.484834E-08	       -5.861819E-09	        6.463903E-09	       -1.205523E-08	       -1.983662E-09	        5.345815E-10	       -9.433464E-07	        7.365488E-07	        1.449283E-09	       -2.598777E-07	        4.365832E-11	        1.412902E-05	        1.917728E-09	       -1.455085E-08	       -1.424639E-11	       -7.249568E-10	       -5.858309E-11	       -2.779397E-07	        5.228990E-04	        1.872290E-08	        1.814012E-08	        8.602400E-10	       -6.630165E-11	       -1.811000E-08	       -5.226937E-04	       -1.414146E-05	       -7.449624E-10	        1.804245E-11	       -2.426129E-12	       -2.133895E-13	        7.802996E-10	       -5.182045E-11	       -6.800982E-11
        1.002560E-02	        1.134024E-07	       -3.188549E-08	        9.893340E-10	        2.238224E-06	        5.100160E-06	        2.012163E-06	       -2.267882E-05	       -3.175210E-07	       -1.043207E-06	       -3.352613E-04	       -7.310498E-07	       -4.209813E-08	       -1.602700E-09	        2.505748E-05	       -5.386401E-13	        5.535234E-07	        9.168765E-08	       -5.082300E-12	        2.647178E-05	       -4.153174E-05	       -3.167790E-08	       -1.594387E-08	        1.670343E-05	       -1.493147E-05	        2.122138E-13	        8.086766E-06	       -2.490042E-06	        6.775633E-16	       -3.516863E-05	        6.884954E-06	        3.167492E-06	        7.474667E-06	       -1.293092E-06	        2.319577E-04	       -1.186964E-08	       -8.480881E-07	        2.538197E-07	        6.390057E-05	        8.177623E-05	        4.936005E-06	        4.346897E-05	       -4.201936E-07	       -3.122481E-13	        5.002999E-06	        4.488765E-05	        6.466336E-05	       -4.958974E-06	       -3.085395E-05	       -1.951073E-10	        4.468846E-03	       -2.505201E-08	        4.201122E-03	        2.466875E-06	       -2.442891E-04	        4.780502E-04	       -2.160704E-05	        0.000000E+00	       -1.558324E-05	        3.128674E-04	       -2.110324E-05	       -5.163471E-13	       -9.883554E-06	        3.846209E-09	        7.121849E-06	       -2.233819E-05	        4.321448E-03	       -4.368448E-05	       -3.012762E-06	       -2.295824E-05	       -4.403460E-03	        4.404585E-03	       -7.748634E-13	       -1.134194E-11	        3.428732E-07	       -1.128391E-08	       -4.781448E-09	        1.466004E-09	       -3.206053E-09	       -5.631443E-10	        1.058072E-09	       -4.640993E-07	        2.801975E-07	        1.248396E-10	       -1.267590E-07	        8.270004E-10	        3.563146E-07	        7.873069E-09	       -1.077069E-08	       -1.896817E-12	       -4.001836E-10	       -6.810328E-12	       -1.467679E-07	        2.795163E-04	        1.322360E-08	        1.363750E-08	        6.806400E-10	       -4.529253E-11	       -1.362100E-08	       -2.794004E-04	       -3.602298E-07	       -6.593138E-10	       -7.832196E-13	       -4.673400E-13	       -2.037925E-14	        3.447700E-10	       -9.322968E-12	       -3.893136E-12
