            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -1.611735E-09	       -4.787067E-13	       -4.821135E-09	       -7.577399E-10	       -1.709434E-08	       -7.264026E-10	       -4.568580E-08	       -3.215763E-09	       -2.205843E-08	       -4.432894E-06	       -2.454152E-10	       -4.975045E-11	       -2.091376E-09	       -4.766217E-08	       -1.308619E-20	       -2.306889E-09	       -1.676104E-08	       -4.663480E-15	       -1.323267E-07	       -9.261749E-08	       -4.154162E-12	       -2.792424E-12	       -4.676401E-08	       -9.928744E-08	       -1.108086E-14	       -5.904681E-08	       -1.861605E-09	       -0.000000E+00	       -2.988813E-07	       -6.461485E-08	       -1.990213E-09	       -5.958853E-08	       -1.070522E-08	       -4.111868E-08	       -1.197120E-11	       -8.787743E-10	       -8.481568E-10	       -4.405541E-07	       -6.022256E-08	       -1.833314E-07	       -5.515830E-08	       -9.025411E-10	       -3.580772E-18	       -7.649282E-09	       -1.757542E-07	       -1.144202E-07	       -1.819680E-08	       -6.823615E-07	       -4.548189E-15	       -1.647056E-07	       -5.547122E-13	       -6.660544E-09	       -2.098310E-08	       -1.297975E-06	       -1.833140E-09	       -2.899515E-07	       -0.000000E+00	       -3.822446E-08	       -4.156388E-08	       -5.272484E-08	       -0.000000E+00	       -1.331632E-07	       -7.287539E-21	       -7.264044E-08	       -4.199226E-08	       -5.859619E-07	       -3.169096E-07	       -6.036871E-09	       -8.599141E-08	       -9.292600E-05	       -2.611063E-09	       -1.176553E-16	       -0.000000E+00	       -3.736550E-10	       -4.115054E-11	       -1.857332E-10	       -3.765129E-12	       -4.582241E-14	       -7.843705E-11	       -1.866935E-18	       -9.103221E-10	       -1.464020E-10	       -3.759096E-12	       -3.497217E-10	       -2.502810E-10	       -1.099383E-11	       -2.309067E-14	       -1.238737E-11	       -0.000000E+00	       -7.292010E-14	       -7.227299E-14	       -2.868138E-10	       -1.972815E-05	       -0.000000E+00	       -9.246162E-09	       -3.140420E-10	       -5.802809E-12	       -5.631230E-09	       -1.536261E-05	       -5.469591E-12	       -3.901831E-16	       -5.636664E-16	       -1.466089E-21	       -0.000000E+00	       -4.393188E-14	       -5.433510E-15	       -1.262461E-15
        2.000000E-03	       -3.028085E-07	       -1.617845E-09	       -2.008221E-06	       -1.246261E-07	       -3.315594E-06	       -1.556325E-08	       -4.265957E-06	       -7.201399E-07	       -4.684300E-06	       -3.951313E-05	       -6.911241E-07	       -4.581002E-08	       -2.003445E-07	       -5.472224E-06	       -1.282933E-13	       -3.769468E-06	       -1.958883E-06	       -1.408320E-10	       -8.671330E-06	       -6.249616E-06	       -1.697947E-08	       -1.720864E-08	       -2.750240E-06	       -4.136586E-06	       -9.626194E-13	       -2.925211E-06	       -2.038062E-06	       -2.194118E-15	       -4.572677E-05	       -6.805779E-06	       -3.143062E-07	       -4.140702E-06	       -1.092142E-06	       -3.197329E-06	       -3.890158E-08	       -1.702459E-07	       -1.656796E-07	       -3.583553E-05	       -4.314112E-06	       -3.510463E-05	       -9.556061E-07	       -1.581772E-07	       -5.338712E-13	       -6.615102E-07	       -6.796352E-06	       -9.961105E-06	       -1.613414E-06	       -5.889364E-05	       -2.550638E-11	       -2.474601E-05	       -7.099382E-09	       -4.176634E-06	       -3.825714E-07	       -1.018001E-04	       -6.302868E-07	       -5.155704E-06	       -0.000000E+00	       -7.952079E-06	       -3.674751E-06	       -9.409622E-06	       -1.220852E-15	       -2.031364E-06	       -2.820472E-16	       -6.682684E-06	       -6.118304E-06	       -9.635282E-05	       -2.908588E-06	       -5.968399E-07	       -5.114390E-06	       -8.164470E-04	       -2.302289E-07	       -6.786823E-13	       -1.320114E-11	       -1.266159E-07	       -1.200394E-08	       -7.166033E-08	       -8.092373E-10	       -1.084214E-10	       -5.272077E-08	       -3.747101E-14	       -1.566851E-07	       -4.337930E-08	       -2.338061E-08	       -1.506284E-08	       -8.995682E-09	       -2.805431E-09	       -2.434780E-10	       -4.619086E-09	       -1.935812E-14	       -6.002210E-11	       -2.546480E-11	       -3.574667E-08	       -2.085435E-03	       -8.852950E-10	       -1.422977E-06	       -2.580330E-08	       -1.084805E-09	       -1.158900E-06	       -1.992272E-03	       -2.379715E-09	       -1.918023E-11	       -1.540582E-12	       -7.012298E-16	       -6.693417E-15	       -1.910377E-10	       -2.924672E-11	       -1.935550E-11
        3.100000E-03	       -1.983913E-07	       -4.659199E-09	       -1.675890E-06	       -8.415817E-08	       -6.312730E-06	       -8.706874E-09	       -5.291999E-06	       -1.153075E-06	       -8.966257E-06	       -4.099971E-05	       -3.593829E-06	       -1.393540E-07	       -2.559156E-07	       -8.558072E-06	       -2.573454E-12	       -1.042593E-05	       -1.354374E-06	       -2.627680E-10	       -9.144850E-06	       -6.397546E-06	       -8.479160E-08	       -6.292345E-08	       -1.951461E-06	       -4.730782E-06	       -4.963968E-13	       -2.000519E-06	       -5.617396E-06	       -2.253293E-14	       -1.267268E-04	       -7.014774E-06	       -2.053480E-07	       -3.936857E-06	       -3.824959E-06	       -2.850819E-06	       -6.085557E-08	       -4.293177E-07	       -4.317393E-07	       -5.009649E-05	       -4.580520E-06	       -6.220360E-05	       -1.014253E-06	       -4.275943E-07	       -4.406870E-12	       -6.740774E-07	       -4.186986E-06	       -1.592593E-05	       -2.618091E-06	       -1.453350E-04	       -1.593202E-10	       -3.923848E-05	       -1.671678E-08	       -3.116850E-05	       -4.146608E-07	       -1.975487E-04	       -7.025146E-06	       -4.821180E-06	       -0.000000E+00	       -2.043388E-05	       -9.522893E-06	       -1.477757E-05	       -2.243011E-14	       -1.848376E-06	       -5.878347E-15	       -6.398850E-06	       -1.036058E-05	       -2.166619E-04	       -2.934385E-06	       -7.585293E-07	       -5.109920E-06	       -8.131850E-04	       -2.036037E-07	       -4.451149E-12	       -1.140739E-10	       -2.855485E-07	       -6.163032E-08	       -1.965041E-07	       -6.846064E-09	       -9.102008E-10	       -8.530932E-08	       -2.012380E-12	       -3.088655E-07	       -1.157976E-07	       -1.122633E-07	       -7.588728E-08	       -4.073308E-08	       -8.110018E-09	       -5.562355E-09	       -3.165098E-08	       -3.363341E-13	       -4.919120E-10	       -6.946647E-11	       -5.219846E-08	       -2.869572E-03	       -1.114932E-09	       -1.328106E-06	       -3.208110E-08	       -1.378403E-09	       -1.150780E-06	       -2.814543E-03	       -4.011954E-09	       -2.155320E-10	       -2.343756E-12	       -1.372795E-14	       -5.270839E-14	       -2.359402E-09	       -1.410559E-10	       -1.113437E-10
        4.100000E-03	       -7.039100E-07	       -1.796078E-08	       -5.221993E-06	       -3.413152E-07	       -1.175752E-05	       -2.556920E-07	       -1.690671E-05	       -2.414065E-06	       -1.976335E-05	       -1.465081E-04	       -8.889990E-06	       -4.297589E-07	       -5.090247E-07	       -1.538687E-05	       -9.260228E-12	       -2.001916E-05	       -3.656072E-06	       -1.055540E-09	       -1.847022E-05	       -2.520542E-05	       -2.009903E-07	       -2.504991E-07	       -3.706681E-06	       -1.537351E-05	       -4.035060E-12	       -4.186815E-06	       -1.266856E-05	       -8.971070E-14	       -2.908313E-04	       -1.503490E-05	       -8.466162E-07	       -8.163524E-06	       -8.985132E-06	       -8.308252E-06	       -2.210531E-07	       -1.004508E-06	       -8.925630E-07	       -9.762596E-05	       -1.624575E-05	       -1.214036E-04	       -2.055275E-06	       -1.039398E-06	       -1.891319E-11	       -1.838887E-06	       -8.771621E-06	       -3.304660E-05	       -6.625574E-06	       -3.064499E-04	       -4.461640E-10	       -9.389696E-05	       -6.823256E-08	       -6.782801E-05	       -8.493423E-07	       -3.877536E-04	       -1.852423E-05	       -1.675013E-05	       -0.000000E+00	       -5.286483E-05	       -1.943648E-05	       -3.826190E-05	       -4.234866E-14	       -6.510602E-06	       -3.007872E-14	       -2.103643E-05	       -2.758616E-05	       -5.270700E-04	       -1.102500E-05	       -2.492453E-06	       -1.784802E-05	       -2.791110E-03	       -4.500290E-07	       -9.287199E-12	       -2.550878E-10	       -5.079949E-07	       -1.114530E-07	       -3.445724E-07	       -1.604884E-08	       -2.565859E-09	       -1.575401E-07	       -9.971128E-12	       -7.331960E-07	       -2.830271E-07	       -2.946785E-07	       -1.481897E-07	       -6.809075E-08	       -2.091747E-08	       -1.571526E-08	       -8.178085E-08	       -1.299422E-12	       -7.794320E-10	       -2.145140E-10	       -1.486036E-07	       -5.624302E-03	       -3.819805E-09	       -3.703908E-06	       -5.968560E-08	       -3.540870E-09	       -3.197140E-06	       -5.771486E-03	       -1.326278E-07	       -6.707904E-10	       -4.140125E-10	       -6.150933E-14	       -2.161619E-13	       -5.090582E-09	       -3.611751E-10	       -3.046556E-10
        5.002950E-03	       -1.249105E-06	       -3.490620E-07	       -9.978575E-06	       -9.463329E-07	       -2.704493E-05	       -2.491775E-07	       -5.897973E-05	       -9.818562E-06	       -6.529125E-05	       -3.757033E-04	       -9.059921E-05	       -2.788391E-06	       -7.928354E-07	       -2.518133E-05	       -2.605584E-10	       -5.361023E-05	       -5.565317E-06	       -5.549770E-09	       -3.468045E-05	       -9.215355E-05	       -2.054440E-06	       -2.768581E-06	       -4.010823E-06	       -4.126473E-05	       -1.254355E-11	       -6.974592E-06	       -6.384563E-05	       -9.589013E-13	       -1.670407E-03	       -3.500520E-05	       -2.037554E-06	       -2.432373E-05	       -9.049317E-05	       -2.474414E-05	       -6.600611E-07	       -3.720849E-06	       -3.133619E-06	       -1.987130E-04	       -5.570306E-05	       -3.293566E-04	       -5.462124E-06	       -4.663207E-06	       -3.976152E-10	       -4.768397E-06	       -1.374785E-05	       -1.067768E-04	       -2.007400E-05	       -1.733054E-03	       -5.847770E-09	       -2.634471E-04	       -4.941196E-07	       -4.679262E-04	       -2.177918E-06	       -1.566571E-03	       -2.436397E-04	       -5.014609E-05	       -0.000000E+00	       -2.798115E-04	       -1.218921E-04	       -1.254730E-04	       -3.336949E-13	       -1.895768E-05	       -1.201977E-12	       -6.322837E-05	       -9.391488E-05	       -2.624342E-03	       -3.753265E-05	       -9.859633E-06	       -5.741668E-05	       -5.794100E-03	       -1.056736E-06	       -6.520563E-11	       -1.072450E-09	       -1.288962E-06	       -6.154231E-07	       -1.015981E-06	       -1.157154E-07	       -4.449649E-08	       -3.506165E-07	       -5.529377E-10	       -2.253221E-06	       -9.453503E-07	       -1.197392E-06	       -7.270111E-07	       -1.766128E-07	       -2.753531E-07	       -1.888642E-07	       -6.466675E-07	       -6.947839E-11	       -3.125740E-09	       -1.509347E-09	       -5.062011E-07	       -1.355381E-02	       -1.046447E-08	       -6.365128E-06	       -9.210210E-08	       -1.964127E-08	       -6.014940E-06	       -1.662764E-02	       -2.633845E-06	       -1.155405E-08	       -2.056042E-10	       -3.755986E-12	       -5.689443E-12	       -3.415315E-08	       -1.737101E-09	       -2.268778E-09
        6.002560E-03	       -7.400067E-07	       -1.806394E-05	       -1.586770E-05	       -3.422843E-07	       -6.884143E-05	       -3.278994E-07	       -1.108791E-04	       -6.344854E-05	       -1.494179E-04	       -1.734632E-03	       -1.221212E-04	       -4.646500E-06	       -5.448140E-09	       -1.990714E-05	       -6.786028E-11	       -4.854089E-05	       -3.378492E-07	       -2.225600E-10	       -4.069790E-05	       -1.882349E-04	       -4.892165E-06	       -2.281736E-06	       -9.269466E-07	       -5.161910E-05	       -1.519099E-13	       -4.265591E-06	       -1.396223E-04	       -4.348074E-15	       -1.405272E-02	       -6.553746E-05	       -4.672482E-07	       -4.574706E-05	       -1.351688E-04	       -1.181508E-05	       -2.289619E-07	       -6.182647E-06	       -4.209176E-06	       -2.878818E-04	       -7.019228E-05	       -5.754018E-04	       -6.128417E-06	       -5.930535E-06	       -7.162995E-11	       -2.468908E-07	       -2.217861E-06	       -1.041189E-04	       -2.967328E-05	       -1.468253E-02	       -1.968114E-09	       -2.956662E-04	       -1.029356E-06	       -3.233571E-03	       -1.859615E-06	       -1.047111E-02	       -4.926753E-03	       -2.023060E-04	       -0.000000E+00	       -2.142155E-03	       -2.065255E-03	       -1.097885E-04	       -6.130641E-13	       -5.936705E-05	       -9.294766E-11	       -7.377809E-05	       -1.241508E-04	       -2.235720E-02	       -3.933437E-04	       -1.442511E-05	       -1.511279E-04	       -1.558180E-02	       -1.428389E-06	       -6.445753E-11	       -1.011594E-09	       -1.606185E-06	       -1.907383E-06	       -1.446352E-06	       -8.499510E-07	       -5.283023E-07	       -1.786815E-08	       -9.706472E-09	       -2.707864E-06	       -2.545649E-06	       -1.425732E-06	       -1.341064E-06	       -3.697155E-07	       -1.755469E-06	       -3.324711E-07	       -1.168103E-06	       -4.863973E-10	       -2.316560E-09	       -7.417349E-09	       -7.359787E-07	       -4.112840E-03	       -9.297481E-09	       -1.702480E-07	       -7.651400E-09	       -4.365039E-09	       -1.779190E-07	       -4.607383E-03	       -2.032083E-06	       -3.911310E-09	       -4.246350E-11	       -4.030006E-11	       -2.581776E-12	       -6.084662E-08	       -5.055761E-10	       -1.776500E-09
        7.001230E-03	       -3.733521E-07	       -8.949245E-06	       -1.790132E-05	       -1.985676E-07	       -4.030101E-05	       -1.750339E-08	       -1.059719E-04	       -3.503209E-05	       -9.636795E-05	       -1.795661E-03	       -6.845850E-05	       -2.526234E-06	       -2.085508E-09	       -1.170212E-05	       -2.865003E-11	       -3.090113E-05	       -1.850624E-07	       -9.454430E-11	       -2.451205E-05	       -1.887019E-04	       -2.807017E-06	       -1.248643E-06	       -6.164973E-07	       -5.022910E-05	       -4.558380E-14	       -2.270796E-06	       -8.717806E-05	       -5.286391E-16	       -1.526023E-02	       -3.936828E-05	       -2.600835E-07	       -2.933873E-05	       -7.753470E-05	       -8.851177E-06	       -1.509667E-07	       -4.957231E-06	       -3.122746E-06	       -1.767207E-04	       -6.079195E-05	       -5.627095E-04	       -3.685668E-06	       -4.276570E-06	       -2.951166E-11	       -8.497592E-08	       -1.147416E-06	       -5.867805E-05	       -2.529700E-05	       -1.486747E-02	       -9.029780E-10	       -2.222729E-04	       -5.540168E-07	       -3.137657E-03	       -1.009111E-06	       -1.101363E-02	       -5.366186E-03	       -2.082552E-04	       -0.000000E+00	       -1.765164E-03	       -2.072715E-03	       -9.273265E-05	       -3.741150E-13	       -6.025913E-05	       -4.033984E-11	       -6.656027E-05	       -1.081652E-04	       -2.389415E-02	       -4.146388E-04	       -1.343808E-05	       -1.350938E-04	       -1.598920E-02	       -6.269141E-07	       -2.418977E-11	       -5.999680E-10	       -1.057412E-06	       -1.276970E-06	       -1.030787E-06	       -1.083946E-06	       -3.267489E-07	       -9.640328E-09	       -6.274886E-09	       -2.286838E-06	       -2.878603E-06	       -1.631694E-06	       -9.354132E-07	       -2.406555E-07	       -6.000847E-07	       -2.325227E-07	       -8.152138E-07	       -2.268022E-10	       -8.737450E-10	       -2.372743E-09	       -6.748074E-07	       -2.211080E-03	       -5.099321E-09	       -9.222394E-08	       -4.373460E-09	       -1.846687E-09	       -9.831080E-08	       -2.444529E-03	       -3.354917E-06	       -1.595115E-09	       -1.595111E-11	       -1.741086E-11	       -9.654006E-13	       -4.219791E-08	       -1.539446E-10	       -4.189810E-10
        8.004550E-03	       -1.619202E-07	       -2.472003E-06	       -1.411661E-05	       -1.110655E-07	       -1.798751E-05	       -1.218074E-07	       -7.164178E-05	       -1.314399E-05	       -4.819870E-05	       -1.181954E-03	       -4.387052E-05	       -1.070283E-06	       -1.592348E-09	       -6.298046E-06	       -1.555114E-11	       -1.749371E-05	       -1.005008E-07	       -5.420270E-11	       -1.280355E-05	       -1.313596E-04	       -1.486617E-06	       -7.066804E-07	       -4.432463E-07	       -3.610715E-05	       -1.420288E-14	       -1.203282E-06	       -4.150189E-05	       -6.743460E-17	       -1.151295E-02	       -1.959820E-05	       -1.469231E-07	       -1.546766E-05	       -4.943164E-05	       -5.360474E-06	       -7.836608E-08	       -3.002920E-06	       -1.954282E-06	       -8.878562E-05	       -3.991586E-05	       -4.485122E-04	       -1.903086E-06	       -2.478794E-06	       -1.579573E-11	       -4.404714E-08	       -6.787935E-07	       -2.796306E-05	       -1.603984E-05	       -1.058400E-02	       -4.371240E-10	       -1.336826E-04	       -2.362950E-07	       -2.147580E-03	       -5.968821E-07	       -8.381820E-03	       -3.796749E-03	       -1.234216E-04	       -0.000000E+00	       -8.626435E-04	       -1.336619E-03	       -6.215158E-05	       -2.245220E-13	       -3.801527E-05	       -1.030008E-11	       -4.436180E-05	       -7.108941E-05	       -1.748578E-02	       -2.515588E-04	       -9.425550E-06	       -8.058072E-05	       -1.115410E-02	       -2.233193E-07	       -8.959087E-12	       -3.092409E-10	       -5.583905E-07	       -6.689666E-07	       -5.924039E-07	       -1.021470E-06	       -1.349535E-07	       -5.609440E-09	       -3.445487E-09	       -1.468129E-06	       -2.550787E-06	       -1.453174E-06	       -5.169707E-07	       -1.183578E-07	       -1.889887E-07	       -1.496263E-07	       -4.866105E-07	       -8.801867E-11	       -4.034350E-10	       -6.951958E-10	       -4.635481E-07	       -1.458036E-03	       -2.588370E-09	       -7.440428E-08	       -3.596330E-09	       -1.281595E-09	       -8.023610E-08	       -1.612124E-03	       -3.101326E-07	       -1.088516E-09	       -4.339511E-12	       -5.963399E-12	       -3.304278E-13	       -2.347435E-08	       -4.420304E-11	       -9.181653E-11
        9.009870E-03	       -4.920965E-08	       -1.461224E-07	       -5.654728E-06	       -3.410715E-08	       -4.938999E-06	       -2.735246E-08	       -2.809471E-05	       -1.838126E-06	       -1.356323E-05	       -4.197030E-04	       -2.067014E-05	       -2.068279E-07	       -3.298020E-09	       -3.153808E-06	       -8.566088E-12	       -7.593119E-06	       -5.110065E-08	       -2.972370E-11	       -3.964386E-06	       -5.198115E-05	       -3.856095E-07	       -2.289077E-07	       -3.304532E-07	       -1.719819E-05	       -2.151447E-15	       -4.947369E-07	       -1.037059E-05	       -1.412693E-16	       -4.057607E-03	       -5.254564E-06	       -5.055290E-08	       -4.767651E-06	       -2.274276E-05	       -1.978523E-06	       -2.040105E-08	       -1.080292E-06	       -8.091650E-07	       -2.984978E-05	       -1.644421E-05	       -2.157690E-04	       -6.047369E-07	       -8.441396E-07	       -8.639212E-12	       -3.542862E-08	       -4.013936E-07	       -8.354971E-06	       -6.091551E-06	       -3.553259E-03	       -1.945250E-10	       -5.302700E-05	       -3.909149E-08	       -7.082928E-04	       -3.045843E-07	       -3.105246E-03	       -1.180094E-03	       -3.249761E-05	       -0.000000E+00	       -1.298887E-04	       -3.397466E-04	       -2.659456E-05	       -1.314700E-13	       -1.202881E-05	       -8.231166E-13	       -1.888365E-05	       -2.796764E-05	       -5.925017E-03	       -6.431893E-05	       -3.919083E-06	       -2.621031E-05	       -4.931920E-03	       -4.339094E-08	       -2.497912E-12	       -1.234446E-10	       -1.782489E-07	       -2.026358E-07	       -2.088726E-07	       -6.023390E-07	       -2.281346E-08	       -3.113271E-09	       -1.093336E-09	       -5.766409E-07	       -1.462122E-06	       -8.397953E-07	       -2.061837E-07	       -4.880543E-08	       -4.208500E-08	       -8.132228E-08	       -2.181751E-07	       -2.029063E-11	       -2.377180E-10	       -1.538435E-10	       -1.877488E-07	       -1.282157E-03	       -8.770401E-10	       -1.133541E-07	       -5.510430E-09	       -1.146555E-09	       -1.256780E-07	       -1.452003E-03	       -4.533208E-07	       -9.145639E-10	       -1.825796E-12	       -1.044182E-12	       -9.368967E-14	       -9.752045E-09	       -1.291412E-11	       -1.518048E-11
        1.004920E-02	       -9.021596E-09	       -1.039702E-08	       -2.734473E-06	       -4.452799E-09	       -1.638479E-06	       -5.915992E-08	       -1.543801E-05	       -2.942139E-07	       -3.995529E-06	       -2.760814E-04	       -6.316531E-06	       -6.679000E-08	       -2.054874E-09	       -1.653825E-06	       -4.323525E-12	       -3.363367E-06	       -2.196326E-08	       -8.455240E-12	       -1.110611E-06	       -2.852369E-05	       -8.158103E-08	       -4.785394E-08	       -1.199305E-07	       -1.078154E-05	       -5.517424E-17	       -1.342198E-07	       -2.825089E-06	       -2.340362E-17	       -1.797281E-03	       -1.359299E-06	       -7.243751E-09	       -1.808202E-06	       -7.275463E-06	       -8.439775E-07	       -3.267636E-09	       -4.818954E-07	       -3.542536E-07	       -1.061415E-05	       -9.275391E-06	       -1.115309E-04	       -1.758748E-07	       -3.253275E-07	       -4.306113E-12	       -5.940611E-09	       -1.350762E-07	       -2.343511E-06	       -3.007413E-06	       -1.546121E-03	       -1.063556E-10	       -2.742632E-05	       -3.534042E-09	       -3.100747E-04	       -9.263255E-08	       -1.404421E-03	       -5.057698E-04	       -1.642883E-05	       -0.000000E+00	       -3.217305E-05	       -1.266846E-04	       -1.481868E-05	       -8.128940E-14	       -6.646009E-06	       -1.148583E-13	       -1.078447E-05	       -1.453651E-05	       -2.599684E-03	       -3.347643E-05	       -2.188307E-06	       -1.337618E-05	       -3.812280E-03	       -8.044329E-09	       -3.538534E-13	       -4.437685E-11	       -5.240527E-08	       -6.536482E-08	       -7.021440E-08	       -3.702705E-07	       -4.371440E-09	       -1.204075E-09	       -4.360046E-10	       -2.901975E-07	       -8.856174E-07	       -5.133473E-07	       -1.086277E-07	       -3.350846E-08	       -1.194303E-08	       -4.653496E-08	       -1.129043E-07	       -2.853534E-12	       -1.627820E-10	       -4.512197E-11	       -1.001564E-07	       -4.015288E-04	       -2.736666E-13	       -5.596905E-08	       -2.442220E-09	       -5.692341E-10	       -5.355540E-08	       -4.419277E-04	       -5.425493E-08	       -4.627294E-10	       -1.383198E-12	       -1.494177E-13	       -1.454667E-14	       -4.883701E-09	       -3.415599E-12	       -2.699236E-12
