            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        4.934454E-13	        7.118443E-13	        6.704991E-12	        5.695582E-10	        1.569881E-09	        8.034497E-12	        1.067434E-12	        1.025256E-09	        3.499360E-08	        2.333533E-08	        4.159498E-12	        7.142011E-10	        5.360058E-13	        7.036343E-08	        1.693711E-19	        1.073886E-07	        5.810750E-09	        1.058292E-18	        1.164696E-07	        4.652087E-13	        2.348405E-11	        2.115411E-14	        1.701198E-09	        2.028113E-08	        1.497648E-17	        2.435907E-09	        5.899905E-08	        2.795356E-27	        5.137479E-07	        3.397053E-08	        8.896854E-11	        4.975582E-08	        1.349322E-07	        1.348701E-05	        2.101059E-10	        2.252588E-17	        1.425239E-12	        8.046486E-07	        4.589112E-06	        3.748761E-07	        1.616116E-06	        5.687340E-13	        5.949800E-20	        2.355086E-08	        8.856006E-08	        1.778855E-06	        2.799261E-19	        8.937824E-07	        3.478740E-15	        3.227423E-04	        4.195266E-15	        3.186252E-04	        1.372936E-07	        2.489504E-08	        1.393267E-05	        1.657852E-07	        0.000000E+00	        5.338135E-08	        2.797140E-08	        1.410012E-07	        1.635151E-21	        0.000000E+00	        2.522430E-09	        7.290001E-07	        1.487369E-08	        3.183356E-04	        1.072109E-13	        5.803725E-15	        5.128506E-15	        0.000000E+00	        3.177677E-04	        6.356410E-24	        2.005337E-10	        3.651762E-20	        5.016405E-18	        4.661256E-20	        4.775224E-20	        9.695184E-14	        5.295447E-20	        6.257984E-11	        2.703634E-22	        1.218373E-13	        4.476965E-18	        1.282394E-19	        3.544680E-25	        4.507605E-20	        2.229612E-21	        3.415934E-18	        9.672609E-17	        2.573130E-24	        4.322250E-20	        0.000000E+00	        0.000000E+00	        1.066440E-26	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        0.000000E+00	        7.190861E-36	        0.000000E+00	        1.586307E-30	        0.000000E+00	        1.193156E-17	        2.075622E-25	        1.214826E-26	        0.000000E+00
        2.000000E-03	        6.074774E-10	        1.751922E-10	        6.434586E-09	        1.920959E-08	        3.928895E-07	        7.945228E-10	        1.000760E-09	        2.323502E-07	        2.176119E-06	        2.268676E-07	        2.879953E-09	        1.478381E-08	        2.656359E-10	        6.841423E-07	        5.762011E-15	        7.542480E-06	        2.162351E-07	        1.694959E-13	        2.850247E-06	        3.177130E-10	        1.286377E-08	        4.116720E-11	        4.392866E-08	        1.575420E-06	        2.755706E-15	        5.126329E-08	        3.642425E-06	        8.361319E-19	        3.951426E-05	        4.632673E-07	        1.866210E-09	        2.448343E-06	        1.937449E-06	        1.237163E-04	        3.217356E-08	        9.818219E-14	        1.038875E-09	        1.509966E-05	        4.244377E-05	        3.029983E-05	        1.531924E-05	        2.307369E-10	        1.497313E-15	        2.319865E-07	        3.355106E-06	        2.123558E-05	        1.826678E-15	        3.012325E-05	        1.284673E-12	        2.972278E-03	        8.882906E-12	        2.964142E-03	        1.335155E-06	        1.061839E-06	        1.285504E-04	        1.835112E-06	        0.000000E+00	        8.117647E-07	        4.008296E-06	        6.733911E-06	        1.531359E-15	        0.000000E+00	        5.800627E-07	        6.948030E-06	        2.209820E-07	        2.962309E-03	        3.369090E-11	        2.364798E-11	        9.482290E-12	        0.000000E+00	        2.917862E-03	        3.579070E-20	        1.336987E-08	        1.137303E-16	        1.540390E-15	        1.012337E-13	        1.059778E-16	        2.252671E-12	        1.899852E-16	        1.072016E-09	        2.730170E-17	        3.994143E-12	        5.799135E-15	        1.469231E-16	        4.228318E-16	        1.049831E-12	        8.005215E-16	        1.029826E-13	        4.162292E-13	        2.016667E-19	        2.397875E-17	        0.000000E+00	        0.000000E+00	        4.419457E-22	        0.000000E+00	        0.000000E+00	        9.183025E-25	        0.000000E+00	        5.810947E-23	        4.710274E-16	        0.000000E+00	        2.235443E-20	        4.597294E-28	        5.146689E-14	        2.657736E-19	        2.274364E-20	        2.038523E-19
        3.100000E-03	        1.540382E-09	        4.727837E-10	        1.377010E-08	        1.362626E-08	        1.083076E-06	        2.271656E-09	        5.914223E-09	        6.639663E-07	        1.881413E-06	        1.373461E-07	        2.313074E-08	        5.633881E-08	        1.292689E-09	        6.966709E-07	        6.986028E-14	        8.653925E-06	        3.048703E-07	        1.190344E-12	        3.555267E-06	        5.811546E-10	        4.213250E-08	        3.783216E-10	        8.334667E-08	        2.059743E-06	        2.158546E-15	        7.693684E-08	        4.397648E-06	        6.330722E-17	        1.094647E-04	        4.528405E-07	        2.159858E-09	        2.641046E-06	        1.813823E-06	        8.954198E-05	        2.278991E-08	        5.921789E-13	        8.835474E-09	        1.772046E-05	        3.105335E-05	        5.690181E-05	        1.054494E-05	        7.308193E-10	        1.741026E-14	        1.467386E-07	        3.174967E-06	        1.741374E-05	        2.655468E-14	        4.025734E-05	        1.730352E-12	        2.188573E-03	        1.703309E-11	        2.213577E-03	        8.090917E-07	        3.044517E-06	        9.508502E-05	        1.281587E-06	        0.000000E+00	        7.484955E-07	        1.051963E-05	        5.411886E-06	        1.512141E-14	        0.000000E+00	        1.515421E-06	        4.186272E-06	        2.595567E-07	        2.255955E-03	        3.735776E-11	        4.606136E-11	        1.505384E-11	        0.000000E+00	        2.140190E-03	        2.866962E-19	        3.591883E-08	        1.921455E-15	        2.044045E-14	        5.480242E-13	        5.076340E-15	        1.113036E-11	        1.832070E-15	        5.216318E-09	        3.640459E-16	        2.225185E-11	        9.079167E-14	        8.084635E-15	        1.136654E-14	        1.533956E-11	        1.233040E-14	        8.458701E-13	        1.650916E-12	        2.473755E-18	        1.698965E-16	        1.334207E-24	        4.511273E-27	        2.082376E-20	        7.466711E-22	        3.576290E-20	        2.564589E-23	        0.000000E+00	        5.233838E-15	        3.421163E-15	        5.588626E-26	        4.135843E-19	        3.422317E-26	        2.056555E-13	        2.338970E-17	        5.587915E-19	        2.642388E-18
        4.100000E-03	        5.564394E-09	        9.815886E-10	        1.970960E-08	        3.974377E-08	        2.079982E-06	        1.311882E-08	        1.223401E-08	        1.206161E-06	        3.534234E-06	        3.652749E-07	        6.788229E-08	        8.873840E-08	        2.299924E-09	        2.008570E-06	        2.324664E-13	        1.511478E-05	        4.302860E-07	        2.968382E-12	        7.416015E-06	        7.444328E-10	        6.697514E-08	        9.655890E-10	        2.718971E-07	        3.894789E-06	        5.043343E-15	        1.923793E-07	        7.877879E-06	        2.253838E-16	        2.227216E-04	        8.039518E-07	        6.570499E-09	        4.644200E-06	        3.410471E-06	        2.666926E-04	        7.367082E-08	        1.848659E-12	        2.519036E-08	        3.607121E-05	        9.210583E-05	        1.045469E-04	        3.118871E-05	        2.535871E-09	        6.282718E-14	        4.087736E-07	        5.854748E-06	        4.353058E-05	        6.225005E-14	        7.838538E-05	        2.995723E-12	        6.498011E-03	        5.911564E-11	        6.510308E-03	        2.154111E-06	        6.779896E-06	        2.804782E-04	        2.963403E-06	        0.000000E+00	        1.622813E-06	        2.065182E-05	        9.525438E-06	        4.508120E-14	        0.000000E+00	        2.796856E-06	        1.060892E-05	        3.814233E-07	        6.611374E-03	        7.777423E-11	        1.548136E-10	        3.273805E-11	        0.000000E+00	        6.374810E-03	        1.179267E-18	        7.125929E-08	        7.031515E-15	        1.206163E-13	        2.028250E-12	        3.849857E-14	        2.688281E-11	        3.845907E-15	        1.256340E-08	        8.410244E-16	        7.623808E-11	        3.968573E-13	        3.923399E-14	        4.016106E-14	        4.218293E-09	        4.050965E-14	        7.401633E-11	        5.561604E-12	        5.747185E-18	        5.179901E-16	        3.857803E-20	        9.102706E-13	        8.870653E-20	        1.486499E-17	        7.118254E-16	        2.113452E-16	        1.924076E-13	        1.041878E-10	        5.224008E-11	        4.002721E-20	        2.184915E-16	        9.789876E-24	        6.897589E-13	        1.462069E-16	        1.495547E-17	        2.388297E-16
        5.082040E-03	        1.592142E-08	        2.625990E-09	        4.275454E-08	        7.950333E-08	        5.595484E-06	        6.600708E-08	        2.032838E-08	        2.480433E-06	        4.180652E-06	        5.477184E-07	        8.522047E-07	        2.121347E-07	        3.769367E-09	        4.385517E-06	        3.232117E-12	        1.681011E-05	        4.592479E-07	        6.887898E-12	        1.231918E-05	        3.946188E-10	        1.731297E-07	        8.894612E-09	        8.999579E-07	        5.421040E-06	        5.794287E-15	        5.057320E-07	        1.232011E-05	        1.775260E-15	        1.268146E-03	        1.263665E-06	        3.828614E-08	        6.534029E-06	        5.352936E-06	        4.803590E-04	        1.226490E-07	        1.161332E-11	        8.906338E-08	        6.082050E-05	        1.681603E-04	        2.060847E-04	        5.638856E-05	        1.124899E-08	        1.643394E-12	        7.026987E-07	        5.936494E-06	        6.999869E-05	        1.267292E-13	        1.487640E-04	        2.652341E-12	        1.167376E-02	        2.614936E-10	        1.168042E-02	        3.241238E-06	        3.276149E-05	        5.116004E-04	        3.999173E-06	        0.000000E+00	        2.935672E-06	        4.635400E-05	        7.712402E-06	        3.081947E-13	        0.000000E+00	        7.081354E-06	        1.574422E-05	        4.259881E-07	        1.276318E-02	        6.638054E-11	        9.988734E-10	        4.201958E-11	        0.000000E+00	        1.146408E-02	        4.208995E-17	        4.051811E-07	        1.157164E-13	        2.543783E-12	        4.094646E-11	        5.874014E-13	        1.081117E-10	        2.970898E-14	        5.012329E-08	        6.309883E-15	        5.342404E-10	        1.821711E-12	        1.017710E-12	        9.220503E-13	        1.341928E-06	        5.759847E-13	        6.894601E-10	        7.940714E-11	        3.233696E-17	        2.187184E-15	        5.439620E-18	        3.511567E-09	        3.686897E-18	        1.330013E-12	        3.034814E-14	        5.432035E-15	        4.930721E-12	        4.448631E-09	        2.446916E-10	        9.123160E-18	        1.008834E-13	        1.749095E-21	        9.816472E-12	        8.095956E-15	        5.237158E-16	        3.714568E-15
        6.000730E-03	        6.690010E-09	        1.870735E-08	        2.374040E-07	        1.911245E-08	        4.816208E-05	        1.319559E-08	        1.454068E-08	        9.883418E-06	        3.060813E-06	        2.910186E-08	        5.474590E-06	        2.071669E-07	        9.947188E-10	        9.923904E-07	        3.041106E-12	        1.022077E-05	        4.660647E-07	        3.432090E-12	        1.088789E-05	        7.017054E-11	        1.228121E-07	        3.962423E-08	        1.351550E-07	        6.717987E-06	        8.545697E-17	        8.451845E-08	        1.043967E-05	        2.986956E-15	        8.813261E-03	        4.349110E-07	        1.392416E-08	        3.800243E-06	        3.151748E-06	        3.605963E-05	        2.615853E-08	        2.397356E-11	        9.175906E-08	        7.205515E-05	        2.219909E-05	        6.002987E-04	        5.346916E-06	        3.456326E-09	        1.109718E-11	        5.022334E-08	        3.431811E-06	        1.012009E-05	        1.108468E-13	        4.663983E-04	        8.197456E-14	        9.315378E-04	        3.305572E-10	        1.247523E-03	        1.738261E-07	        2.194314E-04	        9.708702E-05	        2.270544E-07	        0.000000E+00	        4.402820E-06	        8.801207E-05	        1.655194E-06	        2.927174E-16	        0.000000E+00	        6.028967E-05	        8.670022E-07	        5.522900E-08	        9.711839E-03	        2.163301E-12	        1.339460E-09	        3.851938E-11	        0.000000E+00	        8.557812E-04	        2.333106E-15	        2.812432E-06	        3.244317E-12	        8.940782E-11	        2.014746E-09	        5.633465E-11	        3.925472E-10	        7.616859E-13	        1.636736E-07	        1.942496E-13	        2.396899E-08	        6.167539E-11	        3.000218E-10	        8.167136E-11	        1.542220E-08	        9.399470E-12	        2.863804E-08	        1.373158E-08	        2.493862E-16	        9.371562E-14	        2.425868E-19	        1.354000E-10	        2.028918E-18	        4.693093E-18	        2.247713E-16	        2.624907E-18	        1.074563E-87	        3.307698E-11	        3.931822E-11	        1.260839E-18	        9.871854E-16	        6.178410E-18	        1.694393E-09	        1.640518E-12	        7.256395E-15	        4.753919E-14
        7.000930E-03	        3.971139E-09	        2.893867E-08	        7.915281E-07	        1.510891E-08	        5.088807E-05	        1.953644E-08	        1.299765E-08	        8.291060E-06	        2.596734E-06	        2.304105E-08	        3.636123E-06	        8.018833E-08	        1.622873E-10	        9.897670E-07	        2.300170E-12	        5.503550E-06	        2.639433E-07	        5.968533E-13	        6.584314E-06	        2.870801E-11	        3.325271E-08	        2.510265E-08	        1.867972E-07	        3.837549E-06	        2.565070E-17	        9.214485E-08	        5.254019E-06	        1.283427E-15	        1.753939E-02	        3.834821E-07	        1.938474E-08	        1.399604E-06	        1.253663E-06	        2.950863E-05	        8.092303E-09	        3.147696E-11	        9.024020E-08	        8.422280E-05	        1.858633E-05	        8.224850E-04	        4.077237E-06	        3.659118E-09	        1.455455E-11	        5.298244E-08	        1.481053E-06	        6.954521E-06	        1.024449E-13	        9.344487E-04	        1.972771E-14	        7.559826E-04	        2.304504E-10	        9.996778E-04	        1.392770E-07	        7.152234E-04	        1.897089E-04	        1.516666E-07	        0.000000E+00	        1.105755E-05	        8.616999E-05	        5.574025E-07	        2.070352E-17	        0.000000E+00	        6.516152E-05	        7.366069E-07	        2.883548E-08	        1.831927E-02	        5.516881E-13	        1.245422E-09	        2.371182E-11	        0.000000E+00	        7.017408E-04	        9.554279E-15	        5.585151E-06	        9.270062E-12	        3.136488E-10	        3.996597E-09	        1.453417E-09	        8.036187E-10	        1.256704E-12	        2.993675E-07	        4.985998E-13	        7.410228E-08	        1.266452E-09	        6.067303E-10	        1.501291E-10	        2.014139E-08	        2.695678E-11	        6.456306E-08	        2.351004E-08	        1.965288E-16	        2.640413E-13	        1.381655E-19	        5.635509E-11	        9.940783E-18	        1.364242E-18	        6.510354E-17	        4.456934E-18	        5.221847E-88	        9.642338E-12	        4.408265E-11	        2.841425E-18	        1.918621E-15	        2.507250E-17	        2.885829E-09	        5.390374E-12	        1.019355E-14	        6.711275E-14
        8.002710E-03	        2.723387E-09	        1.720526E-08	        1.219172E-06	        1.315986E-08	        2.810921E-05	        2.345842E-08	        8.220301E-09	        4.686856E-06	        1.423959E-06	        2.335299E-08	        1.358388E-06	        3.436156E-08	        3.175357E-11	        8.127090E-07	        1.845634E-12	        3.482884E-06	        1.615960E-07	        1.566773E-13	        4.301387E-06	        1.405216E-11	        1.486870E-08	        1.052369E-08	        2.196319E-07	        2.373458E-06	        1.239105E-17	        9.751938E-08	        3.044161E-06	        5.400402E-16	        1.709259E-02	        2.913333E-07	        1.821149E-08	        6.558651E-07	        6.038470E-07	        2.984265E-05	        4.626720E-09	        2.765601E-11	        6.449784E-08	        4.242188E-05	        1.646721E-05	        7.213057E-04	        3.683874E-06	        3.255811E-09	        1.102721E-11	        5.973788E-08	        1.068016E-06	        5.835417E-06	        6.935685E-14	        1.163677E-03	        6.995134E-15	        7.434895E-04	        1.302908E-10	        8.878647E-04	        1.419173E-07	        1.022155E-03	        2.570467E-04	        1.479048E-07	        0.000000E+00	        1.302870E-05	        7.001136E-05	        3.175800E-07	        5.014232E-18	        0.000000E+00	        3.898899E-05	        7.702656E-07	        1.957446E-08	        1.794632E-02	        1.642328E-13	        7.109287E-10	        1.306227E-11	        0.000000E+00	        7.086341E-04	        8.961866E-15	        5.423899E-06	        8.922943E-12	        3.552243E-10	        2.927013E-09	        3.570610E-09	        8.811922E-10	        8.037439E-13	        3.473942E-07	        3.947476E-13	        6.189138E-08	        2.828573E-09	        2.886502E-10	        8.805286E-11	        1.391775E-08	        2.258213E-11	        3.309393E-08	        1.071770E-08	        6.275009E-17	        1.472838E-13	        8.474512E-20	        6.324601E-11	        9.890499E-18	        8.587536E-19	        4.084243E-17	        1.707590E-18	        4.069219E-88	        6.084912E-12	        1.127171E-11	        6.561635E-19	        1.471771E-15	        7.399514E-18	        1.309132E-09	        3.883345E-12	        1.861523E-15	        1.977739E-14
        9.005840E-03	        2.058036E-09	        3.213569E-09	        1.048397E-06	        2.821250E-09	        4.484027E-06	        1.179102E-08	        5.102336E-09	        1.376574E-06	        7.166812E-07	        4.191856E-08	        5.138712E-07	        2.663041E-08	        1.998371E-11	        4.173559E-07	        1.324206E-12	        2.301371E-06	        8.758192E-08	        1.011700E-13	        2.459398E-06	        7.818048E-12	        2.071964E-08	        4.346194E-09	        8.588012E-08	        1.270217E-06	        4.095399E-18	        9.076168E-08	        2.154275E-06	        1.589721E-16	        6.954204E-03	        2.491020E-07	        3.322697E-09	        6.459435E-07	        9.957210E-07	        1.365934E-05	        1.681061E-09	        1.821125E-13	        2.609082E-08	        1.027927E-05	        4.778687E-06	        2.884001E-04	        2.089393E-06	        1.660557E-09	        3.801661E-12	        1.001597E-07	        1.466244E-06	        3.819365E-06	        4.594770E-14	        8.673310E-04	        9.289267E-15	        3.537525E-04	        6.468670E-11	        4.093137E-04	        2.538580E-07	        8.166159E-04	        1.995377E-04	        2.871047E-07	        0.000000E+00	        5.495987E-06	        4.319003E-05	        2.101618E-07	        1.272449E-17	        0.000000E+00	        7.902542E-06	        5.316515E-07	        8.132523E-09	        7.451283E-03	        2.899633E-13	        7.395226E-10	        1.901796E-12	        0.000000E+00	        3.399595E-04	        5.649362E-14	        2.179356E-06	        2.922916E-08	        1.367434E-08	        1.735625E-07	        4.268057E-08	        3.050109E-09	        1.003563E-09	        2.993860E-07	        4.977919E-10	        9.042957E-07	        3.316144E-08	        3.367050E-08	        1.295198E-08	        2.293660E-07	        3.198358E-09	        3.182857E-07	        4.778472E-10	        5.230555E-14	        6.298769E-12	        3.075364E-09	        2.557803E-02	        1.349112E-09	        6.251985E-07	        2.969681E-08	        2.378691E-10	        1.637168E-07	        4.438740E-03	        3.445672E-08	        1.570163E-11	        2.492721E-14	        9.865254E-15	        5.814504E-11	        5.318593E-10	        2.348570E-14	        6.551483E-13
        1.001170E-02	        8.630734E-10	        6.499770E-10	        8.256106E-07	        1.766801E-09	        8.632813E-07	        1.515178E-08	        2.760119E-09	        3.243212E-07	        4.176285E-07	        6.221720E-08	        3.109272E-07	        3.166333E-08	        1.566599E-11	        4.324151E-07	        9.821616E-13	        1.349913E-06	        3.107633E-08	        7.268512E-14	        1.204334E-06	        2.287599E-12	        1.929727E-08	        2.038205E-09	        1.088278E-07	        4.219484E-07	        3.642479E-18	        1.066543E-07	        1.105033E-06	        5.598315E-17	        3.319974E-03	        2.223623E-07	        2.284207E-09	        7.286295E-07	        8.888584E-07	        2.035631E-05	        4.838225E-10	        7.485835E-14	        1.400253E-08	        5.830559E-06	        7.025384E-06	        1.278796E-04	        2.944135E-06	        1.179648E-09	        1.678230E-12	        1.379122E-07	        1.607724E-06	        4.066610E-06	        3.924809E-14	        6.186758E-04	        6.628196E-15	        5.177343E-04	        1.935710E-11	        5.294300E-04	        3.754430E-07	        5.995225E-04	        1.658369E-04	        4.135594E-07	        0.000000E+00	        2.652370E-06	        2.850063E-05	        9.518987E-08	        1.625833E-17	        0.000000E+00	        1.927134E-06	        7.709250E-07	        8.373554E-09	        3.963218E-03	        1.695952E-13	        4.041603E-10	        2.775456E-13	        0.000000E+00	        5.070807E-04	        3.759809E-14	        1.023873E-06	        3.241829E-08	        1.161101E-08	        1.027587E-07	        5.580119E-08	        1.734339E-09	        7.402732E-10	        2.475168E-07	        3.582971E-10	        6.398755E-07	        4.209402E-08	        3.280396E-08	        1.949233E-08	        2.419106E-08	        5.486658E-09	        8.241000E-08	        1.756960E-11	        2.367253E-14	        4.437945E-12	        9.208906E-10	        9.143008E-03	        1.513813E-09	        4.714915E-07	        2.263000E-08	        3.506103E-10	        2.150763E-07	        3.385914E-03	        1.233895E-08	        1.335704E-11	        4.127578E-15	        3.198495E-15	        2.113719E-12	        7.128511E-10	        1.784922E-14	        4.225076E-13
