            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        4.526007E-15	        4.724706E-17	        3.401105E-17	        3.228640E-12	        6.079630E-13	        6.322471E-14	        1.618783E-17	        4.027310E-14	        2.737938E-13	        4.590145E-12	        2.079597E-12	        7.068666E-12	        2.885351E-17	        1.619960E-10	        3.741350E-27	        8.308419E-11	        2.808350E-11	        2.191723E-24	        3.696212E-10	        1.817629E-17	        1.594018E-14	        1.232937E-18	        1.093249E-11	        4.863164E-12	        2.689471E-23	        4.935790E-13	        1.458303E-10	        0.000000E+00	        6.907145E-10	        6.830337E-11	        5.878052E-13	        1.229351E-10	        1.520909E-09	        3.125991E-08	        1.003811E-14	        1.155752E-24	        1.045071E-18	        5.857388E-10	        1.063323E-08	        2.561543E-10	        1.801022E-08	        6.648680E-18	        2.924815E-26	        4.630802E-12	        3.740424E-10	        1.834900E-08	        9.307956E-19	        3.820779E-10	        3.282151E-19	        3.470664E-06	        5.411354E-21	        3.461839E-06	        2.700593E-11	        4.768887E-11	        3.134538E-08	        3.062663E-11	        0.000000E+00	        2.608864E-11	        2.775926E-12	        1.368376E-10	        3.466986E-26	        0.000000E+00	        3.932890E-22	        2.508436E-11	        3.975878E-12	        3.460296E-06	        6.726429E-18	        1.757619E-16	        1.502699E-20	        0.000000E+00	        3.459681E-06	        1.539416E-25	        2.700871E-22	        1.387417E-13	        2.023133E-18	        3.660529E-15	        1.224920E-19	        1.754552E-18	        1.036992E-14	        6.738368E-24	        5.111343E-18	        3.757345E-15	        1.517192E-15	        6.919383E-12	        1.118498E-11	        2.694044E-18	        6.093633E-15	        5.894520E-18	        3.537755E-29	        2.754608E-21	        4.524537E-21	        1.135064E-21	        1.876126E-14	        6.415279E-18	        4.593313E-16	        2.208673E-14	        2.437712E-16	        2.218516E-13	        3.234523E-09	        8.430305E-30	        1.827794E-24	        7.565201E-24	        0.000000E+00	        2.216296E-33	        1.924382E-19	        1.547198E-20	        1.139204E-21
        2.000000E-03	        1.312007E-12	        2.088139E-13	        2.986064E-13	        2.284750E-10	        2.511971E-10	        2.996190E-12	        2.086077E-13	        8.837803E-11	        6.350079E-09	        9.965808E-10	        1.236636E-11	        5.802517E-10	        1.804710E-13	        7.867047E-09	        8.934545E-21	        1.838170E-08	        2.219918E-09	        4.476351E-20	        2.426338E-08	        1.054635E-13	        3.256289E-12	        6.654432E-15	        7.721095E-10	        2.044535E-09	        2.127420E-19	        4.021526E-10	        2.100975E-08	        0.000000E+00	        6.812848E-08	        6.549429E-09	        4.087109E-11	        1.677101E-08	        7.519044E-08	        1.518856E-06	        1.157652E-11	        9.367867E-18	        1.908222E-13	        5.735612E-08	        5.167421E-07	        4.243217E-08	        7.292551E-07	        4.133582E-14	        1.004590E-20	        1.005587E-09	        3.354457E-08	        7.650382E-07	        2.296116E-16	        9.234199E-08	        3.643074E-16	        1.392237E-04	        2.632996E-15	        1.388397E-04	        5.863361E-09	        1.098437E-08	        1.538913E-06	        7.215070E-09	        0.000000E+00	        3.347245E-09	        4.151140E-09	        3.929865E-08	        2.609408E-22	        0.000000E+00	        1.278278E-18	        7.384579E-09	        2.177558E-09	        1.387700E-04	        2.496656E-14	        1.830785E-15	        2.746481E-16	        0.000000E+00	        1.386734E-04	        1.610480E-20	        8.886837E-19	        1.521875E-12	        1.948551E-15	        2.290573E-12	        2.093395E-16	        6.043379E-16	        3.311733E-12	        3.081042E-20	        3.491937E-14	        5.300995E-12	        1.889760E-14	        9.764606E-11	        1.129673E-10	        4.386541E-16	        6.155227E-14	        2.445279E-13	        4.878909E-24	        6.697224E-17	        3.676889E-18	        9.405664E-18	        4.097939E-07	        1.366535E-15	        9.005071E-11	        8.539133E-12	        4.452594E-13	        4.053047E-10	        1.250159E-06	        5.195449E-13	        2.249049E-19	        3.033326E-20	        3.992466E-23	        6.721007E-27	        3.295659E-16	        1.214133E-17	        1.727669E-18
        3.100000E-03	        1.148000E-10	        1.427225E-10	        4.792526E-10	        4.635187E-09	        7.138159E-08	        2.010540E-10	        1.954596E-10	        4.029225E-08	        1.105601E-06	        2.754323E-08	        5.374086E-10	        8.120290E-09	        6.311650E-11	        1.236674E-07	        4.743809E-16	        2.460488E-06	        7.228255E-08	        1.495939E-14	        6.478828E-07	        6.878127E-11	        3.946739E-09	        4.669046E-12	        1.060426E-08	        3.149746E-07	        7.813762E-17	        1.969705E-08	        1.878063E-06	        7.268903E-21	        1.226278E-05	        1.062054E-07	        4.442005E-10	        1.259142E-06	        8.171370E-07	        2.353788E-05	        6.468210E-09	        8.177457E-14	        5.268776E-10	        3.292626E-06	        8.147164E-06	        6.496544E-06	        7.783320E-06	        2.866335E-11	        1.109554E-16	        2.796664E-08	        9.967188E-07	        9.314310E-06	        1.665378E-14	        9.421052E-06	        1.467232E-13	        1.556972E-03	        2.706212E-12	        1.560691E-03	        1.620717E-07	        7.311838E-07	        2.417993E-05	        2.168039E-07	        0.000000E+00	        1.354786E-07	        1.371260E-06	        2.225905E-06	        2.121718E-17	        0.000000E+00	        1.807552E-16	        2.894010E-07	        1.332597E-07	        1.561656E-03	        5.712427E-12	        3.991769E-12	        8.599002E-13	        0.000000E+00	        1.546701E-03	        1.080681E-17	        1.524489E-16	        2.781274E-11	        1.443453E-12	        3.847140E-10	        4.357172E-14	        4.480016E-14	        8.091210E-11	        2.833778E-17	        5.588232E-12	        1.399667E-09	        1.356201E-12	        9.513897E-10	        5.471596E-10	        3.921309E-11	        4.855329E-13	        2.778675E-11	        3.659697E-20	        4.010184E-14	        7.485704E-16	        3.168132E-15	        3.109085E-05	        2.074222E-13	        1.207669E-08	        3.733688E-10	        2.925699E-11	        2.663268E-08	        5.464348E-05	        3.939285E-11	        1.488808E-15	        2.525158E-17	        2.190388E-20	        1.029791E-22	        5.836289E-14	        2.003769E-15	        1.019152E-15
        4.100000E-03	        9.015615E-10	        2.195843E-09	        6.534537E-09	        1.612963E-08	        8.946828E-07	        6.902873E-09	        5.984446E-09	        5.031094E-07	        3.044773E-06	        2.022908E-07	        2.980391E-08	        5.109340E-08	        1.392813E-09	        7.342300E-07	        1.475327E-13	        1.049079E-05	        3.198221E-07	        1.253357E-12	        3.229764E-06	        1.034707E-09	        6.248601E-08	        4.337991E-10	        3.763066E-08	        1.846697E-06	        1.633435E-15	        1.543514E-07	        7.524000E-06	        6.651178E-17	        1.689163E-04	        3.015417E-07	        1.648601E-09	        3.841533E-06	        4.117913E-06	        1.205505E-04	        3.271961E-08	        8.393861E-12	        2.679367E-08	        2.295792E-05	        4.391586E-05	        7.849625E-05	        3.695805E-05	        1.086427E-09	        2.866789E-14	        2.145183E-07	        1.523641E-06	        4.519098E-05	        9.797887E-14	        6.939656E-05	        2.791132E-12	        7.504378E-03	        4.565493E-11	        7.568166E-03	        1.191473E-06	        3.467314E-06	        1.272480E-04	        1.575607E-06	        0.000000E+00	        6.595003E-07	        1.868238E-05	        4.725548E-06	        4.051291E-14	        0.000000E+00	        4.464367E-15	        2.784650E-06	        6.195164E-07	        7.642002E-03	        9.941410E-11	        1.090456E-10	        1.999056E-11	        0.000000E+00	        7.441399E-03	        1.243202E-16	        2.226358E-15	        2.744032E-10	        3.690376E-11	        1.871802E-09	        2.323466E-12	        9.519700E-13	        2.432243E-10	        1.598191E-15	        4.049129E-11	        8.680911E-09	        3.096095E-11	        2.549222E-09	        1.611874E-09	        1.651499E-07	        7.741845E-12	        2.873471E-10	        1.485046E-17	        4.197279E-13	        2.506444E-14	        4.294804E-14	        1.223411E-04	        2.319522E-12	        4.839808E-08	        1.106170E-09	        8.224589E-11	        7.467503E-08	        1.618894E-04	        1.796330E-10	        4.055072E-14	        8.389942E-15	        6.503172E-19	        7.091642E-18	        1.360931E-12	        3.699012E-14	        5.787737E-14
        5.000000E-03	        4.537611E-09	        4.919343E-09	        1.573009E-08	        5.305100E-08	        2.260282E-06	        4.779242E-08	        1.452015E-08	        1.180670E-06	        3.973353E-06	        6.111824E-07	        3.927366E-07	        1.981000E-07	        4.873646E-09	        2.396690E-06	        2.471027E-12	        1.652644E-05	        3.939342E-07	        6.823032E-12	        7.674792E-06	        8.487055E-10	        2.067506E-07	        4.587696E-09	        2.689237E-07	        3.618031E-06	        4.862829E-15	        5.330615E-07	        1.470338E-05	        1.436672E-15	        6.165766E-04	        7.770364E-07	        1.268492E-08	        6.987962E-06	        7.165424E-06	        3.731586E-04	        1.000318E-07	        3.345085E-11	        1.022741E-07	        5.155280E-05	        1.352093E-04	        1.887932E-04	        8.774457E-05	        7.196914E-09	        7.989215E-13	        7.030621E-07	        2.951479E-06	        1.010435E-04	        1.586690E-13	        1.447980E-04	        5.407039E-12	        1.819556E-02	        1.693698E-10	        1.831175E-02	        3.606671E-06	        9.113635E-06	        3.953501E-04	        4.462542E-06	        0.000000E+00	        1.833559E-06	        4.253881E-05	        7.654593E-06	        3.609607E-13	        0.000000E+00	        2.753198E-14	        1.047722E-05	        7.167707E-07	        1.874500E-02	        1.357449E-10	        7.455036E-10	        3.596067E-11	        0.000000E+00	        1.802678E-02	        9.673727E-17	        4.380739E-15	        5.839012E-10	        1.053544E-10	        2.740539E-09	        2.007922E-11	        4.796420E-12	        1.570125E-10	        1.452160E-14	        3.126464E-11	        1.159399E-08	        1.076298E-10	        3.158161E-09	        2.680581E-09	        1.073440E-06	        4.780533E-11	        9.557475E-10	        8.683413E-16	        2.405305E-13	        1.100595E-13	        9.756955E-14	        1.708317E-04	        7.489680E-12	        5.335708E-08	        1.002023E-09	        7.171155E-11	        6.415131E-08	        1.467562E-04	        3.577009E-10	        1.729793E-13	        8.028857E-14	        3.426037E-18	        1.200932E-17	        6.178370E-12	        6.484689E-14	        1.833114E-13
        6.022260E-03	        1.013265E-08	        1.207377E-08	        6.067590E-08	        4.982374E-08	        8.953699E-06	        4.779876E-08	        2.886146E-08	        3.690379E-06	        3.455396E-06	        2.246968E-07	        2.571929E-06	        3.995530E-07	        8.248724E-09	        1.458494E-06	        1.169157E-11	        2.086732E-05	        6.344947E-07	        2.237712E-11	        1.311173E-05	        6.797455E-10	        3.265743E-07	        2.630497E-08	        2.917798E-07	        7.561755E-06	        1.327541E-15	        3.275094E-07	        2.512242E-05	        9.241777E-15	        2.079430E-03	        1.022311E-06	        1.896936E-08	        8.120528E-06	        5.791784E-06	        1.524259E-04	        8.955737E-08	        3.613180E-11	        1.114913E-07	        8.247633E-05	        6.272092E-05	        4.346723E-04	        3.941324E-05	        1.077206E-08	        9.519199E-12	        3.016801E-07	        3.729871E-06	        4.655991E-05	        1.616556E-13	        2.902638E-04	        2.919131E-12	        7.787409E-03	        2.425777E-10	        8.283375E-03	        1.331364E-06	        3.519728E-05	        1.801183E-04	        1.702189E-06	        0.000000E+00	        2.113460E-06	        1.054821E-04	        7.658926E-06	        2.752370E-13	        0.000000E+00	        5.286347E-13	        4.809515E-06	        2.331899E-07	        1.004847E-02	        5.105334E-11	        1.741321E-09	        4.243827E-11	        0.000000E+00	        7.660683E-03	        7.868308E-17	        6.107561E-15	        6.851972E-10	        2.438841E-10	        4.623783E-09	        1.149447E-10	        1.616124E-11	        8.696643E-11	        6.155362E-14	        2.238767E-11	        1.712934E-08	        2.883641E-10	        3.188055E-09	        2.725817E-09	        3.457703E-07	        1.071785E-10	        3.988058E-09	        6.718695E-16	        1.134765E-13	        3.358609E-13	        2.000744E-13	        3.387734E-04	        9.417038E-12	        3.675099E-08	        7.137958E-10	        2.613191E-11	        2.101018E-08	        1.048122E-04	        4.672642E-10	        5.414924E-13	        2.157276E-14	        1.478348E-17	        5.790770E-18	        1.472791E-11	        6.282086E-14	        2.873653E-13
        7.000600E-03	        3.812350E-09	        1.915198E-08	        2.428900E-07	        1.910194E-08	        2.083992E-05	        3.831575E-08	        2.138558E-08	        5.701804E-06	        2.594791E-06	        8.199212E-08	        3.659195E-06	        1.803991E-07	        1.288363E-09	        1.233651E-06	        5.421865E-12	        8.299738E-06	        3.435845E-07	        3.697097E-12	        7.879075E-06	        1.168358E-10	        9.337455E-08	        3.173568E-08	        2.871218E-07	        4.451150E-06	        1.371771E-16	        5.440639E-08	        1.337393E-05	        6.156932E-15	        6.835104E-03	        4.985652E-07	        2.542188E-08	        3.057871E-06	        2.052055E-06	        9.497717E-05	        7.385794E-09	        9.950824E-12	        9.211723E-08	        7.269679E-05	        3.536903E-05	        9.302965E-04	        1.771245E-05	        6.109279E-09	        2.223223E-11	        1.393266E-07	        1.037239E-06	        1.740336E-05	        1.520811E-13	        4.103211E-04	        2.277630E-13	        3.111331E-03	        1.094912E-10	        4.224249E-03	        4.894711E-07	        1.319439E-04	        1.548246E-04	        5.166730E-07	        0.000000E+00	        4.347396E-06	        1.397169E-04	        1.121960E-06	        6.170681E-15	        0.000000E+00	        1.967135E-12	        2.309983E-06	        5.197278E-08	        1.078422E-02	        3.254241E-12	        1.745104E-09	        9.039371E-12	        0.000000E+00	        2.985017E-03	        5.627972E-17	        8.172103E-15	        5.996396E-10	        3.752130E-10	        5.548978E-09	        4.883838E-10	        3.755324E-11	        5.490602E-11	        9.127600E-14	        1.998813E-11	        3.175818E-08	        7.857775E-10	        2.457154E-09	        1.687790E-09	        4.304963E-08	        9.738278E-11	        1.128799E-08	        9.009555E-16	        2.543189E-14	        5.834437E-13	        3.612618E-12	        2.458722E-04	        8.793015E-12	        3.275037E-09	        1.889567E-10	        3.430110E-12	        5.992083E-10	        2.786084E-05	        3.553711E-10	        4.036309E-13	        3.960421E-15	        2.656910E-17	        9.201107E-18	        1.854371E-11	        2.810849E-14	        1.762986E-13
        8.002670E-03	        1.784333E-09	        8.901846E-09	        3.653556E-07	        1.787495E-08	        1.130295E-05	        7.553203E-11	        5.777493E-09	        2.544530E-06	        1.453406E-06	        6.364531E-08	        1.090299E-06	        5.364574E-08	        8.502213E-11	        1.324115E-06	        2.876757E-12	        3.224056E-06	        1.215205E-07	        2.664299E-13	        3.504371E-06	        1.423103E-11	        1.305811E-08	        7.292268E-09	        3.308368E-07	        1.705846E-06	        5.945581E-17	        2.229542E-08	        5.212938E-06	        2.241093E-15	        6.780442E-03	        1.587215E-07	        2.349212E-08	        1.131951E-06	        2.841240E-07	        9.024120E-05	        6.429372E-09	        1.052281E-12	        6.644035E-08	        3.891138E-05	        3.124732E-05	        8.527089E-04	        6.838604E-08	        1.794077E-10	        1.781015E-11	        1.171491E-07	        8.927559E-07	        2.008682E-06	        1.275812E-13	        3.618155E-04	        4.035496E-15	        9.376333E-05	        1.232504E-10	        1.109953E-03	        3.810703E-07	        1.930640E-04	        1.638334E-04	        4.231441E-07	        0.000000E+00	        4.601229E-06	        1.043887E-04	        3.788532E-07	        2.552136E-17	        0.000000E+00	        4.552149E-12	        2.305746E-06	        2.853800E-08	        7.772360E-03	        3.063560E-14	        1.968649E-10	        6.740970E-12	        0.000000E+00	        1.705841E-05	        5.851062E-17	        1.372784E-14	        6.422316E-10	        3.652098E-10	        6.722534E-09	        1.197097E-09	        5.514312E-11	        4.865144E-11	        1.780186E-13	        2.138303E-11	        5.262537E-08	        1.824190E-09	        2.382487E-09	        1.584060E-09	        1.327011E-07	        1.043522E-10	        1.868634E-08	        1.263731E-15	        4.839275E-15	        4.746794E-13	        3.467540E-11	        6.931497E-04	        1.112261E-11	        1.017669E-08	        6.115281E-10	        4.547786E-12	        1.901957E-09	        9.046583E-05	        9.239895E-10	        4.154597E-13	        9.585021E-15	        4.145976E-17	        1.983659E-17	        2.121381E-11	        3.864571E-15	        3.351396E-14
        9.008950E-03	        1.013676E-09	        2.689990E-09	        4.283226E-07	        9.907137E-09	        2.768524E-06	        1.672321E-10	        2.819219E-09	        7.777302E-07	        6.653979E-07	        5.270831E-08	        2.762893E-07	        1.883045E-08	        1.359663E-11	        8.977221E-07	        2.144151E-12	        1.396554E-06	        4.788591E-08	        3.554535E-14	        1.756547E-06	        5.555910E-12	        4.357289E-09	        1.824234E-09	        2.731302E-07	        6.600976E-07	        2.933773E-17	        2.849221E-08	        1.987882E-06	        6.786770E-16	        4.847453E-03	        9.881606E-08	        1.314051E-08	        4.599627E-07	        1.063818E-07	        7.114112E-05	        2.874652E-09	        5.060609E-13	        4.512444E-08	        1.208307E-05	        2.451902E-05	        5.801248E-04	        6.685223E-08	        1.722299E-10	        1.136756E-11	        9.963437E-08	        9.306341E-07	        1.241974E-06	        8.939460E-14	        3.104702E-04	        1.314208E-15	        7.109109E-05	        4.245434E-11	        7.514921E-04	        3.159131E-07	        2.172250E-04	        1.493586E-04	        3.407574E-07	        0.000000E+00	        3.594862E-06	        8.153389E-05	        2.026805E-07	        3.168512E-18	        0.000000E+00	        9.198022E-12	        1.875609E-06	        1.888369E-08	        5.609312E-03	        1.379365E-14	        9.252635E-11	        2.220658E-12	        0.000000E+00	        3.317710E-05	        8.354569E-17	        2.807677E-14	        1.087221E-09	        4.172709E-10	        8.733007E-09	        2.404890E-09	        6.997559E-11	        5.429565E-11	        4.577367E-13	        2.657442E-11	        6.485776E-08	        3.575518E-09	        2.861014E-09	        2.000641E-09	        1.305274E-08	        1.645959E-10	        1.831200E-08	        1.783296E-15	        2.398866E-15	        4.061686E-13	        3.930422E-11	        8.712974E-04	        2.150417E-11	        3.132459E-08	        9.740516E-10	        1.657460E-11	        1.259620E-08	        1.444907E-04	        1.150859E-09	        5.067817E-13	        1.123378E-15	        5.071395E-17	        4.414942E-17	        2.892249E-11	        1.662599E-15	        1.493649E-14
        1.000180E-02	        4.303671E-10	        9.016147E-10	        4.014491E-07	        2.161016E-09	        6.869781E-07	        3.902074E-10	        2.143144E-09	        2.720433E-07	        2.975460E-07	        4.720113E-08	        6.784342E-08	        8.415181E-09	        4.862143E-12	        4.413198E-07	        1.642792E-12	        7.290235E-07	        2.269480E-08	        7.341904E-15	        8.237289E-07	        2.527135E-12	        2.892678E-09	        4.716164E-10	        9.576140E-08	        2.838155E-07	        7.650922E-18	        4.664082E-08	        1.001714E-06	        3.136750E-16	        2.630727E-03	        1.055243E-07	        2.683023E-09	        2.520777E-07	        7.611581E-08	        2.647917E-05	        6.808335E-10	        2.154515E-13	        2.815720E-08	        4.766654E-06	        9.161325E-06	        3.096487E-04	        1.294955E-07	        1.667876E-10	        5.714310E-12	        8.720050E-08	        1.501631E-06	        1.212005E-06	        5.771426E-14	        2.561382E-04	        9.692833E-16	        6.039752E-05	        1.235891E-11	        4.264882E-04	        2.826523E-07	        1.950811E-04	        9.762666E-05	        3.039773E-07	        0.000000E+00	        2.018471E-06	        6.538295E-05	        1.109258E-07	        4.190165E-18	        0.000000E+00	        1.973282E-11	        8.308892E-07	        9.111986E-09	        3.102234E-03	        1.490144E-14	        4.225520E-11	        3.228381E-13	        0.000000E+00	        4.623414E-05	        1.924775E-16	        7.100369E-14	        2.211526E-09	        6.191442E-10	        1.298644E-08	        3.811153E-09	        9.388635E-11	        8.377000E-11	        1.541284E-12	        4.250295E-11	        8.221620E-08	        5.670940E-09	        4.920862E-09	        3.749511E-09	        1.305104E-07	        3.949650E-10	        1.629733E-08	        3.785774E-15	        2.901006E-15	        4.083637E-13	        3.440353E-11	        1.096407E-03	        4.516916E-11	        3.551994E-08	        1.857642E-09	        2.147430E-11	        1.484648E-08	        2.760264E-04	        1.449863E-09	        7.813390E-13	        8.602172E-15	        8.186680E-17	        1.253474E-16	        5.245487E-11	        2.326238E-15	        2.419858E-14
