            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -0.000000E+00	       -0.000000E+00	       -1.028087E-14	       -2.207335E-13	       -7.082765E-13	       -1.166200E-13	       -4.660494E-16	       -1.400939E-14	       -1.072182E-13	       -1.151720E-08	       -6.922908E-14	       -1.057085E-14	       -1.784531E-13	       -8.053566E-14	       -0.000000E+00	       -4.316951E-13	       -1.923815E-11	       -0.000000E+00	       -6.568620E-11	       -1.887627E-11	       -3.669213E-15	       -4.531196E-18	       -3.672710E-12	       -1.413072E-11	       -0.000000E+00	       -3.019759E-13	       -8.464438E-15	       -0.000000E+00	       -3.859547E-11	       -2.209843E-11	       -1.278105E-13	       -4.689824E-11	       -6.769630E-11	       -2.894860E-11	       -1.488986E-18	       -1.378627E-15	       -3.515830E-16	       -2.117039E-10	       -9.903799E-12	       -3.662723E-11	       -5.651843E-10	       -1.332449E-11	       -0.000000E+00	       -4.117747E-13	       -1.109017E-10	       -2.757329E-10	       -1.328799E-12	       -2.867939E-10	       -1.652461E-21	       -2.927381E-11	       -9.050921E-22	       -9.544934E-14	       -2.061134E-12	       -8.640311E-10	       -5.119836E-11	       -9.340532E-12	       -0.000000E+00	       -7.066164E-14	       -3.083174E-10	       -8.898740E-12	       -0.000000E+00	       -1.909755E-11	       -0.000000E+00	       -6.070000E-13	       -1.782002E-13	       -5.369826E-12	       -3.782902E-09	       -3.052113E-14	       -2.411591E-10	       -1.138870E-06	       -1.557908E-13	       -0.000000E+00	       -0.000000E+00	       -1.238756E-14	       -1.202347E-16	       -1.778964E-15	       -4.442912E-16	       -0.000000E+00	       -2.141734E-15	       -0.000000E+00	       -1.444521E-13	       -2.222434E-15	       -1.924649E-18	       -6.853416E-12	       -5.566958E-12	       -0.000000E+00	       -6.353704E-20	       -6.309913E-16	       -0.000000E+00	       -3.014930E-20	       -0.000000E+00	       -2.161460E-14	       -2.293070E-09	       -0.000000E+00	       -9.983361E-14	       -0.000000E+00	       -2.734180E-16	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.714175E-20	       -1.839115E-21	       -0.000000E+00
        2.000000E-03	       -3.225238E-11	       -0.000000E+00	       -9.064722E-11	       -9.488560E-11	       -1.526512E-09	       -2.981080E-10	       -2.183086E-11	       -5.177924E-10	       -1.558032E-09	       -4.710934E-07	       -1.257382E-11	       -9.298632E-12	       -4.608322E-10	       -4.007652E-10	       -0.000000E+00	       -1.801058E-10	       -2.032457E-09	       -5.006920E-17	       -1.317536E-08	       -5.406515E-09	       -3.430562E-13	       -1.639905E-13	       -8.390860E-09	       -3.341593E-09	       -6.032788E-17	       -5.679422E-09	       -7.511965E-11	       -0.000000E+00	       -3.281188E-08	       -8.640777E-09	       -1.079429E-10	       -8.829193E-09	       -6.081411E-09	       -4.642289E-09	       -1.825008E-13	       -1.163184E-10	       -1.216065E-10	       -4.362678E-08	       -1.677596E-09	       -1.082524E-08	       -2.422452E-08	       -1.390769E-10	       -3.424748E-20	       -2.015773E-10	       -2.693160E-08	       -2.447704E-08	       -2.134505E-09	       -6.954636E-08	       -1.227504E-16	       -1.308690E-08	       -4.606198E-14	       -4.147806E-10	       -7.567584E-10	       -1.379990E-07	       -2.467468E-08	       -2.900090E-09	       -0.000000E+00	       -3.090079E-09	       -7.029625E-09	       -6.386948E-09	       -0.000000E+00	       -4.053788E-09	       -1.394064E-23	       -5.768202E-09	       -1.967651E-09	       -4.194630E-08	       -1.229958E-07	       -2.372493E-10	       -2.584525E-08	       -3.955370E-05	       -2.651319E-10	       -3.484757E-20	       -0.000000E+00	       -1.922567E-11	       -1.032409E-12	       -3.192565E-12	       -2.555035E-13	       -2.112651E-16	       -1.156542E-12	       -2.957569E-21	       -4.631462E-11	       -1.884146E-12	       -1.170955E-14	       -7.727887E-11	       -7.006151E-11	       -3.295732E-13	       -3.996005E-16	       -4.004154E-13	       -0.000000E+00	       -3.474970E-15	       -9.868045E-16	       -6.661912E-12	       -8.225773E-07	       -0.000000E+00	       -1.940036E-10	       -6.524780E-12	       -1.364131E-13	       -8.397870E-11	       -5.413083E-07	       -0.000000E+00	       -4.490530E-19	       -0.000000E+00	       -0.000000E+00	       -0.000000E+00	       -1.105747E-15	       -1.205938E-16	       -6.003539E-18
        3.100000E-03	       -3.422610E-08	       -2.897524E-10	       -1.801593E-07	       -2.699530E-08	       -6.811267E-07	       -3.896424E-09	       -5.992826E-08	       -1.865136E-07	       -1.090128E-06	       -8.192649E-06	       -1.064842E-07	       -9.490900E-09	       -6.796838E-08	       -4.906100E-07	       -2.502103E-15	       -6.182281E-07	       -3.653830E-07	       -2.305560E-11	       -1.548403E-06	       -7.040265E-07	       -1.490920E-09	       -1.384697E-09	       -8.197695E-07	       -4.181041E-07	       -2.833936E-14	       -1.236190E-06	       -3.736154E-07	       -5.163865E-18	       -8.759881E-06	       -1.468231E-06	       -6.504569E-08	       -1.655135E-06	       -3.229534E-07	       -5.201189E-07	       -2.981630E-09	       -1.338682E-07	       -1.230562E-07	       -7.027532E-06	       -3.092606E-07	       -5.477433E-06	       -2.741496E-07	       -8.449098E-09	       -1.999144E-14	       -4.402052E-08	       -1.619742E-06	       -2.290131E-06	       -8.040300E-07	       -1.394337E-05	       -1.176803E-12	       -3.442676E-06	       -1.509168E-09	       -5.122220E-07	       -3.333293E-08	       -2.188390E-05	       -1.366096E-06	       -1.840158E-07	       -0.000000E+00	       -3.455754E-06	       -1.352024E-06	       -1.880382E-06	       -3.602975E-17	       -1.733997E-07	       -1.664290E-19	       -3.022398E-06	       -1.638807E-06	       -1.905831E-05	       -1.484939E-06	       -1.028040E-07	       -1.206822E-06	       -4.843980E-04	       -4.899568E-08	       -9.559659E-16	       -0.000000E+00	       -2.450443E-09	       -2.543232E-10	       -1.195469E-09	       -1.108020E-11	       -1.796687E-12	       -7.829470E-10	       -1.595359E-17	       -2.900781E-09	       -3.985172E-10	       -1.255454E-10	       -4.747395E-10	       -3.826317E-10	       -4.126037E-11	       -1.490751E-12	       -5.451925E-11	       -0.000000E+00	       -1.272630E-12	       -3.274411E-13	       -4.103903E-10	       -4.099824E-05	       -0.000000E+00	       -1.504758E-08	       -3.218740E-10	       -1.075305E-11	       -1.151940E-08	       -3.725093E-05	       -1.774238E-11	       -4.505759E-14	       -9.860786E-15	       -2.403982E-21	       -0.000000E+00	       -1.743756E-12	       -2.129125E-13	       -1.232746E-13
        4.100000E-03	       -2.173117E-07	       -1.726462E-08	       -2.429556E-06	       -1.294058E-07	       -8.116522E-06	       -1.894589E-07	       -3.060882E-06	       -2.825280E-06	       -1.830344E-05	       -5.770275E-05	       -7.143099E-06	       -5.272310E-07	       -6.085244E-07	       -1.017783E-05	       -5.507031E-12	       -1.966171E-05	       -2.965771E-06	       -1.308040E-09	       -1.139814E-05	       -7.462389E-06	       -1.411783E-07	       -1.689755E-07	       -1.302848E-06	       -4.875199E-06	       -1.180349E-12	       -3.773878E-06	       -1.003421E-05	       -3.452073E-14	       -1.728745E-04	       -8.765436E-06	       -3.729084E-07	       -7.358636E-06	       -7.179982E-06	       -4.870933E-06	       -7.037051E-08	       -3.379055E-06	       -2.869935E-06	       -7.586461E-05	       -7.587309E-06	       -8.086092E-05	       -1.974079E-06	       -4.420303E-07	       -1.203597E-11	       -8.463930E-07	       -3.821472E-06	       -3.382527E-05	       -1.363359E-05	       -2.249647E-04	       -2.766240E-10	       -6.269600E-05	       -1.195276E-07	       -3.005564E-05	       -3.525145E-07	       -2.669484E-04	       -9.771246E-06	       -4.109857E-06	       -0.000000E+00	       -8.258646E-05	       -2.155308E-05	       -1.859302E-05	       -5.484260E-15	       -2.668697E-06	       -1.732093E-17	       -3.489600E-05	       -3.254159E-05	       -3.624393E-04	       -1.060588E-05	       -2.159558E-06	       -5.040549E-06	       -2.951120E-03	       -4.878085E-07	       -1.136389E-14	       -0.000000E+00	       -1.519236E-08	       -2.973348E-09	       -9.311732E-09	       -2.420982E-10	       -7.725230E-11	       -4.435709E-09	       -3.025236E-15	       -1.822968E-08	       -5.130787E-09	       -5.151761E-09	       -2.470378E-09	       -1.314337E-09	       -5.027692E-10	       -1.426484E-10	       -9.769253E-10	       -1.269652E-14	       -1.985440E-11	       -5.854999E-12	       -1.991599E-09	       -1.366341E-04	       -0.000000E+00	       -5.201380E-08	       -9.188530E-10	       -5.144673E-11	       -4.684320E-08	       -1.366061E-04	       -6.811362E-08	       -6.443502E-12	       -1.216830E-11	       -1.904478E-17	       -8.918982E-16	       -7.194427E-11	       -8.276590E-12	       -6.074920E-12
        5.000000E-03	       -6.599897E-07	       -1.468311E-07	       -7.752837E-06	       -4.982270E-07	       -1.775554E-05	       -3.058959E-07	       -2.627983E-05	       -7.062275E-06	       -4.631704E-05	       -3.246526E-04	       -6.299135E-05	       -2.656772E-06	       -1.556584E-06	       -1.805750E-05	       -1.398087E-10	       -5.025519E-05	       -5.192667E-06	       -6.979800E-09	       -2.329304E-05	       -5.248961E-05	       -1.218891E-06	       -1.921624E-06	       -1.902867E-06	       -2.647816E-05	       -1.498711E-11	       -6.218328E-06	       -4.170690E-05	       -5.907049E-13	       -8.689466E-04	       -1.807425E-05	       -1.424287E-06	       -1.688520E-05	       -5.972608E-05	       -2.298906E-05	       -4.562156E-07	       -9.923899E-06	       -7.257307E-06	       -1.462727E-04	       -4.726115E-05	       -2.054638E-04	       -5.131217E-06	       -2.708736E-06	       -2.615896E-10	       -3.840967E-06	       -7.565487E-06	       -8.645176E-05	       -3.760313E-05	       -9.257247E-04	       -4.328380E-09	       -2.318810E-04	       -5.726211E-07	       -2.262975E-04	       -1.508748E-06	       -8.157208E-04	       -8.235050E-05	       -3.516756E-05	       -0.000000E+00	       -3.005760E-04	       -8.858063E-05	       -9.394204E-05	       -9.405418E-14	       -1.796046E-05	       -1.825781E-16	       -1.280461E-04	       -1.185958E-04	       -1.626569E-03	       -5.455618E-05	       -1.459602E-05	       -4.164895E-05	       -1.141200E-02	       -1.038128E-06	       -1.439180E-14	       -9.885695E-16	       -1.858579E-08	       -6.758818E-09	       -1.396575E-08	       -1.253908E-09	       -4.127607E-10	       -4.625885E-09	       -6.900616E-14	       -3.871152E-08	       -1.289857E-08	       -1.887877E-08	       -8.255146E-09	       -2.836110E-09	       -2.251502E-09	       -1.399743E-09	       -6.014421E-09	       -5.474215E-14	       -6.244790E-11	       -2.076637E-11	       -5.179632E-09	       -1.458170E-04	       -0.000000E+00	       -5.935578E-08	       -7.560080E-10	       -1.172675E-10	       -5.210980E-08	       -1.697872E-04	       -9.622849E-07	       -5.874445E-11	       -1.124726E-10	       -1.111396E-15	       -1.498730E-13	       -3.343995E-10	       -2.866926E-11	       -4.579353E-11
        6.022260E-03	       -8.911854E-07	       -1.891259E-06	       -6.898351E-06	       -1.101972E-06	       -4.450475E-05	       -3.961986E-07	       -3.808824E-05	       -2.809036E-05	       -1.206423E-04	       -6.786977E-04	       -2.719207E-04	       -6.836265E-06	       -1.422617E-06	       -2.332946E-05	       -1.088655E-09	       -7.966002E-05	       -5.384138E-06	       -1.816580E-08	       -3.655782E-05	       -8.380913E-05	       -7.885301E-06	       -8.476145E-06	       -2.334610E-06	       -3.017772E-05	       -1.785642E-11	       -7.580545E-06	       -1.546549E-04	       -2.423672E-12	       -2.914204E-03	       -5.679421E-05	       -2.259952E-06	       -5.179807E-05	       -2.727179E-04	       -3.121441E-05	       -4.347787E-07	       -8.430692E-06	       -6.460762E-06	       -2.470543E-04	       -5.889349E-05	       -3.408276E-04	       -8.263879E-06	       -5.204853E-06	       -1.760725E-09	       -3.491836E-06	       -1.366328E-05	       -1.747443E-04	       -3.122466E-05	       -3.431689E-03	       -2.669207E-08	       -3.156974E-04	       -7.378985E-07	       -1.054765E-03	       -2.763803E-06	       -2.477344E-03	       -6.485020E-04	       -5.742040E-05	       -0.000000E+00	       -6.247806E-04	       -4.476668E-04	       -1.682854E-04	       -1.244857E-12	       -2.409194E-05	       -4.133168E-15	       -8.528849E-05	       -1.539993E-04	       -4.802409E-03	       -1.794198E-04	       -2.533437E-05	       -5.893724E-05	       -1.923600E-02	       -2.910996E-06	       -6.252474E-14	       -3.522923E-13	       -2.999396E-08	       -1.936427E-08	       -2.340032E-08	       -4.829275E-09	       -2.337584E-09	       -7.371192E-09	       -1.328709E-12	       -5.186045E-08	       -2.616806E-08	       -2.660454E-08	       -1.982258E-08	       -5.880270E-09	       -2.384240E-08	       -6.416400E-09	       -1.695096E-08	       -7.507054E-14	       -1.891390E-10	       -8.667067E-11	       -6.676075E-09	       -1.863658E-04	       -0.000000E+00	       -4.317643E-08	       -5.208530E-10	       -2.433636E-10	       -3.726610E-08	       -2.130402E-04	       -1.553846E-06	       -1.674494E-10	       -1.191785E-11	       -5.943024E-15	       -3.251772E-14	       -9.315651E-10	       -6.614569E-11	       -1.290355E-10
        7.000600E-03	       -4.316810E-07	       -1.200859E-05	       -1.139987E-05	       -2.159960E-07	       -5.841712E-05	       -1.625880E-07	       -9.874548E-05	       -5.643205E-05	       -1.291424E-04	       -2.184730E-03	       -1.686394E-04	       -6.143719E-06	       -7.195635E-08	       -1.556907E-05	       -3.652022E-10	       -4.697819E-05	       -7.774751E-07	       -1.986700E-09	       -2.218776E-05	       -1.043670E-04	       -7.621010E-06	       -5.079755E-06	       -3.617986E-07	       -4.881825E-05	       -9.959998E-13	       -2.970739E-06	       -1.769186E-04	       -3.809347E-13	       -9.606926E-03	       -5.739509E-05	       -3.510226E-07	       -4.358040E-05	       -1.780774E-04	       -1.503488E-05	       -2.478524E-07	       -1.816925E-06	       -1.211644E-06	       -1.995372E-04	       -7.277107E-05	       -4.565585E-04	       -5.575577E-06	       -3.639649E-06	       -5.281467E-10	       -1.777413E-07	       -3.945168E-06	       -1.252558E-04	       -1.787202E-05	       -1.085962E-02	       -1.201807E-08	       -2.948189E-04	       -7.009497E-07	       -3.062445E-03	       -1.247396E-06	       -7.221135E-03	       -3.251404E-03	       -2.041756E-04	       -0.000000E+00	       -1.445659E-03	       -2.093274E-03	       -1.251390E-04	       -2.676853E-12	       -5.672601E-05	       -6.434704E-14	       -2.667547E-05	       -1.087515E-04	       -1.592341E-02	       -5.496556E-04	       -2.456957E-05	       -1.687068E-04	       -2.885000E-02	       -2.987325E-06	       -2.934668E-13	       -1.240447E-12	       -4.515048E-08	       -4.615133E-08	       -3.244827E-08	       -1.714913E-08	       -1.124884E-08	       -2.536073E-09	       -7.653010E-12	       -8.084197E-08	       -5.264106E-08	       -2.981005E-08	       -3.570456E-08	       -1.089092E-08	       -1.023622E-07	       -8.223733E-09	       -2.522238E-08	       -3.062255E-13	       -1.572970E-10	       -5.503403E-10	       -1.208068E-08	       -8.514940E-05	       -1.635970E-11	       -3.315980E-09	       -7.594360E-11	       -6.734527E-11	       -3.382180E-09	       -9.564197E-05	       -7.383869E-07	       -5.964419E-11	       -4.375413E-12	       -3.706681E-14	       -6.225917E-15	       -1.609171E-09	       -7.433291E-11	       -3.440200E-10
        8.002670E-03	       -3.432813E-07	       -8.437693E-06	       -1.156307E-05	       -1.537223E-07	       -3.119562E-05	       -6.645534E-10	       -2.068029E-04	       -3.197593E-05	       -6.924346E-05	       -1.603541E-03	       -5.721307E-06	       -2.746565E-06	       -2.661750E-10	       -8.095339E-06	       -4.057794E-11	       -2.143927E-05	       -1.095522E-07	       -1.401530E-11	       -1.583633E-05	       -2.407142E-05	       -2.293126E-07	       -1.544818E-07	       -4.752702E-07	       -5.818086E-05	       -4.882674E-14	       -2.926141E-06	       -6.679305E-05	       -1.010654E-15	       -9.188928E-03	       -2.331349E-05	       -2.829369E-07	       -1.671253E-05	       -6.877787E-06	       -5.089954E-06	       -2.156076E-07	       -1.108559E-07	       -1.854565E-07	       -1.186128E-04	       -8.322982E-05	       -4.534746E-04	       -1.497195E-07	       -1.359215E-07	       -4.161884E-11	       -2.306394E-07	       -9.831758E-07	       -3.518166E-05	       -1.556525E-05	       -1.017160E-02	       -3.599010E-10	       -2.032106E-04	       -9.364185E-07	       -2.685471E-03	       -1.512416E-06	       -7.083236E-03	       -3.001851E-03	       -1.708280E-04	       -0.000000E+00	       -1.089203E-03	       -1.858823E-03	       -2.096227E-05	       -1.503780E-12	       -4.008241E-05	       -1.534569E-13	       -1.080383E-05	       -2.330310E-05	       -1.495116E-02	       -6.340116E-07	       -2.879710E-07	       -2.195971E-04	       -1.315460E-04	       -4.706891E-08	       -2.469836E-13	       -3.030737E-12	       -6.811125E-08	       -7.452716E-08	       -5.891604E-08	       -3.671040E-08	       -2.023800E-08	       -7.993038E-10	       -2.322994E-11	       -1.359304E-07	       -1.042844E-07	       -5.878954E-08	       -5.364677E-08	       -1.365762E-08	       -5.943440E-08	       -9.916777E-09	       -3.963861E-08	       -9.205783E-13	       -6.431900E-11	       -3.011149E-10	       -2.296998E-08	       -2.583562E-04	       -1.601913E-10	       -8.921411E-09	       -3.656470E-10	       -1.774862E-10	       -1.059760E-08	       -2.963859E-04	       -1.610626E-06	       -1.556677E-10	       -2.594086E-12	       -1.009729E-13	       -4.634566E-15	       -2.464281E-09	       -1.748813E-11	       -5.267490E-11
        9.008950E-03	       -1.000658E-07	       -1.542865E-06	       -8.993551E-06	       -6.469819E-08	       -9.947779E-06	       -4.523811E-10	       -9.818818E-05	       -7.990615E-06	       -2.420599E-05	       -9.813904E-04	       -4.038996E-06	       -6.334342E-07	       -1.436084E-10	       -3.139875E-06	       -2.264985E-11	       -9.133847E-06	       -4.314844E-08	       -3.242700E-12	       -6.339839E-06	       -1.204796E-04	       -1.387745E-07	       -8.320173E-08	       -2.907629E-07	       -4.478950E-05	       -3.680959E-15	       -1.111983E-06	       -2.008744E-05	       -1.824195E-17	       -6.897512E-03	       -7.921257E-06	       -1.130208E-07	       -5.249773E-06	       -4.594472E-06	       -3.172856E-06	       -7.346981E-08	       -7.025092E-08	       -9.725257E-08	       -4.624505E-05	       -5.097120E-05	       -3.562867E-04	       -1.294847E-07	       -1.748500E-07	       -2.277405E-11	       -8.433385E-08	       -4.659001E-07	       -1.318544E-05	       -9.096099E-06	       -7.108315E-03	       -2.125392E-10	       -1.250775E-04	       -2.738174E-07	       -1.835783E-03	       -6.536788E-07	       -5.319338E-03	       -2.091110E-03	       -1.003346E-04	       -0.000000E+00	       -5.077781E-04	       -1.196436E-03	       -2.701585E-05	       -1.015830E-12	       -2.504781E-05	       -9.681241E-14	       -1.207246E-05	       -3.220025E-05	       -1.085597E-02	       -9.573595E-07	       -5.373323E-07	       -1.185569E-04	       -2.089100E-04	       -1.757633E-08	       -2.525664E-13	       -6.470316E-12	       -7.514805E-08	       -8.557897E-08	       -7.520533E-08	       -5.891818E-08	       -1.778450E-08	       -7.358694E-10	       -5.327840E-11	       -2.313237E-07	       -1.573648E-07	       -9.201199E-08	       -6.932883E-08	       -1.393571E-08	       -2.216992E-08	       -1.422659E-08	       -5.651027E-08	       -1.696879E-12	       -5.830760E-11	       -1.329201E-10	       -4.363477E-08	       -3.682345E-04	       -1.796542E-10	       -5.075330E-08	       -7.306030E-10	       -2.759996E-10	       -3.287790E-08	       -4.202451E-04	       -1.229342E-07	       -2.397263E-10	       -8.729497E-13	       -1.444407E-13	       -5.658468E-15	       -3.166054E-09	       -5.737625E-12	       -1.036529E-11
        1.000180E-02	       -8.548942E-08	       -1.983886E-07	       -5.249434E-06	       -1.247067E-08	       -3.588948E-06	       -4.078609E-09	       -3.608873E-05	       -1.763797E-06	       -7.501546E-06	       -2.212912E-04	       -3.131761E-06	       -1.076830E-07	       -2.743540E-10	       -1.784055E-06	       -1.563852E-11	       -4.265353E-06	       -2.701351E-08	       -1.353360E-12	       -2.710353E-06	       -2.462983E-04	       -7.659050E-08	       -4.943183E-08	       -9.939048E-08	       -2.114667E-05	       -4.302629E-16	       -3.939995E-07	       -5.373827E-06	       -3.424599E-17	       -3.840288E-03	       -2.629744E-06	       -2.178099E-08	       -1.486743E-06	       -3.468777E-06	       -1.543168E-06	       -1.009059E-08	       -4.662725E-08	       -5.031965E-08	       -2.136648E-05	       -1.169371E-05	       -2.234719E-04	       -9.873277E-08	       -1.741016E-07	       -1.566184E-11	       -4.236163E-08	       -2.321235E-07	       -7.671503E-06	       -2.625413E-06	       -3.657328E-03	       -1.550648E-10	       -4.614681E-05	       -4.284860E-08	       -9.119252E-04	       -2.893735E-07	       -2.951596E-03	       -1.057573E-03	       -2.364696E-05	       -0.000000E+00	       -1.600812E-04	       -5.405718E-04	       -4.092381E-05	       -7.250500E-13	       -1.259773E-05	       -4.797696E-14	       -1.336464E-05	       -4.658388E-05	       -5.770705E-03	       -1.241349E-06	       -4.735628E-07	       -2.192404E-05	       -1.945840E-04	       -7.477660E-09	       -3.941098E-13	       -1.422326E-11	       -7.589892E-08	       -8.820264E-08	       -8.296371E-08	       -7.035233E-08	       -1.293116E-08	       -9.664127E-10	       -9.361717E-11	       -3.197026E-07	       -1.837820E-07	       -1.095792E-07	       -8.295769E-08	       -1.469943E-08	       -1.563616E-08	       -2.182127E-08	       -8.550111E-08	       -2.974996E-12	       -1.168160E-10	       -1.057796E-10	       -6.429761E-08	       -5.618083E-04	       -1.499279E-10	       -4.197742E-08	       -1.623360E-09	       -4.538172E-10	       -3.712240E-08	       -6.400105E-04	       -7.077532E-07	       -3.827576E-10	       -1.998088E-12	       -2.002872E-13	       -1.067660E-14	       -3.845848E-09	       -5.144039E-12	       -6.623978E-12
