            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	       -6.890079E-10	       -3.994602E-09	       -1.804775E-04	       -5.784891E-10	       -3.458991E-07	       -1.177651E-12	       -3.464467E-08	       -1.481126E-07	       -3.254359E-07	       -7.805957E-04	       -4.135529E-08	       -2.790034E-09	       -1.118673E-09	       -3.497535E-07	       -3.765443E-17	       -5.589251E-07	       -3.963702E-08	       -9.761027E-13	       -3.147600E-07	       -3.164217E-06	       -8.971013E-10	       -3.549417E-10	       -1.533305E-08	       -3.516659E-07	       -9.624615E-16	       -1.006109E-08	       -6.393764E-07	       -0.000000E+00	       -5.224133E-02	       -8.167626E-07	       -1.475539E-09	       -5.027960E-08	       -6.231732E-07	       -1.361392E-06	       -7.514705E-11	       -4.969931E-08	       -1.905994E-08	       -1.401429E-06	       -1.021236E-07	       -1.773320E-03	       -8.540718E-08	       -2.037001E-08	       -3.770010E-15	       -1.480305E-10	       -8.137413E-08	       -8.321992E-07	       -2.996358E-06	       -4.463815E-03	       -1.690173E-12	       -2.005363E-06	       -5.226989E-11	       -5.662229E-05	       -6.024951E-09	       -5.286747E-03	       -5.170154E-02	       -4.710765E-06	       -0.000000E+00	       -7.606841E-04	       -1.121256E-04	       -2.440620E-06	       -5.895374E-17	       -4.022981E-06	       -1.927780E-06	       -1.435415E-06	       -1.482869E-06	       -1.001367E-01	       -8.076966E-04	       -1.265744E-07	       -8.382167E-06	       -2.380331E-02	       -1.178151E-08	       -4.435657E-15	       -1.336027E-06	       -8.130781E-09	       -1.551596E-09	       -1.814109E-09	       -2.605484E-09	       -6.401531E-08	       -2.756340E-10	       -1.995312E-07	       -1.324452E-08	       -4.823079E-09	       -1.856124E-09	       -2.782661E-09	       -1.562742E-09	       -1.469877E-10	       -1.784242E-10	       -3.308198E-10	       -9.066063E-12	       -5.605976E-12	       -7.852803E-14	       -9.224595E-10	       -1.808750E-05	       -0.000000E+00	       -2.665555E-09	       -9.478159E-11	       -6.696182E-12	       -4.860384E-10	       -3.208746E-06	       -8.894871E-10	       -3.000121E-14	       -1.558449E-15	       -3.850920E-19	       -3.915106E-12	       -2.863999E-11	       -2.076784E-13	       -1.504419E-13
        2.002450E-03	       -3.716667E-07	       -4.155000E-05	       -3.601918E-04	       -2.912510E-08	       -5.791939E-05	       -1.317932E-08	       -6.154836E-07	       -7.310891E-05	       -8.767915E-06	       -1.970051E-03	       -1.641468E-06	       -1.111769E-07	       -8.388867E-11	       -2.011647E-05	       -6.543719E-14	       -5.448305E-07	       -2.230129E-07	       -3.966256E-11	       -1.361448E-05	       -1.029754E-05	       -2.939570E-08	       -2.556813E-08	       -6.637030E-08	       -3.818802E-06	       -4.235420E-14	       -4.918879E-07	       -1.124404E-06	       -3.261739E-16	       -1.366372E-01	       -2.755602E-05	       -2.660945E-08	       -4.163837E-06	       -7.742343E-06	       -6.820133E-06	       -3.559607E-09	       -3.816504E-07	       -8.822557E-06	       -1.743308E-04	       -3.768992E-06	       -2.053403E-03	       -1.930106E-06	       -1.768787E-07	       -8.224147E-13	       -4.636668E-11	       -1.591552E-07	       -2.768583E-06	       -1.756948E-05	       -3.800173E-02	       -1.669696E-11	       -9.272770E-06	       -2.552971E-08	       -4.466059E-04	       -1.414962E-08	       -3.215086E-02	       -1.336056E-01	       -1.595187E-04	       -0.000000E+00	       -2.861493E-03	       -9.519937E-04	       -3.942580E-06	       -4.127700E-14	       -4.259588E-05	       -3.885508E-05	       -9.867617E-06	       -7.719579E-06	       -2.335704E-01	       -1.550056E-03	       -9.466319E-07	       -6.349501E-06	       -4.581358E-02	       -5.085874E-07	       -3.192407E-14	       -5.016237E-06	       -2.746970E-09	       -1.599881E-08	       -6.682817E-09	       -3.325825E-08	       -2.041187E-07	       -1.968919E-11	       -6.009507E-07	       -2.425667E-09	       -3.198402E-08	       -1.049703E-08	       -1.055038E-08	       -8.816659E-09	       -4.921689E-08	       -3.009236E-09	       -1.363515E-08	       -4.379774E-10	       -2.165462E-12	       -3.746676E-10	       -2.349723E-10	       -2.970501E-06	       -0.000000E+00	       -2.609705E-11	       -7.408022E-20	       -8.562063E-13	       -4.795833E-11	       -4.153705E-06	       -1.257654E-06	       -2.182057E-13	       -1.243748E-12	       -1.331219E-16	       -7.556333E-11	       -1.460938E-10	       -1.535932E-12	       -1.290862E-12
        3.002200E-03	       -4.021456E-08	       -5.392822E-05	       -5.794997E-04	       -1.495810E-09	       -3.121737E-05	       -1.253333E-10	       -9.761260E-06	       -5.043188E-05	       -3.415820E-06	       -7.441093E-03	       -6.601788E-09	       -3.275628E-08	       -2.063445E-14	       -4.360385E-06	       -1.152738E-13	       -1.017951E-07	       -4.872835E-08	       -2.986314E-14	       -1.351416E-06	       -2.954012E-06	       -1.990811E-10	       -1.733069E-10	       -2.804622E-09	       -2.338056E-05	       -3.346517E-16	       -8.136211E-08	       -8.343255E-07	       -1.492176E-51	       -2.645527E-01	       -4.793532E-06	       -8.105481E-10	       -1.222655E-06	       -3.259330E-08	       -6.871818E-07	       -1.175119E-08	       -1.591302E-09	       -8.587504E-08	       -5.661704E-05	       -1.765411E-05	       -2.474728E-03	       -1.369291E-08	       -5.881345E-09	       -2.112402E-13	       -5.054203E-12	       -5.926504E-08	       -7.392509E-07	       -8.450782E-06	       -1.205088E-01	       -1.488285E-13	       -1.421656E-05	       -1.142394E-08	       -1.281983E-03	       -1.318368E-11	       -9.726251E-02	       -2.597098E-01	       -9.552153E-04	       -0.000000E+00	       -7.536736E-03	       -3.018135E-03	       -4.964108E-07	       -1.474943E-13	       -1.346828E-04	       -3.796420E-05	       -4.845336E-07	       -1.636097E-06	       -4.043791E-01	       -1.030736E-04	       -1.577779E-08	       -4.024130E-05	       -3.173602E-03	       -7.321158E-09	       -1.233686E-13	       -1.511423E-05	       -6.354399E-09	       -5.673061E-08	       -2.402341E-08	       -4.429784E-07	       -6.393482E-07	       -2.079616E-11	       -1.173691E-06	       -9.934333E-09	       -2.842032E-07	       -6.719636E-08	       -3.359655E-08	       -3.811849E-08	       -1.363953E-07	       -3.360780E-09	       -2.178739E-08	       -7.875952E-10	       -1.491439E-12	       -5.148715E-10	       -1.451910E-09	       -8.416153E-07	       -0.000000E+00	       -1.847890E-13	       -1.358868E-76	       -2.658365E-13	       -4.579537E-12	       -2.231187E-06	       -1.177479E-07	       -3.212938E-14	       -1.268577E-12	       -2.023389E-15	       -1.104452E-10	       -3.853210E-10	       -1.516884E-12	       -1.815558E-12
        4.001830E-03	       -6.079678E-09	       -1.108175E-05	       -6.727233E-04	       -5.186170E-10	       -8.977652E-06	       -5.733522E-12	       -4.817919E-06	       -1.380812E-05	       -1.322902E-06	       -4.288577E-03	       -1.759692E-09	       -6.203476E-09	       -1.088206E-15	       -1.464858E-06	       -9.486797E-15	       -4.704343E-08	       -1.704507E-08	       -3.192693E-16	       -3.476103E-07	       -6.659042E-05	       -6.240186E-11	       -3.439898E-11	       -1.055133E-09	       -1.695031E-05	       -9.940256E-40	       -9.767494E-09	       -2.607276E-07	       -2.951159E-16	       -3.057463E-01	       -1.168821E-06	       -2.357243E-10	       -2.971971E-07	       -1.067156E-08	       -2.699901E-06	       -4.012345E-09	       -4.953041E-11	       -2.555603E-08	       -1.898954E-05	       -1.069379E-05	       -2.603788E-03	       -5.101044E-09	       -1.518223E-08	       -8.342312E-14	       -1.325709E-12	       -1.673119E-08	       -2.495549E-07	       -5.398474E-06	       -1.122516E-01	       -2.096549E-13	       -1.023150E-05	       -1.670265E-09	       -1.484448E-03	       -5.133070E-12	       -9.056157E-02	       -2.923493E-01	       -5.720954E-04	       -0.000000E+00	       -9.109692E-03	       -2.818590E-03	       -4.815546E-06	       -8.650185E-15	       -7.810316E-05	       -2.179288E-05	       -1.383705E-06	       -7.660254E-06	       -4.932814E-01	       -9.230811E-06	       -5.999158E-08	       -2.369543E-05	       -5.451924E-04	       -1.452942E-09	       -9.830926E-14	       -1.413403E-05	       -8.031234E-09	       -5.667382E-08	       -2.983397E-08	       -5.943023E-07	       -6.144784E-07	       -2.552228E-11	       -1.552357E-06	       -3.432197E-08	       -4.986077E-07	       -1.267178E-07	       -3.054989E-08	       -3.353386E-08	       -8.823302E-08	       -3.832454E-09	       -2.498009E-08	       -2.253457E-10	       -2.124162E-12	       -1.337712E-10	       -5.712928E-09	       -3.373088E-07	       -0.000000E+00	       -3.585065E-12	       -1.053313E-76	       -3.647681E-13	       -1.700619E-12	       -9.727865E-07	       -3.435805E-07	       -5.137521E-14	       -5.839758E-13	       -1.111459E-15	       -2.613328E-11	       -4.473803E-10	       -1.613097E-13	       -1.739792E-13
        5.032280E-03	       -1.203338E-13	       -1.001754E-10	       -6.636398E-04	       -8.518821E-14	       -1.277245E-09	       -1.365454E-11	       -1.121184E-06	       -4.434009E-10	       -2.364192E-09	       -8.601326E-04	       -1.047807E-12	       -1.144898E-12	       -3.128421E-17	       -7.460711E-10	       -1.463871E-14	       -5.620979E-10	       -6.999916E-12	       -4.250222E-19	       -3.762649E-11	       -2.312093E-05	       -2.451889E-13	       -3.344840E-14	       -1.116480E-12	       -1.110286E-04	       -2.702792E-18	       -4.413799E-10	       -1.145979E-09	       -4.357341E-53	       -2.783864E-01	       -1.984975E-10	       -1.069669E-13	       -7.041949E-11	       -8.483546E-12	       -9.981173E-07	       -9.360806E-15	       -8.343463E-14	       -1.376650E-13	       -2.681557E-08	       -1.771967E-06	       -2.483419E-03	       -8.624264E-11	       -4.289938E-07	       -4.792818E-14	       -3.389463E-11	       -6.333339E-12	       -2.633231E-10	       -1.226687E-05	       -5.065784E-02	       -4.970652E-14	       -2.153633E-06	       -8.773168E-14	       -1.088545E-03	       -5.664157E-13	       -4.191164E-02	       -2.569872E-01	       -7.932529E-04	       -0.000000E+00	       -7.627701E-03	       -1.273188E-03	       -2.671692E-05	       -3.516720E-15	       -9.138551E-04	       -8.612738E-06	       -4.042743E-05	       -1.567792E-05	       -4.994155E-01	       -5.021515E-04	       -3.368067E-08	       -3.901483E-06	       -1.234350E-02	       -3.084215E-12	       -7.644752E-15	       -6.488446E-06	       -6.704752E-09	       -3.148126E-08	       -2.793604E-08	       -6.505238E-07	       -3.561662E-07	       -4.774454E-11	       -1.670677E-06	       -1.315736E-06	       -6.771229E-07	       -1.687966E-07	       -1.299677E-07	       -1.614800E-08	       -8.822263E-09	       -3.656554E-08	       -1.140045E-07	       -1.051974E-13	       -6.681210E-15	       -2.746343E-12	       -2.404392E-07	       -5.318644E-09	       -0.000000E+00	       -8.748258E-12	       -4.368190E-76	       -3.040871E-13	       -2.789864E-12	       -5.469748E-09	       -2.062920E-08	       -1.283226E-13	       -4.750958E-15	       -5.952834E-16	       -5.714598E-15	       -8.801095E-10	       -2.369950E-17	       -3.692699E-16
        6.022040E-03	       -3.257619E-15	       -1.169154E-09	       -6.391753E-04	       -1.518984E-15	       -1.591780E-08	       -3.958792E-12	       -5.152902E-10	       -4.624954E-09	       -3.518564E-08	       -2.609156E-04	       -5.485642E-12	       -4.860817E-12	       -2.042751E-16	       -9.777210E-09	       -7.757307E-15	       -9.963138E-09	       -8.334505E-11	       -5.122195E-19	       -2.445054E-11	       -2.344251E-06	       -4.128466E-12	       -5.794939E-13	       -7.152378E-15	       -9.578510E-05	       -7.038213E-20	       -9.001955E-11	       -2.228937E-08	       -2.736355E-54	       -2.608880E-01	       -2.521161E-10	       -9.597583E-16	       -2.453425E-10	       -4.520502E-11	       -1.645738E-10	       -5.422752E-17	       -1.368395E-16	       -6.198022E-17	       -6.388727E-08	       -1.274435E-09	       -2.410800E-03	       -3.473750E-11	       -6.161973E-07	       -3.576733E-15	       -1.633058E-12	       -1.408359E-12	       -3.049467E-09	       -1.003368E-05	       -4.056108E-02	       -2.257910E-13	       -1.397885E-07	       -8.508914E-14	       -9.689341E-04	       -8.385955E-13	       -3.394464E-02	       -2.400504E-01	       -6.199494E-04	       -0.000000E+00	       -6.982613E-03	       -1.018578E-03	       -4.512459E-06	       -1.456409E-17	       -8.014212E-04	       -7.325823E-06	       -3.530107E-05	       -4.092792E-06	       -4.838340E-01	       -8.634781E-04	       -3.229042E-08	       -2.812547E-09	       -2.114559E-02	       -6.616533E-12	       -1.686069E-14	       -5.263920E-06	       -2.953266E-08	       -6.457357E-08	       -5.166453E-08	       -6.845492E-07	       -3.216974E-07	       -3.558280E-10	       -1.688528E-06	       -1.874829E-06	       -8.173202E-07	       -2.161397E-07	       -2.675214E-07	       -9.087117E-08	       -2.464422E-08	       -2.942349E-07	       -5.654314E-07	       -1.957747E-12	       -1.316822E-14	       -5.085647E-12	       -3.515597E-07	       -2.521997E-08	       -0.000000E+00	       -4.816949E-11	       -3.478331E-76	       -5.719413E-13	       -1.188550E-11	       -1.114796E-08	       -2.315054E-09	       -3.456369E-13	       -1.742837E-16	       -3.059947E-14	       -1.840767E-13	       -6.002715E-09	       -2.364601E-16	       -5.920332E-15
        7.022040E-03	       -1.436858E-16	       -1.944036E-09	       -6.329644E-04	       -6.467352E-17	       -2.819460E-08	       -2.089389E-11	       -1.400221E-10	       -8.056683E-09	       -6.373562E-08	       -3.062141E-04	       -1.776860E-11	       -5.887198E-12	       -1.340436E-16	       -1.773495E-08	       -4.637076E-15	       -1.900185E-08	       -1.626114E-10	       -1.871577E-20	       -3.352522E-11	       -2.681045E-06	       -9.709382E-12	       -1.354318E-12	       -2.683359E-16	       -5.471394E-05	       -3.612831E-21	       -7.861358E-11	       -4.283612E-08	       -1.678964E-55	       -2.569112E-01	       -3.794451E-10	       -3.638841E-17	       -3.496846E-10	       -1.540059E-10	       -5.219676E-12	       -1.113257E-16	       -1.012283E-16	       -2.891154E-18	       -1.075713E-07	       -2.608338E-12	       -2.395758E-03	       -1.709090E-10	       -6.558709E-07	       -4.992673E-16	       -9.923823E-13	       -2.527374E-12	       -5.848324E-09	       -5.727850E-06	       -3.899544E-02	       -3.654263E-13	       -8.672938E-08	       -8.239488E-14	       -9.428837E-04	       -2.436737E-12	       -3.270879E-02	       -2.363448E-01	       -3.540904E-04	       -0.000000E+00	       -6.844752E-03	       -9.785675E-04	       -4.589036E-06	       -8.243231E-18	       -4.579661E-04	       -7.119477E-06	       -2.011751E-05	       -2.864217E-06	       -4.787758E-01	       -1.014946E-03	       -5.251031E-08	       -1.136024E-12	       -2.487392E-02	       -5.902652E-12	       -3.468684E-14	       -5.077586E-06	       -5.201176E-08	       -7.864539E-08	       -6.535351E-08	       -7.750043E-07	       -3.152316E-07	       -7.565079E-10	       -1.688978E-06	       -1.903816E-06	       -9.764254E-07	       -2.667345E-07	       -3.265513E-07	       -1.381475E-07	       -3.085029E-08	       -5.303113E-07	       -8.429766E-07	       -3.584972E-12	       -1.681183E-14	       -5.467406E-12	       -3.690241E-07	       -5.127468E-08	       -0.000000E+00	       -3.179420E-12	       -2.596778E-76	       -5.405362E-13	       -7.288596E-13	       -2.060857E-08	       -3.260189E-08	       -3.767173E-13	       -1.998701E-15	       -8.544212E-14	       -3.429899E-13	       -9.786311E-09	       -9.140385E-16	       -1.954488E-15
        8.022040E-03	       -7.167411E-18	       -2.129054E-09	       -6.301755E-04	       -3.040695E-18	       -3.179597E-08	       -3.407491E-13	       -1.660865E-10	       -9.024187E-09	       -7.264831E-08	       -3.385315E-04	       -3.217243E-11	       -7.652492E-12	       -8.596272E-17	       -2.013033E-08	       -2.503939E-15	       -2.208394E-08	       -1.917142E-10	       -9.128312E-22	       -4.171360E-11	       -2.926934E-06	       -1.460965E-11	       -2.025523E-12	       -1.262713E-17	       -2.825517E-05	       -2.074523E-22	       -6.816214E-11	       -5.017280E-08	       -1.010222E-56	       -2.552272E-01	       -4.856473E-10	       -3.376355E-18	       -4.109810E-10	       -2.766925E-10	       -7.989138E-12	       -1.718626E-16	       -8.151116E-17	       -1.465252E-19	       -1.213166E-07	       -3.394541E-12	       -2.389449E-03	       -1.632325E-10	       -6.833780E-07	       -1.163587E-16	       -3.203481E-13	       -6.376300E-12	       -6.832062E-09	       -2.956219E-06	       -3.840222E-02	       -4.337374E-13	       -5.458996E-08	       -6.493073E-14	       -9.307778E-04	       -3.984562E-12	       -3.224044E-02	       -2.347873E-01	       -1.827915E-04	       -0.000000E+00	       -6.789749E-03	       -9.631801E-04	       -4.474892E-06	       -5.060284E-18	       -2.364808E-04	       -7.039734E-06	       -1.037833E-05	       -2.061202E-06	       -4.763432E-01	       -1.121736E-03	       -7.361433E-08	       -1.441252E-14	       -2.750539E-02	       -2.141917E-12	       -5.245010E-14	       -5.007582E-06	       -6.969305E-08	       -8.590455E-08	       -7.423577E-08	       -8.777912E-07	       -3.124480E-07	       -1.095111E-09	       -1.687173E-06	       -1.845734E-06	       -1.138693E-06	       -3.161861E-07	       -3.530518E-07	       -1.652680E-07	       -3.330982E-08	       -7.076876E-07	       -1.020349E-06	       -4.361404E-12	       -1.542204E-14	       -5.144221E-12	       -3.724237E-07	       -7.719293E-08	       -0.000000E+00	       -4.436619E-14	       -1.937120E-76	       -4.434247E-13	       -9.120699E-15	       -3.879154E-08	       -1.479865E-10	       -3.395464E-13	       -1.529557E-17	       -1.486690E-13	       -4.110949E-13	       -1.225028E-08	       -2.073625E-15	       -2.794291E-15
        9.022040E-03	       -3.806178E-19	       -2.092299E-09	       -6.286271E-04	       -1.500636E-19	       -3.171234E-08	       -1.695586E-14	       -1.704029E-10	       -8.966227E-09	       -7.290088E-08	       -3.593086E-04	       -4.722648E-11	       -1.018145E-11	       -5.133703E-16	       -2.009643E-08	       -9.547197E-16	       -2.232925E-08	       -1.946125E-10	       -4.788985E-23	       -7.846955E-11	       -3.088699E-06	       -1.829503E-11	       -2.519334E-12	       -6.171285E-19	       -1.375412E-05	       -1.224109E-23	       -8.741996E-11	       -5.113856E-08	       -6.021916E-58	       -2.543276E-01	       -6.597102E-10	       -8.929043E-17	       -5.452879E-10	       -4.131049E-10	       -1.181865E-11	       -2.057895E-16	       -6.711814E-17	       -7.728907E-21	       -1.193230E-07	       -6.267973E-12	       -2.386000E-03	       -2.397997E-10	       -7.012503E-07	       -4.523219E-17	       -3.175296E-13	       -2.881526E-11	       -6.997739E-09	       -1.438448E-06	       -3.811370E-02	       -4.629937E-13	       -3.694501E-08	       -6.266234E-14	       -9.237639E-04	       -3.848995E-12	       -3.201283E-02	       -2.339610E-01	       -8.895465E-05	       -0.000000E+00	       -6.760192E-03	       -9.555887E-04	       -4.236024E-06	       -3.667747E-18	       -1.151010E-04	       -6.999916E-06	       -5.048810E-06	       -1.603124E-06	       -4.749477E-01	       -1.190371E-03	       -9.372063E-08	       -8.614882E-16	       -2.919748E-02	       -3.997109E-12	       -6.474155E-14	       -4.973508E-06	       -8.000502E-08	       -8.829640E-08	       -7.893881E-08	       -9.843716E-07	       -3.106419E-07	       -1.304295E-09	       -1.685305E-06	       -1.731648E-06	       -1.297908E-06	       -3.634709E-07	       -3.536041E-07	       -1.746637E-07	       -3.325911E-08	       -8.173958E-07	       -1.114722E-06	       -4.522998E-12	       -1.364646E-14	       -4.666207E-12	       -3.661875E-07	       -1.587915E-07	       -0.000000E+00	       -1.677667E-15	       -1.444442E-76	       -3.738336E-13	       -2.348011E-15	       -1.185766E-07	       -7.549876E-12	       -3.016950E-13	       -7.999786E-19	       -1.985331E-13	       -4.244318E-13	       -1.343801E-08	       -2.828926E-15	       -3.695138E-15
        1.002200E-02	       -2.074723E-20	       -2.030567E-09	       -6.277428E-04	       -7.626441E-21	       -3.104792E-08	       -1.014646E-15	       -1.691198E-10	       -8.766986E-09	       -7.158732E-08	       -3.713811E-04	       -5.998195E-11	       -1.110565E-11	       -5.485796E-16	       -1.967521E-08	       -5.268978E-17	       -2.199316E-08	       -1.956373E-10	       -2.602717E-24	       -7.243476E-11	       -3.184518E-06	       -2.083957E-11	       -2.871863E-12	       -3.133518E-20	       -6.752111E-06	       -7.255446E-25	       -5.887048E-11	       -5.059111E-08	       -3.567725E-59	       -2.538339E-01	       -8.057142E-10	       -3.068793E-15	       -6.096015E-10	       -5.039246E-10	       -1.105614E-11	       -2.272669E-16	       -6.018684E-17	       -4.171175E-22	       -1.190621E-07	       -6.500280E-12	       -2.383997E-03	       -2.978995E-10	       -7.121644E-07	       -2.467734E-17	       -2.649300E-13	       -2.496661E-11	       -6.947636E-09	       -7.058611E-07	       -3.796336E-02	       -4.829933E-13	       -2.830684E-08	       -4.009324E-14	       -9.196428E-04	       -1.471450E-12	       -3.189425E-02	       -2.335059E-01	       -4.365277E-05	       -0.000000E+00	       -6.743101E-03	       -9.515457E-04	       -3.957052E-06	       -2.985992E-18	       -5.649109E-05	       -6.978759E-06	       -2.477719E-06	       -1.363182E-06	       -4.741891E-01	       -1.230201E-03	       -1.109633E-07	       -1.115867E-16	       -3.018177E-02	       -5.732057E-12	       -6.828472E-14	       -4.955734E-06	       -8.356946E-08	       -8.733076E-08	       -8.048177E-08	       -1.090783E-06	       -3.092259E-07	       -1.387691E-09	       -1.683754E-06	       -1.599306E-06	       -1.451273E-06	       -4.081053E-07	       -3.391348E-07	       -1.724791E-07	       -3.187249E-08	       -8.663196E-07	       -1.145215E-06	       -4.409266E-12	       -1.151908E-14	       -4.204612E-12	       -3.554718E-07	       -1.902411E-07	       -0.000000E+00	       -8.197076E-17	       -1.076710E-76	       -3.289885E-13	       -6.488492E-17	       -1.336552E-07	       -4.552422E-13	       -2.740609E-13	       -4.653076E-20	       -2.251205E-13	       -4.170274E-13	       -1.367841E-08	       -3.312689E-15	       -7.239719E-15
