            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        2.749496E-11	        5.954877E-09	        1.800806E-04	        1.781070E-07	        3.740176E-07	        1.688354E-07	        8.651826E-09	        1.358447E-07	        2.258490E-07	        9.072134E-08	        2.912937E-09	        1.195429E-09	        4.645020E-12	        8.455627E-06	        1.692526E-15	        4.900091E-07	        3.962000E-08	        4.698060E-15	        9.082378E-06	        1.480886E-10	        5.163467E-10	        1.403989E-10	        7.966991E-07	        2.899660E-08	        2.584570E-16	        4.581544E-07	        9.123248E-07	        1.045390E-19	        5.229496E-02	        1.392862E-06	        7.503913E-09	        7.121306E-07	        6.406316E-08	        1.855182E-04	        2.500517E-11	        1.033715E-10	        3.335189E-08	        4.628727E-06	        7.800585E-05	        1.800048E-03	        2.304549E-04	        9.757713E-09	        2.794218E-16	        1.110608E-07	        1.999396E-06	        2.336027E-04	        8.665854E-12	        4.454447E-03	        2.064389E-12	        9.819036E-03	        2.758429E-12	        9.856537E-03	        5.361234E-07	        4.673794E-03	        5.056361E-02	        5.356628E-07	        0.000000E+00	        8.068758E-04	        5.860361E-05	        6.632175E-08	        1.181244E-16	        0.000000E+00	        1.630575E-06	        1.168896E-06	        4.578665E-07	        1.147557E-01	        1.283738E-12	        3.342454E-10	        3.531924E-13	        0.000000E+00	        9.740477E-03	        3.423433E-15	        1.335054E-06	        8.411214E-09	        1.284917E-09	        1.582636E-09	        2.582013E-09	        6.408330E-08	        1.886251E-10	        4.300532E-07	        6.363980E-09	        1.366902E-07	        2.273899E-09	        1.431093E-09	        1.839590E-09	        4.918578E-10	        3.252399E-10	        2.629282E-10	        7.825884E-12	        7.568180E-14	        2.489943E-14	        8.319780E-13	        3.556113E-06	        2.431931E-12	        4.044291E-10	        2.534930E-11	        3.273056E-12	        1.444550E-09	        1.195570E-05	        2.006147E-10	        1.691664E-15	        5.940494E-16	        9.016389E-18	        2.994690E-12	        3.183739E-11	        5.875224E-14	        9.912457E-14
        2.002450E-03	        1.480016E-06	        2.326741E-05	        3.785173E-04	        2.529852E-05	        1.001081E-04	        1.904535E-05	        5.355708E-07	        6.272579E-05	        1.175001E-04	        4.664458E-06	        3.134904E-05	        2.586980E-06	        4.754150E-10	        1.935949E-04	        1.050382E-11	        6.321786E-05	        2.383755E-06	        4.906790E-11	        2.236010E-04	        9.177852E-09	        1.828454E-06	        6.920369E-07	        3.712534E-05	        5.174950E-07	        5.340660E-13	        1.180362E-04	        6.033259E-05	        2.191680E-15	        1.545049E-01	        1.310843E-04	        2.533573E-05	        1.364124E-04	        3.590762E-05	        1.714702E-03	        8.308833E-09	        3.541616E-07	        2.280243E-05	        6.586089E-04	        8.053492E-04	        2.277009E-03	        2.230607E-03	        5.142860E-06	        1.292080E-11	        1.689936E-05	        1.809247E-04	        2.531987E-03	        1.133275E-11	        3.742906E-02	        6.424520E-10	        5.790917E-02	        1.438568E-08	        5.907908E-02	        2.896519E-05	        2.585381E-02	        1.390137E-01	        2.745784E-05	        0.000000E+00	        1.004504E-02	        2.268184E-03	        5.620377E-06	        6.213910E-14	        0.000000E+00	        3.366168E-05	        2.728595E-04	        1.073211E-05	        3.514595E-01	        1.026667E-09	        1.992558E-06	        4.085754E-10	        0.000000E+00	        5.700099E-02	        1.825794E-12	        4.907483E-06	        4.492185E-08	        8.775141E-08	        4.265516E-08	        3.561315E-08	        2.073736E-07	        1.242999E-10	        9.966587E-07	        3.275995E-09	        5.876383E-07	        2.490475E-08	        5.283345E-08	        2.492851E-08	        1.675285E-06	        2.725680E-08	        7.911596E-08	        5.956785E-08	        4.389710E-13	        3.553873E-10	        9.091052E-12	        3.744228E-06	        2.622151E-10	        4.784467E-11	        3.229870E-12	        1.590084E-12	        3.078980E-11	        3.310230E-06	        1.395721E-07	        6.534549E-13	        2.389243E-12	        1.974848E-13	        1.851668E-09	        3.718169E-09	        1.559530E-11	        1.150211E-10
        3.002200E-03	        1.269752E-05	        2.035684E-05	        6.900023E-04	        3.374220E-04	        4.638274E-05	        1.811908E-06	        9.600091E-08	        3.685701E-05	        5.940953E-05	        4.103915E-05	        1.856013E-07	        8.545425E-07	        2.289730E-13	        2.650086E-03	        1.708841E-12	        3.955719E-05	        3.493098E-07	        6.290140E-14	        2.231241E-03	        1.047409E-09	        1.512432E-08	        4.789681E-09	        3.286289E-04	        4.615961E-08	        4.854400E-12	        6.723919E-06	        1.251430E-05	        3.853520E-17	        3.558441E-01	        2.673529E-05	        2.876159E-04	        7.588546E-06	        2.431830E-07	        1.416115E-02	        1.706404E-10	        6.119957E-09	        2.279003E-07	        5.823912E-03	        6.830908E-03	        2.941459E-03	        4.205029E-04	        4.825518E-07	        2.081054E-12	        9.779405E-05	        1.715571E-04	        6.211722E-04	        3.206060E-12	        1.323746E-01	        2.960747E-12	        1.451561E-02	        4.479850E-09	        1.375863E-02	        2.484984E-04	        8.009040E-02	        3.166411E-01	        2.414061E-04	        0.000000E+00	        4.298271E-02	        7.360440E-03	        1.000516E-06	        6.930665E-17	        0.000000E+00	        3.071797E-05	        5.345835E-03	        1.352864E-05	        6.725817E-01	        2.152824E-12	        2.131573E-07	        1.290408E-11	        0.000000E+00	        7.546887E-03	        6.852467E-12	        1.395336E-05	        2.593265E-07	        3.547807E-07	        1.772417E-07	        6.180281E-07	        6.482494E-07	        2.428383E-10	        1.909271E-06	        1.074178E-08	        2.658753E-06	        4.069058E-07	        2.702969E-07	        1.832269E-07	        4.495585E-07	        8.195097E-08	        2.786592E-07	        8.760666E-08	        1.656640E-13	        5.737044E-10	        5.109108E-12	        1.531396E-06	        1.448830E-09	        4.525555E-12	        5.811610E-13	        9.663223E-13	        3.365950E-13	        1.303620E-06	        1.775449E-07	        3.784556E-13	        6.982434E-13	        1.882199E-12	        2.140640E-09	        1.857341E-08	        1.543594E-11	        8.126043E-11
        4.001830E-03	        6.080303E-06	        4.526531E-06	        7.745562E-04	        1.797644E-04	        4.433286E-05	        1.646656E-07	        2.645833E-08	        9.618720E-06	        1.727824E-05	        3.099972E-05	        6.732248E-08	        1.264912E-07	        6.120000E-15	        1.856812E-03	        1.360894E-12	        2.200652E-05	        5.466433E-08	        1.885350E-15	        1.749004E-03	        1.540483E-10	        2.758753E-09	        9.395473E-10	        1.756273E-04	        1.428554E-08	        2.115410E-12	        1.620601E-05	        4.574621E-06	        1.226430E-17	        3.853060E-01	        1.423312E-04	        1.369415E-04	        1.640287E-05	        5.960583E-08	        1.002271E-02	        4.107322E-11	        1.521487E-09	        2.818204E-08	        4.649699E-03	        4.872971E-03	        2.985658E-03	        5.059187E-05	        1.064530E-07	        1.724395E-12	        6.246277E-05	        1.440400E-03	        7.331422E-04	        2.277895E-12	        1.237021E-01	        2.078163E-12	        6.554955E-03	        3.624078E-10	        6.712798E-03	        1.862819E-04	        7.938176E-02	        3.418706E-01	        1.823500E-04	        0.000000E+00	        3.705354E-02	        6.101418E-03	        3.023020E-07	        1.107440E-15	        0.000000E+00	        1.936440E-05	        4.342488E-03	        1.062743E-05	        7.246049E-01	        9.413484E-14	        6.341147E-08	        2.458419E-12	        0.000000E+00	        1.542013E-03	        4.277536E-12	        1.316709E-05	        7.792581E-07	        3.238195E-07	        1.765659E-07	        7.794802E-07	        6.421263E-07	        3.215978E-10	        2.153372E-06	        1.278102E-08	        2.863739E-06	        4.532257E-07	        1.740928E-07	        1.528175E-07	        1.304340E-06	        1.087573E-07	        2.580035E-07	        2.033229E-08	        2.705590E-14	        1.978479E-10	        1.194999E-12	        7.715210E-07	        5.488110E-09	        1.728495E-12	        3.604160E-13	        1.343201E-12	        8.178770E-12	        5.725090E-07	        1.889364E-08	        3.586022E-13	        4.131268E-13	        8.363227E-13	        4.722457E-10	        1.739881E-08	        1.751100E-12	        8.823585E-12
        5.032280E-03	        2.345154E-08	        1.877113E-10	        6.845131E-04	        1.232269E-06	        2.691238E-05	        1.988450E-06	        6.610768E-12	        4.286840E-10	        3.149743E-09	        1.014640E-04	        1.074242E-07	        1.024386E-12	        3.010950E-22	        7.054453E-05	        1.429875E-13	        9.926527E-06	        1.066781E-07	        3.643790E-23	        1.662888E-04	        7.005446E-15	        1.283819E-13	        1.186750E-13	        5.097107E-06	        6.471256E-12	        1.111670E-14	        9.588420E-05	        1.127519E-06	        4.480060E-22	        2.901004E-01	        1.144058E-04	        5.618062E-07	        9.588517E-05	        7.492204E-11	        7.537843E-04	        2.127220E-15	        1.157797E-15	        6.354508E-13	        1.442813E-03	        3.426000E-04	        2.555208E-03	        7.326576E-04	        1.371771E-07	        1.504985E-13	        1.774905E-04	        8.417446E-05	        8.675647E-04	        2.878782E-13	        5.153850E-02	        2.830784E-17	        1.605000E-02	        5.307152E-14	        1.751406E-02	        6.063469E-04	        4.079398E-02	        2.640578E-01	        5.968460E-04	        0.000000E+00	        1.018931E-02	        1.479285E-03	        4.536733E-10	        2.098352E-20	        0.000000E+00	        8.154524E-06	        1.276505E-03	        5.369124E-06	        5.730075E-01	        1.793656E-16	        5.171052E-08	        3.755707E-17	        0.000000E+00	        1.551303E-02	        5.944205E-14	        6.415377E-06	        6.500752E-06	        6.600591E-08	        4.901761E-08	        7.088941E-07	        3.568152E-07	        1.750366E-10	        1.896572E-06	        5.739567E-09	        1.876054E-06	        2.970709E-07	        2.065440E-08	        1.473610E-07	        7.263183E-08	        1.422143E-07	        2.227888E-07	        5.409603E-13	        3.634410E-19	        2.784642E-11	        6.001847E-16	        1.321541E-06	        3.826180E-08	       -1.203191E-15	        7.128030E-15	        3.372881E-13	       -2.483800E-14	        4.899450E-09	        1.453148E-13	        1.030711E-14	        3.289883E-15	        2.626569E-14	        2.285989E-14	        2.158002E-08	        2.433492E-17	        5.426013E-17
        6.022040E-03	        4.033018E-12	        1.113147E-09	        6.431511E-04	        3.921097E-10	        1.847473E-06	        1.928757E-06	        6.734503E-11	        4.542252E-09	        4.027842E-08	        6.511950E-05	        9.925246E-08	        3.560926E-12	        1.855180E-20	        1.259935E-05	        6.830466E-15	        4.868731E-06	        9.414809E-08	        2.048380E-21	        5.274477E-05	        1.193335E-15	        1.173871E-12	        1.133820E-12	        2.079975E-09	        7.938312E-12	        3.660730E-19	        4.903828E-05	        1.483236E-07	        1.979650E-21	        2.634885E-01	        1.071992E-05	        1.006972E-10	        4.903886E-05	        4.294726E-11	        1.800783E-04	        3.020627E-19	        7.592360E-24	        1.570754E-14	        7.606278E-04	        8.019220E-05	        2.435680E-03	        9.150879E-04	        1.079129E-07	        1.664186E-14	        1.036489E-04	        4.518677E-06	        9.349184E-04	        1.699123E-13	        4.097204E-02	        6.112049E-16	        2.199648E-02	        3.480262E-14	        2.318501E-02	        3.878710E-04	        3.349132E-02	        2.417017E-01	        3.830560E-04	        0.000000E+00	        7.644652E-03	        1.075522E-03	        1.311941E-11	        1.306817E-19	        0.000000E+00	        6.940097E-06	        6.780040E-04	        3.096755E-06	        5.300409E-01	        2.587241E-17	        1.915705E-08	        1.298592E-21	        0.000000E+00	        2.181487E-02	        5.398982E-14	        5.251997E-06	        5.297884E-06	        8.105928E-08	        7.295550E-08	        6.982718E-07	        3.202176E-07	        6.726947E-10	        1.771968E-06	        2.339837E-08	        1.818473E-06	        2.788956E-07	        9.645885E-08	        2.447874E-07	        5.575413E-08	        5.848426E-07	        6.208955E-07	        5.097744E-12	        3.224940E-17	        1.343614E-11	        1.901152E-15	        1.051627E-06	        2.306720E-08	        2.542116E-12	        3.919070E-14	        5.348883E-13	        1.119820E-11	        2.378260E-08	        4.898068E-12	        5.909412E-15	        1.973769E-16	        8.975423E-14	        3.538695E-13	        2.711337E-08	        1.297217E-15	        5.838616E-16
        7.022040E-03	        1.752161E-14	        1.874502E-09	        6.344319E-04	        7.776053E-14	        1.484713E-06	        1.959625E-06	        1.280077E-10	        7.939372E-09	        7.099779E-08	        3.594970E-05	        1.005675E-07	        6.557192E-12	        1.710860E-19	        1.411879E-05	        9.315930E-16	        2.490082E-06	        9.444006E-08	        8.678350E-21	        3.452685E-05	        2.051928E-15	        2.523675E-12	        2.340426E-12	        4.033849E-13	        1.232288E-11	        5.249320E-23	        2.432143E-05	        1.716841E-07	        1.578460E-21	        2.583886E-01	        9.462085E-06	        1.590870E-14	        2.432236E-05	        1.887510E-10	        2.060158E-04	        4.880235E-19	        5.852193E-26	        1.495651E-14	        4.115179E-04	        9.145278E-05	        2.411735E-03	        1.037988E-03	        1.082068E-07	        6.487848E-15	        5.505579E-05	        4.400615E-06	        1.050214E-03	        2.587979E-13	        3.920614E-02	        2.198632E-15	        2.528542E-02	        2.895363E-14	        2.629606E-02	        2.138567E-04	        3.236869E-02	        2.369209E-01	        2.114690E-04	        0.000000E+00	        7.278308E-03	        1.015966E-03	        1.922728E-11	        3.967941E-19	        0.000000E+00	        6.750075E-06	        3.698106E-04	        1.703913E-06	        5.235271E-01	        1.513659E-16	        1.441847E-08	        4.298506E-21	        0.000000E+00	        2.513970E-02	        7.620618E-14	        5.071894E-06	        4.655393E-06	        8.940856E-08	        8.488198E-08	        7.817706E-07	        3.136752E-07	        1.149690E-09	        1.744780E-06	        4.022023E-08	        1.950899E-06	        3.139566E-07	        1.411512E-07	        2.895921E-07	        8.090331E-08	        8.403561E-07	        8.693140E-07	        8.127675E-12	        1.369440E-16	        1.052449E-11	        3.622940E-15	        9.550138E-07	        1.897940E-08	        1.468815E-13	        8.139270E-14	        4.864304E-13	        8.065540E-13	        4.826440E-08	        1.477266E-11	        3.881845E-15	        3.739028E-15	        1.197272E-13	        6.185178E-13	        2.942595E-08	        3.606305E-15	        2.103231E-15
        8.022040E-03	        2.606549E-14	        2.066567E-09	        6.309100E-04	        6.983357E-16	        1.239018E-06	        1.982373E-06	        1.482718E-10	        8.870890E-09	        7.915123E-08	        1.860770E-05	        1.050901E-07	        9.021739E-12	        4.327110E-19	        1.563267E-05	        2.004921E-16	        1.218533E-06	        9.498508E-08	        2.243710E-20	        2.576769E-05	        5.116738E-15	        3.629970E-12	        3.260977E-12	        1.278130E-16	        1.551364E-11	        5.780370E-24	        1.150598E-05	        1.435932E-07	        8.596050E-22	        2.563690E-01	        8.476870E-06	        3.375526E-16	        1.150734E-05	        2.174067E-10	        2.282780E-04	        1.242451E-18	        8.231535E-28	        1.455823E-14	        2.111345E-04	        1.012500E-04	        2.401247E-03	        1.149784E-03	        1.095377E-07	        2.963117E-15	        2.764864E-05	        4.352453E-06	        1.158058E-03	        2.834543E-13	        3.850293E-02	        3.913101E-15	        2.798936E-02	        2.365142E-14	        2.891064E-02	        1.105868E-04	        3.195749E-02	        2.349084E-01	        1.094570E-04	        0.000000E+00	        7.140987E-03	        9.919324E-04	        2.643277E-11	        6.529467E-19	        0.000000E+00	        6.676662E-06	        1.909031E-04	        8.823453E-07	        5.222808E-01	        3.624660E-17	        1.190555E-08	        7.887201E-21	        0.000000E+00	        2.786083E-02	        9.556355E-14	        5.003788E-06	        4.128554E-06	        9.351744E-08	        9.176758E-08	        8.833512E-07	        3.111002E-07	        1.522110E-09	        1.733581E-06	        5.332937E-08	        2.105003E-06	        3.559418E-07	        1.662922E-07	        3.103376E-07	        5.445683E-08	        1.000832E-06	        1.030311E-06	        9.162047E-12	        2.444170E-16	        8.530892E-12	        5.379100E-15	        8.945894E-07	        1.627940E-08	        6.451232E-15	        1.249830E-13	        4.134596E-13	        1.995130E-17	        7.330530E-08	        2.267268E-11	        2.476847E-15	        1.846082E-17	        1.280975E-13	        7.317914E-13	        3.007536E-08	        5.699065E-15	        4.087133E-15
        9.022040E-03	        1.199604E-13	        2.037104E-09	        6.290682E-04	        7.307210E-16	        1.064774E-06	        1.994556E-06	        1.510250E-10	        8.806601E-09	        7.828045E-08	        9.111980E-06	        1.087690E-07	        1.156822E-11	        7.409890E-19	        1.670481E-05	        7.066379E-17	        5.831306E-07	        9.527895E-08	        4.500380E-20	        2.182869E-05	        2.458872E-14	        4.456732E-12	        3.905551E-12	        1.362089E-16	        2.102979E-11	        1.209490E-23	        5.310957E-06	        1.371541E-07	        3.871630E-22	        2.553366E-01	        7.626571E-06	        4.099051E-16	        5.312753E-06	        3.154682E-10	        2.434787E-04	        5.979085E-18	        1.822471E-30	        1.386901E-14	        1.032694E-04	        1.079606E-04	        2.395512E-03	        1.227592E-03	        1.109889E-07	        1.122476E-15	        1.328588E-05	        4.326929E-06	        1.233872E-03	        2.796591E-13	        3.815301E-02	        5.272924E-15	        2.982201E-02	        3.214981E-14	        3.069807E-02	        5.412151E-05	        3.175960E-02	        2.338636E-01	        5.359990E-05	        0.000000E+00	        7.074742E-03	        9.796068E-04	        5.213326E-11	        8.212722E-19	        0.000000E+00	        6.639696E-06	        9.342727E-05	        4.327438E-07	        5.220687E-01	        4.782786E-17	        1.055737E-08	        2.043246E-20	        0.000000E+00	        2.970096E-02	        1.059417E-13	        4.970523E-06	        3.669614E-06	        9.417640E-08	        9.469804E-08	        9.899833E-07	        3.095202E-07	        1.736751E-09	        1.727654E-06	        6.091129E-08	        2.258251E-06	        3.993746E-07	        1.744046E-07	        3.096543E-07	        5.159561E-08	        1.083471E-06	        1.116278E-06	        9.033443E-12	        3.114130E-16	        7.167324E-12	        1.094926E-14	        9.026800E-07	        1.446610E-08	        1.302449E-14	        2.530680E-13	        3.576270E-13	       -3.400300E-22	        1.476450E-07	        3.125176E-11	        1.777689E-15	        2.416400E-17	        1.211310E-13	        7.485379E-13	        2.944022E-08	        6.711363E-15	        5.226276E-15
        1.002200E-02	        9.413289E-14	        1.979780E-09	        6.280949E-04	        9.351315E-16	        9.391309E-07	        1.997531E-06	        1.493529E-10	        8.596026E-09	        7.620527E-08	        4.490780E-06	        1.111254E-07	        1.309460E-11	        9.274500E-19	        1.734658E-05	        3.565157E-17	        2.906665E-07	        9.525352E-08	        5.957880E-20	        2.017883E-05	        2.080972E-14	        5.067154E-12	        4.336762E-12	        3.321526E-17	        2.621729E-11	        6.284490E-24	        2.526159E-06	        1.289435E-07	        1.094880E-22	        2.547917E-01	        6.911968E-06	        3.867088E-16	        2.528286E-06	        3.906028E-10	        2.525081E-04	        6.421911E-17	       -7.090058E-32	        1.302610E-14	        5.120932E-05	        1.119468E-04	        2.392205E-03	        1.274013E-03	        1.121246E-07	        1.265753E-16	        6.476297E-06	        4.305853E-06	        1.279334E-03	        2.720410E-13	        3.797314E-02	        6.068610E-15	        3.091016E-02	        2.054227E-14	        3.176428E-02	        2.666453E-05	        3.165839E-02	        2.333181E-01	        2.641640E-05	        0.000000E+00	        7.040471E-03	        9.728727E-04	        5.311788E-11	        9.094233E-19	        0.000000E+00	        6.619908E-06	        4.603406E-05	        2.138397E-07	        5.220602E-01	        5.405747E-17	        9.804228E-09	        9.475568E-20	        0.000000E+00	        3.079189E-02	        1.073527E-13	        4.953147E-06	        3.281778E-06	        9.218225E-08	        9.478008E-08	        1.096727E-06	        3.082998E-07	        1.807717E-09	        1.724442E-06	        6.346039E-08	        2.404848E-06	        4.422514E-07	        1.714673E-07	        2.962628E-07	        4.800478E-08	        1.106776E-06	        1.142533E-06	        8.481466E-12	        3.355320E-16	        6.202851E-12	        1.336186E-14	        8.706325E-07	        1.321300E-08	        1.615806E-14	        3.145060E-13	        3.201055E-13	       -3.387500E-24	        1.827400E-07	        3.278340E-11	        1.422675E-15	        2.771447E-17	        1.078139E-13	        7.260751E-13	        2.807544E-08	        6.999950E-15	        5.884800E-15
