            time[ms]	               C2H5O	                  CH	                H2O2	           CH2CH2CHO	               TXCH2	            C6H5OCH2	               CH3OH	               SXCH2	                HCCO	              C3H6O2	                C5H6	              PXC3H4	           C5H5CH3X1	               CH2OH	              IXC4H7	               CH2CO	                CH3O	      CH2CCHCH2CHCH2	              CH2CHO	                C2H6	              AXC3H5	                C3H6	              C2H5CO	              CHOCHO	              ACETOL	               C4H3O	                C2H2	             IC5H9OH	                   O	                C2H3	            CH3CHCHO	                C3H3	                C5H5	             C2H3CHO	             CH3CHCO	              C2H5OH	             CH3CHOH	                 HCO	              CH3CHO	                 HO2	                 A1O	              C6H5OH	              IXC4H8	              C3H4O3	                C2H5	                 CH3	             CH3CO2H	                   H	               A1CH3	                CH2O	              CC4H4O	                  CO	              C6H8O4	                  O2	                 H2O	              C6H6O3	                  AR	                  H2	                 CO2	                C2H4	                C5H8	             C6H10O5	                  N2	            FURFURAL	                 CH4	                  OH	            C6H5OCH3	                C6H6	             C2H5CHO	            OC8H7OOH	                 A1X	                N2H2	                 NNH	                 NH2	                  NH	                 HNO	                HONO	                   N	                H2NO	                 N2O	                 NH3	                  NO	                 NO2	                 HCN	                 HNC	                  CN	                HNCO	                 NCO	                 NCN	              CH3NH2	                H2CN	               C5H5N	               C5H4N	              C5H5NO	              C5H4NO	             C5H4NO2	              PYRLYL	            BNC4H4CO	              C4H4CN	              CHCHCN	               C4H5N	             CH2CHCN	                C2N2	                HNCN	                HOCN	               CH3CN	               CH2CN
        1.000000E-03	        3.763967E-13	        3.590661E-11	        1.799724E-04	        2.859900E-09	        3.182807E-09	        8.403860E-10	        6.287344E-11	        9.554570E-10	        1.944154E-09	        2.592425E-10	        1.405735E-10	        1.081510E-11	        2.484100E-16	        9.883893E-08	        4.948690E-22	        2.837700E-09	        3.351277E-10	        8.076240E-20	        1.098758E-07	        1.536855E-12	        1.475422E-12	        2.814249E-13	        8.981799E-09	        3.726617E-10	        1.420640E-20	        9.172903E-11	        1.102026E-08	        0.000000E+00	        5.226484E-02	        1.686073E-08	        8.260036E-11	        2.602094E-09	        6.628499E-10	        2.210149E-06	        5.379380E-14	        7.406523E-15	        3.060932E-12	        4.085768E-08	        9.271943E-07	        1.798533E-03	        1.663544E-06	        4.414249E-11	        2.459990E-21	        2.988987E-10	        2.598042E-08	        1.690416E-06	        8.830618E-14	        4.445646E-03	        2.574475E-16	        7.186104E-05	        1.181574E-14	        1.828204E-04	        1.529191E-09	        4.670633E-03	        5.034585E-02	        1.543544E-09	        0.000000E+00	        8.052042E-04	        5.712214E-05	        1.941002E-09	        3.112080E-21	        0.000000E+00	        1.532481E-06	        2.210194E-09	        1.691458E-09	        1.050142E-01	        1.496622E-16	        1.502883E-12	        1.696996E-15	        0.000000E+00	        7.093061E-05	        2.487064E-15	        1.333562E-06	        1.502918E-09	        7.306885E-10	        8.281916E-10	        2.570666E-09	        6.403037E-08	        3.439634E-11	        4.298134E-07	        1.159804E-09	        1.355098E-07	        2.259317E-09	        1.804651E-10	        2.270201E-10	        1.098397E-11	        3.580021E-11	        3.161569E-11	        5.940848E-14	        6.924480E-17	        1.320037E-16	        9.147519E-14	        4.372091E-07	        1.504930E-13	        3.486168E-11	        3.033670E-12	        3.254410E-13	        1.455710E-10	        1.400650E-06	        2.135830E-11	        2.842830E-17	        1.861280E-18	        1.210849E-19	        2.875811E-14	        3.285754E-12	        6.497592E-17	        1.303447E-16
        2.000000E-03	        4.468117E-11	        3.858672E-09	        3.143965E-04	        4.610276E-08	        2.138337E-07	        5.410474E-08	        5.161239E-09	        7.143337E-08	        2.299658E-07	        2.255867E-08	        1.124242E-09	        4.276361E-10	        1.641460E-12	        1.950178E-06	        6.474785E-17	        2.290130E-07	        1.386729E-08	        1.141800E-16	        2.100739E-06	        7.835366E-11	        1.316363E-10	        2.321155E-11	        5.702797E-07	        2.246112E-08	        9.085280E-18	        5.403121E-08	        4.697161E-07	        1.077560E-21	        1.126907E-01	        7.607334E-07	        2.533877E-09	        1.654620E-07	        4.210189E-08	        4.695204E-05	        1.554849E-11	        1.183204E-11	        4.137162E-09	        1.664985E-06	        1.947194E-05	        1.940256E-03	        3.118849E-05	        3.153575E-09	        1.377758E-17	        3.499745E-08	        7.968553E-07	        3.204088E-05	        4.660085E-12	        1.208426E-02	        1.550536E-13	        1.522984E-03	        1.879133E-12	        1.806616E-03	        1.342309E-07	        1.099742E-02	        1.062727E-01	        1.373853E-07	        0.000000E+00	        2.203185E-03	        2.317403E-04	        7.676596E-08	        8.389820E-18	        0.000000E+00	        2.666877E-06	        2.018486E-07	        8.149329E-08	        2.228197E-01	        5.347896E-13	        1.062431E-10	        1.813907E-13	        0.000000E+00	        1.503282E-03	        4.988122E-15	        2.065168E-06	        8.206474E-09	        2.086570E-09	        2.845873E-09	        1.753915E-08	        1.333485E-07	        1.540478E-10	        8.304955E-07	        5.855038E-09	        3.065090E-07	        9.681102E-09	        1.654602E-09	        1.814397E-09	        2.277360E-10	        5.242636E-10	        4.905187E-10	        5.954551E-12	        2.456090E-14	        1.272543E-14	        1.053724E-12	        2.697950E-06	        1.919800E-12	        4.560453E-10	        3.227550E-11	        6.444370E-12	        3.099890E-09	        1.341020E-05	        9.889502E-11	        3.031518E-15	        2.664153E-16	        3.462682E-18	        2.146007E-12	        4.505541E-11	        1.429718E-14	        2.961091E-14
        3.100000E-03	        2.787393E-10	        3.422666E-08	        4.266031E-04	        2.711694E-07	        1.649511E-06	        9.574008E-07	        2.287004E-08	        4.179867E-07	        2.084619E-06	        3.506978E-07	        3.040313E-08	        3.249282E-09	        4.355650E-11	        1.154860E-05	        5.805665E-14	        2.101026E-06	        6.452183E-08	        1.015720E-14	        1.338909E-05	        1.858923E-10	        6.300268E-09	        8.152975E-10	        8.620744E-06	        4.553830E-08	        6.992530E-16	        4.302543E-06	        1.351549E-06	        6.483750E-18	        1.624217E-01	        6.979859E-06	        1.102929E-07	        4.961378E-06	        4.131957E-07	        3.030195E-04	        6.989966E-11	        6.197743E-10	        2.686521E-07	        1.850146E-05	        1.259747E-04	        2.070454E-03	        1.841699E-04	        6.141729E-08	        6.378320E-15	        9.308730E-07	        9.787178E-06	        1.929304E-04	        1.714355E-11	        2.021070E-02	        2.825178E-12	        9.693806E-03	        1.416101E-11	        1.009398E-02	        2.135287E-06	        1.754225E-02	        1.514205E-01	        2.103900E-06	        0.000000E+00	        3.705008E-03	        4.682791E-04	        7.746715E-08	        4.752992E-15	        0.000000E+00	        4.145719E-06	        3.836703E-06	        4.726206E-07	        3.258202E-01	        1.312535E-11	        1.258944E-09	        3.239344E-12	        0.000000E+00	        9.567129E-03	        8.278269E-15	        2.948238E-06	        1.836198E-08	        4.017288E-09	        5.824087E-09	        5.094880E-08	        1.873799E-07	        1.904970E-10	        1.149157E-06	        7.171009E-09	        4.779029E-07	        2.347333E-08	        3.998379E-09	        4.531893E-09	        9.240241E-10	        3.561755E-09	        3.401844E-09	        4.076346E-11	        8.269810E-14	        1.500689E-13	        1.302279E-12	        1.597564E-06	        2.244971E-11	        7.661971E-10	        3.543840E-11	        1.065025E-11	        4.930110E-09	        1.398110E-05	        8.055678E-11	        1.097925E-14	        1.302443E-15	        1.952378E-17	        8.819617E-12	        2.091735E-10	        5.540535E-14	        2.075456E-13
        4.000360E-03	        3.211420E-08	        1.881265E-07	        5.050162E-04	        3.128752E-06	        1.260362E-05	        5.720327E-06	        7.736200E-08	        2.068868E-06	        8.697172E-06	        8.807213E-07	        4.897182E-06	        4.494575E-08	        2.824610E-10	        1.963746E-05	        3.466809E-12	        1.572901E-05	        3.157652E-07	        3.394550E-12	        3.598108E-05	        1.605199E-10	        1.707729E-07	        8.039531E-08	        2.480255E-05	        1.218481E-07	        2.073090E-14	        5.077311E-05	        5.800332E-06	        4.264150E-16	        1.971386E-01	        3.024893E-05	        3.823319E-06	        5.347946E-05	        6.981865E-06	        4.522536E-04	        1.369372E-10	        1.336048E-08	        4.293465E-06	        8.323112E-05	        1.967111E-04	        2.204719E-03	        3.111334E-04	        6.672840E-07	        3.063254E-12	        5.629337E-06	        5.547512E-05	        3.797180E-04	        9.629004E-12	        2.790317E-02	        2.020279E-11	        1.648874E-02	        2.054956E-10	        1.717742E-02	        5.773813E-06	        2.341888E-02	        1.820102E-01	        5.202224E-06	        0.000000E+00	        5.206640E-03	        8.432665E-04	        2.082635E-07	        1.954761E-14	        0.000000E+00	        6.265150E-06	        1.668720E-05	        1.325593E-06	        3.974475E-01	        2.270562E-11	        8.947169E-08	        9.576306E-12	        0.000000E+00	        1.628619E-02	        2.953037E-14	        3.854544E-06	        2.416536E-08	        6.899526E-09	        8.710040E-09	        9.058351E-08	        2.207332E-07	        5.816414E-11	        1.358975E-06	        1.707355E-09	        6.150141E-07	        3.919383E-08	        3.499292E-09	        3.832207E-09	        5.577876E-07	        1.212815E-08	        1.372376E-08	        2.389158E-10	        3.296250E-14	        2.140342E-12	        1.363440E-12	        2.298273E-06	        1.742870E-10	        1.786580E-10	        6.718320E-12	        5.654713E-12	        4.245940E-10	        2.696950E-06	        1.763691E-10	        1.044109E-12	        6.773585E-13	        1.644115E-16	        1.327682E-11	        4.957756E-10	        8.145040E-14	        1.910444E-13
        5.001350E-03	        3.669565E-06	        1.170721E-04	        7.119485E-04	        7.808629E-05	        2.829920E-04	        2.596156E-05	        1.620090E-06	        1.964856E-04	        2.939368E-04	        2.171616E-05	        2.046332E-05	        9.671870E-06	        1.831600E-09	        7.566312E-04	        9.039537E-11	        1.341680E-04	        5.216765E-06	        1.786890E-10	        7.668335E-04	        6.309979E-07	        2.157392E-06	        7.349092E-07	        6.957928E-05	        2.993251E-07	        1.767970E-12	        2.370490E-04	        1.209612E-04	        5.705120E-14	        3.384767E-01	        3.750270E-04	        6.857402E-05	        2.635899E-04	        2.743292E-05	        4.889943E-03	        2.104384E-08	        1.155128E-06	        4.603826E-05	        1.906316E-03	        2.353529E-03	        2.921575E-03	        6.477300E-03	        1.114884E-05	        1.066065E-10	        5.147800E-05	        4.552562E-04	        7.257804E-03	        1.852159E-11	        1.135208E-01	        1.863128E-08	        1.175335E-01	        2.747712E-08	        1.211846E-01	        1.314543E-04	        6.928973E-02	        2.982768E-01	        1.277383E-04	        0.000000E+00	        3.720075E-02	        6.697313E-03	        1.557408E-05	        3.004496E-13	        0.000000E+00	        9.042775E-05	        1.147995E-03	        5.362592E-05	        7.519943E-01	        1.819268E-08	        7.181567E-06	        8.214407E-10	        0.000000E+00	        1.148892E-01	        8.460510E-12	        1.274734E-05	        1.467390E-07	        6.623237E-07	        2.572856E-07	        2.804021E-07	        8.371420E-07	        4.278310E-10	        1.924778E-06	        2.015722E-08	        2.495245E-06	        1.753498E-07	        9.418142E-07	        4.964751E-07	        5.942606E-06	        1.895996E-07	        6.048315E-07	        4.652127E-07	        1.321130E-11	        2.510123E-08	        9.104793E-12	        2.428110E-06	        2.084391E-10	        9.372540E-12	        6.433670E-13	        3.480863E-13	        6.107000E-12	        2.102230E-06	        3.933141E-06	        1.573346E-13	        2.456277E-11	        1.295581E-11	        1.267081E-08	        4.219796E-08	        1.568114E-09	        5.088074E-09
        6.001540E-03	        1.469991E-05	        3.724513E-04	        1.206743E-03	        4.980201E-04	        9.415601E-04	        5.625787E-05	        4.793725E-06	        5.579869E-04	        1.209375E-03	        1.728441E-04	        2.016830E-05	        4.321110E-05	        2.590770E-08	        7.438720E-03	        8.613584E-09	        3.162132E-04	        1.593827E-05	        7.759150E-09	        7.303464E-03	        1.265085E-05	        1.237696E-05	        4.620487E-06	        2.195751E-04	        1.877801E-07	        1.898920E-11	        1.998384E-04	        3.955202E-04	        4.095720E-12	        8.088642E-01	        2.648726E-03	        2.598458E-04	        3.351509E-04	        4.450625E-05	        2.718846E-02	        4.440533E-08	        2.873032E-06	        4.618878E-05	        1.862017E-02	        1.372029E-02	        4.315087E-03	        4.959058E-02	        3.167480E-05	        6.687602E-09	        2.395306E-04	        1.393023E-03	        5.290107E-02	        1.351645E-10	        4.489930E-01	        5.886636E-07	        5.460073E-01	        1.832975E-07	        5.592627E-01	        1.025024E-03	        2.081509E-01	        7.281646E-01	        1.018890E-03	        0.000000E+00	        1.921338E-01	        2.974305E-02	        7.148956E-05	        3.256948E-11	        0.000000E+00	        2.284653E-04	        1.590762E-02	        3.321311E-04	        2.064003E+00	        1.105306E-07	        3.411257E-05	        1.431502E-08	        0.000000E+00	        5.312581E-01	        6.246769E-11	        4.003212E-05	        2.031436E-06	        6.305201E-06	        2.290796E-06	        2.896029E-06	        6.449554E-06	        4.521580E-09	        3.555299E-06	        4.437323E-07	        1.846183E-05	        2.326832E-06	        1.545605E-05	        1.030892E-05	        7.872311E-05	        2.127642E-06	        5.833260E-06	        2.174012E-06	        3.679590E-10	        4.296127E-07	        1.933791E-11	        4.910991E-06	        3.013186E-10	        1.699410E-11	        5.891970E-13	        1.768370E-12	        2.470670E-11	        6.772151E-06	        8.708513E-05	        7.307426E-13	        3.012045E-10	        6.108570E-10	        6.268377E-08	        5.051065E-07	        5.073652E-08	        1.369837E-07
        7.002200E-03	        1.955258E-05	        7.162091E-05	        1.230075E-03	        5.663700E-04	        1.348294E-04	        6.767597E-06	        4.037182E-07	        1.017623E-04	        1.578268E-04	        1.159871E-04	        5.711446E-07	        2.998613E-06	        7.086430E-12	        4.861919E-03	        3.891659E-11	        7.309405E-05	        1.471436E-06	        1.512360E-12	        4.445297E-03	        2.699444E-08	        7.227861E-08	        2.273192E-08	        4.275151E-04	        4.632991E-08	        8.976260E-12	        4.516131E-05	        3.440504E-05	        9.632940E-16	        7.276154E-01	        7.093043E-05	        4.373713E-04	        4.830830E-05	        8.166979E-07	        2.338033E-02	        2.967519E-10	        1.285905E-08	        4.887414E-07	        1.183233E-02	        1.147263E-02	        4.140565E-03	        2.397482E-03	        2.287043E-06	        4.182781E-11	        2.272132E-04	        2.304717E-04	        2.761211E-03	        8.579960E-12	        2.993423E-01	        2.218889E-10	        4.667353E-02	        9.118114E-09	        5.058749E-02	        6.961764E-04	        1.690781E-01	        6.460705E-01	        6.822771E-04	        0.000000E+00	        1.063260E-01	        1.733893E-02	        2.585528E-06	        2.261714E-15	        0.000000E+00	        7.082792E-05	        1.118057E-02	        3.174646E-05	        1.399604E+00	        1.345810E-10	        1.029115E-06	        3.231889E-11	        0.000000E+00	        3.481677E-02	        1.488649E-11	        2.903909E-05	        4.042420E-07	        1.159312E-06	        6.009332E-07	        4.049466E-06	        2.129024E-06	        6.446804E-10	        3.565850E-06	        4.008895E-08	        1.150711E-05	        2.445408E-06	        1.561950E-06	        1.000519E-06	        4.456889E-06	        2.921278E-07	        9.687770E-07	        3.556944E-07	        3.626410E-12	        1.080205E-08	        1.078932E-11	        2.549740E-06	        1.012880E-09	        5.245605E-12	        4.250620E-13	        3.871917E-13	        2.008390E-12	        2.214580E-06	        3.022108E-06	        1.531915E-13	        9.735107E-12	        2.782840E-11	        8.728511E-09	        7.366302E-08	        6.993201E-10	        2.234927E-09
        8.000490E-03	        1.573600E-05	        5.050295E-05	        1.181504E-03	        4.570991E-04	        9.972065E-05	        9.654397E-08	        2.295062E-07	        7.491773E-05	        1.135291E-04	        1.102111E-04	        6.106083E-08	        1.819044E-06	        2.449720E-13	        4.003738E-03	        1.251959E-11	        6.003940E-05	        2.445548E-07	        1.315930E-13	        3.663282E-03	        6.589516E-09	        1.070202E-08	        4.008644E-09	        3.548067E-04	        3.905628E-08	        6.113880E-12	        7.565189E-05	        2.526804E-05	        2.520130E-16	        6.668406E-01	        6.460170E-05	        3.520408E-04	        7.715615E-05	        7.994485E-08	        1.932121E-02	        1.619332E-10	        6.708283E-09	        9.206307E-08	        1.021518E-02	        9.478429E-03	        3.990605E-03	        3.353874E-05	        5.800724E-08	        1.371770E-11	        2.174404E-04	        4.932776E-04	        4.604264E-04	        6.449092E-12	        2.540635E-01	        1.567888E-11	        1.106083E-02	        5.831693E-09	        1.436562E-02	        6.617019E-04	        1.474760E-01	        5.934114E-01	        6.483021E-04	        0.000000E+00	        8.698926E-02	        1.439030E-02	        1.676496E-06	        2.484223E-16	        0.000000E+00	        5.741957E-05	        9.656045E-03	        2.567683E-05	        1.254010E+00	        6.463975E-12	        4.075615E-08	        1.037847E-11	        0.000000E+00	        1.237353E-03	        1.217267E-11	        2.512648E-05	        5.480132E-07	        9.393006E-07	        4.898708E-07	        3.925273E-06	        1.723410E-06	        5.777447E-10	        3.390486E-06	        3.364208E-08	        1.018790E-05	        2.115392E-06	        1.099059E-06	        7.225216E-07	        4.791790E-06	        2.404077E-07	        7.659211E-07	        2.593837E-07	        1.480700E-12	        4.728391E-09	        1.096150E-11	        2.723772E-06	        2.159170E-09	        5.805406E-12	        5.254140E-13	        6.574137E-13	        1.858440E-12	        2.293330E-06	        1.483917E-06	        2.379304E-13	        5.174178E-12	        1.697390E-11	        6.149782E-09	        5.645786E-08	        2.462118E-10	        9.203947E-10
        9.000720E-03	        3.462225E-06	        2.748897E-05	        1.118668E-03	        1.113543E-04	        9.200438E-05	        2.451376E-07	        1.161174E-07	        4.585743E-05	        7.103020E-05	        1.328662E-04	        4.006779E-08	        7.171586E-07	        2.184650E-14	        1.231323E-03	        8.137327E-12	        3.183752E-05	        1.781045E-07	        1.541850E-14	        1.265541E-03	        9.798154E-10	        4.154846E-09	        2.328669E-09	        8.392248E-05	        3.050388E-08	        6.976270E-13	        1.194638E-04	        1.372740E-05	        1.666240E-16	        6.009877E-01	        1.900600E-04	        7.660650E-05	        1.201385E-04	        3.870080E-08	        5.683027E-03	        3.536987E-11	        1.516801E-09	        2.054459E-08	        5.033246E-03	        2.809649E-03	        3.783268E-03	        1.018157E-04	        1.015715E-07	        9.264675E-12	        2.349073E-04	        1.997139E-03	        1.216209E-03	        6.718060E-12	        1.994151E-01	        1.008774E-11	        4.881620E-03	        1.398454E-09	        1.131786E-02	        7.943147E-04	        1.237167E-01	        5.283790E-01	        7.815631E-04	        0.000000E+00	        6.410188E-02	        1.029573E-02	        7.646415E-07	        7.114734E-16	        0.000000E+00	        4.296187E-05	        4.725634E-03	        1.440947E-05	        1.133253E+00	        8.586804E-13	        5.470013E-08	        2.348206E-12	        0.000000E+00	        1.767094E-03	        7.563565E-12	        2.044637E-05	        9.121147E-07	        8.283393E-07	        4.487757E-07	        3.965528E-06	        1.438627E-06	        6.884116E-10	        3.199661E-06	        3.512295E-08	        9.530359E-06	        1.990589E-06	        7.805757E-07	        5.469313E-07	        1.327521E-06	        3.080537E-07	        6.797927E-07	        1.561843E-07	        4.947060E-13	        1.846932E-09	        4.099860E-12	        1.622044E-06	        4.545840E-09	        2.505934E-12	        4.323250E-13	        7.332524E-13	        3.539890E-21	        1.286580E-06	        5.550764E-07	        1.946497E-13	        1.379618E-12	        1.070897E-11	        3.552797E-09	        4.788456E-08	        6.814605E-11	        3.127247E-10
        1.000530E-02	        7.354093E-08	        1.823573E-07	        1.054095E-03	        2.341834E-06	        8.442392E-05	        1.091023E-06	        1.485099E-09	        5.516397E-07	        1.364494E-06	        2.365050E-04	        2.684784E-08	        6.476924E-09	        9.139680E-18	        4.528127E-05	        3.367834E-12	        2.502799E-05	        1.143199E-07	        6.521220E-18	        3.054661E-04	        4.491685E-13	        9.317811E-11	        3.989243E-11	        2.654146E-06	        1.570549E-09	        1.514220E-15	        2.652034E-04	        1.825544E-06	        2.313290E-19	        5.350811E-01	        2.532506E-04	        1.662036E-06	        2.652157E-04	        2.603172E-09	        2.307632E-04	        8.459378E-14	        3.519268E-12	        7.745387E-11	        3.802068E-03	        1.136633E-04	        3.576855E-03	        3.570583E-04	        1.929063E-07	        3.614809E-12	        4.445515E-04	        6.577830E-04	        8.969732E-04	        1.534419E-12	        1.475129E-01	        1.033689E-14	        5.344282E-03	        1.614090E-11	        1.169809E-02	        1.417199E-03	        1.012388E-01	        4.704092E-01	        1.391200E-03	        0.000000E+00	        3.973671E-02	        6.456201E-03	        1.099736E-08	        8.635233E-18	        0.000000E+00	        1.901212E-05	        3.508653E-03	        1.296139E-05	        1.012792E+00	        1.786252E-15	        1.047010E-07	        2.475738E-15	        0.000000E+00	        4.769802E-03	        2.132821E-12	        1.586325E-05	        2.404528E-06	        2.589450E-07	        2.148578E-07	        4.142404E-06	        9.339774E-07	        2.676807E-10	        3.010575E-06	        9.177342E-09	        8.400668E-06	        1.963837E-06	        9.763045E-08	        1.327637E-07	        1.984680E-07	        9.984464E-08	        2.534809E-07	        6.905378E-10	        4.237340E-16	        9.035842E-11	        1.863054E-14	        5.735723E-07	        2.027010E-08	        1.424137E-15	        2.037130E-14	        1.642760E-12	       -3.646400E-70	        2.487980E-08	        3.060092E-10	        3.443524E-13	        3.786202E-14	        3.482150E-13	        1.734156E-11	        1.765822E-08	        2.892611E-14	        9.514723E-14
