Reactions	Percentage
R506: HNO+NH=NO+NH2	-0.004244243549496538
R462: NH+NH=N+NH2	-0.006756617943982876
R463: NH+NH=N2+H2	-0.008736879223011855
R480: NH2+NH=H+N2H2	-0.015147399642234265
R472: NH2(+M)=H+NH(+M)	-0.048631894949469255
R459: NH+NH=N2+H+H	-0.07863176527111049
R461: NH+N=H+N2	-0.08435905062933931
R493: NH+NO=OH+N2	-0.33414372616273585
R464: NH+O2=OH+NO	-0.6422630778047482
R496: NH+NO=H+N2O	-1.0804959569630237
R460: NH+O=OH+N	-1.4458678385056827
R468: NH+O2=O+HNO	-1.9972229685406553
R465: NH+OH=H2O+N	-11.550758828589547
R467: NH+OH=H+HNO	-18.156051190933304
R466: NH+O=H+NO	-31.520433080548017
R458: NH+H=H2+N	-33.02464905111656
