Reactions	Percentage
R537: NNH+NO=HNO+N2	-0.011848173951111738
R579: C2H3+NO=CH2O+HCN	-0.012419982374387833
R645: NCN+NO=N2O+CN	-0.01255777114463636
R495: NH2+NO=OH+NNH	-0.1503962512078867
R492: NH2+NO=H2O+N2	-0.25783917762751807
R577: CH+NO=OH+CN	-0.4841892511519924
R575: TXCH2+NO=OH+HCN	-0.5861583732936385
R621: NCO+NO=CO2+N2	-0.6194967788903286
R573: CH3+NO=OH+H2CN	-0.6866746021702228
R580: CH3+NO=H2O+HCN	-0.6978645685328473
R493: NH+NO=OH+N2	-1.165618617527402
R574: HCCO+NO=CO2+HCN	-2.298875224989519
R578: SXCH2+NO=OH+HCN	-3.135785481499196
R496: NH+NO=H+N2O	-3.769175073440724
R576: CH+NO=H+NCO	-7.92411273916572
R508: HNO=NO+H	-12.803629210877238
R497: N+NO=O+N2	-30.61561313919981
R572: CH+NO=O+HCN	-34.76774558295583
