Reactions	Percentage
R563: NH+N2O=HNO+N2	-0.0011889895257686711
R462: NH+NH=N+NH2	-0.0027320732420839924
R634: HNCO+NH=NCO+NH2	0.0037837670830120533
R628: HNCO(+M)=NH+CO(+M)	-0.004441301983791704
R463: NH+NH=N2+H2	-0.005328214841002249
R506: HNO+NH=NO+NH2	-0.006372654588361039
R640: NCN+OH=NH+NCO	0.008821163731032922
R461: NH+N=H+N2	-0.015095775560001015
R480: NH2+NH=H+N2H2	-0.01532022058790808
R472: NH2(+M)=H+NH(+M)	-0.031025665220378692
R545: NNH+O=NO+NH	-0.044636160795293985
R459: NH+NH=N2+H+H	-0.047953853070839374
R493: NH+NO=OH+N2	-0.5113824035886088
R460: NH+O=OH+N	-0.7808625412753673
R479: NH2+O=OH+NH	1.0262213990638573
R464: NH+O2=OH+NO	-1.243025539642559
R626: HNCO+O=CO2+NH	1.3422818091121473
R601: HNC+O=CO+NH	1.6014895739378414
R496: NH+NO=H+N2O	-1.8583886509361287
R468: NH+O2=O+HNO	-2.8187182640472828
R481: NH2+OH=H2O+NH	2.8573360588478693
R483: NH2+H=H2+NH	2.8858465020581785
R465: NH+OH=H2O+N	-5.883362495567299
R458: NH+H=H2+N	-7.360065399481121
R593: HCN+O=CO+NH	8.107535282876297
R467: NH+OH=H+HNO	-12.711536164937264
R466: NH+O=H+NO	-17.832146197470855
R624: NCO+H=NH+CO	30.989964277161995
