Reactions	Percentage
R825: NH2+NO2=H2O+N2O	-0.001026386127737778
R769: NH2+NH2=NH+NH3	-0.0014349271312806367
R933: HNCO+NH=NCO+NH2	-0.0014823436947625805
R771: NH2(+M)=H+NH(+M)	0.0028842249166839253
R822: NH2+NO2=NO+H2NO	-0.003963311407041684
R869: CH3+NH2=CH3NH2	0.006646845157018092
R810: H2NO+H=OH+NH2	0.00720948416684365
R919: NCO+NH3=NH2+HNCO	0.009135198814465485
R786: NH3(+M)=H+NH2(+M)	-0.010163550249308196
R890: HCN+OH=CO+NH2	0.024751515643060523
R794: NH2+NO=OH+NNH	-0.08276243306396533
R793: NH2+NO=H2O+N2	0.08944769579863195
R926: HNCO+H=CO+NH2	0.1319562834131927
R791: NH2+NO=H2O+N2	-0.21456540949069472
R781: NH2+O2=OH+HNO	-0.3372414073114163
R782: NH2+H=H2+NH	-0.36755231529319216
R784: NH3+H=H2+NH2	0.5949472132324712
R776: NH2+HO2=O2+NH3	-0.8150855014956467
R768: NH2+HO2=OH+H2NO	-1.046910386865766
R770: NH2+O2=O+H2NO	-1.3126470382871422
R785: NH3+O=OH+NH2	4.266080857780725
R780: NH2+OH=H2O+NH	-5.687631934746562
R778: NH2+O=OH+NH	-7.033540507366228
R773: NH2+O=H+HNO	-8.009624606664325
R774: NH2+O=H+HNO	-20.44270865734197
R783: NH3+OH=NH2+H2O	49.49448132152309
