Reactions	Percentage
R876: CH+NO=OH+CN	-0.0010690041620097664
R905: H2CN+O2=NO+CH2O	0.0014078568598445242
R872: CH3+NO=OH+H2CN	-0.0014466645304953534
R879: CH3+NO=H2O+HCN	-0.0014578323989514863
R878: C2H3+NO=CH2O+HCN	-0.0014903227141078923
R917: NCO+HNO=NO+HNCO	0.001692401811922674
R806: HNO+NO=OH+N2O	0.003482787936762885
R874: TXCH2+NO=OH+HCN	-0.004575541722623014
R792: NH+NO=OH+N2	-0.004909825971492252
R941: NCN+OH=NO+HCN	0.006271865815504374
R875: CH+NO=H+NCO	-0.017492934065626634
R921: NCO+OH=NO+CO+H	0.020061132238558304
R877: SXCH2+NO=OH+HCN	-0.0233023438866003
R871: CH+NO=O+HCN	-0.07677285346089995
R794: NH2+NO=OH+NNH	-0.11500358251174125
R793: NH2+NO=H2O+N2	0.12429317364694493
R844: NNH+O=NO+NH	0.12641032734441351
R873: HCCO+NO=CO2+HCN	-0.1451338616268785
R795: NH+NO=H+N2O	0.1590258701349258
R920: NCO+NO=CO2+N2	-0.24517713196407082
R791: NH2+NO=H2O+N2	-0.2981520704624194
R796: N+NO=O+N2	0.3087848953460137
R946: NCN+O=NO+CN	0.5210133581598703
R807: HNO=NO+H	0.5534125787182854
R755: N+OH=H+NO	0.7629987494277599
R884: CN+O2=CO+NO	1.1278674608098898
R797: HNO+H=H2+NO	1.2748650575477771
R754: N+O2=O+NO	1.5892327895965803
R857: N2O+O=NO+NO	2.6944020557714743
R798: HNO+O=OH+NO	3.8627017990234753
R765: NH+O=H+NO	4.290728425614638
R800: HNO+OH=H2O+NO	6.355294199435672
R763: NH+O2=OH+NO	10.030835012972016
R922: NCO+O2=CO2+NO	19.212857695776727
R802: HNO+O2=HO2+NO	46.032761863728524
