Reactions	Percentage
R989: H+CHCHCN=HCN+C2H2	0.0012297816030609513
R888: CH2O+CN=HCN+HCO	0.0025700426005884724
R938: CH+N2O=NO+HCN	0.004288991607916949
R904: H2CN+OH=H2O+HCN	0.0051843358514713864
R903: H2CN+O=OH+HCN	0.012518006099757294
R902: H2CN+H=H2+HCN	0.013268253788025925
R865: TXCH2+N=H+HCN	0.013956497351102118
R879: CH3+NO=H2O+HCN	0.014787591427223782
R878: C2H3+NO=CH2O+HCN	0.0151171584653965
R934: HCN+N2=N2+CN+H	0.016000476502605825
R895: HCN(+M)=CN+H(+M)	0.02318080357459213
R874: TXCH2+NO=OH+HCN	0.04641222242078628
R864: HCCO+N=CO+HCN	0.04926313747412893
R910: C2H2+NCO=HCN+HCCO	0.05892323433944075
R882: CH4+CN=HCN+CH3	0.058946501889786784
R941: NCN+OH=NO+HCN	0.06361896554964461
R880: C2H6+CN=HCN+C2H5	0.09951720540581754
R907: H2CN=H+HCN	0.12264993755342685
R877: SXCH2+NO=OH+HCN	0.23636841994974636
R940: NCN+H=N+HCN	0.4288646491141482
R871: CH+NO=O+HCN	0.7787490458426091
R952: C5H5NO=C2H2+CH2CO+HCN	1.0548739163742673
R873: HCCO+NO=CO2+HCN	1.472172143750615
R972: PYRLYL=HCN+C3H3	2.3435101757315344
R959: C5H4NO2=CO+CO+C2H3+HCN	93.06240842465692
