Reactions	Percentage
R878: C2H3+NO=CH2O+HCN	-0.0013816325445112159
R905: H2CN+O2=NO+CH2O	0.0014140654725876124
R854: N2H2+O=NO+NH2	0.0014277152054984683
R804: NH2+HNO=NO+NH3	0.00199026185992561
R796: N+NO=O+N2	-0.001992158150329118
R872: CH3+NO=OH+H2CN	-0.0020075172281751753
R879: CH3+NO=H2O+HCN	-0.0020123105702875227
R874: TXCH2+NO=OH+HCN	-0.0028376521984860136
R917: NCO+HNO=NO+HNCO	0.002932793873230914
R875: CH+NO=H+NCO	-0.004459086630266772
R792: NH+NO=OH+N2	-0.008078251393431954
R877: SXCH2+NO=OH+HCN	-0.008184152985977643
R857: N2O+O=NO+NO	0.009490458567759617
R871: CH+NO=O+HCN	-0.01956983455892554
R921: NCO+OH=NO+CO+H	0.021673106763591635
R795: NH+NO=H+N2O	-0.031909360155160924
R793: NH2+NO=H2O+N2	0.19778393335566968
R794: NH2+NO=OH+NNH	-0.19778396350816457
R873: HCCO+NO=CO2+HCN	-0.19970769268201996
R755: N+OH=H+NO	0.23339035121403995
R920: NCO+NO=CO2+N2	-0.3422202636057685
R791: NH2+NO=H2O+N2	-0.4748794816400317
R807: HNO=NO+H	0.8248878331504258
R797: HNO+H=H2+NO	0.839560640212832
R754: N+O2=O+NO	0.8431120010607425
R884: CN+O2=CO+NO	1.2139506006146243
R765: NH+O=H+NO	2.987530300251027
R798: HNO+O=OH+NO	3.226491837488041
R800: HNO+OH=H2O+NO	7.150172677026272
R763: NH+O2=OH+NO	11.269467827150505
R922: NCO+O2=CO2+NO	20.856209341586535
R802: HNO+O2=HO2+NO	49.020509021676354
