Reactions	Percentage
R932: HNCO+O2=CO2+HNO	0.0031649139444256355
R808: H2NO+NH2=NH3+HNO	0.0035385558186058863
R814: H2NO(+M)=H+HNO(+M)	0.004787576115330245
R831: HONO+H=OH+HNO	0.011423896044770294
R816: H2NO+H=H2+HNO	0.04784384030744612
R811: H2NO+HO2=H2O2+HNO	0.18108373642600964
R781: NH2+O2=OH+HNO	0.8905641121379834
R815: H2NO+OH=H2O+HNO	1.0634828616726126
R766: NH+OH=H+HNO	2.464611002781063
R812: H2NO+O=OH+HNO	2.9067149724028534
R809: H2NO+O2=HO2+HNO	4.62722565801438
R773: NH2+O=H+HNO	18.571065565204815
R767: NH+O2=O+HNO	21.76779753279721
R774: NH2+O=H+HNO	47.455761007799076
