Reactions	Percentage
R537: NNH+NO=HNO+N2	-0.0131313075707431
R645: NCN+NO=N2O+CN	-0.01346725707240041
R579: C2H3+NO=CH2O+HCN	-0.024807622032237835
R495: NH2+NO=OH+NNH	-0.34748199026711946
R492: NH2+NO=H2O+N2	-0.5825685499124422
R621: NCO+NO=CO2+N2	-0.7196952025470409
R577: CH+NO=OH+CN	-0.7309453527962486
R493: NH+NO=OH+N2	-1.2585973367060368
R575: TXCH2+NO=OH+HCN	-1.3768513858028595
R573: CH3+NO=OH+H2CN	-2.2666496010611343
R580: CH3+NO=H2O+HCN	-2.2967981903679933
R496: NH+NO=H+N2O	-2.911891222490568
R574: HCCO+NO=CO2+HCN	-5.181825346814373
R578: SXCH2+NO=OH+HCN	-6.293615510334702
R508: HNO=NO+H	-11.543003178936855
R576: CH+NO=H+NCO	-11.964780227471326
R572: CH+NO=O+HCN	-52.47389071781592
