Reactions	Percentage
R938: CH+N2O=NO+HCN	0.0013534415958021302
R888: CH2O+CN=HCN+HCO	0.0015357353926010934
R879: CH3+NO=H2O+HCN	0.0028812756083959235
R904: H2CN+OH=H2O+HCN	0.0030971829294939826
R903: H2CN+O=OH+HCN	0.004360972599485333
R865: TXCH2+N=H+HCN	0.006236168280206193
R902: H2CN+H=H2+HCN	0.006528478101842014
R910: C2H2+NCO=HCN+HCCO	0.006730896352176853
R934: HCN+N2=N2+CN+H	0.00971661673243102
R874: TXCH2+NO=OH+HCN	0.018007210142408667
R864: HCCO+N=CO+HCN	0.018232249081373476
R907: H2CN=H+HCN	0.025542229583218556
R895: HCN(+M)=CN+H(+M)	0.029458400254525476
R882: CH4+CN=HCN+CH3	0.045564134459267214
R941: NCN+OH=NO+HCN	0.06705272164412748
R897: HCN+O=OH+CN	-0.0743293651800671
R877: SXCH2+NO=OH+HCN	0.12818729553206612
R880: C2H6+CN=HCN+C2H5	0.144170236656509
R940: NCN+H=N+HCN	0.3447322005221703
R873: HCCO+NO=CO2+HCN	0.5381925831802044
R890: HCN+OH=CO+NH2	-0.5851406054594298
R871: CH+NO=O+HCN	0.6923573056592257
R889: CN+H2=H+HCN	-1.3620258645227883
R891: HCN+OH=H+HNCO	-3.3391181732373534
R892: HCN+O=CO+NH	-11.247536144663417
R896: HCN+OH=H2O+CN	-36.96305306462735
R894: HCN+O=H+NCO	-44.331301161292494
