       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolC_AR  	        VolC_N2  	      VolC_A1CO  	      VolC_H2O2  	        VolC_CH  	     VolC_T-CH2  	VolC_CVCCVCCJVO  	    VolC_CH2CHO  	     VolC_CH2OH  	       VolC_A1-  	   VolC_TXC5H5O  	    VolC_OC6H4O  	   VolC_C2H3CHO  	    VolC_N-C4H5  	   VolC_C5H4CH2  	      VolC_C3H3  	     VolC_S-CH2  	     VolC_A1CHO  	    VolC_A1CH2O  	VolC_C6H5CYCH2O  	  VolC_C6H5OCH2  	   VolC_C5H4CH3  	      VolC_C5H6  	 VolC_C5H5CH3-1  	      VolC_C3H2  	    VolC_A-C3H4  	      VolC_A1OH  	  VolC_C6H6O-24  	     VolC_CH2CO  	      VolC_HCCO  	      VolC_C2H3  	       VolC_CH4  	      VolC_C2H6  	    VolC_A-C3H5  	      VolC_C3H6  	      VolC_CH3O  	      VolC_C2H2  	      VolC_C5H5  	         VolC_O  	        VolC_A1  	       VolC_HCO  	      VolC_CH2O  	       VolC_HO2  	         VolC_H  	      VolC_C2H4  	      VolC_C2H5  	       VolC_A1O  	       VolC_CH3  	        VolC_OH  	        VolC_CO  	  VolC_C6H5OCH3  	       VolC_CO2  	        VolC_O2  	        VolC_H2  	       VolC_H2O  	  VolC_OC8H7OOH  	      VolC_N2H2  	       VolC_NNH  	       VolC_NH2  	        VolC_NH  	       VolC_HNO  	      VolC_HONO  	         VolC_N  	      VolC_H2NO  	       VolC_N2O  	       VolC_NH3  	        VolC_NO  	       VolC_NO2  	       VolC_HCN  	       VolC_HNC  	        VolC_CN  	      VolC_HNCO  	       VolC_NCO  	       VolC_NCN  	    VolC_CH3NH2  	      VolC_H2CN  	     VolC_C5H5N  	     VolC_C5H4N  	    VolC_C5H5NO  	    VolC_C5H4NO  	   VolC_C5H4NO2  	    VolC_PYRLYL  	  VolC_BNC4H4CO  	    VolC_C4H4CN  	    VolC_CHCHCN  	     VolC_C4H5N  	   VolC_CH2CHCN  	      VolC_C2N2  	      VolC_HNCN  	      VolC_HOCN  	     VolC_CH3CN  	     VolC_CH2CN
    1.00000E-03  	    1.39989E+03  	    2.51202E-01  	    1.01325E+05  	    0.00000E+00  	    6.87696E-03  	    0.00000E+00  	    1.02015E-21  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.52424E-23  	    0.00000E+00  	    3.04873E-23  	    0.00000E+00  	    6.52428E-18  	    6.48718E-21  	    4.69735E-23  	    0.00000E+00  	    2.86756E-19  	    0.00000E+00  	    8.00915E-23  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.21816E-22  	    0.00000E+00  	    0.00000E+00  	    1.63510E-19  	    4.20851E-22  	    2.94645E-23  	    2.16835E-18  	    0.00000E+00  	    0.00000E+00  	    3.34754E-16  	    0.00000E+00  	    1.13289E-19  	    9.38399E-17  	    5.22054E-15  	    2.54160E-18  	    3.73468E-17  	    7.44776E-14  	    8.17476E-23  	    8.41693E-20  	    1.98015E-14  	    1.97156E-15  	    2.17961E-18  	    1.36947E-16  	    0.00000E+00  	    4.29160E-18  	    1.07509E-17  	    1.87411E-14  	    2.56614E-14  	    9.38986E-18  	    1.27432E-14  	    1.82844E-03  	    2.53982E-13  	    5.69594E-15  	    1.12789E-17  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.66045E-14  	    6.77876E-18  	    9.28483E-25  	    0.00000E+00  	    5.40072E-18  	    1.12287E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.27006E-17  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.00000E-03  	    1.39976E+03  	    2.51227E-01  	    1.01325E+05  	    0.00000E+00  	    6.87763E-03  	    0.00000E+00  	    1.35089E-19  	    0.00000E+00  	    1.24639E-22  	    4.83114E-24  	    3.24545E-20  	    0.00000E+00  	    2.61672E-21  	    4.81737E-22  	    5.36673E-16  	    4.59612E-18  	    1.22937E-19  	    0.00000E+00  	    2.51555E-17  	    1.36492E-24  	    8.45597E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.78602E-23  	    1.60149E-19  	    5.45269E-22  	    0.00000E+00  	    2.81296E-17  	    7.22055E-19  	    1.11940E-19  	    2.54793E-16  	    0.00000E+00  	    3.58424E-21  	    2.29389E-14  	    4.10596E-23  	    1.38905E-17  	    6.34390E-15  	    3.89559E-14  	    2.89305E-16  	    2.80881E-15  	    3.90122E-13  	    1.57604E-20  	    1.73861E-18  	    2.96612E-13  	    3.41691E-14  	    3.09774E-16  	    9.27727E-15  	    2.59297E-21  	    1.64920E-16  	    6.43268E-16  	    2.81781E-13  	    4.15272E-13  	    3.87173E-16  	    1.76095E-13  	    1.82862E-03  	    3.93260E-12  	    8.25021E-14  	    4.67985E-16  	    0.00000E+00  	    1.11536E-22  	    4.38032E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.25926E-14  	    4.46021E-16  	    6.60724E-20  	    0.00000E+00  	    3.60715E-16  	    1.63773E-18  	    0.00000E+00  	    0.00000E+00  	    3.54428E-21  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.49540E-15  	    1.93850E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.16203E-22  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.66180E-24  	    0.00000E+00  	    0.00000E+00
    3.10000E-03  	    1.39960E+03  	    2.51256E-01  	    1.01325E+05  	    0.00000E+00  	    6.87843E-03  	    0.00000E+00  	    5.74846E-18  	    0.00000E+00  	    3.82651E-20  	    7.81161E-21  	    5.31774E-18  	    1.27582E-21  	    3.77009E-19  	    1.03644E-19  	    1.79919E-14  	    8.52419E-16  	    2.15555E-17  	    2.22790E-19  	    8.74152E-16  	    6.99371E-22  	    1.77216E-17  	    3.06121E-23  	    0.00000E+00  	    2.21117E-22  	    1.81277E-19  	    2.05578E-17  	    4.97628E-19  	    0.00000E+00  	    1.57516E-15  	    7.88057E-17  	    2.31093E-17  	    1.15675E-14  	    3.99263E-20  	    9.13349E-19  	    7.40116E-13  	    3.49059E-19  	    7.31773E-16  	    2.01555E-13  	    2.12002E-13  	    1.27945E-14  	    8.90740E-14  	    2.49772E-12  	    4.56046E-18  	    2.13605E-17  	    2.50667E-12  	    3.25443E-13  	    6.42673E-16  	    2.96213E-13  	    5.42797E-19  	    3.29292E-15  	    1.73353E-14  	    2.37232E-12  	    4.03174E-12  	    8.51128E-15  	    1.53802E-12  	    1.82883E-03  	    3.48956E-11  	    8.41613E-13  	    1.10669E-14  	    0.00000E+00  	    8.97538E-23  	    1.07722E-17  	    1.05943E-21  	    1.12691E-20  	    0.00000E+00  	    0.00000E+00  	    4.04596E-19  	    5.02875E-14  	    1.36627E-14  	    3.48955E-18  	    0.00000E+00  	    1.12677E-14  	    6.16744E-17  	    0.00000E+00  	    1.94118E-20  	    1.64548E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.65237E-14  	    2.79182E-18  	    0.00000E+00  	    6.36011E-22  	    1.88556E-23  	    7.59961E-20  	    0.00000E+00  	    5.67209E-23  	    0.00000E+00  	    4.40653E-24  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.09209E-20  	    0.00000E+00  	    0.00000E+00
    4.10000E-03  	    1.39945E+03  	    2.51283E-01  	    1.01325E+05  	    0.00000E+00  	    6.87917E-03  	    6.34379E-23  	    1.07346E-16  	    0.00000E+00  	    2.13311E-18  	    3.88733E-19  	    2.11271E-16  	    1.13019E-19  	    1.94200E-19  	    4.32798E-18  	    2.28071E-13  	    4.37188E-14  	    1.00127E-15  	    4.29895E-17  	    1.11748E-14  	    3.62738E-20  	    7.87744E-16  	    1.37786E-21  	    0.00000E+00  	    6.81438E-21  	    2.38043E-17  	    1.03384E-15  	    5.96611E-17  	    6.54431E-20  	    3.54885E-14  	    3.53407E-15  	    6.09290E-16  	    1.89266E-13  	    2.96594E-18  	    3.65868E-17  	    9.46772E-12  	    5.88333E-17  	    1.81992E-14  	    2.52234E-12  	    7.44021E-13  	    2.01387E-13  	    1.07168E-12  	    1.15711E-11  	    2.10892E-16  	    1.92506E-16  	    1.27897E-11  	    1.93861E-12  	    5.06973E-15  	    3.75732E-12  	    2.25192E-17  	    2.90506E-14  	    1.97582E-13  	    1.19186E-11  	    2.35707E-11  	    8.32747E-14  	    8.66990E-12  	    1.82903E-03  	    1.73278E-10  	    6.17516E-12  	    1.15592E-13  	    0.00000E+00  	    8.04558E-22  	    4.94627E-16  	    1.59542E-19  	    1.66164E-18  	    3.18652E-23  	    0.00000E+00  	    2.66655E-17  	    6.93129E-14  	    1.67705E-13  	    1.26665E-16  	    3.55862E-21  	    1.42149E-13  	    8.40636E-16  	    1.05404E-20  	    2.53676E-18  	    7.88662E-17  	    0.00000E+00  	    2.61937E-20  	    0.00000E+00  	    5.78674E-13  	    1.16639E-16  	    0.00000E+00  	    3.05234E-20  	    1.88252E-21  	    3.51844E-18  	    1.18375E-21  	    2.02024E-20  	    0.00000E+00  	    1.50967E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.52466E-18  	    1.18567E-20  	    0.00000E+00
    5.00000E-03  	    1.39931E+03  	    2.51308E-01  	    1.01325E+05  	    0.00000E+00  	    6.87984E-03  	    4.12425E-21  	    1.86345E-15  	    0.00000E+00  	    4.66767E-17  	    8.42244E-18  	    4.08348E-15  	    3.26488E-18  	    2.79205E-18  	    8.95651E-17  	    1.56268E-12  	    9.38668E-13  	    1.95350E-14  	    2.18076E-15  	    7.38824E-14  	    1.02210E-18  	    1.52838E-14  	    2.29163E-20  	    1.39033E-23  	    1.08481E-19  	    9.52538E-16  	    2.65693E-14  	    2.25733E-15  	    6.41199E-19  	    5.03747E-13  	    7.50736E-14  	    1.17381E-14  	    1.66670E-12  	    8.13570E-17  	    8.15011E-16  	    6.64648E-11  	    3.01064E-15  	    2.85594E-13  	    1.69229E-11  	    1.94963E-12  	    1.63753E-12  	    6.63424E-12  	    4.22931E-11  	    4.13636E-15  	    1.58415E-15  	    4.94663E-11  	    1.00450E-11  	    5.58666E-14  	    2.61586E-11  	    4.24312E-16  	    1.55731E-13  	    1.42053E-12  	    4.69647E-11  	    1.06210E-10  	    4.81936E-13  	    3.81852E-11  	    1.82920E-03  	    6.05900E-10  	    3.77750E-11  	    7.00386E-13  	    1.08634E-22  	    2.28980E-20  	    1.02465E-14  	    6.67482E-18  	    7.13995E-17  	    1.12401E-20  	    1.64465E-21  	    7.07346E-16  	    9.77177E-14  	    1.14034E-12  	    3.41339E-15  	    1.73608E-18  	    1.02197E-12  	    6.31122E-15  	    4.24820E-19  	    1.09427E-16  	    1.76489E-15  	    0.00000E+00  	    5.94125E-18  	    3.84479E-22  	    3.96833E-12  	    2.44774E-15  	    0.00000E+00  	    6.54770E-19  	    4.45589E-20  	    7.45097E-17  	    3.82599E-20  	    5.41950E-19  	    7.91977E-22  	    2.42743E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    9.42372E-17  	    1.13907E-18  	    7.24477E-21
    6.00000E-03  	    1.39916E+03  	    2.51334E-01  	    1.01325E+05  	    0.00000E+00  	    6.88057E-03  	    2.13115E-19  	    7.06794E-14  	    4.21547E-21  	    1.05001E-15  	    1.53483E-16  	    7.41124E-14  	    1.23212E-16  	    6.31266E-17  	    1.53178E-15  	    9.54856E-12  	    1.67445E-11  	    2.99444E-13  	    9.44978E-14  	    4.18783E-13  	    3.07418E-17  	    2.80346E-13  	    3.16293E-19  	    3.55546E-22  	    1.47314E-18  	    2.66005E-14  	    8.23345E-13  	    5.66114E-14  	    4.05670E-18  	    8.80238E-12  	    1.89241E-12  	    3.17730E-13  	    1.56448E-11  	    2.83669E-15  	    2.26615E-14  	    4.24162E-10  	    1.51191E-13  	    4.75518E-12  	    9.32081E-11  	    4.92428E-12  	    1.22913E-11  	    2.90031E-11  	    1.80379E-10  	    7.62439E-14  	    1.94589E-14  	    2.03038E-10  	    7.00098E-11  	    8.06612E-13  	    1.64522E-10  	    6.80087E-15  	    5.83875E-13  	    1.16968E-11  	    2.33114E-10  	    5.88606E-10  	    2.59062E-12  	    1.87647E-10  	    1.82940E-03  	    2.09662E-09  	    3.22985E-10  	    3.97063E-12  	    3.11903E-19  	    4.54634E-19  	    1.88336E-13  	    3.13240E-16  	    3.30252E-15  	    2.01623E-18  	    3.12044E-19  	    2.61460E-14  	    1.81452E-13  	    7.08200E-12  	    1.29524E-13  	    5.55503E-16  	    7.60495E-12  	    4.84157E-14  	    1.23204E-17  	    7.67097E-15  	    4.27338E-14  	    3.40462E-20  	    7.91185E-16  	    4.73775E-20  	    2.45811E-11  	    5.56516E-14  	    1.50192E-22  	    1.66968E-17  	    9.60356E-19  	    1.76455E-15  	    1.10260E-18  	    1.40848E-17  	    4.17968E-20  	    5.10101E-16  	    5.67441E-22  	    2.41685E-20  	    4.55863E-21  	    2.81612E-15  	    7.03753E-17  	    2.45384E-18
    7.00000E-03  	    1.39901E+03  	    2.51361E-01  	    1.01325E+05  	    0.00000E+00  	    6.88128E-03  	    3.25604E-18  	    1.69934E-12  	    3.59839E-19  	    1.61637E-14  	    8.57644E-16  	    7.61305E-13  	    3.34748E-15  	    9.92661E-16  	    7.98640E-15  	    4.00355E-11  	    1.23895E-10  	    1.64551E-12  	    1.65927E-12  	    3.29685E-12  	    5.79922E-16  	    2.98378E-12  	    1.61549E-18  	    1.96860E-21  	    7.39866E-18  	    1.81927E-13  	    1.17262E-11  	    4.03733E-13  	    8.54901E-17  	    9.00005E-11  	    3.31493E-11  	    3.46489E-12  	    1.48204E-10  	    9.37560E-14  	    3.86135E-13  	    1.93419E-09  	    3.50129E-12  	    3.71088E-11  	    2.84633E-10  	    1.10006E-11  	    7.43578E-11  	    4.98005E-11  	    8.22596E-10  	    8.77190E-13  	    2.13823E-13  	    7.12259E-10  	    3.77726E-10  	    8.72087E-12  	    7.28429E-10  	    6.32905E-14  	    1.65120E-12  	    7.85660E-11  	    1.22407E-09  	    3.69587E-09  	    1.13451E-11  	    8.99614E-10  	    1.82959E-03  	    6.16199E-09  	    3.35707E-09  	    1.79635E-11  	    2.52130E-17  	    5.25126E-18  	    1.68928E-12  	    7.57816E-15  	    7.49506E-14  	    1.27486E-16  	    1.28558E-17  	    5.15274E-13  	    5.10740E-13  	    3.23535E-11  	    3.62364E-12  	    7.90793E-14  	    5.55524E-11  	    3.59107E-13  	    2.41235E-16  	    4.31072E-13  	    7.19808E-13  	    4.79227E-18  	    3.54181E-14  	    1.93738E-18  	    1.06430E-10  	    7.80236E-13  	    3.73191E-21  	    2.73721E-16  	    1.14338E-17  	    2.70736E-14  	    2.07741E-17  	    2.40287E-16  	    7.83863E-19  	    5.37822E-14  	    7.34961E-20  	    4.93562E-18  	    1.65846E-18  	    7.26023E-14  	    2.84742E-15  	    1.86252E-16
    8.00000E-03  	    1.39888E+03  	    2.51383E-01  	    1.01325E+05  	    0.00000E+00  	    6.88188E-03  	    1.62951E-17  	    1.38003E-11  	    9.15434E-18  	    1.35376E-13  	    2.60974E-15  	    3.90056E-12  	    4.24954E-14  	    9.09205E-15  	    2.36226E-14  	    1.13357E-10  	    3.15629E-10  	    4.45110E-12  	    9.48629E-12  	    2.03331E-11  	    5.08818E-15  	    1.38926E-11  	    2.37097E-18  	    3.08176E-21  	    1.00943E-17  	    4.00048E-13  	    5.26272E-11  	    1.32385E-12  	    2.24368E-15  	    2.54497E-10  	    2.74772E-10  	    1.43096E-11  	    9.44739E-10  	    1.55449E-12  	    2.69236E-12  	    5.86581E-09  	    2.37891E-11  	    9.74312E-11  	    5.07379E-10  	    2.20357E-11  	    3.22150E-10  	    5.00113E-11  	    3.50569E-09  	    5.78051E-12  	    1.48513E-12  	    1.88572E-09  	    1.12849E-09  	    6.01576E-11  	    2.05518E-09  	    3.58484E-13  	    6.69518E-12  	    2.93341E-10  	    5.25650E-09  	    2.23671E-08  	    4.06652E-11  	    4.71050E-09  	    1.82972E-03  	    1.44180E-08  	    2.81526E-08  	    6.71353E-11  	    3.28661E-16  	    3.68310E-17  	    7.76479E-12  	    9.77059E-14  	    6.99304E-13  	    2.98027E-15  	    3.13847E-16  	    2.63467E-12  	    1.94469E-12  	    1.04130E-10  	    5.20396E-11  	    2.47181E-12  	    3.58110E-10  	    2.36037E-12  	    2.41393E-15  	    1.04741E-11  	    7.18810E-12  	    1.29315E-16  	    4.98451E-13  	    3.54323E-17  	    2.93685E-10  	    5.17432E-12  	    3.09469E-20  	    1.56223E-15  	    6.24116E-17  	    1.74042E-13  	    1.63900E-16  	    1.95906E-15  	    6.62223E-18  	    1.45315E-12  	    2.10678E-18  	    2.90619E-16  	    5.67546E-17  	    1.17160E-12  	    5.44471E-14  	    4.08601E-15
    9.00000E-03  	    1.39884E+03  	    2.51389E-01  	    1.01325E+05  	    0.00000E+00  	    6.88197E-03  	    1.98407E-16  	    4.87468E-11  	    1.26355E-16  	    5.77663E-13  	    8.49616E-15  	    1.07400E-11  	    2.12389E-13  	    5.02443E-14  	    7.24395E-14  	    2.12702E-10  	    4.56678E-10  	    1.55615E-11  	    2.29494E-11  	    4.56402E-11  	    2.14098E-14  	    2.88130E-11  	    4.08903E-18  	    5.55686E-21  	    1.73418E-17  	    8.15284E-13  	    1.08057E-10  	    3.89935E-12  	    1.96323E-14  	    2.47211E-10  	    1.15375E-09  	    4.71952E-11  	    2.32735E-09  	    9.76329E-12  	    9.12253E-12  	    1.13676E-08  	    6.52124E-11  	    1.29404E-10  	    1.01001E-09  	    3.92144E-11  	    6.50022E-10  	    8.12049E-11  	    1.41088E-08  	    2.26215E-11  	    5.89461E-12  	    3.23948E-09  	    1.76025E-09  	    3.02240E-10  	    3.51132E-09  	    1.15636E-12  	    2.54649E-11  	    5.16244E-10  	    1.70503E-08  	    1.02946E-07  	    1.21576E-10  	    2.65323E-08  	    1.82963E-03  	    2.56293E-08  	    1.53697E-07  	    2.10482E-10  	    1.33765E-15  	    1.89114E-16  	    1.71648E-11  	    8.15099E-13  	    3.10514E-12  	    4.29035E-14  	    6.01372E-15  	    4.03695E-12  	    8.35223E-12  	    2.15395E-10  	    4.43508E-10  	    1.82615E-11  	    1.55839E-09  	    1.03807E-11  	    1.42250E-14  	    1.15522E-10  	    5.46949E-11  	    1.48064E-15  	    2.98689E-12  	    4.04683E-16  	    5.14406E-10  	    1.74110E-11  	    1.22558E-19  	    4.71468E-15  	    1.79182E-16  	    5.19309E-13  	    6.33265E-16  	    8.08273E-15  	    9.46576E-17  	    1.46492E-11  	    5.64830E-17  	    6.82723E-15  	    4.81875E-16  	    9.05716E-12  	    3.26721E-13  	    2.39825E-14
    1.00115E-02  	    1.39911E+03  	    2.51334E-01  	    1.01325E+05  	    0.00000E+00  	    6.88025E-03  	    7.35620E-17  	    6.55345E-11  	    2.74658E-15  	    1.57462E-12  	    1.73081E-14  	    1.31072E-11  	    4.70125E-13  	    2.49783E-13  	    1.17352E-13  	    1.92111E-10  	    4.31241E-10  	    3.88841E-11  	    2.05773E-11  	    5.84638E-11  	    6.71826E-14  	    2.31085E-11  	    4.01261E-18  	    7.25308E-21  	    1.33223E-17  	    1.29148E-12  	    1.33699E-10  	    4.96911E-12  	    1.10013E-13  	    1.74704E-10  	    2.38356E-09  	    1.22430E-10  	    1.95034E-09  	    2.56750E-11  	    1.88282E-11  	    1.18063E-08  	    1.19147E-10  	    1.62432E-10  	    1.52993E-09  	    3.41325E-11  	    6.23491E-10  	    1.01501E-10  	    6.24992E-08  	    5.43954E-11  	    1.37180E-11  	    2.84108E-09  	    1.28639E-09  	    1.70991E-09  	    3.75458E-09  	    2.00947E-12  	    5.75993E-11  	    4.22303E-10  	    4.48497E-08  	    3.34957E-07  	    1.65597E-10  	    1.52563E-07  	    1.82873E-03  	    2.83325E-08  	    6.07805E-07  	    3.18994E-10  	    2.14625E-15  	    1.16504E-15  	    1.34594E-11  	    6.33868E-12  	    7.62123E-12  	    4.84537E-13  	    1.73384E-13  	    2.44516E-12  	    5.80388E-11  	    2.19135E-10  	    3.32349E-09  	    3.62186E-11  	    3.67973E-09  	    2.58322E-11  	    1.14439E-13  	    6.56617E-10  	    3.29719E-10  	    1.62848E-14  	    9.66419E-12  	    3.43132E-15  	    5.21021E-10  	    2.97999E-11  	    2.44765E-19  	    5.46932E-15  	    1.98768E-16  	    1.12586E-12  	    1.23167E-15  	    2.75091E-14  	    2.03586E-16  	    7.51505E-11  	    2.12412E-16  	    8.04339E-14  	    4.06548E-15  	    2.61458E-11  	    5.17554E-13  	    6.66408E-14
