       time[ms]  	           T[K]  	density[kg/m^3]  	       Pressure  	        VolX_AR  	        VolX_N2  	      VolX_A1CO  	      VolX_H2O2  	        VolX_CH  	     VolX_T-CH2  	VolX_CVCCVCCJVO  	    VolX_CH2CHO  	     VolX_CH2OH  	       VolX_A1-  	   VolX_TXC5H5O  	    VolX_OC6H4O  	   VolX_C2H3CHO  	    VolX_N-C4H5  	   VolX_C5H4CH2  	      VolX_C3H3  	     VolX_S-CH2  	     VolX_A1CHO  	    VolX_A1CH2O  	VolX_C6H5CYCH2O  	  VolX_C6H5OCH2  	   VolX_C5H4CH3  	      VolX_C5H6  	 VolX_C5H5CH3-1  	      VolX_C3H2  	    VolX_A-C3H4  	      VolX_A1OH  	  VolX_C6H6O-24  	     VolX_CH2CO  	      VolX_HCCO  	      VolX_C2H3  	       VolX_CH4  	      VolX_C2H6  	    VolX_A-C3H5  	      VolX_C3H6  	      VolX_CH3O  	      VolX_C2H2  	      VolX_C5H5  	         VolX_O  	        VolX_A1  	       VolX_HCO  	      VolX_CH2O  	       VolX_HO2  	         VolX_H  	      VolX_C2H4  	      VolX_C2H5  	       VolX_A1O  	       VolX_CH3  	        VolX_OH  	        VolX_CO  	  VolX_C6H5OCH3  	       VolX_CO2  	        VolX_O2  	        VolX_H2  	       VolX_H2O  	  VolX_OC8H7OOH  	      VolX_N2H2  	       VolX_NNH  	       VolX_NH2  	        VolX_NH  	       VolX_HNO  	      VolX_HONO  	         VolX_N  	      VolX_H2NO  	       VolX_N2O  	       VolX_NH3  	        VolX_NO  	       VolX_NO2  	       VolX_HCN  	       VolX_HNC  	        VolX_CN  	      VolX_HNCO  	       VolX_NCO  	       VolX_NCN  	    VolX_CH3NH2  	      VolX_H2CN  	     VolX_C5H5N  	     VolX_C5H4N  	    VolX_C5H5NO  	    VolX_C5H4NO  	   VolX_C5H4NO2  	    VolX_PYRLYL  	  VolX_BNC4H4CO  	    VolX_C4H4CN  	    VolX_CHCHCN  	     VolX_C4H5N  	   VolX_CH2CHCN  	      VolX_C2N2  	      VolX_HNCN  	      VolX_HOCN  	     VolX_CH3CN  	     VolX_CH2CN
    1.00000E-03  	    1.39992E+03  	    3.61163E-01  	    1.01325E+05  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.05052E-19  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.66128E-21  	    0.00000E+00  	    3.48599E-23  	    0.00000E+00  	    8.13941E-16  	    1.09466E-18  	    8.47592E-21  	    0.00000E+00  	    3.07054E-17  	    0.00000E+00  	    1.01931E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.84639E-20  	    0.00000E+00  	    0.00000E+00  	    1.86416E-17  	    8.69218E-20  	    1.76975E-20  	    2.40844E-16  	    0.00000E+00  	    0.00000E+00  	    3.84774E-14  	    0.00000E+00  	    1.31080E-17  	    1.07904E-14  	    5.35223E-13  	    2.83066E-16  	    4.37128E-15  	    4.76787E-11  	    6.39575E-21  	    7.32129E-18  	    2.48544E-12  	    4.82006E-13  	    5.13185E-16  	    1.57470E-14  	    0.00000E+00  	    5.82960E-16  	    1.26733E-15  	    2.11370E-12  	    3.45120E-11  	    1.01241E-15  	    7.90006E-01  	    2.09994E-01  	    3.05195E-11  	    6.87512E-13  	    1.13492E-15  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    7.81746E-16  	    5.99544E-23  	    0.00000E+00  	    6.21941E-16  	    1.61943E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.61278E-15  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00
    2.00000E-03  	    1.39982E+03  	    3.61189E-01  	    1.01325E+05  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.32739E-17  	    0.00000E+00  	    2.30312E-20  	    2.68562E-21  	    4.17773E-18  	    0.00000E+00  	    5.28522E-21  	    1.18666E-19  	    6.18322E-14  	    6.90905E-16  	    1.73915E-17  	    1.28415E-23  	    2.45859E-15  	    2.27859E-21  	    1.08633E-17  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.28752E-20  	    1.81055E-17  	    1.12030E-19  	    0.00000E+00  	    2.97351E-15  	    1.23557E-16  	    4.20377E-17  	    2.61217E-14  	    0.00000E+00  	    3.02450E-19  	    2.46639E-12  	    1.67424E-20  	    1.50420E-15  	    6.82361E-13  	    3.85028E-12  	    2.97690E-14  	    3.01230E-13  	    1.17592E-10  	    2.47251E-18  	    1.45185E-16  	    3.46755E-11  	    6.82041E-12  	    9.38436E-15  	    9.97930E-13  	    2.70354E-19  	    2.33076E-14  	    7.11450E-14  	    3.01839E-11  	    1.11571E-10  	    3.86816E-14  	    7.90006E-01  	    2.09994E-01  	    4.49067E-10  	    9.46464E-12  	    4.48939E-14  	    0.00000E+00  	    0.00000E+00  	    6.07605E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.80724E-14  	    6.80290E-20  	    0.00000E+00  	    3.88482E-14  	    1.88301E-16  	    0.00000E+00  	    0.00000E+00  	    4.26733E-19  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.61025E-13  	    2.50959E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    3.15395E-20  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.08178E-22  	    0.00000E+00  	    0.00000E+00
    3.10000E-03  	    1.39970E+03  	    3.61219E-01  	    1.01325E+05  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    2.41467E-15  	    0.00000E+00  	    4.53921E-18  	    1.64513E-18  	    6.87378E-16  	    2.01944E-19  	    2.35720E-18  	    2.16237E-17  	    2.02268E-12  	    1.21252E-13  	    2.89007E-15  	    3.32441E-17  	    8.12271E-14  	    3.94298E-21  	    2.51824E-15  	    3.49528E-21  	    0.00000E+00  	    2.57764E-20  	    2.89728E-17  	    3.62295E-15  	    8.69017E-17  	    0.00000E+00  	    1.63529E-13  	    1.01516E-14  	    2.08155E-15  	    1.12276E-12  	    5.01973E-18  	    9.05419E-17  	    7.65645E-11  	    7.15923E-17  	    8.38435E-14  	    2.08407E-11  	    2.07044E-11  	    1.24875E-12  	    9.19950E-12  	    3.62453E-10  	    6.62038E-16  	    1.80332E-15  	    2.79794E-10  	    5.27690E-11  	    8.42773E-14  	    3.06566E-11  	    5.64124E-17  	    4.03858E-13  	    1.83033E-12  	    2.50317E-10  	    5.58933E-10  	    8.40575E-13  	    7.90006E-01  	    2.09994E-01  	    3.85250E-09  	    9.36045E-11  	    1.03970E-12  	    0.00000E+00  	    0.00000E+00  	    1.48279E-15  	    1.60014E-19  	    1.89872E-18  	    0.00000E+00  	    0.00000E+00  	    5.85469E-17  	    0.00000E+00  	    1.41683E-12  	    2.18619E-16  	    0.00000E+00  	    1.16935E-12  	    6.59751E-15  	    0.00000E+00  	    9.37853E-18  	    2.00781E-16  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    4.82026E-12  	    3.78684E-16  	    0.00000E+00  	    8.66131E-20  	    2.19831E-21  	    1.10204E-17  	    0.00000E+00  	    8.86131E-21  	    0.00000E+00  	    3.91968E-21  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    6.55848E-18  	    0.00000E+00  	    0.00000E+00
    4.10000E-03  	    1.39959E+03  	    3.61247E-01  	    1.01325E+05  	    0.00000E+00  	    0.00000E+00  	    9.54205E-21  	    3.93835E-14  	    0.00000E+00  	    2.82821E-16  	    7.42368E-17  	    2.86022E-14  	    1.67814E-17  	    1.67831E-17  	    8.59756E-16  	    2.51575E-11  	    6.15076E-12  	    1.32125E-13  	    6.13717E-15  	    1.01026E-12  	    3.03770E-18  	    1.15291E-13  	    1.79509E-19  	    0.00000E+00  	    8.88471E-19  	    3.74421E-15  	    1.65715E-13  	    1.01563E-14  	    5.01232E-18  	    3.91149E-12  	    4.47234E-13  	    6.78470E-14  	    1.80275E-11  	    3.80708E-16  	    4.02825E-15  	    9.60206E-10  	    1.14472E-14  	    2.33755E-12  	    2.54542E-10  	    7.27067E-11  	    1.92701E-11  	    1.07326E-10  	    1.27842E-09  	    3.12271E-14  	    1.74523E-14  	    1.37454E-09  	    2.56978E-10  	    8.22563E-13  	    3.81152E-10  	    2.38048E-15  	    3.54771E-12  	    2.09237E-11  	    1.26198E-09  	    2.76570E-09  	    8.16883E-12  	    7.90006E-01  	    2.09994E-01  	    1.87362E-08  	    6.90252E-10  	    1.08034E-11  	    0.00000E+00  	    0.00000E+00  	    6.96787E-14  	    2.49673E-17  	    2.72613E-16  	    8.23553E-21  	    0.00000E+00  	    4.07815E-15  	    0.00000E+00  	    1.70525E-11  	    1.53528E-14  	    2.71290E-18  	    1.45534E-11  	    8.73520E-14  	    1.36970E-18  	    6.42266E-16  	    9.97666E-15  	    0.00000E+00  	    6.77810E-18  	    0.00000E+00  	    5.87653E-11  	    1.65052E-14  	    0.00000E+00  	    4.64348E-18  	    2.85922E-19  	    5.24456E-16  	    1.80956E-19  	    2.72759E-18  	    0.00000E+00  	    4.27085E-18  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    5.32271E-16  	    2.05707E-18  	    0.00000E+00
    5.00000E-03  	    1.39950E+03  	    3.61272E-01  	    1.01325E+05  	    0.00000E+00  	    3.42597E-19  	    6.67344E-19  	    5.70171E-13  	    0.00000E+00  	    5.97916E-15  	    1.46818E-15  	    5.45980E-13  	    4.96067E-16  	    4.50077E-16  	    1.61817E-14  	    1.69715E-10  	    1.28076E-10  	    2.47402E-12  	    3.15357E-13  	    6.48665E-12  	    9.12544E-17  	    2.26215E-12  	    2.96734E-18  	    1.65131E-21  	    1.40582E-17  	    1.47861E-13  	    4.21709E-12  	    3.75360E-13  	    5.10785E-17  	    6.09513E-11  	    9.70759E-12  	    1.59886E-12  	    1.61229E-10  	    1.14450E-14  	    9.56099E-14  	    6.64539E-09  	    6.01749E-13  	    3.92755E-11  	    1.65839E-09  	    1.90383E-10  	    1.58865E-10  	    6.32317E-10  	    4.32566E-09  	    6.12393E-13  	    1.54967E-13  	    5.09869E-09  	    1.13732E-09  	    7.62592E-12  	    2.61386E-09  	    4.31946E-14  	    1.85898E-11  	    1.54964E-10  	    5.04831E-09  	    1.19832E-08  	    4.68579E-11  	    7.90006E-01  	    2.09994E-01  	    6.43790E-08  	    4.43639E-09  	    6.51615E-11  	    5.08623E-20  	    0.00000E+00  	    1.41626E-12  	    1.08919E-15  	    1.21966E-14  	    2.79846E-18  	    1.17934E-19  	    1.22800E-13  	    1.97640E-21  	    1.14360E-10  	    4.96637E-13  	    6.75335E-16  	    1.05229E-10  	    6.54696E-13  	    5.46575E-17  	    2.30533E-14  	    2.28280E-13  	    0.00000E+00  	    1.33422E-15  	    6.03585E-20  	    3.96920E-10  	    3.49815E-13  	    0.00000E+00  	    1.01923E-16  	    6.64522E-18  	    1.15209E-14  	    5.72764E-18  	    7.30676E-17  	    1.20053E-19  	    6.17284E-16  	    0.00000E+00  	    0.00000E+00  	    0.00000E+00  	    1.43600E-14  	    1.85292E-16  	    1.82725E-18
    6.00000E-03  	    1.39939E+03  	    3.61299E-01  	    1.01325E+05  	    0.00000E+00  	    6.60346E-16  	    2.81934E-17  	    1.59711E-11  	    5.03090E-19  	    1.21930E-13  	    2.14013E-14  	    8.73306E-12  	    1.78883E-14  	    8.46307E-15  	    2.19545E-13  	    1.00826E-09  	    1.99858E-09  	    3.22385E-11  	    1.33123E-11  	    3.92687E-11  	    2.65508E-15  	    4.00424E-11  	    3.36080E-17  	    3.70979E-20  	    1.55170E-16  	    3.60445E-12  	    1.16169E-10  	    8.26985E-12  	    3.53838E-16  	    1.09251E-09  	    2.59476E-10  	    4.04327E-11  	    1.61637E-09  	    4.60425E-13  	    2.55844E-12  	    4.15023E-08  	    2.96461E-11  	    6.08121E-10  	    8.52201E-09  	    4.81347E-10  	    1.31936E-09  	    2.42941E-09  	    1.78761E-08  	    1.08523E-11  	    1.86500E-12  	    1.96279E-08  	    6.91276E-09  	    9.64511E-11  	    1.60517E-08  	    6.09117E-13  	    6.83172E-11  	    1.29919E-09  	    2.50782E-08  	    6.80189E-08  	    2.48780E-10  	    7.90006E-01  	    2.09994E-01  	    2.16798E-07  	    4.16834E-08  	    3.68686E-10  	    6.80622E-17  	    0.00000E+00  	    2.29095E-11  	    4.44522E-14  	    5.00429E-13  	    4.17385E-16  	    3.14048E-17  	    4.53666E-12  	    6.36027E-17  	    6.97314E-10  	    1.96466E-11  	    1.67923E-13  	    8.15675E-10  	    5.22458E-12  	    1.55501E-15  	    1.50349E-12  	    5.36240E-12  	    4.75973E-18  	    1.52413E-13  	    6.84756E-18  	    2.39704E-09  	    7.46386E-12  	    1.57903E-20  	    2.51347E-15  	    1.30325E-16  	    2.71040E-13  	    1.60795E-16  	    1.83009E-15  	    5.63551E-18  	    1.16621E-13  	    1.08587E-19  	    5.22004E-18  	    4.07999E-19  	    4.36015E-13  	    1.17724E-14  	    4.94429E-16
    7.00000E-03  	    1.39929E+03  	    3.61326E-01  	    1.01325E+05  	    0.00000E+00  	    1.20141E-13  	    3.26292E-16  	    2.67316E-10  	    3.39240E-17  	    1.57976E-12  	    1.01863E-13  	    7.20020E-11  	    3.86388E-13  	    1.17413E-13  	    9.89319E-13  	    4.05234E-09  	    1.17355E-08  	    1.47937E-10  	    2.03184E-10  	    3.61074E-10  	    4.03815E-14  	    3.68268E-10  	    1.21931E-16  	    1.48793E-19  	    5.47682E-16  	    2.15942E-11  	    1.32570E-09  	    5.54131E-11  	    9.89533E-15  	    9.10301E-09  	    4.17468E-09  	    3.93704E-10  	    1.54571E-08  	    1.39901E-11  	    3.39199E-11  	    1.83703E-07  	    5.87565E-10  	    3.82255E-09  	    2.43056E-08  	    1.07441E-09  	    9.54735E-09  	    3.74382E-09  	    7.56986E-08  	    1.12073E-10  	    1.71801E-11  	    6.46667E-08  	    3.17304E-08  	    8.56186E-10  	    6.90150E-08  	    5.32524E-12  	    2.15599E-10  	    8.03306E-09  	    1.19243E-07  	    4.32935E-07  	    1.08763E-09  	    7.90005E-01  	    2.09993E-01  	    6.11626E-07  	    4.15607E-07  	    1.66442E-09  	    3.32609E-15  	    4.81362E-20  	    1.74343E-10  	    8.33865E-13  	    8.84704E-12  	    1.75397E-14  	    1.20031E-15  	    6.42067E-11  	    2.21248E-14  	    3.12091E-09  	    4.58835E-10  	    1.52185E-11  	    6.08081E-09  	    4.00490E-11  	    2.61500E-14  	    6.56199E-11  	    7.78009E-11  	    5.85305E-16  	    5.17173E-12  	    2.29006E-16  	    9.99978E-09  	    8.51523E-11  	    3.44362E-19  	    3.17193E-14  	    1.23417E-15  	    3.46088E-12  	    2.43182E-15  	    2.61115E-14  	    8.76911E-17  	    8.88078E-12  	    9.39929E-18  	    8.19425E-16  	    2.24038E-16  	    9.98658E-12  	    4.54279E-13  	    3.17625E-14
    8.00000E-03  	    1.39920E+03  	    3.61349E-01  	    1.01325E+05  	    0.00000E+00  	    6.46218E-12  	    1.71480E-15  	    1.84914E-09  	    7.51624E-16  	    1.18837E-11  	    3.31965E-13  	    3.41385E-10  	    4.08996E-12  	    9.85675E-13  	    3.11181E-12  	    1.13509E-08  	    2.74348E-08  	    4.41721E-10  	    1.09919E-09  	    1.93159E-09  	    3.15041E-13  	    1.53630E-09  	    2.36904E-16  	    3.02597E-19  	    1.00491E-15  	    5.56686E-11  	    5.73097E-09  	    2.02695E-10  	    2.09817E-13  	    2.27006E-08  	    3.17999E-08  	    1.71691E-09  	    8.66981E-08  	    1.89646E-10  	    2.06879E-10  	    5.61451E-07  	    3.78253E-09  	    9.75064E-09  	    4.87211E-08  	    2.17297E-09  	    4.42699E-08  	    4.68738E-09  	    2.83737E-07  	    7.20901E-10  	    1.05892E-10  	    1.70388E-07  	    9.13970E-08  	    5.16733E-09  	    1.98907E-07  	    3.39441E-11  	    8.31179E-10  	    2.86157E-08  	    4.52824E-07  	    2.51014E-06  	    3.94273E-09  	    7.90001E-01  	    2.09990E-01  	    1.40177E-06  	    3.04704E-06  	    6.28341E-09  	    3.65100E-14  	    6.08472E-18  	    7.39934E-10  	    9.18381E-12  	    7.02340E-11  	    3.24174E-13  	    2.56993E-14  	    2.90749E-10  	    1.87044E-12  	    1.01064E-08  	    5.43579E-09  	    3.37468E-10  	    3.70694E-08  	    2.51811E-10  	    2.27701E-13  	    1.24952E-09  	    6.66823E-10  	    1.37165E-14  	    6.22343E-11  	    3.92628E-15  	    2.77974E-08  	    5.02388E-10  	    2.65424E-18  	    1.69465E-13  	    6.14920E-15  	    1.92762E-11  	    1.71591E-14  	    1.85225E-13  	    6.92077E-16  	    1.85441E-10  	    2.28643E-16  	    3.90583E-14  	    7.10554E-15  	    1.33087E-10  	    7.74817E-12  	    6.23343E-13
    9.00000E-03  	    1.39915E+03  	    3.61357E-01  	    1.01325E+05  	    0.00000E+00  	    1.82183E-10  	    9.61021E-15  	    6.32750E-09  	    9.95343E-15  	    5.18019E-11  	    1.08555E-12  	    1.03515E-09  	    1.98791E-11  	    5.42434E-12  	    9.48858E-12  	    2.32098E-08  	    4.45400E-08  	    1.64896E-09  	    2.72746E-09  	    4.71123E-09  	    1.39760E-12  	    3.26005E-09  	    4.80498E-16  	    6.49505E-19  	    1.87478E-15  	    1.25447E-10  	    1.41206E-08  	    6.19496E-10  	    1.92384E-12  	    2.69239E-08  	    1.33411E-07  	    5.88317E-09  	    2.08412E-07  	    1.11981E-09  	    7.51980E-10  	    1.21681E-06  	    1.21270E-08  	    1.53975E-08  	    1.15674E-07  	    3.92645E-09  	    1.02225E-07  	    9.21880E-09  	    9.21995E-07  	    3.17646E-09  	    4.22318E-10  	    3.27528E-07  	    1.64745E-07  	    2.30866E-08  	    4.01414E-07  	    1.39031E-10  	    2.91511E-09  	    5.69985E-08  	    1.30488E-06  	    1.12529E-05  	    1.19545E-08  	    7.89990E-01  	    2.09976E-01  	    2.64579E-06  	    1.53187E-05  	    1.99684E-08  	    1.67374E-13  	    1.05820E-16  	    1.74265E-09  	    6.86730E-11  	    3.00217E-10  	    3.96296E-12  	    4.26472E-13  	    5.56411E-10  	    6.84399E-11  	    2.29274E-08  	    4.03146E-08  	    2.31685E-09  	    1.56242E-07  	    1.08471E-09  	    1.26424E-12  	    1.21623E-08  	    4.27659E-09  	    1.51190E-13  	    3.78213E-10  	    4.41871E-14  	    5.52289E-08  	    1.74380E-09  	    1.06511E-17  	    5.69144E-13  	    1.86989E-14  	    5.90049E-11  	    7.13886E-14  	    7.52320E-13  	    4.77672E-15  	    1.69281E-09  	    6.88514E-15  	    8.07486E-13  	    6.73849E-14  	    9.17932E-10  	    4.94517E-11  	    4.07015E-12
    1.01000E-02  	    1.39928E+03  	    3.61310E-01  	    1.01325E+05  	    1.41406E-24  	    6.38831E-09  	    1.50776E-14  	    9.21422E-09  	    2.31875E-13  	    1.48303E-10  	    2.46510E-12  	    1.40357E-09  	    4.80531E-11  	    3.05021E-11  	    1.81788E-11  	    2.79476E-08  	    5.42135E-08  	    4.68656E-09  	    2.82863E-09  	    5.79555E-09  	    4.57363E-12  	    3.43508E-09  	    5.88986E-16  	    1.02304E-18  	    1.92858E-15  	    2.39766E-10  	    2.28678E-08  	    1.26854E-09  	    9.50056E-12  	    2.40908E-08  	    3.23738E-07  	    1.67077E-08  	    2.01180E-07  	    3.17948E-09  	    1.61822E-09  	    1.91902E-06  	    2.84970E-08  	    2.02382E-08  	    2.94638E-07  	    6.42900E-09  	    1.15185E-07  	    1.37759E-08  	    3.33016E-06  	    9.81946E-09  	    9.77660E-10  	    4.00411E-07  	    1.53255E-07  	    1.15147E-07  	    6.68913E-07  	    2.96222E-10  	    7.20084E-09  	    5.22087E-08  	    3.34726E-06  	    4.24507E-05  	    3.10446E-08  	    7.89959E-01  	    2.09921E-01  	    3.94128E-06  	    6.58557E-05  	    5.91959E-08  	    3.41541E-13  	    1.11333E-15  	    1.68592E-09  	    6.02951E-10  	    8.02790E-10  	    4.96717E-11  	    1.55155E-11  	    3.49908E-10  	    2.70973E-09  	    3.25961E-08  	    3.01648E-07  	    6.48016E-09  	    4.47520E-07  	    3.28406E-09  	    9.44538E-12  	    8.17817E-08  	    2.84472E-08  	    1.74667E-12  	    1.55535E-09  	    4.52249E-13  	    8.71563E-08  	    3.15010E-09  	    2.18198E-17  	    7.55515E-13  	    2.32684E-14  	    1.25563E-10  	    1.42988E-13  	    2.34610E-12  	    3.31600E-14  	    9.97449E-09  	    4.03549E-14  	    1.08891E-11  	    3.72100E-13  	    3.38591E-09  	    1.14054E-10  	    1.17020E-11
