           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.39991E+03  	        2.51200E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        3.38595E-19  	        1.66199E-21  	        2.69400E-20  	        7.86457E-22  	        1.02982E-16  	        9.34624E-23  	        1.48322E-19  	        8.12393E-14  	        2.02418E-16  	        7.76875E-16  	        5.04268E-18  	        2.23977E-21  	        0.00000E+00  	        1.22921E-14  	        2.18436E-18  	        0.00000E+00  	        6.74435E-17  	        2.09896E-13  	        2.26081E-18  	        9.43524E-20  	        1.61228E-20  	        9.38326E-16  	        0.00000E+00  	        1.35448E-19  	        1.02688E-14  	        0.00000E+00  	        1.67596E-13  	        1.53973E-17  	        4.61680E-20  	        1.25094E-15  	        1.39260E-13  	        1.45924E-13  	        1.95295E-18  	        4.56260E-15  	        3.74297E-23  	        1.83161E-17  	        4.36265E-14  	        4.08194E-14  	        9.16506E-15  	        4.22388E-13  	        0.00000E+00  	        8.51436E-17  	        1.06099E-16  	        5.24719E-14  	        1.21596E-14  	        3.02973E-16  	        2.14856E-20  	        4.13900E-13  	        2.30348E-22  	        8.16850E-13  	        5.24224E-16  	        1.82842E-03  	        6.08846E-09  	        2.08864E-15  	        0.00000E+00  	        8.67878E-14  	        2.95774E-12  	        1.19661E-12  	        0.00000E+00  	        3.92453E-15  	        6.87688E-03  	        1.92241E-14  	        1.41903E-13  	        1.66189E-13  	        3.56865E-14  	        1.82011E-14  	        7.92780E-13  	        3.27612E-14  	        6.37325E-20  	        0.00000E+00  	        0.00000E+00  	        1.77646E-17  	        1.79976E-22  	        1.15897E-20  	        1.52018E-21  	        0.00000E+00  	        6.88988E-19  	        1.66138E-14  	        9.04459E-14  	        1.82125E-14  	        1.92177E-19  	        2.29140E-14  	        1.13449E-16  	        0.00000E+00  	        6.22616E-21  	        1.81418E-19  	        0.00000E+00  	        6.56785E-23  	        0.00000E+00  	        1.19221E-14  	        1.84400E-19  	        0.00000E+00  	        5.74553E-24  	        0.00000E+00  	        3.46520E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        9.85724E-21  	        4.99458E-22  	        0.00000E+00
        2.00000E-03  	        1.39980E+03  	        2.51218E-01  	        1.01325E+05  	        2.16081E-21  	        0.00000E+00  	        2.51092E-15  	        5.82512E-19  	        7.95631E-17  	        2.21548E-18  	        2.20228E-13  	        2.26482E-18  	        1.56021E-15  	        4.02588E-12  	        2.69209E-14  	        1.17788E-13  	        1.43831E-14  	        9.79817E-18  	        0.00000E+00  	        2.73953E-12  	        2.16979E-16  	        3.87423E-22  	        1.33423E-14  	        1.96609E-11  	        1.74604E-16  	        4.52883E-16  	        2.79912E-17  	        1.90903E-13  	        5.73472E-22  	        2.58045E-15  	        1.84950E-12  	        0.00000E+00  	        1.12980E-11  	        4.24289E-15  	        3.35389E-17  	        2.05731E-13  	        1.20742E-11  	        1.50180E-11  	        1.03551E-15  	        5.19101E-12  	        1.42199E-17  	        3.20299E-15  	        4.50760E-12  	        8.47599E-12  	        4.40285E-13  	        2.48390E-12  	        2.67884E-23  	        4.20146E-14  	        2.24875E-14  	        4.25559E-12  	        1.25872E-11  	        6.77811E-14  	        2.35050E-17  	        3.61667E-11  	        1.46636E-16  	        9.76941E-11  	        2.08276E-13  	        1.82854E-03  	        1.23248E-07  	        6.48821E-13  	        0.00000E+00  	        6.01708E-11  	        1.33643E-10  	        8.62237E-11  	        0.00000E+00  	        8.77826E-13  	        6.87733E-03  	        1.65398E-11  	        3.60019E-11  	        2.73196E-11  	        1.46834E-12  	        3.03723E-12  	        5.70746E-11  	        1.33591E-12  	        4.53171E-17  	        1.14444E-24  	        3.13932E-20  	        4.54944E-15  	        1.55210E-18  	        1.72568E-17  	        8.44147E-19  	        1.83644E-23  	        2.42681E-16  	        3.46541E-14  	        9.26255E-13  	        1.87617E-13  	        1.58851E-16  	        2.36240E-13  	        1.48808E-15  	        1.11987E-20  	        2.42379E-17  	        6.27310E-17  	        9.69000E-24  	        6.44694E-18  	        2.02453E-22  	        1.21866E-13  	        6.04369E-17  	        0.00000E+00  	        1.32427E-20  	        7.31767E-22  	        1.62771E-18  	        5.53826E-22  	        1.23670E-20  	        0.00000E+00  	        1.74103E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.30353E-17  	        7.65555E-19  	        2.35833E-21
        3.10000E-03  	        1.39967E+03  	        2.51239E-01  	        1.01325E+05  	        3.08521E-18  	        1.21524E-18  	        5.63423E-12  	        1.52130E-16  	        3.54184E-14  	        3.55637E-17  	        3.10244E-11  	        9.05512E-16  	        1.19628E-12  	        6.19778E-11  	        3.78880E-11  	        4.06359E-12  	        2.13468E-12  	        1.23838E-14  	        5.49961E-19  	        5.17217E-10  	        3.44962E-14  	        2.71696E-16  	        1.48888E-12  	        2.48520E-10  	        3.56757E-13  	        1.83485E-13  	        3.48273E-15  	        1.02963E-11  	        2.54210E-19  	        6.47515E-13  	        1.89599E-10  	        7.05170E-26  	        4.81583E-10  	        7.08492E-13  	        2.30481E-14  	        3.77038E-11  	        1.78989E-10  	        2.73063E-10  	        1.01977E-12  	        3.81938E-10  	        1.65541E-14  	        4.86989E-13  	        1.05173E-10  	        5.79753E-10  	        3.74721E-12  	        1.30397E-11  	        2.83749E-18  	        4.16195E-12  	        1.42138E-12  	        1.06288E-10  	        8.52099E-10  	        1.26302E-11  	        8.73654E-15  	        6.97977E-10  	        4.54089E-13  	        6.41102E-09  	        8.94505E-12  	        1.82865E-03  	        3.07798E-07  	        2.83562E-11  	        0.00000E+00  	        4.20453E-09  	        5.26679E-09  	        1.35767E-09  	        9.92426E-20  	        2.55998E-11  	        6.87778E-03  	        7.28590E-10  	        1.80241E-09  	        9.52113E-10  	        1.55841E-11  	        7.12551E-11  	        5.44896E-10  	        1.48411E-11  	        9.78207E-15  	        7.90093E-20  	        7.86505E-18  	        1.27447E-13  	        4.34742E-16  	        6.58291E-15  	        2.74564E-17  	        7.31344E-19  	        5.84877E-14  	        1.56019E-13  	        3.89246E-12  	        9.51804E-13  	        5.26564E-14  	        1.12847E-12  	        7.71867E-15  	        1.51626E-18  	        6.41141E-15  	        4.37594E-15  	        1.13662E-18  	        2.39368E-15  	        7.19878E-20  	        4.78134E-13  	        3.13532E-15  	        0.00000E+00  	        1.05156E-18  	        3.54643E-20  	        1.11933E-16  	        9.71375E-20  	        1.11848E-18  	        2.12641E-21  	        1.87260E-16  	        1.91950E-21  	        0.00000E+00  	        1.34350E-18  	        1.20531E-15  	        7.41651E-17  	        4.31156E-18
        4.10000E-03  	        1.39964E+03  	        2.51244E-01  	        1.01325E+05  	        1.79682E-17  	        1.14910E-16  	        7.02528E-11  	        7.80766E-16  	        6.23196E-13  	        7.86418E-16  	        3.57040E-10  	        2.01978E-14  	        2.24792E-11  	        3.10436E-10  	        7.61117E-10  	        4.22621E-11  	        1.50602E-11  	        4.52161E-13  	        4.39576E-16  	        5.15983E-09  	        3.19997E-13  	        1.65249E-14  	        1.11912E-11  	        4.53541E-10  	        1.43839E-11  	        5.31884E-12  	        8.80945E-15  	        5.63677E-11  	        7.79507E-18  	        1.79075E-12  	        1.25520E-09  	        1.34875E-19  	        6.28253E-09  	        6.22311E-12  	        1.18869E-13  	        1.43041E-10  	        9.78982E-10  	        5.66293E-10  	        7.66801E-12  	        2.48113E-09  	        5.16244E-13  	        6.82981E-12  	        5.42634E-10  	        2.40169E-09  	        1.81333E-11  	        1.47546E-10  	        4.69973E-16  	        2.81274E-11  	        3.48813E-12  	        5.15187E-10  	        4.12936E-09  	        2.34311E-10  	        3.71662E-13  	        3.15238E-09  	        1.14898E-11  	        1.01665E-07  	        6.45717E-11  	        1.82857E-03  	        3.67039E-07  	        2.56444E-10  	        0.00000E+00  	        2.40074E-08  	        5.70262E-08  	        3.11578E-09  	        1.97329E-17  	        1.81317E-10  	        6.87778E-03  	        1.54383E-09  	        8.38427E-09  	        9.91703E-09  	        7.21353E-11  	        2.78086E-10  	        5.31473E-10  	        6.93248E-11  	        1.26746E-13  	        4.51849E-19  	        1.48538E-16  	        4.73104E-13  	        7.06057E-15  	        5.79153E-14  	        5.06407E-16  	        4.09007E-17  	        1.63149E-13  	        1.94097E-12  	        6.49516E-12  	        6.04878E-12  	        5.63407E-13  	        3.39291E-12  	        2.34679E-14  	        2.69352E-17  	        1.79692E-13  	        5.95338E-14  	        3.59068E-17  	        3.54221E-14  	        1.24791E-18  	        5.77115E-13  	        1.37272E-14  	        0.00000E+00  	        3.82967E-18  	        1.20683E-19  	        4.32299E-16  	        5.45353E-19  	        6.92931E-18  	        2.38320E-17  	        8.69543E-15  	        1.57829E-17  	        8.90541E-21  	        4.65225E-17  	        1.62801E-14  	        8.08448E-16  	        6.66530E-17
        5.07445E-03  	        1.39993E+03  	        2.51188E-01  	        1.01325E+05  	        3.86354E-17  	        1.41522E-15  	        1.11484E-10  	        2.61026E-15  	        1.48819E-12  	        1.15626E-15  	        7.04163E-10  	        5.18171E-14  	        4.74766E-11  	        7.61325E-10  	        2.41448E-09  	        6.82818E-11  	        1.75944E-11  	        8.74182E-13  	        6.65255E-15  	        4.70596E-09  	        4.09208E-13  	        5.04053E-14  	        1.51093E-11  	        8.15895E-10  	        4.90674E-11  	        1.89924E-11  	        1.23846E-14  	        1.04154E-10  	        4.93467E-17  	        1.57653E-12  	        1.17049E-09  	        1.36805E-18  	        4.36384E-08  	        1.15755E-11  	        3.20831E-13  	        2.00959E-10  	        4.15618E-09  	        6.52842E-10  	        1.32439E-11  	        3.13671E-09  	        1.71828E-12  	        1.36034E-11  	        1.02075E-09  	        1.78489E-09  	        2.65016E-11  	        3.42713E-10  	        4.69929E-15  	        4.08978E-11  	        3.74293E-12  	        3.43515E-10  	        3.55550E-09  	        1.26277E-09  	        2.20739E-12  	        3.07023E-09  	        2.04827E-11  	        4.10025E-07  	        1.10916E-10  	        1.82764E-03  	        8.11166E-07  	        7.43504E-10  	        0.00000E+00  	        2.56157E-08  	        2.77385E-07  	        3.04098E-09  	        3.28054E-16  	        4.39633E-10  	        6.87585E-03  	        1.58226E-09  	        7.55429E-09  	        3.68349E-08  	        1.37029E-10  	        4.23344E-10  	        9.97467E-10  	        1.31714E-10  	        2.25884E-13  	        1.24724E-19  	        8.54760E-16  	        2.80545E-13  	        1.37349E-14  	        5.46887E-14  	        2.89239E-15  	        3.15036E-16  	        4.53748E-14  	        1.67622E-11  	        4.27863E-12  	        2.49946E-11  	        6.31328E-13  	        5.50265E-12  	        3.98592E-14  	        1.00575E-16  	        9.59558E-13  	        4.10722E-13  	        1.63637E-16  	        7.81292E-14  	        4.29397E-18  	        3.47779E-13  	        1.08088E-14  	        0.00000E+00  	        2.70484E-18  	        6.16616E-20  	        4.94679E-16  	        5.18791E-19  	        9.48675E-18  	        1.15308E-16  	        3.59879E-14  	        4.98548E-17  	        1.42728E-19  	        1.99468E-16  	        3.96852E-14  	        7.13638E-16  	        7.93916E-17
        6.00206E-03  	        1.40084E+03  	        2.51029E-01  	        1.01325E+05  	        1.39968E-17  	        3.89370E-13  	        3.29000E-11  	        2.41692E-15  	        6.74542E-12  	        1.20716E-16  	        3.97819E-11  	        6.29096E-13  	        3.93536E-11  	        4.28948E-11  	        1.90681E-09  	        3.59354E-11  	        6.37159E-14  	        1.42001E-12  	        1.17843E-14  	        2.02046E-09  	        1.84846E-14  	        5.88731E-16  	        6.70393E-12  	        5.18632E-11  	        4.31058E-11  	        6.12180E-12  	        1.05019E-14  	        7.41517E-12  	        5.24765E-20  	        1.59469E-13  	        6.75253E-10  	        8.71943E-22  	        1.58141E-07  	        1.88608E-11  	        5.86449E-14  	        1.85733E-10  	        5.20816E-09  	        3.74086E-11  	        8.83274E-13  	        1.08107E-09  	        2.42582E-12  	        2.38484E-11  	        1.30591E-10  	        8.98999E-10  	        2.70676E-12  	        6.51822E-11  	        3.43156E-15  	        2.05393E-13  	        5.05760E-13  	        8.84729E-11  	        3.72622E-10  	        9.04635E-09  	        1.86504E-12  	        5.88515E-10  	        2.86043E-12  	        6.63920E-07  	        3.61264E-12  	        1.82530E-03  	        1.66742E-06  	        3.08099E-11  	        0.00000E+00  	        1.05628E-08  	        9.75035E-07  	        3.40887E-10  	        1.78361E-15  	        1.51459E-11  	        6.87085E-03  	        5.80201E-11  	        8.73895E-10  	        9.99262E-08  	        8.98108E-12  	        3.25633E-11  	        4.88548E-11  	        8.97062E-12  	        5.68481E-13  	        3.40640E-19  	        7.30951E-15  	        1.01744E-13  	        2.73719E-14  	        2.06492E-14  	        9.33984E-15  	        1.37269E-14  	        7.45014E-15  	        7.85834E-11  	        1.08216E-12  	        7.01351E-11  	        3.25227E-13  	        3.64888E-12  	        3.49946E-14  	        3.90314E-15  	        1.24733E-12  	        4.90203E-13  	        9.47747E-15  	        6.39959E-14  	        1.24013E-16  	        7.15245E-14  	        1.36464E-15  	        8.83682E-24  	        1.31978E-20  	        9.35926E-22  	        2.22230E-16  	        1.78866E-20  	        7.18739E-18  	        8.72106E-19  	        2.79875E-14  	        1.65063E-18  	        3.42509E-19  	        1.43413E-15  	        2.75956E-14  	        1.00493E-16  	        1.49350E-16
        7.00144E-03  	        1.40267E+03  	        2.50719E-01  	        1.01325E+05  	        6.97967E-18  	        4.37621E-13  	        7.49634E-11  	        9.71369E-16  	        3.09128E-12  	        1.09187E-18  	        1.02068E-10  	        4.13450E-13  	        1.30669E-11  	        7.90620E-11  	        2.80008E-10  	        1.74223E-11  	        4.28628E-15  	        5.57365E-13  	        6.71101E-15  	        1.07267E-09  	        3.41825E-15  	        9.72458E-18  	        2.19299E-12  	        6.66930E-12  	        9.59369E-12  	        5.12761E-13  	        3.94913E-15  	        8.65474E-12  	        4.68065E-21  	        7.03640E-14  	        2.71133E-10  	        3.95765E-98  	        3.80580E-07  	        5.44970E-12  	        2.26750E-14  	        6.14048E-11  	        1.42681E-09  	        9.77926E-12  	        7.53596E-13  	        4.96872E-10  	        9.32112E-14  	        9.86424E-12  	        8.82478E-11  	        1.00245E-09  	        1.04749E-13  	        1.33554E-11  	        1.10723E-15  	        3.18273E-14  	        7.32032E-14  	        2.30370E-11  	        1.15599E-10  	        2.60576E-08  	        8.72775E-13  	        2.49428E-10  	        2.15210E-12  	        5.35254E-07  	        1.31987E-12  	        1.82075E-03  	        3.12973E-06  	        6.20277E-11  	        0.00000E+00  	        1.49599E-08  	        2.71061E-06  	        7.65691E-11  	        1.22934E-15  	        1.94498E-11  	        6.86126E-03  	        1.07770E-11  	        2.58231E-10  	        2.23289E-07  	        2.50405E-13  	        2.16694E-12  	        8.69051E-11  	        2.72395E-13  	        4.73032E-15  	        9.44337E-19  	        2.17512E-14  	        5.82966E-14  	        3.56078E-14  	        2.80706E-14  	        1.01006E-13  	        3.50449E-14  	        2.34598E-15  	        2.51241E-10  	        6.28730E-13  	        6.20735E-10  	        1.21709E-12  	        2.24595E-12  	        3.01049E-14  	        5.82387E-15  	        6.34224E-13  	        2.31453E-13  	        6.13552E-15  	        2.29085E-14  	        7.02541E-17  	        4.22649E-14  	        9.78169E-16  	        4.34509E-23  	        6.46703E-21  	        4.78540E-22  	        5.25672E-17  	        1.25416E-20  	        9.18745E-18  	        1.20634E-17  	        1.05245E-14  	        7.39754E-19  	        4.92182E-19  	        8.61355E-16  	        1.50713E-14  	        2.12305E-17  	        2.66930E-17
        8.00240E-03  	        1.40405E+03  	        2.50479E-01  	        1.01325E+05  	        4.84023E-18  	        1.28237E-13  	        8.55722E-11  	        5.90289E-16  	        1.50237E-12  	        1.32735E-18  	        5.94276E-11  	        1.73317E-13  	        7.18750E-12  	        6.42441E-11  	        6.95991E-11  	        7.28804E-12  	        4.75562E-16  	        2.74112E-13  	        5.15732E-15  	        4.91899E-10  	        1.96418E-15  	        7.42000E-19  	        1.49319E-12  	        5.52230E-11  	        2.93942E-12  	        1.33073E-13  	        2.75232E-15  	        7.48365E-12  	        1.92908E-21  	        4.42409E-14  	        1.12606E-10  	        3.35801E-98  	        4.18259E-07  	        3.17608E-12  	        1.53489E-14  	        2.78337E-11  	        4.57376E-10  	        6.29671E-12  	        4.16682E-13  	        2.69595E-10  	        4.83636E-14  	        5.77537E-12  	        6.01516E-11  	        1.06833E-09  	        5.30198E-14  	        5.53593E-12  	        6.82055E-16  	        2.97341E-14  	        6.43177E-14  	        1.12606E-11  	        5.33737E-11  	        2.09155E-08  	        5.78704E-13  	        1.34826E-10  	        1.20841E-12  	        4.49746E-07  	        1.00321E-12  	        1.81747E-03  	        4.23186E-06  	        5.14345E-11  	        0.00000E+00  	        1.17413E-08  	        3.97704E-06  	        5.41608E-11  	        7.79021E-16  	        1.49510E-11  	        6.85382E-03  	        8.60173E-12  	        1.50110E-10  	        2.64069E-07  	        2.66581E-14  	        1.19906E-12  	        7.01137E-11  	        8.14139E-14  	        2.60239E-15  	        6.75815E-19  	        1.70856E-14  	        5.96065E-14  	        3.67449E-14  	        3.68760E-14  	        1.34582E-13  	        2.21819E-14  	        9.71183E-16  	        4.74398E-10  	        6.73201E-13  	        1.02898E-09  	        2.52136E-12  	        1.76960E-12  	        2.40760E-14  	        2.85527E-15  	        4.88489E-13  	        1.91916E-13  	        1.89109E-15  	        9.99504E-15  	        2.70727E-17  	        5.52111E-14  	        2.02946E-15  	        1.00990E-22  	        2.33469E-20  	        1.98538E-21  	        3.63488E-17  	        3.48642E-20  	        1.77291E-17  	        1.93871E-18  	        6.25471E-15  	        4.17830E-19  	        3.35055E-19  	        2.73070E-16  	        1.11494E-14  	        7.83184E-18  	        4.58081E-18
        9.00243E-03  	        1.40483E+03  	        2.50336E-01  	        1.01325E+05  	        1.49131E-17  	        1.38063E-14  	        7.71328E-11  	        1.31417E-16  	        6.31000E-13  	        5.54348E-19  	        3.11565E-11  	        4.15538E-14  	        4.16931E-12  	        1.70744E-11  	        2.72952E-11  	        3.15477E-12  	        1.93036E-16  	        1.57261E-13  	        4.38693E-15  	        2.47746E-10  	        1.83585E-15  	        8.54992E-19  	        1.19535E-12  	        2.15164E-10  	        1.09864E-12  	        7.78445E-14  	        8.71595E-16  	        5.08653E-12  	        2.11974E-21  	        3.25451E-14  	        5.27542E-11  	        4.33500E-98  	        3.68652E-07  	        1.65750E-12  	        4.66225E-15  	        1.05940E-11  	        1.62048E-10  	        3.95841E-12  	        9.16464E-14  	        1.52205E-10  	        1.83564E-14  	        3.55750E-12  	        2.53512E-11  	        1.05781E-09  	        6.56028E-14  	        3.60340E-12  	        5.14970E-16  	        8.93529E-14  	        8.18989E-14  	        9.48883E-12  	        2.21172E-11  	        1.01503E-08  	        4.17890E-13  	        8.45716E-11  	        4.33009E-13  	        3.60631E-07  	        1.76339E-12  	        1.81571E-03  	        4.81972E-06  	        1.80713E-11  	        0.00000E+00  	        6.31602E-09  	        4.56807E-06  	        1.05949E-10  	        5.16156E-16  	        1.38732E-11  	        6.84954E-03  	        1.40950E-11  	        2.32164E-10  	        2.53051E-07  	        9.15513E-14  	        9.10073E-13  	        1.88417E-11  	        1.23347E-13  	        1.59915E-15  	        4.91961E-19  	        7.70842E-15  	        1.25742E-13  	        5.88908E-14  	        7.91566E-14  	        1.59881E-13  	        1.20496E-14  	        1.01470E-15  	        7.01385E-10  	        1.67843E-12  	        1.44099E-09  	        4.15045E-12  	        3.24618E-12  	        3.52539E-14  	        1.73177E-15  	        9.49384E-13  	        4.47086E-13  	        3.00199E-16  	        9.53184E-15  	        2.15500E-17  	        1.55086E-13  	        1.16461E-14  	        2.58895E-22  	        3.51928E-19  	        2.43814E-20  	        1.57672E-16  	        2.53038E-19  	        5.35543E-17  	        2.12683E-18  	        1.12990E-14  	        2.67333E-19  	        1.26437E-18  	        5.37718E-17  	        2.06311E-14  	        1.59146E-17  	        3.45160E-18
        1.00032E-02  	        1.40515E+03  	        2.50273E-01  	        1.01325E+05  	        9.81720E-19  	        3.95055E-16  	        6.21610E-11  	        2.78093E-18  	        1.20001E-13  	        3.69841E-17  	        1.10159E-11  	        4.66739E-15  	        1.87801E-12  	        2.57252E-12  	        2.08421E-11  	        1.64065E-12  	        8.25767E-16  	        4.62240E-14  	        4.00833E-15  	        1.56988E-10  	        9.66429E-16  	        1.58846E-18  	        3.94438E-13  	        2.54718E-10  	        5.98619E-13  	        6.05159E-14  	        3.23301E-17  	        1.17401E-11  	        7.02335E-23  	        3.49086E-14  	        2.66839E-11  	        8.22318E-29  	        3.07686E-07  	        4.82804E-13  	        2.17091E-16  	        6.64952E-12  	        8.23168E-11  	        1.40261E-12  	        1.32517E-14  	        9.29176E-11  	        8.37233E-15  	        9.85122E-13  	        8.86438E-12  	        9.85775E-10  	        1.16607E-13  	        5.20641E-12  	        4.14439E-16  	        1.81915E-13  	        1.66042E-14  	        5.83211E-12  	        1.87189E-11  	        4.79519E-09  	        3.17794E-13  	        5.04753E-11  	        2.32115E-13  	        2.98636E-07  	        4.47228E-12  	        1.81504E-03  	        5.02151E-06  	        1.83837E-11  	        0.00000E+00  	        3.30961E-09  	        4.75113E-06  	        2.04833E-10  	        3.63953E-16  	        4.01137E-11  	        6.84773E-03  	        4.14364E-11  	        3.47548E-10  	        2.28608E-07  	        4.35390E-13  	        5.16183E-13  	        2.40372E-12  	        3.81235E-13  	        6.05705E-16  	        1.65199E-18  	        3.39118E-15  	        2.44638E-13  	        9.21884E-14  	        1.62464E-13  	        1.76467E-13  	        5.80261E-15  	        1.83135E-15  	        9.05218E-10  	        5.98144E-12  	        1.88861E-09  	        6.25342E-12  	        1.01751E-11  	        8.02499E-14  	        1.06095E-15  	        3.54084E-12  	        1.85691E-12  	        1.69683E-17  	        3.77736E-14  	        1.62105E-17  	        6.27202E-13  	        3.12451E-14  	        1.83526E-22  	        1.61056E-18  	        1.16479E-19  	        8.44797E-16  	        7.01787E-19  	        6.58012E-17  	        2.93344E-18  	        5.79765E-14  	        3.82624E-19  	        1.00683E-17  	        3.61265E-18  	        7.18717E-14  	        3.23513E-17  	        2.47707E-18
