           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.39993E+03  	        3.50696E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        6.02750E-19  	        1.54024E-21  	        2.95284E-20  	        1.13982E-21  	        1.06861E-16  	        3.01941E-23  	        1.48501E-19  	        8.05261E-14  	        2.11347E-16  	        1.22465E-15  	        7.45278E-18  	        1.55133E-21  	        0.00000E+00  	        1.25635E-14  	        1.66217E-18  	        0.00000E+00  	        6.60198E-17  	        2.21790E-13  	        3.23336E-18  	        1.31507E-19  	        1.99580E-20  	        9.62855E-16  	        0.00000E+00  	        2.18296E-19  	        1.05897E-14  	        0.00000E+00  	        5.21212E-13  	        9.30384E-18  	        4.40590E-20  	        8.70784E-16  	        1.51822E-13  	        1.59615E-13  	        2.62758E-18  	        4.68738E-15  	        3.31972E-23  	        1.14490E-17  	        4.73304E-14  	        4.29163E-14  	        1.03930E-14  	        4.73211E-13  	        0.00000E+00  	        8.90888E-17  	        7.67608E-17  	        4.54907E-14  	        1.25279E-14  	        2.25559E-16  	        3.27443E-20  	        4.52416E-13  	        5.86417E-22  	        1.11147E-12  	        5.40189E-16  	        2.69927E-03  	        6.60165E-09  	        2.20027E-15  	        0.00000E+00  	        9.06664E-14  	        6.00590E-03  	        1.27567E-12  	        0.00000E+00  	        4.17019E-15  	        0.00000E+00  	        1.97857E-14  	        1.50281E-13  	        1.98881E-13  	        3.59813E-14  	        1.90764E-14  	        8.43076E-13  	        3.24391E-14  	        1.49266E-19  	        0.00000E+00  	        0.00000E+00  	        2.86698E-17  	        1.80400E-22  	        3.01491E-20  	        2.73693E-21  	        0.00000E+00  	        1.46103E-18  	        0.00000E+00  	        9.99800E-14  	        2.01355E-14  	        3.60516E-19  	        2.53265E-14  	        1.32778E-16  	        0.00000E+00  	        4.65780E-19  	        2.28124E-19  	        0.00000E+00  	        2.14566E-22  	        0.00000E+00  	        1.31788E-14  	        2.16350E-19  	        0.00000E+00  	        1.53144E-23  	        0.00000E+00  	        6.88046E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.95716E-20  	        8.27843E-22  	        0.00000E+00
        2.00000E-03  	        1.39984E+03  	        3.50715E-01  	        1.01325E+05  	        3.47967E-21  	        0.00000E+00  	        5.70809E-15  	        5.72007E-19  	        6.91917E-17  	        3.08220E-18  	        2.25927E-13  	        1.68203E-18  	        1.62598E-15  	        3.91280E-12  	        3.78631E-14  	        1.76414E-13  	        2.08166E-14  	        1.00313E-17  	        0.00000E+00  	        3.04961E-12  	        1.63979E-16  	        1.04328E-21  	        1.56353E-14  	        1.97037E-11  	        2.98936E-16  	        5.69741E-16  	        4.42653E-17  	        2.17603E-13  	        9.51673E-22  	        3.98552E-15  	        2.01422E-12  	        0.00000E+00  	        1.16877E-11  	        3.60910E-15  	        3.34583E-17  	        1.68824E-13  	        1.24288E-11  	        1.53298E-11  	        1.51804E-15  	        5.11085E-12  	        1.52277E-17  	        2.34209E-15  	        4.54813E-12  	        9.38935E-12  	        5.05073E-13  	        2.70157E-12  	        8.36528E-23  	        4.82781E-14  	        2.14959E-14  	        3.33001E-12  	        1.23926E-11  	        5.69495E-14  	        3.01824E-17  	        3.73001E-11  	        3.24032E-16  	        1.03355E-10  	        2.04433E-13  	        2.69939E-03  	        1.30592E-07  	        6.51148E-13  	        0.00000E+00  	        5.92407E-11  	        6.00619E-03  	        8.84758E-11  	        0.00000E+00  	        9.05323E-13  	        2.19505E-19  	        1.59369E-11  	        3.57876E-11  	        3.23089E-11  	        1.45593E-12  	        3.04820E-12  	        5.81516E-11  	        1.29666E-12  	        4.85318E-17  	        7.59862E-23  	        0.00000E+00  	        7.31954E-15  	        2.31377E-18  	        3.01383E-17  	        1.51642E-18  	        5.44173E-24  	        5.60343E-16  	        1.17135E-21  	        9.90680E-13  	        2.01539E-13  	        3.42105E-16  	        2.53990E-13  	        1.62007E-15  	        9.34545E-21  	        5.86607E-17  	        7.19283E-17  	        0.00000E+00  	        1.39873E-17  	        2.23004E-22  	        1.30147E-13  	        7.30866E-17  	        0.00000E+00  	        2.46683E-20  	        1.41913E-21  	        3.08273E-18  	        1.15429E-21  	        1.46530E-20  	        0.00000E+00  	        4.77863E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.42192E-17  	        1.06248E-18  	        6.71827E-21
        3.10000E-03  	        1.39975E+03  	        3.50734E-01  	        1.01325E+05  	        3.12688E-18  	        7.43798E-19  	        1.00300E-11  	        1.34198E-16  	        2.88040E-14  	        3.42566E-17  	        3.08230E-11  	        5.85047E-16  	        9.59963E-13  	        6.00633E-11  	        4.32552E-11  	        4.98220E-12  	        3.09283E-12  	        1.26922E-14  	        1.17684E-18  	        6.28862E-10  	        2.89985E-14  	        3.75616E-16  	        1.63548E-12  	        2.12155E-10  	        5.16926E-13  	        2.10859E-13  	        4.15857E-15  	        1.10165E-11  	        3.74575E-19  	        6.63648E-13  	        2.32546E-10  	        1.46809E-23  	        4.66084E-10  	        5.48997E-13  	        1.88367E-14  	        2.72280E-11  	        1.78462E-10  	        2.39278E-10  	        1.30736E-12  	        3.68099E-10  	        1.43139E-14  	        3.44252E-13  	        9.55094E-11  	        5.73031E-10  	        4.45812E-12  	        1.50205E-11  	        4.15250E-18  	        4.59684E-12  	        1.15485E-12  	        9.39806E-11  	        8.01466E-10  	        9.95465E-12  	        1.12134E-14  	        6.70978E-10  	        5.74507E-13  	        7.44045E-09  	        8.38448E-12  	        2.69950E-03  	        3.41756E-07  	        2.62645E-11  	        0.00000E+00  	        3.96709E-09  	        6.00644E-03  	        1.36292E-09  	        2.21684E-19  	        2.53071E-11  	        1.75434E-17  	        5.76201E-10  	        1.69721E-09  	        1.07829E-09  	        1.53646E-11  	        6.54504E-11  	        4.94044E-10  	        1.43814E-11  	        8.21272E-15  	        1.28683E-19  	        0.00000E+00  	        1.48683E-13  	        4.26428E-16  	        7.50981E-15  	        4.48856E-17  	        3.65674E-19  	        7.68627E-14  	        1.32582E-18  	        3.95944E-12  	        1.08356E-12  	        9.99180E-14  	        1.22250E-12  	        8.37932E-15  	        1.12536E-18  	        1.01223E-14  	        4.29981E-15  	        0.00000E+00  	        3.47258E-15  	        7.71892E-20  	        4.68567E-13  	        2.96297E-15  	        0.00000E+00  	        1.32310E-18  	        4.92368E-20  	        1.57947E-16  	        1.27559E-19  	        1.06377E-18  	        1.91743E-21  	        3.09657E-16  	        1.22205E-21  	        0.00000E+00  	        0.00000E+00  	        1.97755E-15  	        1.08064E-16  	        7.79782E-18
        4.10000E-03  	        1.39972E+03  	        3.50737E-01  	        1.01325E+05  	        1.87354E-17  	        4.70793E-17  	        9.55672E-11  	        7.55570E-16  	        3.78321E-13  	        1.15184E-15  	        3.33404E-10  	        1.00749E-14  	        1.52742E-11  	        3.01171E-10  	        7.22934E-10  	        3.77337E-11  	        2.06514E-11  	        3.19867E-13  	        5.87255E-16  	        4.85572E-09  	        2.50132E-13  	        1.88201E-14  	        1.05004E-11  	        4.25585E-10  	        1.51133E-11  	        5.05216E-12  	        8.30008E-15  	        5.16618E-11  	        1.14886E-17  	        1.87672E-12  	        1.21188E-09  	        2.15029E-19  	        4.70765E-09  	        3.60028E-12  	        1.16389E-13  	        9.38417E-11  	        9.98022E-10  	        4.77638E-10  	        8.84595E-12  	        2.34503E-09  	        3.63041E-13  	        3.90698E-12  	        5.05157E-10  	        2.07209E-09  	        1.86800E-11  	        1.58028E-10  	        5.46044E-16  	        2.84307E-11  	        2.65246E-12  	        4.27416E-10  	        3.73633E-09  	        1.40959E-10  	        4.56067E-13  	        2.77404E-09  	        1.19529E-11  	        1.09054E-07  	        6.04294E-11  	        2.69940E-03  	        4.19342E-07  	        2.47171E-10  	        0.00000E+00  	        2.14899E-08  	        6.00646E-03  	        2.79860E-09  	        2.91185E-17  	        1.81247E-10  	        2.24192E-16  	        1.39540E-09  	        7.64114E-09  	        8.29626E-09  	        7.06808E-11  	        2.51431E-10  	        4.67329E-10  	        6.75286E-11  	        8.44772E-14  	        4.01930E-19  	        0.00000E+00  	        4.38330E-13  	        4.77796E-15  	        4.47280E-14  	        6.71832E-16  	        1.66947E-17  	        1.63846E-13  	        5.02201E-17  	        6.08638E-12  	        6.83216E-12  	        8.72110E-13  	        3.60154E-12  	        2.55565E-14  	        1.08214E-17  	        2.22787E-13  	        5.17397E-14  	        2.23072E-21  	        4.23385E-14  	        1.30570E-18  	        5.07463E-13  	        9.45414E-15  	        0.00000E+00  	        4.24582E-18  	        1.26727E-19  	        4.50958E-16  	        5.68130E-19  	        4.52324E-18  	        3.27865E-18  	        1.02547E-14  	        8.75973E-18  	        3.99294E-21  	        4.39457E-21  	        2.04104E-14  	        1.04984E-15  	        8.54403E-17
        5.05506E-03  	        1.39991E+03  	        3.50679E-01  	        1.01325E+05  	        4.55054E-17  	        8.01517E-16  	        1.15369E-10  	        3.15112E-15  	        1.03677E-12  	        1.52965E-15  	        6.32511E-10  	        3.03846E-14  	        3.93980E-11  	        6.73942E-10  	        2.20133E-09  	        6.94491E-11  	        2.12974E-11  	        7.06808E-13  	        9.09185E-15  	        4.35078E-09  	        3.30096E-13  	        5.75696E-14  	        1.58888E-11  	        7.34332E-10  	        5.15087E-11  	        1.82984E-11  	        1.40223E-14  	        9.41750E-11  	        5.61311E-17  	        1.80114E-12  	        1.23298E-09  	        2.08241E-18  	        2.51091E-08  	        8.16188E-12  	        3.68125E-13  	        1.58670E-10  	        4.22548E-09  	        5.62410E-10  	        1.60476E-11  	        2.84107E-09  	        1.29042E-12  	        8.77337E-12  	        9.21607E-10  	        1.76126E-09  	        2.57280E-11  	        3.41872E-10  	        5.28246E-15  	        4.04831E-11  	        3.53240E-12  	        3.14324E-10  	        3.08768E-09  	        6.89586E-10  	        2.77121E-12  	        2.72818E-09  	        2.07377E-11  	        4.30828E-07  	        1.05873E-10  	        2.69844E-03  	        8.67267E-07  	        6.61649E-10  	        0.00000E+00  	        2.23187E-08  	        6.00541E-03  	        2.82754E-09  	        4.62795E-16  	        3.95594E-10  	        1.37976E-15  	        1.39452E-09  	        6.86081E-09  	        2.71864E-08  	        1.20787E-10  	        3.84138E-10  	        8.69628E-10  	        1.17573E-10  	        1.97598E-13  	        8.91934E-20  	        4.16579E-23  	        2.67587E-13  	        1.05558E-14  	        4.50838E-14  	        3.43008E-15  	        1.64965E-16  	        4.86722E-14  	        5.55777E-16  	        3.87686E-12  	        2.55626E-11  	        1.00259E-12  	        5.78435E-12  	        4.42184E-14  	        6.10327E-17  	        1.16171E-12  	        3.40747E-13  	        1.26740E-19  	        9.66446E-14  	        4.84905E-18  	        3.04575E-13  	        8.43566E-15  	        0.00000E+00  	        3.53723E-18  	        7.27000E-20  	        5.35685E-16  	        7.01662E-19  	        7.38518E-18  	        8.35945E-17  	        4.16733E-14  	        2.92363E-17  	        1.96494E-19  	        4.66909E-19  	        4.74402E-14  	        9.03695E-16  	        9.99413E-17
        6.00110E-03  	        1.40062E+03  	        3.50495E-01  	        1.01325E+05  	        7.44896E-18  	        2.98812E-13  	        3.24669E-11  	        1.18117E-15  	        5.00146E-12  	        3.85237E-17  	        4.41777E-11  	        4.93110E-13  	        3.55318E-11  	        5.29738E-11  	        1.00679E-09  	        4.39742E-11  	        5.80374E-14  	        1.13162E-12  	        1.45476E-14  	        1.84138E-09  	        9.32448E-15  	        3.43968E-16  	        4.32658E-12  	        7.01433E-11  	        3.36745E-11  	        3.26807E-12  	        6.89404E-15  	        6.69126E-12  	        1.96348E-20  	        7.88361E-14  	        7.23170E-10  	        3.17669E-22  	        8.87648E-08  	        1.09225E-11  	        2.77559E-14  	        1.24402E-10  	        4.06963E-09  	        2.98171E-11  	        7.04440E-13  	        8.56752E-10  	        1.96640E-12  	        1.38345E-11  	        1.06739E-10  	        1.21673E-09  	        2.01340E-12  	        5.16561E-11  	        2.23591E-15  	        8.47980E-14  	        2.00497E-13  	        6.38096E-11  	        2.63101E-10  	        6.08117E-09  	        1.76184E-12  	        5.08661E-10  	        1.72884E-12  	        7.90644E-07  	        1.76776E-12  	        2.69570E-03  	        1.88106E-06  	        3.68132E-11  	        0.00000E+00  	        8.71679E-09  	        6.00254E-03  	        3.23207E-10  	        1.60112E-15  	        1.70766E-11  	        6.20331E-15  	        4.88653E-11  	        7.51867E-10  	        8.18006E-08  	        1.23596E-11  	        3.59852E-11  	        5.59001E-11  	        1.23417E-11  	        4.50747E-13  	        3.06073E-21  	        5.00386E-22  	        9.02862E-14  	        9.76678E-15  	        1.06906E-14  	        9.17740E-15  	        2.76797E-15  	        8.61755E-15  	        1.95820E-15  	        9.49087E-13  	        6.40807E-11  	        6.89170E-13  	        3.22546E-12  	        2.94647E-14  	        3.57373E-16  	        1.31087E-12  	        3.17300E-13  	        1.23413E-20  	        6.34859E-14  	        2.09130E-17  	        6.44479E-14  	        7.16516E-16  	        1.04592E-24  	        8.09297E-21  	        5.51236E-22  	        1.54467E-16  	        1.23466E-20  	        4.60635E-18  	        5.93914E-20  	        2.79031E-14  	        2.79902E-19  	        9.91375E-21  	        1.47898E-22  	        3.03998E-14  	        2.62421E-17  	        8.23661E-18
        7.00235E-03  	        1.40180E+03  	        3.50195E-01  	        1.01325E+05  	        2.86953E-18  	        6.63224E-14  	        5.46703E-11  	        7.60154E-16  	        1.24994E-12  	        2.20892E-18  	        1.60608E-10  	        1.28042E-13  	        1.06004E-11  	        1.26875E-10  	        1.28053E-10  	        2.67196E-11  	        4.40685E-15  	        2.97508E-13  	        1.07265E-14  	        1.15426E-09  	        2.00303E-15  	        5.83949E-18  	        1.34735E-12  	        9.89161E-12  	        7.03256E-12  	        2.41574E-13  	        5.02065E-15  	        1.31052E-11  	        1.37447E-21  	        5.55923E-14  	        3.44391E-10  	        4.2645E-115  	        1.46806E-07  	        2.62244E-12  	        1.93777E-14  	        3.32795E-11  	        1.06101E-09  	        1.00076E-11  	        6.18153E-13  	        4.38277E-10  	        5.30737E-14  	        3.95218E-12  	        1.04279E-10  	        1.51712E-09  	        8.19027E-14  	        1.39989E-11  	        9.16075E-16  	        3.45045E-14  	        8.02117E-14  	        1.75672E-11  	        1.11897E-10  	        8.22890E-09  	        9.98792E-13  	        2.81967E-10  	        1.34591E-12  	        1.01077E-06  	        1.69391E-12  	        2.69133E-03  	        3.39960E-06  	        9.94773E-11  	        0.00000E+00  	        8.12057E-09  	        5.99811E-03  	        8.72082E-11  	        1.00500E-15  	        3.13549E-11  	        2.51786E-14  	        8.87299E-12  	        2.71465E-10  	        1.43275E-07  	        1.98439E-13  	        2.30943E-12  	        1.39142E-10  	        2.37427E-13  	        1.89555E-15  	        6.09500E-21  	        2.58836E-21  	        6.23173E-14  	        1.30254E-14  	        1.38307E-14  	        2.36233E-14  	        4.39004E-15  	        4.11160E-15  	        2.29950E-15  	        7.15030E-13  	        1.62230E-10  	        1.10229E-12  	        2.18279E-12  	        2.25854E-14  	        5.25528E-16  	        8.43404E-13  	        1.70221E-13  	        3.07044E-20  	        2.46387E-14  	        7.79455E-18  	        5.41762E-14  	        1.03354E-15  	        7.19064E-24  	        1.43898E-20  	        1.17928E-21  	        5.40675E-17  	        2.27659E-20  	        7.72874E-18  	        1.53797E-17  	        1.45321E-14  	        2.57379E-19  	        3.34482E-20  	        1.77256E-22  	        1.98963E-14  	        1.86818E-18  	        8.25048E-19
        8.00381E-03  	        1.40267E+03  	        3.49971E-01  	        1.01325E+05  	        1.69885E-18  	        1.88606E-14  	        5.71360E-11  	        4.32946E-16  	        6.18981E-13  	        6.08411E-20  	        9.07720E-11  	        5.09706E-14  	        6.09593E-12  	        9.64397E-11  	        2.97398E-11  	        1.28798E-11  	        6.35845E-16  	        1.63209E-13  	        9.28415E-15  	        6.63735E-10  	        1.26023E-15  	        6.02931E-19  	        8.80097E-13  	        6.90452E-11  	        1.94899E-12  	        6.34263E-14  	        3.30881E-15  	        1.09076E-11  	        6.62852E-22  	        3.43129E-14  	        1.65116E-10  	        3.4985E-115  	        1.55609E-07  	        1.52594E-12  	        1.18742E-14  	        1.46174E-11  	        3.28869E-10  	        6.79820E-12  	        3.47086E-13  	        2.77345E-10  	        2.71540E-14  	        2.23221E-12  	        7.42415E-11  	        1.65394E-09  	        5.58380E-14  	        7.53507E-12  	        5.49410E-16  	        2.61235E-14  	        6.29130E-14  	        1.02719E-11  	        6.11923E-11  	        6.13393E-09  	        7.23958E-13  	        1.74767E-10  	        7.25958E-13  	        1.03525E-06  	        1.21525E-12  	        2.68818E-03  	        4.46854E-06  	        7.70616E-11  	        0.00000E+00  	        5.95133E-09  	        5.99485E-03  	        6.57030E-11  	        5.72894E-16  	        2.28758E-11  	        9.96410E-14  	        8.93865E-12  	        1.85997E-10  	        1.63046E-07  	        3.82296E-14  	        1.43059E-12  	        1.05374E-10  	        1.22933E-13  	        1.42403E-15  	        2.90889E-20  	        1.03958E-20  	        6.29391E-14  	        2.29410E-14  	        2.57523E-14  	        4.98273E-14  	        5.54432E-15  	        2.18901E-15  	        6.73910E-15  	        8.25921E-13  	        3.65409E-10  	        2.37949E-12  	        2.28096E-12  	        2.59935E-14  	        7.62357E-16  	        8.96021E-13  	        2.20255E-13  	        1.22680E-19  	        1.16074E-14  	        9.58128E-18  	        7.45890E-14  	        2.06600E-15  	        2.76075E-23  	        4.04621E-20  	        3.68877E-21  	        5.96856E-17  	        5.47787E-20  	        1.39424E-17  	        1.94943E-18  	        1.16936E-14  	        2.04702E-19  	        1.66806E-19  	        8.48787E-22  	        1.99940E-14  	        2.74788E-18  	        8.22628E-19
        9.00042E-03  	        1.40318E+03  	        3.49835E-01  	        1.01325E+05  	        2.22898E-18  	        2.12598E-15  	        4.86310E-11  	        8.77089E-17  	        2.57573E-13  	        1.31871E-18  	        5.15791E-11  	        1.12513E-14  	        3.39190E-12  	        3.07090E-11  	        1.43031E-11  	        5.65102E-12  	        3.87158E-16  	        9.21261E-14  	        8.53424E-15  	        3.68193E-10  	        1.10166E-15  	        7.85357E-19  	        6.70077E-13  	        2.73395E-10  	        7.33054E-13  	        4.60766E-14  	        1.01531E-15  	        7.28785E-12  	        3.95195E-22  	        2.34817E-14  	        7.75693E-11  	        4.1791E-115  	        1.39114E-07  	        7.66917E-13  	        3.12095E-15  	        6.04000E-12  	        1.22519E-10  	        4.62730E-12  	        9.03749E-14  	        1.83027E-10  	        1.11740E-14  	        1.24147E-12  	        3.17614E-11  	        1.66110E-09  	        6.82145E-14  	        5.11414E-12  	        4.01867E-16  	        5.50634E-14  	        5.18863E-14  	        8.20024E-12  	        2.68356E-11  	        2.93777E-09  	        5.73224E-13  	        1.02889E-10  	        2.37677E-13  	        9.31796E-07  	        1.56990E-12  	        2.68637E-03  	        5.04547E-06  	        2.98034E-11  	        0.00000E+00  	        3.24724E-09  	        5.99291E-03  	        1.18876E-10  	        3.43352E-16  	        1.95550E-11  	        3.30041E-13  	        1.63112E-11  	        2.64311E-10  	        1.56198E-07  	        1.13652E-13  	        1.18132E-12  	        3.38110E-11  	        1.79068E-13  	        8.53613E-16  	        2.36367E-19  	        3.43838E-20  	        1.08905E-13  	        4.40611E-14  	        6.07668E-14  	        8.37905E-14  	        4.64275E-15  	        1.95528E-15  	        5.06727E-14  	        1.79583E-12  	        6.86882E-10  	        5.06088E-12  	        4.39890E-12  	        4.62743E-14  	        8.52379E-16  	        2.18855E-12  	        6.88765E-13  	        6.55521E-19  	        1.29556E-14  	        1.16913E-17  	        1.85092E-13  	        7.91011E-15  	        6.99552E-23  	        2.65400E-19  	        2.61626E-20  	        2.39874E-16  	        2.36575E-19  	        3.14112E-17  	        5.82747E-18  	        2.31661E-14  	        9.58728E-20  	        1.54835E-18  	        5.33673E-21  	        3.95581E-14  	        1.00500E-17  	        1.65126E-18
        1.00109E-02  	        1.40346E+03  	        3.49759E-01  	        1.01325E+05  	        2.27183E-19  	        2.14196E-16  	        3.90245E-11  	        3.31435E-18  	        1.01757E-13  	        1.39148E-16  	        1.76031E-11  	        2.78259E-15  	        1.94703E-12  	        3.87578E-12  	        1.17389E-11  	        2.70692E-12  	        1.16179E-15  	        4.72753E-14  	        8.14245E-15  	        2.21314E-10  	        8.83558E-16  	        1.08021E-18  	        4.11156E-13  	        3.45670E-10  	        4.47973E-13  	        3.97955E-14  	        6.33048E-17  	        1.01142E-11  	        1.13117E-23  	        2.34858E-14  	        4.20511E-11  	        5.3763E-115  	        1.21930E-07  	        3.60298E-13  	        1.82807E-16  	        3.98531E-12  	        6.46008E-11  	        1.69310E-12  	        1.64621E-14  	        1.22913E-10  	        6.29076E-15  	        6.21430E-13  	        1.19516E-11  	        1.60592E-09  	        9.17901E-14  	        5.12932E-12  	        3.27387E-16  	        1.01835E-13  	        2.41196E-14  	        7.13532E-12  	        1.61601E-11  	        1.48131E-09  	        4.73234E-13  	        6.36796E-11  	        1.15558E-13  	        8.34448E-07  	        2.83176E-12  	        2.68543E-03  	        5.32983E-06  	        1.64492E-11  	        0.00000E+00  	        1.87670E-09  	        5.99183E-03  	        2.07451E-10  	        2.18571E-16  	        3.42426E-11  	        9.09029E-13  	        3.41560E-11  	        3.79822E-10  	        1.45456E-07  	        3.39693E-13  	        6.21161E-13  	        3.95780E-12  	        3.14794E-13  	        3.44631E-16  	        1.10749E-18  	        6.88671E-20  	        2.04615E-13  	        6.48671E-14  	        1.12995E-13  	        1.13273E-13  	        3.01103E-15  	        3.48436E-15  	        2.62025E-13  	        4.55810E-12  	        1.09541E-09  	        9.45285E-12  	        1.07363E-11  	        9.85515E-14  	        7.16098E-16  	        6.37424E-12  	        1.99133E-12  	        1.99308E-18  	        4.33060E-14  	        1.16623E-17  	        5.04579E-13  	        1.65288E-14  	        4.78468E-23  	        8.19678E-19  	        8.71289E-20  	        7.67512E-16  	        6.34202E-19  	        3.80727E-17  	        5.10503E-18  	        7.14995E-14  	        1.32889E-19  	        9.80933E-18  	        2.03485E-20  	        1.02714E-13  	        3.08149E-17  	        3.04323E-18
