           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.39989E+03  	        2.51202E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        7.03073E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.52095E-19  	        0.00000E+00  	        2.21923E-23  	        4.66798E-15  	        4.37016E-17  	        3.90545E-17  	        4.49382E-21  	        4.58224E-23  	        0.00000E+00  	        8.61119E-16  	        8.27816E-20  	        0.00000E+00  	        4.75257E-18  	        1.21280E-14  	        4.86565E-19  	        0.00000E+00  	        0.00000E+00  	        3.37720E-17  	        0.00000E+00  	        2.47757E-22  	        6.69540E-16  	        0.00000E+00  	        6.20989E-14  	        1.08375E-18  	        1.18078E-21  	        4.92110E-17  	        5.16967E-15  	        9.97896E-15  	        1.37546E-19  	        4.87052E-18  	        0.00000E+00  	        1.08147E-18  	        3.05160E-15  	        4.67651E-15  	        4.25225E-16  	        8.13597E-14  	        0.00000E+00  	        2.22084E-18  	        7.51385E-18  	        2.26106E-15  	        5.42469E-17  	        2.03618E-17  	        0.00000E+00  	        1.67351E-14  	        0.00000E+00  	        5.90829E-14  	        1.39772E-17  	        1.82843E-03  	        3.23057E-09  	        5.53333E-17  	        0.00000E+00  	        2.54947E-15  	        1.32306E-14  	        9.75347E-14  	        0.00000E+00  	        1.01836E-16  	        6.87694E-03  	        1.86070E-16  	        1.01689E-14  	        1.03721E-14  	        1.06167E-15  	        4.54809E-16  	        5.27947E-14  	        9.04321E-16  	        3.59051E-21  	        0.00000E+00  	        0.00000E+00  	        3.23929E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.41665E-19  	        1.66008E-14  	        2.14876E-14  	        4.32633E-15  	        1.97028E-20  	        5.44275E-15  	        2.68770E-17  	        0.00000E+00  	        0.00000E+00  	        7.99868E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.83230E-15  	        1.50386E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        2.00000E-03  	        1.39977E+03  	        2.51225E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        2.79250E-18  	        3.82650E-21  	        2.51286E-20  	        8.75898E-22  	        5.42702E-17  	        0.00000E+00  	        1.88095E-19  	        7.85683E-14  	        3.83889E-16  	        1.76780E-15  	        2.16373E-18  	        5.22887E-21  	        0.00000E+00  	        4.12819E-14  	        3.10073E-18  	        0.00000E+00  	        1.66941E-16  	        3.74202E-13  	        6.41472E-18  	        9.62302E-20  	        3.29330E-20  	        1.52658E-15  	        0.00000E+00  	        1.28238E-19  	        2.83182E-14  	        0.00000E+00  	        3.59467E-13  	        4.12288E-17  	        1.14428E-19  	        1.61101E-15  	        1.56491E-13  	        3.28555E-13  	        8.92819E-18  	        1.15979E-15  	        0.00000E+00  	        3.99099E-17  	        9.86947E-14  	        1.74337E-13  	        7.05899E-15  	        3.66603E-13  	        0.00000E+00  	        2.11654E-16  	        2.63968E-16  	        7.10842E-14  	        5.43406E-15  	        7.48095E-16  	        8.68580E-21  	        5.52479E-13  	        3.50342E-22  	        1.21013E-12  	        1.33786E-15  	        1.82860E-03  	        3.74627E-08  	        3.86383E-15  	        0.00000E+00  	        6.36287E-14  	        2.15371E-13  	        1.99472E-12  	        0.00000E+00  	        5.81267E-15  	        6.87755E-03  	        1.76399E-14  	        1.78646E-13  	        4.49893E-13  	        1.79453E-14  	        2.34340E-14  	        1.47073E-12  	        1.47901E-14  	        1.29622E-19  	        0.00000E+00  	        0.00000E+00  	        5.11447E-17  	        1.24362E-23  	        5.40316E-20  	        1.61567E-21  	        0.00000E+00  	        3.41588E-18  	        3.25763E-14  	        1.43901E-13  	        2.89852E-14  	        7.35834E-19  	        3.64192E-14  	        2.26479E-16  	        0.00000E+00  	        1.52855E-20  	        3.35451E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.89676E-14  	        2.48951E-19  	        0.00000E+00  	        3.93452E-24  	        0.00000E+00  	        2.85018E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.13594E-20  	        7.04906E-23  	        0.00000E+00
        3.10000E-03  	        1.39960E+03  	        2.51253E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        2.26429E-16  	        1.25589E-19  	        2.48198E-18  	        8.62833E-20  	        4.92056E-15  	        3.40358E-20  	        1.53859E-17  	        6.82202E-13  	        2.24506E-15  	        3.13178E-14  	        1.96862E-16  	        1.87084E-19  	        0.00000E+00  	        7.82283E-13  	        4.12034E-17  	        0.00000E+00  	        2.37594E-15  	        5.01697E-12  	        4.22064E-17  	        1.50833E-17  	        1.50627E-18  	        2.87295E-14  	        0.00000E+00  	        1.63519E-17  	        5.16652E-13  	        0.00000E+00  	        3.66933E-12  	        6.53451E-16  	        1.93179E-18  	        2.14666E-14  	        1.90544E-12  	        4.27220E-12  	        1.83186E-16  	        7.58953E-14  	        2.17407E-20  	        5.75150E-16  	        1.26301E-12  	        3.00122E-12  	        6.28260E-14  	        1.03840E-12  	        0.00000E+00  	        5.95078E-15  	        3.87507E-15  	        9.05264E-13  	        2.42826E-13  	        1.13569E-14  	        6.67079E-19  	        7.66312E-12  	        9.54469E-19  	        1.55494E-11  	        3.67353E-14  	        1.82878E-03  	        2.32130E-07  	        9.42707E-14  	        0.00000E+00  	        1.38986E-12  	        2.79468E-12  	        2.35872E-11  	        0.00000E+00  	        1.25334E-13  	        6.87823E-03  	        6.34344E-13  	        2.92504E-12  	        9.46055E-12  	        1.53053E-13  	        4.59992E-13  	        1.74411E-11  	        1.24358E-13  	        1.11710E-18  	        0.00000E+00  	        1.16533E-23  	        7.27238E-16  	        1.48109E-20  	        1.42534E-18  	        6.78777E-20  	        0.00000E+00  	        5.16539E-17  	        5.06684E-14  	        5.61117E-13  	        1.13195E-13  	        2.27164E-17  	        1.42178E-13  	        9.68781E-16  	        0.00000E+00  	        2.74776E-18  	        6.93578E-18  	        0.00000E+00  	        5.03039E-20  	        0.00000E+00  	        7.39339E-14  	        4.92244E-18  	        0.00000E+00  	        6.28453E-22  	        1.61811E-23  	        1.10995E-19  	        0.00000E+00  	        1.11052E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.39450E-18  	        2.73681E-20  	        0.00000E+00
        4.10000E-03  	        1.39941E+03  	        2.51282E-01  	        1.01325E+05  	        6.87799E-22  	        0.00000E+00  	        4.88037E-15  	        8.03714E-19  	        3.88552E-17  	        2.52704E-18  	        1.03338E-13  	        1.11524E-18  	        5.13544E-16  	        2.82639E-12  	        2.08172E-14  	        2.09466E-13  	        3.58906E-15  	        6.17815E-18  	        0.00000E+00  	        5.89042E-12  	        2.27987E-16  	        0.00000E+00  	        1.56764E-14  	        2.73661E-11  	        3.05561E-16  	        3.67186E-16  	        2.77258E-17  	        2.28642E-13  	        8.65198E-23  	        8.36423E-16  	        3.79615E-12  	        0.00000E+00  	        1.92469E-11  	        5.28961E-15  	        1.98406E-17  	        1.31553E-13  	        9.54710E-12  	        2.25253E-11  	        1.75324E-15  	        1.22511E-12  	        2.21894E-18  	        3.62193E-15  	        6.57896E-12  	        2.16456E-11  	        3.06571E-13  	        2.03920E-12  	        0.00000E+00  	        6.06340E-14  	        2.83743E-14  	        4.73646E-12  	        3.38469E-12  	        7.92097E-14  	        1.32770E-17  	        4.35235E-11  	        1.43222E-16  	        9.78134E-11  	        3.18718E-13  	        1.82892E-03  	        7.24035E-07  	        7.89338E-13  	        0.00000E+00  	        1.67054E-11  	        2.31150E-11  	        1.26365E-10  	        0.00000E+00  	        9.87909E-13  	        6.87878E-03  	        7.35973E-12  	        2.26497E-11  	        7.74436E-11  	        6.28081E-13  	        3.21498E-12  	        8.54634E-11  	        4.78570E-13  	        2.93204E-17  	        0.00000E+00  	        2.83547E-20  	        6.51459E-15  	        6.76787E-19  	        1.85279E-17  	        8.83603E-19  	        0.00000E+00  	        5.62697E-16  	        7.30157E-14  	        1.36602E-12  	        2.77217E-13  	        3.40679E-16  	        3.48579E-13  	        2.46392E-15  	        5.44243E-21  	        6.16434E-17  	        6.00564E-17  	        0.00000E+00  	        3.42231E-18  	        0.00000E+00  	        1.79462E-13  	        5.12801E-17  	        0.00000E+00  	        9.98318E-21  	        4.46204E-22  	        1.27043E-18  	        1.66277E-22  	        8.22993E-21  	        0.00000E+00  	        3.67559E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.54321E-17  	        4.91788E-19  	        1.24352E-22
        5.00000E-03  	        1.39922E+03  	        2.51310E-01  	        1.01325E+05  	        2.51023E-20  	        0.00000E+00  	        5.28181E-14  	        3.11380E-18  	        3.30807E-16  	        1.81232E-17  	        8.61010E-13  	        1.10579E-17  	        7.08395E-15  	        7.36463E-12  	        2.20189E-13  	        7.70282E-13  	        2.71881E-14  	        7.89587E-17  	        0.00000E+00  	        2.81004E-11  	        8.48460E-16  	        6.49040E-21  	        7.11713E-14  	        8.28972E-11  	        3.07151E-15  	        3.34594E-15  	        2.14577E-16  	        1.03262E-12  	        1.58506E-21  	        1.14239E-14  	        1.71577E-11  	        0.00000E+00  	        6.61834E-11  	        2.97063E-14  	        1.99159E-16  	        6.62376E-13  	        2.83188E-11  	        6.74238E-11  	        1.48383E-14  	        8.26251E-12  	        4.52265E-17  	        1.54816E-14  	        1.96382E-11  	        9.34866E-11  	        8.77338E-13  	        3.27553E-12  	        1.31364E-22  	        3.60110E-13  	        1.36196E-13  	        1.49444E-11  	        2.10864E-11  	        3.77320E-13  	        1.20190E-16  	        1.40868E-10  	        3.77533E-15  	        4.08644E-10  	        1.38785E-12  	        1.82903E-03  	        1.43000E-06  	        3.34805E-12  	        0.00000E+00  	        1.03279E-10  	        1.23147E-10  	        4.08544E-10  	        0.00000E+00  	        4.03392E-12  	        6.87920E-03  	        3.86987E-11  	        9.91273E-11  	        3.38690E-10  	        1.59969E-12  	        1.18554E-11  	        2.38694E-10  	        1.16732E-12  	        2.79914E-16  	        2.39109E-24  	        2.31864E-19  	        3.04238E-14  	        8.96200E-18  	        1.44390E-16  	        4.31530E-18  	        6.52502E-23  	        3.91393E-15  	        1.12549E-13  	        2.51813E-12  	        5.19928E-13  	        2.77811E-15  	        6.55153E-13  	        4.72311E-15  	        6.91399E-20  	        5.08220E-16  	        2.94279E-16  	        6.63351E-23  	        4.83300E-17  	        3.93283E-22  	        3.27039E-13  	        2.64308E-16  	        0.00000E+00  	        6.18822E-20  	        2.75338E-21  	        6.88270E-18  	        2.03398E-21  	        6.42014E-20  	        0.00000E+00  	        2.54871E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.80405E-16  	        3.14888E-18  	        3.99275E-20
        6.00000E-03  	        1.39899E+03  	        2.51341E-01  	        1.01325E+05  	        4.23495E-19  	        1.20503E-20  	        6.07617E-13  	        1.68561E-17  	        3.45091E-15  	        5.93639E-17  	        5.99571E-12  	        1.10974E-16  	        7.89831E-14  	        1.74623E-11  	        2.70594E-12  	        2.38083E-12  	        2.02728E-13  	        1.14920E-15  	        2.62071E-21  	        1.53212E-10  	        4.19444E-15  	        1.08138E-18  	        3.65805E-13  	        1.95762E-10  	        4.11776E-14  	        2.78466E-14  	        1.34330E-15  	        4.32749E-12  	        1.27762E-20  	        8.89267E-14  	        8.32908E-11  	        0.00000E+00  	        2.36731E-10  	        1.83735E-13  	        2.29529E-15  	        4.19890E-12  	        7.55443E-11  	        1.63765E-10  	        1.62939E-13  	        4.52391E-11  	        7.15136E-16  	        7.70727E-14  	        4.85514E-11  	        3.65193E-10  	        2.10179E-12  	        5.35986E-12  	        4.78758E-20  	        1.97233E-12  	        6.19827E-13  	        4.57694E-11  	        1.06193E-10  	        2.11981E-12  	        1.05334E-15  	        3.87021E-10  	        4.99315E-14  	        1.86625E-09  	        5.00454E-12  	        1.82915E-03  	        2.25921E-06  	        1.14281E-11  	        0.00000E+00  	        5.37725E-10  	        6.34033E-10  	        1.19671E-09  	        2.47053E-22  	        1.34291E-11  	        6.87964E-03  	        1.44022E-10  	        3.88052E-10  	        1.29813E-09  	        3.65751E-12  	        3.66389E-11  	        5.33568E-10  	        2.75049E-12  	        2.15898E-15  	        8.84506E-21  	        1.46026E-18  	        1.17207E-13  	        9.72942E-17  	        1.31886E-15  	        1.53718E-17  	        4.02253E-20  	        2.84944E-14  	        2.28397E-13  	        4.28763E-12  	        9.50996E-13  	        2.06654E-14  	        1.18222E-12  	        8.64624E-15  	        4.57819E-19  	        3.52463E-15  	        1.42230E-15  	        7.26867E-20  	        5.26314E-16  	        4.98319E-21  	        5.35929E-13  	        1.17966E-15  	        0.00000E+00  	        3.28176E-19  	        1.26278E-20  	        3.43084E-17  	        1.66764E-20  	        3.55783E-19  	        0.00000E+00  	        9.34014E-18  	        0.00000E+00  	        0.00000E+00  	        2.32804E-20  	        1.05605E-15  	        1.81301E-17  	        1.22181E-18
        7.00000E-03  	        1.39880E+03  	        2.51369E-01  	        1.01325E+05  	        3.68708E-18  	        8.22261E-19  	        4.82471E-12  	        1.25855E-16  	        3.73460E-14  	        9.51003E-17  	        3.32377E-11  	        1.09053E-15  	        7.16304E-13  	        3.99687E-11  	        2.88965E-11  	        6.15541E-12  	        1.23944E-12  	        1.60836E-14  	        8.68126E-19  	        7.95280E-10  	        2.55045E-14  	        8.93098E-17  	        1.93300E-12  	        3.05757E-10  	        5.21825E-13  	        2.08855E-13  	        5.81909E-15  	        1.53702E-11  	        8.94084E-20  	        3.76714E-13  	        3.75097E-10  	        0.00000E+00  	        8.88936E-10  	        1.04727E-12  	        2.01651E-14  	        1.97649E-11  	        1.85071E-10  	        2.85393E-10  	        1.41782E-12  	        1.95007E-10  	        8.92949E-15  	        4.37177E-13  	        9.46136E-11  	        1.03300E-09  	        4.25725E-12  	        1.18405E-11  	        1.93877E-18  	        7.49281E-12  	        2.17963E-12  	        1.36015E-10  	        4.04313E-10  	        1.34788E-11  	        8.92966E-15  	        9.28203E-10  	        3.72638E-13  	        8.92550E-09  	        1.41837E-11  	        1.82927E-03  	        2.80175E-06  	        2.88699E-11  	        0.00000E+00  	        2.18943E-09  	        3.04997E-09  	        2.90389E-09  	        1.42468E-19  	        3.41407E-11  	        6.88013E-03  	        3.10778E-10  	        1.25352E-09  	        4.13852E-09  	        7.98718E-12  	        8.80526E-11  	        8.35204E-10  	        6.71627E-12  	        1.31464E-14  	        1.77716E-19  	        8.66151E-18  	        3.35767E-13  	        7.85656E-16  	        9.60769E-15  	        5.55826E-17  	        1.04539E-18  	        1.27238E-13  	        6.13812E-13  	        6.36361E-12  	        1.91879E-12  	        1.12433E-13  	        2.05471E-12  	        1.51164E-14  	        2.11819E-18  	        2.06941E-14  	        6.66393E-15  	        1.63588E-18  	        4.21232E-15  	        4.68937E-20  	        7.22236E-13  	        4.14911E-15  	        0.00000E+00  	        1.24499E-18  	        4.36011E-20  	        1.34656E-16  	        9.21211E-20  	        1.43152E-18  	        1.17471E-21  	        2.24576E-16  	        9.47063E-22  	        0.00000E+00  	        1.33998E-18  	        4.88607E-15  	        9.81030E-17  	        1.27219E-17
        8.00000E-03  	        1.39868E+03  	        2.51389E-01  	        1.01325E+05  	        1.24099E-17  	        1.56690E-17  	        2.01859E-11  	        4.93209E-16  	        2.22556E-13  	        9.06553E-17  	        1.18380E-10  	        6.23081E-15  	        5.06004E-12  	        9.59609E-11  	        1.91287E-10  	        1.63523E-11  	        4.46611E-12  	        1.23927E-13  	        4.05451E-17  	        2.80929E-09  	        1.01482E-13  	        2.16284E-15  	        6.39731E-12  	        3.15150E-10  	        4.37822E-12  	        1.13772E-12  	        1.15316E-14  	        3.55299E-11  	        6.22628E-19  	        8.23941E-13  	        1.04944E-09  	        5.54688E-21  	        3.34523E-09  	        3.43970E-12  	        7.30268E-14  	        5.19020E-11  	        4.67557E-10  	        3.34500E-10  	        5.58010E-12  	        7.11473E-10  	        7.98354E-14  	        2.09623E-12  	        1.72326E-10  	        1.95845E-09  	        8.22252E-12  	        4.39984E-11  	        3.43844E-17  	        1.69998E-11  	        3.82069E-12  	        3.03245E-10  	        1.20398E-09  	        7.06582E-11  	        6.47687E-14  	        1.91178E-09  	        2.30475E-12  	        4.15942E-08  	        3.31676E-11  	        1.82936E-03  	        2.94413E-06  	        6.23015E-11  	        0.00000E+00  	        7.22923E-09  	        1.55454E-08  	        4.53515E-09  	        4.00806E-18  	        7.62038E-11  	        6.88057E-03  	        4.93118E-10  	        3.20813E-09  	        1.11360E-08  	        1.88447E-11  	        1.53824E-10  	        7.83776E-10  	        1.74157E-11  	        4.84765E-14  	        5.55835E-19  	        4.37431E-17  	        6.59953E-13  	        3.55446E-15  	        3.33551E-14  	        2.56005E-16  	        1.02232E-17  	        2.23731E-13  	        2.05342E-12  	        7.70517E-12  	        5.13454E-12  	        4.28061E-13  	        3.52727E-12  	        2.58840E-14  	        6.74732E-18  	        1.08007E-13  	        2.93220E-14  	        1.15919E-17  	        2.04125E-14  	        3.04869E-19  	        7.28333E-13  	        8.76082E-15  	        0.00000E+00  	        2.59621E-18  	        8.38693E-20  	        2.82493E-16  	        2.58485E-19  	        3.45322E-18  	        7.63224E-21  	        2.64788E-15  	        8.84333E-21  	        6.97165E-23  	        1.16310E-17  	        1.74320E-14  	        3.72631E-16  	        4.69957E-17
        9.00000E-03  	        1.39866E+03  	        2.51392E-01  	        1.01325E+05  	        1.84170E-17  	        1.07126E-16  	        4.93922E-11  	        7.17570E-16  	        5.81594E-13  	        1.05147E-15  	        2.20426E-10  	        1.74555E-14  	        1.77982E-11  	        2.15282E-10  	        6.69677E-10  	        3.80455E-11  	        1.06268E-11  	        4.09816E-13  	        5.53375E-16  	        5.25003E-09  	        2.16104E-13  	        1.24727E-14  	        1.06755E-11  	        3.79895E-10  	        1.61539E-11  	        3.93050E-12  	        9.09786E-15  	        5.48665E-11  	        3.38077E-18  	        1.26565E-12  	        1.40589E-09  	        1.15406E-19  	        1.18004E-08  	        5.35546E-12  	        1.07676E-13  	        9.51498E-11  	        1.28753E-09  	        3.36195E-10  	        7.50197E-12  	        1.97934E-09  	        4.37148E-13  	        5.77724E-12  	        3.46689E-10  	        2.41564E-09  	        1.60866E-11  	        1.37716E-10  	        3.22941E-16  	        2.84131E-11  	        3.26627E-12  	        4.11512E-10  	        2.66345E-09  	        2.68477E-10  	        3.55593E-13  	        2.64781E-09  	        8.95139E-12  	        1.47206E-07  	        6.74228E-11  	        1.82924E-03  	        2.99287E-06  	        1.51169E-10  	        0.00000E+00  	        1.71300E-08  	        7.06877E-08  	        3.85034E-09  	        2.78136E-17  	        1.75583E-10  	        6.88056E-03  	        9.89045E-10  	        5.99861E-09  	        2.52833E-08  	        4.39613E-11  	        2.26074E-10  	        4.88353E-10  	        4.14796E-11  	        1.05908E-13  	        3.19237E-19  	        1.67201E-16  	        7.54014E-13  	        7.69683E-15  	        5.51465E-14  	        9.78623E-16  	        4.79198E-17  	        1.59017E-13  	        7.19799E-12  	        7.08979E-12  	        1.35056E-11  	        8.76482E-13  	        5.49516E-12  	        4.01210E-14  	        2.00788E-17  	        4.12530E-13  	        1.11640E-13  	        3.12367E-17  	        4.92947E-14  	        1.09577E-18  	        5.64135E-13  	        1.10101E-14  	        0.00000E+00  	        3.01483E-18  	        9.13850E-20  	        3.44195E-16  	        3.74281E-19  	        5.05380E-18  	        8.58497E-18  	        1.21361E-14  	        1.75417E-17  	        1.14908E-20  	        3.32186E-17  	        4.06788E-14  	        6.41824E-16  	        6.18830E-17
        1.01000E-02  	        1.39887E+03  	        2.51352E-01  	        1.01325E+05  	        2.04188E-17  	        6.27873E-16  	        8.12847E-11  	        7.51924E-16  	        8.79564E-13  	        1.42798E-15  	        3.22786E-10  	        2.98914E-14  	        2.93910E-11  	        5.06866E-10  	        1.70694E-09  	        6.02097E-11  	        1.23160E-11  	        6.01258E-13  	        3.70942E-15  	        4.60642E-09  	        2.58017E-13  	        3.15771E-14  	        1.05200E-11  	        6.67969E-10  	        3.44687E-11  	        1.00759E-11  	        3.82735E-15  	        8.05140E-11  	        1.65680E-17  	        1.25009E-12  	        1.16418E-09  	        5.29262E-19  	        4.85927E-08  	        5.37942E-12  	        1.24593E-13  	        1.26798E-10  	        3.49380E-09  	        3.62227E-10  	        6.43403E-12  	        3.12016E-09  	        1.47646E-12  	        8.66585E-12  	        6.08969E-10  	        1.80080E-09  	        2.01725E-11  	        2.39765E-10  	        2.05521E-15  	        3.18142E-11  	        1.95325E-12  	        2.75158E-10  	        3.30552E-09  	        1.13139E-09  	        1.41643E-12  	        2.24848E-09  	        2.03226E-11  	        3.97241E-07  	        8.44952E-11  	        1.82848E-03  	        3.30106E-06  	        3.75384E-10  	        0.00000E+00  	        2.21325E-08  	        2.87160E-07  	        2.59935E-09  	        1.46619E-16  	        3.72986E-10  	        6.87914E-03  	        1.81173E-09  	        6.81412E-09  	        5.77662E-08  	        9.19339E-11  	        3.45720E-10  	        4.47158E-10  	        8.76053E-11  	        1.26042E-13  	        7.15293E-20  	        7.38375E-16  	        4.53235E-13  	        1.00880E-14  	        4.20960E-14  	        3.17362E-15  	        2.00638E-16  	        6.30612E-14  	        2.96507E-11  	        4.54089E-12  	        3.11766E-11  	        7.89746E-13  	        6.85941E-12  	        5.01792E-14  	        8.23932E-17  	        1.15339E-12  	        3.98097E-13  	        7.05939E-17  	        7.50226E-14  	        2.65528E-18  	        3.49784E-13  	        7.67225E-15  	        0.00000E+00  	        1.89563E-18  	        4.62226E-20  	        3.68563E-16  	        2.95195E-19  	        5.15018E-18  	        9.40729E-17  	        3.20947E-14  	        3.80898E-17  	        1.14514E-19  	        8.18469E-17  	        6.00981E-14  	        4.46636E-16  	        5.80009E-17
