           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolY_C2H5O  	            VolY_CH  	          VolY_H2O2  	     VolY_CH2CH2CHO  	         VolY_T-CH2  	      VolY_C6H5OCH2  	         VolY_CH3OH  	         VolY_S-CH2  	          VolY_HCCO  	        VolY_C3H6O2  	          VolY_C5H6  	        VolY_P-C3H4  	     VolY_C5H5CH3-1  	         VolY_CH2OH  	        VolY_IXC4H7  	         VolY_CH2CO  	          VolY_CH3O  	VolY_CH2CCHCH2CHCH2  	        VolY_CH2CHO  	          VolY_C2H6  	        VolY_A-C3H5  	          VolY_C3H6  	        VolY_C2H5CO  	        VolY_CHOCHO  	        VolY_ACETOL  	         VolY_C4H3O  	          VolY_C2H2  	       VolY_IC5H9OH  	             VolY_O  	          VolY_C2H3  	      VolY_CH3CHCHO  	          VolY_C3H3  	          VolY_C5H5  	       VolY_C2H3CHO  	       VolY_CH3CHCO  	        VolY_C2H5OH  	       VolY_CH3CHOH  	           VolY_HCO  	        VolY_CH3CHO  	           VolY_HO2  	           VolY_A1O  	        VolY_C6H5OH  	        VolY_IXC4H8  	        VolY_C3H4O3  	          VolY_C2H5  	           VolY_CH3  	       VolY_CH3CO2H  	             VolY_H  	         VolY_A1CH3  	          VolY_CH2O  	        VolY_CC4H4O  	            VolY_CO  	        VolY_C6H8O4  	            VolY_O2  	           VolY_H2O  	        VolY_C6H6O3  	            VolY_AR  	            VolY_H2  	           VolY_CO2  	          VolY_C2H4  	          VolY_C5H8  	       VolY_C6H10O5  	            VolY_N2  	      VolY_FURFURAL  	           VolY_CH4  	            VolY_OH  	      VolY_C6H5OCH3  	          VolY_C6H6  	       VolY_C2H5CHO  	      VolY_OC8H7OOH  	           VolY_A1-  	          VolY_N2H2  	           VolY_NNH  	           VolY_NH2  	            VolY_NH  	           VolY_HNO  	          VolY_HONO  	             VolY_N  	          VolY_H2NO  	           VolY_N2O  	           VolY_NH3  	            VolY_NO  	           VolY_NO2  	           VolY_HCN  	           VolY_HNC  	            VolY_CN  	          VolY_HNCO  	           VolY_NCO  	           VolY_NCN  	        VolY_CH3NH2  	          VolY_H2CN  	         VolY_C5H5N  	         VolY_C5H4N  	        VolY_C5H5NO  	        VolY_C5H4NO  	       VolY_C5H4NO2  	        VolY_PYRLYL  	      VolY_BNC4H4CO  	        VolY_C4H4CN  	        VolY_CHCHCN  	         VolY_C4H5N  	       VolY_CH2CHCN  	          VolY_C2N2  	          VolY_HNCN  	          VolY_HOCN  	         VolY_CH3CN  	         VolY_CH2CN
        1.00000E-03  	        1.39992E+03  	        3.61162E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        1.04103E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.33921E-17  	        0.00000E+00  	        8.21479E-22  	        8.65847E-13  	        8.56502E-15  	        4.63367E-15  	        1.81803E-18  	        4.32288E-21  	        0.00000E+00  	        9.88385E-14  	        4.00970E-18  	        0.00000E+00  	        5.49614E-16  	        1.02785E-12  	        6.13812E-17  	        0.00000E+00  	        0.00000E+00  	        4.92920E-15  	        0.00000E+00  	        5.07946E-20  	        5.29738E-14  	        0.00000E+00  	        1.79545E-11  	        6.11043E-17  	        1.82929E-19  	        5.21763E-15  	        9.92139E-13  	        1.65685E-12  	        2.20341E-17  	        6.05345E-16  	        0.00000E+00  	        6.16788E-17  	        3.95006E-13  	        3.49156E-13  	        1.26915E-13  	        2.32755E-11  	        0.00000E+00  	        5.55145E-16  	        4.24480E-16  	        9.81197E-14  	        9.03260E-15  	        6.34342E-17  	        4.74007E-22  	        1.44678E-12  	        0.00000E+00  	        2.59532E-11  	        5.67194E-15  	        1.61970E-01  	        1.70637E-07  	        1.95297E-14  	        0.00000E+00  	        1.47218E-14  	        8.38030E-01  	        7.91776E-12  	        0.00000E+00  	        4.59298E-14  	        0.00000E+00  	        4.93241E-14  	        4.79572E-13  	        5.60756E-13  	        2.94431E-13  	        9.88512E-14  	        8.69097E-12  	        3.37640E-13  	        2.09585E-19  	        0.00000E+00  	        0.00000E+00  	        1.59367E-16  	        0.00000E+00  	        2.09825E-21  	        0.00000E+00  	        0.00000E+00  	        1.46439E-17  	        0.00000E+00  	        1.09341E-12  	        3.87862E-13  	        3.15548E-18  	        4.39284E-13  	        2.35881E-15  	        0.00000E+00  	        1.37496E-17  	        1.09943E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        6.69270E-13  	        3.72904E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        2.00000E-03  	        1.39982E+03  	        3.61186E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        3.15417E-16  	        4.91403E-19  	        2.36234E-18  	        3.58642E-19  	        4.61972E-15  	        0.00000E+00  	        2.10435E-17  	        1.40596E-11  	        7.43333E-14  	        1.97577E-13  	        7.94339E-16  	        4.84350E-19  	        0.00000E+00  	        4.46423E-12  	        1.45204E-16  	        0.00000E+00  	        1.81935E-14  	        3.00042E-11  	        7.85010E-16  	        1.74998E-17  	        5.48508E-18  	        2.16641E-13  	        0.00000E+00  	        2.65321E-17  	        2.15264E-12  	        0.00000E+00  	        4.57480E-11  	        2.23518E-15  	        1.67522E-17  	        1.58879E-13  	        2.79907E-11  	        5.08095E-11  	        1.33436E-15  	        1.35093E-13  	        0.00000E+00  	        2.14756E-15  	        1.18649E-11  	        1.14439E-11  	        1.99203E-12  	        1.02211E-10  	        0.00000E+00  	        4.91155E-14  	        1.41111E-14  	        2.85360E-12  	        8.43637E-13  	        2.17127E-15  	        4.14622E-18  	        4.49585E-11  	        1.62185E-19  	        1.35424E-10  	        5.02605E-13  	        1.61970E-01  	        1.88983E-06  	        1.29261E-12  	        0.00000E+00  	        3.43904E-13  	        8.38028E-01  	        1.51769E-10  	        0.00000E+00  	        2.52069E-12  	        0.00000E+00  	        4.38502E-12  	        7.76259E-12  	        2.38596E-11  	        4.82331E-12  	        4.81454E-12  	        2.30294E-10  	        5.31104E-12  	        2.25330E-17  	        0.00000E+00  	        0.00000E+00  	        2.69606E-15  	        1.64430E-21  	        6.19780E-18  	        3.77072E-19  	        0.00000E+00  	        3.53420E-16  	        0.00000E+00  	        7.08400E-12  	        2.51404E-12  	        1.18956E-16  	        2.84451E-12  	        1.82311E-14  	        0.00000E+00  	        2.29809E-16  	        5.06839E-17  	        0.00000E+00  	        2.07607E-21  	        0.00000E+00  	        4.33596E-12  	        7.17685E-17  	        0.00000E+00  	        2.52327E-21  	        0.00000E+00  	        9.15754E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.16416E-18  	        2.32613E-20  	        0.00000E+00
        3.10000E-03  	        1.39970E+03  	        3.61213E-01  	        1.01325E+05  	        0.00000E+00  	        0.00000E+00  	        2.48822E-14  	        1.71439E-17  	        1.38356E-16  	        3.82443E-17  	        4.37467E-13  	        1.27205E-18  	        2.10954E-15  	        1.22997E-10  	        4.66140E-13  	        3.37079E-12  	        7.18540E-14  	        2.60653E-17  	        0.00000E+00  	        8.22029E-11  	        1.89800E-15  	        0.00000E+00  	        2.62973E-13  	        3.91562E-10  	        5.23898E-15  	        2.49086E-15  	        3.30666E-16  	        4.27627E-12  	        0.00000E+00  	        4.47448E-15  	        3.87437E-11  	        0.00000E+00  	        1.92814E-10  	        3.82684E-14  	        2.99034E-16  	        2.07104E-12  	        3.31209E-10  	        6.39141E-10  	        2.74869E-14  	        8.64784E-12  	        4.47843E-18  	        3.08772E-14  	        1.46756E-10  	        1.83036E-10  	        1.79909E-11  	        2.84925E-10  	        0.00000E+00  	        1.39793E-12  	        2.23520E-13  	        3.51396E-11  	        3.65304E-11  	        3.30166E-14  	        2.61608E-16  	        6.03717E-10  	        4.29179E-16  	        1.24517E-09  	        1.34584E-11  	        1.61968E-01  	        1.14824E-05  	        3.10670E-11  	        0.00000E+00  	        7.11946E-12  	        8.38020E-01  	        1.74563E-09  	        0.00000E+00  	        5.43617E-11  	        2.38088E-19  	        1.52113E-10  	        1.21953E-10  	        5.04495E-10  	        4.15481E-11  	        9.25372E-11  	        2.67804E-09  	        4.50163E-11  	        1.00193E-15  	        0.00000E+00  	        0.00000E+00  	        4.70054E-14  	        1.46881E-18  	        1.84010E-16  	        1.70300E-17  	        0.00000E+00  	        6.47079E-15  	        0.00000E+00  	        2.71090E-11  	        9.64216E-12  	        3.80180E-15  	        1.09102E-11  	        7.48749E-14  	        0.00000E+00  	        2.24767E-15  	        1.08919E-15  	        0.00000E+00  	        1.36640E-17  	        0.00000E+00  	        1.65808E-11  	        1.76903E-15  	        0.00000E+00  	        3.29623E-19  	        1.06141E-20  	        3.71206E-17  	        7.46860E-23  	        8.34190E-20  	        0.00000E+00  	        8.32675E-22  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.27809E-16  	        5.76256E-18  	        0.00000E+00
        4.10000E-03  	        1.39957E+03  	        3.61237E-01  	        1.01325E+05  	        1.77049E-19  	        0.00000E+00  	        6.27231E-13  	        1.16790E-16  	        1.96114E-15  	        1.05258E-15  	        9.77727E-12  	        4.34968E-17  	        8.19185E-14  	        5.24657E-10  	        5.51227E-12  	        2.21789E-11  	        1.35209E-12  	        8.77688E-16  	        0.00000E+00  	        6.38904E-10  	        1.10138E-14  	        8.50832E-21  	        1.96276E-12  	        2.10102E-09  	        4.57680E-14  	        6.05760E-14  	        6.74111E-15  	        3.72665E-11  	        3.63418E-20  	        2.33197E-13  	        3.02908E-10  	        0.00000E+00  	        8.10503E-10  	        3.90268E-13  	        4.42808E-15  	        1.39947E-11  	        1.65846E-09  	        3.31658E-09  	        3.30144E-13  	        1.40150E-10  	        4.31721E-16  	        2.15141E-13  	        7.51954E-10  	        1.35839E-09  	        9.01557E-11  	        5.54640E-10  	        0.00000E+00  	        1.60511E-11  	        2.03096E-12  	        1.83624E-10  	        5.07955E-10  	        2.51387E-13  	        4.85072E-15  	        3.35192E-09  	        6.37341E-14  	        7.76057E-09  	        1.17236E-10  	        1.61964E-01  	        3.58910E-05  	        2.59918E-10  	        0.00000E+00  	        8.47884E-11  	        8.38000E-01  	        9.39453E-09  	        0.00000E+00  	        4.32351E-10  	        1.24214E-17  	        1.71842E-09  	        9.39760E-10  	        4.12211E-09  	        1.75947E-10  	        6.46092E-10  	        1.30369E-08  	        1.76752E-10  	        1.04412E-14  	        0.00000E+00  	        0.00000E+00  	        4.15639E-13  	        6.44495E-17  	        2.51829E-15  	        2.10370E-16  	        0.00000E+00  	        7.60556E-14  	        8.94400E-21  	        6.54455E-11  	        2.34830E-11  	        6.38290E-14  	        2.66363E-11  	        1.87771E-13  	        9.60080E-19  	        2.01180E-14  	        9.40303E-15  	        0.00000E+00  	        7.20038E-16  	        1.31109E-21  	        3.97798E-11  	        1.92184E-14  	        0.00000E+00  	        4.99563E-18  	        2.70628E-19  	        4.28160E-16  	        1.11105E-19  	        3.52955E-18  	        0.00000E+00  	        3.49482E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        5.65550E-15  	        9.44176E-17  	        2.13786E-19
        5.00000E-03  	        1.39943E+03  	        3.61257E-01  	        1.01325E+05  	        6.48534E-18  	        0.00000E+00  	        8.34857E-12  	        5.43593E-16  	        1.76933E-14  	        7.14503E-15  	        8.69385E-11  	        4.63829E-16  	        1.17436E-12  	        1.39844E-09  	        6.95147E-11  	        8.02178E-11  	        1.08536E-11  	        1.26377E-14  	        0.00000E+00  	        3.36701E-09  	        4.82203E-14  	        7.82774E-18  	        1.02879E-11  	        6.10164E-09  	        5.67092E-13  	        5.70935E-13  	        5.31926E-14  	        1.81431E-10  	        5.09268E-19  	        3.05136E-12  	        1.57545E-09  	        0.00000E+00  	        2.71083E-09  	        2.66650E-12  	        5.39234E-14  	        8.34519E-11  	        4.96105E-09  	        9.57560E-09  	        3.67023E-12  	        9.52031E-10  	        9.02323E-15  	        1.07016E-12  	        2.16557E-09  	        6.32261E-09  	        2.65083E-10  	        8.89565E-10  	        1.78794E-19  	        1.07537E-10  	        1.11966E-11  	        5.91751E-10  	        3.15928E-09  	        1.34277E-12  	        4.37335E-14  	        1.04136E-08  	        1.61408E-12  	        3.48609E-08  	        5.12024E-10  	        1.61958E-01  	        7.17152E-05  	        1.08647E-09  	        0.00000E+00  	        5.26996E-10  	        8.37970E-01  	        3.10136E-08  	        0.00000E+00  	        1.76684E-09  	        1.21071E-16  	        8.45965E-09  	        4.09545E-09  	        1.84447E-08  	        4.59471E-10  	        2.36501E-09  	        3.55455E-08  	        4.38003E-10  	        9.61765E-14  	        2.60142E-20  	        0.00000E+00  	        1.86590E-12  	        8.33390E-16  	        2.17398E-14  	        1.03020E-15  	        2.70255E-20  	        5.74965E-13  	        7.42178E-19  	        1.19862E-10  	        4.41539E-11  	        5.94780E-13  	        5.03132E-11  	        3.59900E-13  	        9.84522E-18  	        1.33854E-13  	        4.67372E-14  	        0.00000E+00  	        9.26046E-15  	        7.04271E-20  	        7.11538E-11  	        1.00721E-13  	        0.00000E+00  	        3.30408E-17  	        1.62984E-18  	        2.40709E-15  	        1.23621E-18  	        2.56001E-17  	        0.00000E+00  	        1.98130E-16  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.97931E-14  	        5.98153E-16  	        1.98393E-17
        6.00000E-03  	        1.39927E+03  	        3.61278E-01  	        1.01325E+05  	        8.05171E-17  	        1.44448E-18  	        9.71369E-11  	        3.44116E-15  	        1.91214E-13  	        1.94962E-14  	        6.50226E-10  	        4.81381E-15  	        1.24742E-11  	        3.33836E-09  	        8.62541E-10  	        2.38598E-10  	        8.16256E-11  	        1.97489E-13  	        4.06561E-18  	        1.99764E-08  	        2.93529E-13  	        1.03661E-15  	        5.55153E-11  	        1.25686E-08  	        8.39636E-12  	        4.87234E-12  	        3.00167E-13  	        7.75348E-10  	        3.55002E-18  	        1.95686E-11  	        9.01901E-09  	        0.00000E+00  	        9.85552E-09  	        1.78928E-11  	        5.46289E-13  	        5.08299E-10  	        1.32751E-08  	        2.06320E-08  	        4.01451E-11  	        5.16801E-09  	        1.41002E-13  	        5.81816E-12  	        4.81786E-09  	        2.45669E-08  	        6.49779E-10  	        1.51440E-09  	        2.27225E-17  	        5.76090E-10  	        4.86304E-11  	        1.87218E-09  	        1.53958E-08  	        7.82987E-12  	        3.88357E-13  	        2.65144E-08  	        1.83794E-11  	        1.75379E-07  	        1.79982E-09  	        1.61951E-01  	        1.15267E-04  	        3.47472E-09  	        0.00000E+00  	        2.70754E-09  	        8.37933E-01  	        9.18551E-08  	        7.44454E-19  	        5.72070E-09  	        7.84482E-16  	        2.61702E-08  	        1.54956E-08  	        7.24645E-08  	        1.06167E-09  	        6.94221E-09  	        7.21611E-08  	        1.03830E-09  	        6.97261E-13  	        3.66681E-18  	        0.00000E+00  	        6.97231E-12  	        8.66989E-15  	        2.10194E-13  	        3.64679E-15  	        3.19783E-18  	        4.11080E-12  	        2.72996E-17  	        1.99951E-10  	        8.34372E-11  	        4.52581E-12  	        9.22454E-11  	        6.67678E-13  	        5.84179E-17  	        8.72318E-13  	        2.23912E-13  	        0.00000E+00  	        9.37348E-14  	        7.43458E-19  	        1.10141E-10  	        4.23204E-13  	        0.00000E+00  	        1.65488E-16  	        6.71344E-18  	        1.17509E-14  	        8.71156E-18  	        1.29195E-16  	        6.99517E-21  	        6.32835E-15  	        4.62380E-21  	        0.00000E+00  	        0.00000E+00  	        2.32828E-13  	        3.53664E-15  	        4.31397E-16
        7.00000E-03  	        1.39913E+03  	        3.61299E-01  	        1.01325E+05  	        4.31118E-16  	        4.81281E-17  	        6.12995E-10  	        2.11501E-14  	        1.65503E-12  	        2.46340E-14  	        3.41367E-09  	        3.68552E-14  	        1.04119E-10  	        7.49545E-09  	        7.24596E-09  	        5.87821E-10  	        4.22883E-10  	        2.08423E-12  	        4.48178E-16  	        9.06300E-08  	        1.58695E-12  	        4.94732E-14  	        2.43788E-10  	        1.64754E-08  	        9.02167E-11  	        3.19000E-11  	        9.41797E-13  	        2.35710E-09  	        2.44918E-17  	        6.12229E-11  	        3.95453E-08  	        1.07015E-20  	        3.50346E-08  	        8.31662E-11  	        3.51244E-12  	        1.79821E-09  	        3.21418E-08  	        2.97905E-08  	        2.59899E-10  	        2.14897E-08  	        1.46047E-12  	        2.96959E-11  	        8.49291E-09  	        6.26204E-08  	        1.28415E-09  	        3.62763E-09  	        5.81200E-16  	        1.79009E-09  	        1.29526E-10  	        5.22374E-09  	        5.44053E-08  	        4.18273E-11  	        3.04686E-12  	        5.92561E-08  	        9.72525E-11  	        8.32210E-07  	        4.83479E-09  	        1.61945E-01  	        1.45937E-04  	        8.17669E-09  	        0.00000E+00  	        1.04499E-08  	        8.37907E-01  	        2.03784E-07  	        8.14196E-17  	        1.41697E-08  	        3.90486E-15  	        4.85948E-08  	        4.61724E-08  	        2.18844E-07  	        2.29307E-09  	        1.49638E-08  	        9.63223E-08  	        2.52175E-09  	        3.31228E-12  	        3.55873E-17  	        0.00000E+00  	        1.83608E-11  	        5.49205E-14  	        1.18215E-12  	        1.29291E-14  	        6.25835E-17  	        1.39933E-11  	        4.17664E-16  	        2.80710E-10  	        1.86624E-10  	        2.20313E-11  	        1.62439E-10  	        1.18643E-12  	        2.13758E-16  	        4.58793E-12  	        9.36449E-13  	        0.00000E+00  	        6.37742E-13  	        5.84158E-18  	        1.32052E-10  	        1.13977E-12  	        0.00000E+00  	        4.53244E-16  	        1.70134E-17  	        3.49621E-14  	        3.33781E-17  	        3.90587E-16  	        3.24903E-19  	        1.01509E-13  	        2.59906E-19  	        0.00000E+00  	        0.00000E+00  	        9.83985E-13  	        1.76964E-14  	        3.24828E-15
        8.00000E-03  	        1.39904E+03  	        3.61316E-01  	        1.01325E+05  	        1.29107E-15  	        6.01474E-16  	        2.23197E-09  	        8.20185E-14  	        7.69515E-12  	        2.33177E-14  	        1.00095E-08  	        1.55142E-13  	        6.31471E-10  	        1.76243E-08  	        3.78451E-08  	        1.55485E-09  	        1.32818E-09  	        1.11075E-11  	        1.21387E-14  	        2.59495E-07  	        5.60901E-12  	        7.87937E-13  	        6.84828E-10  	        1.94488E-08  	        5.52341E-10  	        1.59470E-10  	        1.54365E-12  	        4.77513E-09  	        1.84980E-16  	        1.35255E-10  	        9.37563E-08  	        4.15940E-18  	        1.14075E-07  	        2.11167E-10  	        1.28760E-11  	        4.49632E-09  	        7.93302E-08  	        3.53113E-08  	        8.60815E-10  	        7.57674E-08  	        1.05287E-11  	        1.19473E-10  	        1.68620E-08  	        1.16290E-07  	        2.27691E-09  	        1.26354E-08  	        8.89270E-15  	        3.85748E-09  	        2.04625E-10  	        1.04408E-08  	        1.57372E-07  	        1.78760E-10  	        2.06989E-11  	        1.14629E-07  	        4.60222E-10  	        3.50157E-06  	        1.14691E-08  	        1.61940E-01  	        1.56843E-04  	        1.87368E-08  	        0.00000E+00  	        3.32613E-08  	        8.37897E-01  	        2.79636E-07  	        1.36802E-15  	        3.27207E-08  	        1.69681E-14  	        9.72806E-08  	        1.12995E-07  	        5.11731E-07  	        5.22105E-09  	        2.57176E-08  	        9.09418E-08  	        6.51369E-09  	        1.00520E-11  	        6.49078E-17  	        0.00000E+00  	        3.01948E-11  	        1.72818E-13  	        3.05745E-12  	        5.13800E-14  	        4.16120E-16  	        1.96225E-11  	        3.58636E-15  	        3.15739E-10  	        5.02184E-10  	        7.09091E-11  	        2.72354E-10  	        2.00608E-12  	        5.33298E-16  	        1.94455E-11  	        3.49244E-12  	        0.00000E+00  	        2.47565E-12  	        3.37446E-17  	        1.20948E-10  	        1.84697E-12  	        0.00000E+00  	        7.77127E-16  	        2.56343E-17  	        5.61917E-14  	        7.34741E-17  	        6.93073E-16  	        1.59494E-18  	        7.88479E-13  	        1.87418E-18  	        4.55740E-20  	        0.00000E+00  	        2.85525E-12  	        5.50383E-14  	        8.34858E-15
        9.00000E-03  	        1.39901E+03  	        3.61320E-01  	        1.01325E+05  	        2.23436E-15  	        3.73071E-15  	        5.14763E-09  	        1.43478E-13  	        1.88644E-11  	        3.59701E-13  	        1.80963E-08  	        4.13810E-13  	        2.04095E-09  	        3.97967E-08  	        1.27937E-07  	        4.02360E-09  	        3.12122E-09  	        3.16184E-11  	        1.38475E-13  	        4.47611E-07  	        1.30523E-11  	        4.40567E-12  	        1.18567E-09  	        3.08573E-08  	        1.79903E-09  	        5.89377E-10  	        1.27978E-12  	        7.94302E-09  	        1.08145E-15  	        2.54523E-10  	        1.17811E-07  	        6.88048E-17  	        3.30756E-07  	        3.24049E-10  	        2.32347E-11  	        9.48212E-09  	        2.10777E-07  	        4.54630E-08  	        1.28537E-09  	        2.10525E-07  	        5.21312E-11  	        3.15455E-10  	        3.85704E-08  	        1.58960E-07  	        4.47965E-09  	        3.79194E-08  	        8.81803E-14  	        7.11277E-09  	        2.11625E-10  	        1.47603E-08  	        3.74023E-07  	        5.88364E-10  	        1.19759E-10  	        1.69149E-07  	        1.86945E-09  	        1.16683E-05  	        2.50731E-08  	        1.61929E-01  	        1.61643E-04  	        5.02241E-08  	        0.00000E+00  	        8.34335E-08  	        8.37893E-01  	        2.48751E-07  	        8.87134E-15  	        7.90297E-08  	        5.27181E-14  	        2.46347E-07  	        2.30235E-07  	        9.91169E-07  	        1.21366E-08  	        4.55680E-08  	        6.88076E-08  	        1.56987E-08  	        2.35687E-11  	        2.57448E-17  	        0.00000E+00  	        3.05131E-11  	        3.02850E-13  	        4.34913E-12  	        1.60430E-13  	        1.49845E-15  	        1.38332E-11  	        1.80159E-14  	        2.86237E-10  	        1.19480E-09  	        1.30818E-10  	        4.11803E-10  	        3.05703E-12  	        1.15116E-15  	        6.30783E-11  	        1.14728E-11  	        8.18587E-21  	        5.55492E-12  	        1.20951E-16  	        9.71635E-11  	        2.20907E-12  	        0.00000E+00  	        9.58028E-16  	        2.79466E-17  	        6.60637E-14  	        1.11731E-16  	        9.35368E-16  	        4.33234E-17  	        3.08380E-12  	        2.99712E-17  	        7.67721E-19  	        3.68492E-21  	        5.61357E-12  	        9.25842E-14  	        9.72318E-15
        1.01000E-02  	        1.39911E+03  	        3.61285E-01  	        1.01325E+05  	        3.35549E-15  	        2.29406E-14  	        8.12564E-09  	        1.97501E-13  	        3.54743E-11  	        3.61416E-13  	        3.20439E-08  	        9.41306E-13  	        4.19892E-09  	        9.52780E-08  	        3.47635E-07  	        7.84083E-09  	        4.73010E-09  	        5.77048E-11  	        8.81655E-13  	        4.71681E-07  	        2.00260E-11  	        1.27751E-11  	        1.55077E-09  	        6.16317E-08  	        4.19817E-09  	        1.73514E-09  	        7.81209E-13  	        1.36564E-08  	        5.36166E-15  	        3.46389E-10  	        1.18983E-07  	        3.53038E-16  	        9.72094E-07  	        4.44530E-10  	        3.44282E-11  	        1.63036E-08  	        5.75982E-07  	        6.85962E-08  	        1.44357E-09  	        3.66118E-07  	        1.74752E-10  	        5.87442E-10  	        8.01687E-08  	        1.67362E-07  	        6.76644E-09  	        7.45988E-08  	        5.40164E-13  	        1.04565E-08  	        2.09151E-10  	        1.43778E-08  	        5.84799E-07  	        1.88086E-09  	        5.31000E-10  	        1.93919E-07  	        4.68630E-09  	        3.22349E-05  	        4.20418E-08  	        1.61896E-01  	        1.77793E-04  	        1.40311E-07  	        0.00000E+00  	        1.37844E-07  	        8.37886E-01  	        2.22508E-07  	        4.96052E-14  	        1.79885E-07  	        1.37964E-13  	        5.16383E-07  	        3.44244E-07  	        1.87886E-06  	        2.58150E-08  	        8.77898E-08  	        7.37875E-08  	        3.40822E-08  	        4.46622E-11  	        7.28809E-18  	        0.00000E+00  	        2.04480E-11  	        4.20865E-13  	        3.92352E-12  	        4.25532E-13  	        5.54187E-15  	        6.79595E-12  	        7.47410E-14  	        2.13628E-10  	        2.49427E-09  	        1.45167E-10  	        5.43287E-10  	        4.10992E-12  	        6.18275E-15  	        1.65752E-10  	        3.47876E-11  	        2.17997E-17  	        9.20595E-12  	        3.22439E-16  	        7.46769E-11  	        2.07860E-12  	        0.00000E+00  	        8.04380E-16  	        2.09489E-17  	        7.82783E-14  	        1.22768E-16  	        1.22134E-15  	        1.48901E-14  	        7.82919E-12  	        6.44142E-15  	        3.24697E-17  	        1.20240E-16  	        8.27462E-12  	        9.31901E-14  	        1.22196E-14
