           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolC_C2H5O  	            VolC_CH  	          VolC_H2O2  	     VolC_CH2CH2CHO  	         VolC_T-CH2  	      VolC_C6H5OCH2  	         VolC_CH3OH  	         VolC_S-CH2  	          VolC_HCCO  	        VolC_C3H6O2  	          VolC_C5H6  	        VolC_P-C3H4  	     VolC_C5H5CH3-1  	         VolC_CH2OH  	        VolC_IXC4H7  	         VolC_CH2CO  	          VolC_CH3O  	VolC_CH2CCHCH2CHCH2  	        VolC_CH2CHO  	          VolC_C2H6  	        VolC_A-C3H5  	          VolC_C3H6  	        VolC_C2H5CO  	        VolC_CHOCHO  	        VolC_ACETOL  	         VolC_C4H3O  	          VolC_C2H2  	       VolC_IC5H9OH  	             VolC_O  	          VolC_C2H3  	      VolC_CH3CHCHO  	          VolC_C3H3  	          VolC_C5H5  	       VolC_C2H3CHO  	       VolC_CH3CHCO  	        VolC_C2H5OH  	       VolC_CH3CHOH  	           VolC_HCO  	        VolC_CH3CHO  	           VolC_HO2  	           VolC_A1O  	        VolC_C6H5OH  	        VolC_IXC4H8  	        VolC_C3H4O3  	          VolC_C2H5  	           VolC_CH3  	       VolC_CH3CO2H  	             VolC_H  	         VolC_A1CH3  	          VolC_CH2O  	        VolC_CC4H4O  	            VolC_CO  	        VolC_C6H8O4  	            VolC_O2  	           VolC_H2O  	        VolC_C6H6O3  	            VolC_AR  	            VolC_H2  	           VolC_CO2  	          VolC_C2H4  	          VolC_C5H8  	       VolC_C6H10O5  	            VolC_N2  	      VolC_FURFURAL  	           VolC_CH4  	            VolC_OH  	      VolC_C6H5OCH3  	          VolC_C6H6  	       VolC_C2H5CHO  	      VolC_OC8H7OOH  	           VolC_A1-  	          VolC_N2H2  	           VolC_NNH  	           VolC_NH2  	            VolC_NH  	           VolC_HNO  	          VolC_HONO  	             VolC_N  	          VolC_H2NO  	           VolC_N2O  	           VolC_NH3  	            VolC_NO  	           VolC_NO2  	           VolC_HCN  	           VolC_HNC  	            VolC_CN  	          VolC_HNCO  	           VolC_NCO  	           VolC_NCN  	        VolC_CH3NH2  	          VolC_H2CN  	         VolC_C5H5N  	         VolC_C5H4N  	        VolC_C5H5NO  	        VolC_C5H4NO  	       VolC_C5H4NO2  	        VolC_PYRLYL  	      VolC_BNC4H4CO  	        VolC_C4H4CN  	        VolC_CHCHCN  	         VolC_C4H5N  	       VolC_CH2CHCN  	          VolC_C2N2  	          VolC_HNCN  	          VolC_HOCN  	         VolC_CH3CN  	         VolC_CH2CN
        1.00000E-03  	        1.39991E+03  	        2.51200E-01  	        1.01325E+05  	        9.52370E-20  	        2.23464E-21  	        1.17648E-13  	        5.43705E-18  	        6.78162E-16  	        6.52365E-18  	        1.14538E-10  	        1.67754E-17  	        2.05527E-14  	        3.35088E-11  	        3.25708E-13  	        1.02659E-13  	        6.46821E-14  	        1.43989E-15  	        9.62127E-24  	        9.26213E-12  	        1.29646E-15  	        5.70841E-20  	        1.17782E-13  	        6.45881E-11  	        1.42464E-15  	        1.61236E-15  	        1.82549E-16  	        4.84868E-12  	        9.99061E-20  	        2.08407E-14  	        3.70354E-12  	        0.00000E+00  	        5.64784E-11  	        3.13922E-14  	        9.74744E-16  	        1.01244E-12  	        1.48674E-11  	        7.69715E-11  	        2.03061E-14  	        1.65771E-11  	        1.21370E-16  	        2.96025E-14  	        8.05869E-11  	        5.50569E-11  	        8.79559E-13  	        2.58948E-13  	        2.52943E-21  	        1.02279E-12  	        1.12186E-13  	        1.00583E-11  	        6.75707E-11  	        6.47113E-13  	        2.32478E-16  	        1.37698E-10  	        8.76210E-16  	        4.84476E-10  	        4.10896E-12  	        1.82842E-03  	        1.00137E-09  	        6.21241E-11  	        0.00000E+00  	        2.40750E-10  	        3.74676E-10  	        1.00920E-10  	        0.00000E+00  	        2.04568E-11  	        6.87688E-03  	        8.95107E-11  	        1.86177E-10  	        6.53206E-11  	        3.12558E-12  	        1.83572E-11  	        1.21633E-10  	        2.87392E-12  	        5.17897E-16  	        0.00000E+00  	        4.12424E-19  	        1.19430E-22  	        0.00000E+00  	        2.22895E-22  	        0.00000E+00  	        1.46548E-20  	        3.38786E-24  	        2.33347E-14  	        0.00000E+00  	        2.11644E-17  	        3.26367E-20  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        2.97420E-23  	        6.71960E-22  	        5.75163E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.33340E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        2.00000E-03  	        1.39981E+03  	        2.51217E-01  	        1.01325E+05  	        2.01763E-17  	        9.38909E-18  	        5.71500E-11  	        9.89443E-16  	        1.50365E-13  	        1.85901E-16  	        1.41985E-09  	        4.17629E-15  	        4.93473E-12  	        3.06531E-10  	        1.72489E-10  	        9.77258E-12  	        5.95656E-12  	        1.83265E-13  	        2.15223E-17  	        1.67273E-09  	        1.86053E-13  	        2.16348E-15  	        7.45914E-12  	        5.98785E-10  	        2.54978E-12  	        1.41916E-12  	        1.48677E-14  	        6.99653E-11  	        9.75153E-18  	        1.27535E-12  	        5.35758E-10  	        1.29405E-20  	        1.30477E-09  	        3.59154E-12  	        1.48369E-13  	        8.91721E-11  	        2.80932E-10  	        9.58798E-10  	        8.58001E-12  	        3.04138E-10  	        2.65949E-14  	        2.43161E-12  	        8.42326E-10  	        1.84983E-09  	        1.05316E-11  	        3.53798E-11  	        5.43023E-17  	        3.59961E-11  	        5.15783E-12  	        2.59345E-10  	        1.06784E-09  	        4.85287E-11  	        8.77446E-14  	        2.39392E-09  	        1.43944E-12  	        2.54215E-08  	        7.21409E-11  	        1.82851E-03  	        3.54122E-08  	        5.91006E-10  	        0.00000E+00  	        4.92433E-09  	        9.18550E-09  	        2.53638E-09  	        2.15934E-18  	        1.98872E-10  	        6.87730E-03  	        1.01425E-09  	        3.04674E-09  	        2.34118E-09  	        2.92447E-11  	        2.39025E-10  	        1.29966E-09  	        2.63753E-11  	        5.74363E-14  	        6.56391E-23  	        3.15010E-17  	        3.50387E-19  	        5.75540E-19  	        9.81489E-19  	        2.14961E-20  	        8.54310E-19  	        3.29564E-19  	        3.76568E-13  	        1.02135E-18  	        1.26428E-15  	        7.02337E-17  	        1.68354E-18  	        2.61685E-21  	        8.24790E-21  	        2.62677E-17  	        1.17645E-17  	        6.34209E-18  	        6.61928E-21  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.12382E-22  	        0.00000E+00  	        1.24760E-22  	        0.00000E+00  	        1.28340E-17  	        5.52876E-22  	        4.88503E-23  	        2.19556E-21
        3.10000E-03  	        1.39978E+03  	        2.51220E-01  	        1.01325E+05  	        1.48697E-17  	        3.69732E-17  	        4.41432E-11  	        7.81793E-16  	        4.18981E-13  	        2.70102E-17  	        1.11871E-09  	        1.01704E-14  	        1.22859E-11  	        2.17482E-10  	        5.56853E-10  	        2.41962E-11  	        6.02730E-12  	        3.83270E-13  	        7.56695E-16  	        4.92133E-09  	        1.55593E-13  	        3.93156E-15  	        9.05635E-12  	        3.10827E-10  	        1.70152E-11  	        3.49863E-12  	        1.47883E-14  	        5.61744E-11  	        4.24577E-18  	        1.00379E-12  	        1.22068E-09  	        1.26435E-19  	        6.41024E-09  	        5.23777E-12  	        1.03722E-13  	        9.16907E-11  	        9.97497E-10  	        6.46334E-10  	        1.20097E-11  	        6.09854E-10  	        8.46300E-14  	        4.36757E-12  	        5.13451E-10  	        2.56106E-09  	        8.45277E-12  	        1.02089E-10  	        3.43871E-16  	        2.41837E-11  	        4.11034E-12  	        3.47881E-10  	        1.33661E-09  	        1.36142E-10  	        4.38673E-13  	        3.00343E-09  	        2.93713E-12  	        1.27500E-07  	        6.76340E-11  	        1.82841E-03  	        1.70238E-07  	        3.49914E-10  	        0.00000E+00  	        9.41990E-09  	        4.23686E-08  	        3.17929E-09  	        4.28648E-17  	        1.18983E-10  	        6.87727E-03  	        5.86007E-10  	        3.89150E-09  	        1.01511E-08  	        1.94997E-11  	        1.91195E-10  	        7.97513E-10  	        1.89582E-11  	        7.38013E-14  	        5.04985E-22  	        8.84854E-17  	        3.13513E-18  	        3.06799E-18  	        4.78192E-18  	        4.88762E-19  	        5.26683E-18  	        1.33195E-18  	        2.96797E-12  	        1.01913E-17  	        1.40601E-14  	        9.12177E-16  	        4.45963E-17  	        2.42272E-19  	        6.80238E-20  	        6.24750E-16  	        1.32649E-16  	        2.07159E-17  	        1.19510E-19  	        0.00000E+00  	        7.80947E-29  	        4.39739E-25  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        8.41028E-28  	        0.00000E+00  	        0.00000E+00  	        1.61829E-21  	        0.00000E+00  	        4.17868E-22  	        0.00000E+00  	        2.34192E-17  	        1.89160E-19  	        5.19770E-21  	        7.67618E-21
        4.10000E-03  	        1.39979E+03  	        2.51217E-01  	        1.01325E+05  	        4.16088E-17  	        1.24044E-16  	        1.15309E-10  	        2.53426E-15  	        7.55979E-13  	        8.10328E-16  	        1.67656E-09  	        1.89254E-14  	        2.38727E-11  	        6.40970E-10  	        8.55595E-10  	        4.35122E-11  	        1.17488E-11  	        6.65466E-13  	        1.54316E-15  	        5.91796E-09  	        3.50065E-13  	        1.36308E-14  	        1.57807E-11  	        6.58748E-10  	        2.43012E-11  	        7.02344E-12  	        2.64531E-14  	        1.21349E-10  	        2.96747E-17  	        1.80452E-12  	        1.38668E-09  	        3.81419E-19  	        1.54379E-08  	        9.82929E-12  	        3.33366E-13  	        1.59508E-10  	        1.58334E-09  	        9.14709E-10  	        1.91067E-11  	        9.35290E-10  	        1.78670E-13  	        8.02524E-12  	        9.70581E-10  	        2.67731E-09  	        1.56750E-11  	        1.62855E-10  	        7.53877E-16  	        4.65448E-11  	        6.95767E-12  	        3.88787E-10  	        1.91836E-09  	        2.76450E-10  	        7.42126E-13  	        3.73661E-09  	        5.76245E-12  	        2.34080E-07  	        1.15765E-10  	        1.82823E-03  	        3.30390E-07  	        8.76562E-10  	        0.00000E+00  	        1.36989E-08  	        9.38745E-08  	        3.75766E-09  	        8.25677E-17  	        3.14406E-10  	        6.87704E-03  	        8.78791E-10  	        5.29711E-09  	        1.87422E-08  	        5.76588E-11  	        2.94995E-10  	        1.42896E-09  	        5.58870E-11  	        1.34376E-13  	        3.13119E-21  	        1.78098E-16  	        6.49527E-18  	        1.13080E-17  	        1.57316E-17  	        2.33893E-18  	        1.40336E-17  	        2.11618E-18  	        1.02230E-11  	        1.77046E-17  	        5.78712E-14  	        2.36100E-15  	        1.57033E-16  	        9.19180E-19  	        6.20548E-18  	        1.60563E-15  	        3.28870E-16  	        4.12896E-17  	        3.11210E-19  	        9.99977E-22  	        1.85012E-22  	        8.61921E-21  	        0.00000E+00  	        1.17428E-23  	        0.00000E+00  	        3.28792E-22  	        0.00000E+00  	        4.79408E-26  	        4.41471E-19  	        1.37403E-22  	        1.78931E-17  	        1.77052E-21  	        6.13813E-17  	        7.94535E-19  	        6.61342E-20  	        3.58802E-19
        5.08204E-03  	        1.40010E+03  	        2.51157E-01  	        1.01325E+05  	        5.88349E-17  	        1.71814E-15  	        1.49989E-10  	        4.54934E-15  	        1.51537E-12  	        1.06892E-15  	        1.80583E-09  	        5.00220E-14  	        4.59197E-11  	        1.10470E-09  	        1.99272E-09  	        6.31749E-11  	        1.07622E-11  	        9.45575E-13  	        8.20724E-15  	        4.45858E-09  	        4.16401E-13  	        3.81007E-14  	        1.50683E-11  	        9.27147E-10  	        4.47207E-11  	        1.81647E-11  	        2.05795E-14  	        1.55835E-10  	        8.73501E-17  	        1.52139E-12  	        1.19236E-09  	        2.54199E-18  	        6.09961E-08  	        1.38283E-11  	        5.33586E-13  	        1.92771E-10  	        3.80387E-09  	        8.02453E-10  	        2.07922E-11  	        1.24519E-09  	        7.66147E-13  	        1.31696E-11  	        1.26869E-09  	        1.71380E-09  	        1.91363E-11  	        2.63057E-10  	        4.98421E-15  	        3.99282E-11  	        4.90696E-12  	        2.55812E-10  	        2.02774E-09  	        1.57464E-09  	        2.14829E-12  	        3.10048E-09  	        1.24133E-11  	        5.45243E-07  	        1.05847E-10  	        1.82724E-03  	        8.67909E-07  	        1.21886E-09  	        0.00000E+00  	        1.79564E-08  	        3.11835E-07  	        2.99596E-09  	        5.52549E-16  	        4.51797E-10  	        6.87498E-03  	        9.64195E-10  	        5.14259E-09  	        4.57714E-08  	        9.96900E-11  	        3.40594E-10  	        1.68764E-09  	        9.62267E-11  	        1.88168E-13  	        3.44067E-20  	        1.07163E-15  	        5.29354E-17  	        2.21591E-16  	        1.85626E-16  	        3.89005E-17  	        8.66029E-17  	        5.54823E-18  	        3.26171E-11  	        8.28665E-17  	        3.55373E-13  	        4.48408E-15  	        3.50779E-15  	        2.38920E-17  	        5.50283E-17  	        1.35089E-14  	        3.45721E-15  	        1.82630E-16  	        4.35802E-18  	        5.62552E-20  	        5.29079E-20  	        3.49098E-19  	        0.00000E+00  	        2.84253E-22  	        0.00000E+00  	        1.39774E-20  	        1.59105E-23  	        1.74071E-22  	        1.33007E-16  	        2.39070E-19  	        7.91180E-17  	        1.17325E-19  	        2.23327E-16  	        2.32102E-17  	        7.34380E-18  	        3.97801E-17
        6.00073E-03  	        1.40095E+03  	        2.51007E-01  	        1.01325E+05  	        1.68318E-17  	        2.48230E-13  	        3.90857E-11  	        3.36956E-15  	        5.17336E-12  	        7.72212E-17  	        1.01583E-10  	        4.66531E-13  	        3.18680E-11  	        6.62747E-11  	        1.29223E-09  	        2.94899E-11  	        2.67211E-14  	        1.37066E-12  	        8.09940E-15  	        1.86136E-09  	        1.54768E-14  	        3.75139E-16  	        6.09873E-12  	        3.81531E-11  	        2.84266E-11  	        4.35676E-12  	        1.41647E-14  	        9.17505E-12  	        7.41072E-20  	        2.45457E-13  	        5.34103E-10  	        1.21600E-21  	        1.93011E-07  	        1.58624E-11  	        9.61761E-14  	        1.33615E-10  	        3.54748E-09  	        3.84743E-11  	        1.41229E-12  	        4.27181E-10  	        1.62761E-12  	        2.02259E-11  	        9.58399E-11  	        8.71146E-10  	        1.84021E-12  	        4.81683E-11  	        1.95659E-15  	        4.69351E-13  	        5.18003E-13  	        6.35395E-11  	        2.23866E-10  	        1.00783E-08  	        1.25323E-12  	        4.99139E-10  	        3.72070E-12  	        6.89096E-07  	        6.28146E-12  	        1.82499E-03  	        1.75281E-06  	        5.10952E-11  	        0.00000E+00  	        9.59860E-09  	        1.06157E-06  	        2.64156E-10  	        1.39638E-15  	        1.94255E-11  	        6.87021E-03  	        5.28992E-11  	        5.81206E-10  	        1.13026E-07  	        5.77258E-12  	        2.02063E-11  	        7.38837E-11  	        5.78545E-12  	        2.76752E-13  	        3.66789E-19  	        7.83492E-15  	        1.25260E-15  	        9.29734E-15  	        3.63283E-15  	        2.50029E-15  	        6.01546E-15  	        1.49567E-17  	        1.12226E-10  	        5.43324E-16  	        1.23847E-11  	        2.05185E-14  	        2.66348E-13  	        3.80945E-15  	        1.90794E-15  	        9.60966E-14  	        3.96956E-14  	        5.77821E-15  	        6.62722E-17  	        4.49869E-17  	        7.91574E-22  	        2.15912E-21  	        0.00000E+00  	        6.20264E-98  	        0.00000E+00  	        2.32974E-22  	        3.06136E-99  	        5.64027E-24  	        1.25439E-18  	        1.35068E-20  	        7.73192E-19  	        7.27511E-20  	        1.01984E-15  	        1.36578E-15  	        3.20162E-17  	        6.55669E-17
        7.00093E-03  	        1.40238E+03  	        2.50764E-01  	        1.01325E+05  	        9.88473E-18  	        3.96378E-13  	        7.01976E-11  	        1.20407E-15  	        4.05186E-12  	        5.64763E-17  	        6.10396E-11  	        4.64588E-13  	        1.74542E-11  	        5.02398E-11  	        2.92487E-10  	        1.46771E-11  	        2.43107E-15  	        8.42936E-13  	        5.39492E-15  	        9.71978E-10  	        5.48953E-15  	        3.79410E-17  	        2.94803E-12  	        2.73495E-11  	        9.01722E-12  	        1.05935E-12  	        5.05641E-15  	        5.56243E-12  	        1.25857E-20  	        8.19113E-14  	        2.56925E-10  	        2.21054E-23  	        3.47112E-07  	        8.54377E-12  	        2.83342E-14  	        6.81685E-11  	        1.19398E-09  	        1.28778E-11  	        6.95005E-13  	        2.23229E-10  	        1.31760E-12  	        1.36647E-11  	        5.40511E-11  	        9.61643E-10  	        6.70028E-13  	        1.89042E-11  	        8.22494E-16  	        5.60347E-14  	        1.30830E-13  	        2.94582E-11  	        9.31839E-11  	        1.95037E-08  	        7.27463E-13  	        2.39455E-10  	        1.95513E-12  	        5.68387E-07  	        1.63604E-12  	        1.82138E-03  	        3.03970E-06  	        3.68669E-11  	        0.00000E+00  	        1.22351E-08  	        2.48804E-06  	        1.18592E-10  	        9.82260E-16  	        1.40931E-11  	        6.86255E-03  	        2.96095E-11  	        2.78131E-10  	        2.04496E-07  	        4.37604E-12  	        1.14191E-11  	        5.21024E-11  	        4.38591E-12  	        1.43388E-13  	        6.70167E-19  	        1.58086E-14  	        1.92397E-15  	        1.69821E-14  	        8.41571E-15  	        3.09944E-14  	        1.63911E-14  	        7.32446E-18  	        2.84536E-10  	        5.83046E-16  	        1.77558E-10  	        3.28710E-13  	        4.50248E-13  	        8.57621E-15  	        4.04184E-15  	        1.07482E-13  	        5.38009E-14  	        6.82714E-15  	        2.14791E-17  	        5.98835E-17  	        1.31157E-22  	        5.81059E-22  	        0.00000E+00  	        2.97868E-98  	        0.00000E+00  	        2.50022E-22  	        1.47015E-99  	        2.19868E-24  	        1.46622E-18  	        1.27997E-20  	        8.02525E-19  	        2.10780E-19  	        9.51014E-16  	        2.27559E-15  	        2.57970E-17  	        4.67266E-17
        8.00271E-03  	        1.40372E+03  	        2.50533E-01  	        1.01325E+05  	        4.28275E-18  	        1.80761E-13  	        8.38545E-11  	        6.69761E-16  	        2.29821E-12  	        1.63734E-17  	        5.32999E-11  	        2.57965E-13  	        1.10932E-11  	        5.02964E-11  	        1.15452E-10  	        7.00665E-12  	        5.82444E-16  	        4.60146E-13  	        4.22721E-15  	        4.73161E-10  	        3.11158E-15  	        1.57273E-17  	        1.94640E-12  	        2.68289E-11  	        3.78989E-12  	        5.47330E-13  	        3.18966E-15  	        5.12741E-12  	        3.84717E-21  	        4.81873E-14  	        1.26749E-10  	        3.23054E-97  	        4.01212E-07  	        5.33344E-12  	        1.63799E-14  	        4.05886E-11  	        4.54907E-10  	        8.14116E-12  	        4.37001E-13  	        1.34866E-10  	        9.84597E-13  	        8.38105E-12  	        4.22514E-11  	        1.05634E-09  	        3.98189E-13  	        1.01231E-11  	        5.42603E-16  	        3.33083E-14  	        7.42613E-14  	        1.50496E-11  	        6.12352E-11  	        1.89718E-08  	        5.11212E-13  	        1.40283E-10  	        1.20568E-12  	        4.89362E-07  	        1.04655E-12  	        1.81816E-03  	        4.18818E-06  	        3.66916E-11  	        0.00000E+00  	        1.13779E-08  	        3.70454E-06  	        7.74062E-11  	        6.56355E-16  	        1.40524E-11  	        6.85535E-03  	        2.55246E-11  	        1.77455E-10  	        2.55098E-07  	        4.38097E-12  	        9.23731E-12  	        5.15341E-11  	        4.39092E-12  	        5.40894E-14  	        5.78104E-19  	        1.53881E-14  	        1.22838E-15  	        1.21578E-14  	        8.39539E-15  	        4.96494E-14  	        9.99295E-15  	        3.77304E-18  	        4.97572E-10  	        3.24947E-16  	        3.58220E-10  	        8.52435E-13  	        2.62737E-13  	        4.81465E-15  	        2.08435E-15  	        8.13187E-14  	        3.91288E-14  	        3.05514E-15  	        5.79113E-18  	        1.48780E-17  	        2.49009E-23  	        3.63732E-22  	        0.00000E+00  	        2.29564E-98  	        0.00000E+00  	        5.96613E-23  	        1.13303E-99  	        2.48271E-24  	        1.00555E-18  	        4.49976E-21  	        2.02614E-19  	        7.35321E-20  	        4.09969E-16  	        1.45979E-15  	        6.38765E-18  	        8.03320E-18
        9.00584E-03  	        1.40448E+03  	        2.50394E-01  	        1.01325E+05  	        1.98101E-18  	        8.95381E-15  	        7.35837E-11  	        1.68103E-16  	        7.46559E-13  	        2.78002E-18  	        3.44160E-11  	        4.22356E-14  	        8.00536E-12  	        2.52729E-11  	        1.85456E-10  	        3.83646E-12  	        6.12206E-15  	        1.75260E-13  	        3.63069E-15  	        2.77188E-10  	        3.16914E-15  	        4.42796E-17  	        1.52351E-12  	        1.54192E-10  	        3.90714E-12  	        7.48889E-13  	        1.30322E-15  	        9.59416E-12  	        3.03909E-21  	        6.38776E-14  	        7.99196E-11  	        2.81903E-23  	        3.51068E-07  	        3.15299E-12  	        6.46299E-15  	        2.77755E-11  	        4.17764E-10  	        5.43089E-12  	        1.57279E-13  	        6.97575E-11  	        8.80141E-15  	        3.90971E-12  	        2.23601E-11  	        1.05102E-09  	        1.55885E-12  	        4.61890E-11  	        4.33440E-16  	        2.17952E-13  	        1.00377E-13  	        1.09026E-11  	        2.67530E-11  	        8.06957E-09  	        3.89610E-13  	        9.87127E-11  	        6.27293E-13  	        4.00676E-07  	        4.36344E-12  	        1.81644E-03  	        4.73891E-06  	        2.82943E-11  	        0.00000E+00  	        5.48821E-09  	        4.33048E-06  	        1.36507E-10  	        4.63985E-16  	        2.76116E-11  	        6.85117E-03  	        2.90431E-11  	        2.23389E-10  	        2.41864E-07  	        2.72949E-12  	        3.33682E-12  	        2.54666E-11  	        2.31563E-12  	        2.62864E-14  	        7.83838E-17  	        5.96159E-15  	        1.64196E-12  	        7.20663E-13  	        9.92571E-13  	        6.90666E-13  	        8.86678E-14  	        1.43692E-14  	        7.25697E-10  	        2.01301E-11  	        4.57790E-09  	        9.42829E-12  	        4.23081E-11  	        4.26323E-13  	        2.18183E-14  	        1.41296E-11  	        7.04234E-12  	        4.91899E-16  	        9.68838E-14  	        2.20811E-16  	        3.22609E-12  	        3.01340E-13  	        7.34726E-21  	        8.02128E-18  	        7.39633E-19  	        4.16874E-15  	        6.54709E-18  	        1.14189E-15  	        1.88022E-17  	        2.40740E-13  	        4.96077E-18  	        3.87404E-16  	        5.23226E-17  	        2.85420E-13  	        3.24483E-16  	        7.82928E-17
        1.00117E-02  	        1.40473E+03  	        2.50344E-01  	        1.01325E+05  	        6.07375E-19  	        3.49712E-16  	        5.76204E-11  	        3.34014E-17  	        1.86584E-13  	        2.32189E-17  	        5.03820E-11  	        5.62018E-15  	        4.39571E-12  	        4.03463E-11  	        2.02746E-10  	        2.59990E-12  	        1.62618E-14  	        7.05263E-14  	        3.41171E-15  	        2.31634E-10  	        1.87920E-15  	        3.52296E-17  	        6.65384E-13  	        2.45634E-10  	        4.04371E-12  	        5.15679E-13  	        5.24990E-16  	        1.49625E-11  	        2.31654E-22  	        4.19814E-14  	        5.86019E-11  	        4.22618E-23  	        2.92826E-07  	        1.11670E-12  	        1.98543E-15  	        2.12298E-11  	        5.49342E-10  	        5.71638E-12  	        9.25787E-14  	        4.45493E-11  	        3.96659E-15  	        1.28706E-12  	        2.41898E-11  	        9.79053E-10  	        1.50370E-12  	        5.79321E-11  	        3.66337E-16  	        2.20540E-13  	        5.34955E-14  	        7.06166E-12  	        3.20854E-11  	        3.90684E-09  	        3.21511E-13  	        8.77820E-11  	        2.44943E-13  	        3.43800E-07  	        5.48264E-12  	        1.81593E-03  	        4.86313E-06  	        4.47416E-11  	        0.00000E+00  	        3.04849E-09  	        4.50359E-06  	        1.79515E-10  	        3.47427E-16  	        4.37931E-11  	        6.84972E-03  	        4.16080E-11  	        2.85421E-10  	        2.17141E-07  	        4.35754E-12  	        3.68892E-12  	        4.03650E-11  	        3.69687E-12  	        5.80392E-15  	        5.34424E-17  	        2.71351E-15  	        1.30690E-12  	        4.53469E-13  	        8.34023E-13  	        7.20720E-13  	        1.76605E-14  	        1.33953E-14  	        9.31629E-10  	        2.71934E-11  	        6.98423E-09  	        2.24013E-11  	        6.74658E-11  	        5.29533E-13  	        5.06002E-15  	        3.19024E-11  	        1.41428E-11  	        9.72413E-17  	        2.56868E-13  	        6.57038E-17  	        4.69766E-12  	        2.44947E-13  	        2.34508E-21  	        1.12002E-17  	        1.03746E-18  	        7.94896E-15  	        5.26874E-18  	        4.37083E-16  	        2.01279E-18  	        6.37427E-13  	        5.55926E-19  	        5.29071E-16  	        5.41376E-18  	        5.36481E-13  	        2.63562E-16  	        2.10307E-17
