           time[ms]  	               T[K]  	    density[kg/m^3]  	           Pressure  	         VolX_C2H5O  	            VolX_CH  	          VolX_H2O2  	     VolX_CH2CH2CHO  	         VolX_T-CH2  	      VolX_C6H5OCH2  	         VolX_CH3OH  	         VolX_S-CH2  	          VolX_HCCO  	        VolX_C3H6O2  	          VolX_C5H6  	        VolX_P-C3H4  	     VolX_C5H5CH3-1  	         VolX_CH2OH  	        VolX_IXC4H7  	         VolX_CH2CO  	          VolX_CH3O  	VolX_CH2CCHCH2CHCH2  	        VolX_CH2CHO  	          VolX_C2H6  	        VolX_A-C3H5  	          VolX_C3H6  	        VolX_C2H5CO  	        VolX_CHOCHO  	        VolX_ACETOL  	         VolX_C4H3O  	          VolX_C2H2  	       VolX_IC5H9OH  	             VolX_O  	          VolX_C2H3  	      VolX_CH3CHCHO  	          VolX_C3H3  	          VolX_C5H5  	       VolX_C2H3CHO  	       VolX_CH3CHCO  	        VolX_C2H5OH  	       VolX_CH3CHOH  	           VolX_HCO  	        VolX_CH3CHO  	           VolX_HO2  	           VolX_A1O  	        VolX_C6H5OH  	        VolX_IXC4H8  	        VolX_C3H4O3  	          VolX_C2H5  	           VolX_CH3  	       VolX_CH3CO2H  	             VolX_H  	         VolX_A1CH3  	          VolX_CH2O  	        VolX_CC4H4O  	            VolX_CO  	        VolX_C6H8O4  	            VolX_O2  	           VolX_H2O  	        VolX_C6H6O3  	            VolX_AR  	            VolX_H2  	           VolX_CO2  	          VolX_C2H4  	          VolX_C5H8  	       VolX_C6H10O5  	            VolX_N2  	      VolX_FURFURAL  	           VolX_CH4  	            VolX_OH  	      VolX_C6H5OCH3  	          VolX_C6H6  	       VolX_C2H5CHO  	      VolX_OC8H7OOH  	           VolX_A1-  	          VolX_N2H2  	           VolX_NNH  	           VolX_NH2  	            VolX_NH  	           VolX_HNO  	          VolX_HONO  	             VolX_N  	          VolX_H2NO  	           VolX_N2O  	           VolX_NH3  	            VolX_NO  	           VolX_NO2  	           VolX_HCN  	           VolX_HNC  	            VolX_CN  	          VolX_HNCO  	           VolX_NCO  	           VolX_NCN  	        VolX_CH3NH2  	          VolX_H2CN  	         VolX_C5H5N  	         VolX_C5H4N  	        VolX_C5H5NO  	        VolX_C5H4NO  	       VolX_C5H4NO2  	        VolX_PYRLYL  	      VolX_BNC4H4CO  	        VolX_C4H4CN  	        VolX_CHCHCN  	         VolX_C4H5N  	       VolX_CH2CHCN  	          VolX_C2N2  	          VolX_HNCN  	          VolX_HOCN  	         VolX_CH3CN  	         VolX_CH2CN
        1.00000E-03  	        1.39991E+03  	        2.51200E-01  	        1.01325E+05  	        1.03884E-17  	        2.44905E-19  	        1.29710E-11  	        5.98803E-16  	        7.49936E-14  	        7.03277E-16  	        1.26071E-08  	        1.85492E-15  	        2.28066E-12  	        3.54683E-09  	        3.60244E-11  	        1.15788E-11  	        7.08389E-12  	        1.59159E-13  	        1.03954E-21  	        1.03738E-09  	        1.43402E-13  	        6.24502E-18  	        1.29832E-11  	        7.10527E-09  	        1.58956E-13  	        1.78447E-13  	        2.01525E-14  	        5.20541E-10  	        1.09486E-17  	        2.29334E-12  	        4.16339E-10  	        0.00000E+00  	        6.36764E-09  	        3.49058E-12  	        1.06588E-13  	        1.12525E-10  	        1.65911E-09  	        8.57252E-09  	        2.23668E-12  	        1.82516E-09  	        1.34052E-14  	        3.29781E-12  	        8.89609E-09  	        6.18363E-09  	        9.55719E-11  	        2.85214E-11  	        2.77150E-19  	        1.13734E-10  	        1.23872E-11  	        1.12429E-09  	        7.43438E-09  	        7.19046E-11  	        2.57755E-14  	        1.52673E-08  	        9.59913E-14  	        5.35874E-08  	        4.59963E-10  	        2.10035E-01  	        1.10470E-07  	        6.75744E-09  	        0.00000E+00  	        2.65114E-08  	        4.12605E-08  	        1.11288E-08  	        0.00000E+00  	        2.21456E-09  	        7.89965E-01  	        9.95763E-09  	        2.04999E-08  	        7.36451E-09  	        3.31518E-10  	        2.02063E-09  	        1.33689E-08  	        3.04024E-10  	        5.71685E-14  	        0.00000E+00  	        4.59522E-17  	        1.30419E-20  	        0.00000E+00  	        2.43565E-20  	        0.00000E+00  	        1.64986E-18  	        3.62187E-22  	        2.67050E-12  	        0.00000E+00  	        2.40686E-15  	        3.64876E-18  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        3.21309E-21  	        7.36979E-20  	        6.37465E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.46200E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00
        2.00000E-03  	        1.39981E+03  	        2.51217E-01  	        1.01325E+05  	        2.21903E-15  	        1.04595E-15  	        6.30883E-09  	        1.09193E-13  	        1.68396E-11  	        2.01882E-14  	        1.57421E-07  	        4.67412E-13  	        5.51939E-10  	        3.24066E-08  	        1.92856E-08  	        1.09569E-09  	        6.54737E-10  	        2.04877E-11  	        2.41318E-15  	        1.88605E-07  	        2.05920E-11  	        2.37721E-13  	        8.29683E-10  	        6.59812E-08  	        2.86959E-10  	        1.58013E-10  	        1.65836E-12  	        7.61829E-09  	        1.06612E-15  	        1.41767E-10  	        6.03901E-08  	        1.41778E-18  	        1.48209E-07  	        4.01250E-10  	        1.63137E-11  	        9.97589E-09  	        3.16565E-08  	        1.07279E-07  	        9.55654E-10  	        3.38923E-08  	        2.96918E-12  	        2.71855E-10  	        9.32935E-08  	        2.08575E-07  	        1.15648E-09  	        3.94394E-09  	        6.04302E-15  	        3.99541E-09  	        5.73918E-10  	        2.91707E-08  	        1.18695E-07  	        5.43257E-09  	        9.82328E-12  	        2.67811E-07  	        1.60104E-10  	        2.85416E-06  	        8.08078E-09  	        2.10031E-01  	        3.96730E-06  	        6.43178E-08  	        0.00000E+00  	        5.48636E-07  	        1.02618E-06  	        2.83460E-07  	        2.41347E-16  	        2.15339E-08  	        7.89958E-01  	        1.13368E-07  	        3.38992E-07  	        2.65738E-07  	        3.09936E-09  	        2.65081E-08  	        1.43571E-07  	        2.78718E-09  	        6.41284E-12  	        7.18019E-21  	        3.53216E-15  	        3.93678E-17  	        6.41308E-17  	        1.09405E-16  	        2.40079E-18  	        9.71423E-17  	        3.68783E-17  	        4.29076E-11  	        1.14301E-16  	        1.44014E-13  	        7.92714E-15  	        1.88576E-16  	        2.90336E-19  	        9.18192E-19  	        2.94181E-15  	        1.32397E-15  	        7.12097E-16  	        7.31969E-19  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        1.21747E-20  	        0.00000E+00  	        1.34710E-20  	        0.00000E+00  	        1.43097E-15  	        6.11505E-20  	        5.35842E-21  	        2.42287E-19
        3.10000E-03  	        1.39978E+03  	        2.51220E-01  	        1.01325E+05  	        1.65701E-15  	        4.17012E-15  	        4.92618E-09  	        8.72496E-14  	        4.74750E-11  	        2.95965E-15  	        1.25683E-07  	        1.15077E-12  	        1.39048E-09  	        2.34096E-08  	        6.31616E-08  	        2.75291E-09  	        6.72694E-10  	        4.33745E-11  	        8.62250E-14  	        5.61170E-07  	        1.74086E-11  	        4.37645E-13  	        1.01989E-09  	        3.44320E-08  	        1.93956E-09  	        3.95070E-10  	        1.66555E-12  	        6.22014E-09  	        4.68810E-16  	        1.12649E-10  	        1.39072E-07  	        1.40827E-17  	        7.32470E-07  	        5.91262E-10  	        1.15450E-11  	        1.03555E-08  	        1.13672E-07  	        7.30338E-08  	        1.35961E-09  	        6.92296E-08  	        9.57983E-12  	        4.93829E-10  	        5.73820E-08  	        2.91495E-07  	        9.46050E-10  	        1.15950E-08  	        3.89199E-14  	        2.70247E-09  	        4.61761E-10  	        3.94973E-08  	        1.51094E-07  	        1.54304E-08  	        4.99337E-11  	        3.40697E-07  	        3.32200E-10  	        1.45204E-05  	        7.62992E-09  	        2.10016E-01  	        1.93810E-05  	        3.84540E-08  	        0.00000E+00  	        1.06825E-06  	        4.82127E-06  	        3.60309E-07  	        4.87542E-15  	        1.30188E-08  	        7.89940E-01  	        6.59239E-08  	        4.40332E-07  	        1.15966E-06  	        2.10040E-09  	        2.14846E-08  	        8.89148E-08  	        2.04053E-09  	        8.32433E-12  	        5.60646E-20  	        1.00351E-14  	        3.56304E-16  	        3.46432E-16  	        5.40129E-16  	        5.54632E-17  	        6.02008E-16  	        1.50693E-16  	        3.39528E-10  	        1.15709E-15  	        1.60735E-12  	        1.03980E-13  	        5.06867E-15  	        2.75272E-17  	        7.67260E-18  	        7.10506E-14  	        1.50901E-14  	        2.34728E-15  	        1.34966E-17  	        0.00000E+00  	        8.59895E-27  	        4.79131E-23  	        0.00000E+00  	        0.00000E+00  	        0.00000E+00  	        9.26050E-26  	        0.00000E+00  	        0.00000E+00  	        1.77767E-19  	        0.00000E+00  	        4.54942E-20  	        0.00000E+00  	        2.63582E-15  	        2.14716E-17  	        5.80365E-19  	        8.56310E-19
        4.10000E-03  	        1.39979E+03  	        2.51217E-01  	        1.01325E+05  	        4.65642E-15  	        1.40485E-14  	        1.28917E-08  	        2.83836E-13  	        8.58792E-11  	        9.08271E-14  	        1.86451E-07  	        2.14688E-12  	        2.70751E-09  	        6.93891E-08  	        9.71322E-08  	        4.94381E-09  	        1.31592E-09  	        7.54708E-11  	        1.76330E-13  	        6.75658E-07  	        3.92340E-11  	        1.52371E-12  	        1.78200E-09  	        7.24972E-08  	        2.77326E-09  	        7.91041E-10  	        2.98683E-12  	        1.33950E-08  	        3.29186E-15  	        2.03077E-10  	        1.57839E-07  	        4.27017E-17  	        1.76849E-06  	        1.11154E-09  	        3.72646E-11  	        1.80431E-08  	        1.80929E-07  	        1.02842E-07  	        2.15342E-09  	        1.06089E-07  	        2.02821E-11  	        9.09302E-10  	        1.07771E-07  	        3.04521E-07  	        1.75892E-09  	        1.84817E-08  	        8.51334E-14  	        5.21683E-09  	        7.83432E-10  	        4.41205E-08  	        2.15773E-07  	        3.14620E-08  	        8.45441E-11  	        4.21876E-07  	        6.50038E-10  	        2.67277E-05  	        1.30830E-08  	        2.09997E-01  	        3.77151E-05  	        9.63958E-08  	        0.00000E+00  	        1.54968E-06  	        1.07137E-05  	        4.23258E-07  	        9.40924E-15  	        3.44969E-08  	        7.89919E-01  	        9.79007E-08  	        5.95862E-07  	        2.14612E-06  	        6.24708E-09  	        3.28344E-08  	        1.57969E-07  	        6.04984E-09  	        1.51778E-11  	        3.52291E-19  	        2.02729E-14  	        7.40518E-16  	        1.28317E-15  	        1.78480E-15  	        2.66821E-16  	        1.60759E-15  	        2.39824E-16  	        1.17171E-09  	        2.01338E-15  	        6.62957E-12  	        2.69570E-13  	        1.78932E-14  	        1.04759E-16  	        6.87375E-16  	        1.83140E-13  	        3.75162E-14  	        4.68260E-15  	        3.53204E-17  	        1.12423E-19  	        2.04673E-20  	        9.51909E-19  	        0.00000E+00  	        1.27686E-21  	        0.00000E+00  	        3.62979E-20  	        0.00000E+00  	        5.24311E-24  	        4.87380E-17  	        1.52024E-20  	        1.95688E-15  	        1.96380E-19  	        6.90269E-15  	        9.05947E-17  	        7.40610E-18  	        3.97491E-17
        5.08204E-03  	        1.40010E+03  	        2.51157E-01  	        1.01325E+05  	        6.78960E-15  	        2.00326E-13  	        1.72984E-08  	        5.25097E-13  	        1.76344E-10  	        1.25077E-13  	        2.04243E-07  	        5.82391E-12  	        5.33831E-09  	        1.23017E-07  	        2.31549E-07  	        7.28475E-09  	        1.24228E-09  	        1.09884E-10  	        9.50702E-13  	        5.14080E-07  	        4.80507E-11  	        4.39308E-12  	        1.74700E-09  	        1.04581E-07  	        5.17925E-09  	        2.10336E-09  	        2.38150E-12  	        1.75658E-08  	        1.00209E-14  	        1.75851E-10  	        1.37682E-07  	        2.92451E-16  	        7.05287E-06  	        1.60489E-09  	        6.15410E-11  	        2.23071E-08  	        4.40522E-07  	        9.22846E-08  	        2.40011E-09  	        1.43316E-07  	        8.92710E-11  	        1.53078E-09  	        1.44191E-07  	        1.97851E-07  	        2.20493E-09  	        3.04400E-08  	        5.78055E-13  	        4.60201E-09  	        5.66640E-10  	        2.96037E-08  	        2.31904E-07  	        1.83374E-07  	        2.48690E-10  	        3.54967E-07  	        1.43526E-09  	        6.30898E-05  	        1.22720E-08  	        2.09928E-01  	        1.00432E-04  	        1.37390E-07  	        0.00000E+00  	        2.06991E-06  	        3.60920E-05  	        3.42560E-07  	        6.41281E-14  	        5.08714E-08  	        7.89854E-01  	        1.09429E-07  	        5.87183E-07  	        5.29359E-06  	        1.11149E-08  	        3.86408E-08  	        1.90169E-07  	        1.07146E-08  	        2.18080E-11  	        4.01936E-18  	        1.24818E-13  	        6.17347E-15  	        2.58534E-14  	        2.16360E-14  	        4.52703E-15  	        1.00450E-14  	        6.44533E-16  	        3.75970E-09  	        9.63495E-15  	        4.11137E-11  	        5.17560E-13  	        4.07683E-13  	        2.77824E-15  	        6.37781E-15  	        1.56954E-12  	        4.02140E-13  	        2.12555E-14  	        5.07132E-16  	        6.54665E-18  	        6.11228E-18  	        4.05029E-17  	        0.00000E+00  	        3.24312E-20  	        0.00000E+00  	        1.59973E-18  	        1.81418E-21  	        2.02871E-20  	        1.54245E-14  	        2.77724E-17  	        9.09137E-15  	        1.36817E-17  	        2.58465E-14  	        2.70029E-15  	        8.43525E-16  	        4.54064E-15
        6.00073E-03  	        1.40095E+03  	        2.51007E-01  	        1.01325E+05  	        2.29760E-15  	        3.43544E-11  	        4.72354E-09  	        4.61751E-13  	        7.09454E-10  	        1.06427E-14  	        1.32522E-08  	        6.43429E-11  	        4.25236E-09  	        9.16956E-09  	        1.55631E-07  	        3.52872E-09  	        3.31212E-12  	        1.87560E-10  	        9.39063E-13  	        2.15166E-07  	        2.07075E-12  	        4.93664E-14  	        8.18994E-10  	        5.22738E-09  	        3.39891E-09  	        5.51435E-10  	        1.93385E-12  	        1.22848E-09  	        1.02703E-17  	        3.34828E-11  	        6.55670E-08  	        1.68795E-19  	        2.29500E-05  	        2.15603E-09  	        1.31434E-11  	        1.70011E-08  	        4.17011E-07  	        4.93503E-09  	        1.82562E-10  	        4.99833E-08  	        2.21794E-10  	        2.75605E-09  	        1.24863E-08  	        1.02679E-07  	        2.44700E-10  	        5.88953E-09  	        2.29373E-13  	        6.34903E-11  	        7.04347E-11  	        8.28912E-09  	        2.79876E-08  	        1.27381E-06  	        1.45319E-10  	        6.08427E-08  	        5.04440E-10  	        8.18352E-05  	        8.52306E-10  	        2.09783E-01  	        2.08964E-04  	        7.05820E-09  	        0.00000E+00  	        1.21802E-06  	        1.27008E-04  	        3.32509E-08  	        1.66521E-13  	        2.68463E-09  	        7.89759E-01  	        7.00629E-09  	        7.14211E-08  	        1.35203E-05  	        7.98680E-10  	        2.66082E-09  	        1.01406E-08  	        8.00459E-10  	        3.82702E-11  	        4.78662E-17  	        9.96311E-13  	        1.69199E-13  	        1.25132E-12  	        4.81352E-13  	        3.13709E-13  	        8.21180E-13  	        2.06077E-15  	        1.31033E-08  	        7.38359E-14  	        1.54501E-09  	        2.47755E-12  	        3.53678E-11  	        5.13627E-13  	        2.63760E-13  	        1.22814E-11  	        5.17480E-12  	        8.00382E-13  	        8.34423E-15  	        6.24268E-15  	        1.09892E-19  	        2.98402E-19  	        0.00000E+00  	        7.12562E-96  	        0.00000E+00  	        3.23157E-20  	        3.51690E-97  	        7.77817E-22  	        1.73198E-16  	        1.84285E-18  	        1.07115E-16  	        1.00647E-17  	        1.41251E-13  	        1.79760E-13  	        4.44317E-15  	        9.11351E-15
        7.00093E-03  	        1.40238E+03  	        2.50764E-01  	        1.01325E+05  	        1.42021E-15  	        5.76850E-11  	        8.56708E-09  	        1.71438E-13  	        5.84680E-10  	        8.10310E-15  	        8.44498E-09  	        6.73364E-11  	        2.45326E-09  	        7.29815E-09  	        3.56833E-08  	        1.77921E-09  	        3.01075E-13  	        1.21016E-10  	        6.24176E-13  	        1.12391E-07  	        7.66853E-13  	        5.35143E-15  	        4.16802E-10  	        3.94801E-09  	        1.08981E-09  	        1.39681E-10  	        7.17675E-13  	        7.90729E-10  	        1.82944E-18  	        1.16760E-11  	        3.24123E-08  	        3.24251E-21  	        4.17670E-05  	        1.22150E-09  	        4.02346E-12  	        9.16118E-09  	        1.40332E-07  	        1.71568E-09  	        9.45150E-11  	        2.62414E-08  	        1.88842E-10  	        1.95901E-09  	        7.38250E-09  	        1.14326E-07  	        9.36928E-11  	        2.36925E-09  	        9.59976E-14  	        7.81976E-12  	        1.85387E-11  	        4.02352E-09  	        1.23479E-08  	        2.52251E-06  	        8.41216E-11  	        3.00000E-08  	        2.78711E-10  	        6.81398E-05  	        2.32533E-10  	        2.09559E-01  	        3.65925E-04  	        5.35303E-09  	        0.00000E+00  	        1.59736E-06  	        3.00094E-04  	        1.55665E-08  	        1.16148E-13  	        2.04654E-09  	        7.89636E-01  	        4.13448E-09  	        3.54620E-08  	        2.47995E-05  	        6.35694E-10  	        1.58693E-09  	        7.54849E-09  	        6.37127E-10  	        2.08211E-11  	        8.97323E-17  	        2.06070E-12  	        2.71126E-13  	        2.37409E-12  	        1.12596E-12  	        3.85199E-12  	        2.34479E-12  	        1.04349E-15  	        3.34104E-08  	        8.27325E-14  	        2.18895E-08  	        3.94002E-11  	        6.28240E-11  	        1.21779E-12  	        5.87383E-13  	        1.42313E-11  	        7.31588E-12  	        9.94237E-13  	        2.79754E-15  	        8.74200E-15  	        1.91891E-20  	        8.48351E-20  	        0.00000E+00  	        3.42192E-96  	        0.00000E+00  	        3.64327E-20  	        1.68891E-97  	        3.20870E-22  	        2.14537E-16  	        1.83353E-18  	        1.17161E-16  	        3.07281E-17  	        1.38444E-13  	        3.14391E-13  	        3.77076E-15  	        6.84192E-15
        8.00271E-03  	        1.40372E+03  	        2.50533E-01  	        1.01325E+05  	        6.10470E-16  	        2.62851E-11  	        1.02149E-08  	        9.45688E-14  	        3.31031E-10  	        2.35913E-15  	        7.52273E-09  	        3.73288E-11  	        1.56903E-09  	        7.30013E-09  	        1.45590E-08  	        8.63414E-10  	        7.74029E-14  	        6.58592E-11  	        4.89777E-13  	        5.48923E-08  	        4.36411E-13  	        2.26287E-15  	        2.75395E-10  	        3.88267E-09  	        4.72106E-10  	        7.40865E-11  	        4.49079E-13  	        7.37377E-10  	        5.57051E-19  	        6.82338E-12  	        1.61978E-08  	        3.71126E-95  	        4.82626E-05  	        7.61157E-10  	        2.30744E-12  	        5.57626E-09  	        5.42186E-08  	        1.12044E-09  	        6.01342E-11  	        1.60246E-08  	        1.40939E-10  	        1.19973E-09  	        5.86551E-09  	        1.25797E-07  	        5.58853E-11  	        1.30104E-09  	        6.33635E-14  	        4.61026E-12  	        1.04377E-11  	        2.06565E-09  	        8.44994E-09  	        2.44930E-06  	        5.91610E-11  	        1.80582E-08  	        1.71749E-10  	        5.88341E-05  	        1.47711E-10  	        2.09376E-01  	        5.02549E-04  	        5.32356E-09  	        0.00000E+00  	        1.47828E-06  	        4.44712E-04  	        1.04180E-08  	        7.74429E-14  	        2.03910E-09  	        7.89534E-01  	        3.61372E-09  	        2.33622E-08  	        3.08652E-05  	        6.35865E-10  	        1.30350E-09  	        7.47235E-09  	        6.37310E-10  	        7.82090E-12  	        7.75011E-17  	        2.00215E-12  	        1.71201E-13  	        1.67571E-12  	        1.09912E-12  	        6.11151E-12  	        1.41123E-12  	        5.27195E-16  	        5.84247E-08  	        4.55956E-14  	        4.34982E-08  	        1.01276E-10  	        3.64394E-11  	        6.81016E-13  	        3.02861E-13  	        1.06696E-11  	        5.30468E-12  	        4.44411E-13  	        7.82120E-16  	        2.16674E-15  	        3.65559E-21  	        5.32908E-20  	        0.00000E+00  	        2.63724E-96  	        0.00000E+00  	        8.73872E-21  	        1.30163E-97  	        3.63286E-22  	        1.47306E-16  	        6.47447E-19  	        2.96068E-17  	        1.07295E-17  	        5.95801E-14  	        2.00649E-13  	        9.33640E-16  	        1.17700E-15
        9.00584E-03  	        1.40448E+03  	        2.50394E-01  	        1.01325E+05  	        2.58588E-16  	        1.18397E-12  	        8.79617E-09  	        2.19946E-14  	        9.79534E-11  	        3.64993E-16  	        4.49209E-09  	        5.56632E-12  	        1.04067E-09  	        3.35351E-09  	        2.33233E-08  	        4.62913E-10  	        8.02631E-13  	        2.29278E-11  	        4.21655E-13  	        3.24383E-08  	        4.11541E-13  	        5.81686E-15  	        1.98648E-10  	        2.04557E-08  	        4.87317E-10  	        9.59537E-11  	        1.70085E-13  	        1.26934E-09  	        4.01891E-19  	        8.35398E-12  	        9.86030E-09  	        3.75472E-21  	        4.15278E-05  	        4.11745E-10  	        8.44772E-13  	        3.54616E-09  	        5.11504E-08  	        7.01337E-10  	        1.97984E-11  	        8.04623E-09  	        1.05342E-12  	        5.11914E-10  	        2.87629E-09  	        1.24133E-07  	        2.03005E-10  	        6.01150E-09  	        5.07583E-14  	        2.82909E-11  	        1.30575E-11  	        1.40113E-09  	        3.44033E-09  	        9.87203E-07  	        4.52592E-11  	        1.23013E-08  	        8.20415E-11  	        4.74764E-05  	        5.70026E-10  	        2.09303E-01  	        5.60667E-04  	        3.74983E-09  	        0.00000E+00  	        6.74470E-07  	        5.12443E-04  	        1.78038E-08  	        5.45840E-14  	        3.66273E-09  	        7.89503E-01  	        3.81549E-09  	        2.87605E-08  	        2.86818E-05  	        3.62182E-10  	        4.28938E-10  	        3.37605E-09  	        3.07266E-10  	        3.46352E-12  	        1.03678E-14  	        7.31784E-13  	        2.15204E-10  	        9.36876E-11  	        1.29158E-10  	        8.53473E-11  	        1.16321E-11  	        1.89301E-12  	        8.50485E-08  	        2.65383E-09  	        5.61707E-07  	        1.14335E-09  	        5.42493E-09  	        5.48395E-11  	        2.86488E-12  	        1.77557E-09  	        8.90715E-10  	        6.50081E-14  	        1.22389E-11  	        2.89760E-14  	        4.27113E-10  	        3.94352E-11  	        9.66551E-19  	        1.04716E-15  	        9.65277E-17  	        5.33242E-13  	        8.57121E-16  	        1.49929E-13  	        2.48146E-15  	        3.04945E-11  	        6.56614E-16  	        5.05625E-14  	        6.91242E-15  	        3.63608E-11  	        4.28919E-14  	        1.03768E-14
        1.00117E-02  	        1.40473E+03  	        2.50344E-01  	        1.01325E+05  	        7.45666E-17  	        4.31407E-14  	        6.79386E-09  	        4.10661E-15  	        2.28646E-11  	        2.86360E-15  	        6.21980E-09  	        6.91160E-13  	        5.36409E-10  	        5.00088E-09  	        2.45453E-08  	        3.06632E-10  	        2.00249E-12  	        8.63780E-12  	        3.96723E-13  	        2.72104E-08  	        2.29588E-13  	        4.33363E-15  	        8.14907E-11  	        3.04446E-08  	        4.86627E-10  	        6.27222E-11  	        6.44461E-14  	        1.85258E-09  	        2.86543E-20  	        5.15895E-12  	        6.98008E-09  	        5.23809E-21  	        3.43046E-05  	        1.36715E-10  	        2.44045E-13  	        2.56879E-09  	        6.59170E-08  	        7.00885E-10  	        1.11221E-11  	        5.13815E-09  	        4.62861E-13  	        1.57750E-10  	        2.97111E-09  	        1.14732E-07  	        1.84550E-10  	        7.11919E-09  	        4.28693E-14  	        2.70255E-11  	        6.55419E-12  	        8.58479E-10  	        3.94095E-09  	        4.63946E-07  	        3.74007E-11  	        1.06002E-08  	        3.00587E-11  	        4.03568E-05  	        6.73751E-10  	        2.09295E-01  	        5.70135E-04  	        5.54245E-09  	        0.00000E+00  	        3.63434E-07  	        5.27995E-04  	        2.21414E-08  	        4.06708E-14  	        5.42764E-09  	        7.89505E-01  	        5.14251E-09  	        3.50585E-08  	        2.54658E-05  	        5.40112E-10  	        4.52701E-10  	        5.00130E-09  	        4.58222E-10  	        7.15410E-13  	        6.59923E-15  	        3.22538E-13  	        1.60516E-10  	        5.54726E-11  	        1.02160E-10  	        8.60763E-11  	        2.16921E-12  	        1.64781E-12  	        1.08820E-07  	        3.35949E-09  	        8.28980E-07  	        2.65093E-09  	        8.19369E-09  	        6.42504E-11  	        6.21552E-13  	        3.83469E-09  	        1.70753E-09  	        1.19949E-14  	        3.10190E-11  	        8.07281E-15  	        5.81717E-10  	        3.01469E-11  	        2.89408E-19  	        1.37752E-15  	        1.27608E-16  	        9.67408E-13  	        6.48605E-16  	        5.38483E-14  	        2.48436E-16  	        7.70227E-11  	        6.86588E-17  	        6.43469E-14  	        6.67109E-16  	        6.49485E-11  	        3.25128E-14  	        2.59695E-15
