time	tmin_flame	tmid_flame	tmax_flame
5.204518E-04	0.000000E+00	0.000000E+00	0.000000E+00
6.762125E-04	0.000000E+00	0.000000E+00	0.000000E+00
8.319732E-04	0.000000E+00	0.000000E+00	0.000000E+00
9.877339E-04	0.000000E+00	0.000000E+00	0.000000E+00
1.143495E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.299255E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.455016E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.610777E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.766537E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.922298E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.078059E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.233819E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.389580E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.545341E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.701102E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.856862E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.012623E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.168384E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.324144E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.479905E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.635666E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.791426E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.947187E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.102948E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.258708E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.414469E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.570230E-03	2.421914E+00	2.480680E+00	2.794950E+00
4.725991E-03	2.768699E+00	2.866888E+00	3.318946E+00
4.881751E-03	3.109480E+00	3.249462E+00	3.852687E+00
5.037512E-03	3.438593E+00	3.621948E+00	4.387389E+00
5.193273E-03	3.750734E+00	3.978291E+00	4.914442E+00
5.349033E-03	4.041060E+00	4.312949E+00	5.425607E+00
5.504794E-03	4.305259E+00	4.620987E+00	5.913181E+00
5.660555E-03	4.539622E+00	4.898152E+00	6.370140E+00
5.816315E-03	4.741078E+00	5.140922E+00	6.790258E+00
5.972076E-03	4.907227E+00	5.346542E+00	7.168200E+00
6.127837E-03	5.036353E+00	5.513034E+00	7.499581E+00
