time	tmin_flame	tmid_flame	tmax_flame
1.028640E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.234664E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.440687E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.646711E-03	0.000000E+00	0.000000E+00	0.000000E+00
1.852734E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.058758E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.264781E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.470805E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.676829E-03	0.000000E+00	0.000000E+00	0.000000E+00
2.882852E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.088876E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.294899E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.500923E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.706946E-03	0.000000E+00	0.000000E+00	0.000000E+00
3.912970E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.118994E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.325017E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.531041E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.737064E-03	0.000000E+00	0.000000E+00	0.000000E+00
4.943088E-03	0.000000E+00	0.000000E+00	0.000000E+00
5.149111E-03	0.000000E+00	0.000000E+00	0.000000E+00
5.355135E-03	0.000000E+00	0.000000E+00	0.000000E+00
5.561158E-03	0.000000E+00	0.000000E+00	0.000000E+00
5.767182E-03	0.000000E+00	0.000000E+00	0.000000E+00
5.973206E-03	0.000000E+00	0.000000E+00	0.000000E+00
6.179229E-03	0.000000E+00	0.000000E+00	0.000000E+00
6.385253E-03	0.000000E+00	0.000000E+00	0.000000E+00
6.591276E-03	0.000000E+00	0.000000E+00	0.000000E+00
6.797300E-03	0.000000E+00	0.000000E+00	0.000000E+00
7.003323E-03	0.000000E+00	0.000000E+00	0.000000E+00
7.209347E-03	0.000000E+00	0.000000E+00	0.000000E+00
7.415371E-03	0.000000E+00	0.000000E+00	0.000000E+00
7.621394E-03	1.452153E+00	1.560381E+00	1.914415E+00
7.827418E-03	1.521545E+00	1.661118E+00	2.131419E+00
8.033441E-03	1.574810E+00	1.749030E+00	2.343707E+00
8.239465E-03	1.612312E+00	1.824381E+00	2.549278E+00
8.445488E-03	1.634832E+00	1.887799E+00	2.746373E+00
8.651512E-03	1.643504E+00	1.940214E+00	2.933485E+00
8.857536E-03	1.639755E+00	1.982791E+00	3.109367E+00
9.063559E-03	1.625231E+00	2.016863E+00	3.273032E+00
9.269583E-03	1.601730E+00	2.043868E+00	3.423748E+00
9.475606E-03	1.571142E+00	2.065281E+00	3.561026E+00
9.681630E-03	1.535379E+00	2.082565E+00	3.684608E+00
