         time	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.207561E-04	 7.403016E+02	 7.393016E+02	 7.383016E+02
 1.028635E-03	 7.363367E+02	 7.353367E+02	 7.343367E+02
 1.536447E-03	 7.802958E+02	 7.792958E+02	 7.782958E+02
 2.005197E-03	 7.802958E+02	 7.792958E+02	 7.782958E+02
 2.513009E-03	 7.766871E+02	 7.756871E+02	 7.746871E+02
 3.020822E-03	 7.705090E+02	 7.695090E+02	 7.685090E+02
 3.528634E-03	 7.705712E+02	 7.695712E+02	 7.685712E+02
 4.036447E-03	 7.705064E+02	 7.695064E+02	 7.685064E+02
 4.505197E-03	 6.393453E+02	 6.383453E+02	 6.373453E+02
 5.013009E-03	 6.513122E+02	 6.503122E+02	 6.493122E+02
 5.520822E-03	 6.746114E+02	 6.736114E+02	 6.726114E+02
 6.028634E-03	 6.866729E+02	 6.856729E+02	 6.846729E+02
 6.536447E-03	 1.568243E+02	 1.558243E+02	 1.548243E+02
 7.005197E-03	 1.688108E+02	 1.678108E+02	 1.668108E+02
 7.513009E-03	 1.787995E+02	 1.777995E+02	 1.767995E+02
 8.020822E-03	 2.007748E+02	 1.997748E+02	 1.987748E+02
 8.528634E-03	 7.625780E+00	 6.625780E+00	 5.625780E+00
 9.036447E-03	 7.920401E+00	 6.920401E+00	 5.920401E+00
 9.504977E-03	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.001695E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.050859E-02	 5.893463E+00	 4.893463E+00	 3.893463E+00
 1.100561E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.150179E-02	 9.236925E+00	 8.236925E+00	 7.236925E+00
 1.200414E-02	 9.707981E+00	 8.707981E+00	 7.707981E+00
 1.250289E-02	 1.037027E+01	 9.370268E+00	 8.370268E+00
 1.300023E-02	 1.138060E+01	 1.038060E+01	 9.380602E+00
 1.350065E-02	 1.138060E+01	 1.038060E+01	 9.380602E+00
 1.400248E-02	 1.175820E+01	 1.075820E+01	 9.758201E+00
 1.450113E-02	 1.138060E+01	 1.038060E+01	 9.380602E+00
 1.500490E-02	 1.175820E+01	 1.075820E+01	 9.758201E+00
 1.550931E-02	 9.236925E+00	 8.236925E+00	 7.236925E+00
 1.600377E-02	 1.098874E+01	 9.988739E+00	 8.988739E+00
 1.650671E-02	 4.995495E+00	 3.995495E+00	 2.995495E+00
 1.700643E-02	 4.460201E+00	 3.460201E+00	 2.460201E+00
 1.750437E-02	 5.467100E+00	 4.467100E+00	 3.467100E+00
 1.800212E-02	 5.893463E+00	 4.893463E+00	 3.893463E+00
 1.850749E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.900737E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.950425E-02	 7.920401E+00	 6.920401E+00	 5.920401E+00
 2.000220E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.050627E-02	 7.920401E+00	 6.920401E+00	 5.920401E+00
 2.100567E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.150540E-02	 6.650484E+00	 5.650484E+00	 4.650484E+00
 2.200485E-02	 5.893463E+00	 4.893463E+00	 3.893463E+00
 2.250039E-02	 6.650484E+00	 5.650484E+00	 4.650484E+00
 2.300471E-02	 6.650484E+00	 5.650484E+00	 4.650484E+00
 2.350700E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.400113E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.450761E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.500453E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.550578E-02	 6.993243E+00	 5.993243E+00	 4.993243E+00
 2.600611E-02	 7.920401E+00	 6.920401E+00	 5.920401E+00
 2.650784E-02	 7.920401E+00	 6.920401E+00	 5.920401E+00
 2.700833E-02	 9.707981E+00	 8.707981E+00	 7.707981E+00
 2.750063E-02	 1.037027E+01	 9.370268E+00	 8.370268E+00
 2.801036E-02	 1.098874E+01	 9.988739E+00	 8.988739E+00
 2.850835E-02	 1.247619E+01	 1.147619E+01	 1.047619E+01
 2.901241E-02	 1.175820E+01	 1.075820E+01	 9.758201E+00
 2.950559E-02	 1.175820E+01	 1.075820E+01	 9.758201E+00
 3.000955E-02	 1.194212E+01	 1.094212E+01	 9.942115E+00
 3.052165E-02	 1.098874E+01	 9.988739E+00	 8.988739E+00
 3.101653E-02	 8.202982E+00	 7.202982E+00	 6.202982E+00
 3.150849E-02	 5.893463E+00	 4.893463E+00	 3.893463E+00
 3.202679E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.252414E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.302287E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.352254E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.402285E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.452363E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.502481E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.552638E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.602829E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.653040E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.703262E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.753481E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.803683E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.853841E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.900003E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 3.953582E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.003017E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.052113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.100113E-02	 2.997748E+00	 1.997748E+00	 -1.000000E-00
 4.150113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.200113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.250113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.300113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.350113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.400113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.450113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.500113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.550113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.600113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.650113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.700113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.750113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
 4.800113E-02	 1.000000E+00	 0.000000E+00	 -1.000000E+00
