         time	  rf_minus_rp
5.204416E-04	-1.000000E+00
6.635981E-04	-1.000000E+00
8.067546E-04	-1.000000E+00
9.499112E-04	-1.000000E+00
1.093068E-03	-1.000000E+00
1.236224E-03	-1.000000E+00
1.379381E-03	-1.000000E+00
1.522537E-03	-1.000000E+00
1.665694E-03	-1.000000E+00
1.808850E-03	-1.000000E+00
1.952007E-03	-1.000000E+00
2.095163E-03	-1.000000E+00
2.238320E-03	-1.000000E+00
2.381476E-03	-1.000000E+00
2.524633E-03	-1.000000E+00
2.667789E-03	-1.000000E+00
2.810946E-03	-1.000000E+00
2.954103E-03	-1.000000E+00
3.097259E-03	-1.000000E+00
3.240416E-03	-1.000000E+00
3.383572E-03	-1.000000E+00
3.526729E-03	-1.000000E+00
3.669885E-03	-1.000000E+00
3.813042E-03	-1.000000E+00
3.956198E-03	-1.000000E+00
4.099355E-03	-1.000000E+00
4.242511E-03	1.415900E+00
4.385668E-03	1.567633E+00
4.528824E-03	1.720987E+00
4.671981E-03	1.875979E+00
4.815137E-03	2.032560E+00
4.958294E-03	2.190587E+00
5.101450E-03	2.349789E+00
5.244607E-03	2.509757E+00
5.387763E-03	2.669928E+00
5.530920E-03	2.829584E+00
5.674076E-03	2.987859E+00
5.817233E-03	3.143746E+00
5.960390E-03	3.296115E+00
6.103546E-03	3.443731E+00
6.246703E-03	3.585280E+00
6.389859E-03	3.719393E+00
6.533016E-03	3.844673E+00
6.676172E-03	3.959725E+00
6.819329E-03	4.063184E+00
6.962485E-03	4.153742E+00
7.105642E-03	4.230175E+00
7.248798E-03	4.291366E+00
7.391955E-03	4.336329E+00
7.535111E-03	4.364229E+00
7.678268E-03	4.374394E+00
7.821424E-03	4.366336E+00
7.964581E-03	4.339753E+00
8.107737E-03	4.294540E+00
8.250894E-03	4.230790E+00
8.394050E-03	4.148796E+00
8.537207E-03	4.049043E+00
8.680364E-03	3.932207E+00
8.823520E-03	3.799141E+00
8.966677E-03	3.650863E+00
9.109833E-03	3.488543E+00
9.252990E-03	3.313489E+00
9.396146E-03	3.127121E+00
9.539303E-03	2.930958E+00
9.682459E-03	2.726598E+00
9.825616E-03	2.515691E+00
9.968772E-03	2.299922E+00
1.011193E-02	2.080988E+00
1.025509E-02	1.860578E+00
1.039824E-02	1.640351E+00
1.054140E-02	1.421916E+00
1.068455E-02	1.206816E+00
1.082771E-02	9.965093E-01
1.097087E-02	7.923550E-01
1.111402E-02	5.955981E-01
1.125718E-02	4.073593E-01
1.140034E-02	2.286246E-01
1.154349E-02	6.023810E-02
1.168665E-02	-1.000000E+00
1.182981E-02	-1.000000E+00
1.197296E-02	-1.000000E+00
1.211612E-02	-1.000000E+00
1.225928E-02	-1.000000E+00
1.240243E-02	-1.000000E+00
1.254559E-02	-1.000000E+00
1.268875E-02	-1.000000E+00
1.283190E-02	-1.000000E+00
1.297506E-02	-1.000000E+00
1.311822E-02	-1.000000E+00
1.326137E-02	-1.000000E+00
1.340453E-02	-1.000000E+00
1.354769E-02	-1.000000E+00
1.369084E-02	-1.000000E+00
1.383400E-02	-1.000000E+00
1.397715E-02	-1.000000E+00
1.412031E-02	-1.000000E+00
1.426347E-02	-1.000000E+00
1.440662E-02	-1.000000E+00
1.454978E-02	-1.000000E+00
1.469294E-02	-1.000000E+00
1.483609E-02	-1.000000E+00
1.497925E-02	-1.000000E+00
1.512241E-02	-1.000000E+00
1.526556E-02	-1.000000E+00
1.540872E-02	-1.000000E+00
1.555188E-02	-1.000000E+00
1.569503E-02	-1.000000E+00
1.583819E-02	-1.000000E+00
1.598135E-02	-1.000000E+00
1.612450E-02	-1.000000E+00
1.626766E-02	-1.000000E+00
1.641082E-02	-1.000000E+00
1.655397E-02	-1.000000E+00
1.669713E-02	-1.000000E+00
1.684029E-02	-1.000000E+00
1.698344E-02	-1.000000E+00
1.712660E-02	-1.000000E+00
1.726975E-02	-1.000000E+00
1.741291E-02	-1.000000E+00
1.755607E-02	-1.000000E+00
1.769922E-02	-1.000000E+00
1.784238E-02	-1.000000E+00
1.798554E-02	-1.000000E+00
1.812869E-02	-1.000000E+00
1.827185E-02	-1.000000E+00
1.841501E-02	-1.000000E+00
1.855816E-02	-1.000000E+00
1.870132E-02	-1.000000E+00
1.884448E-02	-1.000000E+00
1.898763E-02	-1.000000E+00
1.913079E-02	-1.000000E+00
1.927395E-02	-1.000000E+00
1.941710E-02	-1.000000E+00
1.956026E-02	-1.000000E+00
1.970342E-02	-1.000000E+00
1.984657E-02	-1.000000E+00
1.998973E-02	-1.000000E+00
2.013289E-02	-1.000000E+00
2.027604E-02	-1.000000E+00
2.041920E-02	-1.000000E+00
2.056236E-02	-1.000000E+00
2.070551E-02	-1.000000E+00
2.084867E-02	-1.000000E+00
2.099182E-02	-1.000000E+00
2.113498E-02	-1.000000E+00
2.127814E-02	-1.000000E+00
2.142129E-02	-1.000000E+00
2.156445E-02	-1.000000E+00
2.170761E-02	-1.000000E+00
2.185076E-02	-1.000000E+00
2.199392E-02	-1.000000E+00
2.213708E-02	-1.000000E+00
2.228023E-02	-1.000000E+00
2.242339E-02	-1.000000E+00
2.256655E-02	-1.000000E+00
2.270970E-02	-1.000000E+00
2.285286E-02	-1.000000E+00
2.299602E-02	-1.000000E+00
2.313917E-02	-1.000000E+00
2.328233E-02	-1.000000E+00
2.342549E-02	-1.000000E+00
2.356864E-02	-1.000000E+00
2.371180E-02	-1.000000E+00
2.385496E-02	-1.000000E+00
2.399811E-02	-1.000000E+00
2.414127E-02	-1.000000E+00
2.428442E-02	-1.000000E+00
2.442758E-02	-1.000000E+00
2.457074E-02	-1.000000E+00
2.471389E-02	-1.000000E+00
2.485705E-02	-1.000000E+00
2.500021E-02	-1.000000E+00
2.514336E-02	-1.000000E+00
2.528652E-02	-1.000000E+00
2.542968E-02	-1.000000E+00
2.557283E-02	-1.000000E+00
2.571599E-02	-1.000000E+00
2.585915E-02	-1.000000E+00
2.600230E-02	-1.000000E+00
2.614546E-02	-1.000000E+00
2.628862E-02	-1.000000E+00
2.643177E-02	-1.000000E+00
2.657493E-02	-1.000000E+00
2.671809E-02	-1.000000E+00
2.686124E-02	-1.000000E+00
2.700440E-02	-1.000000E+00
2.714756E-02	-1.000000E+00
2.729071E-02	-1.000000E+00
2.743387E-02	-1.000000E+00
2.757702E-02	-1.000000E+00
2.772018E-02	-1.000000E+00
2.786334E-02	-1.000000E+00
2.800649E-02	-1.000000E+00
2.814965E-02	-1.000000E+00
2.829281E-02	-1.000000E+00
2.843596E-02	-1.000000E+00
2.857912E-02	-1.000000E+00
2.872228E-02	-1.000000E+00
2.886543E-02	-1.000000E+00
2.900859E-02	-1.000000E+00
