time	rfrp
5.211610E-04	0.000000E+00
8.025121E-04	0.000000E+00
1.083863E-03	0.000000E+00
1.365214E-03	0.000000E+00
1.646565E-03	0.000000E+00
1.927917E-03	0.000000E+00
2.209268E-03	0.000000E+00
2.490619E-03	0.000000E+00
2.771970E-03	0.000000E+00
3.053321E-03	0.000000E+00
3.334672E-03	0.000000E+00
3.616023E-03	0.000000E+00
3.897374E-03	0.000000E+00
4.178725E-03	0.000000E+00
4.460076E-03	0.000000E+00
4.741428E-03	0.000000E+00
5.022779E-03	0.000000E+00
5.304130E-03	0.000000E+00
5.585481E-03	0.000000E+00
5.866832E-03	0.000000E+00
6.148183E-03	0.000000E+00
6.429534E-03	0.000000E+00
6.710885E-03	0.000000E+00
6.992236E-03	0.000000E+00
7.273587E-03	0.000000E+00
7.554939E-03	0.000000E+00
7.836290E-03	0.000000E+00
8.117641E-03	0.000000E+00
8.398992E-03	0.000000E+00
8.680343E-03	0.000000E+00
8.961694E-03	0.000000E+00
9.243045E-03	0.000000E+00
9.524396E-03	0.000000E+00
9.805747E-03	0.000000E+00
1.008710E-02	0.000000E+00
1.036845E-02	0.000000E+00
1.064980E-02	0.000000E+00
1.093115E-02	0.000000E+00
1.121250E-02	0.000000E+00
1.149385E-02	0.000000E+00
1.177521E-02	0.000000E+00
1.205656E-02	0.000000E+00
1.233791E-02	0.000000E+00
1.261926E-02	0.000000E+00
1.290061E-02	0.000000E+00
1.318196E-02	0.000000E+00
1.346331E-02	1.807153E+00
1.374466E-02	2.058314E+00
1.402601E-02	2.320834E+00
1.430736E-02	2.592332E+00
1.458872E-02	2.870219E+00
1.487007E-02	3.151748E+00
1.515142E-02	3.434068E+00
1.543277E-02	3.714276E+00
1.571412E-02	3.989471E+00
1.599547E-02	4.256808E+00
1.627682E-02	4.513545E+00
1.655817E-02	4.757091E+00
1.683952E-02	4.985045E+00
1.712088E-02	5.195239E+00
1.740223E-02	5.385764E+00
1.768358E-02	5.554999E+00
1.796493E-02	5.701631E+00
1.824628E-02	5.824667E+00
1.852763E-02	5.923441E+00
1.880898E-02	5.997619E+00
1.909033E-02	6.047189E+00
1.937168E-02	6.072454E+00
1.965304E-02	6.074014E+00
1.993439E-02	6.052750E+00
2.021574E-02	6.009796E+00
2.049709E-02	5.946511E+00
2.077844E-02	5.864451E+00
2.105979E-02	5.765335E+00
2.134114E-02	5.651012E+00
2.162249E-02	5.523423E+00
2.190384E-02	5.384573E+00
2.218520E-02	5.236488E+00
2.246655E-02	5.081190E+00
2.274790E-02	4.920664E+00
2.302925E-02	4.756826E+00
2.331060E-02	4.591502E+00
2.359195E-02	4.426402E+00
2.387330E-02	4.263106E+00
2.415465E-02	4.103042E+00
2.443600E-02	3.947480E+00
2.471736E-02	3.797525E+00
2.499871E-02	3.654108E+00
2.528006E-02	3.517996E+00
2.556141E-02	3.389786E+00
2.584276E-02	3.269920E+00
2.612411E-02	3.158694E+00
2.640546E-02	3.056271E+00
2.668681E-02	2.962696E+00
2.696816E-02	2.877917E+00
2.724952E-02	2.801803E+00
2.753087E-02	2.734161E+00
2.781222E-02	2.674762E+00
2.809357E-02	2.623359E+00
2.837492E-02	2.579704E+00
2.865627E-02	2.543570E+00
2.893762E-02	2.514768E+00
2.921897E-02	2.493156E+00
2.950032E-02	2.478657E+00
2.978168E-02	2.471267E+00
3.006303E-02	2.471055E+00
3.034438E-02	2.478172E+00
3.062573E-02	2.492847E+00
3.090708E-02	2.515381E+00
3.118843E-02	2.546139E+00
3.146978E-02	2.585538E+00
3.175113E-02	2.634031E+00
3.203248E-02	2.692089E+00
3.231384E-02	2.760177E+00
3.259519E-02	2.838734E+00
3.287654E-02	2.928142E+00
3.315789E-02	3.028706E+00
3.343924E-02	3.140620E+00
3.372059E-02	3.263942E+00
3.400194E-02	3.398568E+00
3.428329E-02	3.544206E+00
3.456464E-02	3.700352E+00
3.484600E-02	3.866270E+00
3.512735E-02	4.040976E+00
3.540870E-02	4.223227E+00
3.569005E-02	4.411511E+00
3.597140E-02	4.604047E+00
3.625275E-02	4.798790E+00
3.653410E-02	4.993442E+00
3.681545E-02	5.185467E+00
3.709680E-02	5.372119E+00
3.737816E-02	5.550473E+00
3.765951E-02	5.717462E+00
3.794086E-02	5.869923E+00
3.822221E-02	6.004650E+00
3.850356E-02	6.118448E+00
3.878491E-02	6.208195E+00
3.906626E-02	6.270910E+00
3.934761E-02	6.303819E+00
3.962896E-02	6.304427E+00
3.991032E-02	6.270586E+00
4.019167E-02	6.200563E+00
4.047302E-02	6.093110E+00
4.075437E-02	5.947520E+00
4.103572E-02	5.763685E+00
4.131707E-02	5.542138E+00
4.159842E-02	5.284095E+00
4.187977E-02	4.991474E+00
4.216112E-02	4.666909E+00
4.244247E-02	4.313743E+00
4.272383E-02	3.936011E+00
4.300518E-02	3.538397E+00
4.328653E-02	3.126184E+00
4.356788E-02	2.705174E+00
4.384923E-02	2.281598E+00
4.413058E-02	1.862000E+00
4.441193E-02	1.453111E+00
4.469328E-02	1.061704E+00
4.497463E-02	6.944311E-01
4.525599E-02	3.576565E-01
4.553734E-02	5.727554E-02
4.581869E-02	-2.014670E-01
4.610004E-02	-4.141591E-01
4.638139E-02	-5.773976E-01
4.666274E-02	-6.889537E-01
4.694409E-02	-7.479171E-01
4.722544E-02	-7.548193E-01
4.750679E-02	-7.117214E-01
4.778815E-02	-6.222631E-01
4.806950E-02	-4.916652E-01
4.835085E-02	-3.266767E-01
4.863220E-02	-1.354619E-01
4.891355E-02	7.257994E-02
4.919490E-02	2.870659E-01
4.947625E-02	4.969541E-01
4.975760E-02	6.909445E-01
5.003895E-02	8.579485E-01
5.032031E-02	9.876283E-01
5.060166E-02	1.070986E+00
5.088301E-02	1.100995E+00
5.116436E-02	1.073248E+00
5.144571E-02	9.865841E-01
5.172706E-02	8.436706E-01
5.200841E-02	6.514731E-01
5.228976E-02	4.215593E-01
5.257111E-02	1.701640E-01
5.285247E-02	-8.208851E-02
5.313382E-02	-3.109036E-01
5.341517E-02	-4.896238E-01
5.369652E-02	-5.912610E-01
5.397787E-02	-5.914627E-01
5.425922E-02	-4.725890E-01
5.454057E-02	-2.291899E-01
5.482192E-02	1.248733E-01
5.510327E-02	5.473091E-01
5.538463E-02	9.559207E-01
5.566598E-02	1.214346E+00
5.594733E-02	1.114540E+00
5.622868E-02	3.554260E-01
5.651003E-02	-1.482833E+00
