time	rfrp
5.167807E-04	0.000000E+00
8.510832E-04	0.000000E+00
1.185386E-03	0.000000E+00
1.519688E-03	0.000000E+00
1.853991E-03	0.000000E+00
2.188293E-03	0.000000E+00
2.522595E-03	0.000000E+00
2.856898E-03	0.000000E+00
3.191200E-03	0.000000E+00
3.525503E-03	0.000000E+00
3.859805E-03	0.000000E+00
4.194108E-03	0.000000E+00
4.528410E-03	0.000000E+00
4.862713E-03	0.000000E+00
5.197015E-03	0.000000E+00
5.531318E-03	0.000000E+00
5.865620E-03	0.000000E+00
6.199922E-03	0.000000E+00
6.534225E-03	0.000000E+00
6.868527E-03	0.000000E+00
7.202830E-03	0.000000E+00
7.537132E-03	0.000000E+00
7.871435E-03	0.000000E+00
8.205737E-03	0.000000E+00
8.540040E-03	0.000000E+00
8.874342E-03	0.000000E+00
9.208645E-03	0.000000E+00
9.542947E-03	0.000000E+00
9.877250E-03	0.000000E+00
1.021155E-02	0.000000E+00
1.054585E-02	0.000000E+00
1.088016E-02	0.000000E+00
1.121446E-02	0.000000E+00
1.154876E-02	0.000000E+00
1.188306E-02	0.000000E+00
1.221737E-02	0.000000E+00
1.255167E-02	0.000000E+00
1.288597E-02	2.203217E+00
1.322027E-02	2.530134E+00
1.355458E-02	2.861090E+00
1.388888E-02	3.191873E+00
1.422318E-02	3.518352E+00
1.455748E-02	3.836550E+00
1.489179E-02	4.142718E+00
1.522609E-02	4.433389E+00
1.556039E-02	4.705428E+00
1.589469E-02	4.956072E+00
1.622900E-02	5.182961E+00
1.656330E-02	5.384149E+00
1.689760E-02	5.558120E+00
1.723190E-02	5.703788E+00
1.756621E-02	5.820487E+00
1.790051E-02	5.907955E+00
1.823481E-02	5.966321E+00
1.856911E-02	5.996071E+00
1.890342E-02	5.998022E+00
1.923772E-02	5.973288E+00
1.957202E-02	5.923246E+00
1.990632E-02	5.849496E+00
2.024063E-02	5.753827E+00
2.057493E-02	5.638178E+00
2.090923E-02	5.504600E+00
2.124353E-02	5.355225E+00
2.157784E-02	5.192230E+00
2.191214E-02	5.017809E+00
2.224644E-02	4.834145E+00
2.258074E-02	4.643384E+00
2.291505E-02	4.447615E+00
2.324935E-02	4.248852E+00
2.358365E-02	4.049019E+00
2.391795E-02	3.849938E+00
2.425226E-02	3.653321E+00
2.458656E-02	3.460764E+00
2.492086E-02	3.273744E+00
2.525516E-02	3.093616E+00
2.558947E-02	2.921618E+00
2.592377E-02	2.758869E+00
2.625807E-02	2.606376E+00
2.659237E-02	2.465038E+00
2.692667E-02	2.335651E+00
2.726098E-02	2.218913E+00
2.759528E-02	2.115431E+00
2.792958E-02	2.025725E+00
2.826388E-02	1.950235E+00
2.859819E-02	1.889322E+00
2.893249E-02	1.843271E+00
2.926679E-02	1.812296E+00
2.960109E-02	1.796540E+00
2.993540E-02	1.796069E+00
3.026970E-02	1.810880E+00
3.060400E-02	1.840890E+00
3.093830E-02	1.885938E+00
3.127261E-02	1.945777E+00
3.160691E-02	2.020072E+00
3.194121E-02	2.108391E+00
3.227551E-02	2.210202E+00
3.260982E-02	2.324865E+00
3.294412E-02	2.451631E+00
3.327842E-02	2.589631E+00
3.361272E-02	2.737877E+00
