time	Min
5.204518E-04	0.000000E+00
6.762125E-04	0.000000E+00
8.319732E-04	0.000000E+00
9.877339E-04	0.000000E+00
1.143495E-03	0.000000E+00
1.299255E-03	0.000000E+00
1.455016E-03	0.000000E+00
1.610777E-03	0.000000E+00
1.766537E-03	0.000000E+00
1.922298E-03	0.000000E+00
2.078059E-03	0.000000E+00
2.233819E-03	0.000000E+00
2.389580E-03	0.000000E+00
2.545341E-03	0.000000E+00
2.701102E-03	0.000000E+00
2.856862E-03	0.000000E+00
3.012623E-03	0.000000E+00
3.168384E-03	0.000000E+00
3.324144E-03	0.000000E+00
3.479905E-03	0.000000E+00
3.635666E-03	0.000000E+00
3.791426E-03	0.000000E+00
3.947187E-03	0.000000E+00
4.102948E-03	0.000000E+00
4.258708E-03	0.000000E+00
4.414469E-03	0.000000E+00
4.570230E-03	1.504164E-01
4.725991E-03	4.136508E-01
4.881751E-03	7.047541E-01
5.037512E-03	1.017408E+00
5.193273E-03	1.344889E+00
5.349033E-03	1.680280E+00
5.504794E-03	2.016659E+00
5.660555E-03	2.347277E+00
5.816315E-03	2.665714E+00
5.972076E-03	2.966019E+00
6.127837E-03	3.242820E+00
6.283597E-03	3.491418E+00
6.439358E-03	3.707860E+00
6.595119E-03	3.888985E+00
6.750880E-03	4.032454E+00
6.906640E-03	4.136759E+00
7.062401E-03	4.201213E+00
7.218162E-03	4.225930E+00
7.373922E-03	4.211778E+00
7.529683E-03	4.160335E+00
7.685444E-03	4.073821E+00
7.841204E-03	3.955028E+00
7.996965E-03	3.807244E+00
8.152726E-03	3.634168E+00
8.308487E-03	3.439826E+00
8.464247E-03	3.228480E+00
8.620008E-03	3.004546E+00
8.775769E-03	2.772504E+00
8.931529E-03	2.536819E+00
9.087290E-03	2.301862E+00
9.243051E-03	2.071839E+00
9.398811E-03	1.850722E+00
9.554572E-03	1.642191E+00
9.710333E-03	1.449585E+00
9.866093E-03	1.275855E+00
1.002185E-02	1.123530E+00
1.017761E-02	9.946903E-01
1.033338E-02	8.909494E-01
1.048914E-02	8.134439E-01
1.064490E-02	7.628311E-01
1.080066E-02	7.392949E-01
1.095642E-02	7.425591E-01
1.111218E-02	7.719070E-01
1.126794E-02	8.262073E-01
1.142370E-02	9.039455E-01
1.157946E-02	1.003260E+00
1.173522E-02	1.121983E+00
1.189098E-02	1.257683E+00
1.204674E-02	1.407712E+00
1.220250E-02	1.569250E+00
1.235826E-02	1.739358E+00
1.251403E-02	1.915025E+00
1.266979E-02	2.093216E+00
1.282555E-02	2.270917E+00
1.298131E-02	2.445184E+00
1.313707E-02	2.613184E+00
1.329283E-02	2.772233E+00
1.344859E-02	2.919837E+00
1.360435E-02	3.053716E+00
1.376011E-02	3.171841E+00
1.391587E-02	3.272453E+00
1.407163E-02	3.354082E+00
1.422739E-02	3.415562E+00
1.438315E-02	3.456039E+00
1.453891E-02	3.474977E+00
1.469467E-02	3.472157E+00
1.485044E-02	3.447670E+00
1.500620E-02	3.401911E+00
1.516196E-02	3.335561E+00
1.531772E-02	3.249574E+00
1.547348E-02	3.145151E+00
1.562924E-02	3.023719E+00
1.578500E-02	2.886905E+00
1.594076E-02	2.736503E+00
1.609652E-02	2.574446E+00
1.625228E-02	2.402774E+00
1.640804E-02	2.223598E+00
1.656380E-02	2.039073E+00
1.671956E-02	1.851359E+00
1.687532E-02	1.662590E+00
1.703109E-02	1.474847E+00
1.718685E-02	1.290126E+00
1.734261E-02	1.110308E+00
1.749837E-02	9.371408E-01
1.765413E-02	7.722111E-01
1.780989E-02	6.169279E-01
1.796565E-02	4.725068E-01
1.812141E-02	3.399568E-01
1.827717E-02	2.200723E-01
1.843293E-02	1.134275E-01
1.858869E-02	2.037494E-02
1.874445E-02	-5.895206E-02
1.890021E-02	-1.246340E-01
1.905597E-02	-1.769559E-01
1.921174E-02	-2.163955E-01
1.936750E-02	-2.436074E-01
1.952326E-02	-2.594060E-01
1.967902E-02	-2.647448E-01
1.983478E-02	-2.606947E-01
1.999054E-02	-2.484203E-01
