time	rfrp
5.208277E-04	0.000000E+00
7.569842E-04	0.000000E+00
9.931407E-04	0.000000E+00
1.229297E-03	0.000000E+00
1.465454E-03	0.000000E+00
1.701610E-03	0.000000E+00
1.937767E-03	0.000000E+00
2.173923E-03	0.000000E+00
2.410080E-03	0.000000E+00
2.646236E-03	0.000000E+00
2.882393E-03	0.000000E+00
3.118549E-03	0.000000E+00
3.354706E-03	0.000000E+00
3.590862E-03	0.000000E+00
3.827019E-03	0.000000E+00
4.063175E-03	0.000000E+00
4.299332E-03	0.000000E+00
4.535488E-03	0.000000E+00
4.771645E-03	0.000000E+00
5.007801E-03	0.000000E+00
5.243958E-03	0.000000E+00
5.480114E-03	0.000000E+00
5.716271E-03	0.000000E+00
5.952427E-03	0.000000E+00
6.188584E-03	0.000000E+00
6.424740E-03	0.000000E+00
6.660897E-03	0.000000E+00
6.897053E-03	0.000000E+00
7.133210E-03	0.000000E+00
7.369366E-03	0.000000E+00
7.605523E-03	0.000000E+00
7.841679E-03	0.000000E+00
8.077836E-03	3.003645E+00
8.313992E-03	3.408843E+00
8.550148E-03	3.806164E+00
8.786305E-03	4.190770E+00
9.022461E-03	4.558307E+00
9.258618E-03	4.904939E+00
9.494774E-03	5.227375E+00
9.730931E-03	5.522867E+00
9.967087E-03	5.789210E+00
1.020324E-02	6.024727E+00
1.043940E-02	6.228244E+00
1.067556E-02	6.399064E+00
1.091171E-02	6.536930E+00
1.114787E-02	6.641991E+00
1.138403E-02	6.714759E+00
1.162018E-02	6.756072E+00
1.185634E-02	6.767053E+00
1.209250E-02	6.749071E+00
1.232865E-02	6.703699E+00
1.256481E-02	6.632684E+00
1.280097E-02	6.537910E+00
1.303712E-02	6.421367E+00
1.327328E-02	6.285125E+00
1.350943E-02	6.131306E+00
1.374559E-02	5.962062E+00
1.398175E-02	5.779557E+00
1.421790E-02	5.585950E+00
1.445406E-02	5.383377E+00
1.469022E-02	5.173942E+00
1.492637E-02	4.959705E+00
1.516253E-02	4.742673E+00
1.539869E-02	4.524793E+00
1.563484E-02	4.307944E+00
1.587100E-02	4.093935E+00
1.610716E-02	3.884497E+00
1.634331E-02	3.681279E+00
1.657947E-02	3.485845E+00
1.681563E-02	3.299670E+00
1.705178E-02	3.124135E+00
1.728794E-02	2.960522E+00
1.752410E-02	2.810012E+00
1.776025E-02	2.673677E+00
1.799641E-02	2.552480E+00
1.823256E-02	2.447263E+00
1.846872E-02	2.358749E+00
1.870488E-02	2.287531E+00
1.894103E-02	2.234071E+00
1.917719E-02	2.198692E+00
1.941335E-02	2.181574E+00
1.964950E-02	2.182750E+00
1.988566E-02	2.202103E+00
2.012182E-02	2.239362E+00
2.035797E-02	2.294100E+00
2.059413E-02	2.365734E+00
2.083029E-02	2.453527E+00
2.106644E-02	2.556583E+00
2.130260E-02	2.673859E+00
2.153876E-02	2.804164E+00
2.177491E-02	2.946167E+00
2.201107E-02	3.098403E+00
2.224723E-02	3.259289E+00
2.248338E-02	3.427126E+00
2.271954E-02	3.600121E+00
2.295569E-02	3.776394E+00
2.319185E-02	3.954001E+00
2.342801E-02	4.130945E+00
2.366416E-02	4.305201E+00
2.390032E-02	4.474730E+00
2.413648E-02	4.637503E+00
2.437263E-02	4.791522E+00
2.460879E-02	4.934841E+00
2.484495E-02	5.065587E+00
2.508110E-02	5.181982E+00
2.531726E-02	5.282367E+00
2.555342E-02	5.365218E+00
2.578957E-02	5.429169E+00
2.602573E-02	5.473027E+00
2.626189E-02	5.495794E+00
2.649804E-02	5.496675E+00
2.673420E-02	5.475098E+00
2.697036E-02	5.430720E+00
2.720651E-02	5.363435E+00
2.744267E-02	5.273381E+00
2.767882E-02	5.160945E+00
2.791498E-02	5.026755E+00
2.815114E-02	4.871684E+00
2.838729E-02	4.696841E+00
2.862345E-02	4.503559E+00
2.885961E-02	4.293384E+00
2.909576E-02	4.068060E+00
2.933192E-02	3.829508E+00
2.956808E-02	3.579806E+00
2.980423E-02	3.321166E+00
3.004039E-02	3.055904E+00
3.027655E-02	2.786415E+00
3.051270E-02	2.515144E+00
3.074886E-02	2.244550E+00
3.098502E-02	1.977077E+00
3.122117E-02	1.715125E+00
3.145733E-02	1.461009E+00
3.169348E-02	1.216935E+00
3.192964E-02	9.849658E-01
3.216580E-02	7.669891E-01
3.240195E-02	5.646937E-01
3.263811E-02	3.795422E-01
3.287427E-02	2.127491E-01
3.311042E-02	6.526142E-02
3.334658E-02	-6.225633E-02
3.358274E-02	-1.694335E-01
3.381889E-02	-2.561998E-01
3.405505E-02	-3.227880E-01
3.429121E-02	-3.697301E-01
3.452736E-02	-3.978504E-01
3.476352E-02	-4.082516E-01
3.499968E-02	-4.022972E-01
3.523583E-02	-3.815877E-01
3.547199E-02	-3.479332E-01
3.570815E-02	-3.033202E-01
3.594430E-02	-2.498752E-01
3.618046E-02	-1.898242E-01
3.641661E-02	-1.254490E-01
3.665277E-02	-5.904161E-02
3.688893E-02	7.143802E-03
3.712508E-02	7.093882E-02
3.736124E-02	1.303092E-01
3.759740E-02	1.834019E-01
3.783355E-02	2.285900E-01
3.806971E-02	2.645137E-01
3.830587E-02	2.901177E-01
3.854202E-02	3.046825E-01
3.877818E-02	3.078485E-01
3.901434E-02	2.996324E-01
3.925049E-02	2.804362E-01
3.948665E-02	2.510429E-01
3.972281E-02	2.126051E-01
3.995896E-02	1.666200E-01
4.019512E-02	1.148932E-01
4.043128E-02	5.949044E-02
4.066743E-02	2.678051E-03
4.090359E-02	-5.314964E-02
4.113974E-02	-1.055526E-01
4.137590E-02	-1.521365E-01
4.161206E-02	-1.906535E-01
4.184821E-02	-2.191073E-01
4.208437E-02	-2.358613E-01
4.232053E-02	-2.397454E-01
4.255668E-02	-2.301595E-01
4.279284E-02	-2.071649E-01
4.302900E-02	-1.715607E-01
4.326515E-02	-1.249388E-01
4.350131E-02	-6.970574E-02
4.373747E-02	-9.069047E-03
4.397362E-02	5.302770E-02
4.420978E-02	1.120270E-01
4.444594E-02	1.629526E-01
4.468209E-02	2.006887E-01
4.491825E-02	2.203562E-01
4.515441E-02	2.178034E-01
4.539056E-02	1.902310E-01
4.562672E-02	1.369608E-01
4.586287E-02	6.037179E-02
4.609903E-02	-3.297056E-02
4.633519E-02	-1.309813E-01
4.657134E-02	-2.144892E-01
4.680750E-02	-2.554187E-01
4.704366E-02	-2.146866E-01
4.727981E-02	-3.980468E-02
4.751597E-02	3.378544E-01
