         time	         Dpar	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.208277E-04	 1.250000E-04	 7.403016E+02	 7.393016E+02	 7.383016E+02
 1.028702E-03	 1.250000E-04	 7.423582E+02	 7.413582E+02	 7.403582E+02
 1.536514E-03	 1.250000E-04	 7.564076E+02	 7.554076E+02	 7.544076E+02
 2.005264E-03	 1.250000E-04	 7.683900E+02	 7.673900E+02	 7.663900E+02
 2.513076E-03	 1.250000E-04	 7.804110E+02	 7.794110E+02	 7.784110E+02
 3.020889E-03	 1.250000E-04	 7.924360E+02	 7.914360E+02	 7.904360E+02
 3.528701E-03	 1.250000E-04	 7.747605E+02	 7.737605E+02	 7.727605E+02
 4.036514E-03	 1.250000E-04	 7.771346E+02	 7.761346E+02	 7.751346E+02
 4.505264E-03	 1.250000E-04	 5.066591E+02	 5.056591E+02	 5.046591E+02
 5.013076E-03	 1.250000E-04	 1.208649E+02	 1.198649E+02	 1.188649E+02
 5.520889E-03	 1.250000E-04	 1.348491E+02	 1.338491E+02	 1.328491E+02
 6.028701E-03	 1.250000E-04	 1.448378E+02	 1.438378E+02	 1.428378E+02
 6.536514E-03	 1.250000E-04	 1.568243E+02	 1.558243E+02	 1.548243E+02
 7.005264E-03	 1.250000E-04	 1.668131E+02	 1.658131E+02	 1.648131E+02
 7.513076E-03	 1.250000E-04	 1.768018E+02	 1.758018E+02	 1.748018E+02
 8.020889E-03	 1.250000E-04	 6.993243E+00	 5.993243E+00	 4.993243E+00
 8.528591E-03	 1.250000E-04	 6.650484E+00	 5.650484E+00	 4.650484E+00
 9.035664E-03	 1.250000E-04	 6.650484E+00	 5.650484E+00	 4.650484E+00
 9.513275E-03	 1.250000E-04	 5.893463E+00	 4.893463E+00	 3.893463E+00
 1.000556E-02	 1.250000E-04	 3.825242E+00	 2.825242E+00	 1.825242E+00
 1.050386E-02	 1.250000E-04	 4.460201E+00	 3.460201E+00	 2.460201E+00
 1.100251E-02	 1.250000E-04	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.150233E-02	 1.250000E-04	 8.474888E+00	 7.474888E+00	 6.474888E+00
 1.200217E-02	 1.250000E-04	 9.236925E+00	 8.236925E+00	 7.236925E+00
 1.250171E-02	 1.250000E-04	 7.920401E+00	 6.920401E+00	 5.920401E+00
 1.300011E-02	 1.250000E-04	 9.236925E+00	 8.236925E+00	 7.236925E+00
 1.350058E-02	 1.250000E-04	 8.474888E+00	 7.474888E+00	 6.474888E+00
 1.400045E-02	 1.250000E-04	 8.474888E+00	 7.474888E+00	 6.474888E+00
 1.450116E-02	 1.250000E-04	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.500934E-02	 1.250000E-04	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.551449E-02	 1.250000E-04	 2.997748E+00	 1.997748E+00	 9.977477E-01
