         time	         Dpar	   rf_plus_rp	         rfrp	  rf_minus_rp
 5.000686E-04	 1.600000E-04	 8.281448E+02	 8.271448E+02	 8.261448E+02
 1.000469E-03	 1.600000E-04	 7.921888E+02	 7.911888E+02	 7.901888E+02
 1.500869E-03	 1.600000E-04	 7.901736E+02	 7.891736E+02	 7.881736E+02
 2.000369E-03	 1.600000E-04	 8.002015E+02	 7.992015E+02	 7.982015E+02
 2.500769E-03	 1.600000E-04	 8.021591E+02	 8.011591E+02	 8.001591E+02
 3.000269E-03	 1.600000E-04	 6.789462E+02	 6.779462E+02	 6.769462E+02
 3.500669E-03	 1.600000E-04	 6.908365E+02	 6.898365E+02	 6.888365E+02
 4.000169E-03	 1.600000E-04	 6.883762E+02	 6.873762E+02	 6.863762E+02
 4.500569E-03	 1.600000E-04	 6.843232E+02	 6.833232E+02	 6.823232E+02
 5.000069E-03	 1.600000E-04	 7.148951E+02	 7.138951E+02	 7.128951E+02
 5.500469E-03	 1.600000E-04	 7.208825E+02	 7.198825E+02	 7.188825E+02
 6.000869E-03	 1.600000E-04	 7.168658E+02	 7.158658E+02	 7.148658E+02
 6.500369E-03	 1.600000E-04	 7.122880E+02	 7.112880E+02	 7.102880E+02
 7.000769E-03	 1.600000E-04	 7.083494E+02	 7.073494E+02	 7.063494E+02
 7.500269E-03	 1.600000E-04	 7.043548E+02	 7.033548E+02	 7.023548E+02
 8.000669E-03	 1.600000E-04	 7.428130E+02	 7.418130E+02	 7.408130E+02
 8.500169E-03	 1.600000E-04	 7.382555E+02	 7.372555E+02	 7.362555E+02
 9.000569E-03	 1.600000E-04	 7.507971E+02	 7.497971E+02	 7.487971E+02
 9.500069E-03	 1.600000E-04	 7.462456E+02	 7.452456E+02	 7.442456E+02
 1.000047E-02	 1.600000E-04	 7.403070E+02	 7.393070E+02	 7.383070E+02
 1.050087E-02	 1.600000E-04	 6.065318E+02	 6.055318E+02	 6.045318E+02
 1.100037E-02	 1.600000E-04	 6.105816E+02	 6.095816E+02	 6.085816E+02
 1.150077E-02	 1.600000E-04	 6.993243E+00	 5.993243E+00	 4.993243E+00
 1.200027E-02	 1.600000E-04	 5.893463E+00	 4.893463E+00	 3.893463E+00
 1.250067E-02	 1.600000E-04	 5.467100E+00	 4.467100E+00	 3.467100E+00
